geo,time,ic_exp_tmbc
bhs,2019,36
bih,2014,5.21053
bih,2015,5.21053
bih,2016,5.21053
bih,2017,5.21053
bih,2018,5.21053
bih,2019,5.21053
blr,2014,7.34615
blr,2015,7.34615
blr,2016,7.34615
blr,2017,7.34615
blr,2018,7.34615
blr,2019,7.34615
blz,2014,96
blz,2015,96
blz,2016,96
blz,2017,96
blz,2018,96
blz,2019,96
bol,2014,48
bol,2015,48
bol,2016,48
bol,2017,48
bol,2018,48
bol,2019,48
bra,2014,61.04348
bra,2015,49.04348
bra,2016,49.04348
bra,2017,49.04348
bra,2018,49.04348
bra,2019,49.04348
brb,2014,41.38462
brb,2015,41.38462
brb,2016,41.38462
brb,2017,41.38462
brb,2018,41.38462
brb,2019,41.38462
brn,2014,120
brn,2015,120
brn,2016,117
brn,2017,117
brn,2018,117
brn,2019,117
btn,2014,5
btn,2015,5
btn,2016,5
btn,2017,5
btn,2018,5
btn,2019,5
bwa,2014,8
bwa,2015,8
bwa,2016,8
bwa,2017,5
bwa,2018,5
bwa,2019,5
caf,2014,141.4
caf,2015,141.4
caf,2016,141.4
caf,2017,141.4
caf,2018,141.4
caf,2019,141.4
can,2014,2
can,2015,2
can,2016,2
can,2017,2
can,2018,2
can,2019,2
che,2014,1
che,2015,1
che,2016,1
che,2017,1
che,2018,1
che,2019,1
chl,2014,60
chl,2015,60
chl,2016,60
chl,2017,60
chl,2018,60
chl,2019,60
chn,2014,25.93349
chn,2015,25.93349
chn,2016,25.93349
chn,2017,25.93349
chn,2018,25.93349
chn,2019,20.7
civ,2014,238.7143
civ,2015,238.7143
civ,2016,238.7143
civ,2017,238.7143
civ,2018,238.7143
civ,2019,238.7143
cmr,2014,202
cmr,2015,202
cmr,2016,202
cmr,2017,202
cmr,2018,202
cmr,2019,202
cod,2014,347.0385
cod,2015,515.0385
cod,2016,515.0385
cod,2017,515.0385
cod,2018,296
cod,2019,296
cog,2014,276
cog,2015,276
cog,2016,276
cog,2017,276
cog,2018,276
cog,2019,276
col,2014,112
col,2015,112
col,2016,112
col,2017,112
col,2018,112
col,2019,112
com,2014,50.8125
com,2015,50.8125
com,2016,50.8125
com,2017,50.8125
com,2018,50.8125
com,2019,50.8125
cpv,2014,72
cpv,2015,72
cpv,2016,72
cpv,2017,72
cpv,2018,72
cpv,2019,72
cri,2014,20
cri,2015,20
cri,2016,20
cri,2017,20
cri,2018,20
cri,2019,20
cyp,2014,18
cyp,2015,18
cyp,2016,18
cyp,2017,18
cyp,2018,18
cyp,2019,18
cze,2014,0
cze,2015,0
cze,2016,0
cze,2017,0
cze,2018,0
cze,2019,0
deu,2014,36
deu,2015,36
deu,2016,36
deu,2017,36
deu,2018,36
deu,2019,36
dji,2014,72
dji,2015,72
dji,2016,72
dji,2017,72
dji,2018,72
dji,2019,72
dma,2014,36
dma,2015,36
dma,2016,36
dma,2017,36
dma,2018,36
dma,2019,36
dnk,2014,0
dnk,2015,0
dnk,2016,0
dnk,2017,0
dnk,2018,0
dnk,2019,0
dom,2014,16
dom,2015,16
dom,2016,16
dom,2017,16
dom,2018,16
dom,2019,16
dza,2014,80
dza,2015,80
dza,2016,80
dza,2017,80
dza,2018,80
dza,2019,80
ecu,2014,96
ecu,2015,96
ecu,2016,96
ecu,2017,96
ecu,2018,96
ecu,2019,96
egy,2014,48
egy,2015,48
egy,2016,48
egy,2017,48
egy,2018,48
egy,2019,48
esp,2014,0
esp,2015,0
esp,2016,0
esp,2017,0
esp,2018,0
esp,2019,0
est,2014,2
est,2015,2
est,2016,2
est,2017,2
est,2018,2
est,2019,2
eth,2014,56.91346
eth,2015,56.91346
eth,2016,56.91346
eth,2017,50.91346
eth,2018,50.91346
eth,2019,50.91346
fin,2014,36
fin,2015,36
fin,2016,36
fin,2017,36
fin,2018,36
fin,2019,36
fji,2014,56
fji,2015,56
fji,2016,56
fji,2017,56
fji,2018,56
fji,2019,56
fra,2014,0
fra,2015,0
fra,2016,0
fra,2017,0
fra,2018,0
fra,2019,0
fsm,2014,36
fsm,2015,36
fsm,2016,36
fsm,2017,36
fsm,2018,36
fsm,2019,36
gab,2014,96
gab,2015,96
gab,2016,96
gab,2017,96
gab,2018,96
gab,2019,96
gbr,2014,24
gbr,2015,24
gbr,2016,24
gbr,2017,24
gbr,2018,24
gbr,2019,24
geo,2014,6
geo,2015,6
geo,2016,6
geo,2017,6
geo,2018,6
geo,2019,6
gha,2014,108
gha,2015,108
gha,2016,108
gha,2017,108
gha,2018,108
gha,2019,108
gin,2014,72
gin,2015,72
gin,2016,72
gin,2017,72
gin,2018,72
gin,2019,72
gmb,2014,109.3333
gmb,2015,109.3333
gmb,2016,109.3333
gmb,2017,109.3333
gmb,2018,109.3333
gmb,2019,109.3333
gnb,2014,118
gnb,2015,118
gnb,2016,118
gnb,2017,118
gnb,2018,118
gnb,2019,118
gnq,2014,132
gnq,2015,132
gnq,2016,132
gnq,2017,132
gnq,2018,132
gnq,2019,132
grc,2014,24
grc,2015,24
grc,2016,24
grc,2017,24
grc,2018,24
grc,2019,24
grd,2014,101.4433
grd,2015,101.4433
grd,2016,101.4433
grd,2017,101.4433
grd,2018,101.4433
grd,2019,101.4433
gtm,2014,36
gtm,2015,36
gtm,2016,36
gtm,2017,36
gtm,2018,36
gtm,2019,36
guy,2014,72
guy,2015,72
guy,2016,72
guy,2017,72
guy,2018,72
guy,2019,72
hkg,2014,1
hkg,2015,1
hkg,2016,1
hkg,2017,1
hkg,2018,1
hkg,2019,1
hnd,2014,108
hnd,2015,108
hnd,2016,108
hnd,2017,108
hnd,2018,108
hnd,2019,108
hrv,2014,0.12857
hrv,2015,0.12857
hrv,2016,0.12857
hrv,2017,0.12857
hrv,2018,0.12857
hrv,2019,0.12857
hti,2014,27.75
hti,2015,27.75
hti,2016,27.75
hti,2017,27.75
hti,2018,27.75
hti,2019,27.75
hun,2014,0
hun,2015,0
hun,2016,0
hun,2017,0
hun,2018,0
hun,2019,0
idn,2014,62.56737
idn,2015,62.56737
idn,2016,62.56737
idn,2017,62.56737
idn,2018,62.56737
idn,2019,56.28
ind,2014,109.2553
ind,2015,109.2553
ind,2016,106.1171
ind,2017,106.1171
ind,2018,66.19
ind,2019,52.12
irl,2014,24
irl,2015,24
irl,2016,24
irl,2017,24
irl,2018,24
irl,2019,24
irn,2014,107.0769
irn,2015,107.0769
irn,2016,101
irn,2017,101
irn,2018,101
irn,2019,101
irq,2014,84.57143
irq,2015,84.57143
irq,2016,84.57143
irq,2017,84.57143
irq,2018,84.57143
irq,2019,84.57143
isl,2014,36
isl,2015,36
isl,2016,36
isl,2017,36
isl,2018,36
isl,2019,36
isr,2014,36
isr,2015,36
isr,2016,36
isr,2017,36
isr,2018,36
isr,2019,36
ita,2014,0
ita,2015,0
ita,2016,0
ita,2017,0
ita,2018,0
ita,2019,0
jam,2014,57.71429
jam,2015,57.71429
jam,2016,57.71429
jam,2017,57.71429
jam,2018,57.71429
jam,2019,57.71429
jor,2014,55.05714
jor,2015,55.05714
jor,2016,53
jor,2017,53
jor,2018,53
jor,2019,53
jpn,2014,22.6
jpn,2015,22.6
jpn,2016,22.6
jpn,2017,22.6
jpn,2018,22.6
jpn,2019,26.65
kaz,2014,133
kaz,2015,133
kaz,2016,133
kaz,2017,133
kaz,2018,105
kaz,2019,105
ken,2014,28
ken,2015,28
ken,2016,21
ken,2017,21
ken,2018,15.5
ken,2019,15.5
kgz,2014,27
kgz,2015,27
kgz,2016,20
kgz,2017,20
kgz,2018,5
kgz,2019,5
khm,2014,48
khm,2015,48
khm,2016,48
khm,2017,48
khm,2018,48
khm,2019,48
kir,2014,72
kir,2015,72
kir,2016,72
kir,2017,72
kir,2018,72
kir,2019,72
kna,2014,27
kna,2015,27
kna,2016,27
kna,2017,27
kna,2018,27
kna,2019,27
kor,2014,13.375
kor,2015,13.375
kor,2016,13.375
kor,2017,13.375
kor,2018,13.375
kor,2019,13.375
kos,2014,56.4
kos,2015,56.4
kos,2016,25
kos,2017,25
kos,2018,8
kos,2019,3.5
kwt,2014,98.4
kwt,2015,98.4
kwt,2016,96
kwt,2017,96
kwt,2018,96
kwt,2019,84
lao,2014,13
lao,2015,13
lao,2016,13
lao,2017,13
lao,2018,9
lao,2019,9
lbn,2014,96
lbn,2015,96
lbn,2016,96
lbn,2017,96
lbn,2018,96
lbn,2019,96
lbr,2014,193
lbr,2015,193
lbr,2016,193
lbr,2017,193
lbr,2018,193
lbr,2019,193
lby,2014,72
lby,2015,72
lby,2016,72
lby,2017,72
lby,2018,72
lby,2019,72
lca,2014,27
lca,2015,27
lca,2016,27
lca,2017,27
lca,2018,27
lca,2019,27
lie,2018,1
lie,2019,1
lka,2014,43
lka,2015,43
lka,2016,43
lka,2017,43
lka,2018,43
lka,2019,43
lso,2014,4
lso,2015,4
lso,2016,4
lso,2017,4
lso,2018,4
lso,2019,4
ltu,2014,9
ltu,2015,9
ltu,2016,9
ltu,2017,9
ltu,2018,7.30769
ltu,2019,7.30769
lux,2014,0
lux,2015,0
lux,2016,0
lux,2017,0
lux,2018,0
lux,2019,0
lva,2014,24
lva,2015,24
lva,2016,24
lva,2017,24
lva,2018,24
lva,2019,24
mar,2014,19
mar,2015,19
mar,2016,19
mar,2017,19
mar,2018,11
mar,2019,6
mda,2014,3
mda,2015,3
mda,2016,3
mda,2017,3
mda,2018,3
mda,2019,3
mdg,2014,93.81818
mdg,2015,69.81818
mdg,2016,69.81818
mdg,2017,69.81818
mdg,2018,69.81818
mdg,2019,69.81818
mdv,2014,42
mdv,2015,42
mdv,2016,42
mdv,2017,42
mdv,2018,42
mdv,2019,42
mex,2014,20.38889
mex,2015,20.38889
mex,2016,20.38889
mex,2017,20.38889
mex,2018,20.38889
mex,2019,20.38889
mhl,2014,60
mhl,2015,60
mhl,2016,60
mhl,2017,60
mhl,2018,60
mhl,2019,60
mkd,2014,8.5
mkd,2015,8.5
mkd,2016,8.5
mkd,2017,8.5
mkd,2018,8.5
mkd,2019,8.5
mli,2014,55.22222
mli,2015,48.22222
mli,2016,48.22222
mli,2017,48.22222
mli,2018,48.22222
mli,2019,48.22222
mlt,2014,24
mlt,2015,24
mlt,2016,24
mlt,2017,24
mlt,2018,24
mlt,2019,24
mmr,2014,144
mmr,2015,144
mmr,2016,144
mmr,2017,141.6667
mmr,2018,141.6667
mmr,2019,141.6667
mne,2014,7.60606
mne,2015,7.60606
mne,2016,7.60606
mne,2017,7.60606
mne,2018,7.60606
mne,2019,7.60606
mng,2014,134
mng,2015,134
mng,2016,134
mng,2017,134
mng,2018,134
mng,2019,134
moz,2014,78
moz,2015,78
moz,2016,78
moz,2017,66
moz,2018,66
moz,2019,66
mrt,2014,72
mrt,2015,72
mrt,2016,72
mrt,2017,61.99667
mrt,2018,61.99667
mrt,2019,61.99667
mus,2014,48
mus,2015,48
mus,2016,48
mus,2017,38
mus,2018,24
mus,2019,24
mwi,2014,85.11765
mwi,2015,85.11765
mwi,2016,85.11765
mwi,2017,78.11765
mwi,2018,78.11765
mwi,2019,78.11765
mys,2014,48
mys,2015,48
mys,2016,48
mys,2017,45
mys,2018,28
mys,2019,28
nam,2014,120
nam,2015,120
nam,2016,120
nam,2017,120
nam,2018,120
nam,2019,120
ner,2014,48
ner,2015,48
ner,2016,48
ner,2017,48
ner,2018,48
ner,2019,48
nga,2014,135.4286
nga,2015,135.4286
nga,2016,135.4286
nga,2017,135.4286
nga,2018,135.4286
nga,2019,128.4286
nic,2014,60
nic,2015,60
nic,2016,60
nic,2017,60
nic,2018,72
nic,2019,72
nld,2014,0
nld,2015,0
nld,2016,0
nld,2017,0
nld,2018,0
nld,2019,0
nor,2014,2
nor,2015,2
nor,2016,2
nor,2017,2
nor,2018,2
nor,2019,2
npl,2014,37.5
npl,2015,37.5
npl,2016,30.28571
npl,2017,30.28571
npl,2018,30.28571
npl,2019,11
nzl,2014,37
nzl,2015,37
nzl,2016,37
nzl,2017,37
nzl,2018,37
nzl,2019,37
omn,2014,77.4
omn,2015,53.4
omn,2016,52
omn,2017,52
omn,2018,52
omn,2019,27.5
pak,2014,78.85714
pak,2015,78.85714
pak,2016,75
pak,2017,75
pak,2018,75
pak,2019,58
pan,2014,24
pan,2015,24
pan,2016,24
pan,2017,24
pan,2018,24
pan,2019,24
per,2014,48
per,2015,48
per,2016,48
per,2017,48
per,2018,48
per,2019,48
phl,2014,42.46154
phl,2015,42.46154
phl,2016,42.46154
phl,2017,42.46154
phl,2018,42.46154
phl,2019,42.46154
plw,2014,101.7143
plw,2015,101.7143
plw,2016,101.7143
plw,2017,101.7143
plw,2018,101.7143
plw,2019,101.7143
png,2014,42
png,2015,42
png,2016,42
png,2017,42
png,2018,42
png,2019,42
pol,2014,0
pol,2015,0
pol,2016,0
pol,2017,0
pol,2018,0
pol,2019,0
pri,2014,48
pri,2015,48
pri,2016,48
pri,2017,48
pri,2018,48
pri,2019,48
prt,2014,0
prt,2015,0
prt,2016,0
prt,2017,0
prt,2018,0
prt,2019,0
pry,2014,144
pry,2015,144
pry,2016,120
pry,2017,120
pry,2018,120
pry,2019,120
pse,2014,6
pse,2015,6
pse,2016,6
pse,2017,6
pse,2018,6
pse,2019,6
qat,2014,29.83333
qat,2015,29.83333
qat,2016,29.83333
qat,2017,24.5
qat,2018,24.5
qat,2019,24.5
rou,2014,0.375
rou,2015,0.375
rou,2016,0.375
rou,2017,0.375
rou,2018,0.375
rou,2019,0.375
rus,2014,72
rus,2015,72
rus,2016,72
rus,2017,72
rus,2018,66
rus,2019,66
rwa,2014,97.33333
rwa,2015,97.33333
rwa,2016,97.33333
rwa,2017,97.33333
rwa,2018,83.33333
rwa,2019,83.33333
sau,2014,69
sau,2015,69
sau,2016,69
sau,2017,69
sau,2018,50
sau,2019,37
sdn,2014,180
sdn,2015,180
sdn,2016,180
sdn,2017,180
sdn,2018,180
sdn,2019,180
sen,2014,61.45455
sen,2015,61.45455
sen,2016,61.45455
sen,2017,61.45455
sen,2018,61.45455
sen,2019,61.45455
sgp,2014,12
sgp,2015,12
sgp,2016,12
sgp,2017,10
sgp,2018,10
sgp,2019,10
slb,2014,109.5
slb,2015,109.5
slb,2016,109.5
slb,2017,109.5
slb,2018,109.5
slb,2019,109.5
sle,2014,54.85714
sle,2015,54.85714
sle,2016,54.85714
sle,2017,54.85714
sle,2018,54.85714
sle,2019,54.85714
slv,2014,14
slv,2015,38
slv,2016,38
slv,2017,30
slv,2018,24
slv,2019,24
smr,2014,0
smr,2015,0
smr,2016,0
smr,2017,0
smr,2018,0
smr,2019,0
som,2015,44
som,2016,44
som,2017,44
som,2018,44
som,2019,44
srb,2014,3.66667
srb,2015,3.66667
srb,2016,3.66667
srb,2017,3.66667
srb,2018,3.66667
srb,2019,4.13
ssd,2014,146
ssd,2015,146
ssd,2016,146
ssd,2017,146
ssd,2018,146
ssd,2019,146
stp,2014,115.125
stp,2015,121.125
stp,2016,121.125
stp,2017,83.125
stp,2018,83.125
stp,2019,83.125
sur,2014,108
sur,2015,84
sur,2016,84
sur,2017,84
sur,2018,84
sur,2019,84
svk,2014,0
svk,2015,0
svk,2016,0
svk,2017,0
svk,2018,0
svk,2019,0
svn,2014,0
svn,2015,0
svn,2016,0
svn,2017,0
svn,2018,0
svn,2019,0
swe,2014,1.83
swe,2015,1.83
swe,2016,1.83
swe,2017,1.83
swe,2018,1.83
swe,2019,1.83
swz,2014,2.72222
swz,2015,2.72222
swz,2016,2.72222
swz,2017,2.11111
swz,2018,2.11111
swz,2019,2.11111
syc,2014,84
syc,2015,84
syc,2016,82
syc,2017,82
syc,2018,82
syc,2019,82
syr,2014,84
syr,2015,84
syr,2016,84
syr,2017,84
syr,2018,84
syr,2019,84
tcd,2014,106
tcd,2015,106
tcd,2016,106
tcd,2017,106
tcd,2018,106
tcd,2019,106
tgo,2014,74.5
tgo,2015,74.5
tgo,2016,67
tgo,2017,67
tgo,2018,67
tgo,2019,67
tha,2014,51
tha,2015,51
tha,2016,51
tha,2017,51
tha,2018,44
tha,2019,44
tjk,2014,144.3333
tjk,2015,75.33333
tjk,2016,75.33333
tjk,2017,74.5
tjk,2018,50.5
tjk,2019,26.5
tls,2014,96
tls,2015,96
tls,2016,96
tls,2017,96
tls,2018,96
tls,2019,96
ton,2014,52
ton,2015,52
ton,2016,52
ton,2017,52
ton,2018,52
ton,2019,52
tto,2014,60
tto,2015,60
tto,2016,60
tto,2017,60
tto,2018,60
tto,2019,60
tun,2014,12
tun,2015,12
tun,2016,12
tun,2017,12
tun,2018,12
tun,2019,12
tur,2014,9.75
tur,2015,9.75
tur,2016,9.75
tur,2017,9.75
tur,2018,9.75
tur,2019,9.75
tza,2014,96
tza,2015,96
tza,2016,96
tza,2017,96
tza,2018,96
tza,2019,96
uga,2014,84.75
uga,2015,84.75
uga,2016,70.5
uga,2017,64
uga,2018,59
uga,2019,59
ukr,2014,6
ukr,2015,6
ukr,2016,6
ukr,2017,6
ukr,2018,6
ukr,2019,6
ury,2014,96
ury,2015,96
ury,2016,96
ury,2017,96
ury,2018,96
ury,2019,96
usa,2014,1.5
usa,2015,1.5
usa,2016,1.5
usa,2017,1.5
usa,2018,1.5
usa,2019,1.5
uzb,2014,111.6805
uzb,2015,111.6805
uzb,2016,111.6805
uzb,2017,111.6805
uzb,2018,111.6805
uzb,2019,31.78571
vct,2014,28
vct,2015,28
vct,2016,28
vct,2017,28
vct,2018,28
vct,2019,28
ven,2014,288
ven,2015,288
ven,2016,288
ven,2017,288
ven,2018,288
vnm,2014,60.4
vnm,2015,60.4
vnm,2016,57.73077
vnm,2017,55
vnm,2018,55
vnm,2019,55
vut,2014,38
vut,2015,38
vut,2016,38
vut,2017,38
vut,2018,38
vut,2019,38
wsm,2014,51
wsm,2015,51
wsm,2016,51
wsm,2017,51
wsm,2018,51
wsm,2019,51
zaf,2014,92
zaf,2015,92
zaf,2016,92
zaf,2017,92
zaf,2018,92
zaf,2019,92
zmb,2014,78
zmb,2015,148
zmb,2016,148
zmb,2017,120
zmb,2018,120
zmb,2019,120
zwe,2014,88.33333
zwe,2015,88.33333
zwe,2016,88.33333
zwe,2017,88.33333
zwe,2018,88.33333
zwe,2019,88.33333
