geo,time,se_sec_cuat_up_fe_zs
bgr,2001,57.86403
bgr,2006,62.88566
bgr,2007,65.13681
bgr,2008,65.84813
bgr,2009,66.63284
bgr,2010,67.95797
bgr,2011,68.8687
bgr,2012,70.56199
bgr,2013,72.14991
bgr,2014,72.51282
bgr,2015,73.65845
bgr,2016,74.33253
bgr,2017,75.33677
bgr,2020,76.86291
bhr,2001,45.96088
bhr,2010,45.20874
bhr,2016,48.47265
bhr,2017,50.37511
bhr,2018,62.91408
bhr,2020,67.18782
bhs,2000,74.66476
bhs,2010,82.45938
bih,2010,27.90863
bih,2011,29.41063
bih,2014,47.51023
bih,2015,49.68054
bih,2016,50.9234
bih,2018,52.49987
bih,2020,59.39937
blr,1989,11.47488
blr,2009,81.80848
blr,2019,93.87448
blz,2005,24.57905
blz,2010,37.2706
blz,2020,45.82647
bmu,2000,86.38543
bmu,2010,80.30456
bmu,2016,89.28925
bol,1976,8.89514
bol,1992,23.22405
bol,2001,32.33836
bol,2006,30.4728
bol,2008,32.24092
bol,2009,34.42418
bol,2012,39.48966
bol,2015,49.53616
bol,2019,78.60095
bra,1970,5.02617
bra,2004,30.55764
bra,2006,33.71783
bra,2007,35.03848
bra,2008,36.70269
bra,2009,38.37149
bra,2010,37.59229
bra,2011,40.94276
bra,2012,42.24363
bra,2013,43.8012
bra,2014,44.56811
bra,2015,45.7328
bra,2016,46.83102
bra,2017,48.2017
bra,2018,49.50601
brb,2000,25.40199
brn,2011,62.29999
btn,2012,2.93025
btn,2017,13.78464
bwa,1971,0.76637
caf,1975,0.44198
can,1986,41.81455
can,1991,47.70251
can,2001,63.45178
can,2006,79.12208
can,2011,82.74051
can,2016,84.88738
che,2009,77.08965
che,2010,76.36852
che,2011,76.44882
che,2012,77.54549
che,2014,80.64208
che,2015,81.62491
che,2016,80.70776
che,2018,82.52373
che,2019,83.72572
chl,2004,49.94647
chl,2007,50.07991
chl,2008,51.00054
chl,2010,51.98444
chl,2011,49.68201
chl,2013,52.88145
chl,2015,55.97417
chl,2017,58.36588
chn,1982,4.25162
chn,2010,19.19593
civ,1998,14.98424
civ,2014,11.97852
cmr,2010,11.47701
cod,2013,10.2602
cod,2016,16.83823
cog,1984,4.08467
col,2004,34.89477
col,2005,33.62414
col,2006,32.26994
col,2007,36.56527
col,2008,38.08587
col,2009,38.06419
col,2010,39.43362
col,2011,40.66207
col,2012,41.8009
col,2013,43.94371
col,2014,45.30956
col,2015,46.13774
col,2016,48.19701
col,2018,50.97835
col,2019,52.47779
col,2020,54.23527
cpv,2015,19.80815
cri,1973,9.95404
cri,2007,33.79106
cri,2008,36.39152
cri,2009,36.94819
cri,2010,36.02391
cri,2011,37.03173
cri,2012,38.08474
cri,2014,40.52894
cri,2015,38.90165
cri,2016,39.21972
cri,2018,40.76063
cri,2020,42.19802
cub,2002,40.16478
cub,2012,57.14484
cym,1989,11.29317
cym,2007,72.59692
cym,2008,78.79336
cym,2014,87.70027
cym,2015,90.72097
cyp,2004,53.52261
cyp,2005,55.28178
cyp,2006,58.43369
cyp,2007,60.69011
cyp,2008,61.36969
cyp,2009,60.74013
cyp,2010,62.33678
cyp,2011,65.1448
cyp,2012,66.59145
cyp,2013,67.75092
cyp,2014,68.05571
cyp,2015,67.40993
cyp,2016,69.71609
cyp,2018,71.68297
cyp,2020,73.36622
cze,2006,79.25865
cze,2007,79.6304
cze,2008,80.05226
cze,2009,81.71127
cze,2010,82.57947
cze,2011,83.22711
cze,2012,83.67135
cze,2013,84.7269
cze,2014,85.2496
cze,2015,85.57824
cze,2016,86.35616
cze,2017,86.76098
cze,2019,87.36037
deu,2004,71.26051
deu,2005,70.54572
deu,2006,70.9299
deu,2007,72.42334
deu,2008,73.67148
deu,2009,74.38169
deu,2010,75.16629
deu,2011,75.96074
deu,2012,76.47673
deu,2013,77.06543
deu,2014,77.93134
deu,2015,78.30451
deu,2016,78.60637
deu,2018,80.11032
dma,2001,10.35548
dnk,1991,52.10667
dnk,1994,53.5601
dnk,1995,55.70184
dnk,2003,83.83049
dnk,2004,82.63158
dnk,2007,74.9
dnk,2008,78.09779
dnk,2009,73.09976
dnk,2010,70.54398
dnk,2011,72.1709
dnk,2012,75.53571
dnk,2013,76.50208
dnk,2014,76.33721
dnk,2015,77.80963
dnk,2016,78.81062
dnk,2018,80.42358
dnk,2020,80.213
dom,1970,3.7
dom,2007,33.29831
dom,2010,33.25613
dom,2011,34.23601
dom,2012,35.83778
dom,2013,36.32808
dom,2014,36.93036
dom,2015,38.2003
dom,2016,50.88674
dza,1971,0.05883
dza,2006,20.89734
dza,2008,22.74524
ecu,1974,7.42596
ecu,1982,14.21533
ecu,2007,32.86072
ecu,2008,32.95677
ecu,2009,33.80146
ecu,2010,34.60859
ecu,2011,35.34044
ecu,2012,37.20889
ecu,2013,38.23784
ecu,2014,37.85906
ecu,2015,41.90072
ecu,2016,42.01919
ecu,2017,43.15428
ecu,2020,43.93402
egy,2006,33.14358
egy,2017,67.4589
esp,1970,4.03681
esp,1981,9.55108
esp,1986,12.4
esp,1991,7.25482
esp,2004,35.35355
esp,2005,38.55123
esp,2006,39.7432
esp,2007,40.56721
esp,2008,41.30382
esp,2009,42.06771
esp,2010,42.90196
esp,2011,44.23548
esp,2012,44.80639
esp,2014,46.51044
esp,2015,47.33871
esp,2016,48.42083
esp,2018,50.41531
esp,2020,53.38107
est,1989,58.49428
est,2000,72.05366
est,2006,85.88338
est,2007,86.22203
est,2008,86.29475
est,2009,87.18516
est,2010,88.43148
est,2011,88.51316
est,2012,88.89034
est,2013,90.5177
est,2014,89.88042
est,2015,89.50962
est,2016,89.89106
est,2017,90.05193
est,2018,90.70421
est,2020,86.11192
eth,2007,4.52411
eth,2011,5.65992
fin,2003,63.70908
fin,2005,65.7537
fin,2006,66.82275
fin,2007,67.79452
fin,2008,68.75926
fin,2009,69.6969
fin,2010,70.60957
fin,2011,71.47275
fin,2012,72.33901
fin,2013,73.26728
fin,2014,74.1098
fin,2015,74.71756
fin,2017,76.38666
fin,2019,78.47395
fji,1976,4.97025
fji,1986,3.36335
fji,1996,23.74353
fji,2007,39.56132
fji,2017,46.81565
fra,2004,51.98761
fra,2005,52.8682
fra,2007,56.00747
fra,2008,57.15939
fra,2009,58.23336
fra,2010,58.64777
fra,2011,59.70383
fra,2012,60.87873
fra,2013,63.37652
fra,2014,65.42056
fra,2015,66.73283
fra,2016,66.91603
fra,2017,67.40809
fra,2019,69.97561
gbr,2009,82.64869
gbr,2010,84.5432
gbr,2011,84.55144
gbr,2012,86.41465
gbr,2013,72.02951
gbr,2014,73.29939
gbr,2017,76.67328
gbr,2020,80.072
geo,2002,82.25921
geo,2012,89.82754
geo,2014,91.04171
geo,2016,93.00176
geo,2017,91.91808
geo,2019,91.69394
gha,1970,1.2
gha,2010,14.6786
gin,2014,3.1602
gin,2018,3.49299
gmb,1973,0.64924
grc,1981,18
grc,2005,46.10389
grc,2006,51.4385
grc,2007,49.34946
grc,2008,49.82201
grc,2010,51.42052
grc,2014,55.10841
grc,2015,56.92038
grc,2016,52.40942
grc,2020,62.29288
grl,2012,40.05434
grl,2014,41.15603
grl,2015,42.12252
grl,2018,46.34715
grl,2019,45.81433
gtm,2002,12.23205
gtm,2006,9.29496
gtm,2012,15.59137
gtm,2013,18.09447
gtm,2014,27.38647
gtm,2019,22.42812
hkg,1971,10.2108
hkg,1976,13.8
hkg,1981,19.43176
hkg,1991,33.33253
hkg,1996,41.38118
hkg,2006,52.28239
hkg,2008,53.47225
hkg,2009,54.19674
hkg,2010,55.39445
hkg,2011,57.35701
hkg,2014,59.6217
hkg,2015,60.50358
hkg,2017,61.59695
hkg,2019,62.28108
hnd,1974,4.19649
hnd,2007,16.95258
hnd,2011,19.68938
hnd,2012,19.76012
hnd,2014,24.36041
hnd,2015,24.74219
hnd,2016,25.76693
hnd,2018,24.31634
hnd,2019,27.66416
hrv,2001,50.45653
hrv,2011,63.19986
hti,1971,1.54056
hti,1982,0.45418
hun,1970,13.01507
hun,1980,24.64635
hun,1990,34.74091
hun,2001,48.98694
hun,2005,57.37908
hun,2009,70.54777
hun,2010,71.74566
hun,2011,72.93432
hun,2012,74.1262
hun,2013,75.08722
hun,2014,69.83587
hun,2015,71.06914
hun,2016,71.94582
hun,2020,76.37225
idn,1980,3.36266
idn,2006,22.75254
idn,2007,21.68805
idn,2008,22.38948
idn,2009,23.837
idn,2011,25.16081
idn,2014,27.37407
idn,2015,28.52519
idn,2016,29.78113
idn,2018,30.9907
idn,2020,34.62979
ind,2011,19.43397
irl,1991,42.77773
irl,2007,62.46682
irl,2010,68.29999
irl,2011,68.75216
irl,2017,73.32244
irn,2006,40.67096
irn,2008,37.87385
irn,2010,42.20071
irn,2012,43.57431
irn,2013,46.04946
irn,2014,47.13739
irn,2016,48.89213
irq,2013,23.94748
isl,2005,54.83571
isl,2019,73.74193
isl,2020,73.82695
isr,2004,40.15083
isr,2007,77.04637
isr,2009,77.71206
isr,2010,77.7608
isr,2011,78.6815
isr,2012,79.87161
isr,2013,80.4425
isr,2014,81.06997
isr,2015,81.29626
ita,1981,12.7
ita,2001,33.82684
ita,2005,38.6766
ita,2006,39.65539
ita,2007,41.65848
ita,2008,42.7378
ita,2009,43.2604
ita,2010,44.10442
ita,2011,45.01588
ita,2012,46.29791
ita,2014,47.57205
ita,2015,48.22383
ita,2020,51.77241
jor,2008,39.77595
jor,2010,40.08206
jor,2018,44.49303
jor,2020,49.85885
jpn,1970,35.64242
jpn,1980,51.63297
jpn,1990,63.39411
jpn,2010,79.08035
kaz,1999,68.32531
kaz,2007,96.43464
kaz,2009,84.60241
kaz,2018,96.8983
ken,2009,21.92364
ken,2010,18.0012
kgz,1999,74.72243
kgz,2009,87.08672
khm,2007,3.34419
khm,2008,1.59098
khm,2009,3.31557
khm,2014,6.1909
khm,2015,4.65724
kor,1970,7.34737
kor,1980,16.89353
kor,1985,46.01446
kor,1990,37.2
kor,1995,46.35989
kor,2000,55.29667
kor,2005,61.96139
kor,2009,58.70471
kor,2010,66.22445
kor,2015,70.38451
kwt,1975,13.8
kwt,1980,22.1471
kwt,1985,32.49594
kwt,1988,29.95865
kwt,2005,30.09502
kwt,2006,31.33179
kwt,2007,30.71133
kwt,2008,32.16788
kwt,2012,34.26418
kwt,2013,34.09984
kwt,2015,36.31978
kwt,2017,38.19612
kwt,2018,39.28445
lbn,1970,4.9
lbn,2007,32.51167
lbr,1974,2.60575
lby,1984,9.5
lca,1970,0.4
lca,1980,0.7629
lca,2010,41.28631
lca,2013,42.83393
lca,2019,43.82313
lie,2000,62.50234
lka,1971,10.32444
lka,2001,55.60683
lka,2016,63.01839
lka,2017,63.64191
lka,2018,64.32255
lka,2019,63.00991
lso,2008,14.19079
ltu,2005,71.76452
ltu,2006,74.42549
ltu,2007,74.80903
ltu,2008,75.92593
ltu,2009,76.98704
ltu,2010,78.11884
ltu,2011,79.10549
ltu,2012,79.20188
ltu,2013,80.10089
ltu,2014,81.47217
ltu,2015,82.83073
ltu,2016,84.68383
ltu,2017,86.05382
ltu,2020,89.02607
lux,2001,41.7824
lux,2003,43.16022
lux,2007,56.10918
lux,2009,70.62257
lux,2010,71.17001
lux,2011,71.09181
lux,2012,72.59701
lux,2013,75.4717
lux,2014,75.72759
lux,2015,68.17269
lva,2004,80.04549
lva,2005,81.54495
lva,2006,81.62927
lva,2007,82.42897
lva,2008,84.27269
lva,2009,86.14001
lva,2010,87.50482
lva,2011,87.13751
lva,2012,88.27221
lva,2013,89.018
lva,2014,90.19211
lva,2015,90.56108
lva,2016,90.50362
lva,2018,92.40525
lva,2019,92.91108
mac,1991,22.02982
mac,2001,25.5165
mac,2006,33.50258
mac,2011,43.22771
mac,2016,50.88046
mda,2007,69.84733
mda,2008,71.1223
mda,2009,72.44393
mda,2010,71.69287
mda,2011,71.92016
mda,2012,72.13488
mda,2013,71.7296
mda,2014,73.00309
mda,2015,73.51622
mda,2018,73.99986
mda,2019,73.50088
mdg,2018,8.52671
mdv,2006,4.06644
mex,1990,17.61468
mex,2000,15.17352
mex,2004,19.08625
mex,2005,24.29767
mex,2006,28.33319
mex,2007,28.24478
mex,2008,28.53783
mex,2009,29.38425
mex,2010,28.11002
mex,2012,32.19648
mex,2013,30.63773
mex,2014,31.05079
mex,2015,32.15212
mex,2016,32.29884
mex,2017,33.0895
mex,2018,34.80266
mex,2020,37.71491
mhl,2011,67.58212
mkd,2020,61.67779
mli,2006,6.32772
mli,2011,5.54087
mli,2015,7.30953
mli,2016,3.2433
mli,2018,3.96612
mli,2020,3.20328
mlt,2000,17.12125
mlt,2005,16.80397
mlt,2007,18.66033
mlt,2010,22.06398
mlt,2011,23.42814
mlt,2012,28.28424
mlt,2013,32.09751
mlt,2014,34.09584
mlt,2015,35.45585
mlt,2016,37.02982
mlt,2018,43.32255
mlt,2020,47.09665
mmr,1973,1.1
mmr,2019,21.85657
mne,2003,55.60899
mne,2011,65.23196
mng,2000,55.77695
mng,2010,71.14128
mng,2020,50.49887
moz,2009,4.39959
moz,2011,3.04038
moz,2015,7.79411
moz,2017,6.19545
mrt,2013,6.64085
mus,1972,0.47625
mus,1990,20.1
mus,2000,17.12125
mus,2011,39.80234
mwi,1977,0.41756
mwi,1987,0.9662
mwi,1998,2.38688
mys,1980,1.81841
mys,1996,26.9267
mys,2000,33.44365
mys,2005,26.38085
mys,2009,47.85498
mys,2010,49.72505
mys,2016,58.60864
mys,2019,62.95729
nam,2001,16.29705
ner,2012,1.98776
nga,2006,38.97825
nld,1971,13.5
nld,2004,59.08767
nld,2005,59.25795
nld,2007,62.66433
nld,2008,61.63643
nld,2009,62.02949
nld,2010,62.2801
nld,2011,62.58363
nld,2012,63.1812
nld,2013,65.25077
nld,2014,65.25853
nld,2015,65.4842
nld,2016,66.23137
nld,2018,67.59427
nld,2020,69.79844
nld_curacao,2020,53.24182
nor,1970,22.4
nor,1975,26.6
nor,1980,32.6519
nor,1990,62.5
nor,2004,67.95914
nor,2005,68.44454
nor,2006,71.16361
nor,2007,71.86755
nor,2008,73.63317
nor,2009,73.41825
nor,2010,74.09227
nor,2011,74.77978
nor,2014,76.29541
nor,2015,76.8912
nor,2016,77.40596
nor,2017,77.97326
nor,2019,78.78479
npl,1971,0.07377
npl,2001,8.47335
npl,2011,10.21408
nzl,1991,40.85215
nzl,2001,71.27295
nzl,2006,72.35718
nzl,2011,65.60908
nzl,2012,66.77688
nzl,2014,67.11055
nzl,2015,67.5023
nzl,2016,68.31899
nzl,2020,74.56524
omn,2003,26.90695
omn,2008,39.25841
omn,2010,42.76668
omn,2015,63.17532
omn,2020,71.67037
pak,1972,2.6
pak,1981,0.76026
pak,2005,3.77611
pak,2006,14.58751
pak,2008,13.28411
pak,2009,14.6208
pak,2010,14.90842
pak,2011,14.23623
pak,2012,18.68638
pak,2013,19.33268
pak,2014,20.97232
pak,2016,20.97232
pak,2017,21.41186
pak,2018,7.33108
pak,2019,10.13837
pan,1980,19.96511
pan,1990,32.36249
pan,2000,35.79741
pan,2010,45.81955
pan,2019,56.73947
per,1972,9.02184
per,1981,18.49544
per,2004,43.31405
per,2005,40.40308
per,2006,39.71409
per,2007,42.02778
per,2008,42.07772
per,2009,42.12774
per,2010,47.64096
per,2011,48.83427
per,2012,51.19224
per,2013,51.94191
per,2014,50.64619
per,2015,51.46775
per,2018,53.38368
phl,1970,15.40781
phl,2000,35.75606
phl,2004,52.38095
phl,2010,57.0212
phl,2013,60.11275
phl,2019,33.2241
plw,2013,87.72624
pol,2002,68.043
pol,2008,75.5043
pol,2009,76.80343
pol,2010,77.79814
pol,2011,78.65525
pol,2012,79.25402
pol,2013,80.14282
pol,2014,80.84675
pol,2016,82.542
pol,2020,85.94556
pri,1970,25.34258
pri,1980,45.49912
pri,1990,64.30264
pri,2000,74.32712
pri,2005,77.74354
pri,2006,77.47574
pri,2007,77.77533
pri,2008,78.67256
pri,2011,71.77882
pri,2012,71.9934
pri,2017,81.85908
prt,1970,0.94639
prt,1981,2.22368
prt,1991,7.20784
prt,1998,14.61501
prt,1999,15.18341
prt,2000,15.58055
prt,2001,16.5206
prt,2002,17.22813
prt,2003,19.09878
prt,2004,20.88499
prt,2005,22.12526
prt,2006,23.22253
prt,2007,23.28927
prt,2008,23.75021
prt,2009,25.02103
prt,2010,26.99024
prt,2011,29.09342
prt,2012,31.39927
prt,2013,33.47777
prt,2014,35.96907
prt,2015,36.70116
prt,2016,38.07218
prt,2017,39.38103
prt,2018,39.11187
prt,2019,42.2029
prt,2020,44.39048
pry,1972,5.11865
pry,1982,9.52637
pry,1992,16.71321
pry,2003,23.95648
pry,2005,28.83123
pry,2006,26.27801
pry,2007,25.54605
pry,2008,28.43509
pry,2009,25.17007
pry,2012,32.24117
pry,2013,36.22737
pry,2014,36.70943
pry,2015,38.59252
pry,2016,36.92301
pry,2018,39.30891
pry,2019,41.82566
pry,2020,42.20358
pse,2004,25.36739
pse,2006,26.82448
pse,2007,27.63135
pse,2008,28.97882
pse,2009,31.57125
pse,2010,31.99752
pse,2011,33.21436
pse,2012,35.6955
pse,2013,36.82637
pse,2014,36.52274
pse,2015,38.25522
pse,2016,39.5674
pse,2017,40.96828
pse,2018,43.20212
pse,2020,47.08502
pyf,2007,50.75499
qat,1986,29.9
qat,2004,52.1381
qat,2007,59.20909
qat,2008,60.64788
qat,2009,61.80702
qat,2010,55.4137
qat,2011,53.81133
qat,2012,56.64858
qat,2013,55.11832
qat,2014,58.02754
qat,2016,58.73034
qat,2017,60.10435
rou,1992,5.46898
rou,2002,45.15379
rou,2007,57.43366
rou,2008,58.30391
rou,2009,58.07377
rou,2010,57.89404
rou,2011,58.94767
rou,2012,60.17256
rou,2013,60.90525
rou,2014,57.86239
rou,2015,59.39792
rou,2016,61.29822
rou,2017,62.60895
rou,2019,64.56642
rus,2002,89.53363
rus,2010,83.93462
rwa,2012,6.43229
rwa,2014,6.52269
rwa,2018,8.27011
sau,2000,23.49621
sau,2004,32.22895
sau,2013,45.65669
sau,2017,52.60346
sau,2020,58.82993
sdn,1983,1.2
sen,2006,2.80204
sen,2011,3.25505
sen,2013,5.19195
sen,2017,5.00873
sgp,1980,5.8
sgp,1990,10.27419
sgp,1995,17.74912
sgp,2005,55.97066
sgp,2006,56.30124
sgp,2007,57.5748
sgp,2008,60.62643
sgp,2009,60.43604
sgp,2010,62.53646
sgp,2011,63.69417
sgp,2012,64.89906
sgp,2013,66.00791
sgp,2014,67.06734
sgp,2015,68.2835
sgp,2016,67.8349
sgp,2017,68.62732
sgp,2018,70.56589
sgp,2019,72.07384
sle,2004,6.83391
slv,1992,5.36663
slv,2006,14.73542
slv,2007,20.4747
slv,2008,23.48333
slv,2009,23.98802
slv,2010,25.71201
slv,2011,24.0559
slv,2012,25.17129
slv,2013,25.49143
slv,2016,28.78014
slv,2017,28.21115
slv,2019,31.18381
smr,2018,56.03611
srb,2008,55.11963
srb,2009,56.03635
srb,2010,56.25776
srb,2011,60.69946
srb,2013,60.37233
srb,2014,62.42112
srb,2015,65.20007
srb,2016,65.83401
srb,2017,66.23293
srb,2019,68.60443
ssd,2008,10.85494
stp,1981,0.85352
stp,2012,31.77432
sur,2004,7.81062
sur,2012,26.24709
svk,2001,42.86413
svk,2011,80.3419
svk,2012,80.58581
svk,2013,81.26851
svk,2014,81.08267
svk,2015,82.60425
svk,2016,83.38898
svk,2017,83.3149
svk,2018,84.30564
svk,2019,84.34592
svn,2004,68.03353
svn,2005,67.32027
svn,2006,69.5138
svn,2007,69.36115
svn,2008,70.08928
svn,2009,71.59533
svn,2010,72.30023
svn,2011,73.12235
svn,2012,74.52403
svn,2013,75.47408
svn,2014,75.31646
svn,2015,76.82458
svn,2016,77.29681
svn,2017,78.41241
svn,2019,79.424
swe,1970,31.09719
swe,1974,39.32704
swe,1979,48.34714
swe,1986,51.32009
swe,1987,52.72066
swe,1988,54.18584
swe,1989,55.51015
swe,1990,57.8305
swe,1991,59.12872
swe,1992,62.48775
swe,1993,64.75757
swe,1994,66.11859
swe,1995,67.48942
swe,2004,79.859
swe,2005,80.72295
swe,2006,81.50555
swe,2007,82.21683
swe,2008,76.5755
swe,2009,77.34684
swe,2010,78.08766
swe,2011,78.86463
swe,2012,79.64442
swe,2013,72.84468
swe,2014,73.57752
swe,2015,74.3232
swe,2016,75.03084
swe,2017,75.77895
swe,2019,77.17169
swz,1976,2.6678
swz,1986,12.74127
syc,1971,6.80444
syc,2002,44.1771
syr,2002,6.8143
syr,2007,17.21075
syr,2008,17.73526
syr,2009,18.88233
tcd,2004,1.66286
tcd,2009,1.84319
tgo,1970,0.1001
tgo,2009,3.30562
tgo,2011,3.03632
tha,1980,4.08007
tha,2004,21.45991
tha,2006,21.24892
tha,2010,26.0438
tha,2013,28.16731
tha,2016,31.904
tha,2018,32.64234
tha,2019,35.11333
tjk,2000,73.63966
tjk,2017,76.21475
tkm,1995,73.18074
ton,2011,55.11562
tto,1980,6
tto,1990,2.77075
tto,2008,56.5548
tto,2009,56.62501
tto,2011,68.05549
tun,1975,0.5
tun,1980,3.2
tun,1984,1.33637
tur,2004,14.84168
tur,2005,15.64064
tur,2006,16.71118
tur,2007,17.38125
tur,2008,20.6875
tur,2009,21.71694
tur,2010,23.58276
tur,2011,25.12799
tur,2012,26.10647
tur,2013,27.12209
tur,2014,28.54058
tur,2015,30.44697
tur,2016,31.21611
tur,2017,32.61719
tur,2019,35.96327
tza,2002,0.94738
tza,2012,2.28588
uga,1991,0.64574
uga,2002,3.90654
uga,2008,8.7417
uga,2010,8.0236
uga,2012,6.34869
ukr,2001,71.11248
ury,2003,36.63955
ury,2006,26.89705
ury,2008,29.73601
ury,2009,30.28933
ury,2010,29.72973
ury,2011,30.07587
ury,2012,30.87053
ury,2013,30.59482
ury,2014,31.60845
ury,2015,32.12843
ury,2016,32.07183
ury,2017,33.44088
ury,2018,33.78411
ury,2019,35.04907
usa,1970,66.7732
usa,1980,77.17914
usa,2004,85.43373
usa,2005,85.43646
usa,2006,86.38113
usa,2008,87.2264
usa,2009,87.13267
usa,2010,87.66015
usa,2011,88.04637
usa,2012,88.03673
usa,2013,88.62399
usa,2014,88.85883
usa,2015,88.75894
usa,2016,89.59839
usa,2018,90.1592
usa,2020,91.30085
uzb,2013,89.7605
uzb,2014,90.17484
uzb,2015,90.30006
uzb,2016,91.02839
uzb,2018,95.27514
uzb,2019,95.81224
ven,2006,37.5413
ven,2007,42.65915
ven,2008,44.66506
ven,2009,46.46691
ven,2015,59.69338
ven,2016,65.17639
vgb,1991,21.26505
vnm,1979,19.06362
vnm,2009,21.43751
vnm,2019,29.52684
vut,1979,5.2
wsm,1971,4.5269
wsm,1976,6.8
wsm,1981,28.28902
wsm,2001,65.32013
wsm,2011,74.63024
zaf,1970,9.05807
zaf,1985,7.75313
zaf,2001,25.35955
zaf,2002,45.4982
zaf,2003,47.16231
zaf,2004,48.61181
zaf,2005,48.79796
zaf,2006,49.17342
zaf,2007,50.01157
zaf,2008,51.64525
zaf,2009,55.27594
zaf,2010,56.05414
zaf,2011,57.95431
zaf,2012,59.81891
zaf,2014,62.79687
zaf,2015,62.79679
zaf,2017,60.47858
zaf,2019,54.32281
zmb,1990,8.87448
zwe,2002,6.31009
zwe,2012,3.93888
zwe,2014,12.00218
zwe,2017,9.35805
