geo,time,er_h2o_fwtl_zs
che,1987,6.58416
che,1992,6.67079
che,1997,6.33193
che,2002,6.23267
che,2007,5.59715
che,2012,4.96163
che,2017,4.29208
chl,1992,2.29211
chl,1997,2.90309
chl,2002,3.51294
chl,2007,3.99638
chl,2012,3.99638
chl,2017,3.99638
chn,1982,16.36918
chn,1987,17.37064
chn,1992,18.37658
chn,1997,19.19557
chn,2002,19.62958
chn,2007,20.21685
chn,2012,21.28688
chn,2017,21.03804
civ,1987,0.9227
civ,1992,1.51744
civ,1997,1.71838
civ,2002,1.90651
civ,2007,1.9028
civ,2012,1.62421
civ,2017,1.51223
cmr,1987,0.14505
cmr,1992,0.14652
cmr,1997,0.27619
cmr,2002,0.37187
cmr,2007,0.39868
cmr,2012,0.39868
cmr,2017,0.39868
cod,1997,0.0577
cod,2002,0.06932
cod,2007,0.07596
cod,2012,0.07596
cod,2017,0.07596
cog,1987,0.01802
cog,1992,0.01892
cog,1997,0.01982
cog,2002,0.02072
cog,2007,0.02072
cog,2012,0.02072
cog,2017,0.02072
col,2002,0.40798
col,2007,0.52515
col,2012,0.59126
col,2017,0.63412
com,2002,0.83333
com,2007,0.83333
com,2012,0.83333
com,2017,0.83333
cpv,2002,7.6
cpv,2007,8.43333
cpv,2012,8.43333
cpv,2017,8.43333
cri,2012,2.06991
cri,2017,2.82655
cub,1997,13.69657
cub,2002,13.76197
cub,2007,12.94937
cub,2012,17.4328
cub,2017,18.25289
cyp,1977,21
cyp,1982,23.87179
cyp,1987,26.97436
cyp,1992,27.30769
cyp,1997,23.22344
cyp,2002,21.88462
cyp,2007,21.03846
cyp,2012,32.73077
cyp,2017,27.69231
cze,1997,18.95437
cze,2002,14.51027
cze,2007,14.97795
cze,2012,13.99544
cze,2017,12.39544
deu,1992,42.99439
deu,1997,39.86467
deu,2002,34.53939
deu,2007,30.14953
deu,2012,26.0567
deu,2017,22.84393
dji,1987,3.15556
dji,1992,4.37778
dji,1997,5.6
dji,2002,6.33333
dji,2007,6.33333
dji,2012,6.33333
dji,2017,6.33333
dma,1997,8.3
dma,2002,8.3
dma,2007,9.15
dma,2012,10
dma,2017,10
dnk,1972,15.23333
dnk,1977,20.08333
dnk,1982,23.41667
dnk,1987,22.30556
dnk,1992,19.82266
dnk,1997,15.29167
dnk,2002,10.89
dnk,2007,9.25667
dnk,2012,12.14167
dnk,2017,12.35167
dom,2002,21.73191
dom,2007,26.14638
dom,2012,33.72238
dom,2017,38.62936
dza,1972,19.55556
dza,1977,24
dza,1982,28.44444
dza,1987,34.66667
dza,1992,41.55927
dza,1997,46.87968
dza,2002,53.72094
dza,2007,61.57158
dza,2012,69.33333
dza,2017,87.12889
ecu,2002,2.16684
ecu,2007,2.24137
ecu,2012,2.24137
ecu,2017,2.24137
egy,1977,4896.66667
egy,1982,5088.33333
egy,1987,5280
egy,1992,5469.16667
egy,1997,6209.29429
egy,2002,6931
egy,2007,7362.75
egy,2012,6370
egy,2017,6420
eri,2002,17.775
eri,2007,20.78571
eri,2012,20.78571
eri,2017,20.78571
esp,1977,33.82734
esp,1982,37.81655
esp,1987,39.60576
esp,1992,32.7488
esp,1997,31.02518
esp,2002,31.93076
esp,2007,31.45324
esp,2012,33.04856
esp,2017,28.07914
est,1992,20.69237
est,1997,10.80904
est,2002,11.12038
est,2007,14.4288
est,2012,12.83242
est,2017,14.03619
eth,2002,4.55574
eth,2007,6.84425
eth,2012,7.84509
eth,2017,8.64598
fin,1972,3.17757
fin,1977,3.37383
fin,1982,3.57009
fin,1987,3.1129
fin,1992,2.27159
fin,1997,2.29612
fin,2002,3.87969
fin,2007,6.13271
fin,2012,6.13271
fin,2017,6.13271
fji,1987,0.10508
fji,1992,0.17473
fji,1997,0.24438
fji,2002,0.29065
fji,2007,0.29737
fji,2012,0.29737
fji,2017,0.29737
fra,1982,16.2658
fra,1987,18.0011
fra,1992,19.6095
fra,1997,15.1655
fra,2002,16.177
fra,2007,15.496
fra,2012,14.0315
fra,2017,13.218
gab,1987,0.03659
gab,1992,0.05073
gab,1997,0.06487
gab,2002,0.07794
gab,2007,0.08482
gab,2012,0.08482
gab,2017,0.08482
gbr,1982,8.75034
gbr,1987,8.07448
gbr,1992,8.30897
gbr,1997,8.44661
gbr,2002,8.7183
gbr,2007,5.87103
gbr,2012,5.52897
gbr,2017,5.80621
geo,1992,5.4318
geo,1997,4.09646
geo,2002,3.2247
geo,2007,3.13034
geo,2012,3.13607
geo,2017,3.13607
gha,1972,1.14015
gha,1977,1.51529
gha,1982,1.89043
gha,1987,2.26557
gha,1992,2.6407
gha,1997,3.01584
gha,2002,3.41997
gha,2007,3.86757
gha,2012,4.34158
gha,2017,4.78086
gin,1987,0.32743
gin,1992,0.29986
gin,1997,0.27229
gin,2002,0.24834
gin,2007,0.25398
gin,2012,0.25398
gin,2017,0.25398
gmb,1982,0.66667
gmb,1987,1.33088
gmb,1992,1.9951
gmb,1997,2.65931
gmb,2002,3.16467
gmb,2007,3.38667
gmb,2012,3.38667
gmb,2017,3.38667
gnb,1992,0.30175
gnb,1997,1.09375
gnb,2002,1.09375
gnb,2007,1.09375
gnb,2012,1.09375
gnb,2017,1.09375
gnq,1987,0.03846
gnq,1992,0.04941
gnq,1997,0.06036
gnq,2002,0.07062
gnq,2007,0.07615
gnq,2012,0.07615
gnq,2017,0.07615
grc,1972,7.34952
grc,1977,7.89221
grc,1982,8.9869
grc,1987,11.09034
grc,1992,13.85862
grc,1997,14.97414
grc,2002,15.92414
grc,2007,16.58569
grc,2012,17.12931
grc,2017,19.37931
gtm,2002,2.38712
gtm,2007,3.04405
gtm,2012,3.04405
gtm,2017,3.04405
guy,1992,0.60581
guy,1997,0.65249
guy,2002,0.66775
guy,2007,0.62896
guy,2012,0.59946
guy,2017,0.59946
hnd,2007,1.77256
hnd,2012,1.77256
hnd,2017,1.77256
hrv,2002,1.52122
hrv,2007,1.72671
hrv,2012,1.75332
hrv,2017,1.78488
hti,1992,8.11741
hti,1997,10.05556
hti,2002,10.50961
hti,2007,10.96365
hti,2012,11.14527
hti,2017,11.14527
hun,1972,56.24267
hun,1977,71.69133
hun,1982,90.38667
hun,1987,109.5869
hun,1992,118.95
hun,1997,99.48056
hun,2002,96
hun,2007,91.44444
hun,2012,84.18333
hun,2017,74.98333
idn,1992,4.06711
idn,1997,5.03151
idn,2002,6.2873
idn,2007,7.98005
idn,2012,9.6728
idn,2017,11.02699
ind,1977,27.8935
ind,1982,31.92877
ind,1987,34.44122
ind,1992,36.10511
ind,1997,39.92251
ind,2002,44.29595
ind,2007,49.50342
ind,2012,44.7787
ind,2017,44.7787
irl,1982,2.21458
irl,1987,2.29184
irl,1992,2.3691
irl,1997,2.19017
irl,2002,1.84045
irl,2007,1.4898
irl,2012,1.5449
irl,2017,1.5449
irn,1977,37.18426
irn,1982,42.59719
irn,1987,48.00986
irn,1992,53.42032
irn,1997,66.30117
irn,2002,70.66031
irn,2007,72.33463
irn,2012,72.33463
irn,2017,72.33463
irq,1977,115.49432
irq,1982,116.15057
irq,1987,118.55682
irq,1992,134.77273
irq,1997,167.70625
irq,2002,176.92516
irq,2007,150.54063
irq,2012,124.14188
irq,2017,109.48295
isl,1982,0.06447
isl,1987,0.07882
isl,1992,0.09824
isl,1997,0.09676
isl,2002,0.09706
isl,2007,0.12593
isl,2012,0.17294
isl,2017,0.17059
isr,1972,208.82667
isr,1977,215.89333
isr,1982,227.97333
isr,1987,226.13333
isr,1992,206.88
isr,1997,208.64
isr,2002,205.8
isr,2007,183.93333
isr,2012,168.32
isr,2017,159.73333
ita,1972,23.38178
ita,1977,24.84773
ita,1982,25.09877
ita,1987,23.5028
ita,1992,23.08191
ita,1997,24.45228
ita,2002,22.86815
ita,2007,18.33223
ita,2012,18.62163
ita,2017,18.65518
jam,1997,9.66794
jam,2002,11.03776
jam,2007,12.40758
jam,2012,13.7774
jam,2017,12.47689
jor,1977,71.05572
jor,1982,83.37243
jor,1987,106.18768
jor,1992,137.26435
jor,1997,120.97141
jor,2002,108.30855
jor,2007,136.65689
jor,2012,124.4868
jor,2017,132.49267
jpn,1982,20.64171
jpn,1987,20.9669
jpn,1992,21.25581
jpn,1997,20.74186
jpn,2002,19.63953
jpn,2007,19.24419
jpn,2012,18.88884
jpn,2017,18.88884
kaz,1997,41.96643
kaz,2002,34.59207
kaz,2007,35.44678
kaz,2012,33.24009
kaz,2017,34.88733
ken,1992,9.42601
ken,1997,8.24467
ken,2002,9.98377
ken,2007,13.68668
ken,2012,15.54976
ken,2017,19.47826
kgz,1997,20.30452
kgz,2002,18.98426
kgz,2007,15.75107
kgz,2012,15.75107
kgz,2017,15.75107
khm,2007,1.81095
khm,2012,1.81095
khm,2017,1.81095
kna,2012,50.83333
kna,2017,50.83333
kor,1992,33.86496
kor,1997,39.22899
kor,2002,44.97764
kor,2007,45.02236
kor,2012,45.02236
kor,2017,45.02236
lao,2007,2.3104
lao,2012,3.5
lao,2017,3.84454
lbn,1977,16.83004
lbn,1982,19.80592
lbn,1987,22.77741
lbn,1992,25.71162
lbn,1997,28.35417
lbn,2002,25.35
lbn,2007,25.81667
lbn,2012,33.275
lbn,2017,37.75
lbr,1987,0.065
lbr,1992,0.06515
lbr,1997,0.06531
lbr,2002,0.06842
lbr,2007,0.07295
lbr,2012,0.07295
lbr,2017,0.07295
lby,1977,186.85714
lby,1982,304
lby,1987,539
lby,1992,668.57143
lby,1997,637.54857
lby,2002,648.48571
lby,2007,732.09184
lby,2012,817.14286
lby,2017,817.14286
lca,2007,14.3
lca,2012,14.3
lca,2017,14.3
lka,1992,19.72977
lka,1997,22.79947
lka,2002,24.59235
lka,2007,24.51894
lka,2012,24.51894
lka,2017,24.51894
lso,1987,0.95602
lso,1992,0.8956
lso,1997,0.83517
lso,2002,0.83748
lso,2007,0.83748
lso,2012,0.83748
lso,2017,0.83748
ltu,1997,24.63759
ltu,2002,16.75138
ltu,2007,14.64424
ltu,2012,3.47219
ltu,2017,1.67529
lux,1972,3.788
lux,1977,4.138
lux,1982,5.062
lux,1987,6.5
lux,1992,6
lux,1997,5.89
lux,2002,5.666
lux,2007,4.976
lux,2012,4.46
lux,2017,4.56
lva,1997,2.12491
lva,2002,1.44333
lva,2007,1.2196
lva,2012,1.46517
lva,2017,1.06907
mar,1977,32.48276
mar,1982,35.96552
mar,1987,36.52414
mar,1992,38.07448
mar,1997,40.17952
mar,2002,51.07931
mar,2007,41.94138
mar,2012,36.45862
mar,2017,36.45862
mda,1992,121.17284
mda,1997,91.91077
mda,2002,53.45679
mda,2007,52.71605
mda,2012,52.46914
mda,2017,51.85185
mdg,1987,4.67448
mdg,1992,4.40246
mdg,1997,4.13045
mdg,2002,3.97767
mdg,2007,4.02282
mdg,2012,4.02282
mdg,2017,4.02282
mdv,1987,11.33333
mdv,1992,12.36508
mdv,1997,16.44231
mdv,2002,16.91667
mdv,2007,15.46032
mdv,2012,15.66667
mdv,2017,15.66667
mex,1982,13.98291
mex,1987,14.72868
mex,1992,15.47445
mex,1997,16.22023
mex,2002,17.67726
mex,2007,19.22983
mex,2012,20.22738
mex,2017,21.47677
mkd,1997,24.80093
mkd,2002,11.72593
mkd,2007,10.20741
mkd,2012,11.71852
mkd,2017,19.33333
mli,1987,2.26667
mli,1992,4.52515
mli,1997,6.75974
mli,2002,8.50544
mli,2007,8.64333
mli,2012,8.64333
mli,2017,8.64333
mlt,1982,49.10891
mlt,1987,51.84158
mlt,1992,48.27723
mlt,1997,52.19236
mlt,2002,67.32673
mlt,2007,72.87129
mlt,2012,79.40594
mlt,2017,85.14851
mmr,1987,2.81715
mmr,1992,3.0077
mmr,1997,3.19826
mmr,2002,3.31316
mmr,2007,3.31316
mmr,2012,3.31316
mmr,2017,3.31316
mng,1997,1.32891
mng,2002,1.4527
mng,2007,1.56226
mng,2012,1.40891
mng,2017,1.32874
moz,1992,0.65614
moz,1997,0.78853
moz,2002,0.94721
moz,2007,1.16326
moz,2012,1.35409
moz,2017,1.46859
mrt,1982,272.3075
mrt,1987,406.12292
mrt,1992,403.38333
mrt,1997,401.14375
mrt,2002,367.775
mrt,2007,337.05
mrt,2012,337.05
mrt,2017,337.05
mus,1977,14.08458
mus,1982,16.58064
mus,1987,19.0767
mus,1992,21.2868
mus,1997,22.28281
mus,2002,24.96062
mus,2007,22.90076
mus,2012,21.15594
mus,2017,22.17375
mwi,1997,6.7294
mwi,2002,8.29009
mwi,2007,8.40644
mwi,2012,8.40644
mwi,2017,8.40644
mys,1992,1.49094
mys,1997,0.95225
mys,2002,0.98592
mys,2007,1.01958
mys,2012,1.05325
mys,2017,1.15638
nam,1987,2.86039
nam,1992,4.13474
nam,1997,4.46266
nam,2002,4.5763
nam,2007,4.5763
nam,2012,4.5763
nam,2017,4.5763
ner,1992,17.53681
ner,1997,21.60067
ner,2002,25.66454
ner,2007,31.4546
ner,2012,39.83397
ner,2017,49.92
nga,1987,2.52941
nga,1992,3.3488
nga,1997,4.16986
nga,2002,4.89149
nga,2007,5.39882
nga,2012,5.64344
nga,2017,5.64344
nic,2002,0.93203
nic,2007,0.98003
nic,2012,0.98803
nic,2017,0.98803
nld,1982,84.16727
nld,1987,80.02364
nld,1992,69.88909
nld,1997,63.53182
nld,2002,87.0325
nld,2007,99.45455
nld,2012,97.45455
nld,2017,72.62182
nor,1982,0.5373
nor,1987,0.57165
nor,1992,0.606
nor,1997,0.62723
nor,2002,0.6686
nor,2007,0.79215
nor,2012,0.71513
nor,2017,0.70448
npl,2002,4.81147
npl,2007,4.79168
npl,2012,4.79168
npl,2017,4.79168
nzl,1982,0.4526
nzl,1987,0.63521
nzl,1992,0.77064
nzl,1997,0.90607
nzl,2002,1.19196
nzl,2007,1.52332
nzl,2012,2.3052
nzl,2017,3.01988
omn,1992,86.47367
omn,1997,88.91342
omn,2002,89.75
omn,2007,97.51429
omn,2012,113.51429
omn,2017,116.71429
pak,1977,279.35818
pak,1982,280.62636
pak,1987,281.89455
pak,1992,286.33535
pak,1997,303.46667
pak,2002,318.38455
pak,2007,330.81136
pak,2012,341.6
pak,2017,363.63636
pan,2012,0.84592
pan,2017,0.88682
per,2012,0.90416
per,2017,0.98169
phl,2007,17.01378
phl,2012,17.58831
phl,2017,19.36326
png,2002,0.03991
png,2007,0.04895
png,2012,0.04895
png,2017,0.04895
pol,1972,21.41903
pol,1977,26.43955
pol,1982,29.18619
pol,1987,29.69142
pol,1992,24.96269
pol,1997,23.86754
pol,2002,21.86381
pol,2007,22.42537
pol,2012,21.39925
pol,2017,18.80597
pri,1992,11.39944
pri,1997,11.81352
pri,2002,12.86197
pri,2007,14.16676
pri,2012,13.52394
pri,2017,12.32394
prk,2002,12.83057
prk,2007,12.92209
prk,2012,12.92209
prk,2017,12.92209
prt,1992,26.50043
prt,1997,30.80782
prt,2002,29.61496
prt,2007,24.06842
prt,2012,24.06842
prt,2017,24.06842
pry,1987,0.36752
pry,1992,0.38725
pry,1997,0.40697
pry,2002,0.70425
pry,2007,1.41786
pry,2012,2.06239
pry,2017,2.06239
qat,1977,293.21429
qat,1982,356.60714
qat,1987,420
qat,1992,336.96429
qat,1997,289.82143
qat,2002,333.46429
qat,2007,402.32143
qat,2012,439.375
qat,2017,447.85714
rou,1972,27.16848
rou,1977,38.13119
rou,1982,45.96508
rou,1987,48.28693
rou,1992,47.42017
rou,1997,29.40066
rou,2002,21.76026
rou,2007,16.24351
rou,2012,15.29495
rou,2017,15.9816
rus,1992,2.30983
rus,1997,1.68132
rus,2002,1.5252
rus,2007,1.47495
rus,2012,1.48423
rus,2017,1.49374
rwa,2002,1.72168
rwa,2007,1.93579
rwa,2012,1.93579
rwa,2017,1.93579
sau,1992,671.66667
sau,1997,765.35938
sau,2002,847.78021
sau,2007,936.12847
sau,2012,900.10417
sau,2017,883.33333
sdn,2012,673.375
sdn,2017,673.375
sen,1987,5.27132
sen,1992,5.61412
sen,1997,5.95692
sen,2002,8.60833
sen,2007,8.60833
sen,2012,8.60833
sen,2017,8.60833
sgp,1977,54.34083
sgp,1982,111.02625
sgp,1987,167.71167
sgp,1992,223.19708
sgp,1997,279.8825
sgp,2002,338.24525
sgp,2007,315.06133
sgp,2012,160.03342
sgp,2017,82.01667
sle,1987,0.23125
sle,1992,0.07875
sle,1997,0.10332
sle,2002,0.12389
sle,2007,0.13262
sle,2012,0.13262
sle,2017,0.13262
slv,1992,4.66347
slv,1997,7.25024
slv,2002,10.70173
slv,2007,13.55086
slv,2012,13.55086
slv,2017,13.55086
som,1987,13.5
som,1992,29.39679
som,1997,45.29359
som,2002,54.92167
som,2007,54.96667
som,2012,54.96667
som,2017,54.96667
srb,2007,47.07744
srb,2012,52.37302
srb,2017,63.95861
ssd,2012,2.53077
ssd,2017,2.53077
stp,1997,0.59154
stp,2002,0.9296
stp,2007,1.26765
stp,2012,1.6057
stp,2017,1.87615
sur,1987,0.46465
sur,1992,0.54623
sur,1997,0.62782
sur,2002,0.65855
sur,2007,0.62212
sur,2012,0.62212
sur,2017,0.62212
svk,1997,10.39683
svk,2002,8.68571
svk,2007,5.45952
svk,2012,5.28016
svk,2017,4.41508
svn,2002,4.81628
svn,2007,5.01018
svn,2012,4.97054
svn,2017,4.98875
swe,1972,2.39637
swe,1977,2.41135
swe,1982,2.13544
swe,1987,1.73772
swe,1992,1.7386
swe,1997,1.58538
swe,2002,1.56491
swe,2007,1.53801
swe,2012,1.49906
swe,2017,1.38889
swz,1982,26.3447
swz,1987,29.99053
swz,1992,33.63636
swz,1997,37.2822
swz,2002,39.86364
swz,2007,40.45455
swz,2012,40.45455
swz,2017,40.45455
syr,1977,61.51929
syr,1982,98.23955
syr,1987,134.95981
syr,1992,171.68006
syr,1997,202.28547
syr,2002,229.37465
syr,2007,198.32305
syr,2012,195.79921
syr,2017,195.79921
tcd,1987,1.20667
tcd,1992,2.74079
tcd,1997,4.27491
tcd,2002,5.7424
tcd,2007,5.864
tcd,2012,5.864
tcd,2017,5.864
tgo,1987,0.7913
tgo,1992,1.0544
tgo,1997,1.3175
tgo,2002,1.46957
tgo,2007,1.93913
tgo,2012,1.93913
tgo,2017,1.93913
tha,2007,25.5265
tha,2012,25.5265
tha,2017,25.5265
tjk,1997,18.26347
tjk,2002,18.12943
tjk,2007,17.50503
tjk,2012,16.82656
tjk,2017,16.41948
tkm,1997,1726.87189
tkm,2002,1850.70225
tkm,2007,1983.27402
tkm,2012,1983.27402
tkm,2017,1983.27402
tls,2007,14.26659
tls,2012,14.26659
tls,2017,14.26659
tto,1997,7.73438
tto,2002,8.5
tto,2007,8.28299
tto,2012,8.75521
tto,2017,8.75521
tun,1977,33.42074
tun,1982,49.10608
tun,1987,62.21692
tun,1992,71.03218
tun,1997,65.79738
tun,2002,67.31824
tun,2007,69.10608
tun,2012,82.84863
tun,2017,113.65912
tur,1992,13.92048
tur,1997,15.40688
tur,2002,17.56755
tur,2007,18.26856
tur,2012,22.2511
tur,2017,26.43612
tza,1997,3.41938
tza,2002,6.17143
tza,2007,6.17143
tza,2012,6.17143
tza,2017,6.17143
uga,1972,0.53497
uga,1977,0.59036
uga,1982,0.64574
uga,1987,0.70113
uga,1992,0.75651
uga,1997,0.8119
uga,2002,0.92705
uga,2007,1.51562
uga,2012,1.63333
uga,2017,1.63333
ukr,1992,47.18693
ukr,1997,38.43376
ukr,2002,30.85735
ukr,2007,27.20145
ukr,2012,23.3657
ukr,2017,15.67151
ury,1967,0.89154
ury,1972,1.35792
ury,1977,1.8243
ury,1982,2.29067
ury,1987,2.75705
ury,1992,3.22343
ury,1997,3.6898
ury,2002,3.96963
ury,2007,3.96963
ury,2012,3.96963
ury,2017,3.96963
usa,1982,17.99503
usa,1987,17.06352
usa,1992,16.56494
usa,1997,16.71576
usa,2002,16.87722
usa,2007,16.13485
usa,2012,15.22493
usa,2017,15.76991
uzb,1997,327.85277
uzb,2002,321.87882
uzb,2007,302.62478
uzb,2012,307.04474
uzb,2017,360.46512
vct,1997,9.9
vct,2002,9.41744
vct,2007,9.1
vct,2012,8.1
vct,2017,7.9
ven,1972,0.55038
ven,1977,0.6532
ven,1982,0.75598
ven,1987,0.85876
ven,1992,0.96089
ven,1997,1.06366
ven,2002,1.61836
ven,2007,2.81007
ven,2012,2.81007
ven,2017,2.81007
vnm,1982,11.35893
vnm,1987,13.29137
vnm,1992,15.46388
vnm,1997,18.28748
vnm,2002,21.11864
vnm,2007,22.77741
vnm,2012,22.77741
vnm,2017,22.77741
yem,1992,143.6
yem,1997,154.74286
yem,2002,164.59048
yem,2007,169.7619
yem,2012,169.7619
yem,2017,169.7619
zaf,1992,29.30402
zaf,1997,28.66071
zaf,2002,28.57355
zaf,2007,28.95272
zaf,2012,30.49931
zaf,2017,43.25893
zmb,1992,2.1783
zmb,1997,2.06453
zmb,2002,1.9601
zmb,2007,1.9601
zmb,2012,1.9601
zmb,2017,1.9601
zwe,1987,9.95106
zwe,1992,18.06688
zwe,1997,26.18271
zwe,2002,34.29853
zwe,2007,29.11909
zwe,2012,28.22696
zwe,2017,27.23491
