geo,time,er_gdp_fwtl_m3_kd
guy,2002,1.84824
guy,2007,2.18805
guy,2012,2.79144
guy,2017,3.19008
hnd,2007,10.40508
hnd,2012,11.86807
hnd,2017,14.22034
hrv,2002,73.93844
hrv,2007,82.46722
hrv,2012,73.72689
hrv,2017,78.79493
hti,1992,9.80439
hti,1997,7.7469
hti,2002,7.89296
hti,2007,8.59643
hti,2012,9.45986
hti,2017,10.66126
hun,1992,10.69326
hun,1997,13.71073
hun,2002,17.32886
hun,2007,21.57689
hun,2012,22.46554
hun,2017,29.62116
idn,1992,3.74257
idn,1997,4.23262
idn,2002,3.37028
idn,2007,3.46529
idn,2012,3.79192
idn,2017,4.26717
ind,1977,0.62826
ind,1982,0.64372
ind,1987,0.76214
ind,1992,0.94992
ind,1997,1.15545
ind,2002,1.35995
ind,2007,1.77856
ind,2012,2.63258
ind,2017,3.75601
irl,1982,54.95039
irl,1987,59.38185
irl,1992,73.07412
irl,1997,112.18548
irl,2002,195.76824
irl,2007,310.96614
irl,2012,279.39141
irl,2017,428.0107
irn,1977,5.58913
irn,1982,3.28922
irn,1987,2.66888
irn,1992,3.16456
irn,1997,2.7445
irn,2002,3.04055
irn,2007,3.94973
irn,2012,4.02002
irn,2017,4.87265
irq,1977,0.55391
irq,1982,0.99823
irq,1987,0.97189
irq,1992,0.62303
irq,1997,0.93122
irq,2002,1.52882
irq,2007,1.9104
irq,2012,3.37943
irq,2017,4.83782
isl,1997,61.48206
isl,2002,75.18023
isl,2007,78.07724
isl,2012,53.66165
isl,2017,66.90552
isr,1997,104.4477
isr,2002,122.25578
isr,2007,167.10459
isr,2012,214.78505
isr,2017,269.3543
ita,1972,20.94628
ita,1977,23.96316
ita,1982,27.18037
ita,1987,33.07519
ita,1992,37.88301
ita,1997,38.42586
ita,2002,45.09682
ita,2007,59.50567
ita,2012,54.61239
ita,2017,55.53307
jam,1997,12.341
jam,2002,11.124
jam,2007,10.94598
jam,2012,9.31845
jam,2017,10.76111
jor,1977,12.80512
jor,1982,21.08177
jor,1987,17.72899
jor,1992,14.39393
jor,1997,20.06423
jor,2002,27.707
jor,2007,31.40287
jor,2012,41.80048
jor,2017,44.46429
jpn,1982,27.4088
jpn,1987,33.24316
jpn,1992,40.16777
jpn,1997,44.20432
jpn,2002,47.41063
jpn,2007,52.57714
jpn,2012,52.66954
jpn,2017,56.06198
kaz,1997,2.21529
kaz,2002,3.70506
kaz,2007,5.72807
kaz,2012,7.71203
kaz,2017,8.64409
ken,1992,13.72773
ken,1997,17.66042
ken,2002,16.17766
ken,2007,15.38237
ken,2012,16.86223
ken,2017,17.61597
kgz,1997,0.31731
kgz,2002,0.39889
kgz,2007,0.61525
kgz,2012,0.72299
kgz,2017,0.94693
khm,2007,5.15939
khm,2012,6.70779
khm,2017,9.44277
kna,2012,66.86582
kna,2017,76.26827
kor,1992,21.50723
kor,1997,27.22489
kor,2002,30.93274
kor,2007,38.95242
kor,2012,45.86441
kor,2017,53.31526
kwt,1997,183.48065
kwt,2002,152.37504
kwt,2007,199.46444
kwt,2012,181.08621
kwt,2017,145.90689
lao,2007,1.78678
lao,2012,1.73169
lao,2017,2.24899
lbn,1992,14.00033
lbn,1997,18.19876
lbn,2002,22.84532
lbn,2007,28.15788
lbn,2012,29.33338
lbn,2017,28.21994
lbr,2002,16.97625
lbr,2007,14.22108
lbr,2012,19.89216
lbr,2017,21.95583
lby,2002,7.56849
lby,2007,10.02896
lby,2012,8.13354
lby,2017,5.99383
lca,2007,39.75625
lca,2012,43.36583
lca,2017,45.35575
