geo,time,sl_tlf_cact_fe_zs
ben,2018,69.901
ben,2019,69.962
ben,2020,69.296
ben,2021,69.334
bfa,1990,79.45
bfa,1991,79.431
bfa,1992,78.419
bfa,1993,77.371
bfa,1994,76.288
bfa,1995,75.171
bfa,1996,74.019
bfa,1997,72.832
bfa,1998,71.611
bfa,1999,70.355
bfa,2000,69.066
bfa,2001,67.742
bfa,2002,66.387
bfa,2003,64.999
bfa,2004,63.582
bfa,2005,62.136
bfa,2006,60.663
bfa,2007,60.211
bfa,2008,59.778
bfa,2009,59.365
bfa,2010,58.975
bfa,2011,58.61
bfa,2012,58.27
bfa,2013,57.957
bfa,2014,57.671
bfa,2015,57.696
bfa,2016,57.72
bfa,2017,57.748
bfa,2018,57.782
bfa,2019,57.825
bfa,2020,57.267
bfa,2021,57.237
bgd,1990,26.637
bgd,1991,26.7
bgd,1992,26.808
bgd,1993,26.957
bgd,1994,27.139
bgd,1995,27.349
bgd,1996,27.52
bgd,1997,27.721
bgd,1998,27.937
bgd,1999,28.15
bgd,2000,28.345
bgd,2001,28.466
bgd,2002,28.582
bgd,2003,28.689
bgd,2004,28.785
bgd,2005,28.876
bgd,2006,28.88
bgd,2007,29.272
bgd,2008,29.671
bgd,2009,30.072
bgd,2010,30.474
bgd,2011,30.873
bgd,2012,31.273
bgd,2013,31.677
bgd,2014,32.086
bgd,2015,32.503
bgd,2016,32.931
bgd,2017,36.109
bgd,2018,36.242
bgd,2019,36.311
bgd,2020,34.545
bgd,2021,34.869
bgr,1990,53.172
bgr,1991,53.511
bgr,1992,53.824
bgr,1993,52.678
bgr,1994,51.529
bgr,1995,50.377
bgr,1996,49.223
bgr,1997,48.069
bgr,1998,46.914
bgr,1999,45.762
bgr,2000,44.612
bgr,2001,46.409
bgr,2002,46.018
bgr,2003,44.753
bgr,2004,45.417
bgr,2005,44.378
bgr,2006,46.32
bgr,2007,47.436
bgr,2008,48.292
bgr,2009,47.483
bgr,2010,47.758
bgr,2011,47.193
bgr,2012,47.822
bgr,2013,48.553
bgr,2014,48.608
bgr,2015,48.555
bgr,2016,47.649
bgr,2017,49.504
bgr,2018,49.207
bgr,2019,50.269
bgr,2020,49.183
bgr,2021,49.143
bhr,1990,29.645
bhr,1991,29.292
bhr,1992,29.708
bhr,1993,30.382
bhr,1994,31.069
bhr,1995,31.685
bhr,1996,32.454
bhr,1997,33.149
bhr,1998,33.776
bhr,1999,34.444
bhr,2000,35.111
bhr,2001,35.406
bhr,2002,36.282
bhr,2003,37.15
bhr,2004,38.019
bhr,2005,38.896
bhr,2006,39.756
bhr,2007,40.642
bhr,2008,41.573
bhr,2009,42.567
bhr,2010,43.623
bhr,2011,42.504
bhr,2012,42.809
bhr,2013,43.121
bhr,2014,43.386
bhr,2015,43.575
bhr,2016,43.666
bhr,2017,43.791
bhr,2018,44.097
bhr,2019,44.39
bhr,2020,42.055
bhr,2021,42.361
bhs,1990,64.441
bhs,1991,65.05
bhs,1992,65.655
bhs,1993,66.258
bhs,1994,66.86
bhs,1995,69.511
bhs,1996,68.07
bhs,1997,70.581
bhs,1998,70.731
bhs,1999,70.924
bhs,2000,71.02
bhs,2001,71.115
bhs,2002,71.715
bhs,2003,71.38
bhs,2004,71.043
bhs,2005,70.63
bhs,2006,70.216
bhs,2007,69.8
bhs,2008,69.379
bhs,2009,68.955
bhs,2010,69.387
bhs,2011,69.843
bhs,2012,69.729
bhs,2013,69.685
bhs,2014,69.789
bhs,2015,69.86
bhs,2016,69.916
bhs,2017,69.899
bhs,2018,69.973
bhs,2019,70.062
bhs,2020,63.232
bhs,2021,65.627
bih,1990,33.847
bih,1991,34.299
bih,1992,34.53
bih,1993,34.594
bih,1994,34.349
bih,1995,34.023
bih,1996,33.736
bih,1997,33.534
bih,1998,33.248
bih,1999,32.645
bih,2000,32.318
bih,2001,32.063
bih,2002,31.771
bih,2003,31.558
bih,2004,31.254
bih,2005,30.859
bih,2006,30.629
bih,2007,30.762
bih,2008,31.421
bih,2009,31.761
bih,2010,32.999
bih,2011,32.665
bih,2012,32.427
bih,2013,32.36
bih,2014,32.926
bih,2015,33.459
bih,2016,32.048
bih,2017,32.347
bih,2018,31.417
bih,2019,32.872
bih,2020,32.666
bih,2021,32.257
blr,1990,52.03
blr,1991,52.091
blr,1992,52.634
blr,1993,53.102
blr,1994,53.877
blr,1995,54.608
blr,1996,54.385
blr,1997,53.628
blr,1998,53.092
blr,1999,52.866
blr,2000,53.211
blr,2001,53.56
blr,2002,53.911
blr,2003,54.262
blr,2004,54.614
blr,2005,54.965
blr,2006,55.316
blr,2007,55.667
blr,2008,56.017
blr,2009,56.365
blr,2010,56.713
blr,2011,57.058
blr,2012,57.402
blr,2013,57.745
blr,2014,58.087
blr,2015,58.429
blr,2016,58.769
blr,2017,58.582
blr,2018,58.161
blr,2019,58.275
blr,2020,57.728
blr,2021,57.311
blz,1990,32.531
blz,1991,33.296
blz,1992,34.088
blz,1993,34.452
blz,1994,34.333
blz,1995,35.673
blz,1996,37.021
blz,1997,38.381
blz,1998,39.274
blz,1999,39.305
blz,2000,39.805
blz,2001,40.313
blz,2002,40.823
blz,2003,41.333
blz,2004,41.848
blz,2005,42.367
blz,2006,42.89
blz,2007,43.418
blz,2008,43.948
blz,2009,44.477
blz,2010,45.003
blz,2011,45.53
blz,2012,46.052
blz,2013,46.572
blz,2014,47.486
blz,2015,48.362
blz,2016,49.238
blz,2017,48.848
blz,2018,49.076
blz,2019,49.107
blz,2020,45.859
blz,2021,46.897
bol,1990,56.838
bol,1991,57.336
bol,1992,57.306
bol,1993,57.69
bol,1994,58.14
bol,1995,58.594
bol,1996,58.981
bol,1997,59.465
bol,1998,59.361
bol,1999,59.256
bol,2000,59.15
bol,2001,59.874
bol,2002,60.593
bol,2003,61.307
bol,2004,62.016
bol,2005,62.72
bol,2006,63.421
bol,2007,61.527
bol,2008,62.034
bol,2009,62.625
bol,2010,62.26
bol,2011,61.896
bol,2012,57.682
bol,2013,58.808
bol,2014,61.197
bol,2015,54.638
bol,2016,56.972
bol,2017,59.159
bol,2018,63.603
bol,2019,60.751
bol,2020,54.719
bol,2021,68.283
bra,1990,41.384
bra,1991,41.461
bra,1992,42.701
bra,1993,43.947
bra,1994,45.2
bra,1995,46.458
bra,1996,45.235
bra,1997,46.155
bra,1998,46.949
bra,1999,48.119
bra,2000,49.479
bra,2001,50.838
bra,2002,52.191
bra,2003,52.442
bra,2004,53.515
bra,2005,54.618
bra,2006,54.368
bra,2007,54.172
bra,2008,53.872
bra,2009,54.325
bra,2010,52.931
bra,2011,51.53
bra,2012,51.438
bra,2013,51.296
bra,2014,51.252
bra,2015,51.743
bra,2016,51.713
bra,2017,52.624
bra,2018,52.758
bra,2019,53.436
bra,2020,47.71
bra,2021,49.11
brb,1990,60.043
brb,1991,58.088
brb,1992,59.16
brb,1993,60.13
brb,1994,61.095
brb,1995,62.629
brb,1996,61.335
brb,1997,62.168
brb,1998,62.03
brb,1999,61.557
brb,2000,62.682
brb,2001,63.792
brb,2002,62.817
brb,2003,63.962
brb,2004,64.46
brb,2005,64.479
brb,2006,62.765
brb,2007,61.949
brb,2008,62.513
