geo,time,se_xpd_cprm_zs
com,2011,100
com,2012,100
com,2015,99.99874
cpv,2002,84.77199
cpv,2004,87.71882
cpv,2005,90.72834
cpv,2006,88.77968
cpv,2008,91.34795
cpv,2009,92.44592
cpv,2013,97.70227
cpv,2014,97.07975
cpv,2015,97.00067
cpv,2016,96.86448
cpv,2019,96.95586
cri,2001,100
cri,2002,100
cri,2004,97.25072
cri,2006,98.08092
cri,2007,94.25862
cri,2008,96.33713
cri,2009,94.38324
cri,2010,92.64265
cri,2011,97.96785
cri,2012,92.88725
cri,2013,95.08362
cri,2014,95.58583
cri,2015,93.7996
cri,2016,100
cri,2017,90.39013
cri,2018,98.23153
cri,2019,97.1902
cri,2020,98.69225
cub,2000,95.81096
cub,2001,91.47111
cub,2002,85.01604
cub,2004,86.6083
cub,2005,91.84622
cub,2006,96.34209
cub,2007,98.37989
cub,2008,98.62083
cub,2009,99.04731
cub,2010,99.54415
cym,2006,100
cyp,2000,94.28891
cyp,2001,91.09872
cyp,2002,90.08264
cyp,2003,86.2533
cyp,2004,88.63488
cyp,2005,86.2431
cyp,2006,86.05597
cyp,2007,87.91669
cyp,2008,85.2125
cyp,2009,88.10365
cyp,2010,87.71795
cyp,2011,87.46051
cyp,2013,96.92108
cyp,2014,97.81983
cyp,2015,95.56353
cyp,2016,93.08879
cyp,2017,95.61905
cze,1998,90.79878
cze,1999,90.54274
cze,2000,91.77276
cze,2001,88.44358
cze,2002,88.15957
cze,2003,89.7127
cze,2004,89.43884
cze,2005,90.64714
cze,2006,88.10304
cze,2007,91.37899
cze,2008,90.22873
cze,2009,87.93975
cze,2010,88.95469
cze,2011,89.87529
cze,2012,89.90275
cze,2013,88.35038
cze,2014,86.20591
cze,2015,87.878
cze,2016,91.24146
cze,2017,90.19882
cze,2018,89.25026
deu,1998,91.17205
deu,2006,91.78705
deu,2007,91.84788
deu,2008,92.2515
deu,2009,91.65091
deu,2010,89.78895
deu,2011,90.84767
deu,2012,93.72397
deu,2013,94.19519
deu,2014,93.98353
deu,2015,94.12962
deu,2016,93.71049
deu,2017,93.61671
deu,2018,92.75693
dji,2014,68.0129
dji,2016,97.03456
dma,2008,80.02817
dma,2009,98.97095
dma,2011,93.5047
dma,2012,100
dma,2015,89.96727
dnk,1998,95.4242
dnk,1999,94.55021
dnk,2000,91.89215
dnk,2001,89.37809
dnk,2002,90.05671
dnk,2003,90.47223
dnk,2004,91.27106
dnk,2005,92.09153
dnk,2006,92.9742
dnk,2007,93.06995
dnk,2008,91.78782
dnk,2009,90.71947
dnk,2010,89.24703
dnk,2011,94.64552
dnk,2012,89.00278
dnk,2013,89.44551
dnk,2014,89.4455
dnk,2017,90.35576
dnk,2018,90.34241
dom,2001,93.63923
dom,2002,90.40049
dom,2004,99.66483
dom,2005,99.97555
dom,2007,81.53642
dom,2008,82.33206
dom,2009,87.99857
dom,2010,88.69445
dom,2011,88.6349
dom,2013,64.7495
dom,2014,73.73851
dom,2015,77.88263
dom,2016,86.77759
dom,2017,88.55959
dom,2018,92.3336
dom,2019,92.5163
dom,2020,84.43927
dza,2013,95.6776
dza,2016,99.99772
ecu,2009,99.38862
ecu,2010,99.70126
ecu,2011,99.76471
ecu,2012,99.77451
ecu,2013,99.61819
ecu,2014,95.50625
ecu,2015,98.72953
ecu,2016,98.2938
ecu,2018,99.94983
ecu,2019,99.99978
ecu,2020,99.99989
eri,2000,85.70147
eri,2001,84.33444
eri,2002,75.45231
eri,2004,98.09903
eri,2005,95.33399
esp,1999,95.56928
esp,2000,95.99302
esp,2001,95.90379
esp,2002,95.2283
esp,2003,94.21892
esp,2004,93.91853
esp,2005,92.23269
esp,2006,91.48546
esp,2007,91.56898
esp,2008,91.29576
esp,2009,91.94264
esp,2010,92.78714
esp,2011,92.78714
esp,2012,95.90896
esp,2013,96.84026
esp,2014,97.48529
esp,2015,97.50675
esp,2016,97.84916
esp,2017,97.73923
esp,2018,97.38128
est,2001,84.379
est,2002,82.38636
est,2003,89.38889
est,2004,90.23587
est,2013,86.00347
est,2014,92.69614
est,2015,94.07762
est,2016,91.72495
est,2017,89.99151
est,2018,89.59508
eth,2009,93.36255
eth,2010,90.29744
eth,2011,92.98592
eth,2012,89.85153
eth,2013,87.35475
eth,2014,83.55513
eth,2015,85.17175
fin,1999,93.14019
fin,2000,93.03964
fin,2001,90.86829
fin,2002,88.88889
fin,2003,88.06285
fin,2004,87.23955
fin,2005,90.79417
fin,2006,91.14587
fin,2007,91.81304
fin,2008,91.21321
fin,2009,93.05071
fin,2010,92.53047
fin,2011,91.67022
fin,2012,93.09219
fin,2013,93.90463
fin,2014,91.99725
fin,2015,87.68691
fin,2016,87.5859
fin,2017,88.33701
fin,2018,87.51126
fra,1998,91.20523
fra,2017,93.40018
fra,2018,92.48855
gab,2010,90.6875
gab,2011,83.84138
gab,2012,89.32118
gab,2013,97.78014
gab,2014,87.8607
gbr,1998,95.52412
gbr,1999,94.08577
gbr,2000,94.46644
gbr,2001,92.32227
gbr,2002,93.28047
gbr,2003,94.4435
gbr,2004,92.20933
gbr,2005,90.61924
gbr,2006,89.14068
gbr,2007,90.89517
gbr,2008,89.10663
gbr,2009,88.22624
gbr,2010,88.21966
gbr,2011,93.67859
gbr,2013,97.21216
gbr,2014,97.21509
gbr,2015,97.28868
gbr,2016,97.7027
gbr,2017,97.48184
gbr,2018,97.6405
gha,2001,99.99409
gha,2004,86.11452
gha,2005,81.34578
gha,2006,78.48702
gha,2007,85.59674
gha,2008,91.21304
gha,2009,93.44853
gha,2010,93.53515
gha,2012,95.97536
gha,2013,93.11734
gha,2014,93.07684
gib,2016,100
gib,2017,100
gin,2008,47.51432
gin,2009,95.22523
gin,2010,98.17068
gin,2011,97.23118
gin,2012,95.61289
gin,2013,80.73415
gin,2014,94.0971
gin,2015,94.0971
gin,2016,94.0971
gin,2017,94.0971
gin,2018,94.0971
gin,2019,96.18811
gin,2020,98.62207
gmb,2008,48.14124
gmb,2009,52.93057
gmb,2010,44.04167
gmb,2011,52.78444
gmb,2012,49.04431
gmb,2013,90.38769
gnb,2010,59.66082
gnb,2011,58.57411
gnb,2012,53.37498
gnb,2013,36.25577
grc,2015,95.86917
grc,2016,97.27914
grc,2017,97.55784
grc,2018,97.1284
grd,2003,87.9078
gtm,2001,100
gtm,2005,100
gtm,2006,90.92942
gtm,2007,95.08808
gtm,2008,83.10624
gtm,2010,99.88589
gtm,2011,97.37907
gtm,2012,97.61456
gtm,2013,99.60077
gtm,2014,96.99786
gtm,2015,98.37443
gtm,2016,97.43737
gtm,2017,95.96502
gtm,2018,94.94545
gtm,2019,96.33382
gtm,2020,96.3712
guy,2002,82.69868
guy,2004,86.91882
guy,2005,84.84222
guy,2006,68.42478
guy,2007,79.57066
guy,2009,84.87001
guy,2010,94.99129
guy,2011,80.93046
guy,2012,71.71005
hkg,2007,91.32374
hkg,2008,90.88913
hkg,2009,88.79277
hkg,2010,89.08168
hkg,2011,87.50264
hkg,2012,92.95788
hnd,2010,100
hnd,2013,100
hrv,2014,98.14559
hrv,2015,97.94925
hrv,2017,97.31672
hun,1998,93.26476
hun,1999,94.26277
hun,2000,94.35399
hun,2001,94.25672
hun,2002,93.86962
hun,2003,95.60651
hun,2004,95.99995
hun,2005,95.24713
hun,2006,95.02363
hun,2007,96.49363
hun,2008,96.39235
hun,2009,94.38184
hun,2010,90.51307
hun,2011,94.05264
hun,2012,97.02993
hun,2013,98.41545
hun,2014,93.28033
hun,2015,97.28708
hun,2016,97.79886
hun,2017,96.79242
hun,2018,93.43836
idn,2007,89.21301
idn,2008,89.0551
idn,2009,89.23556
idn,2010,89.15138
idn,2011,86.86506
idn,2012,87.3587
idn,2013,86.69868
idn,2014,86.92595
idn,2015,87.58073
ind,1999,97.48745
ind,2000,95.52255
ind,2003,94.40557
ind,2004,94.5337
ind,2005,94.5337
irl,1998,93.59823
irl,1999,93.22648
irl,2000,92.32127
irl,2001,89.74356
irl,2002,89.94491
irl,2003,91.65483
irl,2004,92.84843
irl,2005,89.98158
irl,2006,91.61949
irl,2007,87.62074
irl,2008,86.26914
irl,2009,90.4566
irl,2010,90.31338
irl,2011,91.95536
irl,2012,94.55706
irl,2013,93.31274
irl,2014,92.07393
irl,2015,92.76705
irl,2016,92.45213
irl,2017,90.77721
irl,2018,91.97551
irn,2002,95.12577
irn,2013,95.85275
irn,2014,95.23581
irn,2015,96.44835
irn,2016,96.93108
irn,2017,98.7661
irn,2018,96.89496
irn,2019,93.64127
isl,2004,87.90749
isl,2005,88.10962
isl,2006,87.42885
isl,2007,88.00206
isl,2008,89.39608
isl,2009,89.52839
isl,2010,91.54941
isl,2011,92.92434
isl,2012,92.77428
isl,2013,94.37836
isl,2014,92.52171
isl,2015,94.03902
isl,2016,95.13253
isl,2017,93.89319
isl,2018,91.81457
isr,1998,84.913
isr,1999,88.86124
isr,2000,89.4069
isr,2001,90.09849
isr,2002,90.03462
isr,2003,89.99227
isr,2004,90.69787
isr,2005,92.08895
isr,2006,92.24525
isr,2007,92.08327
isr,2008,90.28062
isr,2009,90.19816
isr,2010,90.14806
isr,2011,90.46349
isr,2012,89.21765
isr,2013,88.21198
isr,2014,88.85243
isr,2015,88.81165
isr,2016,88.50539
isr,2017,87.97217
isr,2018,86.2371
ita,1998,97.05399
ita,2000,94.2119
ita,2001,94.19766
ita,2002,94.46423
ita,2003,93.36936
ita,2004,92.2337
ita,2005,93.57067
ita,2006,95.13727
ita,2007,95.22644
ita,2008,94.85056
ita,2009,95.31758
ita,2010,96.06517
ita,2011,96.56758
ita,2012,96.44719
ita,2013,96.75587
ita,2014,95.44465
ita,2015,95.41565
ita,2016,99.47024
ita,2017,99.12956
ita,2018,98.90453
jam,2003,89.08681
jam,2004,91.99967
jam,2005,94.16126
jam,2007,100
jam,2008,94.22344
jam,2009,100
jam,2011,96.44263
jam,2012,96.7153
jam,2014,97.66001
jam,2015,97.36892
jam,2016,97.6174
jam,2017,98.14251
jam,2018,98.77133
jam,2019,98.36546
jor,1998,100
jor,1999,89.25011
jor,2001,87.94128
jor,2002,95.35478
jor,2003,88.82039
jor,2004,95.70083
jor,2005,96.47003
jor,2006,85.58541
jor,2007,88.45471
jor,2008,86.32358
jor,2010,92.89084
jor,2016,96.51272
jor,2017,95.95034
jor,2018,93.08392
jor,2019,88.13942
jpn,1998,88.93466
jpn,1999,88.4223
jpn,2000,89.19625
jpn,2001,89.08349
jpn,2002,89.11923
jpn,2003,89.36774
jpn,2004,89.65975
jpn,2005,90.04918
jpn,2006,90.41509
jpn,2007,90.17892
jpn,2008,90.74684
jpn,2010,86.58115
jpn,2011,85.98189
jpn,2012,88.01354
jpn,2013,86.9345
jpn,2014,85.34928
jpn,2016,87.40345
jpn,2017,87.37901
jpn,2018,87.97753
kaz,2016,98.64516
kaz,2017,95.25652
kaz,2018,98.31975
kaz,2019,100
ken,2011,95.07473
ken,2012,96.78329
ken,2013,97.3665
ken,2014,96.56206
ken,2015,95.74452
khm,2009,100
khm,2010,100
khm,2011,99.90595
khm,2012,100
khm,2014,100
kna,1998,45.76378
kna,2013,100
kna,2015,90.41755
kna,2016,100
kor,1998,79.87883
kor,1999,84.54786
kor,2017,82.43653
kor,2018,82.06525
kwt,2002,99.12559
kwt,2005,96.90158
kwt,2006,96.46998
kwt,2008,95.37886
kwt,2011,81.12591
kwt,2014,100
lao,2009,83.68558
lao,2010,87.48349
lao,2011,87.28739
lao,2012,73.04442
lao,2013,89.13154
lao,2014,92.43442
lca,1999,97.24266
lca,2000,98.87882
lca,2004,99.46866
lca,2006,99.10279
lca,2008,99.85438
lca,2013,88.52535
lca,2014,81.53605
lca,2015,89.9835
lca,2016,100
lca,2017,75.01382
lca,2018,99.81228
lca,2019,100
lca,2020,100
lie,2007,100
lie,2008,100
lie,2010,75.47069
lie,2011,92.80998
lie,2014,91.07773
lka,2002,58.29429
lka,2009,93.14361
lka,2010,92.09413
lka,2011,92.98175
lka,2012,88.89268
lka,2013,87.274
lka,2014,94.7403
lka,2015,95.33808
lka,2016,73.56205
lka,2017,85.70718
lka,2018,80.85154
lka,2019,90.69494
lso,1999,63.87888
lso,2001,87.18553
lso,2008,100
lso,2018,96.51612
ltu,2003,94.41089
ltu,2004,94.29647
ltu,2005,92.23838
ltu,2006,89.15566
ltu,2007,88.03519
ltu,2008,90.14634
ltu,2009,96.64287
ltu,2010,95.80506
ltu,2011,95.40108
ltu,2012,94.79331
ltu,2013,94.65083
ltu,2014,94.14299
ltu,2015,94.37045
ltu,2016,92.81034
ltu,2017,94.60656
ltu,2018,92.34114
lux,2008,80.71539
lux,2009,84.57402
lux,2010,85.28929
lux,2011,85.12695
lux,2012,85.70519
lux,2013,88.76336
lux,2014,93.28486
lux,2015,93.10877
lux,2017,90.99883
lux,2018,91.42219
lva,1999,96.38298
lva,2000,93.76181
lva,2001,90.24
lva,2002,83.87097
lva,2003,90.05059
lva,2004,89.96711
lva,2006,86.15587
lva,2007,83.73982
lva,2008,81.82399
lva,2009,87.06411
lva,2010,86.29654
lva,2011,87.66008
lva,2012,87.886
lva,2013,86.74366
lva,2014,81.49042
lva,2015,82.98871
lva,2016,89.01354
lva,2017,87.67322
lva,2018,83.1431
mac,2000,98.12834
mac,2002,95.7585
mar,1998,91.94008
mar,1999,91.11405
mar,2001,93.95443
mar,2002,95.3095
mar,2004,94.85068
mar,2005,95.10979
mar,2008,95.76701
mar,2009,90.45147
mco,1998,96.7742
mco,1999,94.30133
mco,2000,96.15994
mco,2004,93.72647
mco,2009,98.86501
mco,2010,97.57925
mco,2011,91.98229
mco,2012,94.98555
mco,2013,93.49869
mco,2014,94.41644
mco,2015,94.54283
mco,2016,86.77022
mco,2019,93.19274
mda,2007,90.2803
mda,2008,90.288
mda,2009,93.57612
mda,2010,92.58945
mda,2011,94.66787
mda,2012,95.1906
mda,2013,92.67745
mda,2014,88.26385
mda,2015,90.88008
mda,2016,90.18532
mda,2017,86.88637
mda,2018,88.38983
mda,2019,91.35806
mdg,2005,54.93634
mdg,2006,56.90777
mdg,2007,58.20316
mdg,2008,87.8994
mdg,2011,91.98883
mdg,2012,94.26929
mdg,2013,97.66094
mdv,2009,99.75381
mdv,2010,98.81732
mdv,2011,98.82076
mdv,2012,98.69155
mdv,2013,99.31144
mdv,2014,99.19529
mdv,2015,98.90458
mdv,2016,99.09361
mdv,2018,92.88873
mdv,2019,99.22075
mex,2001,97.36714
mex,2002,97.63658
mex,2003,97.66058
mex,2004,96.98743
mex,2005,97.6674
mex,2006,97.58395
mex,2007,98.0526
mex,2008,98.11245
mex,2009,97.36137
mex,2010,97.94143
mex,2011,97.40356
mex,2012,97.50898
mex,2013,96.946
mex,2014,98.02006
mex,2015,98.43354
mex,2016,97.81806
mex,2017,98.12931
mex,2018,98.38313
mhl,2002,96.13057
mhl,2019,100
mli,2008,78.96216
mli,2009,72.91124
mli,2010,97.26299
mli,2011,97.09234
mli,2012,100
mli,2013,100
mli,2014,99.95457
mli,2015,98.7023
mli,2016,97.71547
mli,2017,97.28609
mlt,1998,78.54264
mlt,2002,92.96444
mlt,2004,98.92914
mlt,2007,88.93191
mlt,2008,89.56973
mlt,2009,97.45161
mlt,2010,93.04697
mlt,2011,91.58027
mlt,2012,97.7717
mlt,2013,91.46945
mlt,2014,93.02621
mlt,2015,87.63435
mlt,2016,94.0692
mlt,2017,92.13009
mmr,2011,96.24063
mmr,2017,82.78455
mmr,2019,79.76789
mng,1998,99.2903
mng,1999,99.26922
mng,2000,99.79964
mng,2011,99.33959
mng,2012,99.99688
mng,2013,100
mng,2014,100
mng,2015,100
mng,2016,85.28352
mng,2017,89.36218
moz,2004,82.58747
moz,2006,71.3926
moz,2012,80.74067
mus,2010,88.66105
mwi,2009,100
mwi,2010,98.24895
mwi,2011,99.93031
mwi,2012,83.35832
mwi,2013,84.15986
mwi,2014,98.59671
mwi,2015,99.87699
mwi,2016,99.14334
mys,1998,90.7067
mys,1999,82.7779
mys,2000,74.99566
mys,2001,66.3727
mys,2002,59.81911
mys,2003,65.96235
mys,2004,86.42564
mys,2007,99.51255
mys,2008,99.60588
mys,2009,91.63328
mys,2011,100
mys,2012,95.35473
mys,2013,97.99811
mys,2014,98.89145
mys,2015,99.08548
mys,2016,98.13881
mys,2017,99.16165
mys,2018,99.39658
mys,2019,96.79818
nam,2000,93.84942
nam,2008,98.98955
nam,2010,99.89151
nam,2014,97.38983
nam,2016,95.85186
nam,2017,96.30892
ner,2006,65.9273
ner,2007,78.36395
ner,2008,88.90262
ner,2009,77.93957
ner,2010,90.92739
ner,2011,91.33284
ner,2012,86.60862
ner,2013,79.70659
ner,2014,77.58705
ner,2015,94.42014
ner,2016,96.13937
ner,2017,99.06007
ner,2018,100
nic,2004,91.88533
nic,2005,90.38178
nic,2006,89.91887
nic,2010,96.41406
nld,1998,93.81087
nld,1999,87.41473
nld,2000,87.43122
nld,2001,87.36415
nld,2002,87.2353
nld,2003,87.28628
nld,2004,87.25084
nld,2005,87.25917
nld,2006,87.23938
nld,2007,88.60712
nld,2008,87.66524
nld,2009,87.22387
nld,2010,87.82138
nld,2011,87.94914
nld,2012,88.30818
nld,2013,88.16164
nld,2014,87.66409
nld,2015,88.58024
nld,2016,89.36699
nld,2017,89.25862
nld,2018,89.80152
nld_curacao,2013,100
nor,2002,89.18017
nor,2003,87.16272
nor,2004,88.01317
nor,2005,88.48122
nor,2006,88.15193
nor,2007,88.09659
nor,2008,87.10152
nor,2009,85.86971
nor,2010,87.69988
nor,2011,89.34081
nor,2012,90.25838
nor,2013,87.74779
nor,2014,87.65344
nor,2015,85.54695
nor,2016,86.67851
nor,2017,85.72781
nor,2018,84.74111
npl,2010,88.0553
npl,2011,86.25406
npl,2012,87.77895
npl,2013,89.56935
npl,2014,88.92631
npl,2015,90.60737
omn,1999,88.89895
omn,2001,83.98716
omn,2002,85.02198
omn,2004,86.08791
omn,2007,90.78177
omn,2008,91.08275
omn,2011,92.943
omn,2016,95.17649
omn,2018,96.92441
omn,2020,98.92821
pak,2013,99.37422
pan,2001,96.74264
pan,2002,90.73838
pan,2004,95.32956
pan,2005,98.29445
pan,2007,100
pan,2013,89.0569
per,1998,88.73801
per,1999,86.13902
per,2000,95.60896
per,2001,93.72429
per,2002,99.27989
per,2003,99.01211
per,2004,98.63843
per,2005,97.6584
per,2006,96.60976
per,2007,91.24084
per,2008,83.30129
per,2009,82.12846
per,2010,80.58884
per,2011,78.2355
per,2012,75.77165
per,2013,78.41267
per,2014,81.70197
per,2015,80.95512
per,2016,84.24724
per,2017,84.25609
per,2018,84.3325
per,2019,87.06252
per,2020,87.38826
phl,1998,95.692
phl,2000,90.88331
phl,2001,90.88331
phl,2002,97.04368
phl,2003,97.65135
phl,2004,96.55844
phl,2005,97.21313
phl,2007,94.06329
phl,2008,89.99123
phl,2009,93.69213
pol,1998,89.14859
pol,1999,90.87231
pol,2002,92.97406
pol,2003,94.90719
pol,2004,94.30764
pol,2005,93.66756
pol,2006,88.89238
pol,2007,92.65708
pol,2008,92.253
pol,2009,92.83782
pol,2010,92.37245
pol,2011,94.05755
pol,2012,94.65696
pol,2014,94.37984
pol,2015,94.96963
pol,2016,94.76598
pol,2017,93.66972
pol,2018,91.78643
pri,2013,98.4717
pri,2014,98.4717
prt,1998,96.84447
prt,1999,97.18735
prt,2000,98.12379
prt,2001,97.69683
prt,2002,97.90544
prt,2003,98.2785
prt,2004,98.55453
prt,2005,99.09296
prt,2006,98.83273
prt,2007,99.33022
prt,2008,98.63337
prt,2009,98.07243
prt,2010,98.52808
prt,2011,98.65328
prt,2012,96.14521
prt,2013,97.29639
prt,2014,99.00855
prt,2015,98.77174
prt,2017,99.35348
prt,2018,98.01314
pry,2002,95.27637
pry,2003,95.04902
pry,2004,94.15791
pry,2007,95.59908
pry,2010,96.22078
pry,2011,96.79015
pry,2012,92.77156
pry,2016,93.42439
pry,2020,94.51411
rou,1998,97.51731
rou,2001,94.32031
rou,2002,94.47374
rou,2003,96.04609
rou,2004,96.46932
rou,2005,94.53283
rou,2006,91.76676
rou,2007,78.61553
rou,2008,88.30195
rou,2009,93.90519
rou,2010,95.67777
rou,2011,95.38577
rou,2012,96.15715
rou,2013,96.71746
rou,2014,97.51732
rou,2015,96.55969
rou,2016,96.83359
rou,2017,97.29392
rou,2018,95.85303
rwa,2007,92.5796
rwa,2008,84.45535
rwa,2010,82.47023
rwa,2011,99.14156
rwa,2012,93.94335
rwa,2013,95.49432
rwa,2015,99.53863
rwa,2016,97.60251
rwa,2018,87.53252
sen,2009,85.64519
sen,2010,89.43686
sen,2011,85.86627
sen,2012,88.82894
sen,2013,90.45696
sen,2014,90.82541
sen,2015,88.77295
sen,2016,97.72756
sen,2018,98.31645
sgp,2008,87.9575
sgp,2009,85.64218
sgp,2010,87.58278
sgp,2011,92.02393
sgp,2012,83.37089
sgp,2013,85.65255
sgp,2016,87.63806
sgp,2017,88.16783
sgp,2018,89.7218
sgp,2019,93.77751
sle,2000,100
sle,2007,96.63228
sle,2008,100
sle,2009,100
sle,2010,98.15315
sle,2011,99.07532
sle,2012,98.81938
sle,2013,99.29623
sle,2014,99.19056
sle,2016,100
sle,2017,100
sle,2018,80.51621
sle,2019,78.18104
sle,2020,75.95324
slv,2002,87.23013
slv,2003,88.27932
slv,2006,86.48588
slv,2007,89.94588
slv,2008,94.42492
slv,2012,95.05325
slv,2015,95.34427
slv,2016,94.23758
slv,2017,93.29568
slv,2018,95.15321
slv,2019,95.62924
smr,2010,100
smr,2011,100
smr,2017,100
smr,2018,99.812
smr,2019,99.88361
srb,2007,96.05181
srb,2008,96.68032
srb,2009,97.75539
srb,2010,98.28241
srb,2011,98.12955
srb,2015,98.32524
ssd,2013,98.49177
ssd,2014,77.78374
ssd,2015,100
