geo,time,en_clc_ghgr_mt_ce
ita,2006,-96.9645
ita,2007,-73.31029
ita,2008,-92.82782
ita,2009,-94.67097
jam,1994,-0.167
jor,2000,0.739
jpn,1990,-69.57666
jpn,1991,-76.83681
jpn,1992,-76.54246
jpn,1993,-79.38885
jpn,1994,-81.11554
jpn,1995,-81.51251
jpn,1996,-86.20128
jpn,1997,-86.52468
jpn,1998,-86.36055
jpn,1999,-86.59672
jpn,2000,-87.28934
jpn,2001,-87.42369
jpn,2002,-88.59969
jpn,2003,-97.71791
jpn,2004,-97.22711
jpn,2005,-90.27348
jpn,2006,-84.53865
jpn,2007,-83.74752
jpn,2008,-78.3183
jpn,2009,-71.52347
ken,1994,-28.0002
kgz,2005,-0.6881
khm,1994,-17.9077
kna,1994,-0.0898
kor,2001,-34.642
lao,1990,-104.3038
lbn,2000,-0.0768
lca,1994,-0.3452
lie,1990,-0.00822
lie,1991,-0.00825
lie,1992,-0.00829
lie,1993,-0.00832
lie,1994,-0.00836
lie,1995,-0.00836
lie,1996,-0.00839
lie,1997,-0.00338
lie,1998,-0.00337
lie,1999,-0.00324
lie,2000,-0.00325
lie,2001,-0.00342
lie,2002,-0.00337
lie,2003,-0.006
lie,2004,-0.00603
lie,2005,-0.00605
lie,2006,-0.00608
lie,2007,-0.0061
lie,2008,-0.00612
lie,2009,-0.00614
lka,1995,379.079
lso,1994,1.2606
ltu,1990,-4.33058
ltu,1991,-4.67069
ltu,1992,-4.67767
ltu,1993,-4.70187
ltu,1994,-4.70155
ltu,1995,-4.71359
ltu,1996,-4.72539
ltu,1997,-4.74464
ltu,1998,-4.13324
ltu,1999,-4.12858
ltu,2000,-4.1218
ltu,2001,-4.31625
ltu,2002,-4.51998
ltu,2003,-3.67176
ltu,2004,-3.79766
ltu,2005,-3.27018
ltu,2006,-3.43203
ltu,2007,-3.9603
ltu,2008,-3.95824
ltu,2009,-3.74993
lux,1990,0.34775
lux,1991,0.17243
lux,1992,-0.19575
lux,1993,-0.30583
lux,1994,-0.13596
lux,1995,-0.2381
lux,1996,-0.41064
lux,1997,-0.45108
lux,1998,-0.1955
lux,1999,-0.31881
lux,2000,-0.38541
lux,2001,-0.45156
lux,2002,-0.45126
lux,2003,-0.45974
lux,2004,-0.41449
lux,2005,-0.38565
lux,2006,-0.27559
lux,2007,-0.27318
lux,2008,-0.27234
lux,2009,-0.29643
lva,1990,-15.19642
lva,1991,-16.857
lva,1992,-17.98026
lva,1993,-17.61532
lva,1994,-16.94658
lva,1995,-16.2499
lva,1996,-17.71358
lva,1997,-15.11934
lva,1998,-14.07531
lva,1999,-13.56137
lva,2000,-14.3001
lva,2001,-14.51866
lva,2002,-13.53093
lva,2003,-15.02394
lva,2004,-16.18063
lva,2005,-17.14052
lva,2006,-20.25155
lva,2007,-21.68292
lva,2008,-22.7434
lva,2009,-20.48374
mar,2000,3.6445
mco,1990,-0.00001
mco,1991,-0.00001
mco,1992,-0.00001
mco,1993,-0.00001
mco,1994,-0.00001
mco,1995,-0.00001
mco,1996,-0.00001
mco,1997,-0.00001
mco,1998,-0.00001
mco,1999,-0.00001
mco,2000,-0.00001
mco,2001,-0.00002
mco,2002,0.00001
mco,2003,0.00001
mco,2004,0.00001
mco,2005,-0.00001
mco,2006,-0.00002
mco,2007,-0.00002
mco,2008,-0.00002
mco,2009,-0.00002
mda,2005,-1.381
mdg,2000,-233.2561
mex,2006,70.2028
mkd,2002,-2.618
mli,1995,-9.7481
mlt,1990,-0.05697
mlt,1991,-0.05697
mlt,1992,-0.05697
mlt,1993,-0.05697
mlt,1994,-0.05697
mlt,1995,-0.05697
mlt,1996,-0.05846
mlt,1997,-0.05846
mlt,1998,-0.05846
mlt,1999,-0.05783
mlt,2000,-0.05783
mlt,2001,-0.05783
mlt,2002,-0.05783
mlt,2003,-0.05893
mlt,2004,-0.06009
mlt,2005,-0.059
mlt,2006,-0.06079
mlt,2007,-0.06078
mlt,2008,-0.06078
mlt,2009,-0.06076
mne,2003,-0.8533
mng,2006,-2.0826
moz,1994,7.7454
mrt,2000,-1.3195
mus,1995,-0.2214
mwi,1994,17.5155
mys,2000,-220.1942
nam,1994,-5.7077
ner,2000,-16.79
nga,1994,105.01
nic,1994,-13.0567
nld,1990,2.69186
nld,1991,2.33201
nld,1992,2.6126
nld,1993,2.41639
nld,1994,2.38863
nld,1995,2.53954
nld,1996,2.37146
nld,1997,2.64482
nld,1998,2.55283
nld,1999,2.58931
nld,2000,2.57583
nld,2001,2.27358
nld,2002,2.24162
nld,2003,2.59432
nld,2004,2.55781
nld,2005,2.68738
nld,2006,2.6753
nld,2007,2.50659
nld,2008,2.66803
nld,2009,2.47503
nor,1990,-8.55634
nor,1991,-9.10842
nor,1992,-9.58404
nor,1993,-10.10137
nor,1994,-10.85042
nor,1995,-11.21058
nor,1996,-12.00647
nor,1997,-12.56375
nor,1998,-13.27905
nor,1999,-13.84874
nor,2000,-18.52992
nor,2001,-20.3967
nor,2002,-25.06048
nor,2003,-27.84885
nor,2004,-27.18172
nor,2005,-29.61286
nor,2006,-24.23794
nor,2007,-28.27972
nor,2008,-34.30319
nor,2009,-25.3285
npl,1994,8.1169
nru,1994,-0.0091
nzl,1990,-23.45107
nzl,1991,-24.11641
nzl,1992,-23.28779
nzl,1993,-23.51772
nzl,1994,-22.8172
nzl,1995,-21.96734
nzl,1996,-22.17417
nzl,1997,-23.67411
nzl,1998,-25.95639
nzl,1999,-26.85851
nzl,2000,-26.71487
nzl,2001,-26.0481
nzl,2002,-23.57972
nzl,2003,-25.28927
nzl,2004,-26.51162
nzl,2005,-25.54276
nzl,2006,-23.72806
nzl,2007,-21.46
nzl,2008,-29.36014
nzl,2009,-26.68275
pak,1994,6.5271
pan,1994,23.7117
per,2000,56.827
phl,1994,-0.1265
png,1994,-0.413
pol,1990,-20.12976
pol,1991,-21.14059
pol,1992,-14.17315
pol,1993,-13.25533
pol,1994,-11.29844
pol,1995,-9.88779
pol,1996,-12.33247
pol,1997,-11.07081
pol,1998,-11.16655
pol,1999,-13.24196
pol,2000,-12.72348
pol,2001,-15.94255
pol,2002,-16.65108
pol,2003,-18.05354
pol,2004,-21.32497
pol,2005,-26.66033
pol,2006,-29.75089
pol,2007,-26.96011
pol,2008,-34.85782
pol,2009,-37.1753
prk,1990,-14.6217
prt,1990,-9.3259
prt,1991,-8.02396
prt,1992,-10.8317
prt,1993,-11.23205
prt,1994,-12.37844
prt,1995,-10.81543
prt,1996,-13.57013
prt,1997,-14.1026
prt,1998,-13.04454
prt,1999,-13.83486
prt,2000,-13.56121
prt,2001,-13.77915
prt,2002,-13.56115
prt,2003,-7.80627
prt,2004,-11.61573
prt,2005,-6.21576
prt,2006,-11.90071
prt,2007,-12.55628
prt,2008,-13.45436
prt,2009,-14.09456
pry,1994,19.5043
rou,1990,-35.58329
rou,1991,-37.04144
rou,1992,-37.84582
rou,1993,-39.13103
rou,1994,-39.7344
rou,1995,-38.98726
rou,1996,-38.00268
rou,1997,-38.38971
rou,1998,-40.4808
rou,1999,-39.20782
rou,2000,-37.99922
rou,2001,-39.00719
rou,2002,-36.53608
rou,2003,-36.17373
rou,2004,-35.49198
rou,2005,-37.18108
rou,2006,-37.19982
rou,2007,-36.11444
rou,2008,-36.41456
rou,2009,-36.53339
rus,1990,77.88499
rus,1991,74.47908
rus,1992,-26.85839
rus,1993,-114.60958
rus,1994,-185.32672
rus,1995,-226.06174
rus,1996,-293.94452
rus,1997,-392.29659
rus,1998,-388.34921
rus,1999,-421.49223
rus,2000,-461.83282
rus,2001,-537.62409
rus,2002,-566.86855
rus,2003,-557.22286
rus,2004,-542.47958
rus,2005,-537.92322
rus,2006,-532.21829
rus,2007,-561.68159
rus,2008,-592.80368
rus,2009,-656.47761
rwa,2002,-7.0098
sau,1990,-15.24
sdn,1995,17.776
sen,2000,-10.5216
slv,1994,3.9428
smr,2007,-0.004
srb,1998,-8.661
stp,1998,-1.5447
sur,2003,1.5407
svk,1990,-2.95462
svk,1991,-3.80943
svk,1992,-5.68276
svk,1993,-4.78403
svk,1994,-3.79225
svk,1995,-3.34572
svk,1996,-3.11792
svk,1997,-2.44032
svk,1998,-2.88349
svk,1999,-2.68075
svk,2000,-3.07136
svk,2001,-6.29432
svk,2002,-6.50543
svk,2003,-5.80999
svk,2004,-5.102
svk,2005,-1.42959
svk,2006,-4.13104
svk,2007,-3.9594
svk,2008,-3.17616
svk,2009,-3.44901
svn,1990,-7.27387
svn,1991,-7.2573
svn,1992,-7.29461
svn,1993,-7.34957
svn,1994,-7.34445
svn,1995,-7.29587
svn,1996,-7.28352
svn,1997,-7.24666
svn,1998,-7.11231
svn,1999,-7.23124
svn,2000,-7.2518
svn,2001,-8.48135
svn,2002,-8.48514
svn,2003,-8.15467
svn,2004,-8.49131
svn,2005,-8.4589
svn,2006,-8.24731
svn,2007,-8.47868
svn,2008,-8.48272
svn,2009,-8.4582
swe,1990,-44.72272
swe,1991,-45.76327
swe,1992,-42.05526
swe,1993,-38.9546
swe,1994,-39.88648
swe,1995,-39.26649
swe,1996,-40.06308
swe,1997,-41.84403
swe,1998,-41.13455
swe,1999,-39.26854
swe,2000,-40.9755
swe,2001,-38.72337
swe,2002,-41.02895
swe,2003,-39.76583
swe,2004,-36.41085
swe,2005,-36.24394
swe,2006,-34.98826
swe,2007,-34.19638
swe,2008,-33.8787
swe,2009,-41.63833
swz,1994,-3.2531
syc,1995,-0.8328
tcd,1993,-46.1981
tgo,1998,28.1293
tha,2000,-7.8905
tjk,2003,-1.93
tkm,2004,-0.83
ton,1994,-0.3096
tto,1990,-1.4962
tun,1994,-1.7727
tur,1990,-44.87053
tur,1991,-56.31372
tur,1992,-60.6511
tur,1993,-60.25881
tur,1994,-62.19764
tur,1995,-61.83621
tur,1996,-62.42915
tur,1997,-64.33721
tur,1998,-65.6398
tur,1999,-66.44687
tur,2000,-67.55757
tur,2001,-72.12381
tur,2002,-68.8017
tur,2003,-67.56324
tur,2004,-75.10375
tur,2005,-69.5326
tur,2006,-75.93542
tur,2007,-76.274
tur,2008,-80.57971
tur,2009,-82.52828
tza,1994,913.5629
uga,1994,8.2527
ukr,1990,-69.92208
ukr,1991,-77.73915
ukr,1992,-64.42581
ukr,1993,-49.03381
ukr,1994,-61.65152
ukr,1995,-48.32294
ukr,1996,-53.79371
ukr,1997,-33.83048
ukr,1998,-48.51113
ukr,1999,-61.81078
ukr,2000,-48.78199
ukr,2001,-37.66082
ukr,2002,-37.63628
ukr,2003,-57.26362
ukr,2004,-38.17379
ukr,2005,-36.23923
ukr,2006,-39.10878
ukr,2007,-50.98453
ukr,2008,-17.24592
ukr,2009,-19.24465
ury,2004,-10.3488
usa,1990,-846.55488
usa,1991,-818.67973
usa,1992,-804.46471
usa,1993,-758.57258
usa,1994,-850.05034
usa,1995,-795.37572
usa,1996,-679.8227
usa,1997,-727.70574
usa,1998,-601.9933
usa,1999,-503.70213
usa,2000,-540.25993
usa,2001,-635.81049
usa,2002,-830.61593
usa,2003,-980.17063
usa,2004,-1033.6404
usa,2005,-1027.88175
usa,2006,-1014.5289
usa,2007,-1013.38398
usa,2008,-1007.25151
usa,2009,-990.06178
uzb,2005,0.4175
vct,1997,-0.1322
ven,1999,-14.2908
vnm,2000,15.1047
vut,1994,-0.0012
wsm,1994,-0.082
yem,1995,-9.6702
zaf,1994,-18.616
zmb,1994,3.4579
zwe,1994,-62.2395
