geo,time,sp_dyn_le00_ma_in
ago,1969,39.26
ago,1970,39.627
ago,1971,39.994
ago,1972,40.359
ago,1973,40.716
ago,1974,41.063
ago,1975,41.394
ago,1976,41.703
ago,1977,41.99
ago,1978,42.254
ago,1979,42.492
ago,1980,42.708
ago,1981,42.906
ago,1982,43.09
ago,1983,43.259
ago,1984,43.414
ago,1985,43.544
ago,1986,43.64
ago,1987,43.696
ago,1988,43.711
ago,1989,43.692
ago,1990,43.642
ago,1991,43.568
ago,1992,43.487
ago,1993,43.416
ago,1994,43.374
ago,1995,43.378
ago,1996,43.442
ago,1997,43.574
ago,1998,43.781
ago,1999,44.074
ago,2000,44.466
ago,2001,44.966
ago,2002,45.567
ago,2003,46.261
ago,2004,47.038
ago,2005,47.893
ago,2006,48.821
ago,2007,49.807
ago,2008,50.826
ago,2009,51.85
ago,2010,52.848
ago,2011,53.79
ago,2012,54.66
ago,2013,55.447
ago,2014,56.14
ago,2015,56.737
ago,2016,57.242
ago,2017,57.677
ago,2018,58.064
ago,2019,58.416
ago,2020,58.744
alb,1960,61.309
alb,1961,62.272
alb,1962,63.117
alb,1963,63.811
alb,1964,64.346
alb,1965,64.723
alb,1966,64.962
alb,1967,65.116
alb,1968,65.233
alb,1969,65.346
alb,1970,65.496
alb,1971,65.714
alb,1972,66.004
alb,1973,66.356
alb,1974,66.762
alb,1975,67.19
alb,1976,67.596
alb,1977,67.943
alb,1978,68.204
alb,1979,68.376
alb,1980,68.475
alb,1981,68.533
alb,1982,68.59
alb,1983,68.673
alb,1984,68.788
alb,1985,68.92
alb,1986,69.04
alb,1987,69.12
alb,1988,69.145
alb,1989,69.122
alb,1990,69.07
alb,1991,69.017
alb,1992,68.997
alb,1993,69.037
alb,1994,69.15
alb,1995,69.347
alb,1996,69.631
alb,1997,69.982
alb,1998,70.376
alb,1999,70.797
alb,2000,71.216
alb,2001,71.606
alb,2002,71.951
alb,2003,72.246
alb,2004,72.493
alb,2005,72.708
alb,2006,72.919
alb,2007,73.156
alb,2008,73.438
alb,2009,73.769
alb,2010,74.145
alb,2011,74.552
alb,2012,74.966
alb,2013,75.364
alb,2014,75.734
alb,2015,76.066
alb,2016,76.353
alb,2017,76.601
alb,2018,76.816
alb,2019,77.002
alb,2020,77.163
are,1960,49.249
are,1961,50.363
are,1962,51.462
are,1963,52.541
are,1964,53.597
are,1965,54.631
are,1966,55.648
are,1967,56.656
are,1968,57.654
are,1969,58.639
are,1970,59.606
are,1971,60.546
are,1972,61.452
are,1973,62.315
are,1974,63.132
are,1975,63.899
are,1976,64.617
are,1977,65.289
are,1978,65.921
are,1979,66.515
are,1980,67.071
are,1981,67.589
are,1982,68.072
are,1983,68.522
are,1984,68.943
are,1985,69.337
are,1986,69.707
are,1987,70.055
are,1988,70.384
are,1989,70.698
are,1990,70.999
are,1991,71.289
are,1992,71.567
are,1993,71.834
are,1994,72.093
are,1995,72.345
are,1996,72.59
are,1997,72.829
are,1998,73.062
are,1999,73.291
are,2000,73.516
are,2001,73.738
are,2002,73.957
are,2003,74.174
are,2004,74.388
are,2005,74.601
are,2006,74.811
are,2007,75.018
are,2008,75.223
are,2009,75.424
are,2010,75.624
are,2011,75.823
are,2012,76.022
are,2013,76.219
are,2014,76.414
are,2015,76.605
are,2016,76.79
are,2017,76.966
are,2018,77.133
are,2019,77.291
are,2020,77.442
arg,1960,62.417
arg,1961,62.46
arg,1962,62.478
arg,1963,62.487
arg,1964,62.503
arg,1965,62.542
arg,1966,62.619
arg,1967,62.739
arg,1968,62.901
arg,1969,63.106
arg,1970,63.349
arg,1971,63.622
arg,1972,63.909
arg,1973,64.198
arg,1974,64.484
arg,1975,64.766
arg,1976,65.045
arg,1977,65.326
arg,1978,65.611
arg,1979,65.897
arg,1980,66.173
arg,1981,66.431
arg,1982,66.664
arg,1983,66.871
arg,1984,67.053
arg,1985,67.219
arg,1986,67.379
arg,1987,67.545
arg,1988,67.726
arg,1989,67.924
arg,1990,68.138
arg,1991,68.361
arg,1992,68.586
arg,1993,68.804
arg,1994,69.014
arg,1995,69.212
arg,1996,69.402
arg,1997,69.586
arg,1998,69.768
arg,1999,69.948
arg,2000,70.128
arg,2001,70.307
arg,2002,70.484
arg,2003,70.661
arg,2004,70.835
arg,2005,71.008
arg,2006,71.179
arg,2007,71.347
arg,2008,71.513
arg,2009,71.676
arg,2010,71.837
arg,2011,71.995
arg,2012,72.151
arg,2013,72.306
arg,2014,72.46
arg,2015,72.614
arg,2016,72.768
arg,2017,72.924
arg,2018,73.082
arg,2019,73.242
arg,2020,73.405
arm,1960,62.822
arm,1961,63.24
arm,1962,63.664
arm,1963,64.092
arm,1964,64.522
arm,1965,64.953
arm,1966,65.384
arm,1967,65.81
arm,1968,66.22
arm,1969,66.602
arm,1970,66.935
arm,1971,67.198
arm,1972,67.381
arm,1973,67.486
arm,1974,67.52
arm,1975,67.509
arm,1976,67.486
arm,1977,67.479
arm,1978,67.502
arm,1979,67.552
arm,1980,67.606
arm,1981,67.626
arm,1982,67.576
arm,1983,67.436
arm,1984,67.203
arm,1985,66.88
arm,1986,66.476
arm,1987,66.03
arm,1988,65.586
arm,1989,65.18
arm,1990,64.86
arm,1991,64.67
arm,1992,64.627
arm,1993,64.732
arm,1994,64.983
arm,1995,65.37
arm,1996,65.868
arm,1997,66.433
arm,1998,67.015
arm,1999,67.579
arm,2000,68.086
arm,2001,68.501
arm,2002,68.824
arm,2003,69.06
arm,2004,69.214
arm,2005,69.312
arm,2006,69.386
arm,2007,69.475
arm,2008,69.602
arm,2009,69.776
arm,2010,69.989
arm,2011,70.222
arm,2012,70.446
arm,2013,70.639
arm,2014,70.797
arm,2015,70.921
arm,2016,71.022
arm,2017,71.115
arm,2018,71.215
arm,2019,71.327
arm,2020,71.453
atg,1960,60.782
atg,1961,61.312
atg,1962,61.801
atg,1963,62.248
atg,1964,62.654
atg,1965,63.017
atg,1966,63.335
atg,1967,63.612
atg,1968,63.852
atg,1969,64.065
atg,1970,64.258
atg,1971,64.437
atg,1972,64.612
atg,1973,64.791
atg,1974,64.982
atg,1975,65.193
atg,1976,65.431
atg,1977,65.694
atg,1978,65.98
atg,1979,66.286
atg,1980,66.609
atg,1981,66.943
atg,1982,67.279
atg,1983,67.613
atg,1984,67.939
atg,1985,68.254
atg,1986,68.558
atg,1987,68.854
atg,1988,69.143
atg,1989,69.427
atg,1990,69.707
atg,1991,69.985
atg,1992,70.263
atg,1993,70.539
atg,1994,70.816
atg,1995,71.092
atg,1996,71.367
atg,1997,71.639
atg,1998,71.906
atg,1999,72.167
atg,2000,72.422
atg,2001,72.67
atg,2002,72.911
atg,2003,73.144
atg,2004,73.368
atg,2005,73.58
atg,2006,73.778
atg,2007,73.961
atg,2008,74.13
atg,2009,74.288
atg,2010,74.439
atg,2011,74.589
atg,2012,74.744
atg,2013,74.904
atg,2014,75.071
atg,2015,75.242
atg,2016,75.41
atg,2017,75.571
atg,2018,75.721
atg,2019,75.858
atg,2020,75.984
aus,1960,67.78571
aus,1961,67.9
aus,1962,67.84
aus,1963,67.78
aus,1964,67.72
aus,1965,67.66
aus,1966,67.6
aus,1967,67.64
aus,1968,67.68
aus,1969,67.72
aus,1970,67.76
aus,1971,67.8
aus,1972,68.16
aus,1973,68.52
aus,1974,68.88
aus,1975,69.24
aus,1976,69.6
aus,1977,69.92
aus,1978,70.24
aus,1979,70.56
aus,1980,70.88
aus,1981,71.2
aus,1982,71.5
aus,1983,71.8
aus,1984,72.1
aus,1985,72.4
aus,1986,72.7
aus,1987,73.02
aus,1988,73.34
aus,1989,73.66
aus,1990,73.98
aus,1991,74.3
aus,1992,74.5
aus,1993,75
aus,1994,75
aus,1995,75
aus,1996,75.2
aus,1997,75.7
aus,1998,75.9
aus,1999,76.2
aus,2000,76.6
aus,2001,77
aus,2002,77.4
aus,2003,77.8
aus,2004,78.1
aus,2005,78.5
aus,2006,78.7
aus,2007,79
aus,2008,79.2
aus,2009,79.3
aus,2010,79.5
aus,2011,79.7
aus,2012,79.9
aus,2013,80.1
aus,2014,80.3
aus,2015,80.4
aus,2016,80.4
aus,2017,80.5
aus,2018,80.7
aus,2019,80.9
aus,2020,81.2
aut,1960,65.41
aut,1961,66.47
aut,1962,66.29
aut,1963,66.39
aut,1964,66.8
aut,1965,66.61
aut,1966,66.88
aut,1967,66.63
aut,1968,66.76
aut,1969,66.56
aut,1970,66.5
aut,1971,66.7
aut,1972,67
aut,1973,67.6
aut,1974,67.5
aut,1975,67.7
aut,1976,68.2
aut,1977,68.5
aut,1978,68.5
aut,1979,68.8
aut,1980,69
aut,1981,69.3
aut,1982,69.4
aut,1983,69.5
aut,1984,70.1
aut,1985,70.4
aut,1986,71
aut,1987,71.5
aut,1988,71.9
aut,1989,71.9
aut,1990,72.3
aut,1991,72.3
aut,1992,72.5
aut,1993,72.8
aut,1994,73.2
aut,1995,73.4
aut,1996,73.7
aut,1997,74.1
aut,1998,74.5
aut,1999,74.9
aut,2000,75.2
aut,2001,75.6
aut,2002,75.8
aut,2003,75.9
aut,2004,76.4
aut,2005,76.6
aut,2006,77.1
aut,2007,77.4
aut,2008,77.7
aut,2009,77.6
aut,2010,77.8
aut,2011,78.3
aut,2012,78.4
aut,2013,78.6
aut,2014,79.1
aut,2015,78.8
aut,2016,79.3
aut,2017,79.4
aut,2018,79.4
aut,2019,79.7
aut,2020,78.9
aze,1960,57.555
aze,1961,57.752
aze,1962,57.94
aze,1963,58.127
aze,1964,58.316
aze,1965,58.511
aze,1966,58.712
aze,1967,58.914
aze,1968,59.111
aze,1969,59.301
aze,1970,59.479
aze,1971,59.637
aze,1972,59.775
aze,1973,59.893
aze,1974,59.991
aze,1975,60.073
aze,1976,60.143
aze,1977,60.21
aze,1978,60.278
aze,1979,60.354
aze,1980,60.45
aze,1981,60.579
aze,1982,60.738
aze,1983,60.919
aze,1984,61.107
aze,1985,61.26
aze,1986,61.329
aze,1987,61.291
aze,1988,61.149
aze,1989,60.925
aze,1990,60.676
aze,1991,60.478
aze,1992,60.398
aze,1993,60.476
aze,1994,60.725
aze,1995,61.124
aze,1996,61.629
aze,1997,62.172
aze,1998,62.698
aze,1999,63.184
aze,2000,63.625
aze,2001,64.032
aze,2002,64.435
aze,2003,64.855
aze,2004,65.291
aze,2005,65.737
aze,2006,66.183
aze,2007,66.615
aze,2008,67.024
aze,2009,67.408
aze,2010,67.772
aze,2011,68.126
aze,2012,68.482
aze,2013,68.84
aze,2014,69.199
aze,2015,69.543
aze,2016,69.858
aze,2017,70.128
aze,2018,70.345
aze,2019,70.511
aze,2020,70.63
bdi,1960,39.698
bdi,1961,40.004
bdi,1962,40.316
bdi,1963,40.63
bdi,1964,40.941
bdi,1965,41.236
bdi,1966,41.498
bdi,1967,41.72
bdi,1968,41.905
bdi,1969,42.063
bdi,1970,42.218
bdi,1971,42.402
bdi,1972,42.639
bdi,1973,42.94
bdi,1974,43.302
bdi,1975,43.705
bdi,1976,44.118
bdi,1977,44.509
bdi,1978,44.852
bdi,1979,45.14
bdi,1980,45.388
bdi,1981,45.625
bdi,1982,45.875
bdi,1983,46.148
bdi,1984,46.434
bdi,1985,46.695
bdi,1986,46.882
bdi,1987,46.96
bdi,1988,46.912
bdi,1989,46.747
bdi,1990,46.482
bdi,1991,46.149
bdi,1992,45.805
bdi,1993,45.508
bdi,1994,45.301
bdi,1995,45.238
bdi,1996,45.36
bdi,1997,45.668
bdi,1998,46.149
bdi,1999,46.788
bdi,2000,47.555
bdi,2001,48.407
bdi,2002,49.291
bdi,2003,50.163
bdi,2004,50.997
bdi,2005,51.785
bdi,2006,52.536
bdi,2007,53.275
bdi,2008,54.014
bdi,2009,54.749
bdi,2010,55.467
bdi,2011,56.149
bdi,2012,56.783
bdi,2013,57.357
bdi,2014,57.871
bdi,2015,58.325
bdi,2016,58.726
bdi,2017,59.092
bdi,2018,59.435
bdi,2019,59.764
bdi,2020,60.086
bel,1960,66.78
bel,1961,67.56
bel,1962,67.4
bel,1963,67.11
bel,1964,67.76
bel,1965,67.64
bel,1966,67.76
bel,1967,67.93
bel,1968,67.62
bel,1969,67.56
bel,1970,67.85
bel,1971,67.88
bel,1972,68.21
bel,1973,68.45
bel,1974,68.82
bel,1975,68.82
bel,1976,68.91
bel,1977,69.53
bel,1978,69.42
bel,1979,69.94
bel,1980,69.89
bel,1981,70.29
bel,1982,70.61
bel,1983,70.63
bel,1984,71
bel,1985,71.13
bel,1986,71.4
bel,1987,72
bel,1988,72.2
bel,1989,72.34
bel,1990,72.73
bel,1991,72.88
bel,1992,73
bel,1993,72.96
bel,1994,73.36
bel,1995,73.47
bel,1996,73.88
bel,1997,74.2
bel,1998,74.4
bel,1999,74.4
bel,2000,74.6
bel,2001,74.9
bel,2002,75.1
bel,2003,75.3
bel,2004,76
bel,2005,76.2
bel,2006,76.6
bel,2007,77.1
bel,2008,76.9
bel,2009,77.4
bel,2010,77.5
bel,2011,78
bel,2012,77.8
bel,2013,78.1
bel,2014,78.8
bel,2015,78.7
bel,2016,79
bel,2017,79.2
bel,2018,79.4
bel,2019,79.8
bel,2020,78.6
ben,1960,36.823
ben,1961,37.233
ben,1962,37.642
ben,1963,38.05
ben,1964,38.458
ben,1965,38.861
ben,1966,39.255
ben,1967,39.637
ben,1968,40.008
ben,1969,40.368
ben,1970,40.726
ben,1971,41.087
ben,1972,41.459
ben,1973,41.844
ben,1974,42.243
ben,1975,42.645
ben,1976,43.034
ben,1977,43.402
ben,1978,43.753
ben,1979,44.097
ben,1980,44.459
ben,1981,44.872
ben,1982,45.359
ben,1983,45.935
ben,1984,46.599
ben,1985,47.356
ben,1986,48.202
ben,1987,49.105
ben,1988,50.024
ben,1989,50.919
ben,1990,51.732
ben,1991,52.402
ben,1992,52.905
ben,1993,53.238
ben,1994,53.41
ben,1995,53.455
ben,1996,53.425
ben,1997,53.389
ben,1998,53.403
ben,1999,53.499
ben,2000,53.701
ben,2001,54.016
ben,2002,54.415
ben,2003,54.866
ben,2004,55.352
ben,2005,55.85
ben,2006,56.334
ben,2007,56.788
ben,2008,57.199
ben,2009,57.559
ben,2010,57.869
ben,2011,58.135
ben,2012,58.379
ben,2013,58.615
ben,2014,58.853
ben,2015,59.1
ben,2016,59.361
ben,2017,59.633
ben,2018,59.914
ben,2019,60.201
ben,2020,60.494
bfa,1960,33.454
bfa,1961,33.904
bfa,1962,34.361
bfa,1963,34.826
bfa,1964,35.297
bfa,1965,35.768
bfa,1966,36.231
bfa,1967,36.681
bfa,1968,37.118
bfa,1969,37.547
bfa,1970,37.972
bfa,1971,38.399
bfa,1972,38.842
bfa,1973,39.314
bfa,1974,39.83
bfa,1975,40.422
bfa,1976,41.125
bfa,1977,41.94
bfa,1978,42.851
bfa,1979,43.829
bfa,1980,44.82
bfa,1981,45.761
bfa,1982,46.595
bfa,1983,47.282
bfa,1984,47.799
bfa,1985,48.14
bfa,1986,48.319
bfa,1987,48.383
bfa,1988,48.379
bfa,1989,48.335
bfa,1990,48.27
bfa,1991,48.195
bfa,1992,48.116
bfa,1993,48.046
bfa,1994,48.006
bfa,1995,48.013
bfa,1996,48.083
bfa,1997,48.221
bfa,1998,48.433
bfa,1999,48.727
bfa,2000,49.117
bfa,2001,49.613
bfa,2002,50.208
bfa,2003,50.888
bfa,2004,51.637
bfa,2005,52.436
bfa,2006,53.265
bfa,2007,54.102
bfa,2008,54.924
bfa,2009,55.71
bfa,2010,56.441
bfa,2011,57.105
bfa,2012,57.705
bfa,2013,58.249
bfa,2014,58.739
bfa,2015,59.183
bfa,2016,59.592
bfa,2017,59.981
bfa,2018,60.361
bfa,2019,60.739
bfa,2020,61.119
bgd,1960,46.077
bgd,1961,46.672
bgd,1962,47.26
bgd,1963,47.825
bgd,1964,48.342
bgd,1965,48.737
bgd,1966,48.921
bgd,1967,48.866
bgd,1968,48.59
bgd,1969,48.15
bgd,1970,47.677
bgd,1971,47.336
bgd,1972,47.256
bgd,1973,47.511
bgd,1974,48.11
bgd,1975,48.992
bgd,1976,50.038
bgd,1977,51.09
bgd,1978,52.023
bgd,1979,52.789
bgd,1980,53.377
bgd,1981,53.82
bgd,1982,54.204
bgd,1983,54.597
bgd,1984,55.022
bgd,1985,55.492
bgd,1986,56.001
bgd,1987,56.533
bgd,1988,57.076
bgd,1989,57.632
bgd,1990,58.215
bgd,1991,58.842
bgd,1992,59.519
bgd,1993,60.242
bgd,1994,61
bgd,1995,61.769
bgd,1996,62.522
bgd,1997,63.231
bgd,1998,63.879
bgd,1999,64.456
bgd,2000,64.963
bgd,2001,65.408
bgd,2002,65.815
bgd,2003,66.203
bgd,2004,66.578
bgd,2005,66.949
bgd,2006,67.318
bgd,2007,67.679
bgd,2008,68.031
bgd,2009,68.37
bgd,2010,68.694
bgd,2011,68.996
bgd,2012,69.273
bgd,2013,69.526
bgd,2014,69.759
bgd,2015,69.978
bgd,2016,70.192
bgd,2017,70.409
bgd,2018,70.637
bgd,2019,70.877
bgd,2020,71.13
bgr,1960,67.55
bgr,1961,68.42
bgr,1962,67.77
bgr,1963,68.68
bgr,1964,69.37
bgr,1965,69.45
bgr,1966,69.36
bgr,1967,68.37
bgr,1968,69.23
bgr,1969,68.23
bgr,1970,69.11
bgr,1971,68.62
bgr,1972,68.68
bgr,1973,69.03
bgr,1974,68.93
bgr,1975,68.64
bgr,1976,68.99
bgr,1977,68.26
bgr,1978,68.77
bgr,1979,68.64
bgr,1980,68.46
bgr,1981,68.85
bgr,1982,68.43
bgr,1983,68.44
bgr,1984,68.49
bgr,1985,68.15
bgr,1986,68.56
bgr,1987,68.4
bgr,1988,68.38
bgr,1989,68.42
bgr,1990,68.3
bgr,1991,68.4
bgr,1992,68.07
bgr,1993,67.62
bgr,1994,67.36
bgr,1995,67.39
bgr,1996,67.39
bgr,1997,67
bgr,1998,67.5
bgr,1999,67.9
bgr,2000,68.2
bgr,2001,68.5
bgr,2002,68.5
bgr,2003,68.7
bgr,2004,69.1
bgr,2005,69
bgr,2006,69.1
bgr,2007,69.2
bgr,2008,69.5
bgr,2009,69.9
bgr,2010,70
bgr,2011,70.7
bgr,2012,70.9
bgr,2013,71.3
bgr,2014,71.1
bgr,2015,71.2
bgr,2016,71.3
bgr,2017,71.4
bgr,2018,71.5
bgr,2019,71.6
bgr,2020,69.9
bhr,1960,48.944
bhr,1961,50.419
bhr,1962,51.889
bhr,1963,53.33
bhr,1964,54.721
bhr,1965,56.043
bhr,1966,57.288
bhr,1967,58.458
bhr,1968,59.559
bhr,1969,60.589
bhr,1970,61.547
bhr,1971,62.437
bhr,1972,63.266
bhr,1973,64.043
bhr,1974,64.771
bhr,1975,65.457
bhr,1976,66.102
bhr,1977,66.709
bhr,1978,67.278
bhr,1979,67.81
bhr,1980,68.305
bhr,1981,68.759
bhr,1982,69.172
bhr,1983,69.543
bhr,1984,69.878
bhr,1985,70.182
bhr,1986,70.46
bhr,1987,70.718
bhr,1988,70.963
bhr,1989,71.201
bhr,1990,71.435
bhr,1991,71.667
bhr,1992,71.895
bhr,1993,72.119
bhr,1994,72.34
bhr,1995,72.56
bhr,1996,72.782
bhr,1997,73.006
bhr,1998,73.229
bhr,1999,73.452
bhr,2000,73.669
bhr,2001,73.877
bhr,2002,74.072
bhr,2003,74.253
bhr,2004,74.42
bhr,2005,74.574
bhr,2006,74.719
bhr,2007,74.857
bhr,2008,74.994
bhr,2009,75.131
bhr,2010,75.268
bhr,2011,75.406
bhr,2012,75.542
bhr,2013,75.676
bhr,2014,75.807
bhr,2015,75.936
bhr,2016,76.063
bhr,2017,76.188
bhr,2018,76.312
bhr,2019,76.436
bhr,2020,76.559
bhs,1960,62.85
bhs,1961,62.969
bhs,1962,63.056
bhs,1963,63.111
bhs,1964,63.14
bhs,1965,63.15
bhs,1966,63.152
bhs,1967,63.155
bhs,1968,63.17
bhs,1969,63.205
bhs,1970,63.266
bhs,1971,63.359
bhs,1972,63.478
bhs,1973,63.619
bhs,1974,63.775
bhs,1975,63.934
bhs,1976,64.082
bhs,1977,64.211
bhs,1978,64.318
bhs,1979,64.407
bhs,1980,64.488
bhs,1981,64.577
bhs,1982,64.69
bhs,1983,64.84
bhs,1984,65.031
bhs,1985,65.264
bhs,1986,65.535
bhs,1987,65.833
bhs,1988,66.143
bhs,1989,66.455
bhs,1990,66.756
bhs,1991,67.037
bhs,1992,67.293
bhs,1993,67.522
bhs,1994,67.723
bhs,1995,67.897
bhs,1996,68.053
bhs,1997,68.2
bhs,1998,68.343
bhs,1999,68.485
bhs,2000,68.623
bhs,2001,68.752
bhs,2002,68.866
bhs,2003,68.964
bhs,2004,69.049
bhs,2005,69.124
bhs,2006,69.197
bhs,2007,69.275
bhs,2008,69.367
bhs,2009,69.478
bhs,2010,69.619
bhs,2011,69.799
bhs,2012,70.014
bhs,2013,70.26
bhs,2014,70.528
bhs,2015,70.802
bhs,2016,71.064
bhs,2017,71.3
bhs,2018,71.499
bhs,2019,71.659
bhs,2020,71.78
bih,1960,58.68
bih,1961,59.298
bih,1962,59.879
bih,1963,60.429
bih,1964,60.954
bih,1965,61.466
bih,1966,61.975
bih,1967,62.487
bih,1968,63.003
bih,1969,63.524
bih,1970,64.048
bih,1971,64.571
bih,1972,65.082
bih,1973,65.569
bih,1974,66.024
bih,1975,66.431
bih,1976,66.773
bih,1977,67.05
bih,1978,67.266
bih,1979,67.431
bih,1980,67.577
bih,1981,67.748
bih,1982,67.964
bih,1983,68.226
bih,1984,68.515
bih,1985,68.755
bih,1986,68.849
bih,1987,68.741
bih,1988,68.428
bih,1989,67.952
bih,1990,67.432
bih,1991,67.025
bih,1992,66.861
bih,1993,67.014
bih,1994,67.491
bih,1995,68.231
bih,1996,69.121
bih,1997,70.007
bih,1998,70.768
bih,1999,71.352
bih,2000,71.744
bih,2001,71.967
bih,2002,72.1
bih,2003,72.21
bih,2004,72.323
bih,2005,72.459
bih,2006,72.628
bih,2007,72.821
bih,2008,73.03
bih,2009,73.252
bih,2010,73.479
bih,2011,73.699
bih,2012,73.903
bih,2013,74.084
bih,2014,74.24
bih,2015,74.376
bih,2016,74.499
bih,2017,74.622
bih,2018,74.752
bih,2019,74.893
bih,2020,75.048
blr,1960,65.032
blr,1961,65.519
blr,1962,65.909
blr,1963,66.215
blr,1964,66.447
blr,1965,66.614
blr,1966,66.719
blr,1967,66.768
blr,1968,66.768
blr,1969,66.731
blr,1970,66.669
blr,1971,66.593
blr,1972,66.509
blr,1973,66.42
blr,1974,66.331
blr,1975,66.239
blr,1976,66.132
blr,1977,66.004
blr,1978,65.859
blr,1979,65.707
blr,1980,65.583
blr,1981,65.526
blr,1982,65.557
blr,1983,65.671
blr,1984,65.849
blr,1985,66.7
blr,1986,67.33
blr,1987,66.6
blr,1988,67
blr,1989,66.8
blr,1990,66.3
blr,1991,65.5
blr,1992,64.9
blr,1993,63.8
blr,1994,63.5
blr,1995,62.9
blr,1996,63
blr,1997,62.9
blr,1998,62.7
blr,1999,62.2
blr,2000,63.4
blr,2001,62.8
blr,2002,62.3
blr,2003,62.7
blr,2004,63.2
blr,2005,62.9
blr,2006,63.6
blr,2007,64.5
blr,2008,64.7
blr,2009,64.7
blr,2010,64.6
blr,2011,64.7
blr,2012,66.6
blr,2013,67.3
blr,2014,67.8
blr,2015,68.6
blr,2016,68.9
blr,2017,69.3
blr,2018,69.2
blr,2019,69.3
blr,2020,69.3
blz,1960,58.656
blz,1961,59.224
blz,1962,59.808
blz,1963,60.408
blz,1964,61.018
blz,1965,61.631
blz,1966,62.239
blz,1967,62.83
blz,1968,63.396
blz,1969,63.927
blz,1970,64.417
blz,1971,64.859
blz,1972,65.257
blz,1973,65.616
blz,1974,65.944
blz,1975,66.249
blz,1976,66.546
blz,1977,66.844
blz,1978,67.148
blz,1979,67.459
blz,1980,67.781
blz,1981,68.11
blz,1982,68.435
blz,1983,68.74
blz,1984,69.01
blz,1985,69.226
blz,1986,69.371
blz,1987,69.434
blz,1988,69.41
blz,1989,69.298
blz,1990,69.089
blz,1991,68.774
blz,1992,68.373
blz,1993,67.914
blz,1994,67.431
blz,1995,66.972
blz,1996,66.587
blz,1997,66.308
blz,1998,66.153
blz,1999,66.131
blz,2000,66.225
blz,2001,66.401
blz,2002,66.616
blz,2003,66.838
blz,2004,67.061
blz,2005,67.303
blz,2006,67.602
blz,2007,67.985
blz,2008,68.461
blz,2009,69.011
blz,2010,69.594
blz,2011,70.152
blz,2012,70.637
blz,2013,71.014
blz,2014,71.274
blz,2015,71.424
blz,2016,71.495
blz,2017,71.533
blz,2018,71.579
blz,2019,71.65
blz,2020,71.756
bmu,1965,65.61
bmu,1970,66.89
bmu,1980,68.69
bmu,1991,70.01
bmu,2000,75.3
bmu,2001,75.3
bmu,2002,75.6
bmu,2003,75.7
bmu,2004,75.9
bmu,2005,76.1
bmu,2006,76.4
bmu,2007,76.3
bmu,2008,76.7
bmu,2009,76.806
bmu,2010,76.63
bmu,2011,77.46
bmu,2012,77.99
bmu,2013,76.87
bmu,2014,77.09
bmu,2015,77.3
bmu,2016,77.51
bmu,2017,77.72
bmu,2018,77.92
bmu,2019,78.13
