geo,time,per_allsp_ben_q1_tot
srb,2015,13.37701
ssd,2009,3.91151
svk,2009,10.50496
swz,2009,13.65118
swz,2016,11.84662
syr,2003,1.51281
tcd,2011,1.58068
tgo,2011,0
tha,2006,6.11159
tha,2009,7.40958
tha,2011,7.17095
tha,2013,8.34414
tha,2017,9.40157
tjk,2011,16.97322
tls,2007,0.94563
tls,2011,5.28223
ton,2009,0
tun,2010,19.76325
tur,2004,3.12941
tur,2005,3.64374
tur,2006,4.50743
tur,2007,4.15585
tur,2008,5.22745
tur,2009,5.85054
tur,2010,5.58207
tur,2011,5.22652
tur,2012,6.72311
tur,2013,6.5029
tur,2014,6.48729
tur,2015,5.60527
tur,2016,6.09191
tur,2018,6.39863
tur,2019,5.53579
tza,2008,2.96345
tza,2010,0.18369
tza,2012,2.6587
tza,2014,3.13561
uga,2005,0
uga,2009,0.12429
uga,2012,0.89042
uga,2016,0.96288
ukr,2006,14.5802
ukr,2011,15.29595
ukr,2012,15.51684
ukr,2013,15.33483
ukr,2015,14.04586
ukr,2016,17.536
ukr,2018,14.76544
ury,2008,5.3114
ury,2009,2.75222
ury,2010,2.58317
ury,2011,3.06289
ury,2012,3.93398
ury,2015,5.53422
ury,2016,5.66022
ury,2017,5.27027
ury,2018,5.30747
ury,2019,5.23732
uzb,2018,14.24703
vnm,2006,4.67684
vnm,2010,3.05921
vnm,2012,3.8094
vnm,2014,3.67648
wsm,2008,11.01677
yem,2005,10.70363
zaf,2005,15.87676
zaf,2010,24.64145
zaf,2014,18.54251
zmb,2010,2.07996
zmb,2015,0.47241
zwe,2007,0.77786
zwe,2011,2.21359
zwe,2017,2.07881
zwe,2019,37.55002
