geo,time,er_h2o_intr_pc
can,2007,86655.04678
can,2012,82098.91612
can,2017,77985.54099
can,2018,76891.77232
che,1962,7248.17769
che,1967,6742.56528
che,1972,6452.68894
che,1977,6431.91886
che,1982,6321.08407
che,1987,6172.55114
che,1992,5876.05275
che,1997,5699.04602
che,2002,5545.82997
che,2007,5350.20203
che,2012,5051.98246
che,2017,4780.02441
che,2018,4744.9425
chl,1962,104401.43472
chl,1967,95037.73105
chl,1972,87591.89107
chl,1977,81023.35148
chl,1982,75358.21335
chl,1987,69999.66859
chl,1992,64505.22886
chl,1997,59852.99698
chl,2002,56425.44608
chl,2007,53538.36895
chl,2012,50861.01959
chl,2017,47914.41025
chl,2018,47252.50446
chn,1962,4225.03252
chn,1967,3727.91717
chn,1972,3263.11138
chn,1977,2981.48815
chn,1982,2788.83228
chn,1987,2594.84233
chn,1992,2414.56853
chn,1997,2286.77105
chn,2002,2196.89152
chn,2007,2134.40467
chn,2012,2077.1826
chn,2017,2014.661
chn,2018,2005.26099
civ,1962,20377.87551
civ,1967,16909.58528
civ,1972,13780.42289
civ,1977,10935.74741
civ,1982,8766.69427
civ,1987,7182.5244
civ,1992,5997.30171
civ,1997,5078.42521
civ,2002,4459.26486
civ,2007,4008.08483
civ,2012,3566.12642
civ,2017,3144.35089
civ,2018,3065.11243
cmr,1962,50567.44827
cmr,1967,45105.93202
cmr,1972,39754.36752
cmr,1977,34611.41586
cmr,1982,29781.34276
cmr,1987,25440.17561
cmr,1992,21840.87538
cmr,1997,19031.75892
cmr,2002,16689.4848
cmr,2007,14575.32703
cmr,2012,12706.38154
cmr,2017,11112.88863
cmr,2018,10826.34733
cod,1962,56105.57373
cod,1967,48969.94442
cod,1972,42610.89248
cod,1977,37114.73819
cod,1982,32470.7034
cod,1987,28545.41871
cod,1992,24106.76597
cod,1997,20535.19697
cod,2002,18046.31768
cod,2007,15396.80465
cod,2012,13039.55713
cod,2017,11056.67881
cod,2018,10705.60754
cog,1962,207624.88356
cog,1967,182034.80473
cog,1972,157837.48427
cog,1977,136261.69119
cog,1982,117779.81859
cog,1987,102242.00129
cog,1992,89158.59587
cog,1997,77425.21404
cog,2002,67061.8685
cog,2007,57273.72429
cog,2012,49221.79674
cog,2017,43438.26806
cog,2018,42331.16586
col,1962,125490.56133
col,1967,108128.50082
col,1972,95263.77384
col,1977,85238.97751
col,1982,76329.56494
col,1987,68760.10024
col,1992,62313.77043
col,1997,56860.65109
col,2002,52476.59819
col,2007,49042.57014
col,2012,46553.80216
col,2017,43856.20204
col,2018,43192.7988
com,1962,6085.13122
com,1967,5558.12898
com,1972,5016.11447
com,1977,4349.35484
com,1982,3670.35348
com,1987,3186.00718
com,1992,2749.43075
com,1997,2390.65264
com,2002,2107.18559
com,2007,1870.2543
com,2012,1657.76774
com,2017,1474.40078
com,2018,1441.74976
cpv,1962,1427.61295
cpv,1967,1212.01353
cpv,1972,1103.58633
cpv,1977,1097.55433
cpv,1982,1019.56204
cpv,1987,934.18078
cpv,1992,843.25805
cpv,1997,742.11873
cpv,2002,677.26973
cpv,2007,631.4899
cpv,2012,593.77606
cpv,2017,558.1406
cpv,2018,551.70995
cri,1962,78836.51261
cri,1967,66598.22177
cri,1972,58122.48929
cri,1977,51232.80641
cri,1982,44781.59659
cri,1987,39170.06603
cri,1992,34382.82076
cri,1997,30384.90413
cri,2002,27554.77914
cri,2007,25654.84561
cri,2012,24104.08014
cri,2017,22828.49036
cri,2018,22602.51792
cub,1962,5114.35164
cub,1967,4611.45401
cub,1972,4223.6602
cub,1977,3951.83887
cub,1982,3834.88881
cub,1987,3705.77569
cub,1992,3550.54289
cub,1997,3468.69295
cub,2002,3403.67344
cub,2007,3388.10795
cub,2012,3386.3036
cub,2017,3361.77279
cub,2018,3362.10161
cyp,1962,1350.19105
cyp,1967,1319.12507
cyp,1972,1242.03422
cyp,1977,1172.01406
cyp,1982,1127.63037
cyp,1987,1078.26545
cyp,1992,974.25709
cyp,1997,875.23421
cyp,2002,798.38845
cyp,2007,733.28392
cyp,2012,687.19679
cyp,2017,661.19343
cyp,2018,655.86891
cze,1997,1276.18715
cze,2002,1289.60556
cze,2007,1276.84428
cze,2012,1251.09586
cze,2017,1241.21729
cze,2018,1237.07325
deu,1962,1445.44231
deu,1967,1390.48918
deu,1972,1359.79292
deu,1977,1368.98995
deu,1982,1365.95688
deu,1987,1374.61601
deu,1992,1327.1384
deu,1997,1304.32497
deu,2002,1297.15059
deu,2007,1300.65296
deu,2012,1330.41847
deu,2017,1294.50618
deu,2018,1290.62168
dji,1962,3184.61208
dji,1967,2283.01824
dji,1972,1673.76162
dji,1977,1081.19022
dji,1982,778.67877
dji,1987,611.82414
dji,1992,487.76524
dji,1997,453.95533
dji,2002,401.63494
dji,2007,372.45984
dji,2012,345.56799
dji,2017,317.76296
dji,2018,312.85099
dma,1962,3226.95155
dma,1967,2954.77718
dma,1972,2788.19482
dma,1977,2723.20035
dma,1982,2666.24011
dma,1987,2783.8869
dma,1992,2835.02967
dma,1997,2833.18227
dma,2002,2863.68847
dma,2007,2824.9785
dma,2012,2818.72767
dma,2017,2798.76858
dma,2018,2792.28217
dnk,1962,1290.95362
dnk,1967,1240.86055
dnk,1972,1202.02036
dnk,1977,1179.14818
dnk,1982,1172.37647
dnk,1987,1170.26954
dnk,1992,1160.23414
dnk,1997,1135.29049
dnk,2002,1116.08575
dnk,2007,1098.61176
dnk,2012,1073.0435
dnk,2017,1040.76684
dnk,2018,1035.61908
dom,1962,6674.20615
dom,1967,5699.59496
dom,1972,4941.68392
dom,1977,4345.81921
dom,1982,3872.92265
dom,1987,3491.86396
dom,1992,3172.10106
dom,1997,2906.8304
dom,2002,2693.41777
dom,2007,2516.36817
dom,2012,2366.34768
dom,2017,2235.30409
dom,2018,2211.31786
dza,1962,967.91448
dza,1967,847.23034
dza,1972,735.77166
dza,1977,639.6556
dza,1982,549.89753
dza,1987,473.07411
dza,1992,416.11893
dza,1997,378.13964
dza,2002,353.06736
dza,2007,329.1775
dza,2012,300.85144
dza,2017,271.73772
dza,2018,266.33725
ecu,1962,91990.46532
ecu,1967,79568.15819
ecu,1972,68809.15428
ecu,1977,59915.65407
ecu,1982,52607.82034
ecu,1987,46459.06067
ecu,1992,41283.55597
ecu,1997,37016.40678
ecu,2002,33659.31236
ecu,2007,30944.51949
ecu,2012,28589.70942
ecu,2017,26356.30688
ecu,2018,25895.0303
egy,1962,35.57167
egy,1967,31.19492
egy,1972,27.69878
egy,1977,24.79569
egy,1982,21.95906
egy,1987,19.23384
egy,1992,17.04541
egy,1997,15.41016
egy,2002,13.98894
egy,2007,12.78247
egy,2012,11.5711
egy,2017,10.36886
egy,2018,10.16016
eri,1997,1275.51483
eri,2002,1128.55033
eri,2007,934.411
eri,2012,861.51088
eri,2017,820.41808
eri,2018,810.93674
esp,1962,3584.39497
esp,1967,3402.38587
esp,1972,3213.45769
esp,1977,3045.60417
esp,1982,2927.3933
esp,1987,2874.51283
esp,1992,2839.80008
esp,1997,2776.0171
esp,2002,2683.94437
esp,2007,2458.71894
esp,2012,2377.43712
esp,2017,2386.61245
esp,2018,2376.18235
est,1992,8290.44071
est,1997,9081.58784
est,2002,9214.48511
est,2007,9480.26378
est,2012,9609.16192
est,2017,9647.90831
est,2018,9614.38818
eth,1997,2009.96935
eth,2002,1739.32656
eth,2007,1512.25279
eth,2012,1315.6904
eth,2017,1146.61734
eth,2018,1116.96644
fin,1962,23823.07869
fin,1967,23231.86004
fin,1972,23062.04963
fin,1977,22579.07
fin,1982,22167.28511
fin,1987,21694.51167
fin,1992,21221.77108
fin,1997,20817.7889
fin,2002,20574.557
fin,2007,20231.73849
fin,2012,19763.68178
fin,2017,19425.5343
fin,2018,19399.78515
fji,1962,67706.49114
fji,1967,58507.33388
fji,1972,52593.47406
fji,1977,47718.61433
fji,1982,42721.54863
fji,1987,39555.20721
fji,1992,38349.42877
fji,1997,36014.5108
fji,2002,35019.63091
fji,2007,34143.16119
fji,2012,33003.29945
fji,2017,32537.09484
fji,2018,32315.02251
fra,1962,4174.94009
fra,1967,3938.8852
fra,1972,3788.3702
fra,1977,3671.90035
fra,1982,3589.44373
fra,1987,3490.24047
fra,1992,3398.40047
fra,1997,3335.28776
fra,2002,3235.97022
fra,2007,3124.20787
fra,2012,3046.00315
fra,2017,2988.73159
fra,2018,2980.5402
gab,1962,320760.43694
gab,1967,296000.02888
gab,1972,268103.08891
gab,1977,242508.8427
gab,1982,214678.7934
gab,1987,187670.72028
gab,1992,163579.11095
gab,1997,143691.75665
gab,2002,127298.55392
gab,2007,111370.29605
gab,2012,93731.58589
gab,2017,79426.11724
gab,2018,77384.95476
gbr,1962,2723.00469
gbr,1967,2639.06988
gbr,1972,2585.31241
gbr,1977,2580.36998
gbr,1982,2574.86459
gbr,1987,2552.72477
gbr,1992,2518.21792
gbr,1997,2486.41244
gbr,2002,2442.29123
gbr,2007,2364.54951
gbr,2012,2276.28745
gbr,2017,2195.01218
gbr,2018,2181.75217
geo,1992,11927.77287
geo,1997,13363.48591
geo,2002,14610.97949
geo,2007,15058.96937
geo,2012,15589.15669
geo,2017,15592.79471
geo,2018,15598.88279
gha,1962,4284.52275
gha,1967,3725.65267
gha,1972,3282.90153
gha,1977,2914.73582
gha,1982,2594.88272
gha,1987,2235.82883
gha,1992,1935.68846
gha,1997,1691.88889
gha,2002,1496.56409
gha,2007,1319.45961
gha,2012,1165.54355
gha,2017,1040.46964
gha,2018,1017.90202
gin,1962,62579.12383
gin,1967,57345.18196
gin,1972,52673.97328
gin,1977,48823.89502
gin,1982,44513.83701
gin,1987,38956.6311
gin,1992,33650.82239
gin,1997,29495.94176
gin,2002,26321.68335
gin,2007,23744.08749
gin,2012,21216.60919
gin,2017,18727.96357
gin,2018,18204.82392
gmb,1962,7897.10597
gmb,1967,7031.98616
gmb,1972,6092.31069
gmb,1977,5201.51537
gmb,1982,4424.05447
gmb,1987,3610.06052
gmb,1992,2919.77623
gmb,1997,2498.91297
gmb,2002,2136.35195
gmb,2007,1829.44008
gmb,2012,1574.78662
gmb,2017,1355.07475
gmb,2018,1315.73638
gnb,1962,25442.17709
gnb,1967,23907.60904
gnb,1972,21842.52631
gnb,1977,20732.58592
gnb,1982,19743.2879
gnb,1987,17529.34796
gnb,1992,15680.84771
gnb,1997,14127.97294
gnb,2002,12754.55298
gnb,2007,11335.09736
gnb,2012,9968.96536
gnb,2017,8752.03622
gnb,2018,8536.50208
gnq,1962,99153.76079
gnq,1967,89106.3999
gnq,1972,89807.53554
gnq,1977,107367.03006
gnq,1982,91344.0932
gnq,1987,67889.19439
gnq,1992,58130.56572
gnq,1997,48465.95919
gnq,2002,39490.39168
gnq,2007,31642.2575
gnq,2012,25213.56373
gnq,2017,20602.0881
gnq,2018,19863.00637
grc,1962,6865.34095
grc,1967,6678.88211
grc,1972,6525.19151
grc,1977,6230.87832
grc,1982,5924.70739
grc,1987,5799.65492
grc,1992,5577.42665
grc,1997,5440.25804
grc,2002,5320.11401
grc,2007,5249.59422
grc,2012,5251.23968
grc,2017,5393.0015
grc,2018,5403.95394
grd,1962,2162.60641
grd,1967,2104.99729
grd,1972,2128.02182
grd,1977,2216.82797
grd,1982,2147.48962
grd,1987,2011.56654
grd,1992,2058.43912
grd,1997,1969.14355
grd,2002,1929.83136
grd,2007,1901.44798
grd,2012,1861.29623
grd,2017,1803.84944
grd,2018,1794.54282
gtm,1962,24939.45489
gtm,1967,21634.75051
gtm,1972,19078.37087
gtm,1977,17028.79581
gtm,1982,15035.81704
gtm,1987,13105.3951
gtm,1992,11441.67725
gtm,1997,10122.01824
gtm,2002,8989.49044
gtm,2007,8102.68303
gtm,2012,7387.39179
gtm,2017,6787.9132
gtm,2018,6680.14504
guy,1962,397502.16894
guy,1967,356582.19664
guy,1972,333818.59383
guy,1977,316097.07984
guy,1982,308480.39485
guy,1987,318172.39663
guy,1992,321935.99752
guy,1997,317952.43906
guy,2002,323581.57814
guy,2007,322849.86677
guy,2012,319041.34034
guy,2017,310880.29432
guy,2018,309368.2085
hnd,1962,42056.96091
hnd,1967,36462.09272
hnd,1972,31456.20927
hnd,1977,27039.88537
hnd,1982,23182.8952
hnd,1987,19959.41271
hnd,1992,17286.09858
hnd,1997,14995.77281
hnd,2002,13083.63549
hnd,2007,11610.39527
hnd,2012,10492.21563
hnd,2017,9615.00157
hnd,2018,9456.04028
hrv,1992,8238.96422
hrv,1997,8313.267
hrv,2002,8763.01162
hrv,2007,8746.65957
hrv,2012,8834.09218
hrv,2017,9140.43336
hrv,2018,9222.46788
hti,1962,3236.23951
hti,1967,2939.2238
hti,1972,2688.87779
hti,1977,2456.64234
hti,1982,2200.76298
hti,1987,1965.17706
hti,1992,1777.03613
hti,1997,1619.65532
hti,2002,1485.80992
hti,2007,1369.83041
hti,2012,1268.86147
hti,2017,1184.35306
hti,2018,1169.35952
hun,1962,596.31869
hun,1967,587.2793
hun,1972,577.00691
hun,1977,563.48446
hun,1982,560.45774
hun,1987,565.35819
hun,1992,578.62886
hun,1997,583.06284
hun,2002,590.6321
hun,2007,596.67176
hun,2012,604.81664
hun,2017,612.99763
hun,2018,613.77533
idn,1962,21819.44932
idn,1967,19068.52092
idn,1972,16681.08348
idn,1977,14705.19029
idn,1982,13068.70601
idn,1987,11756.94554
idn,1992,10752.64862
idn,1997,9952.84398
idn,2002,9287.45158
idn,2007,8687.27945
idn,2012,8125.11984
idn,2017,7627.7822
idn,2018,7541.73352
ind,1962,3082.64829
ind,1967,2778.62874
ind,1972,2488.43868
ind,1977,2216.40186
ind,1982,1974.76373
ind,1987,1764.09856
ind,1992,1590.22197
ind,1997,1444.69973
ind,2002,1322.58051
ind,2007,1222.09975
ind,2012,1142.37839
ind,2017,1080.17112
ind,2018,1069.01878
irl,1962,17277.55152
irl,1967,16882.2891
irl,1972,16135.14003
irl,1977,14929.01103
irl,1982,14057.03138
irl,1987,13841.58504
irl,1992,13770.11772
irl,1997,13336.34172
irl,2002,12462.01945
irl,2007,11139.04207
irl,2012,10653.25545
irl,2017,10192.64515
irl,2018,10067.14994
irn,1962,5569.68831
irn,1967,4882.63142
irn,1972,4272.60979
irn,1977,3692.20609
irn,1982,3069.07953
irn,1987,2510.07046
irn,1992,2186.10374
irn,1997,2035.27894
irn,2002,1909.79238
irn,2007,1801.32251
irn,2012,1701.0882
irn,2017,1592.83262
irn,2018,1570.90073
irq,1962,4586.78726
irq,1967,3934.10517
irq,1972,3320.86099
irq,1977,2824.57343
irq,1982,2438.94569
irq,1987,2165.21159
irq,1992,1912.75869
irq,1997,1641.82332
irq,2002,1411.84465
irq,2007,1261.14061
irq,2012,1103.7939
irq,2017,937.34718
irq,2018,915.86521
isl,1962,932129.97182
isl,1967,855341.60834
isl,1972,812864.2947
isl,1977,766459.72254
isl,1982,726930.64226
isl,1987,691453.23132
isl,1992,651198.78034
isl,1997,627010.12068
isl,2002,591257.04726
isl,2007,545630.78128
isl,2012,530063.98184
isl,2017,495049.50495
isl,2018,481967.33396
isr,1962,327.08242
isr,1967,273.22404
isr,1972,238.24651
isr,1977,207.58373
isr,1982,186.05805
isr,1987,171.664
isr,1992,146.39859
isr,1997,128.51268
isr,2002,114.15525
isr,2007,104.45537
isr,2012,94.81069
isr,2017,86.07531
isr,2018,84.43284
ita,1962,3586.90984
ita,1967,3449.87287
ita,1972,3355.93024
ita,1977,3261.5255
ita,1982,3227.60079
ita,1987,3224.27162
ita,1992,3213.19296
ita,1997,3207.92418
ita,2002,3198.44332
ita,2007,3122.95137
ita,2012,3065.18084
ita,2017,3014.69973
ita,2018,3020.43502
jam,1962,6455.71128
jam,1967,6001.69462
jam,1972,5593.02438
jam,1977,5201.30485
jam,1982,4844.53876
jam,1987,4556.28524
jam,1992,4397.72176
jam,1997,4188.60688
jam,2002,4019.17229
jam,2007,3909.71988
jam,2012,3808.06211
jam,2017,3705.43074
jam,2018,3687.74857
jor,1962,674.81522
jor,1967,494.56306
jor,1972,362.01054
jor,1977,312.93576
jor,1982,266.03992
jor,1987,217.76613
jor,1992,171.45728
jor,1997,140.66101
jor,2002,128.25542
jor,2007,109.02772
jor,2012,84.30199
jor,2017,69.69253
jor,2018,68.43733
jpn,1962,4529.51029
jpn,1967,4305.2093
jpn,1972,4011.64309
jpn,1977,3776.16973
jpn,1982,3629.30452
jpn,1987,3522.59787
jpn,1992,3455.89713
jpn,1997,3411.15527
jpn,2002,3374.00447
jpn,2007,3359.34876
jpn,2012,3369.14024
jpn,2017,3391.54708
jpn,2018,3398.42771
kaz,1992,3914.44897
kaz,1997,4196.44574
kaz,2002,4330.72371
kaz,2007,4155.85124
kaz,2012,3832.16136
kaz,2017,3567.51289
kaz,2018,3520.924
ken,1962,2393.89337
ken,1967,2031.90451
ken,1972,1704.25502
ken,1977,1414.04198
ken,1982,1167.09632
ken,1987,968.09902
ken,1992,817.33931
ken,1997,703.70683
ken,2002,613.30163
ken,2007,534.80174
ken,2012,466.81059
ken,2017,412.17699
ken,2018,402.78197
kgz,1992,10836.24935
kgz,1997,10418.61858
kgz,2002,9804.23594
kgz,2007,9287.44976
kgz,2012,8726.28055
kgz,2017,7894.22741
kgz,2018,7738.66014
khm,1962,20005.19513
khm,1967,18037.79568
khm,1972,16515.76495
khm,1977,16759.2127
khm,1982,17428.2416
khm,1987,14710.75777
khm,1992,12531.30342
khm,1997,10673.89433
khm,2002,9542.86121
khm,2007,8815.81965
khm,2012,8159.4245
khm,2017,7533.06811
khm,2018,7421.63199
kna,1962,470.94838
kna,1967,506.45734
kna,1972,541.54069
kna,1977,546.14965
kna,1982,561.62685
kna,1987,584.78108
kna,1992,589.81102
kna,1997,560.00187
kna,2002,531.34963
kna,2007,502.41789
kna,2012,481.14513
kna,2017,461.21916
kna,2018,457.68336
kor,1962,2445.96708
kor,1967,2152.26959
kor,1972,1935.50851
kor,1977,1781.01625
kor,1982,1649.02146
kor,1987,1558.08182
kor,1992,1482.35473
kor,1997,1411.20667
kor,2002,1361.11571
kor,2007,1332.06969
kor,2012,1291.83642
kor,2017,1262.60875
kor,2018,1257.14695
kwt,1962,0
kwt,1967,0
kwt,1972,0
kwt,1977,0
kwt,1982,0
kwt,1987,0
kwt,1997,0
kwt,2002,0
kwt,2007,0
kwt,2012,0
kwt,2017,0
kwt,2018,0
lao,1962,85722.39984
lao,1967,76253.72864
lao,1972,67022.38065
lao,1977,60717.40096
lao,1982,55980.35569
lao,1987,48751.38429
lao,1992,42307.85675
lao,1997,37700.66972
lao,2002,34660.73779
lao,2007,32027.18171
lao,2012,29544.44816
lao,2017,27383.74011
lao,2018,26963.11659
lbn,1962,2493.12453
lbn,1967,2207.1686
lbn,1972,1985.24557
lbn,1977,1844.9235
lbn,1982,1841.79877
lbn,1987,1799.12952
lbn,1992,1560.40073
lbn,1997,1312.04007
lbn,2002,1147.71997
lbn,2007,1006.84934
lbn,2012,866.79841
lbn,2017,703.87706
lbn,2018,699.76887
lbr,1962,171430.8735
lbr,1967,153488.1722
lbr,1972,135633.03668
lbr,1977,118192.48237
lbr,1982,100528.93298
lbr,1987,92880.17714
lbr,1992,99919.46491
