geo,time,se_adt_litr_ma_zs
idn,2009,95.64701
idn,2011,95.59109
idn,2014,96.79101
idn,2015,97.10652
idn,2016,97.17444
idn,2018,97.33134
idn,2020,97.44931
ind,1981,54.84102
ind,1991,61.64192
ind,2001,73.41186
ind,2006,75.1919
ind,2011,78.87723
ind,2018,82.36671
irn,1976,48.18333
irn,1986,63.09955
irn,1991,74.27448
irn,1996,79.87161
irn,2002,83.5
irn,2005,88.01032
irn,2006,87.27219
irn,2008,88.17703
irn,2012,88.87982
irn,2013,89.54248
irn,2014,89.63542
irn,2016,90.35241
irq,2000,84.08741
irq,2012,85.9
irq,2013,81.4
irq,2014,90
irq,2016,90
irq,2017,91.2
isr,1983,94.9634
ita,1981,97.46465
ita,2001,98.82369
ita,2011,99.14101
ita,2018,99.35345
jam,1999,74.08184
jam,2014,83.44
jor,1979,80.48261
jor,2003,95.0845
jor,2005,95.17645
jor,2007,95.49455
jor,2010,95.76724
jor,2011,97.74836
jor,2012,98.44456
jor,2018,98.61421
kaz,1989,99.07195
kaz,1999,99.7633
kaz,2009,99.78625
kaz,2010,99.82968
kaz,2018,99.82968
ken,2000,87.49466
ken,2007,78.07915
ken,2014,83.77803
ken,2018,84.98883
kgz,1999,99.30671
kgz,2009,99.51879
kgz,2018,99.67701
khm,1998,79.48218
khm,2004,84.68001
khm,2008,84.98746
khm,2009,83.93268
khm,2014,84.81415
khm,2015,86.53244
kor,2008,98.31552
kwt,1975,68.02863
kwt,1980,72.78765
kwt,1985,78.1973
kwt,1995,81.12095
kwt,2005,94.44604
kwt,2006,94.52522
kwt,2007,94.79458
kwt,2008,95.01588
kwt,2010,95.54531
kwt,2012,95.83972
kwt,2013,96.35419
kwt,2015,96.39225
kwt,2017,96.69714
kwt,2018,96.66646
kwt,2020,97.05385
lao,1995,73.48625
lao,2000,81.36018
lao,2001,77.00606
lao,2005,82.45175
lao,2011,67.35858
lao,2015,89.96128
lbn,2007,93.37894
lbn,2009,94.27195
lbn,2018,96.85466
lbr,1984,44.87932
lbr,2007,60.77481
lbr,2017,62.69656
lby,1984,76.99263
lby,1994,87.72
lby,2004,93.85
lka,1981,91.3484
lka,2001,92.2702
lka,2006,92.71365
lka,2008,92.24393
lka,2010,92.57847
lka,2016,93.45589
lka,2017,92.98055
lka,2018,92.77293
lka,2019,93.03136
lso,2000,79.99578
lso,2009,65.52196
lso,2014,67.74747
ltu,1989,99.20681
ltu,2001,99.64315
ltu,2011,99.79419
lva,1989,99.75433
lva,2000,99.79334
lva,2011,99.8811
lva,2018,99.86837
mac,1981,92.80968
mac,2001,95.27621
mac,2006,96.46999
mac,2011,97.75129
mac,2016,98.18592
mar,1982,43.71439
mar,1994,55.15517
mar,2004,65.70676
mar,2008,68.36586
mar,2009,68.91762
mar,2011,76.07358
mar,2012,80.38336
mar,2014,75.36726
mar,2018,83.30135
mda,1989,98.61405
mda,2000,97.97762
mda,2014,99.60201
mdg,2000,76.53832
mdg,2005,63.34707
mdg,2009,67.41731
mdg,2012,75.02887
mdg,2018,78.37828
mdv,1977,82.40485
mdv,1985,92.11401
mdv,1990,95.89713
mdv,1995,96.21227
mdv,2006,98.36569
mdv,2014,98.52034
mdv,2016,97.29893
mex,1980,86.24265
mex,1990,90.3474
mex,2000,92.55937
mex,2002,91.9978
mex,2004,92.44961
mex,2005,93.19041
mex,2006,93.9012
mex,2007,94.44151
mex,2008,94.59216
mex,2009,94.91657
mex,2010,94.38394
mex,2011,94.78277
mex,2012,95.39163
mex,2013,95.11211
mex,2014,95.62047
mex,2015,95.54933
mex,2016,95.84482
mex,2017,95.87237
mex,2018,96.2329
mex,2020,96.05875
mhl,2011,98.32509
mkd,1994,97.23235
mkd,2002,98.21278
mkd,2014,98.81
mkd,2020,99.11787
mli,1976,13.51292
mli,1998,26.73297
mli,2003,32.7
mli,2006,34.85789
mli,2010,43.40063
mli,2011,43.52047
mli,2015,45.06592
mli,2018,46.18414
mli,2020,40.43405
mlt,1985,86.55354
mlt,1995,86.43028
mlt,2005,91.18658
mlt,2011,91.79265
mlt,2018,93.00997
mmr,1983,85.78836
mmr,2000,93.92426
mmr,2016,80.01159
mmr,2019,92.39293
mne,1981,96.32053
mne,1991,89.28209
mne,2003,99.30319
mne,2011,99.43121
mne,2018,99.45047
mng,2000,98.01678
mng,2010,98.1747
mng,2018,98.18601
mng,2020,99.12138
moz,1980,43.77833
moz,1997,54.81888
moz,2003,65.5771
moz,2009,67.3547
moz,2015,70.75839
moz,2017,72.59945
mrt,2000,59.54033
mrt,2007,57.40438
mrt,2013,67.95721
mrt,2017,63.74855
mus,1990,85.14575
mus,2000,88.22786
mus,2011,91.95172
