geo,time,sp_m15_2024_fe_zs
ton,2012,0.3
ton,2019,0.4
tto,1987,6
tto,2011,2.7
tun,1988,0.5
tun,2012,0
tun,2018,0
tur,1993,4.7
tur,1998,4.2
tur,2003,2.2
tur,2008,2.5
tur,2013,1.1
tur,2018,2
tuv,2007,0
tza,1992,7.2
tza,1996,7.3
tza,1999,6.4
tza,2004,7
tza,2005,6.4
tza,2008,5.9
tza,2010,6.6
tza,2012,5.3
tza,2016,5.2
uga,1989,17.8
uga,1995,15.1
uga,2001,15.2
uga,2005,16.6
uga,2006,12.3
uga,2011,9.9
uga,2016,7.3
ukr,2007,0.2
ukr,2012,0.1
ury,2013,0.7
uzb,1996,0.4
uzb,2006,0.26308
vnm,1997,0.9
vnm,2002,0.7
vnm,2005,0.5
vnm,2014,0.9
vut,2013,2.47514
wsm,2014,0.7
wsm,2020,0.9
yem,1992,20.4
yem,1997,14
yem,2013,9.4
zaf,1998,1.1
zaf,2003,0.8
zaf,2016,0.9
zmb,1992,9
zmb,1996,8.9
zmb,2002,7.8
zmb,2007,8.5
zmb,2014,5.9
zmb,2018,5.2
zwe,1988,6.7
zwe,1994,6.4
zwe,1999,4.6
zwe,2006,4.6
zwe,2011,3.9
zwe,2015,3.7
zwe,2019,5.41835
