geo,time,sm_pop_netm
bgd,1987,-219363
bgd,1992,-813794
bgd,1997,-719899
bgd,2002,-1492537
bgd,2007,-3254778
bgd,2012,-2306839
bgd,2017,-1847503
bgr,1962,-1437
bgr,1967,-6423
bgr,1972,-43396
bgr,1977,-94868
bgr,1982,-22346
bgr,1987,-184143
bgr,1992,-356464
bgr,1997,-133824
bgr,2002,-85500
bgr,2007,-83742
bgr,2012,-24472
bgr,2017,-24001
bhr,1962,-4195
bhr,1967,-8033
bhr,1972,19123
bhr,1977,48962
bhr,1982,3234
bhr,1987,12899
bhr,1992,5480
bhr,1997,39180
bhr,2002,155500
bhr,2007,272000
bhr,2012,42000
bhr,2017,239000
bhs,1962,13873
bhs,1967,13929
bhs,1972,949
bhs,1977,2981
bhs,1982,646
bhs,1987,-811
bhs,1992,-322
bhs,1997,-3001
bhs,2002,11877
bhs,2007,14536
bhs,2012,4999
bhs,2017,4999
bih,1962,-50002
bih,1967,-96958
bih,1972,-82247
bih,1977,-74132
bih,1982,-29999
bih,1987,-134587
bih,1992,-740715
bih,1997,-159283
bih,2002,-6000
bih,2007,-59246
bih,2012,-258529
bih,2017,-107926
blr,1962,-125387
blr,1967,65585
blr,1972,37146
blr,1977,38298
blr,1982,47114
blr,1987,-23021
blr,1992,-63057
blr,1997,56146
blr,2002,-6382
blr,2007,63933
blr,2012,72123
blr,2017,43648
blz,1962,-2418
blz,1967,-2957
blz,1972,-10665
blz,1977,-13542
blz,1982,-5332
blz,1987,-5404
blz,1992,-9011
blz,1997,11909
blz,2002,5797
blz,2007,8722
blz,2012,7594
blz,2017,6000
bol,1962,-20760
bol,1967,-23150
bol,1972,-26620
bol,1977,-40130
bol,1982,-73670
bol,1987,-64260
bol,1992,-51670
bol,1997,-64330
bol,2002,-77720
bol,2007,-67700
bol,2012,-57620
bol,2017,-47520
bra,1962,0
bra,1967,0
bra,1972,0
bra,1977,0
bra,1982,0
bra,1987,0
bra,1992,0
bra,1997,0
bra,2002,0
bra,2007,0
bra,2012,15924
bra,2017,106000
brb,1962,-17960
brb,1967,-13677
brb,1972,-6934
brb,1977,-5548
brb,1982,-7856
brb,1987,-6311
brb,1992,-5393
brb,1997,-3643
brb,2002,-3188
brb,2007,-249
brb,2012,-397
brb,2017,-397
brn,1962,6422
brn,1967,10843
brn,1972,10886
brn,1977,8293
brn,1982,3622
brn,1987,3684
brn,1992,4770
brn,1997,4188
brn,2002,422
brn,2007,-2257
brn,2012,-901
brn,2017,0
btn,1962,5000
btn,1967,10000
btn,1972,10001
btn,1977,10016
btn,1982,797
btn,1987,1595
btn,1992,-58565
btn,1997,143
btn,2002,6171
btn,2007,-10971
btn,2012,300
btn,2017,1600
bwa,1962,-22436
bwa,1967,-24198
bwa,1972,3992
bwa,1977,17744
bwa,1982,5203
bwa,1987,46821
bwa,1992,24296
bwa,1997,36443
bwa,2002,26928
bwa,2007,26928
bwa,2012,-73138
bwa,2017,14999
caf,1962,11930
caf,1967,13145
caf,1972,-50000
caf,1977,-1000
caf,1982,40000
caf,1987,-80000
caf,1992,50000
caf,1997,30000
caf,2002,-24405
caf,2007,-125614
caf,2012,-396129
caf,2017,-200000
can,1962,178691
can,1967,611117
can,1972,758104
can,1977,420633
can,1982,373939
can,1987,859217
can,1992,690555
can,1997,783535
can,2002,1052013
can,2007,1326431
can,2012,1241416
can,2017,1210159
chanisl,1962,2934
chanisl,1967,3880
chanisl,1972,4250
chanisl,1977,1726
chanisl,1982,5380
chanisl,1987,6085
chanisl,1992,1170
chanisl,1997,2291
chanisl,2002,1513
chanisl,2007,5970
chanisl,2012,3570
chanisl,2017,6754
che,1962,277152
che,1967,92978
che,1972,25185
che,1977,-135365
che,1982,81040
che,1987,130857
che,1992,247406
che,1997,65218
che,2002,186125
che,2007,344872
che,2012,397267
che,2017,259999
chl,1962,-146900
chl,1967,-196500
chl,1972,-161260
chl,1977,-148300
chl,1982,-154520
chl,1987,-68650
chl,1992,3610
chl,1997,19340
chl,2002,42330
chl,2007,107169
chl,2012,163730
chl,2017,558539
chn,1962,-1125727
chn,1967,-160002
chn,1972,-1105479
chn,1977,-47004
chn,1982,-200000
chn,1987,-431651
chn,1992,-779982
chn,1997,-382999
chn,2002,-1965578
chn,2007,-2178385
chn,2012,-1552209
chn,2017,-1741996
civ,1962,200706
civ,1967,200706
civ,1972,393042
civ,1977,403322
civ,1982,427498
civ,1987,319134
civ,1992,375000
civ,1997,180000
civ,2002,-300000
civ,2007,-200000
civ,2012,-80000
civ,2017,-40000
cmr,1962,0
cmr,1967,-1000
cmr,1972,-2500
cmr,1977,0
cmr,1982,-16500
cmr,1987,-19500
cmr,1992,-48000
cmr,1997,-48000
cmr,2002,-54000
cmr,2007,-54000
cmr,2012,-36000
cmr,2017,-24000
cod,1962,122650
cod,1967,242939
cod,1972,27450
cod,1977,100685
cod,1982,-450468
cod,1987,74515
cod,1992,1287106
cod,1997,-958174
cod,2002,-241564
cod,2007,-43426
cod,2012,15060
cod,2017,119303
cog,1962,0
cog,1967,0
cog,1972,0
cog,1977,-7407
cog,1982,2098
cog,1987,2000
cog,1992,22530
cog,1997,49302
cog,2002,51485
cog,2007,91771
cog,2012,-60000
cog,2017,-20000
col,1962,-306563
col,1967,-338635
col,1972,-380422
col,1977,-419350
col,1982,-370972
col,1987,-324000
col,1992,-287950
col,1997,-259000
col,2002,-231000
col,2007,-195000
col,2012,-193380
col,2017,1023981
com,1962,-8491
com,1967,-5500
com,1972,-5500
com,1977,10000
com,1982,-4500
com,1987,-4500
com,1992,-3000
com,1997,-6000
com,2002,-10000
com,2007,-10000
com,2012,-10000
com,2017,-10000
cpv,1962,-1167
cpv,1967,4267
cpv,1972,-34907
cpv,1977,-27982
cpv,1982,-20313
cpv,1987,-27757
cpv,1992,-6376
cpv,1997,-5438
cpv,2002,-9859
cpv,2007,-11341
cpv,2012,-8029
cpv,2017,-6709
cri,1962,7905
cri,1967,7827
cri,1972,12638
cri,1977,17425
cri,1982,18876
cri,1987,17417
cri,1992,69202
cri,1997,89527
cri,2002,41792
cri,2007,30339
cri,2012,19658
cri,2017,21000
cub,1962,-204043
cub,1967,-248423
cub,1972,-190000
cub,1977,-160000
cub,1982,-270000
cub,1987,-69999
cub,1992,-120006
cub,1997,-132839
cub,2002,-145629
cub,2007,-240000
cub,2012,-80000
cub,2017,-72000
cyp,1962,-43025
cyp,1967,-7843
cyp,1972,3053
cyp,1977,-1215
cyp,1982,-27634
cyp,1987,17167
cyp,1992,43195
cyp,1997,53260
cyp,2002,57530
cyp,2007,58658
cyp,2012,22509
cyp,2017,25000
cze,1962,24999
cze,1967,-129099
cze,1972,9999
cze,1977,9999
cze,1982,-52946
cze,1987,5671
cze,1992,29999
cze,1997,46002
cze,2002,47402
cze,2007,250889
cze,2012,59997
cze,2017,110057
deu,1962,669314
deu,1967,871265
deu,1972,701731
deu,1977,228894
deu,1982,23
deu,1987,1683737
deu,1992,2628459
deu,1997,715944
deu,2002,824445
deu,2007,43087
deu,2012,1938576
deu,2017,2719112
dji,1962,18000
dji,1967,25000
dji,1972,34997
dji,1977,91193
dji,1982,9999
dji,1987,89998
dji,1992,-45000
dji,1997,9988
dji,2002,-8997
dji,2007,-12221
dji,2012,6002
dji,2017,4501
dnk,1962,2256
dnk,1967,21866
dnk,1972,23256
dnk,1977,14925
dnk,1982,9319
dnk,1987,32839
dnk,1992,65466
dnk,1997,74568
dnk,2002,46306
dnk,2007,87989
dnk,2012,106841
dnk,2017,75998
dom,1962,-43490
dom,1967,-56172
dom,1972,-70824
dom,1977,-87098
dom,1982,-118102
dom,1987,-134470
dom,1992,-144154
dom,1997,-150146
dom,2002,-152553
dom,2007,-153773
dom,2012,-153000
dom,2017,-150000
dza,1962,-282941
dza,1967,-121335
dza,1972,-253436
dza,1977,-224833
dza,1982,-81020
dza,1987,-93302
dza,1992,-128679
dza,1997,-164413
dza,2002,-205228
dza,2007,-357340
dza,2012,-143268
dza,2017,-50002
ecu,1962,-9002
ecu,1967,-5500
ecu,1972,-5499
ecu,1977,-7198
ecu,1982,-14001
ecu,1987,-16998
ecu,1992,-19000
ecu,1997,-69999
ecu,2002,-120002
ecu,2007,-44999
ecu,2012,-38001
ecu,2017,182000
egy,1962,-50100
egy,1967,-239700
egy,1972,-559179
egy,1977,-595294
egy,1982,-392930
egy,1987,-212184
egy,1992,-460404
egy,1997,-210899
egy,2002,-74464
egy,2007,-283573
egy,2012,-280944
egy,2017,-190164
eri,1962,6997
eri,1967,4999
eri,1972,10000
eri,1977,10000
eri,1982,10000
eri,1987,-40000
eri,1992,-314772
eri,1997,-129998
eri,2002,227290
eri,2007,-80009
eri,2012,-246000
eri,2017,-199290
esp,1962,-193807
esp,1967,-145936
esp,1972,96990
esp,1977,76903
esp,1982,-43292
esp,1987,-67680
esp,1992,319270
esp,1997,931072
esp,2002,2908209
esp,2007,2273848
esp,2012,-520442
esp,2017,200000
est,1962,43228
est,1967,41204
est,1972,30581
est,1977,30510
est,1982,25900
est,1987,15497
est,1992,-111876
est,1997,-1197
est,2002,-18406
est,2007,-15151
est,2012,-10516
est,2017,19555
eth,1962,-19999
eth,1967,-42182
eth,1972,-59597
eth,1977,-2112372
eth,1982,248546
eth,1987,765993
eth,1992,1457943
eth,1997,-155577
eth,2002,-150001
eth,2007,-50132
eth,2012,399997
eth,2017,150002
fin,1962,-64984
fin,1967,-97937
fin,1972,28880
fin,1977,-29377
fin,1982,26181
fin,1987,18268
fin,1992,47223
fin,1997,22154
fin,2002,31935
fin,2007,57558
fin,2012,81416
fin,2017,70000
fji,1962,-3455
fji,1967,-14279
fji,1972,-15145
fji,1977,-22230
fji,1982,-12677
fji,1987,-66996
fji,1992,-33803
fji,1997,-38692
fji,2002,-58598
fji,2007,-23691
fji,2012,-51950
fji,2017,-31008
fra,1962,1417869
fra,1967,491613
fra,1972,543072
fra,1977,258429
fra,1982,291570
fra,1987,276383
fra,1992,122170
fra,1997,193631
fra,2002,926483
fra,2007,446120
fra,2012,423831
fra,2017,182636
fsm,1962,454
fsm,1967,429
fsm,1972,-7534
fsm,1977,120
fsm,1982,445
fsm,1987,-1902
fsm,1992,-1662
fsm,1997,-12788
fsm,2002,-12284
fsm,2007,-12278
fsm,2012,-2999
fsm,2017,-2999
gab,1962,9410
gab,1967,16188
gab,1972,2999
gab,1977,4999
gab,1982,4999
gab,1987,4999
gab,1992,4999
gab,1997,9566
gab,2002,24820
gab,2007,63698
gab,2012,100317
gab,2017,16301
gbr,1962,143068
gbr,1967,-84853
gbr,1972,106415
gbr,1977,39119
gbr,1982,-97495
gbr,1987,98758
gbr,1992,205443
gbr,1997,513361
gbr,2002,992223
gbr,2007,2189404
gbr,2012,1300231
gbr,2017,1303250
geo,1962,96284
geo,1967,85200
geo,1972,-73426
geo,1977,-95445
geo,1982,-47827
geo,1987,-43659
geo,1992,-591854
geo,1997,-653597
geo,2002,-148337
geo,2007,-119811
geo,2012,-95340
geo,2017,-50000
gha,1962,30000
gha,1967,-260133
gha,1972,-143000
gha,1977,-459839
gha,1982,-12339
gha,1987,-40000
gha,1992,-16000
gha,1997,-126999
gha,2002,25002
gha,2007,150000
gha,2012,-50000
gha,2017,-50000
gin,1962,0
gin,1967,0
gin,1972,-87571
gin,1977,-156695
gin,1982,-83323
gin,1987,0
gin,1992,-134975
gin,1997,-181099
gin,2002,-349998
gin,2007,-311422
gin,2012,-293749
gin,2017,-20000
gmb,1962,5282
gmb,1967,13403
gmb,1972,14403
gmb,1977,14580
gmb,1982,14883
gmb,1987,60597
gmb,1992,2620
gmb,1997,-4570
gmb,2002,1517
gmb,2007,-15436
gmb,2012,-15436
gmb,2017,-15436
gnb,1962,-20001
gnb,1967,-7230
gnb,1972,-14999
gnb,1977,-79367
gnb,1982,-30001
gnb,1987,-28004
gnb,1992,-29999
gnb,1997,-41167
gnb,2002,-27932
gnb,2007,-17502
gnb,2012,-7005
gnb,2017,-6996
gnq,1962,2998
gnq,1967,5001
gnq,1972,-70000
gnq,1977,-29998
gnq,1982,64999
gnq,1987,20000
gnq,1992,20002
gnq,1997,35001
gnq,2002,50003
gnq,2007,80001
gnq,2012,89999
gnq,2017,79998
grc,1962,-256691
grc,1967,-187126
grc,1972,20771
grc,1977,297368
grc,1982,100241
grc,1987,178887
grc,1992,459178
grc,1997,297431
grc,2002,113586
grc,2007,-370769
grc,2012,-161799
grc,2017,-80000
grd,1962,-9450
grd,1967,-9731
grd,1972,-11759
grd,1977,-13206
grd,1982,-586
grd,1987,-15189
grd,1992,-4210
grd,1997,-3964
grd,2002,-3511
grd,2007,-3526
grd,2012,-1000
grd,2017,-1000
gtm,1962,-10311
gtm,1967,-41269
gtm,1972,-137529
gtm,1977,-258519
gtm,1982,-283074
gtm,1987,-299909
gtm,1992,-367469
gtm,1997,-402326
gtm,2002,-281050
gtm,2007,-114231
gtm,2012,-50131
gtm,2017,-46073
gum,1962,-2905
gum,1967,-1442
gum,1972,-2131
gum,1977,-1511
gum,1982,109
gum,1987,99
gum,1992,1739
gum,1997,-4116
gum,2002,-9556
gum,2007,-9776
gum,2012,-7594
gum,2017,-2532
guy,1962,-14669
guy,1967,-42559
guy,1972,-54362
guy,1977,-52341
guy,1982,-97340
guy,1987,-102648
guy,1992,-57867
guy,1997,-86647
guy,2002,-63249
guy,2007,-50078
guy,2012,-34999
guy,2017,-30001
hkg,1962,-27385
hkg,1967,71590
hkg,1972,73970
hkg,1977,390487
hkg,1982,160605
hkg,1987,221262
hkg,1992,156486
hkg,1997,375683
hkg,2002,64797
hkg,2007,89747
hkg,2012,74892
hkg,2017,146542
hnd,1962,-29002
hnd,1967,-41000
hnd,1972,-45999
hnd,1977,-50999
hnd,1982,-61998
hnd,1987,-73998
hnd,1992,-77999
hnd,1997,-64998
hnd,2002,-41999
hnd,2007,-25000
hnd,2012,-30000
hnd,2017,-34000
hrv,1962,1854
hrv,1967,-1225
hrv,1972,-18403
hrv,1977,18681
hrv,1982,54369
hrv,1987,26145
hrv,1992,-143579
hrv,1997,-188129
hrv,2002,-2580
hrv,2007,-10499
hrv,2012,-38493
hrv,2017,-40004
hti,1962,-51997
hti,1967,-58003
hti,1972,-88000
hti,1977,-97999
hti,1982,-124999
hti,1987,-135001
hti,1992,-140001
hti,1997,-144998
hti,2002,-139999
hti,2007,-138004
hti,2012,-150000
hti,2017,-175000
hun,1962,21715
hun,1967,15731
hun,1972,-24419
hun,1977,13040
hun,1982,-115800
hun,1987,-91554
hun,1992,99980
hun,1997,78562
hun,2002,61589
hun,2007,25150
hun,2012,29999
hun,2017,29999
idn,1962,449965
idn,1967,556062
idn,1972,508276
idn,1977,378743
idn,1982,475080
idn,1987,261282
idn,1992,-35412
idn,1997,-67671
idn,2002,-1149655
idn,2007,-1333685
idn,2012,-454447
idn,2017,-494777
ind,1962,-85391
ind,1967,-342846
ind,1972,2106041
ind,1977,1111236
ind,1982,579708
ind,1987,45150
ind,1992,-552948
ind,1997,-682569
ind,2002,-1888986
ind,2007,-2655844
ind,2012,-2350075
ind,2017,-2663434
irl,1962,-105837
irl,1967,-57278
irl,1972,44335
irl,1977,51765
irl,1982,-60929
irl,1987,-125947
irl,1992,-15374
irl,1997,84879
irl,2002,201467
irl,2007,197285
irl,2012,-111819
irl,2017,118020
irn,1962,-7838
irn,1967,51755
irn,1972,77633
irn,1977,403319
irn,1982,2007670
irn,1987,1497228
irn,1992,-898423
irn,1997,-218350
irn,2002,-48444
irn,2007,-576900
irn,2012,-502345
irn,2017,-274998
irq,1962,-1862
irq,1967,-6877
irq,1972,-8587
irq,1977,-47791
irq,1982,-199939
irq,1987,-647664
irq,1992,-154026
irq,1997,-17859
irq,2002,-266320
irq,2007,-1102117
irq,2012,1303607
irq,2017,39171
isl,1962,-732
isl,1967,-2757
isl,1972,-1061
isl,1977,-3929
isl,1982,260
isl,1987,646
isl,1992,-1054
isl,1997,1020
isl,2002,2940
isl,2007,12007
isl,2012,-2163
isl,2017,1900
isr,1962,209496
isr,1967,72440
isr,1972,165879
isr,1977,62546
isr,1982,2604
isr,1987,65418
isr,1992,451557
isr,1997,245334
isr,2002,102935
isr,2007,273635
isr,2012,19497
isr,2017,50002
ita,1962,-230527
ita,1967,-231781
ita,1972,19396
ita,1977,164927
ita,1982,264799
ita,1987,-10058
ita,1992,152825
ita,1997,-298237
ita,2002,1664343
ita,2007,1050948
ita,2012,1637369
ita,2017,744713
jam,1962,-143938
jam,1967,-149741
jam,1972,-91034
jam,1977,-98483
jam,1982,-71084
jam,1987,-146934
jam,1992,-110068
jam,1997,-93279
jam,2002,-92045
jam,2007,-87319
jam,2012,-56658
jam,2017,-56658
jor,1962,35715
jor,1967,255435
jor,1972,-29706
jor,1977,-80758
jor,1982,81657
jor,1987,170602
jor,1992,412472
jor,1997,-150149
jor,2002,-93910
jor,2007,649995
jor,2012,1056759
jor,2017,51099
jpn,1962,-151351
jpn,1967,822703
jpn,1972,714937
jpn,1977,205006
jpn,1982,50002
jpn,1987,-298339
jpn,1992,46286
jpn,1997,-100333
jpn,2002,164199
jpn,2007,277580
jpn,2012,358133
jpn,2017,357800
kaz,1962,694120
kaz,1967,173343
kaz,1972,-128101
kaz,1977,-435262
kaz,1982,-433268
kaz,1987,-674287
kaz,1992,-1439396
kaz,1997,-1261512
kaz,2002,44530
kaz,2007,-35196
kaz,2012,159807
kaz,2017,-90000
ken,1962,-20000
ken,1967,-19535
ken,1972,-17915
ken,1977,-2930
ken,1982,3805
ken,1987,5023
ken,1992,221569
ken,1997,-21386
ken,2002,25144
ken,2007,-189330
ken,2012,-50000
ken,2017,-50000
kgz,1962,103107
kgz,1967,104185
kgz,1972,-12065
kgz,1977,-45839
kgz,1982,-54162
kgz,1987,-126883
kgz,1992,-276249
kgz,1997,-27268
kgz,2002,-172911
kgz,2007,-76604
kgz,2012,-93353
kgz,2017,-20000
khm,1962,0
khm,1967,-248418
khm,1972,-125000
khm,1977,-84999
khm,1982,-88854
khm,1987,-78022
khm,1992,409414
khm,1997,348495
khm,2002,-35156
khm,2007,-295987
khm,2012,-149999
khm,2017,-149999
kir,1962,-786
kir,1967,-917
kir,1972,-1120
kir,1977,-2342
kir,1982,-3011
kir,1987,-664
kir,1992,-4435
kir,1997,-2801
kir,2002,-1938
kir,2007,-295
kir,2012,-4123
kir,2017,-3999
kor,1962,-69136
kor,1967,-81844
kor,1972,-209938
kor,1977,-165135
kor,1982,92892
kor,1987,170581
kor,1992,71418
kor,1997,159428
kor,2002,81223
kor,2007,-156546
kor,2012,401183
kor,2017,58657
kwt,1962,137000
kwt,1967,146600
kwt,1972,95836
kwt,1977,141100
kwt,1982,115340
kwt,1987,119768
kwt,1992,-655000
kwt,1997,242000
kwt,2002,26500
kwt,2007,479500
kwt,2012,580000
kwt,2017,197600
lao,1962,76
lao,1967,30
lao,1972,46
lao,1977,-198756
lao,1982,-35110
lao,1987,138
lao,1992,-60567
lao,1997,-134746
lao,2002,-148100
lao,2007,-110258
lao,2012,-112313
lao,2017,-73518
lbn,1962,20000
lbn,1967,-70002
lbn,1972,-10000
lbn,1977,-285201
lbn,1982,-214378
lbn,1987,-128038
lbn,1992,390001
lbn,1997,-29428
lbn,2002,550110
lbn,2007,-26882
lbn,2012,1192354
lbn,2017,-150060
lbr,1962,7996
lbr,1967,7996
lbr,1972,10996
lbr,1977,11949
lbr,1982,0
lbr,1987,-359708
lbr,1992,-290000
lbr,1997,462952
lbr,2002,-50000
lbr,2007,175585
lbr,2012,25000
lbr,2017,-25000
lby,1962,45891
lby,1967,48002
lby,1972,58665
lby,1977,57534
lby,1982,113380
lby,1987,5490
lby,1992,3965
lby,1997,-57368
lby,2002,-20569
lby,2007,-118555
lby,2012,-300002
lby,2017,-9997
lca,1962,-9187
lca,1967,-7795
lca,1972,-9703
lca,1977,-8971
lca,1982,-8009
lca,1987,-4285
lca,1992,-5031
lca,1997,-1541
lca,2002,-804
lca,2007,4360
lca,2012,0
lca,2017,0
lka,1962,-47500
lka,1967,-38500
lka,1972,-145000
lka,1977,-237500
lka,1982,-398693
lka,1987,-137440
lka,1992,-255780
lka,1997,-461684
lka,2002,-449480
lka,2007,-520065
lka,2012,-484772
lka,2017,-489932
lso,1962,-24999
lso,1967,-22399
lso,1972,-24048
lso,1977,-6538
lso,1982,-25760
lso,1987,-40195
lso,1992,-7839
lso,1997,-37212
lso,2002,-161218
lso,2007,-92476
lso,2012,-47704
lso,2017,-50234
ltu,1962,24715
ltu,1967,26314
ltu,1972,37782
ltu,1977,38815
ltu,1982,43804
ltu,1987,36863
ltu,1992,-100301
ltu,1997,-93925
ltu,2002,-99104
ltu,2007,-150930
ltu,2012,-146217
ltu,2017,-163902
lux,1962,8527
lux,1967,5918
lux,1972,15284
lux,1977,11846
lux,1982,2552
lux,1987,12831
lux,1992,20040
lux,1997,19940
lux,2002,14473
lux,2007,42279
lux,2012,48704
lux,2017,48704
lva,1962,79651
lva,1967,70780
lva,1972,54668
lva,1977,36327
lva,1982,30762
lva,1987,41910
lva,1992,-116474
lva,1997,-46601
lva,2002,-72490
lva,2007,-86594
lva,2012,-83325
lva,2017,-74186
mac,1962,19062
mac,1967,33602
mac,1972,-10972
mac,1977,-10034
mac,1982,25146
mac,1987,33466
mac,1992,21845
mac,1997,27864
mac,2002,46284
mac,2007,42381
mac,2012,42350
mac,2017,25000
mar,1962,-239800
mar,1967,-474734
mar,1972,-508947
mar,1977,-309839
mar,1982,-320659
mar,1987,-430184
mar,1992,-466627
mar,1997,-532581
mar,2002,-654821
mar,2007,-565140
mar,2012,-367108
mar,2017,-257096
mda,1962,100890
mda,1967,74449
mda,1972,55824
mda,1977,-26414
mda,1982,-9185
mda,1987,-84531
mda,1992,-131953
mda,1997,-165309
mda,2002,-12079
mda,2007,-47911
mda,2012,-7020
mda,2017,-6935
mdg,1962,0
mdg,1967,-8000
mdg,1972,-19000
mdg,1977,-30000
mdg,1982,-10000
mdg,1987,-10000
mdg,1992,-9500
mdg,1997,-8500
mdg,2002,-7500
mdg,2007,-7500
mdg,2012,-7500
mdg,2017,-7500
mdv,1962,-581
mdv,1967,-2904
mdv,1972,2415
mdv,1977,0
mdv,1982,0
mdv,1987,-2605
mdv,1992,-3072
mdv,1997,-1100
mdv,2002,17392
mdv,2007,17994
mdv,2012,58358
mdv,2017,56851
mex,1962,-409085
mex,1967,-616085
mex,1972,-920380
mex,1977,-1253817
mex,1982,-1273198
mex,1987,-1835537
mex,1992,-2018533
mex,1997,-2296470
mex,2002,-2206114
mex,2007,-562404
mex,2012,-422477
mex,2017,-300000
mkd,1962,-40940
mkd,1967,-28981
mkd,1972,-61002
mkd,1977,-14749
mkd,1982,-72752
mkd,1987,-98818
mkd,1992,-100107
mkd,1997,-4999
mkd,2002,-14572
mkd,2007,-7399
mkd,2012,-8853
mkd,2017,-4999
mli,1962,-70243
mli,1967,-98235
mli,1972,-95585
mli,1977,-174998
mli,1982,-218064
mli,1987,-493982
mli,1992,-173489
mli,1997,-141950
mli,2002,-67110
mli,2007,-100823
mli,2012,-302449
mli,2017,-200000
mlt,1962,-11710
mlt,1967,-12601
mlt,1972,-9682
mlt,1977,-4843
mlt,1982,2553
mlt,1987,1159
mlt,1992,1630
mlt,1997,6378
mlt,2002,5611
mlt,2007,5737
mlt,2012,15505
mlt,2017,4501
mmr,1962,0
mmr,1967,0
mmr,1972,0
mmr,1977,0
mmr,1982,-54656
mmr,1987,-200000
mmr,1992,-713704
mmr,1997,-537998
mmr,2002,-1208092
mmr,2007,-1336928
mmr,2012,-528211
mmr,2017,-816564
mne,1962,-2001
mne,1967,-53773
mne,1972,-2001
mne,1977,-7401
mne,1982,-2001
mne,1987,-29965
mne,1992,-20249
mne,1997,-21588
mne,2002,-7999
mne,2007,-683
mne,2012,-3112
mne,2017,-2400
mng,1962,0
mng,1967,0
mng,1972,0
mng,1977,0
mng,1982,0
mng,1987,0
mng,1992,-88432
mng,1997,-52463
mng,2002,-15001
mng,2007,-10998
mng,2012,-4262
mng,2017,-4262
moz,1962,-23500
moz,1967,-23500
moz,1972,-23500
moz,1977,87373
moz,1982,-376378
moz,1987,-1336060
moz,1992,642368
moz,1997,-50000
moz,2002,30004
moz,2007,-40000
