geo,time,se_prm_gint_fe_zs
bhr,2010,97.78295
bhr,2011,98.249
bhr,2012,95.85038
bhr,2013,95.60726
bhr,2014,97.60723
bhr,2015,100.37405
bhr,2016,101.52766
bhr,2017,96.36419
bhr,2018,89.51348
bhs,1995,99.89023
bhs,1996,104.54711
bhs,1997,89.59517
bhs,1998,96.18557
bhs,1999,109.65701
bhs,2004,96.70549
bhs,2005,98.84565
bhs,2006,100.99903
bhs,2007,100.45016
bhs,2008,98.04173
bhs,2009,96.99007
bhs,2010,85.20992
bhs,2011,91.65097
bhs,2012,85.07087
bhs,2013,83.44937
bhs,2014,85.60944
bhs,2015,88.17239
bhs,2016,84.32612
bhs,2017,94.14008
bhs,2018,83.83912
blr,1993,95.76179
blr,1994,95.93324
blr,1995,97.7948
blr,1996,98.53778
blr,1997,99.62279
blr,1998,103.35977
blr,1999,133.29026
blr,2000,102.66398
blr,2001,101.88615
blr,2002,98.55547
blr,2003,97.74611
blr,2004,96.83327
blr,2005,97.87161
blr,2006,104.28626
blr,2007,106.36315
blr,2008,107.79666
blr,2009,102.93515
blr,2010,99.66143
blr,2011,98.94859
blr,2012,97.37482
blr,2013,98.58419
blr,2014,101.64634
blr,2015,102.13659
blr,2016,105.17175
blr,2017,97.17928
blr,2018,94.20139
blz,1992,134.5467
blz,1995,144.12172
blz,1996,145.78313
blz,1999,124.93092
blz,2000,115.83578
blz,2001,99.37818
blz,2003,103.27736
blz,2004,101.09188
blz,2005,101.91501
blz,2006,112.85899
blz,2007,113.44516
blz,2008,102.19298
blz,2009,103.53822
blz,2010,104.90956
blz,2011,102.19072
blz,2012,104.53125
blz,2013,100.79323
blz,2014,103.49368
blz,2015,102.98994
blz,2016,103.99891
blz,2017,99.45931
blz,2018,97.6769
bmu,1975,73.05122
bmu,2001,104.40098
bmu,2002,99.00744
bmu,2003,106.80101
bmu,2010,100.56338
bmu,2011,101.15274
bmu,2012,99.12023
bmu,2013,97.91045
bmu,2015,65.73209
bol,1990,139.61965
bol,1991,132.24181
bol,1992,129.34801
bol,1993,132.7382
bol,1994,135.9177
bol,1995,138.74624
bol,1996,135.99426
bol,1997,136.96623
bol,1998,129.3468
bol,1999,133.23625
bol,2000,129.99317
bol,2001,128.51923
bol,2002,127.78441
bol,2003,123.64747
bol,2004,124.89855
bol,2005,125.65677
