geo,time,is_air_psgr
bgr,2004,476277
bgr,2005,653703
bgr,2006,808451
bgr,2007,855229
bgr,2008,1073496
bgr,2009,798165
bgr,2010,801840
bgr,2011,932868
bgr,2012,973062
bgr,2013,1013220
bgr,2014,1060147
bgr,2015,1063498
bgr,2016,1092333
bgr,2017,1133069
bgr,2018,1022645
bgr,2019,832828
bgr,2020,443067
bhr,1970,241000
bhr,1971,280000
bhr,1972,320000
bhr,1973,350000
bhr,1974,127500
bhr,1975,173000
bhr,1976,240100
bhr,1977,299800
bhr,1978,374500
bhr,1979,456500
bhr,1980,521500
bhr,1981,577800
bhr,1982,569800
bhr,1983,601800
bhr,1984,674200
bhr,1985,717500
bhr,1986,647400
bhr,1987,621500
bhr,1988,698400
bhr,1989,752800
bhr,1990,770900
bhr,1991,875500
bhr,1992,981100
bhr,1993,1080000
bhr,1994,1150600
bhr,1995,1072500
bhr,1996,1200300
bhr,1997,1164600
bhr,1998,1207000
bhr,1999,1307000
bhr,2000,1382461
bhr,2001,1250076
bhr,2002,1255713
bhr,2003,1850491
bhr,2004,2284547
bhr,2009,5215512
bhr,2010,6028980
bhr,2011,5590998.04061
bhr,2012,5861786.99901
bhr,2013,4626648
bhr,2014,5171496
bhr,2015,5313756
bhr,2016,5220218
bhr,2017,5190484
bhr,2018,5877003
bhr,2019,6440562
bhr,2020,1451359
bhs,1975,232000
bhs,1976,245000
bhs,1977,252000
bhs,1978,268000
bhs,1979,314000
bhs,1980,345000
bhs,1981,740000
bhs,1982,724000
bhs,1983,699000
bhs,1984,705900
bhs,1985,860500
bhs,1986,958200
bhs,1987,995000
bhs,1988,1066000
bhs,1989,1150000
bhs,1990,1090000
bhs,1991,1090000
bhs,1992,835000
bhs,1993,862000
bhs,1994,862000
bhs,1995,936900
bhs,1996,977500
bhs,1997,703700
bhs,1998,701000
bhs,1999,1719400
bhs,2000,1860623
bhs,2001,1625689
bhs,2002,1543274
bhs,2003,1601347
bhs,2004,900000
bhs,2005,1020000
bhs,2006,1033407
bhs,2007,1089636
bhs,2008,1088876
bhs,2009,979042
bhs,2010,967914
bhs,2011,1056129.59486
bhs,2012,1048391.06682
bhs,2013,576996
bhs,2014,991463.32888
bhs,2015,900028
bhs,2016,937476
bhs,2017,921470
bhs,2018,1830394.86207
bhs,2019,1856546
bhs,2020,1272798.762
bih,1998,49900
bih,1999,60100
bih,2000,69142
bih,2001,64993
bih,2002,65643
bih,2003,72864
bih,2008,56313
bih,2009,79977
bih,2010,56485.16182
bih,2011,40182.43977
bih,2012,24874.08963
bih,2013,15000
bih,2014,36636
bih,2015,7071
bih,2019,5375
bih,2020,1593
blr,1993,804900
blr,1994,804900
blr,1995,804900
blr,1996,843000
blr,1997,230900
blr,1998,225500
blr,1999,212300
blr,2000,210899
blr,2001,221714
blr,2002,204908
blr,2003,234273
blr,2004,274185
blr,2005,281877
blr,2006,307403
blr,2007,344290
blr,2008,351165
blr,2009,333252
blr,2010,652142
blr,2011,737599
blr,2012,943081
blr,2013,1159500
blr,2014,1317732
blr,2015,1489035
blr,2016,2057194
blr,2017,2493100
blr,2018,2760168
blr,2019,3208254
blr,2020,1227674
blz,2010,143928
blz,2011,179471.41354
blz,2012,448015.91403
blz,2013,513175.6
blz,2014,877765
blz,2015,935604
blz,2016,990499
blz,2017,1285642
blz,2018,1297533.22308
blz,2019,1278187.556
blz,2020,971426.138
bol,1970,244000
bol,1971,331100
bol,1972,379000
bol,1973,375700
bol,1974,475000
bol,1975,652500
bol,1976,744700
bol,1977,862300
bol,1978,1015600
bol,1979,1225500
bol,1980,1342000
bol,1981,1220300
bol,1982,1160100
bol,1983,1299000
bol,1984,1359500
bol,1985,1343300
bol,1986,1300700
bol,1987,1232600
bol,1988,1266700
bol,1989,1272600
bol,1990,1237600
bol,1991,1200000
bol,1992,1214400
bol,1993,1117000
bol,1994,1175200
bol,1995,1223700
bol,1996,1783500
bol,1997,2250800
bol,1998,2115500
bol,1999,1872600
bol,2000,1756608
bol,2001,1557128
bol,2002,1508700
bol,2003,1770774
bol,2004,1824313
bol,2005,1892343
bol,2006,1443165
bol,2007,1744663
bol,2008,1718196
bol,2009,1537032
bol,2010,1781340
bol,2011,2125912.5266
bol,2012,2206069.76067
bol,2013,2027888
bol,2014,3563043.58281
bol,2015,4115271
bol,2016,3678739
bol,2017,4053427.35
bol,2018,4122113
bol,2019,4066959
bol,2020,2627202.201
bra,1970,3339800
bra,1971,3911000
bra,1972,4671400
bra,1973,5842400
bra,1974,6855500
bra,1975,7772900
bra,1976,8799000
bra,1977,9514400
bra,1978,10621300
bra,1979,11856900
bra,1980,13008100
bra,1981,12594600
bra,1982,13168300
bra,1983,12605900
bra,1984,12948400
bra,1985,13402900
bra,1986,17194700
bra,1987,17068600
bra,1988,17010900
bra,1989,19410800
bra,1990,19149600
bra,1991,19153100
bra,1992,16388500
bra,1993,16535600
bra,1994,17898600
bra,1995,20196100
bra,1996,22011500
bra,1997,24307000
bra,1998,28091100
bra,1999,28205300
bra,2000,31287784
bra,2001,34285574
bra,2002,35889538
bra,2003,32372040
bra,2004,35263795
bra,2005,37661733
bra,2006,40945038
bra,2007,45286990
bra,2008,58763225
bra,2009,67945578
bra,2010,74627064
bra,2011,87860363
bra,2012,94752568
bra,2013,95591641
bra,2014,100403628
bra,2015,102039359
bra,2016,94142377
bra,2017,96395709
bra,2018,102109977
bra,2019,102917546
bra,2020,45405756
brb,1971,11500
brb,1972,19700
brb,1973,23700
brb,1974,25600
brb,1975,32600
brb,1976,33700
brb,1977,42300
brb,1978,50200
brb,1979,53900
brb,1980,45500
brb,1981,60800
brb,1982,43800
brb,1983,34500
brb,1984,55000
brb,1985,32400
brb,1986,52400
brb,1987,17000
brb,1988,0
brb,1989,0
brb,1990,0
brb,1991,0
brn,1984,184400
brn,1985,198900
brn,1986,206600
brn,1987,247000
brn,1988,279000
brn,1989,300000
brn,1990,307000
brn,1991,307000
brn,1992,410000
brn,1993,604100
brn,1994,769400
brn,1995,916200
brn,1996,856900
brn,1997,876800
brn,1998,876800
brn,1999,808000
brn,2000,863547
brn,2001,1007542
brn,2002,1035795
brn,2003,956133
brn,2004,1079578
brn,2005,977516
brn,2006,1041478
brn,2007,1017028
brn,2008,1075754
brn,2009,999375
brn,2010,1263270
brn,2011,1312935
brn,2012,1044170
brn,2013,1139784
brn,2014,1061148
brn,2015,1150003
brn,2016,1168609
brn,2017,1172201
brn,2018,1234455
brn,2019,1421313
brn,2020,280622
btn,1988,8000
btn,1989,8000
btn,1990,8000
btn,1991,8000
btn,1992,8700
btn,1993,8700
btn,1994,8700
btn,1995,29700
btn,1996,35000
btn,1997,36100
btn,1998,36100
btn,1999,30700
btn,2000,34425
btn,2001,35114
