geo,time,sh_sta_owgh_ma_zs
usa,2010,11
usa,2012,5.7
usa,2014,7.8
usa,2016,10.6
usa,2018,12.8
uzb,2002,11.5
uzb,2006,12.6
uzb,2017,5.4
vnm,1993,3.3
vnm,1999,2
vnm,2000,2.5
vnm,2002,2.8
vnm,2003,2.4
vnm,2004,3
vnm,2005,2.9
vnm,2006,3.5
vnm,2007,3.2
vnm,2008,3.4
vnm,2010,5.5
vut,2008,5.4
vut,2013,5.2
wsm,2014,6.2
wsm,2019,9
yem,1991,4.8
yem,1997,3.7
yem,2003,4.7
yem,2005,5.7
yem,2011,1.4
yem,2013,2.4
zaf,2008,14.5
zaf,2015,15.6
zaf,2016,15.5
zaf,2017,11.6
zmb,1992,5.2
zmb,1996,6.4
zmb,1999,13.3
zmb,2002,6.4
zmb,2007,8.6
zmb,2013,6.6
zmb,2018,5.4
zwe,1988,6.8
zwe,1999,10.8
zwe,2005,9.4
zwe,2009,4.3
zwe,2010,6.7
zwe,2014,3.6
zwe,2015,6.2
zwe,2019,2.9
