geo,time,en_atm_ghgt_kt_ce
bgr,1998,65260
bgr,1999,58330
bgr,2000,57700
bgr,2001,60160
bgr,2002,57510
bgr,2003,62300
bgr,2004,60990
bgr,2005,60950
bgr,2006,61030
bgr,2007,65210
bgr,2008,62760
bgr,2009,55350
bgr,2010,57040
bgr,2011,62840
bgr,2012,57150
bgr,2013,52060
bgr,2014,54660
bgr,2015,57310
bgr,2016,54270
bgr,2017,56450
bgr,2018,53330
bhr,1990,14060
bhr,1991,13760
bhr,1992,15780
bhr,1993,16680
bhr,1994,17130
bhr,1995,17960
bhr,1996,19340
bhr,1997,20330
bhr,1998,22170
bhr,1999,22860
bhr,2000,24030
bhr,2001,24850
bhr,2002,26020
bhr,2003,27070
bhr,2004,27370
bhr,2005,30460
bhr,2006,32890
bhr,2007,34030
bhr,2008,36430
bhr,2009,37020
bhr,2010,38920
bhr,2011,39660
bhr,2012,40880
bhr,2013,43760
bhr,2014,45900
bhr,2015,46950
bhr,2016,47160
bhr,2017,47940
bhr,2018,48950
bhs,1990,1990
bhs,1991,2090
bhs,1992,2750
bhs,1993,2320
bhs,1994,2260
bhs,1995,2310
bhs,1996,2210
bhs,1997,2010
bhs,1998,2520
bhs,1999,2480
bhs,2000,2390
bhs,2001,2390
bhs,2002,2540
bhs,2003,2520
bhs,2004,2470
bhs,2005,2320
bhs,2006,2320
bhs,2007,2380
bhs,2008,2440
bhs,2009,6350
bhs,2010,2410
bhs,2011,2770
bhs,2012,3990
bhs,2013,3480
bhs,2014,2980
bhs,2015,2740
bhs,2016,2570
bhs,2017,2540
bhs,2018,2640
bih,1990,30140
bih,1991,27600
bih,1992,20070
bih,1993,16620
bih,1994,6300
bih,1995,6210
bih,1996,7300
bih,1997,12210
bih,1998,14990
bih,1999,15020
bih,2000,18670
bih,2001,18450
bih,2002,18590
bih,2003,19070
bih,2004,20140
bih,2005,20820
bih,2006,22680
bih,2007,23820
bih,2008,25710
bih,2009,25950
bih,2010,25960
bih,2011,29040
bih,2012,27260
bih,2013,27050
bih,2014,24470
bih,2015,24640
bih,2016,27200
bih,2017,27460
bih,2018,27190
blr,1990,137460
blr,1991,132400
blr,1992,118440
blr,1993,105660
blr,1994,92630
blr,1995,84520
blr,1996,85230
blr,1997,85610
blr,1998,83650
blr,1999,81180
blr,2000,78600
blr,2001,77740
blr,2002,76510
blr,2003,77620
blr,2004,81500
blr,2005,82280
blr,2006,85450
blr,2007,84270
blr,2008,88530
blr,2009,85720
blr,2010,90310
blr,2011,87380
blr,2012,88970
blr,2013,89610
blr,2014,88890
blr,2015,84480
blr,2016,83590
blr,2017,85200
blr,2018,88140
blz,1990,6560
blz,1991,6780
blz,1992,7000
blz,1993,7060
blz,1994,7170
blz,1995,6090
blz,1996,4920
blz,1997,3970
blz,1998,2920
blz,1999,1830
blz,2000,800
blz,2001,900
blz,2002,990
blz,2003,1060
blz,2004,870
blz,2005,930
blz,2006,1020
blz,2007,1110
blz,2008,1120
blz,2009,2170
blz,2010,1300
blz,2011,1420
blz,2012,1450
blz,2013,1360
blz,2014,1310
blz,2015,1480
blz,2016,1510
blz,2017,1530
blz,2018,1560
bol,1990,23230
bol,1991,24030
bol,1992,25850
bol,1993,27620
bol,1994,29690
bol,1995,29270
bol,1996,28760
bol,1997,29350
bol,1998,30420
bol,1999,30620
bol,2000,30520
bol,2001,30430
bol,2002,33160
bol,2003,33940
bol,2004,36410
bol,2005,38560
bol,2006,39230
bol,2007,40330
bol,2008,41580
bol,2009,42910
bol,2010,47730
bol,2011,47800
bol,2012,49130
bol,2013,50910
bol,2014,51870
bol,2015,53400
bol,2016,55780
bol,2017,56300
bol,2018,56870
bra,1990,593950
bra,1991,621220
bra,1992,631150
bra,1993,641360
bra,1994,657690
bra,1995,677740
bra,1996,685170
bra,1997,713090
bra,1998,736040
bra,1999,752070
bra,2000,765600
bra,2001,796350
bra,2002,823220
bra,2003,837390
bra,2004,883460
bra,2005,888930
bra,2006,886910
bra,2007,911240
bra,2008,924380
bra,2009,905490
bra,2010,986440
bra,2011,1004840
bra,2012,1042040
bra,2013,1070850
bra,2014,1105900
bra,2015,1082700
bra,2016,1051690
bra,2017,1064920
bra,2018,1032640
brb,1990,3120
brb,1991,3150
brb,1992,3390
brb,1993,3240
brb,1994,3320
brb,1995,3370
brb,1996,3380
brb,1997,3490
brb,1998,3610
brb,1999,3650
brb,2000,3600
brb,2001,3670
brb,2002,3720
brb,2003,3730
brb,2004,3730
brb,2005,3770
brb,2006,3830
brb,2007,3850
brb,2008,4170
brb,2009,7010
brb,2010,4000
brb,2011,4090
brb,2012,4660
brb,2013,3940
brb,2014,3760
brb,2015,3770
brb,2016,3820
brb,2017,3720
brb,2018,3790
brn,1990,13880
brn,1991,13490
brn,1992,13830
brn,1993,14240
brn,1994,14650
brn,1995,15160
brn,1996,15690
brn,1997,16400
brn,1998,15950
brn,1999,16160
brn,2000,16720
brn,2001,16700
brn,2002,16830
brn,2003,17820
brn,2004,17580
brn,2005,17560
brn,2006,19480
brn,2007,18640
brn,2008,18530
brn,2009,18270
brn,2010,17220
brn,2011,17270
brn,2012,17310
brn,2013,17110
brn,2014,16960
brn,2015,15880
brn,2016,16180
brn,2017,16330
brn,2018,16620
btn,1990,1130
btn,1991,1180
btn,1992,1170
btn,1993,1140
btn,1994,1170
btn,1995,1270
btn,1996,1300
btn,1997,1390
btn,1998,1390
btn,1999,1430
btn,2000,1410
btn,2001,1350
btn,2002,1390
btn,2003,1360
btn,2004,1320
btn,2005,1510
btn,2006,1490
btn,2007,1510
btn,2008,1440
btn,2009,1470
btn,2010,1570
btn,2011,1780
btn,2012,1870
btn,2013,1970
btn,2014,2030
btn,2015,2040
btn,2016,2310
btn,2017,2420
btn,2018,2470
bwa,1990,13660
bwa,1991,13100
bwa,1992,13360
bwa,1993,13050
bwa,1994,13320
bwa,1995,14260
bwa,1996,15490
bwa,1997,15170
bwa,1998,14900
bwa,1999,15010
bwa,2000,14920
bwa,2001,16780
bwa,2002,17120
bwa,2003,9990
bwa,2004,10590
bwa,2005,11990
bwa,2006,13860
bwa,2007,12160
bwa,2008,20940
bwa,2009,11830
bwa,2010,22420
bwa,2011,27490
bwa,2012,16490
bwa,2013,15950
bwa,2014,14760
bwa,2015,14400
bwa,2016,13580
bwa,2017,17460
bwa,2018,16120
caf,1990,34730
caf,1991,35480
caf,1992,35970
caf,1993,36450
caf,1994,39390
caf,1995,39960
caf,1996,42360
caf,1997,42920
caf,1998,45340
caf,1999,43390
caf,2000,46740
caf,2001,42640
caf,2002,40130
caf,2003,44980
caf,2004,42100
caf,2005,42870
caf,2006,43570
caf,2007,44490
caf,2008,46240
caf,2009,42260
caf,2010,44960
caf,2011,48060
caf,2012,46980
caf,2013,50040
caf,2014,51370
caf,2015,53480
caf,2016,55820
caf,2017,54780
caf,2018,55680
can,1990,559840
can,1991,555770
can,1992,571700
can,1993,569720
can,1994,590300
can,1995,605760
can,1996,626130
can,1997,641550
can,1998,650070
can,1999,653800
can,2000,671760
can,2001,660900
can,2002,679480
can,2003,698410
can,2004,693310
can,2005,705080
can,2006,691000
can,2007,722540
can,2008,698190
can,2009,661010
can,2010,674200
can,2011,689760
can,2012,694210
can,2013,705420
can,2014,712310
can,2015,707930
can,2016,695200
can,2017,709370
can,2018,724930
che,1990,52650
che,1991,54850
che,1992,54770
che,1993,52300
che,1994,51430
che,1995,52360
che,1996,52950
che,1997,51500
che,1998,53040
che,1999,53160
che,2000,52360
che,2001,53960
che,2002,52310
che,2003,53500
che,2004,53950
che,2005,54650
che,2006,54350
che,2007,52410
che,2008,54010
che,2009,52530
che,2010,54100
che,2011,50020
che,2012,51250
che,2013,52270
che,2014,48470
che,2015,47710
che,2016,48190
che,2017,47200
che,2018,46020
chl,1990,47520
chl,1991,46790
chl,1992,49130
chl,1993,50490
chl,1994,54020
chl,1995,57480
chl,1996,63880
chl,1997,71060
chl,1998,72330
chl,1999,75120
chl,2000,71480
chl,2001,69330
chl,2002,70050
chl,2003,70920
chl,2004,76250
chl,2005,76810
chl,2006,78180
chl,2007,86380
chl,2008,90920
chl,2009,88350
chl,2010,93170
chl,2011,99620
chl,2012,101900
chl,2013,104980
chl,2014,98660
chl,2015,104020
chl,2016,108150
chl,2017,109350
chl,2018,109590
chn,1990,3222270
chn,1991,3371940
chn,1992,3503100
chn,1993,3726350
chn,1994,3877370
chn,1995,4266840
chn,1996,4302870
chn,1997,4311650
chn,1998,4451040
chn,1999,4401290
chn,2000,4597430
chn,2001,4791440
chn,2002,5100860
chn,2003,5717660
chn,2004,6467060
chn,2005,7194480
chn,2006,7879330
chn,2007,8497040
chn,2008,8786120
chn,2009,9377660
chn,2010,10203820
chn,2011,11074550
chn,2012,11399830
chn,2013,11854530
chn,2014,11865310
chn,2015,11859290
chn,2016,11857180
chn,2017,12058050
chn,2018,12355240
civ,1990,9250
civ,1991,14980
civ,1992,20570
civ,1993,26260
civ,1994,32090
civ,1995,31860
civ,1996,31580
civ,1997,32220
civ,1998,31810
civ,1999,33080
civ,2000,32420
civ,2001,31480
civ,2002,30860
civ,2003,28080
civ,2004,25700
civ,2005,26210
civ,2006,24390
civ,2007,23190
civ,2008,22260
civ,2009,20370
civ,2010,19320
civ,2011,18210
civ,2012,19130
civ,2013,20460
civ,2014,20410
civ,2015,21460
civ,2016,22730
civ,2017,23120
civ,2018,22900
cmr,1990,17840
cmr,1991,17530
cmr,1992,17480
cmr,1993,21650
cmr,1994,78090
cmr,1995,78130
cmr,1996,77880
cmr,1997,78810
cmr,1998,80340
cmr,1999,80590
cmr,2000,82580
cmr,2001,81440
cmr,2002,81280
cmr,2003,82630
cmr,2004,81690
cmr,2005,83410
cmr,2006,82990
cmr,2007,84280
cmr,2008,83940
cmr,2009,84420
cmr,2010,85500
cmr,2011,84750
cmr,2012,84450
cmr,2013,85650
cmr,2014,86320
cmr,2015,87300
cmr,2016,88300
cmr,2017,88320
cmr,2018,89050
cod,1990,42210
cod,1991,41100
cod,1992,41500
cod,1993,41870
cod,1994,42200
cod,1995,42190
cod,1996,37000
cod,1997,36570
cod,1998,37620
cod,1999,35870
cod,2000,35580
cod,2001,37320
cod,2002,42720
cod,2003,45610
cod,2004,47790
cod,2005,47910
cod,2006,49100
cod,2007,46510
cod,2008,48790
cod,2009,49250
cod,2010,51030
cod,2011,51120
cod,2012,52160
cod,2013,55970
cod,2014,57680
cod,2015,57980
cod,2016,57640
cod,2017,59660
cod,2018,58700
cog,1990,4110
cog,1991,6330
cog,1992,6250
cog,1993,6210
cog,1994,5990
cog,1995,6170
cog,1996,4860
cog,1997,5500
cog,1998,5480
cog,1999,5250
cog,2000,5010
cog,2001,5290
cog,2002,5640
cog,2003,6670
cog,2004,6780
cog,2005,9240
cog,2006,9590
cog,2007,9650
cog,2008,10090
cog,2009,10120
cog,2010,10250
cog,2011,10290
cog,2012,10140
cog,2013,9630
cog,2014,9370
cog,2015,9200
cog,2016,9250
cog,2017,9180
cog,2018,9370
col,1990,124290
col,1991,126050
col,1992,129720
col,1993,133730
col,1994,135820
col,1995,138850
col,1996,139460
col,1997,144130
col,1998,145830
col,1999,135760
col,2000,139710
col,2001,142190
col,2002,141230
col,2003,143240
col,2004,145070
col,2005,147790
col,2006,149020
col,2007,154390
col,2008,155750
col,2009,159900
col,2010,164350
col,2011,166910
col,2012,165340
col,2013,172010
col,2014,175230
col,2015,176980
col,2016,180940
col,2017,177470
col,2018,184100
com,1990,270
com,1991,270
com,1992,280
com,1993,290
com,1994,290
com,1995,300
com,1996,300
com,1997,310
com,1998,330
com,1999,340
com,2000,320
com,2001,340
com,2002,350
com,2003,370
com,2004,390
com,2005,380
com,2006,410
com,2007,360
com,2008,380
com,2009,400
com,2010,440
com,2011,450
com,2012,460
com,2013,490
com,2014,490
com,2015,510
com,2016,540
com,2017,580
com,2018,590
cpv,1990,240
cpv,1991,250
cpv,1992,290
cpv,1993,290
cpv,1994,280
cpv,1995,310
cpv,1996,300
cpv,1997,310
cpv,1998,340
cpv,1999,380
cpv,2000,400
cpv,2001,430
cpv,2002,470
cpv,2003,500
cpv,2004,540
cpv,2005,640
cpv,2006,700
cpv,2007,660
cpv,2008,680
cpv,2009,730
cpv,2010,770
cpv,2011,760
cpv,2012,730
cpv,2013,720
cpv,2014,710
cpv,2015,720
cpv,2016,770
cpv,2017,800
cpv,2018,830
cri,1990,8850
cri,1991,9120
cri,1992,10220
cri,1993,10290
cri,1994,10670
cri,1995,10240
cri,1996,10200
cri,1997,10290
cri,1998,11010
cri,1999,10840
cri,2000,10700
cri,2001,11020
cri,2002,11060
cri,2003,11430
cri,2004,11430
cri,2005,11960
cri,2006,12280
cri,2007,13660
cri,2008,13860
cri,2009,13450
cri,2010,13560
cri,2011,14270
cri,2012,14230
cri,2013,14720
cri,2014,14770
cri,2015,14630
cri,2016,15540
cri,2017,15710
cri,2018,15810
cub,1990,54480
cub,1991,45610
cub,1992,39680
cub,1993,35890
cub,1994,37220
cub,1995,38980
cub,1996,42070
cub,1997,44520
cub,1998,43950
cub,1999,44280
cub,2000,44590
cub,2001,43620
cub,2002,42270
cub,2003,41550
cub,2004,41060
cub,2005,41230
cub,2006,42150
cub,2007,43220
cub,2008,42680
cub,2009,44020
cub,2010,47120
cub,2011,45950
cub,2012,46190
cub,2013,44850
cub,2014,44520
cub,2015,44560
cub,2016,45650
cub,2017,42480
cub,2018,41860
cyp,1990,5410
cyp,1991,5940
cyp,1992,6360
cyp,1993,6630
cyp,1994,6880
cyp,1995,6770
cyp,1996,7150
cyp,1997,7230
cyp,1998,7560
cyp,1999,7840
cyp,2000,8100
cyp,2001,8020
cyp,2002,8250
cyp,2003,8920
cyp,2004,8860
cyp,2005,9000
cyp,2006,9110
cyp,2007,9430
cyp,2008,9620
cyp,2009,9440
cyp,2010,9130
cyp,2011,8880
cyp,2012,8370
cyp,2013,7700
cyp,2014,8080
cyp,2015,8140
cyp,2016,8540
cyp,2017,8680
cyp,2018,8600
cze,1990,182340
cze,1991,165610
cze,1992,161160
cze,1993,156440
cze,1994,149150
cze,1995,149130
cze,1996,150740
cze,1997,148230
cze,1998,141600
cze,1999,133490
cze,2000,144130
cze,2001,143850
cze,2002,138240
cze,2003,142580
cze,2004,143130
cze,2005,140060
cze,2006,141040
cze,2007,144010
cze,2008,138950
cze,2009,131310
cze,2010,134400
cze,2011,131780
cze,2012,128370
cze,2013,123090
cze,2014,120360
cze,2015,122290
cze,2016,124090
cze,2017,124120
cze,2018,122840
deu,1990,1160210
deu,1991,1130620
deu,1992,1082930
deu,1993,1075230
deu,1994,1062350
deu,1995,1055730
deu,1996,1083880
deu,1997,1045890
deu,1998,1019610
deu,1999,985180
deu,2000,975830
deu,2001,991320
deu,2002,972930
deu,2003,971900
deu,2004,952110
deu,2005,927710
deu,2006,934200
deu,2007,905130
deu,2008,907800
deu,2009,850640
deu,2010,881300
deu,2011,852550
deu,2012,866670
deu,2013,883920
deu,2014,843660
deu,2015,847460
deu,2016,850170
deu,2017,832650
deu,2018,806090
dji,1990,990
dji,1991,1010
dji,1992,1020
dji,1993,1040
dji,1994,1050
dji,1995,1100
dji,1996,1150
dji,1997,1180
dji,1998,1190
dji,1999,1230
dji,2000,1270
dji,2001,1280
dji,2002,1310
dji,2003,1330
dji,2004,1320
dji,2005,1360
dji,2006,1360
dji,2007,1400
dji,2008,1410
dji,2009,1400
dji,2010,1460
dji,2011,1420
dji,2012,1460
dji,2013,1520
dji,2014,1430
dji,2015,1520
dji,2016,1470
dji,2017,1460
dji,2018,1480
dma,1990,190
dma,1991,190
dma,1992,210
dma,1993,200
dma,1994,210
dma,1995,210
dma,1996,180
dma,1997,200
dma,1998,190
dma,1999,190
dma,2000,200
dma,2001,220
dma,2002,190
dma,2003,200
dma,2004,220
dma,2005,230
dma,2006,240
dma,2007,250
dma,2008,250
dma,2009,570
dma,2010,250
dma,2011,240
dma,2012,320
dma,2013,240
dma,2014,250
dma,2015,250
dma,2016,250
dma,2017,230
dma,2018,240
dnk,1990,68170
dnk,1991,78790
dnk,1992,72590
dnk,1993,75160
dnk,1994,78860
dnk,1995,75770
dnk,1996,89240
dnk,1997,79570
dnk,1998,75510
dnk,1999,72670
dnk,2000,68470
dnk,2001,69710
dnk,2002,69450
dnk,2003,74880
dnk,2004,68560
dnk,2005,64700
dnk,2006,72470
dnk,2007,67670
dnk,2008,64190
dnk,2009,61370
dnk,2010,61800
dnk,2011,56460
dnk,2012,51390
dnk,2013,52940
dnk,2014,48690
dnk,2015,46610
dnk,2016,48330
dnk,2017,46160
dnk,2018,45870
dom,1990,15900
dom,1991,17050
dom,1992,18560
dom,1993,19090
dom,1994,21090
dom,1995,21600
dom,1996,22520
dom,1997,24180
dom,1998,26090
dom,1999,26740
dom,2000,27500
dom,2001,28290
dom,2002,30690
dom,2003,28360
dom,2004,27620
dom,2005,28850
dom,2006,30820
dom,2007,32010
dom,2008,32190
dom,2009,31690
dom,2010,33030
dom,2011,33390
dom,2012,34160
dom,2013,33930
dom,2014,34170
dom,2015,36520
dom,2016,37790
dom,2017,37010
dom,2018,39060
dza,1990,95010
dza,1991,93880
dza,1992,93500
dza,1993,101040
dza,1994,98790
dza,1995,103000
dza,1996,104320
dza,1997,108440
dza,1998,113770
dza,1999,119750
dza,2000,126380
dza,2001,124710
dza,2002,131940
dza,2003,137710
dza,2004,141580
dza,2005,147030
dza,2006,152530
dza,2007,159650
dza,2008,162970
dza,2009,172870
dza,2010,174020
dza,2011,179950
dza,2012,189820
dza,2013,194000
dza,2014,204130
dza,2015,212080
dza,2016,209790
dza,2017,211850
dza,2018,218910
ecu,1990,33820
ecu,1991,34670
ecu,1992,36930
ecu,1993,36690
ecu,1994,38300
ecu,1995,41420
ecu,1996,44800
ecu,1997,46850
ecu,1998,45770
ecu,1999,43140
ecu,2000,42360
ecu,2001,46750
ecu,2002,47130
ecu,2003,47710
ecu,2004,50290
ecu,2005,51790
ecu,2006,54280
ecu,2007,54400
ecu,2008,55700
ecu,2009,59010
ecu,2010,61800
ecu,2011,62780
ecu,2012,63970
ecu,2013,66980
ecu,2014,67820
ecu,2015,66420
ecu,2016,65010
ecu,2017,64060
ecu,2018,65680
egy,1990,129840
egy,1991,135480
egy,1992,140590
egy,1993,142860
egy,1994,138540
egy,1995,147520
egy,1996,154940
egy,1997,164360
egy,1998,171180
egy,1999,180010
egy,2000,181320
egy,2001,193700
egy,2002,198580
egy,2003,202880
egy,2004,216080
egy,2005,234070
egy,2006,244690
egy,2007,259780
egy,2008,268900
egy,2009,274960
egy,2010,276450
egy,2011,283190
egy,2012,293980
egy,2013,291230
egy,2014,297280
egy,2015,306350
egy,2016,315780
egy,2017,320370
egy,2018,329220
eri,1990,3690
eri,1991,4220
eri,1992,5260
eri,1993,5360
eri,1994,6060
eri,1995,6670
eri,1996,7180
eri,1997,7650
eri,1998,7660
eri,1999,7800
eri,2000,7870
eri,2001,7450
eri,2002,7240
eri,2003,7240
eri,2004,7160
eri,2005,7020
eri,2006,6880
eri,2007,7310
eri,2008,7350
eri,2009,7490
eri,2010,7500
eri,2011,7620
eri,2012,7530
eri,2013,7420
eri,2014,7300
eri,2015,7140
eri,2016,7250
eri,2017,7340
eri,2018,7480
esp,1990,275270
esp,1991,281450
esp,1992,291280
esp,1993,276490
esp,1994,289430
