geo,time,dt_nfl_nifc_cd
lbr,2017,-937500
lbr,2018,1250000
lbr,2019,-5750000
lbr,2020,-187500
lca,1981,0
lca,1982,0
lca,1983,0
lca,1984,0
lca,1985,0
lca,1986,0
lca,1987,0
lca,1988,0
lca,1989,0
lca,1990,0
lca,1991,0
lca,1992,0
lca,1993,0
lca,1994,0
lca,1995,0
lca,1996,0
lca,1997,0
lca,1998,0
lca,1999,0
lca,2000,0
lca,2001,0
lca,2002,0
lca,2003,0
lca,2004,0
lca,2005,0
lca,2006,0
lca,2007,0
lca,2008,15000000
lca,2009,0
lca,2010,-15000000
lca,2011,0
lca,2012,0
lca,2013,0
lca,2014,0
lca,2015,0
lca,2016,0
lca,2017,0
lca,2018,0
lca,2019,0
lca,2020,0
lka,1970,0
lka,1971,0
lka,1972,0
lka,1973,0
lka,1974,0
lka,1975,0
lka,1976,0
lka,1977,0
lka,1978,0
lka,1979,0
lka,1980,0
lka,1981,0
lka,1982,0
lka,1983,0
lka,1984,0
lka,1985,0
lka,1986,0
lka,1987,0
lka,1988,0
lka,1989,0
lka,1990,0
lka,1991,0
lka,1992,0
lka,1993,0
lka,1994,0
lka,1995,0
lka,1996,0
lka,1997,0
lka,1998,0
lka,1999,0
lka,2000,0
lka,2001,5162900
lka,2002,4604600
lka,2003,-5770200
lka,2004,-4927900
lka,2005,6790865.38
lka,2006,-6115384.52
lka,2007,6317040.34
lka,2008,96384615.38
lka,2009,-58615384.84
lka,2010,-10000000.5
lka,2011,9999999.5
lka,2012,54999999.5
lka,2013,21647058
lka,2014,15697058
lka,2015,-42694119
lka,2016,-15553842
lka,2017,108292308
lka,2018,36638890
lka,2019,-34799889
lka,2020,120397587
lso,1970,0
lso,1971,0
lso,1972,0
lso,1973,0
lso,1974,0
lso,1975,0
lso,1976,0
lso,1977,0
lso,1978,0
lso,1979,0
lso,1980,0
lso,1981,0
lso,1982,0
lso,1983,0
lso,1984,0
lso,1985,0
lso,1986,0
lso,1987,0
lso,1988,0
lso,1989,0
lso,1990,0
lso,1991,0
lso,1992,0
lso,1993,0
lso,1994,0
lso,1995,0
lso,1996,0
lso,1997,0
lso,1998,0
lso,1999,0
lso,2000,0
lso,2001,0
lso,2002,0
lso,2003,0
lso,2004,0
lso,2005,0
lso,2006,0
lso,2007,0
lso,2008,0
lso,2009,0
lso,2010,0
lso,2011,0
lso,2012,0
lso,2013,0
lso,2014,0
lso,2015,0
lso,2016,0
lso,2017,0
lso,2018,0
lso,2019,0
lso,2020,0
mar,1970,0
mar,1971,0
mar,1972,0
mar,1973,0
mar,1974,0
mar,1975,0
mar,1976,0
mar,1977,0
mar,1978,0
mar,1979,0
mar,1980,0
mar,1981,0
mar,1982,0
mar,1983,0
mar,1984,0
mar,1985,0
mar,1986,0
mar,1987,0
mar,1988,0
mar,1989,0
mar,1990,0
mar,1991,0
mar,1992,0
mar,1993,0
mar,1994,0
mar,1995,0
mar,1996,0
mar,1997,0
mar,1998,0
mar,1999,0
mar,2000,0
mar,2001,-6072900
mar,2002,-5973800
mar,2003,-3982500
mar,2004,0
mar,2005,-3982500
mar,2006,-52436250
mar,2007,0
mar,2008,0
mar,2009,7580117.5
mar,2010,-4084681.49
mar,2011,-3038066.64
mar,2012,0
mar,2013,0
mar,2014,20000000
mar,2015,-3076924
mar,2016,-3076924
mar,2017,103135076
mar,2018,-14623174
mar,2019,-7194111
mar,2020,-16656784
mda,1992,0
mda,1993,0
mda,1994,0
mda,1995,0
mda,1996,0
mda,1997,0
mda,1998,0
mda,1999,0
mda,2000,0
mda,2001,5099000
mda,2002,13691000
mda,2003,-1385400
mda,2004,12118900
mda,2005,-7394285.7
mda,2006,-5744622.28
mda,2007,-6419642.34
mda,2008,-7107736.25
mda,2009,-1374462.82
mda,2010,3642858.56
mda,2011,42482678.9
mda,2012,19151645.46
mda,2013,-6597392
mda,2014,12251658
mda,2015,-35597149
mda,2016,-5779482
mda,2017,-19293477
mda,2018,-16752835
mda,2019,-13128788
mda,2020,-625000
mdg,1970,0
mdg,1971,0
mdg,1972,0
mdg,1973,0
mdg,1974,0
mdg,1975,0
mdg,1976,0
mdg,1977,0
mdg,1978,0
mdg,1979,0
mdg,1980,0
mdg,1981,0
mdg,1982,0
mdg,1983,0
mdg,1984,0
mdg,1985,0
mdg,1986,0
mdg,1987,0
mdg,1988,0
mdg,1989,0
mdg,1990,0
mdg,1991,0
mdg,1992,0
mdg,1993,0
mdg,1994,0
mdg,1995,0
mdg,1996,0
mdg,1997,0
mdg,1998,0
mdg,1999,0
mdg,2000,0
mdg,2001,-693000
mdg,2002,-320400
mdg,2003,-336900
mdg,2004,1072400
mdg,2005,-156969.58
mdg,2006,-1651942.35
mdg,2007,988423.53
mdg,2008,-175295.39
mdg,2009,4068904.52
mdg,2010,-3232811.33
mdg,2011,-3230000
mdg,2012,-3230000
mdg,2013,-6460000
mdg,2014,0
mdg,2015,0
mdg,2016,750000
mdg,2017,16064062
mdg,2018,7555445
mdg,2019,3562852
mdg,2020,7937312
mdv,1978,0
mdv,1979,0
mdv,1980,0
mdv,1981,0
mdv,1982,0
mdv,1983,0
mdv,1984,0
mdv,1985,0
mdv,1986,0
mdv,1987,0
mdv,1988,0
mdv,1989,0
mdv,1990,0
mdv,1991,0
mdv,1992,0
mdv,1993,0
mdv,1994,0
mdv,1995,0
mdv,1996,0
mdv,1997,0
mdv,1998,0
mdv,1999,0
mdv,2000,0
mdv,2001,-1200000
mdv,2002,-1200000
mdv,2003,11400000
mdv,2004,3000000
mdv,2005,45029761.91
mdv,2006,3452380.96
mdv,2007,-6047619.04
mdv,2008,-10769841.24
mdv,2009,42007936.56
mdv,2010,-8492063.44
mdv,2011,-15225396.86
mdv,2012,-21932936.63
mdv,2013,-16577778
mdv,2014,-11577778
mdv,2015,-11577778
mdv,2016,-3288889
mdv,2017,0
mdv,2018,0
mdv,2019,0
mdv,2020,20000000
mex,1970,0
mex,1971,0
mex,1972,0
mex,1973,0
mex,1974,0
mex,1975,0
mex,1976,0
mex,1977,0
mex,1978,0
mex,1979,0
mex,1980,0
mex,1981,0
mex,1982,0
mex,1983,0
mex,1984,0
mex,1985,0
mex,1986,0
mex,1987,0
mex,1988,0
mex,1989,0
mex,1990,0
mex,1991,0
mex,1992,0
mex,1993,0
mex,1994,0
mex,1995,0
mex,1996,0
mex,1997,0
mex,1998,0
mex,1999,0
mex,2000,0
mex,2001,-19176800
mex,2002,-42756100
