geo,time,ic_frm_corr_zs
svk,2005,34.3
svk,2009,15.7
svk,2013,18.7
svk,2019,25.3
svn,2002,15
svn,2005,12.2
svn,2009,5.8
svn,2013,13.2
svn,2019,4.4
swe,2020,0
swz,2006,40.6
swz,2016,17
syr,2009,83.8
tcd,2009,41.8
tcd,2018,38
tgo,2009,16.7
tgo,2016,6.2
tha,2016,17.6
tjk,2002,68.5
tjk,2003,55.3
tjk,2005,51.1
tjk,2008,44.6
tjk,2013,36.9
tjk,2019,11.7
tls,2009,19.3
tls,2015,85.6
ton,2009,12.7
tto,2010,13.4
tun,2013,5.7
tun,2020,2.8
tur,2002,66.3
tur,2004,44.5
tur,2005,20.3
tur,2008,18
tur,2013,5.8
tur,2019,0.7
tza,2006,49.5
tza,2013,20
uga,2006,51.7
uga,2013,27.8
ukr,2002,55.7
ukr,2005,49.8
ukr,2008,31.8
ukr,2013,82
ukr,2019,24.3
ury,2006,9.4
ury,2010,8.1
ury,2017,2
uzb,2002,48
uzb,2003,52.4
uzb,2005,37.6
uzb,2008,59.5
uzb,2013,4.1
uzb,2019,7.3
vct,2010,2.8
ven,2010,23.7
vnm,2009,52.5
vnm,2015,90.7
vut,2009,4.2
wsm,2009,29.3
yem,2010,68.2
yem,2013,55
zaf,2007,15.1
zaf,2020,1.5
zmb,2007,14.3
zmb,2013,11.1
zmb,2019,83
zwe,2011,7.2
zwe,2016,14.4
