geo,time,sl_emp_1524_sp_ma_ne_zs
cze,2018,32.17
cze,2019,31.58
cze,2020,30.49
deu,1983,48.24
deu,1984,54.22
deu,1985,55.3
deu,1986,57.61
deu,1987,57.44
deu,1988,59.18
deu,1989,58.11
deu,1990,59.73
deu,1991,59.08
deu,1992,56.87
deu,1993,53.92
deu,1994,51.51
deu,1995,49.82
deu,1996,47.98
deu,1997,46.8
deu,1998,47.72
deu,1999,48.61
deu,2000,48.57
deu,2001,48.61
deu,2002,46.9
deu,2003,45.04
deu,2004,42.71
deu,2005,43.63
deu,2006,45.29
deu,2007,47.18
deu,2008,48.67
deu,2009,47.49
deu,2010,47.94
deu,2011,49.74
deu,2012,48.61
deu,2013,48.41
deu,2014,47.69
deu,2015,46.48
deu,2016,46.91
deu,2017,47.38
deu,2018,48.78
deu,2019,50.64
deu,2020,49.28
dji,2017,5.01
dnk,1983,55.94
dnk,1984,67.24
dnk,1985,70.86
dnk,1986,73.04
dnk,1987,70.23
dnk,1988,72.16
dnk,1989,70.84
dnk,1990,67.76
dnk,1991,67.29
dnk,1992,64.11
dnk,1993,60.74
dnk,1994,64.77
dnk,1995,71
dnk,1996,69.74
dnk,1997,72.52
dnk,1998,66.74
dnk,1999,69.48
dnk,2000,70.28
dnk,2001,64.28
dnk,2002,64.35
dnk,2003,60.86
dnk,2004,63.13
dnk,2005,63.94
dnk,2006,64.98
dnk,2007,66.52
dnk,2008,63.82
dnk,2009,58.04
dnk,2010,52.54
dnk,2011,51.85
dnk,2012,50.8
dnk,2013,47.97
dnk,2014,48.76
dnk,2015,50.41
dnk,2016,50.09
dnk,2017,51.88
dnk,2018,52.35
dnk,2019,54.22
dnk,2020,52.53
dom,2000,54.76
dom,2001,52.6
dom,2002,50.77
dom,2003,47.62
dom,2004,49.01
dom,2005,47.01
dom,2006,49.92
dom,2007,49.19
dom,2008,50.38
dom,2009,45.01
dom,2010,45.1
dom,2011,45.88
dom,2012,45.02
dom,2013,45.51
dom,2014,47.27
dom,2015,49.21
dom,2016,50.25
dom,2017,49.28
dom,2018,50.47
dom,2019,50.42
dom,2020,44.7
dza,2009,38.72
dza,2010,37.78
dza,2014,33.3
dza,2015,30.04
dza,2016,31.63
dza,2017,32.88
ecu,2000,59.26
ecu,2001,65.33
ecu,2003,57.58
ecu,2004,58.92
ecu,2005,60.14
ecu,2006,62.8
ecu,2007,57.87
ecu,2008,57.17
ecu,2009,53.41
ecu,2010,51.09
ecu,2011,48.98
ecu,2012,49.99
ecu,2013,47.63
ecu,2014,47.89
ecu,2015,49.27
ecu,2016,50.1
ecu,2017,51.44
ecu,2018,50.27
ecu,2019,49.43
ecu,2020,44.18
egy,2008,41.19
egy,2009,40.97
egy,2010,42.38
egy,2011,37.28
egy,2012,34.58
egy,2013,34.34
egy,2014,33.61
egy,2015,30.7
egy,2016,30.49
egy,2017,28.39
egy,2018,29.95
egy,2019,31.31
egy,2020,32.56
esp,1986,30.39
esp,1987,33.53
esp,1988,35.1
esp,1989,37.59
esp,1990,38.34
esp,1991,37.9
esp,1992,35.84
esp,1993,29.31
esp,1994,27.82
esp,1995,28.35
esp,1996,27.92
esp,1997,29.51
esp,1998,31.84
esp,1999,35.73
esp,2000,37.52
esp,2001,39.63
esp,2002,40.4
esp,2003,39.86
esp,2004,40.09
esp,2005,43.75
esp,2006,44.36
esp,2007,44.22
esp,2008,39.33
esp,2009,29.37
esp,2010,25.6
esp,2011,22.07
esp,2012,18.51
esp,2013,17.33
esp,2014,17.4
esp,2015,18.58
esp,2016,19.43
esp,2017,21.21
esp,2018,22.73
esp,2019,24.27
esp,2020,20.25
est,1990,59.43
est,1991,58.34
est,1992,57.04
est,1993,53.7
est,1994,55.28
est,1995,51.11
est,1996,46.48
est,1997,40.54
est,1998,38.73
est,1999,33.45
est,2000,33.61
est,2001,31.76
est,2002,30.96
est,2003,36.99
est,2004,34.42
est,2005,34.52
est,2006,36.79
est,2007,38.24
est,2008,38.89
est,2009,29.97
est,2010,26.48
est,2011,33.09
est,2012,34.16
est,2013,34.03
est,2014,33.4
est,2015,39.4
est,2016,38.8
est,2017,42.8
est,2018,43.48
est,2019,41.42
est,2020,37.01
eth,1999,70.61
eth,2005,78.64
eth,2013,77
fin,1990,58.13
fin,1991,51.06
fin,1992,41.9
fin,1993,37.65
fin,1994,35.09
fin,1995,30
fin,1996,28.64
fin,1997,34.36
fin,1998,34.41
fin,1999,47.17
fin,2000,47.02
fin,2001,47.87
fin,2002,45.4
fin,2003,44.73
fin,2004,43.45
fin,2005,40.4
fin,2006,42.59
fin,2007,44.5
fin,2008,44.28
fin,2009,37.71
fin,2010,37.67
fin,2011,39.53
fin,2012,40.97
fin,2013,39.12
fin,2014,39.77
fin,2015,38.14
fin,2016,40.08
fin,2017,41.36
fin,2018,42.57
fin,2019,44.12
fin,2020,40.74
fji,2005,46.26
fji,2011,44.08
fji,2014,40.56
fji,2016,45.45
fra,1983,48.63
fra,1984,44.23
fra,1985,42.63
fra,1986,43.16
fra,1987,42.45
fra,1988,39.94
fra,1989,40.23
fra,1990,39.7
fra,1991,34.95
fra,1992,34.14
fra,1993,30.57
fra,1994,27.97
fra,1995,28.46
fra,1996,28.03
fra,1997,26.59
fra,1998,27.52
fra,1999,29.73
fra,2000,31.26
fra,2001,32.95
fra,2002,33.85
fra,2003,33.97
fra,2004,32.19
fra,2005,33.78
fra,2006,33.48
fra,2007,34.25
fra,2008,34.39
fra,2009,32.62
fra,2010,33.17
fra,2011,32.49
fra,2012,30.97
fra,2013,31.08
fra,2014,29.75
fra,2015,30.02
fra,2016,29.93
fra,2017,31.01
fra,2018,32.23
fra,2019,31.4
fra,2020,30.42
fsm,2014,40.99
gab,2010,14.43
gbm,2016,52.64
gbr,1983,54.22
gbr,1984,57.08
gbr,1985,60.53
gbr,1986,60.35
gbr,1987,62.79
gbr,1988,65.65
gbr,1989,68.75
gbr,1990,67.95
gbr,1991,62.76
gbr,1992,58.84
gbr,1993,55.72
gbr,1994,55.69
gbr,1995,55.66
gbr,1996,56.09
gbr,1997,57.62
gbr,1998,58.3
gbr,1999,57.31
gbr,2000,57.97
gbr,2001,57.91
gbr,2002,57.12
gbr,2003,55.68
gbr,2004,56.53
gbr,2005,55.85
gbr,2006,54.71
gbr,2007,53.99
gbr,2008,53.35
gbr,2009,47.88
gbr,2010,47.56
gbr,2011,46.29
gbr,2012,46.35
gbr,2013,46.36
gbr,2014,48.22
gbr,2015,50.26
gbr,2016,50.43
gbr,2017,50.3
gbr,2018,51.36
gbr,2019,50.1
geo,2009,29.16
geo,2010,30.7
geo,2011,32.02
geo,2012,34.16
geo,2013,31.63
geo,2014,31.94
geo,2015,33.94
geo,2016,31.87
geo,2017,36.97
geo,2018,34.81
geo,2019,32.47
geo,2020,25.14
gha,1991,54.42
gha,2000,43.97
gha,2006,37.75
gha,2010,38.45
gha,2013,53.42
gha,2015,39.16
gha,2017,28.3
gin,2002,39.05
gin,2019,24.53
gmb,2012,42.07
gmb,2018,16.38
gnb,2018,38.33
grc,1983,41.76
grc,1984,41.02
grc,1985,39.66
grc,1986,37.99
grc,1987,36.6
grc,1988,36.99
grc,1989,37.48
grc,1990,37.42
grc,1991,36.05
grc,1992,35.58
grc,1993,34.43
grc,1994,33.5
grc,1995,33.29
grc,1996,31.47
grc,1997,30.13
grc,1998,34.69
grc,1999,32.31
grc,2000,32.61
grc,2001,30.66
grc,2002,31.94
grc,2003,31.53
grc,2004,32.76
grc,2005,29.94
grc,2006,29.47
grc,2007,29.1
grc,2008,28.27
grc,2009,27.3
grc,2010,24.16
grc,2011,19.38
grc,2012,16.1
grc,2013,14.59
grc,2014,15.78
grc,2015,15.15
grc,2016,14.72
grc,2017,15.88
grc,2018,15.95
grc,2019,15.91
grc,2020,15.86
gtm,2003,78.7
gtm,2004,73.29
gtm,2010,65.87
gtm,2011,67.89
gtm,2012,74.21
gtm,2013,64.68
gtm,2014,67.92
gtm,2015,69.9
gtm,2016,68.7
gtm,2017,71.76
gtm,2018,70.29
gtm,2019,68.81
gum,2002,34.6
gum,2004,46.5
gum,2005,45.7
gum,2006,44.6
gum,2007,36.7
gum,2009,36.5
gum,2011,33.5
guy,2018,45.36
guy,2019,39.52
hkg,2009,32.34
hkg,2010,30.39
hkg,2011,31.82
hkg,2012,32.36
hkg,2013,33.52
hkg,2014,33.83
hkg,2015,34.62
hkg,2016,35.11
hkg,2017,34.55
hkg,2018,35.34
hkg,2019,35.41
hkg,2020,29.71
hnd,2005,68.41
hnd,2006,68.1
hnd,2007,65.81
hnd,2008,67.14
hnd,2009,68.73
hnd,2010,67.41
hnd,2011,65.55
hnd,2012,64.51
hnd,2013,67.33
hnd,2014,66.54
hnd,2015,67.06
hnd,2016,64.87
hnd,2017,67.52
hnd,2018,68.55
hnd,2019,67.62
hnd,2020,57.35
hrv,2002,29.59
hrv,2003,28.49
hrv,2004,31.86
hrv,2005,30.03
hrv,2006,29.07
hrv,2007,32.4
hrv,2008,34.2
hrv,2009,32.31
hrv,2010,27.91
hrv,2011,23.79
hrv,2012,20.03
hrv,2013,17.38
hrv,2014,21.21
hrv,2015,22.38
hrv,2016,28.84
hrv,2017,29.84
hrv,2018,30.49
hrv,2019,33.18
hrv,2020,31.88
hti,2003,16.5
hti,2012,43.2
hun,1992,37.08
hun,1993,32.75
hun,1994,32.2
hun,1995,35.34
hun,1996,30.81
hun,1997,32.41
hun,1998,37.29
hun,1999,38.57
hun,2000,36.99
hun,2001,34.4
hun,2002,31.65
hun,2003,29.86
hun,2004,26.33
hun,2005,24.37
hun,2006,24.57
hun,2007,24.4
hun,2008,23.29
hun,2009,20.02
hun,2010,19.89
hun,2011,19.72
hun,2012,19.79
hun,2013,23.05
hun,2014,26.41
hun,2015,28.1
hun,2016,31.46
hun,2017,32.93
hun,2018,33.43
hun,2019,32.8
hun,2020,31.1
idn,1990,56.26
idn,1991,56.48
idn,1992,55.82
idn,1993,54.41
idn,1994,54.62
idn,1996,52.63
idn,1997,51.66
idn,1998,50.48
idn,1999,49.68
idn,2000,48.85
idn,2001,49.38
idn,2002,47.09
idn,2003,46.89
idn,2004,46.95
idn,2005,43.45
idn,2006,44.55
idn,2007,47.9
idn,2008,48.62
idn,2009,47.19
idn,2010,46.8
idn,2011,46.12
idn,2012,48.92
idn,2013,47.86
idn,2014,46.7
idn,2015,45.98
idn,2016,46.61
idn,2017,46.84
idn,2018,47.55
idn,2019,48.24
idn,2020,46.74
ind,1994,60.81
ind,2000,57.65
ind,2005,57.71
ind,2010,47.22
ind,2012,43.96
ind,2018,32.32
ind,2019,32.62
ind,2020,34.78
irl,1983,50.17
irl,1984,46.81
irl,1985,45.88
irl,1986,42.92
irl,1987,41.58
irl,1988,41.2
irl,1989,41.65
irl,1990,42.66
irl,1991,40.08
irl,1992,37.52
irl,1993,36.11
irl,1994,36.91
irl,1995,38.52
irl,1996,37.79
irl,1997,40.89
irl,1998,46.07
irl,1999,49.56
irl,2000,52.48
irl,2001,51.18
irl,2002,48.13
irl,2003,48.39
irl,2004,48.2
irl,2005,51.47
irl,2006,53.95
irl,2007,66.84
irl,2008,58.52
irl,2009,42.93
irl,2010,36.54
irl,2011,34.22
irl,2012,32.49
irl,2013,35.97
irl,2014,36.86
irl,2015,38.33
irl,2016,42.22
irl,2017,40.16
irl,2018,41.21
irl,2019,41.36
irl,2020,37.5
irn,2005,41.6
irn,2006,39.58
irn,2007,38.4
irn,2008,35.96
irn,2009,35.51
irn,2010,33.57
irn,2011,32.28
irn,2012,32.77
irn,2013,33.35
irn,2014,31.58
irn,2015,30.93
irn,2016,30.63
irn,2017,32
irn,2018,31.61
irn,2019,31.11
irn,2020,28.34
irq,2007,46.7
irq,2012,45.36
irq,2014,44.2
irq,2016,38.46
irq,2017,37.84
isl,1991,56.64
isl,1992,55.32
isl,1993,50.9
isl,1994,50.42
isl,1995,61.9
isl,1996,61.63
isl,1997,59.01
isl,1998,65.68
isl,1999,66.53
isl,2000,70.61
isl,2001,75.76
isl,2002,65.46
isl,2003,73.58
isl,2004,69.37
isl,2005,67.84
isl,2006,70.21
isl,2007,74.01
isl,2008,70.09
isl,2009,56.89
isl,2010,58.23
isl,2011,58.66
isl,2012,62.7
isl,2013,64.68
isl,2014,67.6
isl,2015,69.87
isl,2016,77.11
isl,2017,75.1
isl,2018,74.52
isl,2019,67.57
isl,2020,62.61
isr,1990,48.64
isr,1991,50.86
isr,1992,50.45
isr,1993,55.7
isr,1994,58.83
isr,1995,59.31
isr,1996,57.96
isr,1997,56.03
isr,1998,52.72
isr,1999,51.61
isr,2000,51.19
isr,2001,49.14
isr,2002,44.51
isr,2003,42.91
isr,2004,45.15
isr,2005,47.88
isr,2006,48.19
isr,2007,49.35
isr,2008,50.27
isr,2009,45.9
isr,2010,46.33
isr,2011,46.32
isr,2012,44.55
isr,2013,45.67
isr,2014,45.72
isr,2015,45.46
isr,2016,44.93
isr,2017,45.28
isr,2018,43.54
isr,2019,42.44
isr,2020,38.25
ita,1983,40.92
ita,1984,40.05
ita,1985,39.22
ita,1986,38.4
ita,1987,37.62
ita,1988,38.45
ita,1989,38.82
ita,1990,38.8
ita,1991,38.56
ita,1992,35.15
ita,1993,33.91
ita,1994,31.34
ita,1995,30.82
ita,1996,29.98
ita,1997,30.03
ita,1998,30.51
ita,1999,30.29
ita,2000,30.21
ita,2001,30.15
ita,2002,30.2
ita,2003,29.82
ita,2004,32.72
ita,2005,30.43
ita,2006,30.37
ita,2007,29.38
ita,2008,29.01
ita,2009,25.95
ita,2010,24
ita,2011,22.76
ita,2012,21.79
ita,2013,18.71
ita,2014,18.2
ita,2015,18.64
ita,2016,19.21
ita,2017,20.09
ita,2018,20.84
ita,2019,21.55
ita,2020,20.53
jam,2008,37.82
jam,2009,33.15
jam,2010,29.46
jam,2011,31.5
jam,2012,28.73
jam,2013,29.83
jam,2014,30.75
jam,2015,28.32
jam,2016,32.11
jam,2017,33.41
jam,2018,32.64
jam,2019,34.97
jam,2020,32.23
jam,2021,30.11
jor,2000,34.7
jor,2001,33.8
jor,2002,32
jor,2003,32.1
jor,2004,33.5
jor,2005,32.4
jor,2006,32.2
jor,2007,32.9
jor,2008,33.3
jor,2011,28.8
jor,2012,28.2
jor,2017,30.33
jor,2018,26.05
jor,2019,25.83
jor,2020,22.42
jpn,1968,57.13
jpn,1969,56.03
jpn,1970,56.49
jpn,1971,57.76
jpn,1972,56.12
jpn,1973,54.13
jpn,1974,51.67
jpn,1975,48.5
jpn,1976,46.61
jpn,1977,44
jpn,1978,42.91
jpn,1979,42.16
jpn,1980,41.17
jpn,1981,41.51
jpn,1982,41.33
jpn,1983,41.92
jpn,1984,41.07
jpn,1985,40.46
jpn,1986,40.45
jpn,1987,39.91
jpn,1988,40
jpn,1989,40.31
jpn,1990,41.55
jpn,1991,43.1
jpn,1992,44.51
jpn,1993,45.3
jpn,1994,45.35
jpn,1995,45.02
jpn,1996,45.71
jpn,1997,46.08
jpn,1998,44.77
jpn,1999,42.91
jpn,2000,42.29
jpn,2001,41.12
jpn,2002,40.46
jpn,2003,39.76
jpn,2004,38.81
jpn,2005,39.67
jpn,2006,40.25
jpn,2007,40.93
jpn,2008,40.63
jpn,2009,37.96
jpn,2010,37.64
jpn,2011,37.73
jpn,2012,37.36
jpn,2013,38.32
jpn,2014,39.4
jpn,2015,40.25
jpn,2016,42.12
jpn,2017,41.89
jpn,2018,45.15
jpn,2019,46.58
jpn,2020,45.67
jpn,2021,45.6
ken,1999,39.24
ken,2006,35.5
ken,2016,43.34
ken,2019,35.41
kgz,2010,50.01
kgz,2011,48.44
kgz,2012,46.33
kgz,2013,51.21
kgz,2014,47.37
kgz,2015,46.3
kgz,2016,46.2
kgz,2017,45.92
kgz,2018,47.11
kgz,2019,44.04
kgz,2020,43.77
khm,1998,49.31
khm,2000,60.1
khm,2001,71.35
khm,2007,78.23
khm,2008,76.66
khm,2009,77.52
khm,2010,78.97
khm,2011,78.48
khm,2012,60.62
khm,2013,74.53
khm,2014,73.61
khm,2015,73.76
khm,2016,75.39
khm,2017,74.1
khm,2019,57.45
kir,2005,11.1
kir,2010,30.39
kir,2015,25.53
kir,2019,19.54
kna,1980,59.2
kna,1991,61.25
kor,1980,39.95
kor,1981,38.16
kor,1982,37.52
kor,1983,33.62
kor,1984,30.82
kor,1985,28.55
kor,1986,27.82
kor,1987,27.66
kor,1988,25.52
kor,1989,25.78
kor,1990,25.67
kor,1991,28.3
kor,1992,28.73
kor,1993,27.1
kor,1994,28.86
kor,1995,28.77
kor,1996,28.1
kor,1997,26.48
kor,1998,22.06
kor,1999,23.02
kor,2000,22.95
kor,2001,23.39
kor,2002,24.6
kor,2003,23.89
kor,2004,24.32
kor,2005,22.3
kor,2006,20.57
kor,2007,19.41
kor,2008,16.89
kor,2009,16.49
kor,2010,16.38
kor,2011,17.51
kor,2012,18.4
kor,2013,18.99
kor,2014,20.76
kor,2015,21.79
kor,2016,21.81
kor,2017,21.82
kor,2018,20.29
kor,2019,21.69
kor,2020,20.37
kos,2012,14.34
kos,2013,15.11
kos,2014,13.4
kos,2015,12.85
kos,2016,15.2
kos,2017,16.67
kos,2018,14.08
kos,2019,18.3
kos,2020,15.66
kwt,2015,28.25
kwt,2016,29.9
lao,2010,58.29
lao,2017,23.34
lbn,2007,32.6
lbn,2019,37.81
lbr,2010,31.66
lbr,2014,57.96
lbr,2016,58.08
lbr,2017,10.15
lby,2012,14.22
lca,2004,39
lca,2005,40.8
