geo,time,se_pre_enrl_tc_zs
aze,2008,8.72499
aze,2009,8.72905
aze,2010,9.26314
aze,2011,9.27525
aze,2012,9.02033
aze,2013,9.95126
aze,2014,10.92606
aze,2015,11.47795
aze,2016,10.77326
aze,2018,18.16978
bdi,1971,50.88889
bdi,1972,42.85714
bdi,1982,45.6087
bdi,1983,51
bdi,1984,45.96552
bdi,1985,57.84
bdi,1986,55.4375
bdi,1987,44.79545
bdi,1989,48.59184
bdi,1999,28.05682
bdi,2000,27.5
bdi,2001,32.9697
bdi,2002,32.08108
bdi,2003,29.8705
bdi,2004,27.98113
bdi,2006,28.87173
bdi,2007,36.77449
bdi,2009,32.94283
bdi,2010,34.0773
bdi,2011,35.39198
bdi,2012,32.96333
bdi,2013,33.8499
bdi,2014,35.26698
bdi,2015,33.98462
bdi,2016,35.16858
bdi,2017,32.06993
bdi,2018,38.19347
bel,1971,25.60292
bel,1974,24.90108
bel,1976,25.07663
bel,1977,24.58569
bel,1978,24.01408
bel,1979,23.31022
bel,1980,22.31237
bel,1981,22.43252
bel,1982,22.48166
bel,1984,23.28318
bel,1985,20.67081
bel,1986,19.7973
bel,1993,16.85776
bel,1994,17.43521
bel,2005,14.25797
bel,2008,13.80388
bel,2009,13.83706
bel,2010,13.92133
bel,2011,13.91457
bel,2012,13.92234
bel,2013,13.57944
bel,2014,13.42901
bel,2015,13.07852
bel,2016,12.90002
bel,2017,12.70365
ben,1981,21.71839
ben,1982,20.02033
ben,1983,21.22472
ben,1984,22.25291
ben,1985,22.59132
ben,1986,21.48669
ben,1987,21.10032
ben,1988,20.44308
ben,1989,20.60276
ben,1990,21.02875
ben,1991,22.78094
ben,1992,22.59314
ben,1993,23.32913
ben,1994,28.01544
ben,1995,26.49917
ben,1996,27.08414
ben,1999,28.04232
ben,2000,28.99478
ben,2001,29.91627
ben,2002,32.0041
ben,2003,33.67797
ben,2004,36.33993
ben,2005,43.23906
ben,2006,49.13386
ben,2008,38.32451
ben,2009,38.63935
ben,2010,33.24214
ben,2011,27.07123
ben,2012,25.06084
ben,2013,26.14969
ben,2014,26.71295
ben,2015,25.60013
ben,2016,26.16142
ben,2018,23.97108
bfa,1972,18.90909
bfa,1975,53.11111
bfa,1976,26.15789
bfa,1981,25.46667
bfa,1982,26
bfa,1983,25.51852
bfa,1984,28.61404
bfa,1985,25.8381
bfa,1986,26.24444
bfa,1987,26.70056
bfa,1988,27.82587
bfa,1989,31.0995
bfa,1990,25.52511
bfa,1991,28.25417
bfa,1992,29.77647
bfa,1993,29.41852
bfa,1994,28.37037
bfa,1995,28.68091
bfa,1996,35.94488
bfa,1997,40.20095
bfa,1998,40.91837
bfa,2007,23.59779
bfa,2011,23.30854
bfa,2012,23.55877
bfa,2013,24.66874
bfa,2015,22.30119
bfa,2016,17.2911
bfa,2017,17.58385
bfa,2018,17.21239
bgd,1973,42.12821
bgd,1988,36.74915
bgd,1998,32.23326
bgd,1999,27.02874
bgd,2000,24.36795
bgd,2001,28.2365
bgd,2002,23.12425
bgr,1971,18.25461
bgr,1972,17.71465
bgr,1973,17.54871
bgr,1974,17.29659
bgr,1975,17.05048
bgr,1976,16.26652
bgr,1977,15.24625
bgr,1978,15.03048
bgr,1979,14.70217
bgr,1980,14.72768
bgr,1981,14.51248
bgr,1982,14.00031
bgr,1983,13.79219
bgr,1984,13.36774
bgr,1985,13.07814
bgr,1986,12.48597
bgr,1987,12.15722
bgr,1988,12.01703
bgr,1989,11.76216
bgr,1990,11.21641
bgr,1991,10.55668
bgr,1992,9.23498
bgr,1993,9.59869
bgr,1994,9.6582
bgr,1995,10.23652
bgr,1996,10.64186
bgr,1997,10.57744
bgr,1998,10.68457
bgr,1999,11.3243
bgr,2000,11.27836
bgr,2001,11.43006
bgr,2002,11.41059
bgr,2003,11.76673
bgr,2004,11.49663
bgr,2005,11.48245
bgr,2006,11.45731
bgr,2007,11.44767
bgr,2008,11.43057
bgr,2009,11.80169
bgr,2010,12.02208
bgr,2011,12.29878
bgr,2012,12.49293
bgr,2013,12.69734
bgr,2014,12.82018
bgr,2016,12.30445
bgr,2017,12.23179
bhr,1978,32.91781
bhr,1979,32.35802
bhr,1980,31.18085
bhr,1982,42.14423
bhr,1983,31.58125
bhr,1984,27.60317
bhr,1985,32.83415
bhr,1986,29.83529
bhr,1987,27.92542
bhr,1988,27.35016
bhr,1989,30.18121
bhr,1991,26.32558
bhr,1992,26.25581
bhr,1993,27.3619
bhr,1994,25.87931
bhr,1995,24.91634
bhr,1996,27.34298
bhr,1998,23.89161
bhr,1999,21.30909
bhr,2000,20.94364
bhr,2001,21.14047
bhr,2002,21.18046
bhr,2003,20.88432
bhr,2005,14.70264
bhr,2006,15.94626
bhr,2008,15.74856
bhr,2009,15.9
bhr,2010,15.51218
bhr,2011,15.65318
bhr,2012,15.02748
bhr,2013,14.61631
bhr,2014,15.21667
bhr,2015,14.98916
bhr,2016,14.32013
bhr,2017,13.76516
bhr,2018,14.40441
bhs,1993,16.76596
bhs,1997,14.39474
bhs,1999,9.20513
bhs,2000,9.3561
bhs,2002,11.18047
bhs,2011,62
bhs,2012,34.27891
bhs,2013,13.96992
bhs,2014,21.1659
bhs,2015,15.94836
bhs,2016,22.67081
bhs,2017,18.16432
bhs,2018,20.65517
bih,2017,14.47313
bih,2018,13.85554
blr,1981,9.48626
blr,1982,9.36176
blr,1983,9.24324
blr,1984,8.91034
blr,1985,8.35356
blr,1986,7.82885
blr,1987,7.78716
blr,1988,7.80348
blr,1989,7.81208
blr,1990,7.70066
blr,1991,6.73515
blr,1992,6.63477
blr,1993,6.77718
blr,1994,6.70803
blr,1995,6.66727
blr,1996,6.4011
blr,1999,5.18094
blr,2000,4.9446
blr,2001,4.85322
blr,2002,4.80285
blr,2003,5.78224
blr,2004,5.88485
blr,2005,6.12244
blr,2006,6.14064
blr,2007,6.15029
blr,2008,6.1703
blr,2009,6.13126
blr,2010,6.3318
blr,2011,6.5813
blr,2012,6.40991
blr,2013,7.64418
blr,2014,7.81183
blr,2015,7.64289
blr,2016,7.63699
blr,2017,7.76152
blr,2018,7.91637
blz,1981,15.38462
blz,1987,16.15385
blz,1990,18.84615
blz,1991,17.76129
blz,1992,19.11765
blz,1993,19.1875
blz,1994,17.96591
blz,1995,17.42632
blz,1996,18.26519
blz,1997,18.13514
blz,1999,18.54082
blz,2000,18.99485
blz,2001,17.68571
blz,2003,17.63084
blz,2004,16.95946
blz,2005,17.23437
blz,2006,17.23759
blz,2007,17.12371
blz,2008,16.66954
blz,2009,15.96296
blz,2010,17.44974
blz,2011,16.31719
blz,2012,16.3211
blz,2013,16.97248
blz,2014,16.59513
blz,2015,16.49451
blz,2016,16.89135
blz,2017,16.3978
blz,2018,16.44072
bmu,1977,14.41429
bmu,2001,7.16393
bmu,2002,6.78689
bmu,2003,6.98214
bmu,2004,7.54386
bmu,2011,6.2
bmu,2012,8.2549
bmu,2013,6.48333
bmu,2014,8.58696
bol,1984,34.82879
bol,1986,56.02557
bol,1987,54.84598
bol,1988,41.03495
bol,1989,31.82453
bol,1990,41.8418
bol,1999,41.8339
bol,2011,34.017
bol,2012,33.12716
bol,2013,31.69309
bol,2014,32.80488
bol,2015,32.98337
bol,2016,32.77201
bol,2017,31.74918
bol,2018,31.00561
bra,1970,22.02089
bra,1971,20.3819
bra,1972,20.36483
bra,1973,20.29968
bra,1974,20.10415
bra,1975,21.44538
bra,1976,21.38728
bra,1977,20.74596
bra,1978,20.87246
bra,1979,23.02364
bra,1980,22.71411
bra,1981,23.10281
bra,1982,23.03382
bra,1983,23.64302
bra,1984,22.66238
bra,1985,23.01972
bra,1986,24.21917
bra,1987,23.68102
bra,1988,23.32104
bra,1989,22.89541
bra,1991,20.62345
bra,1992,21.5935
bra,1993,21.20383
bra,1994,20.71061
bra,1996,19.33663
bra,1997,19.07165
bra,2013,17.10287
bra,2014,16.99821
bra,2015,16.78552
bra,2016,16.59563
bra,2017,16.47539
brb,1978,22.85401
brb,1979,24.18898
brb,1983,23.12121
brb,1999,17.61094
brb,2000,16.65854
brb,2001,16.29851
brb,2002,17.28613
brb,2003,17.09593
brb,2004,17.72072
brb,2005,17.72254
brb,2007,18.94444
brb,2008,16.33884
brb,2009,16.79282
brb,2010,16.19499
brb,2011,16.14943
brb,2014,16.08086
brb,2015,16.38965
brb,2016,15.64658
brb,2017,16.20173
brb,2018,15.64706
brn,1978,25.10377
brn,1979,21.17057
brn,1980,20.8642
brn,1981,19.54261
brn,1982,20.75862
brn,1983,21.86012
brn,1984,21.08815
brn,1985,22.0082
brn,1986,20.30102
brn,1987,20.25935
brn,1991,20.57206
brn,1992,20.95329
brn,1993,21.80112
brn,1994,21.17984
brn,1995,21.83333
brn,1998,21.35272
brn,1999,19.97527
brn,2000,20.50103
brn,2001,21.50855
brn,2002,20.16637
brn,2003,19.5434
brn,2004,23.01744
brn,2005,19.23596
brn,2006,18.65869
brn,2007,21.15315
brn,2008,19.56271
brn,2009,21.82718
brn,2010,19.63664
brn,2011,12.07493
brn,2012,13.59813
brn,2013,13.43711
brn,2014,17.01781
brn,2015,17.07445
brn,2016,15.37966
brn,2017,16.2243
brn,2018,15.42714
btn,1998,22.3125
btn,1999,22
btn,2000,22.375
btn,2005,23.11111
btn,2007,11.31579
btn,2008,11.30769
btn,2009,9.81081
btn,2010,8.34177
btn,2011,12.45902
btn,2012,11.29258
btn,2013,11.62121
btn,2014,11.25517
btn,2015,11.55686
btn,2016,12.41289
btn,2017,10.78869
btn,2018,11.12435
bwa,2006,15.19823
bwa,2007,14.44853
bwa,2008,15.52885
bwa,2009,12.92751
bwa,2012,11.29032
bwa,2013,11.60401
bwa,2014,19.34928
caf,1971,43.21667
caf,1972,40.8785
caf,1973,39.15207
caf,1976,50.10798
caf,1987,31.80556
caf,2005,34.43099
caf,2007,34.37326
caf,2011,44.27406
can,1985,33.94945
can,1986,33.43248
can,1987,33.39503
can,1988,32.04531
can,1989,30.75349
can,1990,31.77258
can,1991,30.56053
can,1992,30.68733
can,1993,37.04284
can,1994,37.41449
can,1995,38.97122
can,1996,39.56436
che,2012,11.95081
che,2013,11.9012
che,2014,11.70818
che,2016,11.73294
che,2017,11.66732
chl,1971,32.76109
chl,1972,34.35157
chl,1973,34.6412
chl,1974,43.50298
chl,1975,49.64053
chl,1976,41.86005
chl,1977,46.23432
chl,1978,46.61157
chl,1979,65.56436
chl,1988,22.95897
chl,1989,23.16133
chl,1991,24.03219
chl,1993,27.22762
chl,1994,27.96994
chl,1995,29.55942
chl,2000,24.27353
chl,2002,24.80104
chl,2003,22.90848
chl,2004,21.40568
chl,2005,20.69556
chl,2006,19.65949
chl,2007,18.63931
chl,2012,26.3367
chl,2013,28.19049
chl,2014,27.52765
chl,2015,26.83345
chl,2016,26.31507
chl,2017,25.40425
chn,1974,28.65497
chn,1975,25.0999
chn,1976,26.21564
chn,1977,27.13397
chn,1978,26.78614
chn,1979,28.43682
chn,1980,29.85501
chn,1981,28.01972
chn,1982,26.33308
chn,1983,26.80853
chn,1984,26.33372
chn,1985,26.36408
chn,1986,26.90835
chn,1987,26.92974
chn,1988,27.75315
chn,1989,27.66304
chn,1990,26.05641
chn,1991,26.31043
chn,1992,28.73313
chn,1993,29.79399
chn,1994,30.53278
chn,1995,30.52224
chn,1996,30.98329
chn,1997,30.00607
chn,1998,28.48124
chn,1999,27.44985
chn,2000,26.66438
chn,2001,26.20314
chn,2006,22.88608
chn,2007,22.42936
chn,2008,22.38452
chn,2009,22.71068
chn,2010,24.03674
chn,2011,23.15033
chn,2012,23.01143
chn,2013,22.26595
chn,2014,21.03872
chn,2015,19.93141
chn,2016,19.07577
chn,2017,18.06286
chn,2018,17.37685
civ,1976,43.11111
civ,1977,43.23148
civ,1978,41.80992
civ,1979,41.96923
civ,1980,36.19643
civ,1981,35.14525
civ,1983,30.90129
civ,1984,32.57826
civ,1995,21.50839
civ,1998,18.50954
civ,1999,22.5019
civ,2000,21.99718
civ,2001,20.22957
civ,2002,21.18264
civ,2003,22.32538
civ,2006,16.49447
civ,2007,17.04336
civ,2008,15.46104
civ,2009,17.34812
civ,2011,18.9628
civ,2012,18.49686
civ,2013,20.71104
civ,2014,21.84952
civ,2015,22.09197
civ,2016,22.95188
civ,2017,22.91741
civ,2018,21.09542
cmr,1977,31.58501
cmr,1978,27.70929
cmr,1979,26.67997
cmr,1980,28.3251
cmr,1981,26.83466
cmr,1983,23.92886
cmr,1984,27.24104
cmr,1985,28.71786
cmr,1986,29.9454
cmr,1987,28.44922
cmr,1988,29.72905
cmr,1989,28.54599
cmr,1990,26.99361
cmr,1991,26.28848
cmr,1992,26.95358
cmr,1994,24.28202
cmr,1995,24.15087
cmr,1997,19.21188
cmr,1998,19.75614
cmr,1999,23.41325
cmr,2000,23.66847
cmr,2001,23.66742
cmr,2002,23.95276
cmr,2003,23.50322
cmr,2004,22.83249
cmr,2005,24.0725
cmr,2006,21.22016
cmr,2007,17.59527
cmr,2008,21.7792
cmr,2009,22.30456
cmr,2010,21.80981
cmr,2011,22.08541
cmr,2012,22.14664
cmr,2014,21.09985
cmr,2015,20.54219
cmr,2016,20.81374
cmr,2017,20.62576
cmr,2018,20.26212
cod,1973,42.21245
cod,1993,43.27474
cod,2001,24.80491
cod,2002,23.01843
cod,2007,25.54864
cod,2008,27.80707
cod,2009,24.59079
cod,2010,25.49121
cod,2011,25.03079
cod,2012,25.68275
cod,2013,25.71434
cod,2014,24.57417
cod,2015,23.28667
cog,1971,35.5
cog,1973,41.42105
cog,1978,12.01866
cog,1979,8.12216
cog,1980,10.20579
cog,1981,10.47305
cog,1982,8.90617
cog,1983,9.4751
cog,1984,11.54343
cog,1985,9.88766
cog,1986,10.41899
cog,1987,10.2301
cog,1988,9.90714
cog,1989,8.83037
cog,1990,9.96604
cog,1991,9.00775
cog,1992,10.43664
cog,1993,7.80134
cog,1994,8.74257
cog,1995,5.49284
cog,1996,4.03804
cog,1997,7.81435
cog,1998,3.22959
cog,1999,9.95545
cog,2000,10.10673
cog,2001,14.23338
cog,2002,15.21966
cog,2004,19.32768
cog,2005,21.79439
cog,2006,18.62466
cog,2007,20.4851
cog,2008,22.89388
cog,2009,22.55518
cog,2010,23.27195
cog,2012,25.66397
col,1972,18.14962
col,1973,18.15085
col,1974,20.31295
col,1975,24.67404
col,1976,25.96017
col,1977,27.37004
col,1978,25.1175
col,1979,27.76241
col,1980,25.8631
col,1981,24.32984
col,1982,25.19218
col,1983,24.2081
col,1984,27.33484
col,1985,26.19466
col,1986,24.07279
col,1987,24.00827
col,1988,23.90417
col,1989,23.80926
col,1991,23.72802
col,1992,23.69979
col,1993,24.36591
col,1994,21.68804
col,1995,20.74508
col,1996,20.04184
col,1998,17.00724
col,1999,17.67108
col,2000,20.06263
col,2001,20.39633
col,2002,21.09269
col,2004,21.12253
col,2005,22.20104
col,2006,22.19353
col,2007,21.95723
col,2008,26.95342
col,2009,27.90779
col,2010,26.57539
col,2011,25.63352
com,1999,26.24
com,2000,25.92683
com,2017,20.32799
com,2018,28.4176
cpv,1984,28.5942
cpv,1987,33.25735
cpv,2001,24.79349
cpv,2002,25.11192
cpv,2003,25.92543
cpv,2004,21.67492
cpv,2005,23.0438
cpv,2006,22.48211
cpv,2007,21.70624
cpv,2008,21.54475
cpv,2009,21.39923
cpv,2010,19.7914
cpv,2011,20.25986
cpv,2012,19.7062
cpv,2013,18.19472
cpv,2014,17.70104
cpv,2015,18.89465
cpv,2016,18.42011
cpv,2017,18.0716
cpv,2018,16.32962
cri,1970,29.23047
cri,1971,29.22684
cri,1972,30.08736
cri,1973,29.49315
cri,1974,29.44802
cri,1975,31.216
cri,1976,32.0461
cri,1977,31.72408
cri,1979,32.58065
cri,1980,32.47697
cri,1981,32.43437
cri,1982,36.68085
cri,1983,30.61007
cri,1984,27.41088
cri,1985,27.9232
cri,1986,32.69003
cri,1987,24.87229
cri,1988,24.22307
cri,1989,29.5071
cri,1990,23.44796
cri,1991,23.98157
cri,1992,25.18852
cri,1993,23.54378
cri,1994,22.6386
cri,1995,22.5894
cri,1996,20.97789
cri,1997,21.23775
cri,1998,20.21772
cri,1999,20.57751
cri,2000,18.65127
cri,2001,18.50602
cri,2002,17.53494
cri,2004,16.36115
cri,2005,16.16496
cri,2006,15.27497
cri,2008,14.54534
cri,2009,13.78091
cri,2010,14.4155
cri,2011,14.17028
cri,2013,12.81121
cri,2014,13.10042
cri,2015,12.83307
cri,2016,11.9319
cri,2017,11.74043
cri,2018,12.90757
cub,1971,33.25687
cub,1972,32.16386
cub,1973,29.76488
cub,1974,29.51208
cub,1975,28.97461
cub,1976,29.04199
cub,1977,31.68461
cub,1978,30.02262
cub,1979,26.21972
cub,1980,25.56003
cub,1981,24.51773
cub,1982,23.49505
cub,1983,22.45569
cub,1984,21.9804
cub,1985,22.11742
cub,1986,23.49105
cub,1987,21.658
cub,1988,22.71698
cub,1989,22.64854
cub,1990,22.35249
cub,1991,23.83052
cub,1992,21.65713
cub,1993,23.20594
cub,1994,23.83932
cub,1995,24.61348
cub,1996,23.89855
cub,1997,22.1693
cym,1980,31.6
cym,1999,9.47059
cym,2000,12.17647
cym,2001,14.37778
cym,2002,10.01695
cym,2004,13.18182
cym,2005,11.73077
cym,2006,12.76923
cym,2007,8.51515
cym,2012,8.44286
cyp,1971,18.32627
cyp,1972,19.31944
cyp,1973,19.64912
cyp,1974,18.86269
cyp,1975,18.6185
cyp,1976,19.04955
cyp,1977,20.82625
cyp,1978,19.80952
cyp,1979,24.20641
cyp,1980,25.57593
cyp,1981,24.87321
cyp,1982,25.5898
cyp,1983,25.91684
cyp,1984,25.52102
cyp,1985,26.23025
cyp,1986,24.86686
cyp,1987,24.06546
cyp,1988,23.65904
cyp,1989,24.20048
cyp,1990,24
cyp,1991,23.00388
cyp,1992,22.31593
cyp,1993,20.11031
cyp,1994,19.88652
cyp,1995,19.7393
cyp,1996,19.84429
cyp,1997,17.89126
cyp,1999,19.12539
cyp,2000,20.95278
cyp,2001,20.52865
cyp,2002,20.32455
cyp,2003,18.14094
cyp,2004,18.46752
cyp,2005,18.27353
cyp,2006,17.89744
cyp,2007,17.42232
cyp,2008,17.27557
cyp,2009,16.66585
cyp,2010,16.71825
cyp,2011,17.16906
cyp,2012,16.53363
cyp,2013,16.16962
cyp,2014,15.62938
cyp,2015,12.5922
cyp,2016,15.0786
cyp,2017,14.40095
cze,1971,13.07214
cze,1972,13.05256
cze,1973,13.07506
cze,1974,13.21098
cze,1975,13.37774
cze,1976,13.51832
cze,1977,14.24594
cze,1978,14.78405
cze,1979,14.98417
cze,1980,14.99439
cze,1981,14.90084
cze,1982,15.03061
cze,1983,14.37807
cze,1984,14.29848
cze,1985,14.4787
cze,1986,14.58454
cze,1987,14.11328
cze,1988,13.40767
cze,1989,12.71325
cze,1990,12.43045
cze,1991,10.96596
cze,1992,10.81605
cze,1993,10.60508
cze,1994,12.02565
cze,1995,11.24444
cze,1996,11.6663
cze,1999,18.31054
cze,2000,18.44056
cze,2001,12.55929
cze,2002,12.62375
cze,2003,12.80428
cze,2004,12.84617
cze,2005,12.99464
cze,2006,11.75297
cze,2007,13.59026
cze,2008,13.68902
cze,2009,13.83119
cze,2010,13.90249
cze,2011,13.91295
cze,2012,13.93601
cze,2013,13.89131
deu,1993,17.51093
deu,1994,17.56186
deu,1995,19.13734
deu,1996,19.97486
deu,1997,20.0802
deu,2013,8.32273
deu,2014,8.16517
deu,2015,7.89896
deu,2016,7.81468
deu,2017,7.69877
dji,1979,34.125
dji,1999,28.5
dji,2001,23.66667
dji,2002,28.72727
dji,2004,20.51282
dji,2006,19.86486
dji,2007,19.60345
dji,2008,16.67949
dji,2009,16.37333
dji,2016,29.48611
dji,2017,16.40252
dji,2018,14.40476
dma,1974,36.7541
dma,1975,35.56716
dma,1976,38.33333
dma,1977,36.92308
dma,1979,35.07692
dma,1986,29.06977
dma,1987,27.97674
dma,1988,26.24242
dma,1990,24.62921
dma,1991,22.46
dma,1992,18.51852
dma,1993,22.90076
dma,1999,18.31429
dma,2000,14.99275
dma,2001,17.69231
dma,2002,15.88148
dma,2003,11.91111
dma,2004,13.42222
dma,2005,14.04575
dma,2006,13.90345
dma,2007,13.83824
dma,2008,14.85926
dma,2009,13.50714
dma,2010,13.80292
dma,2011,10.7929
dma,2012,10.8375
dma,2013,12.53691
dma,2014,12.89063
dma,2015,11.35333
dma,2016,11.27027
dnk,1972,29.11245
dnk,1973,29.35881
dnk,1974,27.49734
dnk,1975,25.56224
dnk,1977,26.1424
dnk,1978,26.88693
dnk,1985,16.98705
dnk,1986,15.79482
dnk,1987,15.27401
dnk,1988,15.65904
dnk,1989,14.24636
dnk,1990,14.01134
dnk,1992,13.87415
dnk,1993,9.78771
dnk,1994,10.45771
dnk,1995,10.49849
dnk,1999,5.54146
dnk,2000,5.42027
dnk,2001,5.52632
dom,1997,20.31425
dom,1998,22.23089
dom,1999,23.81978
dom,2000,21.95419
dom,2002,26.84577
dom,2003,23.76007
dom,2004,20.67226
dom,2005,22.15464
dom,2006,25.83207
dom,2007,21.62744
dom,2008,24.20135
dom,2009,23.63875
dom,2010,23.55565
dom,2011,23.58146
dom,2012,25.13758
dom,2013,23.39422
dom,2014,21.41289
dom,2015,17.93859
dom,2016,18.91434
dom,2017,19.47085
dom,2018,18.88925
dza,1993,20.26871
dza,1994,22.30187
dza,1995,21.60703
dza,1996,25.76494
dza,1997,25.13353
dza,1999,28.15536
dza,2000,26.86972
dza,2001,28.08063
dza,2003,27.90808
dza,2004,26.27948
dza,2005,28.91075
dza,2006,24.21049
dza,2007,26.79915
dza,2008,25.19973
dza,2009,23.80581
dza,2010,25.80431
dza,2011,25.36019
ecu,1971,32.98561
ecu,1972,34.86698
ecu,1973,31.6495
ecu,1974,34.31852
ecu,1975,32.99378
ecu,1976,30.67352
ecu,1977,32.082
ecu,1978,32.21813
ecu,1979,30.68591
ecu,1980,26.98421
ecu,1981,27.35145
ecu,1982,28.43166
ecu,1983,28.29644
ecu,1984,28.83651
ecu,1985,24.09774
ecu,1986,24.35387
ecu,1987,24.20308
ecu,1988,22.78133
ecu,1989,21.89308
ecu,1990,20.86278
ecu,1991,18.25488
ecu,1992,21.22331
