person,time,daily_income
airat_shaimiev,2020,82906
airat_shaimiev,2021,101260
airat_shaimiev,2022,84821
aiyawatt_srivaddhanaprabha,2019,453410
aiyawatt_srivaddhanaprabha,2020,278868
ajay_banga,2022,77753
ajay_jaisinghani,2022,70684
ajay_kalsi,2011,149227
ajay_kalsi,2012,179506
ajay_kalsi,2013,177435
ajay_kalsi,2014,153879
ajay_kalsi,2017,98630
ajay_kalsi,2018,94191
ajay_parekh,2020,105517
ajay_parekh,2021,115726
ajay_parekh,2022,148438
ajay_piramal,2010,89671
ajay_piramal,2011,122893
ajay_piramal,2012,119671
ajay_piramal,2013,135189
ajay_piramal,2014,120608
ajay_piramal,2015,167506
ajay_piramal,2016,150756
ajay_piramal,2017,304109
ajay_piramal,2018,384616
ajay_piramal,2019,338136
ajay_piramal,2020,128128
ajay_piramal,2021,289315
ajay_piramal,2022,296876
akio_nitori,2011,105336
akio_nitori,2012,102575
akio_nitori,2013,84493
akio_nitori,2014,108131
akio_nitori,2015,138193
akio_nitori,2016,167506
akio_nitori,2017,246575
akio_nitori,2018,345369
akio_nitori,2019,268972
akio_nitori,2020,278868
akio_nitori,2021,376109
akio_nitori,2022,282739
akira_mori,2002,373627
akira_mori,2003,431005
akira_mori,2004,237106
akira_mori,2005,305621
akira_mori,2006,422383
akira_mori,2007,532676
akira_mori,2008,684863
akira_mori,2009,380416
akira_mori,2010,564928
akira_mori,2011,596909
akira_mori,2012,299178
akira_mori,2013,422465
akira_mori,2014,349347
akira_mori,2015,309887
akira_mori,2016,410391
akira_mori,2017,361643
akira_mori,2018,494506
akira_mori,2019,361191
akira_mori,2020,256257
akira_mori,2021,289315
akira_mori,2022,261534
alain_bouchard,2013,97167
alain_bouchard,2014,145561
alain_bouchard,2015,209383
alain_bouchard,2016,226134
alain_bouchard,2017,271232
alain_bouchard,2018,259027
alain_bouchard,2019,284342
alain_bouchard,2020,233646
alain_bouchard,2021,303780
alain_bouchard,2022,353424
alain_merieux,2005,95506
alain_merieux,2006,150180
alain_merieux,2007,196249
alain_merieux,2008,255682
alain_merieux,2009,217380
alain_merieux,2010,358684
alain_merieux,2011,377457
alain_merieux,2012,316273
alain_merieux,2013,261928
alain_merieux,2014,316076
alain_merieux,2015,293136
alain_merieux,2016,276386
alain_merieux,2017,328767
alain_merieux,2018,251178
alain_merieux,2019,384246
alain_merieux,2020,444682
alain_merieux,2021,593095
alain_merieux,2022,473589
alain_taravella,2012,85479
alain_taravella,2013,84493
alain_taravella,2014,108131
alain_taravella,2015,108879
alain_taravella,2016,117254
alain_taravella,2017,123287
alain_taravella,2018,172684
alain_taravella,2019,146013
alain_taravella,2020,97980
alain_taravella,2021,144657
alain_taravella,2022,134301
alain_wertheimer,2014,748602
alain_wertheimer,2015,795657
alain_wertheimer,2016,921287
alain_wertheimer,2017,969863
alain_wertheimer,2018,1020410
alain_wertheimer,2019,1122000
alain_wertheimer,2020,1288824
alain_wertheimer,2021,2495342
alain_wertheimer,2022,2205369
alan_auerbach,2015,100504
alan_casden,2006,112635
alan_casden,2007,149523
alan_casden,2008,182630
alan_casden,2009,153978
alan_casden,2010,170375
alan_casden,2011,166783
alan_casden,2012,102575
alan_g_hassenfeld,2019,99904
alan_g_hassenfeld,2020,97980
alan_g_hassenfeld,2021,94027
alan_g_hassenfeld,2022,98958
alan_gerry,2002,142857
alan_gerry,2004,108673
alan_gerry,2005,114608
alan_gerry,2006,122021
alan_gerry,2007,130832
alan_gerry,2008,146104
alan_gerry,2009,99632
alan_gerry,2010,98638
alan_gerry,2011,105336
alan_gerry,2012,102575
alan_gerry,2013,109841
alan_gerry,2014,116449
alan_gerry,2015,117254
alan_gerry,2016,117254
alan_gerry,2017,123287
alan_gerry,2018,109890
alan_gerry,2019,107589
alan_gerry,2020,113054
alan_gerry,2021,108493
alan_gerry,2022,106027
alan_howard,2010,161408
alan_howard,2011,158005
alan_howard,2012,170958
alan_howard,2013,135189
alan_howard,2014,133084
alan_howard,2015,134005
alan_howard,2016,125630
alan_howard,2017,115068
alan_howard,2018,102041
alan_howard,2019,122958
alan_howard,2020,128128
alan_howard,2021,202520
alan_howard,2022,226191
alan_miller_1,2021,94027
alan_miller_1,2022,106027
alan_parker,2020,135665
alan_parker,2021,94027
alan_parker,2022,127232
alan_rydge,2014,87336
alan_rydge,2015,100504
alan_rydge,2016,100504
alan_rydge,2017,90410
alan_rydge,2018,86342
alan_rydge,2019,76849
alan_rydge,2021,72328
alan_rydge,2022,70684
alan_sugar,2018,94191
alan_sugar,2019,76849
alan_sugar,2020,75369
alan_sugar,2021,101260
alan_sugar,2022,127232
alan_trefler,2017,131506
alan_trefler,2018,149136
alan_trefler,2019,176753
alan_trefler,2020,188424
alan_trefler,2021,347178
alan_trefler,2022,204986
alan_zekelman,2020,82906
alan_zekelman,2021,86794
alan_zekelman,2022,120164
albert_avdolyan,2021,72328
albert_berner,2015,100504
albert_berner,2016,92128
albert_berner,2017,123287
albert_berner,2018,149136
albert_berner,2019,146013
albert_blokker,2014,116449
albert_frere,2002,109890
albert_frere,2003,105123
albert_frere,2004,118553
albert_frere,2005,171912
albert_frere,2006,281589
albert_frere,2007,289701
albert_frere,2008,292208
albert_frere,2009,217380
albert_frere,2010,233145
albert_frere,2011,272120
albert_frere,2012,307726
albert_frere,2013,312624
albert_frere,2014,407572
albert_frere,2015,410391
albert_frere,2016,410391
albert_frere,2017,402739
albert_frere,2018,486657
albert_gubay,2010,98638
albert_shigaboutdinov,2013,97167
albert_shigaboutdinov,2014,91495
albert_shigaboutdinov,2015,87941
albert_shigaboutdinov,2017,82191
albert_shigaboutdinov,2018,86342
albert_shigaboutdinov,2019,92219
albert_shigaboutdinov,2020,75369
albert_shigaboutdinov,2021,86794
albert_shigaboutdinov,2022,91890
albert_ueltschi,2002,131868
albert_ueltschi,2003,105123
albert_ueltschi,2004,138312
albert_ueltschi,2005,143260
albert_ueltschi,2006,131408
albert_ueltschi,2007,168213
albert_ueltschi,2008,210024
albert_ueltschi,2009,126805
albert_ueltschi,2010,170375
albert_ueltschi,2011,175561
albert_ueltschi,2012,162410
albert_von_thurn_und_taxis,2002,153846
albert_von_thurn_und_taxis,2003,157684
albert_von_thurn_und_taxis,2004,207468
albert_von_thurn_und_taxis,2005,191013
albert_von_thurn_und_taxis,2006,178339
albert_von_thurn_und_taxis,2007,186904
albert_von_thurn_und_taxis,2008,210024
albert_von_thurn_und_taxis,2009,190208
albert_von_thurn_und_taxis,2010,197276
albert_von_thurn_und_taxis,2011,175561
albert_von_thurn_und_taxis,2012,128219
albert_von_thurn_und_taxis,2013,126739
albert_von_thurn_und_taxis,2014,133084
albert_yeung,2011,122893
albert_yeung,2012,94027
albert_yeung,2013,118290
albert_yeung,2014,91495
albert_yeung,2015,108879
albert_yeung,2016,92128
albert_yeung,2017,123287
albert_yeung,2018,125589
albert_yeung,2019,99904
alberto_alcocer,2008,109578
alberto_alcocer,2009,99632
alberto_alcocer,2010,107605
alberto_alcocer,2011,105336
alberto_alcocer,2012,85479
alberto_alcocer,2014,83178
alberto_alcocer,2015,108879
alberto_alcocer,2016,92128
alberto_alcocer,2017,98630
alberto_alcocer,2018,109890
alberto_alcocer,2019,107589
alberto_alcocer,2020,75369
alberto_alcocer,2021,101260
alberto_alcocer,2022,91890
alberto_bailleres_gonzalez,2002,164835
alberto_bailleres_gonzalez,2003,178709
alberto_bailleres_gonzalez,2004,227227
alberto_bailleres_gonzalez,2005,257868
alberto_bailleres_gonzalez,2006,262816
alberto_bailleres_gonzalez,2007,467260
alberto_bailleres_gonzalez,2008,894887
alberto_bailleres_gonzalez,2009,516279
alberto_bailleres_gonzalez,2010,744271
alberto_bailleres_gonzalez,2011,1044591
alberto_bailleres_gonzalez,2012,1410410
alberto_bailleres_gonzalez,2013,1537775
alberto_bailleres_gonzalez,2014,1031408
