west_and_rest,time,income_mountain_50bracket_shape_for_log
rest,1811,"60522,96235,155561,260179,450307,783589,1348259,2240210,3762602,6507606,11600714,20622784,35230026,55965464,80587177,102631053,117938351,120609603,107757560,84560919,58623732,37389402,22811775,13561762,7905247,4608062,2698149,1598097,962161,588329,364762,228346,143162,89194,54937,33319,19811,11658,6704,3760,2016,1096,554,243,114,50,25,6,0,0"
rest,1812,"60812,96697,156311,261524,452930,788869,1359016,2261789,3804501,6585687,11741049,20860734,35607498,56521407,81271542,103363147,118630252,121110419,108016686,84646388,58643326,37400989,22823529,13571216,7911969,4612665,2701108,1599836,963162,588887,365029,228463,143185,89208,54943,33335,19827,11656,6697,3763,2014,1092,557,246,115,51,25,6,0,0"
rest,1813,"60456,96091,155376,260287,451662,788371,1361253,2270630,3828760,6641820,11856802,21076387,35968215,57090208,82084369,104186712,119225024,121431179,108199552,84851952,58817479,37545405,22934394,13650189,7966975,4650131,2726260,1616762,974849,597017,370695,232350,145810,90975,56096,34079,20278,11940,6866,3885,2086,1134,578,256,120,53,27,6,0,0"
rest,1814,"60782,96597,156213,261766,454432,793619,1371133,2288755,3862267,6703282,11967691,21272237,36290011,57566736,82700076,104881685,119954254,122071320,108673008,85141905,58978727,37642582,22992180,13683101,7985189,4660030,2731683,1619726,976517,597994,371241,232661,145994,91074,56170,34131,20312,11960,6886,3884,2093,1144,573,254,119,52,27,7,0,0"
rest,1815,"61421,97587,157806,264458,459299,802668,1388519,2321429,3923154,6813504,12154560,21577359,36776470,58231861,83500719,105722119,120712399,122582284,108931640,85237234,59002637,37653608,22999281,13683110,7981897,4656935,2729461,1618406,975638,597443,370871,232405,145803,90962,56090,34087,20281,11948,6881,3888,2086,1147,569,253,120,53,27,7,0,0"
rest,1816,"61706,97977,158384,265427,461009,805576,1393190,2328909,3936513,6839622,12215946,21709644,36995553,58629593,84050570,106378209,121488729,123358457,109564312,85640444,59239991,37801750,23093453,13740183,8016084,4677607,2741828,1625788,980119,600181,372572,233456,146458,91377,56339,34241,20375,12010,6919,3913,2101,1150,576,255,120,55,27,7,0,0"
rest,1817,"62024,98455,159220,266960,464009,811477,1404698,2350796,3977809,6915959,12352963,21945208,37375957,59190188,84758553,107169002,122291145,124020456,110008235,85882059,59359043,37865912,23130421,13760623,8027696,4684681,2745820,1628064,981492,600976,373035,233750,146660,91523,56476,34338,20440,12054,6950,3936,2107,1152,580,256,121,55,28,7,0,0"
rest,1818,"62344,98969,160082,268569,467170,817704,1416843,2373790,4020890,6995203,12493955,22185518,37763391,59753849,85461670,107943841,123065197,124652454,110444046,86146629,59519156,37969455,23195460,13799125,8049510,4696829,2752565,1631835,983627,602235,373790,234229,146966,91734,56615,34439,20521,12113,6985,3953,2118,1162,580,257,123,55,27,8,0,0"
rest,1819,"63277,100328,162079,271587,471894,825483,1430200,2396999,4062191,7069056,12625562,22413596,38131468,60304172,86170126,108755284,123894118,125331271,110918296,86408711,59651666,38042046,23238358,13823284,8060684,4701350,2753984,1632201,983565,602055,373651,234125,146928,91718,56590,34432,20528,12104,6980,3946,2107,1154,578,253,119,55,27,9,0,0"
rest,1820,"62556,99210,160509,269679,470202,825109,1433314,2407421,4087513,7123389,12733334,22612304,38468752,60823120,86855187,109554418,124720339,126026753,111417780,86715083,59831019,38153925,23308210,13863531,8081500,4711341,2758595,1634186,984424,602370,373737,234190,146979,91788,56689,34514,20585,12150,7011,3959,2117,1149,580,258,117,55,28,9,0,0"
rest,1821,"60840,96387,156046,262772,459893,811343,1419203,2402339,4103813,7175284,12844681,22828811,38833831,61382948,87557273,110288347,125426925,126583854,111818210,86963363,60003326,38302697,23421938,13943315,8133727,4744636,2778925,1646230,991639,606677,376345,235740,147928,92379,57061,34756,20748,12238,7072,3993,2142,1157,588,258,115,55,28,10,0,0"
rest,1822,"60718,96036,155279,261192,456957,807487,1417298,2411981,4137083,7247229,12975376,23061022,39213041,61901490,88166754,110906170,126004340,127059534,112219087,87306377,60270646,38507625,23563479,14034048,8188052,4776745,2797749,1657361,998327,610811,378984,237375,148955,93019,57481,35014,20921,12348,7141,4034,2166,1159,602,261,115,55,29,10,0,0"
rest,1823,"60741,95889,154758,259891,454153,803455,1414691,2420370,4167659,7313272,13094786,23273396,39559972,62380651,88739215,111515380,126619073,127615879,112733802,87758054,60620651,38776573,23757147,14162770,8269241,4827878,2829086,1676234,1009754,617785,383248,240040,150588,94044,58112,35428,21177,12503,7232,4095,2202,1176,615,260,117,57,29,11,0,0"
rest,1824,"60841,95898,154610,259381,452990,802622,1417743,2438938,4216399,7411568,13261781,23549617,39998221,62947535,89388602,112172484,127248888,128142768,113123306,88056600,60878068,39013043,23940478,14295174,8355381,4882649,2864114,1697864,1022569,625022,387166,242110,151705,94654,58507,35694,21383,12645,7325,4158,2249,1206,638,276,130,61,30,11,0,0"
rest,1825,"60831,95713,154050,258034,450093,798149,1413192,2443320,4239388,7465445,13364734,23740128,40310373,63401363,89940405,112773040,127882590,128761243,113717710,88569588,61278134,39315706,24152707,14430069,8435854,4930133,2891842,1713816,1032009,630716,390639,244246,153048,95520,59063,36059,21603,12790,7428,4209,2283,1226,647,284,130,62,30,12,0,0"
rest,1826,"60890,95623,153620,256843,447324,793527,1407237,2443982,4254787,7506344,13448570,23908825,40585525,63823924,90477936,113370230,128555354,129462524,114399458,89129521,61694785,39618534,24358082,14562660,8519350,4981742,2923328,1732615,1043087,637238,394478,246532,154423,96327,59538,36329,21770,12886,7484,4251,2305,1233,650,288,132,62,30,13,0,0"
rest,1827,"60948,95526,153196,255695,444698,789450,1403128,2449541,4280626,7566592,13559452,24111882,40921211,64301105,91068476,114022577,129234031,130090876,114980720,89629583,62083062,39914065,24566231,14701650,8606846,5035502,2956254,1752853,1055514,644785,399047,249299,156098,97351,60168,36721,22008,13029,7562,4314,2331,1245,660,295,130,65,30,13,0,0"
rest,1828,"61086,95591,153087,255204,443434,787870,1403222,2462146,4318786,7649107,13707324,24367744,41336736,64866824,91728147,114709439,129895645,130655043,115471843,90053621,62426452,40188890,24768837,14839065,8693595,5088550,2987857,1771395,1066424,651167,402746,251436,157382,98089,60611,36972,22167,13125,7621,4338,2358,1257,665,301,131,67,31,13,0,0"
rest,1829,"61176,95592,152870,254574,441915,785933,1403069,2475478,4359548,7736701,13861687,24630199,41759256,65430325,92380123,115383072,130528804,131163734,115890292,90405955,62708812,40413967,24932878,14949422,8765558,5134525,3017044,1789241,1077130,657484,406431,253578,158619,98816,61040,37231,22320,13208,7661,4364,2378,1256,671,302,129,66,31,13,0,0"
rest,1830,"61350,95707,152885,254334,440930,784487,1402675,2486067,4392743,7807194,13984342,24839953,42095749,65897279,92958328,116043335,131197412,131723718,116344256,90754160,62959954,40604392,25067622,15038494,8819729,5167056,3037015,1801362,1084601,662226,409566,255702,160013,99741,61612,37572,22524,13316,7739,4405,2396,1273,678,305,129,67,32,13,0,0"
rest,1831,"61338,95605,152509,253341,438524,780404,1397147,2486250,4405074,7839225,14038728,24930844,42249642,66132098,93311717,116523604,131762333,132312907,116892191,91243634,63355245,40899880,25275868,15176072,8905113,5219595,3069454,1821336,1096919,669872,414340,258650,161869,100873,62328,37990,22785,13459,7820,4452,2423,1284,694,306,130,67,32,14,0,0"
rest,1832,"61314,95455,152067,252252,435972,775759,1390075,2482171,4408892,7856568,14069683,24987358,42355040,66318899,93607569,116926520,132293626,132897080,117403999,91673795,63703704,41174696,25484379,15329309,9006149,5283530,3109008,1844941,1110953,678370,419455,261781,163770,102085,63069,38472,23077,13638,7925,4524,2469,1307,708,317,134,68,32,14,0,0"
rest,1833,"61160,95107,151324,250607,432411,769130,1379010,2471051,4400547,7852986,14068718,24993596,42368397,66387311,93773246,117206050,132711164,133431627,117976582,92188133,64131621,41510501,25725576,15486947,9102988,5341044,3142017,1863372,1121503,684644,423251,264074,165200,102948,63601,38798,23282,13756,8004,4570,2494,1325,716,321,135,68,33,14,0,0"
rest,1834,"61055,94848,150714,249287,429475,763598,1369824,2461583,4393838,7850969,14070167,25006691,42397956,66482811,93968327,117494586,133117904,133948328,118532790,92691332,64555763,41843194,25963645,15644697,9201130,5399727,3176102,1882695,1132693,691257,427177,266381,166536,103698,64017,39010,23413,13825,8035,4594,2501,1331,717,323,138,69,32,14,0,0"
rest,1835,"60982,94672,150305,248357,427474,760022,1365229,2462347,4408084,7887958,14131341,25095312,42537223,66667052,94213338,117788660,133457271,134347477,118984396,93157339,64978420,42167509,26183160,15781999,9282342,5446174,3202341,1896866,1140330,695384,429370,267548,167127,104014,64210,39111,23475,13853,8071,4612,2515,1337,720,328,137,69,34,15,0,0"
rest,1836,"60918,94533,149969,247581,425714,756803,1360905,2461848,4418626,7917158,14180218,25169018,42655124,66832797,94449255,118078648,133771333,134698672,119407440,93633407,65435717,42545899,26454246,15950842,9381237,5503046,3235384,1915739,1151522,702235,433572,270124,168714,105016,64847,39517,23755,14027,8183,4688,2562,1364,728,342,139,70,35,15,0,0"
rest,1837,"60817,94273,149353,246170,422511,750394,1349621,2447482,4403400,7900859,14158654,25141401,42604764,66801080,94462008,118124898,133900084,134962234,119813329,94149705,66055979,43214355,27053673,16377289,9641183,5650769,3316949,1960596,1176321,716015,441324,274541,171246,106453,65671,40003,24039,14199,8287,4752,2594,1385,743,348,145,71,35,15,0,0"
rest,1838,"60720,94039,148881,245098,420150,745771,1342462,2441365,4405135,7916493,14188351,25187695,42678825,66919577,94656836,118391248,134239455,135428810,120428699,94801779,66574299,43539698,27242056,16498043,9715120,5692755,3339860,1973136,1183489,720203,443749,275903,172032,106956,65971,40205,24183,14283,8355,4790,2628,1403,761,351,147,72,35,16,0,0"
rest,1839,"60648,93878,148481,244229,418156,741929,1336842,2437593,4410414,7937589,14225849,25242558,42766468,67044782,94841184,118620852,134528860,135847776,120988581,95410863,67095174,43925642,27498481,16654471,9804370,5741250,3365634,1986294,1190281,723906,445800,277040,172641,107286,66162,40309,24233,14348,8386,4815,2647,1405,757,352,151,72,36,16,0,0"
rest,1840,"60532,93613,147872,242867,415138,735675,1325720,2421698,4392620,7917183,14197751,25209179,42723124,67043452,94936229,118828766,134922640,136440807,121675386,96054171,67615825,44317371,27777859,16840217,9921909,5813386,3409582,2012593,1206204,733647,451802,280774,175005,108783,67122,40912,24606,14573,8521,4884,2700,1428,770,361,155,73,38,17,0,0"
rest,1841,"60167,92987,146857,241155,412086,730203,1317386,2412076,4386798,7918263,14203525,25219123,42754093,67119507,95100611,119084525,135268759,136899499,122199113,96585529,68100015,44712971,28080853,17052974,10060059,5899489,3462851,2045240,1225996,745576,458917,285051,177573,110325,68058,41484,24979,14800,8657,4978,2748,1460,786,373,166,75,38,17,0,0"
rest,1842,"60557,93520,147401,241514,411618,727886,1312745,2406362,4385844,7925892,14219852,25246898,42811205,67240269,95331964,119383547,135593350,137276105,122628361,97018746,68507060,45061875,28392760,17306906,10241340,6017663,3537153,2090793,1254140,762998,469701,291758,181835,113063,69830,42593,25669,15215,8904,5117,2829,1506,808,384,173,78,38,17,0,0"
rest,1843,"62176,95895,150625,245618,416322,732615,1318126,2415116,4407056,7966686,14281185,25325075,42927777,67410107,95605672,119759080,136031931,137747584,123105173,97414051,68781781,45254154,28572309,17466829,10363510,6103371,3594517,2127911,1277935,778318,479655,298275,186150,115934,71711,43856,26478,15725,9210,5299,2948,1571,848,407,186,87,44,18,0,0"
rest,1844,"65418,100713,157355,254334,426697,743837,1330090,2429974,4438673,8032481,14392714,25481252,43151850,67709685,96061854,120405480,136780333,138476381,123714940,97814089,68871454,45110566,28385250,17332635,10300608,6088437,3603406,2144344,1293895,790827,488633,304653,190694,119199,74022,45468,27567,16446,9670,5583,3114,1672,905,438,208,96,54,20,0,0"
rest,1845,"67075,103293,161161,259689,433809,752891,1343124,2451268,4481324,8109406,14506810,25635648,43382878,67979983,96409349,120840275,137233596,138913209,124130735,98278920,69235981,45270424,28420694,17324031,10309332,6116763,3637339,2174632,1317567,808032,500671,312833,196184,122857,76460,47084,28601,17123,10107,5866,3286,1773,967,479,229,111,59,25,0,0"
rest,1846,"68387,105332,164004,263407,438433,758258,1350481,2462974,4507006,8157168,14577128,25730785,43518556,68147656,96660961,121177538,137638180,139381773,124630020,98751450,69618147,45545821,28607835,17455665,10407528,6185493,3684888,2206578,1337642,820190,508080,317389,198992,124563,77521,47725,29019,17402,10270,5965,3354,1818,993,489,241,115,64,28,0,0"
rest,1847,"67663,103905,161482,259104,431073,745720,1331206,2435995,4480100,8137691,14570115,25744906,43586180,68286929,96892729,121515276,138106198,139948295,125227346,99344935,70097122,45883587,28842936,17605532,10499938,6241311,3719715,2230050,1354044,831575,515791,322523,202423,126881,79052,48756,29691,17841,10553,6140,3471,1880,1033,519,252,123,64,36,0,0"
rest,1848,"66543,102207,158965,255326,425144,735819,1315118,2410930,4448523,8099096,14529857,25691734,43520597,68273012,97003348,121804109,138570044,140555142,125860012,99970191,70688513,46358392,29200045,17835908,10636617,6320874,3765272,2256683,1370099,841547,522018,326409,204846,128391,79969,49336,30028,18040,10680,6214,3532,1907,1045,530,259,124,69,35,2,0"
rest,1849,"64456,98911,153976,247925,414180,719445,1292244,2381158,4420734,8082670,14528738,25719720,43614016,68434845,97249937,122120348,138913470,140851064,126087589,100290920,71064990,46674402,29484398,18066648,10800665,6432684,3840530,2306271,1402066,861820,534711,334226,209634,131338,81788,50448,30735,18505,10970,6390,3642,1967,1084,552,269,130,72,36,4,0"
rest,1850,"62278,95750,149480,241760,405928,708213,1277968,2363737,4407492,8077323,14526708,25717549,43602430,68405953,97260299,122208578,139097452,141150104,126449432,100640384,71398847,47036881,29791711,18302412,10969413,6538184,3896134,2335080,1415083,866064,534942,332935,207984,129776,80497,49480,30038,18028,10653,6194,3525,1900,1039,531,254,121,66,35,6,0"
rest,1851,"61094,94219,147320,238591,400986,699677,1262756,2336602,4365935,8011116,14420824,25516795,43270320,68009568,96886143,121959822,139111726,141469272,126852866,101060825,71917691,47531568,30211951,18642115,11223315,6696537,3990448,2391228,1445796,881921,543037,337090,210120,130813,81000,49670,30093,18030,10629,6164,3510,1891,1041,509,250,116,63,30,6,0"
rest,1852,"60009,92023,143375,231559,388575,678179,1227563,2281767,4294450,7928616,14319504,25379528,43061574,67754228,96654878,121835450,139167135,141703285,127169892,101435572,72335619,47865633,30443226,18785756,11307145,6740235,4011312,2400375,1449156,882519,542276,335875,208900,129773,80224,49181,29834,17926,10610,6175,3557,1916,1042,522,254,119,63,35,10,0"
rest,1853,"59499,91007,141518,228079,381810,664921,1203004,2238735,4228256,7829603,14178086,25143551,42690250,67330636,96227698,121528066,139132612,142015001,127641830,101890622,72754112,48128019,30584099,18865395,11357885,6772805,4037356,2417756,1461255,891517,548743,340334,211963,131868,81690,50212,30531,18400,10939,6381,3673,2003,1088,545,274,127,66,37,11,0"
rest,1854,"60750,92819,143918,231066,385325,668601,1206951,2242040,4233244,7834013,14160227,25070821,42514427,67067569,95946639,121316488,139061848,142086941,127766831,102024474,72941513,48319516,30745252,18988627,11443151,6828333,4074525,2441564,1476166,901162,555055,344375,214551,133611,82837,50967,31041,18734,11150,6521,3760,2059,1127,563,289,137,72,39,12,1"
rest,1855,"59843,92098,143159,230028,383233,663562,1195301,2217752,4189998,7759036,14037404,24829086,42093388,66519925,95246119,120554607,138445403,141814687,127861828,102529351,73766110,49115267,31356300,19423937,11740182,7031441,4209688,2525407,1525405,929808,571823,354278,220319,136861,84725,52083,31733,19160,11407,6668,3848,2114,1158,581,303,144,77,43,15,2"
rest,1856,"59470,91408,141884,227657,378509,653916,1175970,2181689,4128827,7659514,13889057,24577904,41674774,66025179,94705790,120086926,138229535,142017122,128360817,103128570,74323523,49508999,31632048,19615448,11879497,7127072,4269150,2561839,1547188,941983,578358,357760,222344,138197,85503,52483,31922,19219,11415,6671,3861,2116,1163,589,308,147,78,44,14,3"
rest,1857,"57820,89129,138750,223338,372602,645530,1164041,2164585,4108006,7635152,13840547,24451125,41395221,65545004,94070535,119631306,138261533,142589016,128933705,103377630,74386995,49628444,31813758,19807156,12048842,7253385,4355810,2619339,1585472,966905,594474,367985,228839,142270,88034,53987,32795,19718,11704,6828,3953,2176,1212,616,323,157,81,44,14,3"
rest,1858,"57293,87833,136281,218995,364870,631567,1138755,2120144,4034342,7520280,13675124,24193065,40989517,65096804,93594584,119228798,138062378,142621467,129113442,103602725,74784202,50111808,32333971,20269056,12388028,7463625,4471500,2683253,1622779,987231,604910,374417,233428,145585,90325,55511,33755,20346,12108,7080,4111,2274,1259,639,335,158,92,47,14,4"
rest,1859,"56984,87449,135691,217939,362944,627753,1131438,2107025,4013880,7491401,13632022,24105712,40820181,64894807,93408638,119181760,138125319,142617308,129062971,103580230,74957663,50376636,32638867,20540928,12595887,7613077,4573037,2748552,1663779,1013799,622501,386242,241346,150903,93920,57936,35378,21395,12787,7501,4364,2430,1349,694,362,180,100,52,18,5"
rest,1860,"56424,86703,134613,216269,360224,622924,1122639,2092095,3990867,7459524,13583799,24007887,40635891,64684687,93244980,119242078,138540251,143250368,129515712,103717616,74931008,50274056,32597023,20580653,12668562,7694511,4646201,2803742,1703685,1042558,643169,400712,251234,157674,98493,60997,37397,22700,13599,7999,4665,2601,1440,760,389,194,107,56,20,5"
rest,1861,"56355,86541,134101,214975,357177,616450,1109803,2069175,3954531,7413160,13525957,23909566,40454286,64463567,93013967,119145184,138741488,143828341,130214057,104238936,75228394,50356823,32607111,20587585,12682350,7715743,4672649,2827229,1722493,1058671,656605,410762,258178,162292,101512,62928,38628,23490,14085,8307,4823,2688,1484,780,404,199,107,54,19,5"
rest,1862,"57914,88895,137452,219458,362908,623764,1120038,2085006,3981445,7463172,13597236,23987664,40527662,64496609,93045428,119232872,138753469,143756281,130365290,104593498,75601493,50631322,32808564,20678484,12712765,7722932,4669373,2818786,1714604,1053721,654139,409435,257362,161767,101199,62769,38542,23449,14080,8301,4816,2667,1465,769,390,196,106,51,20,5"
rest,1863,"57466,88228,136024,216207,355582,607275,1084279,2022327,3888151,7387063,13576617,24018547,40560300,64541826,93064013,119250317,138817364,143991108,130767405,105039924,76057566,51005439,33055643,20811226,12771431,7746252,4676313,2816202,1708913,1048306,649692,405978,254825,160122,100219,62286,38353,23414,14095,8325,4832,2683,1481,771,398,207,103,52,21,6"
rest,1864,"56013,86223,133169,212128,349730,598226,1068909,1997295,3847336,7335386,13505675,23899354,40339744,64244644,92758831,119093487,138921516,144386853,131312747,105612845,76632293,51485502,33398497,21048471,12926650,7839749,4731086,2846840,1725947,1058115,655530,409468,256947,161462,101082,62838,38694,23631,14236,8400,4875,2719,1492,784,399,211,107,52,21,6"
rest,1865,"57075,88724,139520,226810,382355,670443,1215270,2247237,4166889,7584919,13566181,23743228,40036258,63877375,92354048,118829892,138868541,144558909,131556927,105938307,77020591,51889984,33755108,21336274,13138764,7983664,4821184,2897827,1752845,1072640,663652,414115,259588,162948,101999,63345,38971,23776,14309,8441,4903,2716,1490,779,395,204,109,54,21,6"
rest,1866,"56278,87357,136913,221956,373940,657090,1194816,2210346,4110654,7517378,13494524,23653148,39914806,63747694,92144519,118663301,138905567,144864129,132002429,106383765,77502516,52369242,34156736,21656225,13343952,8103364,4891697,2937224,1773340,1083091,668977,416661,260754,163554,102397,63671,39252,23997,14462,8533,4960,2738,1504,792,410,206,112,59,22,7"
rest,1867,"62967,96295,147325,231260,374705,631424,1114940,2053678,3893360,7315932,13385731,23592623,39783039,63557771,91855479,118325439,138734133,145088860,132552470,107045580,78153617,52954852,34656298,22078878,13670330,8317510,5016173,3002511,1803837,1095650,672067,415618,258959,162189,101501,63080,38854,23715,14287,8409,4884,2709,1488,786,402,203,112,62,23,7"
rest,1868,"76260,114293,171369,262706,414682,679202,1165873,2106420,3933032,7365108,13459863,23687679,39874392,63674389,92015813,118476610,138808514,145187893,132639178,107086736,78289156,53149711,34839557,22263922,13845275,8438152,5084451,3037357,1818914,1100738,672468,414011,256898,160290,99902,61796,37869,23010,13817,8142,4706,2623,1442,766,390,195,106,62,18,7"
rest,1869,"91861,134948,198896,299695,464889,748836,1263724,2229546,4070004,7446826,13401351,23426979,39386114,63079859,91502452,118224125,138829151,145464731,133114035,107694056,79021297,53851943,35429224,22691523,14122769,8605145,5182438,3092774,1848600,1116736,681668,419440,260108,162230,101080,62543,38348,23345,14021,8253,4782,2663,1466,772,397,201,110,62,20,7"
rest,1870,"91663,134775,198690,299351,464383,747931,1262056,2226605,4062833,7436126,13387632,23377255,39274149,63001039,91514748,118432635,139214062,146002069,133689480,108233134,79550421,54259915,35734646,22878147,14215719,8647294,5201271,3101116,1854087,1120445,683796,420412,260594,162462,101246,62649,38425,23389,14049,8274,4779,2662,1462,766,387,205,101,56,21,8"
rest,1871,"99454,144921,211691,315718,484321,770505,1284636,2247416,4072134,7440281,13394851,23390794,39286446,63000567,91522291,118470011,139331938,146173146,133996219,108725323,80162870,54838853,36216370,23234068,14453699,8805408,5307317,3171158,1899694,1149685,702218,432009,267990,167267,104424,64763,39823,24278,14608,8609,4990,2785,1529,803,412,215,114,59,23,8"
rest,1872,"103359,150301,219355,326604,499948,793306,1316088,2286452,4110943,7455157,13344496,23252665,39040180,62663585,91182048,118282124,139482364,146503520,134608632,109666990,81253188,55748057,36829881,23641167,14677198,8938949,5414221,3255998,1959000,1187912,727217,449032,279036,174385,109091,67887,41941,25705,15544,9210,5366,3011,1680,890,472,255,129,74,29,9"
rest,1873,"101002,147234,215504,321928,494688,786759,1305850,2278042,4121419,7524266,13445809,23335399,39108786,62719375,91342195,118664779,140119653,147110502,135133768,110201911,81835025,56292088,37225146,23913772,14827127,8992553,5429558,3260620,1961041,1188941,728324,450169,279813,174749,109238,67945,42002,25781,15635,9300,5448,3077,1723,912,489,262,137,79,30,13"
rest,1874,"89734,132837,197457,300201,470140,761342,1282098,2262447,4127667,7570030,13500676,23370009,39130416,62734131,91466332,119042021,140826076,147919850,136091609,111130532,82461191,56628854,37371373,23960012,14868460,9040878,5465936,3284658,1977020,1198436,733857,453738,282329,176415,110296,68546,42304,25893,15655,9297,5423,3043,1700,898,478,252,129,74,28,10"
rest,1875,"84629,125717,187361,285251,447381,725390,1222122,2163059,3998383,7446249,13484821,23476305,39335212,62948321,91582936,119142977,141068884,148179170,136476625,111794261,83342916,57549259,38100477,24427172,15139121,9188734,5540248,3322414,1995465,1206376,736260,453645,281358,175388,109408,67914,41888,25631,15491,9202,5367,3013,1676,879,476,246,129,72,29,11"
rest,1876,"62188,97552,152822,244973,403156,683111,1197088,2163471,4029026,7499777,13499130,23432415,39271191,62855010,91517732,119246208,141443688,148628731,137047118,112537539,84226746,58457571,38815627,24922566,15435488,9347912,5614450,3355749,2008232,1209302,735393,451554,279528,173902,108299,67146,41399,25321,15323,9108,5329,3004,1670,879,460,242,138,70,29,12"
rest,1877,"56558,88889,140320,228432,382715,657556,1163888,2102015,3909431,7303277,13240339,23146315,39013481,62665998,91504404,119614655,142231397,149403113,137774491,113332288,85112602,59301596,39468313,25383249,15726376,9495117,5687099,3394156,2027190,1217876,739093,452718,279507,173591,107997,66968,41301,25308,15360,9160,5370,3042,1676,889,464,249,141,73,35,18"
rest,1878,"55497,87069,137147,222677,372330,638491,1129638,2047666,3819038,7176032,13101990,23023519,38909682,62622648,91556829,119889332,142874112,150242066,138902771,114546571,86141183,59963071,39763008,25470666,15728769,9485723,5677454,3382035,2015726,1208981,732760,448400,276549,171539,106559,65998,40674,24916,15114,9005,5268,2987,1645,864,457,242,130,71,34,17"
rest,1879,"55285,87005,137271,223326,374031,640348,1129208,2037183,3776896,7079305,12958019,22869441,38795256,62536896,91491082,119968061,143297803,150891485,139939749,115789286,87235559,60786750,40316533,25785700,15911026,9603125,5743503,3413684,2029363,1213626,732984,447074,275004,170199,105595,65383,40292,24673,14981,8908,5204,2934,1615,857,447,240,120,67,31,13"
