world_4region,time,income_mountain_50bracket_shape_for_log
africa,1829,"8977,14516,22906,35615,54642,83219,127483,201492,332608,568920,996135,1724933,2897724,4584846,6617544,8625813,10251308,10968724,10481261,9160316,7332028,5465053,3801379,2466629,1524407,913156,536624,315179,185623,108847,63438,37150,22019,13216,8040,4953,3004,1826,1091,636,345,175,97,36,23,14,10,5,0,0"
africa,1830,"9094,14685,23201,36084,55353,84311,129204,204314,337411,576892,1009560,1745753,2926921,4626327,6675715,8699562,10335761,11058414,10568077,9238574,7399392,5519237,3841858,2494460,1541850,923769,543082,319100,187938,110201,64224,37598,22290,13375,8133,5008,3038,1849,1104,646,351,177,99,37,23,15,10,5,0,0"
africa,1831,"9201,14861,23455,36456,55839,84997,130125,205555,339268,580109,1015984,1758245,2948492,4663186,6733136,8777127,10426727,11157150,10664432,9325899,7474602,5579688,3886638,2524896,1560766,935234,550013,323239,190343,111644,65066,38091,22571,13543,8239,5077,3083,1871,1121,655,358,180,102,37,24,15,10,6,0,0"
africa,1832,"9296,14991,23633,36667,56093,85210,130141,204866,337223,576480,1010894,1756413,2960069,4700774,6802638,8868535,10529140,11263843,10766736,9417159,7550628,5640085,3931908,2556762,1581713,948410,557973,327963,193142,113293,66010,38636,22893,13747,8361,5147,3129,1904,1138,667,366,181,105,38,24,15,10,6,0,0"
africa,1833,"9351,15079,23771,36877,56423,85702,130850,205904,338888,579535,1017270,1769199,2981911,4736739,6859126,8945152,10620531,11365234,10867426,9509749,7629456,5703266,3979531,2590332,1603491,961968,566201,332846,195999,114989,66994,39197,23224,13933,8481,5220,3183,1924,1154,680,372,184,109,39,24,15,10,6,0,0"
africa,1834,"9402,15155,23872,37031,56592,85897,130985,205768,338143,577960,1014830,1767950,2987905,4759105,6907189,9019440,10719296,11482096,10985789,9617624,7719470,5773984,4032058,2626845,1627071,976601,575039,338116,199110,116822,68075,39814,23597,14163,8619,5301,3238,1962,1177,693,379,188,111,40,25,16,10,6,0,0"
africa,1835,"9489,15288,24073,37336,57095,86646,132116,207455,340915,582910,1024024,1784066,3016105,4803498,6971218,9098204,10809322,11579319,11084139,9708567,7797968,5837938,4080641,2661142,1649430,990492,583458,343072,202018,118522,69052,40396,23919,14362,8745,5374,3286,1996,1196,702,388,189,115,42,25,16,10,7,0,0"
africa,1836,"9550,15375,24222,37554,57420,87132,132821,208483,342451,585346,1028206,1792170,3031464,4832020,7020770,9172296,10907689,11694203,11200419,9814180,7886377,5907185,4132082,2697249,1672878,1005154,592389,348387,205154,120366,70133,41009,24285,14577,8871,5448,3339,2021,1215,715,397,193,116,44,25,16,10,7,0,0"
africa,1837,"9634,15522,24436,37892,57888,87826,133864,209965,344697,589008,1034670,1804627,3053778,4871594,7084881,9259404,11008362,11801898,11305011,9909648,7968009,5973118,4182224,2732505,1695957,1019616,601131,353553,208146,122115,71144,41585,24625,14774,8991,5523,3379,2049,1229,727,404,199,117,45,26,17,10,7,0,0"
africa,1838,"9684,15594,24566,38059,58147,88179,134259,210359,344974,589210,1035099,1807515,3063772,4895566,7131401,9330576,11102324,11913835,11423397,10023713,8070171,6057267,4245366,2776266,1723948,1036786,611414,359540,211537,124022,72206,42181,24961,14992,9115,5605,3443,2076,1248,737,409,204,121,47,26,17,10,7,0,0"
africa,1839,"9740,15683,24692,38236,58379,88437,134509,210373,344505,588355,1034722,1810684,3075959,4924475,7186223,9412945,11210160,12039184,11550287,10139580,8167439,6133756,4302518,2816240,1749803,1052863,621181,365343,214961,126054,73375,42858,25373,15226,9257,5695,3488,2118,1269,751,417,207,121,49,26,17,10,7,0,0"
africa,1840,"9790,15761,24803,38391,58562,88618,134540,209935,343143,585478,1029256,1804933,3076858,4941126,7228914,9485742,11313558,12167072,11687986,10274473,8288622,6230809,4372802,2863443,1779145,1070495,631811,371564,218488,128028,74505,43500,25745,15456,9409,5782,3542,2150,1294,762,430,209,124,53,27,18,10,8,0,0"
africa,1841,"9910,15935,25049,38731,58999,89142,135129,210429,343484,586113,1031529,1815124,3104234,4990958,7308547,9593931,11437984,12294244,11809544,10381205,8377282,6300446,4424398,2899393,1802414,1084987,640680,376886,221588,129861,75554,44106,26097,15669,9524,5852,3599,2172,1309,773,435,215,126,54,27,18,10,8,0,0"
africa,1842,"10459,16764,26193,40286,61011,91707,138325,214234,347863,591295,1037761,1825846,3126788,5032980,7377411,9690172,11557244,12427543,11940463,10498013,8474780,6376320,4480217,2938093,1827451,1100574,650175,382541,224926,131811,76703,44767,26487,15904,9669,5951,3654,2212,1333,785,443,219,127,57,27,18,10,8,0,0"
africa,1843,"11955,18960,29308,44520,66619,99041,147940,226769,364128,611891,1062245,1854002,3160800,5074650,7436161,9771611,11659905,12546565,12061981,10610101,8570930,6452725,4537176,2978089,1853272,1116560,659915,388296,228270,133749,77803,45396,26852,16119,9800,6030,3708,2247,1358,796,456,225,130,59,27,19,10,8,0,0"
africa,1844,"13596,21374,32724,49147,72689,107003,158301,240052,380779,632488,1087179,1881217,3184078,5092621,7473009,9844062,11764269,12676232,12199010,10739638,8683078,6541691,4601390,3020499,1879455,1132327,669300,393718,231339,135419,78701,45875,27128,16288,9901,6097,3750,2278,1374,809,459,231,131,62,29,19,10,8,0,0"
africa,1845,"14350,22485,34326,51355,75660,110949,163549,247005,390074,644862,1103220,1902809,3215778,5132587,7530546,9925400,11866824,12797948,12328484,10865980,8797095,6634755,4671801,3069972,1911716,1152582,681639,401036,235634,137933,80144,46682,27558,16512,10032,6165,3795,2307,1391,826,463,234,134,62,30,19,10,9,0,0"
africa,1846,"15641,24401,37039,55036,80562,117383,172056,258276,405037,664570,1128416,1935094,3258539,5185684,7597872,10009900,11969379,12918027,12454567,10986062,8900562,6716519,4731495,3111191,1938668,1169547,692137,407314,239258,139963,81268,47271,27872,16686,10122,6227,3827,2330,1406,833,471,241,136,60,31,20,10,9,0,0"
africa,1847,"15407,24057,36557,54406,79751,116430,171009,257270,404531,665881,1134767,1952197,3293251,5245149,7693109,10136911,12116040,13070564,12594538,11106679,8998609,6790971,4786248,3149949,1964318,1185799,702280,413437,242876,142132,82558,48023,28320,16965,10298,6335,3898,2374,1429,846,480,247,139,62,33,20,10,9,0,0"
africa,1848,"14382,22565,34501,51698,76269,112009,165386,250178,395848,656090,1125812,1947998,3301080,5285185,7777996,10264080,12278509,13251728,12767102,11253154,9115818,6879402,4850428,3194616,1993365,1203838,713189,420048,246759,144398,83866,48804,28804,17275,10493,6471,3971,2425,1459,857,490,250,144,62,35,20,10,9,0,0"
africa,1849,"12812,20273,31297,47402,70697,104862,156321,238968,382747,642038,1113423,1945498,3325330,5356263,7889746,10401584,12434518,13409563,12909891,11370757,9206451,6945130,4899286,3231519,2018420,1220182,723647,426543,250739,146828,85369,49690,29348,17612,10708,6592,4056,2477,1492,874,501,256,145,64,36,20,10,9,0,0"
africa,1850,"10748,17236,27026,41678,63324,95495,144520,224419,365488,622947,1096754,1937071,3327036,5378096,7942480,10489058,12558822,13560553,13066000,11512699,9324874,7036488,4967287,3280664,2051394,1241199,736857,434670,255606,149752,87082,50694,29923,17966,10921,6726,4142,2530,1522,890,515,263,146,66,37,20,11,10,0,0"
africa,1851,"10300,16633,26267,40829,62538,95041,144755,226293,370659,632873,1112989,1954975,3333505,5375282,7943579,10495609,12601572,13647265,13170225,11603770,9390791,7083886,5008503,3319467,2082310,1262117,749922,442617,260462,152711,88869,51713,30521,18298,11130,6836,4197,2566,1537,899,523,268,150,66,38,20,11,10,0,0"
africa,1852,"10188,16483,26084,40631,62362,94953,144831,226827,372212,635945,1118168,1962141,3338764,5376068,7947398,10510790,12643645,13721780,13256996,11683005,9451847,7127077,5040668,3345681,2101797,1275045,757952,447432,263354,154465,89913,52314,30872,18512,11244,6908,4243,2587,1554,904,527,271,150,66,38,20,11,10,0,0"
africa,1853,"9974,16193,25732,40212,61981,94731,145053,228098,375719,642455,1127165,1971151,3335339,5345282,7895462,10462115,12632644,13770467,13340796,11776902,9536691,7193592,5090422,3383855,2128732,1292476,768649,453623,266928,156500,91079,52959,31226,18699,11359,6981,4279,2609,1569,911,531,275,150,66,38,20,11,10,0,0"
africa,1854,"10009,16252,25799,40255,61929,94420,144215,226101,371366,633709,1109772,1941002,3295222,5299027,7855584,10447639,12674630,13870063,13455706,11881439,9625657,7258868,5135336,3413430,2145456,1301206,773235,456043,268159,157123,91396,53104,31272,18727,11366,6978,4279,2606,1572,912,527,276,151,67,38,20,11,10,0,0"
africa,1855,"9873,16061,25538,39957,61579,94042,143807,225629,370893,632532,1104465,1925446,3264818,5253354,7803330,10406257,12677267,13940531,13560297,11990208,9720771,7330363,5187880,3453428,2173950,1319830,784669,462640,271924,159233,92551,53712,31595,18898,11467,7028,4308,2625,1581,917,534,280,152,67,38,20,11,10,0,0"
africa,1856,"10483,16936,26763,41578,63616,96478,146729,229220,375399,638418,1112422,1937336,3285011,5289892,7853033,10472370,12748267,13993860,13593160,12007701,9743333,7351936,5201190,3455218,2167816,1312915,779809,459873,270115,158164,91929,53364,31391,18771,11385,6979,4289,2620,1582,913,535,274,153,67,38,20,11,10,0,0"
africa,1857,"10001,16252,25789,40219,61764,93951,143051,223485,366063,623672,1089786,1904925,3244959,5245219,7817543,10441525,12742075,14047363,13692215,12120382,9842027,7433437,5267259,3510588,2210763,1342369,798585,471232,277023,162270,94390,54784,32198,19236,11645,7127,4370,2660,1601,924,539,283,154,68,38,20,11,10,0,0"
africa,1858,"10358,16755,26454,41025,62551,94477,142899,221404,359571,610564,1067257,1873871,3211081,5220833,7837534,10518026,12832099,14113612,13759854,12173804,9888408,7479341,5304261,3533794,2223520,1350072,804071,475395,279892,164316,95820,55749,32836,19625,11874,7257,4432,2702,1630,940,550,290,155,69,38,20,11,10,0,0"
africa,1859,"10296,16680,26368,40947,62543,94569,143151,221766,359886,610475,1067519,1877339,3215168,5226552,7875731,10624031,12927483,14138302,13776912,12185290,9895581,7497093,5329696,3557874,2244369,1365925,815009,482388,284230,167086,97650,56977,33639,20162,12235,7490,4584,2791,1687,977,574,306,165,75,38,20,11,10,0,0"
africa,1860,"10215,16574,26225,40757,62296,94233,142619,220853,358208,607405,1061693,1866487,3194652,5189629,7824837,10569387,12901298,14177398,13887695,12329000,10020062,7584803,5389392,3599412,2271448,1382522,825072,488237,287570,168993,98767,57593,33992,20375,12354,7570,4635,2826,1700,994,580,309,165,78,38,20,11,10,0,0"
africa,1861,"10438,16884,26654,41335,62987,95027,143526,221800,358861,606953,1058336,1857104,3174639,5148733,7747415,10482682,12880092,14264321,14047940,12500395,10151722,7668060,5436885,3624045,2283049,1387799,827690,489738,288306,169321,98836,57557,33895,20276,12274,7506,4600,2804,1692,987,576,305,166,75,38,20,11,10,0,0"
africa,1862,"11639,18583,28943,44232,66548,99459,149334,229684,369897,622870,1081512,1892058,3227992,5208142,7798626,10525114,12913716,14311523,14092038,12540302,10185258,7685068,5435188,3611865,2269776,1377979,821811,486125,286057,167915,97988,57036,33572,20056,12148,7449,4565,2789,1679,987,569,299,167,74,38,20,11,10,0,0"
africa,1863,"11377,18232,28479,43673,65841,98546,148031,227690,366564,617116,1071523,1875588,3204299,5178778,7760515,10506891,12952773,14408234,14208360,12642588,10270202,7751348,5485018,3648515,2294129,1392985,830709,491240,288826,169343,98694,57359,33704,20114,12162,7443,4565,2781,1672,985,569,295,163,74,38,20,11,10,0,0"
africa,1864,"10242,16620,26277,40803,62274,94043,142032,219204,353912,597137,1038863,1821523,3117913,5058972,7631458,10414074,12975893,14550764,14400351,12814648,10403855,7856399,5573205,3724591,2352407,1431448,853847,504595,296401,173509,100979,58531,34300,20441,12334,7525,4603,2802,1680,983,567,308,159,75,38,20,11,10,0,0"
africa,1865,"11362,18199,28446,43598,65697,98170,147149,225636,361995,608042,1054710,1846804,3164176,5127359,7702568,10504127,13059873,14612088,14436692,12833083,10421435,7865199,5566811,3706459,2332062,1415816,843959,498754,292879,171481,99790,57871,33916,20196,12216,7470,4580,2800,1680,991,570,301,160,76,38,20,11,10,0,0"
africa,1866,"11237,18004,28202,43297,65294,97588,146003,223015,356850,601995,1053670,1860603,3220912,5204803,7717587,10434822,12987914,14605082,14505786,12902494,10481170,7933449,5638027,3769105,2376141,1443706,861056,509134,299112,175194,101901,58917,34363,20365,12263,7489,4603,2813,1705,997,581,300,162,80,38,20,11,10,0,0"
africa,1867,"10656,17281,27359,42381,64445,96997,145864,223815,359362,607229,1063676,1881216,3257729,5269784,7809132,10507451,13031477,14622726,14537635,12959898,10510506,7917982,5625902,3771737,2388698,1458629,872872,517258,304297,178361,103763,59939,34916,20657,12427,7567,4639,2839,1718,1007,580,310,163,81,38,20,11,10,0,0"
africa,1868,"10656,17312,27431,42506,64676,97350,146379,224747,361526,612108,1074635,1907965,3322595,5400927,8015396,10731493,13205335,14647274,14433621,12827999,10427711,7881520,5617699,3774228,2392274,1461020,874188,517837,304422,178285,103646,59820,34799,20562,12359,7522,4603,2812,1699,1000,576,309,164,80,38,20,11,10,0,0"
africa,1869,"10726,17415,27594,42715,64927,97605,146627,224868,361331,611157,1072124,1903535,3316211,5399398,8024927,10757010,13246499,14709009,14510508,12906278,10500467,7941220,5662289,3804960,2411979,1472973,881447,522122,306758,179519,104281,60121,34931,20607,12364,7527,4604,2817,1698,998,578,309,164,80,37,20,11,10,0,0"
africa,1870,"10561,17179,27186,42144,64202,96730,145492,223280,358912,607183,1065416,1892414,3298474,5375999,8003383,10745521,13261129,14771130,14613821,13029915,10613023,8024992,5720707,3845602,2437395,1487524,889422,526335,308934,180530,104731,60293,34978,20604,12365,7512,4589,2807,1689,998,571,311,165,79,37,20,11,10,0,0"
africa,1871,"10582,17233,27291,42296,64401,96989,145788,223554,358960,606669,1063815,1889099,3293306,5373974,8008297,10761224,13290123,14829943,14700350,13131262,10707214,8094016,5768106,3877626,2456623,1498236,894840,528701,309765,180685,104653,60127,34814,20469,12264,7434,4547,2781,1675,989,566,307,164,76,37,20,11,10,0,0"
africa,1872,"9663,15947,25416,39691,60952,92705,140512,216731,349465,592847,1042931,1857433,3244353,5301900,7919671,10685988,13239880,14867666,14835215,13311226,10874919,8216893,5856490,3951937,2524645,1553483,932854,552060,323350,188675,109217,62716,36254,21300,12748,7742,4721,2877,1722,1012,580,310,178,80,38,20,11,10,0,0"
africa,1873,"10150,16553,26253,40821,62447,94587,142904,219761,353343,598144,1051184,1870554,3264156,5340323,7990789,10784499,13350496,14980264,14915412,13356083,10890828,8226166,5860735,3952168,2517106,1541360,922146,544868,319162,186093,107734,61881,35786,21034,12595,7649,4672,2847,1709,1006,578,313,176,77,38,21,12,10,0,0"
africa,1874,"10370,16822,26588,41242,62955,95194,143676,220715,354454,599740,1054288,1875533,3272320,5360890,8032694,10845848,13423054,15056277,14985425,13411289,10932139,8263830,5890413,3976323,2535364,1553190,929768,549969,322611,188317,109186,62793,36338,21360,12801,7745,4733,2886,1730,1025,589,322,180,86,38,21,12,10,0,0"
africa,1875,"10225,16557,26124,40498,61827,93602,141451,217444,349351,591362,1040883,1857216,3244665,5328784,8008485,10849323,13457050,15142211,15117820,13527557,11023124,8333872,5930474,4010993,2573589,1585905,954048,566776,333597,195579,113841,65655,38024,22373,13399,8140,4990,3053,1835,1095,636,350,199,93,50,27,13,10,1,0"
africa,1876,"10092,16329,25658,39710,60598,91780,138835,213498,343013,580909,1023867,1833108,3215587,5295296,7974557,10827689,13460056,15187300,15220100,13660857,11153277,8438611,6003851,4068700,2620591,1622455,979888,583609,343969,201989,117811,68143,39583,23321,13999,8516,5214,3189,1924,1143,669,370,214,106,53,32,20,10,1,0"
africa,1877,"10345,16648,26084,40244,61309,92700,140029,214996,344716,582955,1027103,1838651,3221871,5311623,8014765,10899236,13554159,15307970,15336415,13752889,11202833,8455747,6003312,4066126,2617243,1617903,975501,580748,342270,200906,117218,67803,39406,23268,13992,8544,5248,3225,1951,1166,682,383,223,105,57,32,23,10,1,0"
africa,1878,"10523,16868,26369,40629,61777,93325,140893,216140,346038,584517,1029439,1842170,3225080,5319109,8033485,10929579,13588030,15360487,15413450,13840396,11280323,8515843,6046333,4100610,2645589,1638936,989845,589968,347875,204201,119156,68987,40173,23783,14328,8762,5384,3307,2007,1198,698,392,228,108,57,33,24,10,1,0"
africa,1879,"10909,17504,27245,41801,63304,95324,143582,219715,350479,589173,1032352,1843020,3228719,5321436,8029120,10918237,13573323,15366172,15469109,13930239,11377290,8600753,6119500,4163639,2700416,1682670,1020227,608713,358378,209895,122145,70541,41005,24225,14587,8913,5467,3337,2021,1198,693,384,224,111,55,33,23,10,1,0"
africa,1880,"11230,18084,28074,42888,64667,97072,145979,223006,354606,593639,1034705,1839932,3227059,5321707,8027671,10917349,13583490,15396237,15538322,14033690,11487807,8696035,6183894,4206161,2733137,1710093,1041710,623261,367077,214538,124745,71904,41645,24486,14696,8968,5496,3368,2032,1204,694,383,222,112,52,33,19,10,1,0"
africa,1881,"11662,18643,28850,43963,66132,99089,148736,226744,359610,600552,1045516,1859396,3257915,5368622,8101420,11016050,13683232,15490220,15607557,14065376,11493333,8693487,6188862,4220027,2750801,1723562,1049981,628236,369794,216104,125487,72253,41838,24622,14770,9010,5509,3360,2021,1191,684,378,217,111,51,33,15,10,1,0"
africa,1882,"11937,18980,29311,44569,66969,100229,150364,228949,362514,604621,1052746,1873857,3279359,5402256,8159480,11105884,13784452,15597956,15701769,14128853,11527488,8711450,6201892,4230756,2758506,1726101,1049546,627270,369033,215529,125021,71937,41609,24480,14669,8943,5463,3342,2012,1185,677,374,216,106,51,28,15,10,2,0"
africa,1883,"12651,19893,30580,46325,69260,103144,154039,233763,369322,617441,1080119,1910413,3305444,5430549,8201979,11166574,13851834,15676226,15764134,14184240,11581437,8787066,6262901,4263686,2765877,1715910,1035584,616827,362724,211519,122565,70485,40793,24036,14417,8766,5358,3285,1984,1175,676,372,212,97,54,24,15,10,2,0"
africa,1884,"13028,20409,31277,47253,70465,104679,156052,236548,373701,626712,1098091,1927493,3324615,5461153,8251920,11227947,13918270,15734163,15818969,14230993,11632666,8845272,6318657,4307078,2797465,1733334,1043153,620016,363475,210578,121098,69258,39978,23486,14064,8537,5208,3193,1925,1136,652,358,203,95,45,25,16,10,2,0"
