un_sdg_region,time,income_mountain_50bracket_shape_for_log
un_australia_and_new_zealand,1839,"0,2,5,10,15,25,40,65,111,202,397,837,1810,3822,7727,15161,28964,50168,71981,80910,73190,56776,38060,22608,13139,7697,4481,2593,1504,883,532,333,217,148,105,76,57,41,30,22,15,11,8,4,3,2,1,1,0,0"
un_australia_and_new_zealand,1840,"0,1,3,7,13,21,33,54,90,155,290,582,1216,2576,5385,10883,20837,36590,56525,73065,77633,69020,53022,35545,21706,12830,7545,4383,2514,1446,837,493,298,186,119,79,53,36,25,17,12,8,6,3,2,1,1,0,0,0"
un_australia_and_new_zealand,1841,"0,2,4,9,15,24,39,64,106,187,355,730,1573,3368,6929,13700,26300,46591,69664,83041,79445,64566,45602,28018,16381,9608,5604,3225,1851,1070,630,386,244,162,113,80,58,42,31,22,16,11,8,4,3,2,1,1,0,0"
un_australia_and_new_zealand,1842,"0,2,5,10,17,26,43,69,116,209,409,860,1872,3981,8051,15845,30790,54709,79279,88706,79899,61698,40970,24249,14103,8264,4809,2782,1614,947,570,357,234,160,113,82,61,44,33,23,17,12,8,5,3,2,1,1,0,0"
un_australia_and_new_zealand,1843,"0,1,3,8,15,24,39,62,102,177,329,667,1429,3083,6425,12853,24941,45170,69832,86722,86487,72511,52811,33418,19737,11588,6778,3913,2241,1292,755,454,283,184,124,87,61,45,32,23,17,11,8,4,3,2,1,1,0,0"
un_australia_and_new_zealand,1844,"0,1,2,6,13,21,34,54,89,151,275,541,1129,2425,5139,10547,20751,38309,61972,82524,89651,81053,62919,42705,26267,15556,9166,5342,3073,1770,1024,601,362,223,141,93,62,42,30,21,14,9,6,4,2,1,1,0,0,0"
un_australia_and_new_zealand,1845,"0,0,2,6,12,21,33,53,87,148,266,518,1076,2311,4914,10143,20081,37496,61760,83833,92767,85440,67273,46192,28658,17015,10037,5858,3373,1941,1123,657,394,242,152,99,65,44,30,21,14,9,6,4,2,1,1,0,0,0"
un_australia_and_new_zealand,1846,"0,0,2,5,12,20,31,50,81,137,243,467,952,2015,4272,8909,17755,33115,55524,78855,92454,90800,75704,54926,35804,21810,12953,7608,4405,2522,1450,833,487,289,175,108,68,44,28,19,12,7,5,3,1,1,0,0,0,0"
un_australia_and_new_zealand,1847,"0,0,1,3,7,11,18,31,50,90,166,331,695,1488,3202,6860,14108,26642,45378,69269,89335,96000,86927,67707,46461,29310,17659,10451,6076,3474,1978,1132,651,382,228,139,86,54,35,23,15,9,6,4,2,1,1,0,0,0"
un_australia_and_new_zealand,1848,"0,0,1,3,7,11,17,27,46,79,147,290,605,1269,2683,5696,11859,22595,38052,58876,81626,95517,94554,80172,59110,38917,23813,14037,8111,4604,2583,1457,829,478,283,169,103,64,41,26,17,11,7,4,2,1,1,0,0,0"
un_australia_and_new_zealand,1849,"0,0,1,3,7,11,18,28,46,81,147,290,607,1283,2737,5836,12190,23478,40246,62783,86597,100611,98814,82999,60755,39848,24365,14391,8332,4736,2662,1507,861,498,296,178,110,68,44,27,17,12,7,5,2,1,1,0,0,0"
un_australia_and_new_zealand,1850,"0,0,1,3,7,12,21,33,54,92,167,324,668,1419,3063,6566,13667,26454,46236,72363,96509,107635,101582,82805,59438,38513,23363,13792,7994,4543,2558,1450,828,482,287,173,107,67,43,28,18,12,7,5,2,1,1,0,0,0"
un_australia_and_new_zealand,1851,"0,0,1,3,6,11,17,27,44,74,132,253,520,1090,2300,4867,10330,20616,36723,59210,86744,107748,112760,100554,78131,53787,33754,20054,11678,6681,3766,2117,1207,692,407,243,147,91,57,36,24,15,9,6,4,2,1,1,0,0"
un_australia_and_new_zealand,1852,"0,0,1,4,8,12,18,27,42,68,119,222,449,932,1918,3976,8332,16859,30598,49444,75082,102256,117945,115306,96859,71936,47777,29196,17121,9844,5563,3103,1738,984,562,331,196,120,74,47,31,19,13,8,5,3,1,1,0,0"
un_australia_and_new_zealand,1853,"0,0,0,5,12,19,27,39,56,83,133,230,437,873,1755,3560,7317,14894,27737,45676,70420,100689,122583,126436,111533,86505,59959,37704,22457,13042,7396,4101,2250,1249,695,399,233,139,85,53,33,21,14,8,5,4,2,1,0,0"
un_australia_and_new_zealand,1854,"0,0,1,8,14,22,31,44,62,93,150,256,481,963,1991,4151,8680,17817,34299,59826,93596,125502,140679,133201,108972,79212,51935,31665,18671,10795,6128,3445,1955,1120,653,391,237,147,94,60,40,26,17,10,7,5,2,1,1,0"
un_australia_and_new_zealand,1855,"0,0,2,10,18,27,39,55,80,121,191,320,579,1119,2274,4688,9677,19656,38368,69244,109313,142242,153763,141193,112227,79289,50818,30840,18265,10573,6013,3406,1957,1139,679,412,255,160,102,65,44,28,18,12,7,5,2,1,1,0"
un_australia_and_new_zealand,1856,"0,0,0,6,14,23,34,49,71,108,170,280,495,930,1817,3653,7385,14966,29266,53071,87631,127900,155511,159174,140561,109605,76436,48364,29368,17327,9894,5513,3052,1709,969,565,337,206,127,81,52,35,22,15,9,6,3,2,1,1"
un_australia_and_new_zealand,1857,"0,0,1,9,17,27,39,55,80,121,190,311,545,1024,2047,4242,8821,18106,36169,68326,114495,157801,177812,170342,141019,102363,66892,41092,24555,14329,8217,4690,2710,1581,936,564,344,213,134,86,55,36,24,15,10,6,3,2,1,1"
un_australia_and_new_zealand,1858,"0,0,0,7,17,29,45,68,103,157,245,394,676,1246,2519,5385,11743,25300,52893,99826,153813,189532,193998,170213,129431,87300,54786,32960,19439,11396,6724,4037,2455,1500,929,573,359,226,144,93,60,39,25,15,10,6,3,2,1,1"
