global,time,income_mountain_50bracket_shape_for_log
world,1820,"63279,100700,165560,280914,489342,856026,1482269,2483983,4206164,7307308,13023094,23086802,39290587,62300887,89517613,114289467,132566362,137634801,126638368,104534076,78413307,55160427,36718710,23329523,14294485,8605212,5214425,3193789,1944017,1168001,699313,422724,255457,154002,92949,55707,33033,19437,11142,6182,3262,1743,888,417,204,102,54,25,10,5"
world,1821,"61546,97858,161171,274246,479469,842951,1469238,2480534,4224819,7362328,13137992,23305557,39650986,62838802,90164511,114916890,133130245,138116822,127096698,105046099,78900669,55679781,37175106,23674726,14564704,8789607,5331884,3267356,1988088,1193248,713496,430752,260064,156667,94528,56682,33629,19800,11363,6316,3337,1778,905,425,206,105,54,27,10,5"
world,1822,"61417,97460,160405,272903,476979,839754,1468300,2491600,4260317,7437878,13274674,23547942,40048768,63391436,90824238,115588356,133752551,138579215,127456197,105331243,79316479,56204343,37692251,24055954,14797356,8925990,5412219,3317587,2019524,1212018,724466,437167,263888,158945,95914,57490,34123,20081,11525,6402,3388,1789,927,432,209,109,56,27,10,6"
world,1823,"61442,97306,159785,271622,474284,835985,1466212,2500905,4292391,7506197,13397268,23764167,40399075,63871605,91391306,116175592,134319986,139063602,127909642,105758915,79748400,56704544,38209715,24500765,15143166,9170765,5574326,3420914,2083129,1249538,745772,449079,270672,162781,98134,58827,34909,20557,11792,6560,3467,1828,949,443,217,117,64,35,15,10"
world,1824,"61526,97266,159186,270874,472971,834982,1469018,2519253,4341155,7605109,13565608,24041852,40836002,64427500,92008660,116758976,134817791,139382902,128091681,105932205,80060958,57245573,38854321,25074084,15587476,9475130,5770457,3554807,2174685,1307267,779588,468055,281866,169142,101889,61070,36286,21396,12310,6864,3641,1918,1003,468,242,123,67,36,17,10"
world,1825,"61725,97476,159188,270662,472138,834009,1470151,2532390,4376709,7675705,13689395,24257376,41178296,64917812,92598260,117395543,135520540,140090826,128750048,106440835,80570749,57727334,39280531,25381299,15788896,9613503,5869334,3624985,2223632,1339722,800028,480433,289423,173677,104628,62739,37290,22004,12690,7084,3770,1994,1037,500,244,128,71,37,17,10"
world,1826,"61684,97192,159261,269925,469980,830300,1465442,2534433,4393082,7716234,13770490,24419113,41437647,65310742,93088568,117919787,136094364,140716908,129422923,107105625,81278056,58436686,39922741,25860616,16124023,9804615,5953507,3643905,2212864,1324297,789010,474601,285713,171946,103818,62388,37198,21986,12704,7118,3824,2032,1072,518,254,132,63,31,10,6"
world,1827,"61830,97195,158143,268146,466539,825033,1459502,2537243,4414863,7770697,13873302,24611448,41760813,65775212,93666928,118572885,136818394,141430039,130121608,107731889,81839296,58919713,40316654,26154219,16325238,9960701,6085941,3758136,2303220,1386222,827196,496625,299089,179525,108209,64948,38673,22848,13211,7425,3970,2092,1106,543,266,148,78,39,18,10"
world,1828,"61951,97235,158176,267893,465631,823991,1460401,2551002,4454565,7855005,14022930,24868703,42177226,66341130,94326699,119262324,137504473,142079533,130792882,108399369,82479142,59469558,40738316,26422644,16486921,10058563,6146850,3792904,2321041,1395201,832187,499783,300992,180721,108972,65393,38957,23026,13314,7478,4014,2120,1127,555,272,151,84,40,17,10"
world,1829,"61952,97125,158446,268236,465450,823734,1462258,2566748,4498232,7945870,14180396,25132311,42594528,66887024,94942735,119864613,138039344,142507991,131231580,108864624,82977734,59979418,41216329,26832483,16800321,10265941,6281545,3876165,2371045,1424722,849446,509788,306592,183842,110684,66339,39493,23314,13466,7568,4064,2135,1136,560,268,151,81,42,18,10"
world,1830,"62006,97057,157808,267378,463782,821300,1460379,2575273,4528914,8013865,14301291,25342018,42933557,67359502,95531846,120541896,138752425,143172210,131822350,109366606,83377080,60365522,41569752,27065163,16943349,10377745,6365702,3947647,2429143,1465623,875357,525313,316308,189677,114196,68461,40747,24052,13924,7821,4204,2214,1179,582,278,158,88,44,19,10"
world,1831,"61894,96737,157079,266037,460699,815694,1451660,2569420,4530961,8029831,14332017,25400102,43044681,67537976,95804805,120899053,139154781,143585363,132240337,109833575,83920822,60952899,42244378,27653830,17395407,10716712,6584879,4082843,2509859,1511980,901395,540037,324763,194563,117097,70187,41818,24712,14317,8059,4346,2296,1236,606,295,162,97,46,19,10"
world,1832,"61854,96529,155980,264352,457586,810347,1443580,2563882,4532830,8044829,14360004,25451540,43138497,67697385,96038896,121173751,139467765,143871351,132460962,110082855,84305082,61493050,42955248,28370571,17968021,11128186,6853082,4255353,2619551,1578446,939491,561251,336896,201452,121008,72463,43136,25475,14776,8337,4500,2373,1281,633,309,169,102,44,20,10"
world,1833,"61691,96196,155241,262631,453861,803431,1432040,2551974,4523244,8039302,14356549,25456246,43153779,67774136,96227525,121496205,139949446,144498801,133139722,110695539,84865990,61968666,43358738,28694855,18194142,11293622,6975609,4339459,2673478,1611354,959342,573239,344087,205720,123597,74045,44113,26062,15126,8532,4614,2435,1314,646,318,172,102,45,20,10"
world,1834,"61548,95882,154625,261518,451362,798662,1424250,2545029,4520830,8044027,14367718,25481182,43193944,67877083,96433795,121813217,140421317,145132251,133854712,111336242,85404482,62498920,43827140,29024433,18422683,11420317,7034923,4369000,2692897,1625766,969359,579567,348173,208256,125154,74992,44693,26407,15319,8639,4662,2453,1311,648,320,172,94,44,20,11"
world,1835,"61292,95489,153069,258937,447133,791770,1414687,2538481,4524441,8065379,14405245,25532366,43271842,67966749,96549277,121935320,140529390,145245355,134039177,111677898,85866478,63094346,44545251,29734176,18977963,11826805,7314597,4571189,2843051,1729689,1034714,617537,370936,221530,132783,79507,47377,27997,16325,9238,4998,2627,1397,693,338,184,98,51,22,13"
world,1836,"61217,95343,152651,258001,445124,788144,1409796,2537291,4534384,8094583,14455581,25610355,43399659,68155721,96838806,122314053,140948003,145724158,134582880,112289750,86482273,63693315,45011602,30049706,19129414,11887302,7362625,4618665,2887092,1764880,1058957,632681,380397,227326,136201,81578,48642,28755,16786,9515,5148,2704,1424,709,337,186,99,53,23,14"
world,1837,"61107,95083,152388,257443,443369,784150,1402502,2529551,4529990,8095617,14460750,25621942,43403633,68197040,96951136,122480759,141196486,146125483,135135364,112945543,87233460,64532644,45774290,30581836,19454988,12056224,7445800,4656379,2901349,1769549,1060990,634636,381903,228530,137215,82300,49143,29102,16995,9634,5208,2738,1445,720,345,183,98,52,22,13"
world,1838,"61015,94857,151630,256016,440646,779071,1394748,2522716,4530907,8110375,14488969,25664226,43465991,68286960,97088458,122655280,141412101,146444776,135586479,113488011,87725864,65017315,46333910,31164828,19968207,12434848,7691051,4817932,3012374,1843529,1106649,661155,397716,238001,142761,85670,51200,30342,17784,10110,5491,2890,1532,756,359,192,109,53,23,15"
world,1839,"60999,94773,151447,255459,439032,775721,1389709,2519447,4536276,8130634,14524397,25716445,43552475,68416039,97287277,122905215,141727469,146933781,136280690,114280588,88507020,65666970,46800664,31496861,20135248,12530380,7765150,4865218,3035108,1851327,1108159,661144,397112,237275,142247,85250,50906,30190,17675,10045,5469,2879,1533,759,368,200,111,56,23,14"
world,1840,"60836,94439,150498,253763,435817,769344,1378577,2503785,4519088,8111322,14497383,25681726,43498948,68384938,97317831,123009405,141978700,147345960,136786835,114803242,89022822,66303125,47563054,32224877,20761836,12947038,7963725,4938723,3059913,1863497,1116240,666146,401024,240283,144487,87182,52378,31199,18310,10438,5696,2999,1581,789,382,204,117,58,24,15"
world,1841,"60519,93874,149866,252804,433792,765328,1372306,2496984,4516946,8116984,14508538,25697574,43535184,68464138,97482646,123266801,142337796,147857144,137416188,115444316,89624934,66816620,48002969,32551630,21033055,13172595,8140555,5071707,3148479,1913766,1141986,679594,407822,243765,146304,87810,52544,31228,18317,10456,5718,3019,1603,807,395,209,115,59,23,14"
world,1842,"60955,94474,150815,253785,434085,764019,1368938,2492721,4517290,8125035,14523193,25719806,43580649,68564511,97682839,123519275,142600039,148224108,137937837,116093841,90362523,67588712,48656654,33019431,21310917,13297244,8191165,5084238,3142872,1904131,1134590,675577,405538,242633,145905,87667,52514,31228,18314,10439,5710,3019,1604,801,397,208,114,57,22,14"
world,1843,"62624,96902,153741,257585,438685,768810,1374630,2502174,4539840,8168362,14589023,25805078,43707044,68744904,97960788,123885343,143007808,148660440,138368202,116479436,90659480,67873276,49015706,33440344,21658284,13563602,8380386,5221004,3243470,1974209,1179004,701469,421058,251859,151198,90850,54401,32348,18976,10831,5942,3138,1669,831,418,219,122,59,24,15"
world,1844,"65827,101801,160263,265467,448422,779215,1385213,2514458,4566696,8225786,14686379,25938015,43893331,68981079,98310166,124357237,143499965,149080583,138661920,116704508,90731596,67908324,49227564,33885977,22130824,13979015,8675708,5400776,3350625,2046852,1232285,737730,444904,267836,161613,98298,59559,35657,20980,12005,6585,3490,1849,934,483,250,143,74,28,19"
world,1845,"68569,106331,168224,278304,467793,806906,1425891,2576553,4669640,8391452,14929010,26273329,44372439,69583377,99084836,125327043,144555394,150102239,139505320,117433972,91135654,67715904,48578791,33268372,21673068,13693109,8549952,5352256,3336729,2054552,1251995,758230,460370,278445,168343,102824,62628,37683,22261,12790,7050,3758,1999,1017,521,283,156,81,30,20"
world,1846,"70049,108595,171466,282894,473659,814089,1436060,2592908,4703387,8453490,15024421,26411730,44579859,69859597,99488532,125869538,145175781,150808174,140213842,117994020,91419646,67845952,48673606,33386170,21773905,13788811,8656205,5463091,3432871,2121432,1291269,779558,471865,284425,171372,104052,62992,37782,22283,12810,7084,3781,2021,1022,534,285,160,84,28,19"
world,1847,"69633,107539,169660,280280,469018,805289,1421491,2571342,4681909,8437881,15017338,26417467,44622724,69942737,99599043,125971157,145318514,150972759,140475347,118441258,92008094,68453301,49320401,34078610,22368705,14271137,8998511,5696606,3586204,2212192,1338576,802825,483235,289252,173088,104190,62596,37414,22082,12726,7063,3796,2029,1045,539,283,156,90,26,18"
world,1848,"68295,105506,166333,275186,461536,793440,1403046,2543781,4648484,8399874,14982924,26379936,44588530,69980159,99791901,126395175,145935822,151774824,141305901,119247449,92770774,69159438,49856400,34424226,22535968,14286793,8968628,5658027,3553000,2192729,1331563,801796,484133,291086,174863,105956,64049,38412,22685,13049,7252,3882,2071,1068,555,285,168,94,32,20"
world,1849,"66130,102098,161324,267722,450512,776871,1379677,2513010,4618933,8380453,14976397,26397763,44662282,70103231,99970073,126601836,146125673,151901420,141404161,119553800,93240670,69739909,50595832,35192348,23160033,14702664,9185236,5739717,3569042,2192063,1331539,803778,486404,293122,176426,107389,65316,39395,23351,13482,7522,4030,2162,1121,576,302,175,97,35,20"
world,1850,"64022,99070,157215,262492,443538,767338,1367515,2497828,4607145,8373485,14965845,26373961,44605987,69999455,99867950,126504891,146083396,151959757,141624417,119976363,93832691,70486118,51315183,35797681,23611424,15036799,9422369,5915999,3692894,2266842,1370249,821711,494354,296211,177422,107280,64777,38873,22971,13251,7386,3961,2117,1110,561,292,167,95,36,19"
world,1851,"62729,97449,154812,258827,438376,758409,1351326,2468753,4562097,8301152,14848761,26152988,44238137,69544329,99413694,126150689,145960464,152135495,141929375,120401297,94563621,71381640,52244029,36556276,24188102,15414155,9643410,6025324,3738989,2286653,1382228,829536,498920,299052,179091,108572,65879,39653,23451,13520,7535,4033,2161,1098,569,294,168,91,39,20"
world,1852,"61780,95289,150311,249651,423272,733178,1310753,2405958,4478896,8201608,14723274,25981940,43983728,69227944,99096523,125908310,145866675,152189885,142055868,120621384,94979676,71937111,52924521,37292933,24843308,15916286,9948549,6175129,3800542,2300280,1375933,817519,487808,290246,172361,103531,62354,37408,22178,12875,7288,3920,2107,1079,549,277,153,86,34,16"
world,1853,"61172,94147,148046,244057,412654,714327,1278590,2352972,4400016,8086595,14561440,25719726,43579964,68769762,98647284,125609966,145876849,152550648,142557761,121071771,95425644,72361824,53413602,37721692,25179806,16125611,10107339,6284615,3881852,2355773,1410821,838518,499670,297101,176059,105574,63518,38085,22572,13095,7391,3983,2125,1080,558,277,153,80,36,17"
world,1854,"61847,95164,149456,244658,411972,711716,1273567,2343778,4387756,8067142,14510297,25600247,43337496,68408865,98225881,125207461,145564746,152366197,142495794,121153562,95625141,72667497,53904544,38295400,25745049,16639326,10521021,6601535,4122941,2524311,1514716,897644,531879,315474,186180,110894,66270,39546,23417,13615,7706,4163,2222,1127,586,296,164,87,39,20"
world,1855,"60017,92883,146305,241308,407774,704456,1259715,2317650,4343460,7992217,14388431,25359661,42917186,67863370,97537547,124502632,145085798,152358673,143026570,122270061,97159447,74034125,54813139,38754856,25880152,16616493,10423707,6473819,3990192,2417828,1445780,857752,510529,303525,180015,108047,65145,39136,23230,13492,7630,4128,2210,1127,592,298,166,88,41,20"
world,1856,"59749,92344,145214,237760,399324,688334,1230200,2266080,4259346,7859945,14195561,25049287,42418035,67251270,96813700,123744854,144424160,151966359,142887536,122291523,97241015,74325737,55443649,39741180,26944413,17587708,11217676,7086223,4445482,2734983,1652246,985536,587901,349856,206598,124330,75515,45594,27129,15724,8820,4707,2483,1268,671,346,198,110,52,28"
world,1857,"57923,89727,141300,232868,392588,678349,1215247,2243760,4230408,7823997,14131414,24900622,42102722,66703490,96053765,123081232,144149223,152176794,143214221,122563433,97599411,74897728,56031403,40326395,27482969,18043605,11596014,7382562,4656074,2875356,1741489,1040069,621527,370017,218709,131806,80141,48424,28828,16690,9352,4998,2652,1357,719,375,214,117,56,30"
world,1858,"57411,88458,138619,228751,387114,668894,1197372,2210725,4173465,7732410,13996779,24681167,41743524,66308687,95634968,122736679,144024226,152319092,143542018,123030265,98387037,75922714,56954651,41072430,27961076,18246779,11617002,7308576,4553918,2774933,1657303,979654,580416,344685,203902,121647,72786,43523,25852,15082,8613,4712,2547,1308,689,342,199,98,43,23"
world,1859,"57098,88047,138180,226917,382139,659556,1181487,2185027,4135360,7680031,13924257,24560260,41541446,66085299,95454611,122741487,144189270,152455679,143605153,123008907,98426266,75986640,57237590,41432607,28363242,18680692,12043742,7680941,4853559,2999293,1815503,1084771,648567,386537,228790,138060,84030,50846,30344,17601,9896,5323,2838,1457,769,404,236,127,60,32"
world,1860,"56530,87303,137146,224484,378141,652928,1170203,2166561,4107091,7640078,13863563,24443090,41326559,65822664,95193735,122614550,144278940,152597570,143523719,122741079,98210053,76058237,57782926,42352386,29299929,19419210,12562933,8009768,5063051,3130881,1896372,1134379,678800,405294,239978,144793,88216,53461,31967,18593,10495,5654,3003,1572,812,423,245,129,64,32"
world,1861,"56443,87143,136686,224171,376922,649177,1161286,2149357,4079297,7606771,13825762,24375200,41190442,65671184,95077820,122718887,144814814,153671336,144797035,123839307,99024133,76484530,57878454,42194009,29024741,19160444,12344884,7852057,4954341,3062409,1856259,1111574,666825,398742,236637,143078,87240,52869,31583,18358,10311,5545,2939,1531,803,414,237,122,63,32"
world,1862,"58019,89497,139854,228521,384405,660387,1178343,2176091,4122430,7679277,13926218,24488863,41303952,65740289,95121439,122767652,144720201,153417977,144806539,124210698,99600293,77255501,58690266,43019256,29640780,19460597,12406816,7750848,4782926,2892469,1723035,1020463,606590,360725,213867,128356,77421,46605,27804,16241,9256,5067,2734,1433,745,373,206,96,47,24"
world,1863,"57616,88846,138331,222740,370138,632461,1125309,2088187,3993255,7553398,13838357,24432010,41225115,65637941,94922987,122440961,144243062,152859401,144274607,123699737,99351001,77324519,59290406,44027908,30898442,20626739,13412636,8563466,5413579,3354611,2034034,1217715,728392,434841,257223,155092,94478,57297,34248,19906,11182,5985,3170,1636,861,460,251,133,70,38"
world,1864,"56232,86930,135732,218704,363860,622503,1108259,2060064,3946629,7491013,13748493,24281359,40955679,65271002,94520872,122145472,144142747,152958521,144442183,123909758,99706660,77839637,60089376,45013384,31844792,21353516,13899597,8875890,5613367,3484089,2116849,1269501,759686,454019,268344,161358,98137,59454,35548,20678,11634,6257,3306,1726,900,485,269,140,76,39"
world,1865,"57430,89734,142326,235186,401310,702716,1266764,2327975,4292554,7779567,13867144,24210105,40770486,65064344,94332364,122170676,144448476,153562416,145174458,124700344,100543661,78555009,60474327,45052609,31731735,21198022,13761985,8764729,5537368,3433033,2082495,1245856,743396,444011,262392,157830,96187,58369,34930,20310,11407,6090,3196,1651,853,460,258,142,72,40"
world,1866,"56795,88645,140661,231718,394673,692004,1250291,2296818,4243965,7721320,13805654,24129639,40657742,64944542,94133981,122013377,144485307,153871100,145625312,125142589,100999289,79013366,61080521,45747800,32291917,21660823,14115217,8993532,5677824,3513665,2124655,1265588,752119,447012,263165,157910,96053,58172,34735,20157,11307,6022,3164,1641,860,457,264,146,73,41"
world,1867,"63454,97569,150980,239906,392045,660683,1162097,2128265,4009609,7494779,13659179,24012434,40442404,64637113,93688180,121485406,144105302,153903361,146089293,125891757,101922853,80096477,62227749,46780881,33021016,22071965,14343791,9163755,5807120,3609415,2191001,1309035,779617,464434,273198,163624,99549,60321,36031,20882,11672,6194,3231,1672,869,472,272,156,81,44"
world,1868,"76790,115629,175379,271868,432633,709405,1214317,2182418,4050085,7542633,13727419,24093377,40505181,64696197,93735117,121423951,143812253,153427791,145476410,125286361,101720865,80307013,62850252,47719721,34178205,23107433,15128455,9689144,6146959,3825555,2324290,1387787,824698,490418,287346,171117,103686,62640,37373,21701,12134,6469,3374,1754,909,487,277,165,79,46"
world,1869,"92344,136194,202593,308025,480729,775674,1307337,2298866,4177898,7611743,13651228,23807527,39981341,64054564,93165798,121113604,143802467,153752744,146067154,126074309,102715363,81329552,63699872,48366738,34660719,23462241,15405385,9896969,6292504,3924518,2388790,1428233,849828,506186,297246,177394,107680,65234,39015,22725,12789,6866,3614,1889,987,534,302,175,90,51"
world,1870,"92099,135883,202032,307948,481207,775931,1306664,2296323,4170239,7599765,13635968,23755914,39864225,63959721,93140915,121266495,144125837,154248404,146743653,126869100,103624591,82206339,64414779,48888195,34951026,23594470,15467203,9939805,6328952,3957042,2415656,1446611,859767,512479,300779,178837,108528,65749,39318,22905,12855,6865,3584,1842,954,526,282,167,87,50"
world,1871,"99965,146097,215092,324352,501234,798675,1329454,2317217,4179221,7602785,13640794,23765723,39873604,63962290,93165032,121347670,144343820,154601541,147239586,127504186,104329268,82874424,64990120,49416412,35393225,23966737,15778546,10180999,6503792,4075833,2490912,1492607,887880,529666,311408,185562,112753,68399,40976,23914,13482,7237,3809,1965,1023,557,309,174,96,50"
world,1872,"103908,151390,222829,334132,514047,817393,1355659,2349908,4210592,7608883,13579087,23612123,39606780,63595877,92772012,121042888,144257581,154517970,147249800,127913701,105193469,83831635,66259922,50718319,36548875,24849912,16404456,10595701,6765188,4234057,2586056,1549644,921885,549513,322951,192471,116996,71083,42712,25039,14201,7691,4108,2149,1138,622,341,197,102,57"
world,1873,"101547,148143,218718,328974,507851,809053,1342295,2336343,4213145,7666492,13664126,23671674,39643009,63612451,92892674,121391987,144857251,155064579,147761807,128559076,106043692,84588323,66932475,51302357,37077200,25271539,16692845,10776862,6871809,4300565,2635792,1587244,947583,566350,333372,198598,120804,73491,44253,26041,14851,8097,4338,2280,1225,669,372,218,109,66"
world,1874,"90416,133838,200538,307205,483158,783524,1318244,2320034,4217954,7709865,13715102,23699230,39649639,63589392,92919757,121549698,145152629,155216579,147821211,128681556,106423675,85398763,67923411,52315843,38116146,26193721,17422261,11228605,7142600,4450466,2714499,1627476,967686,576306,338014,200496,121527,73779,44390,26142,14919,8142,4368,2305,1231,669,369,214,109,59"
world,1875,"85462,126874,190564,292404,460528,747815,1258608,2221056,4089107,7586377,13698936,23804334,39853537,63805152,93039317,121646434,145370819,155426012,148094135,129189917,107186956,86391088,69048976,53392469,39011233,26849041,17818303,11453666,7254785,4504284,2737845,1638551,973926,579577,340164,201873,122116,73944,44405,26132,14948,8207,4431,2347,1275,688,382,217,112,63"
world,1876,"63185,98815,156209,252408,417000,706443,1234824,2223224,4122480,7644417,13720487,23771725,39807992,63744820,93037145,121876795,145984735,156267848,149281887,130685770,108832873,87806112,69947138,53854038,39106970,26740558,17654450,11314365,7151210,4429782,2686760,1604938,953083,566472,331883,196782,119014,72026,43227,25406,14504,7945,4274,2257,1209,656,375,207,109,63"
world,1877,"57626,90168,143771,239040,403044,690675,1215173,2180236,4028234,7482711,13508904,23547750,39625658,63637169,93105779,122322454,146853998,157165986,150170044,131654033,109912662,88834887,70802461,54468763,39518787,26999749,17825320,11468122,7264115,4501288,2731665,1633148,970867,577490,338350,200504,121151,73342,44088,25972,14891,8217,4431,2364,1278,699,397,223,122,72"
world,1878,"56629,88312,140439,233372,392198,670480,1179373,2124381,3937357,7357485,13376066,23433196,39528884,63592016,93135403,122518926,147314198,157712478,150969667,132743856,111155129,89969020,71756902,55195305,40109077,27411391,18077857,11601599,7329626,4533749,2749763,1644350,978388,582676,340336,200714,121073,73275,44057,25969,14864,8183,4404,2343,1268,691,392,226,126,73"
