main_religion_2008,time,income_mountain_50bracket_shape_for_log
christian,1813,"26349,46505,83677,151143,273123,478623,792311,1156601,1541784,1987271,2703896,3937485,5964560,9121182,13515205,19119675,25219557,30358062,32840829,32156390,28881799,23692509,17303531,11629600,7408832,4534660,2777172,1715971,1041779,616438,360359,212398,125519,74432,44701,26905,16120,9621,5578,3105,1667,914,471,242,125,67,39,16,9,0"
christian,1814,"26382,46614,84325,152190,274933,481622,796766,1161719,1545660,1986683,2695156,3919324,5936816,9080526,13492628,19142420,25331559,30599994,33192674,32564023,29267754,24020585,17557907,11802234,7534890,4624513,2833269,1744746,1053011,619718,361070,212562,125284,74324,44633,26857,16099,9602,5555,3080,1656,910,468,242,125,68,39,17,9,0"
christian,1815,"26664,47044,84428,152868,276258,483935,800637,1167306,1552779,1994888,2704739,3931970,5956574,9111205,13544998,19225483,25463852,30781108,33456291,32859478,29559262,24297640,17764267,11945990,7634300,4709733,2921357,1832873,1127796,672394,393778,231498,136688,80590,48160,28841,17196,10231,5919,3272,1739,946,484,250,135,76,46,26,10,10"
christian,1816,"26699,47140,85294,153970,278138,487275,806235,1175182,1562265,2004717,2714148,3941210,5967234,9127809,13581603,19313322,25657454,31127365,33917399,33373464,30039577,24627243,17939374,12027604,7654892,4700893,2905203,1808920,1102737,654002,383145,226422,133787,79340,47611,28611,17134,10217,5911,3277,1748,960,495,252,131,74,41,19,10,1"
christian,1817,"26723,47210,85573,154694,279667,490168,811188,1182349,1571255,2014750,2724959,3953847,5985257,9154627,13634145,19403341,25794719,31326017,34175800,33675699,30370257,24955691,18222525,12245491,7816616,4816601,2986393,1864773,1139033,676061,396050,233992,138174,81887,49107,29511,17655,10520,6089,3372,1790,979,509,262,136,75,43,20,10,2"
christian,1818,"26720,47271,85959,155548,281450,493472,816735,1190176,1580594,2024223,2733025,3958453,5984433,9144052,13623254,19400406,25811680,31397577,34305919,33905884,30686110,25348954,18655598,12641770,8144634,5055681,3137163,1952222,1187025,701482,409306,241059,141820,83904,50236,30163,18043,10745,6208,3436,1826,1002,515,267,139,77,44,21,10,2"
christian,1819,"27426,48427,87967,158307,285387,499170,824830,1200528,1592226,2035554,2742776,3966388,5993677,9154889,13659956,19494455,25952089,31582849,34548712,34220212,31093675,25785259,19038888,12915394,8312445,5147593,3184923,1973038,1192936,701940,408966,240847,141637,83980,50315,30242,18115,10763,6210,3425,1818,999,517,265,141,78,44,22,10,2"
christian,1820,"26382,46752,85074,154789,281041,494110,819065,1193282,1581794,2019904,2720485,3937374,5964005,9134090,13681527,19579947,26076592,31733844,34755518,34490068,31482140,26221526,19449583,13227723,8510168,5274890,3283336,2061190,1265698,752852,440561,259792,153185,90521,54203,32499,19434,11567,6685,3689,1954,1058,552,283,152,83,48,25,10,5"
christian,1821,"24356,43535,80134,147200,269469,477736,799242,1174926,1567615,2007574,2705581,3921113,5948413,9123790,13680375,19543605,26010552,31773885,34995621,34946724,31965740,26732618,19894940,13561079,8772518,5454436,3397774,2133134,1309019,777797,454648,267820,157824,93215,55798,33491,20037,11936,6901,3826,2033,1092,570,293,157,87,48,27,10,5"
christian,1822,"23965,42795,78868,145039,265492,471665,792413,1173257,1575359,2026447,2734674,3967150,6018603,9221166,13803409,19668218,26123308,31850176,35091882,35057743,32268806,27176300,20355923,13902413,8980753,5577343,3470728,2179489,1338470,795550,465073,273957,161487,95412,57141,34281,20518,12208,7060,3908,2082,1109,590,301,162,91,50,27,10,6"
christian,1823,"23733,42304,77761,142932,261300,464997,784461,1169878,1579711,2037682,2747460,3980971,6033442,9231932,13810898,19677077,26144113,31904272,35237820,35277624,32568848,27582994,20805149,14297375,9293297,5800534,3619108,2274536,1397155,830159,484651,284826,167659,98886,59152,35479,21223,12646,7304,4053,2149,1146,607,314,169,99,58,35,15,10"
christian,1824,"23512,41849,76483,140961,257608,459080,776793,1165947,1582184,2046262,2755823,3985717,6031211,9221286,13789091,19629907,26113305,31891615,35236129,35334671,32803901,28064041,21404231,14836784,9715382,6090875,3806459,2403158,1485626,886080,517404,303160,178456,104999,62751,37631,22546,13445,7808,4343,2312,1231,659,339,193,103,61,36,17,10"
christian,1825,"23475,41764,76090,140138,255701,456140,774059,1170250,1597184,2072306,2787197,4021721,6074123,9275008,13851326,19707448,26258183,32121282,35517267,35578334,33137945,28425562,21750483,15092064,9885754,6211343,3894934,2467424,1531147,916503,536626,314784,185532,109234,65288,39166,23471,14001,8151,4548,2431,1295,688,370,194,107,65,37,17,10"
christian,1826,"23209,41208,75829,138946,252827,451286,767382,1167587,1600973,2082486,2797732,4030513,6077317,9275563,13851482,19703157,26271801,32226257,35751031,35929447,33637229,28991466,22296177,15507416,10180828,6378013,3964227,2477435,1515072,897898,523657,307747,181066,107048,64215,38665,23288,13925,8133,4553,2471,1331,721,388,203,111,57,31,10,6"
christian,1827,"23099,40899,74261,136441,248083,443518,756259,1158994,1597237,2083359,2795726,4023487,6066541,9268991,13868018,19770964,26432416,32487035,36111484,36320012,34042160,29365378,22614549,15749222,10349245,6513851,4083906,2583872,1600744,956960,560111,328694,193785,114220,68350,41068,24662,14731,8601,4835,2607,1386,748,410,215,125,72,39,18,10"
christian,1828,"22937,40542,73698,135181,245253,438669,749243,1155596,1600355,2094202,2808879,4039022,6087628,9299529,13909511,19833567,26557186,32734623,36521182,36816377,34569073,29832782,22976664,15975498,10483780,6594822,4134243,2612305,1614809,963715,563774,331052,195178,115106,68918,41399,24869,14858,8683,4872,2635,1407,766,421,220,127,77,40,17,10"
christian,1829,"22668,40081,73418,134542,243154,434527,742833,1153463,1606220,2110271,2830562,4067121,6123315,9344021,13961663,19875755,26604256,32839008,36767570,37159773,34979680,30269301,23398759,16345375,10771444,6786332,4259134,2689729,1661415,991248,579892,340390,200392,117993,70507,42263,25362,15125,8820,4957,2678,1423,774,426,217,128,74,42,18,10"
christian,1830,"22499,39701,72256,132717,239612,428340,733116,1145075,1601213,2107984,2823581,4054905,6114166,9367836,14058754,20078022,26913944,33238091,37193343,37553218,35300743,30591010,23703433,16542417,10891502,6883684,4333930,2755380,1716008,1030051,604524,355104,209622,123512,73810,44255,26539,15821,9244,5189,2812,1497,814,446,227,135,81,44,19,10"
christian,1831,"22319,39273,71378,131093,236030,421643,722108,1134551,1593528,2104071,2817641,4047590,6109933,9372104,14077280,20115077,26959651,33280410,37270247,37732914,35624915,31028544,24280644,17067305,11304246,7199182,4539001,2882301,1791899,1073557,628850,368812,217436,128018,76468,45846,27515,16430,9616,5414,2943,1578,868,468,244,139,90,46,19,10"
christian,1832,"22201,38980,70176,129287,232767,416093,713731,1128642,1594381,2115061,2835084,4071605,6140209,9405674,14105726,20121118,26957949,33230820,37182020,37727524,35811900,31431111,24901735,17726048,11842491,7591040,4795960,3048520,1898093,1138047,665832,389353,229161,134629,80211,48003,28762,17144,10040,5669,3081,1647,909,493,257,145,95,44,20,10"
christian,1833,"22069,38709,69552,127820,229569,410294,704681,1121841,1594131,2124531,2849853,4093438,6175886,9465255,14215798,20295936,27198333,33527976,37518409,38059391,36159778,31758740,25206968,17985016,12027561,7731617,4903377,3123623,1946682,1167737,683700,400145,235597,138447,82520,49418,29638,17675,10357,5837,3181,1702,934,503,266,148,94,45,20,10"
christian,1834,"21948,38441,69044,126929,227505,406417,698815,1118854,1598997,2140794,2874201,4123920,6211311,9507615,14284982,20417769,27408330,33843331,37925619,38462645,36523272,32170526,25598474,18262173,12222439,7837686,4949810,3145250,1961330,1179299,692078,405529,239186,140748,83985,50340,30216,18026,10561,5953,3231,1727,931,506,268,148,87,44,20,11"
christian,1835,"21643,37960,67314,124001,222503,397875,685677,1105000,1588193,2134733,2865995,4106665,6176122,9447284,14206888,20315192,27295171,33759020,37947351,38660303,36855483,32666361,26246280,18923738,12747407,8226285,5218929,3341489,2108221,1281444,756483,442980,261675,153856,91504,54801,32852,19593,11544,6539,3558,1895,1014,548,285,160,89,51,22,13"
christian,1836,"21558,37772,66810,122879,220082,393262,678542,1099134,1588761,2145927,2886547,4138232,6226224,9526065,14337402,20490272,27485103,34004282,38279803,39089149,37316731,33151042,26633351,19184770,12864301,8266006,5254436,3381675,2148110,1314241,779341,457330,270672,159366,94750,56765,34050,20308,11973,6794,3696,1965,1037,561,283,162,89,53,23,14"
christian,1837,"21461,37553,66665,122592,218965,390695,674516,1098276,1597391,2169150,2922197,4182888,6275931,9575483,14390097,20521631,27486670,34049094,38449890,39431013,37832022,33827953,27289375,19646782,13145716,8408043,5321166,3409493,2156443,1315328,779187,457912,271316,160050,95448,57292,34434,20587,12147,6892,3745,1989,1054,569,290,159,88,52,22,13"
christian,1838,"21374,37338,65874,121119,216109,385313,666080,1090038,1595356,2177514,2938368,4202999,6296330,9589433,14397434,20511593,27468377,34099399,38637080,39745756,38135728,34176179,27759062,20171943,13624350,8766885,5554768,3564398,2263783,1387231,823660,483755,286694,169219,100801,60538,36410,21782,12897,7352,4011,2129,1139,600,303,168,99,53,23,15"
christian,1839,"21362,37247,65673,120477,214279,381383,659613,1083692,1594456,2184935,2951021,4217859,6314677,9614601,14440735,20556475,27548272,34343505,39110894,40352004,38761077,34711294,28146337,20448963,13756091,8841002,5615872,3604040,2282112,1392476,823683,482851,285556,168179,100087,59992,36051,21573,12759,7269,3977,2118,1141,602,310,176,101,56,23,14"
christian,1840,"21246,37006,64912,119181,211884,376762,652324,1076152,1592780,2192630,2965231,4232772,6327884,9620620,14442140,20558179,27578159,34410488,39228071,40538418,39011856,35157352,28781105,21093188,14330935,9226579,5795486,3666193,2300229,1400669,829352,486374,288541,170598,101956,61704,37392,22496,13342,7635,4183,2228,1184,626,323,180,105,58,24,15"
christian,1841,"20952,36467,64319,118288,209962,372909,646283,1069889,1591709,2199280,2976706,4244890,6344110,9647767,14492471,20631674,27697625,34641241,39584624,40948550,39427488,35540338,29135527,21364162,14567410,9431267,5959372,3791214,2383957,1447967,853286,498698,294637,173638,103477,62149,37424,22456,13304,7619,4194,2240,1202,639,335,184,103,59,23,14"
christian,1842,"20992,36476,64459,118210,208981,370105,641408,1064705,1592687,2210266,2998403,4277961,6397344,9732892,14619183,20742638,27745111,34718993,39800594,41330247,39949703,36162056,29690088,21767212,14805129,9532178,5995608,3795095,2373155,1435218,843981,493511,291610,172025,102767,61818,37275,22384,13253,7580,4161,2230,1200,631,336,183,102,57,22,14"
christian,1843,"21324,36896,64564,118170,208468,368059,637767,1061458,1597983,2230185,3035883,4334492,6484730,9862423,14804490,20960329,27959917,34916984,39981891,41491547,40074549,36340162,29979800,22134609,15114042,9772832,6167512,3920717,2466758,1500901,885601,517590,305918,180442,107526,64620,38914,23340,13816,7911,4357,2325,1250,651,352,194,107,59,24,15"
christian,1844,"23078,39644,68004,121805,212434,370444,636906,1057356,1601509,2254079,3089691,4420043,6613012,10044167,15057940,21270629,28247259,35095633,40025165,41482487,39964912,36272156,30146617,22560968,15574551,10177499,6453055,4092831,2568381,1569693,936260,552027,328488,195511,117312,71649,43796,26475,15720,9022,4966,2656,1419,750,413,223,126,74,28,19"
christian,1845,"25234,43258,74563,132517,228504,392732,668086,1103055,1676461,2373579,3268941,4672093,6966870,10520287,15671767,22042219,29104739,35917885,40637116,41950810,40158201,35998953,29518487,21998452,15158049,9910432,6331972,4043371,2551755,1574440,953469,570617,342552,205126,123308,75662,46529,28276,16858,9717,5379,2893,1559,824,447,254,139,79,30,20"
christian,1846,"25635,43874,75429,133771,229701,393213,668124,1104103,1686995,2400915,3320744,4755000,7099869,10719404,15964623,22442215,29563106,36435682,41139992,42304566,40258030,35993047,29520369,22053330,15218704,9981791,6423349,4145448,2642973,1638589,991220,591100,353546,210802,126164,76778,46827,28323,16850,9720,5401,2910,1578,829,457,255,143,81,28,19"
christian,1847,"25677,43468,74509,132289,226406,385793,654468,1082361,1662891,2377756,3301032,4736489,7094002,10728870,15963137,22394489,29505773,36348210,41136276,42509241,40653178,36464494,30075859,22685328,15774985,10440223,6750937,4369994,2790893,1726033,1036487,613101,364130,215126,127572,76731,46303,27891,16608,9616,5365,2920,1578,851,461,253,139,87,26,18"
christian,1848,"25400,43015,73435,130376,223458,380634,646626,1072022,1657653,2383200,3322934,4775525,7156986,10818600,16105012,22635358,29814595,36739738,41559969,42985273,41166155,36996084,30496986,22961069,15903312,10434447,6709429,4324935,2754061,1704506,1028305,611419,364648,216735,129237,78420,47736,28883,17214,9946,5543,3010,1623,877,478,255,150,92,32,20"
christian,1849,"24789,41848,71507,126935,217365,369649,628542,1044771,1626925,2353875,3300606,4760091,7159248,10848303,16172200,22742523,29914095,36770486,41546351,43158467,41507545,37472416,31159772,23676819,16495059,10831408,6915118,4400505,2766668,1701916,1027194,612816,366618,218633,130723,79830,48987,29851,17869,10376,5813,3159,1713,930,498,273,157,95,35,20"
christian,1850,"24777,41837,71604,127261,217350,368396,625544,1039170,1624178,2354148,3299014,4741337,7113952,10777608,16082517,22628587,29823206,36734511,41668361,43527113,42051868,38111445,31782671,24203507,16888717,11134448,7144342,4576968,2894884,1782775,1071724,635537,378217,224393,133651,81085,49377,29953,17889,10402,5834,3180,1725,948,509,277,159,95,36,19"
christian,1851,"23766,40574,69729,124481,213798,362625,616069,1024299,1608609,2338852,3280992,4704629,7045015,10678353,15949099,22465918,29701768,36663035,41620066,43631421,42549567,38884590,32646493,24920421,17432660,11489385,7350503,4676694,2934992,1798790,1081191,641669,381643,226480,134805,82044,50259,30587,18277,10614,5948,3229,1755,936,511,279,160,91,39,20"
christian,1852,"23084,38692,65495,115504,198689,336796,573475,957998,1521152,2237927,3173821,4590255,6927582,10567425,15841408,22396354,29708090,36734118,41744185,43856245,42939569,39416096,33307246,25636655,18071639,11981087,7649329,4822990,2994790,1811566,1074567,629530,370488,217673,128072,76993,46722,28327,16999,9974,5691,3121,1707,919,491,262,145,86,34,16"
christian,1853,"22899,38130,63998,111108,190182,321954,549413,921393,1475006,2185139,3118464,4528361,6865788,10530630,15837057,22447237,29854045,36979537,42037054,44111826,43210387,39770293,33791925,26091412,18436051,12213368,7820514,4940807,3080709,1868884,1109911,650467,382115,224244,131478,78775,47697,28846,17271,10114,5744,3153,1708,909,495,260,146,80,36,17"
christian,1854,"23887,39465,65743,112026,189673,319025,542776,909561,1461104,2170988,3103482,4499898,6816908,10468602,15761218,22374690,29790960,36914695,42014875,44177125,43324709,39998022,34232805,26632731,18983474,12719850,8230390,5256142,3321308,2037236,1213745,709629,414398,242672,141647,84113,50447,30309,18114,10628,6059,3328,1802,953,523,278,157,87,39,20"
christian,1855,"22235,36851,61801,107423,183998,310821,530789,892630,1442797,2153653,3086637,4472572,6767289,10390406,15644243,22255279,29761609,37118820,42577186,45126289,44494374,41010707,34884120,26903785,18979877,12595352,8061809,5084204,3163977,1917811,1138210,666520,391712,230386,135530,81414,49454,29995,18000,10562,6013,3318,1801,964,530,283,159,88,41,20"
christian,1856,"22352,36859,61596,105440,178530,300698,513937,866910,1410692,2119289,3055121,4441842,6737052,10361339,15586835,22135573,29538154,36794419,42207527,44721862,44102485,40954947,35295891,27746939,19939778,13485404,8795691,5655237,3592297,2218001,1334155,788170,465492,274514,160797,96961,59441,36287,21836,12777,7196,3893,2068,1101,602,329,191,110,52,28"
christian,1857,"20842,34584,58067,101003,172289,291107,498813,844205,1382632,2089328,3024011,4398211,6658347,10227951,15408962,21960791,29462544,36901012,42425355,45000207,44464561,41447885,35767229,28225140,20391621,13874704,9124941,5916963,3779221,2342529,1412931,835938,494738,291896,171189,103411,63467,38778,23353,13638,7670,4148,2212,1171,643,348,204,117,56,30"
christian,1858,"20830,34549,57662,100783,173502,293209,501447,848005,1392273,2111943,3065643,4455515,6726925,10311495,15481826,22022118,29611396,37191820,42811533,45483393,45072379,42143329,36291500,28611487,20610981,13928145,9073030,5808415,3659762,2235339,1327507,775358,453294,266098,155974,92940,55915,33720,20258,11947,6873,3822,2084,1117,612,317,182,96,43,23"
christian,1859,"20795,34454,57628,99550,169408,285257,487979,827501,1366561,2085974,3043508,4433938,6703768,10297660,15477592,22027415,29670060,37311289,43016820,45680288,45202179,42215263,36539492,28924363,20966788,14324193,9472825,6163044,3947999,2451881,1480251,876568,518673,306049,179546,108459,66548,40634,24475,14292,8046,4361,2336,1244,682,369,220,121,60,32"
christian,1860,"20503,34024,56958,97616,166144,279787,478752,813271,1348492,2067933,3025517,4405107,6650343,10212703,15349172,21816364,29378790,36946384,42708392,45552333,45288269,42608823,37309248,29959092,21943325,15062129,9975523,6473460,4142377,2571968,1552726,920310,544924,322115,188938,113999,69947,42757,25797,15098,8529,4630,2470,1332,715,384,227,122,64,32"
christian,1861,"20660,34133,56854,97791,165724,277401,472287,801091,1332266,2059446,3037328,4441984,6713646,10319257,15533442,22151324,29951728,37800666,43654974,46377146,45918657,42959871,37392841,29813116,21685076,14812956,9756313,6310954,4028534,2497669,1507147,893676,530691,314279,184870,111871,68721,42008,25315,14802,8326,4517,2403,1295,704,377,219,117,63,32"
christian,1862,"22406,36619,60046,101940,172395,286299,483348,815257,1352692,2094811,3094883,4525587,6827609,10456245,15685926,22311900,30072741,37857421,43730320,46564079,46221426,43480798,38027634,30563016,22277175,15110421,9825787,6220320,3866786,2334886,1378799,806121,473091,278156,163414,98022,59476,36099,21751,12820,7364,4100,2240,1224,665,342,190,95,47,24"
christian,1863,"22132,36040,58512,95945,157536,256871,427026,721071,1213281,1949768,2972163,4429358,6706169,10279914,15412859,21904359,29495991,37139986,43067990,46011825,45954684,43546363,38653858,31621553,23587161,16319446,10863542,7056710,4515182,2809944,1699012,1009850,599353,355209,208590,125803,77089,47076,28346,16564,9326,5040,2688,1434,789,425,241,133,70,38"
christian,1864,"20936,34308,56102,92139,151504,247078,409773,692391,1167343,1892845,2903124,4340021,6563280,10068675,15153751,21618335,29254266,36997485,43044499,46097687,46178931,43950763,39384107,32562525,24508574,17033046,11342261,7364203,4712325,2937987,1780957,1061074,630263,374109,219498,131908,80639,49152,29582,17302,9761,5295,2824,1519,827,452,255,140,76,39"
christian,1865,"22392,37454,63193,109438,190367,329841,573161,969497,1531507,2214787,3074040,4362292,6516874,9957866,15019901,21545054,29276247,37221080,43588843,46880691,47031413,44665949,39763517,32570436,24361217,16847659,11179174,7234469,4624008,2878967,1741569,1034275,611984,362816,212677,127814,78331,47848,28827,16848,9481,5101,2700,1440,776,429,243,140,72,40"
christian,1866,"21782,36354,61544,106084,184173,320288,559687,945464,1499521,2187801,3059544,4358234,6504809,9906985,14895203,21362536,29103964,37177118,43749751,47212238,47442382,45111877,40377060,33259554,24912401,17304825,11527528,7460064,4762933,2959010,1783723,1054310,621047,366067,213599,127973,78224,47654,28628,16701,9380,5043,2668,1427,780,431,249,141,73,41"
christian,1867,"23374,37152,59477,96299,156845,256855,431891,730001,1214247,1914905,2881774,4252990,6398093,9733629,14637927,21070951,28911744,37279420,44231006,47936550,48213123,45968697,41273264,34054652,25457041,17597491,11688462,7596456,4876833,3048961,1850189,1100516,651281,385402,224862,134463,82197,50093,30086,17518,9791,5232,2739,1454,795,444,257,150,81,44"
christian,1868,"34362,51307,77706,118912,183782,286110,456353,744377,1197792,1880869,2838969,4202036,6298953,9568531,14425059,20839940,28689509,37147842,44117166,47753562,48144080,46113747,41725021,34797259,26448793,18518254,12403244,8082873,5196984,3255946,1980056,1178694,696826,412070,239694,142536,86796,52743,31638,18439,10319,5526,2888,1538,833,459,262,159,79,46"
christian,1869,"49705,71508,104386,154458,231349,352382,550446,864361,1336125,1981309,2844369,4095629,6106739,9296130,14109555,20545834,28482296,37134689,44357114,48232121,48807605,46844816,42347098,35283919,26826945,18811671,12644452,8270042,5331873,3349453,2041460,1217436,721122,427481,249498,148819,90826,55345,33291,19470,10966,5922,3124,1677,907,506,287,169,90,51"
christian,1870,"49458,71103,103567,153976,231351,352166,549817,862991,1333329,1980532,2846002,4085728,6073294,9252560,14096045,20587177,28565614,37282958,44704826,48785160,49494047,47549622,42936838,35728434,27082555,18936804,12709870,8318921,5373913,3386270,2071451,1238141,732809,435084,253950,150898,92093,56141,33773,19761,11110,5968,3122,1646,887,501,277,167,87,50"
christian,1871,"57251,81231,116598,170430,251488,375157,572973,884373,1342253,1981738,2844994,4078208,6048124,9210341,14057146,20595810,28653223,37434242,44941345,49161038,49962493,48017190,43355191,36136413,27429929,19239191,12970793,8524995,5525509,3490069,2137283,1278263,757243,449945,263084,156661,95708,58417,35208,20644,11662,6291,3324,1751,948,531,294,174,96,50"
christian,1872,"60905,86043,123284,178554,262227,391903,598664,920852,1387400,2021175,2845927,4020918,5919221,8982547,13711231,20136899,28035283,36636690,44158156,48894442,50403962,48818746,44656831,37562008,28706975,20199594,13622882,8934508,5772976,3636111,2222529,1327219,785685,466223,272391,162204,99109,60602,36671,21628,12307,6707,3600,1924,1048,584,326,192,102,57"
christian,1873,"59425,84101,120984,175822,259284,387923,591025,915091,1400954,2094905,2956484,4109649,5963766,8972193,13683074,20152554,28057388,36595148,44099285,49054776,50944688,49428812,45277841,38136095,29242939,20640356,13929233,9127502,5886382,3706237,2273474,1364574,810852,482694,282608,168211,102861,62974,38199,22623,12950,7105,3825,2052,1133,631,357,211,109,66"
christian,1874,"48590,70214,103337,154755,235580,363897,569310,902975,1413799,2154098,3038814,4186826,6031913,9021046,13707580,20125152,27860468,36162430,43516266,48597006,50926627,50017219,46153203,39087876,30249390,21550080,14655589,9580597,6160141,3858934,2354301,1406243,831768,493154,287542,170289,103675,63303,38343,22710,13005,7149,3852,2077,1139,635,354,207,109,59"
christian,1875,"43923,63663,93939,140734,214041,329824,512615,809763,1295989,2044560,3025486,4261258,6138288,9109030,13723581,20083868,27727503,35913994,43209094,48554574,51321352,50827588,47192601,40122008,31118561,22191635,15046694,9806579,6275396,3915985,2380265,1419172,839184,497098,290098,171881,104363,63532,38399,22727,13063,7229,3929,2123,1188,657,367,212,112,63"
christian,1876,"21920,36040,60218,101672,171999,290975,493200,819707,1343642,2129358,3096736,4305800,6186546,9159589,13779045,20161502,27819313,36041415,43574129,49326625,52499817,52007268,48007758,40577270,31234150,22115408,14914546,9693539,6190740,3854046,2337144,1390510,821070,485471,282586,167161,101420,61673,37225,21996,12611,6953,3772,2034,1136,630,360,205,109,63"
christian,1877,"23265,38458,64795,113454,193771,324281,539685,866319,1372539,2137036,3110716,4360489,6312848,9324169,13910368,20209409,27753782,35877672,43421159,49490019,53138137,52866597,48825881,41204180,31658825,22383252,15089599,9849093,6304858,3926262,2382344,1418702,838628,496123,288658,170492,103246,62766,37943,22488,12962,7214,3933,2143,1213,673,385,223,122,72"
christian,1878,"22482,36914,61912,108465,184159,306612,509328,822078,1305137,2055545,3048866,4338280,6317362,9338220,13883980,20150029,27636861,35720567,43407522,49883525,53949299,53825415,49762602,41980838,32300714,22832503,15367517,9999786,6382280,3966360,2404656,1432095,847377,502060,291153,171035,103368,62805,37971,22512,12950,7181,3909,2130,1207,665,387,226,126,73"
christian,1879,"22718,37239,62873,110758,188695,312410,513965,818422,1273557,1976292,2933470,4223683,6243818,9289876,13809361,20108093,27719591,35984694,43964616,50580420,54518952,54221048,50253572,42482761,32934730,23373936,15680539,10189370,6498071,4029893,2436318,1448011,858149,510520,297454,175681,106478,64751,39179,23242,13420,7490,4127,2281,1307,723,412,243,135,73"
