un_sdg_ldc,time,income_mountain_50bracket_shape_for_log
un_least_developed,1810,"5744,9528,15591,25122,39753,61996,96265,152287,250137,429506,766973,1383660,2430979,4034671,6143422,8211988,9769850,10443256,10335241,9214229,7373080,5393241,3720686,2451925,1543136,936137,556539,330479,196572,116612,69046,41101,24637,14900,9111,5611,3442,2109,1278,739,400,237,123,60,39,16,10,3,0,0"
un_least_developed,1811,"5737,9512,15565,25102,39711,61935,96183,152146,249832,428950,765930,1381866,2428697,4032542,6142656,8212342,9771101,10445054,10336792,9213273,7370887,5390201,3716841,2448028,1540501,934452,555566,330029,196384,116530,69006,41089,24642,14906,9121,5618,3445,2111,1277,744,400,237,124,59,40,16,10,3,0,0"
un_least_developed,1812,"5732,9510,15552,25090,39691,61901,96126,152000,249538,428375,764835,1379850,2425741,4029249,6140280,8210097,9768445,10444006,10337973,9214368,7371555,5390285,3717539,2449282,1542015,935780,556618,330772,196878,116843,69184,41187,24697,14937,9136,5626,3453,2111,1277,744,401,235,125,59,40,16,10,3,0,0"
un_least_developed,1813,"5303,8780,14314,23048,36428,56926,88966,142232,236697,411898,743675,1352329,2390772,3987552,6103527,8179112,9747038,10460358,10388092,9274179,7422276,5424979,3740598,2464240,1551930,942284,561033,333956,199249,118625,70501,42113,25334,15350,9391,5781,3537,2168,1303,768,414,245,127,59,40,16,10,3,0,0"
un_least_developed,1814,"5290,8769,14310,23039,36413,56900,88918,142131,236476,411478,742909,1350981,2389155,3986421,6104239,8181351,9750444,10465166,10393850,9279387,7428608,5429542,3741736,2463945,1551248,941270,560227,333445,198941,118428,70368,42045,25297,15336,9390,5788,3540,2169,1307,767,413,247,126,59,40,16,10,3,0,0"
un_least_developed,1815,"5284,8756,14293,23013,36395,56878,88878,142043,236315,411184,742401,1350167,2388508,3987016,6107675,8187198,9757922,10474193,10402474,9283681,7428295,5428128,3741580,2463900,1552152,942577,561325,334329,199596,118885,70664,42222,25395,15402,9424,5805,3547,2172,1306,772,416,248,126,60,40,17,10,3,0,0"
un_least_developed,1816,"5278,8748,14284,22998,36382,56839,88799,141891,236019,410625,741378,1348416,2386442,3985869,6109269,8191242,9764394,10483814,10413488,9292195,7434831,5433148,3745119,2466349,1554089,943871,562148,334885,199963,119110,70788,42289,25437,15420,9436,5812,3551,2173,1305,776,418,248,127,60,40,18,10,3,0,0"
un_least_developed,1817,"5274,8744,14281,22990,36360,56823,88773,141822,235889,410391,740996,1347807,2386155,3987058,6113446,8197811,9772615,10493887,10423959,9300302,7441190,5438117,3749216,2469584,1556862,945832,563398,335686,200475,119411,70963,42395,25501,15448,9456,5825,3553,2178,1305,777,419,248,128,60,40,18,10,3,0,0"
un_least_developed,1818,"5267,8731,14263,22967,36332,56789,88713,141729,235712,410079,740447,1346908,2385465,3987691,6117163,8204890,9783377,10507902,10439780,9316602,7458659,5450040,3753028,2469729,1555365,943623,561619,334505,199689,118924,70659,42221,25407,15420,9442,5821,3558,2181,1309,777,418,249,129,60,41,18,10,3,0,0"
un_least_developed,1819,"5277,8740,14293,23042,36469,56999,89093,142326,236677,411630,742907,1350694,2391583,3997834,6132950,8225096,9805903,10530750,10460106,9330647,7469593,5459648,3762583,2479849,1563899,949346,565016,336311,200553,119266,70775,42221,25363,15359,9375,5767,3522,2151,1289,764,409,242,125,59,38,17,10,4,0,0"
un_least_developed,1820,"5287,8757,14325,23103,36566,57176,89359,142732,237356,412835,745175,1354908,2399556,4012225,6155616,8253469,9837070,10565061,10495539,9363971,7499398,5484748,3782009,2494012,1572043,952710,566000,336318,200253,118892,70444,41981,25197,15242,9318,5727,3497,2141,1281,757,405,238,122,60,35,17,10,4,0,0"
un_least_developed,1821,"5284,8771,14342,23131,36610,57245,89447,142842,237509,413059,745667,1356211,2403052,4020563,6173269,8283033,9878472,10612982,10547298,9414493,7545935,5522797,3809538,2513119,1583952,959666,570044,338638,201568,119615,70845,42200,25317,15317,9355,5757,3514,2143,1286,758,407,239,124,60,33,17,10,4,0,0"
un_least_developed,1822,"5291,8788,14371,23170,36690,57373,89655,143156,238007,413922,747357,1359714,2410672,4036018,6201220,8324414,9933109,10675856,10612419,9475212,7599896,5566781,3841868,2536765,1598962,967394,573634,340214,202194,119791,70842,42129,25233,15243,9307,5717,3491,2133,1279,751,401,233,125,57,31,17,10,4,0,0"
un_least_developed,1823,"5322,8827,14445,23316,36903,57707,90152,143894,239170,415886,750877,1366360,2423271,4059200,6240166,8379597,10001584,10752547,10691855,9550009,7662607,5617631,3882977,2568067,1620876,981816,582602,345556,205308,121590,71852,42684,25543,15416,9397,5775,3529,2154,1285,760,406,235,127,54,31,18,10,4,0,0"
un_least_developed,1824,"5335,8856,14502,23406,37055,57977,90567,144568,240313,417918,754727,1373814,2437570,4085087,6283340,8440951,10078739,10837813,10776956,9627167,7726094,5666818,3920069,2594747,1638676,993001,589353,349574,207712,123002,72686,43168,25836,15582,9502,5833,3566,2183,1303,773,416,237,130,54,32,19,10,4,0,0"
un_least_developed,1825,"5354,8886,14560,23506,37219,58235,90977,145248,241448,419896,758400,1380943,2451243,4110314,6326263,8503003,10157392,10926247,10869534,9714649,7798116,5720904,3958314,2619704,1653610,1001067,593369,351541,208695,123483,72905,43272,25890,15623,9534,5868,3586,2195,1322,777,421,238,134,54,32,20,10,4,0,0"
un_least_developed,1826,"5374,8930,14624,23622,37406,58546,91476,146033,242788,422248,762752,1389145,2466624,4137569,6370881,8565622,10235425,11011093,10953744,9794768,7869457,5779513,4002349,2650258,1673355,1012931,600155,355376,210834,124671,73526,43600,26067,15712,9578,5886,3602,2207,1326,783,426,240,136,54,32,20,10,5,0,0"
un_least_developed,1827,"5391,8972,14687,23720,37586,58837,91928,146704,243863,424097,766181,1395842,2479803,4162516,6413953,8628247,10314904,11099801,11045542,9882813,7944272,5837844,4045932,2681236,1693823,1025638,607909,360031,213611,126308,74485,44159,26387,15909,9696,5965,3653,2241,1349,805,438,247,142,57,32,23,10,5,0,0"
un_least_developed,1828,"5419,9013,14754,23830,37780,59152,92415,147474,245147,426340,770328,1403741,2494799,4189593,6459357,8692647,10396047,11191147,11139675,9972813,8020062,5897082,4090240,2712234,1714058,1038122,615363,364424,216198,127810,75357,44638,26680,16078,9802,6031,3689,2277,1371,814,448,251,147,58,34,24,10,5,0,0"
un_least_developed,1829,"5440,9056,14813,23939,37970,59464,92902,148256,246439,428603,774503,1411646,2509664,4216473,6504890,8759467,10482109,11286351,11234289,10060409,8097772,5961595,4137994,2744631,1734715,1050582,622654,368670,218649,129225,76150,45072,26916,16209,9863,6068,3716,2283,1374,815,448,249,147,58,33,23,10,5,0,0"
un_least_developed,1830,"5460,9082,14891,24089,38211,59833,93497,149168,247935,431203,779203,1420548,2526429,4246488,6554892,8830998,10573093,11388229,11336648,10154008,8174951,6020137,4179823,2773174,1752773,1061541,629301,372690,221056,130637,76969,45554,27217,16392,9989,6143,3757,2310,1391,831,456,252,149,60,33,24,10,5,0,0"
un_least_developed,1831,"5479,9123,14946,24189,38372,60125,93945,149837,249030,433085,782734,1427664,2540799,4274072,6603511,8903291,10667113,11494624,11443050,10250463,8253405,6079982,4224080,2804756,1773916,1074849,637413,377572,223954,132360,77990,46148,27560,16595,10106,6226,3808,2333,1411,841,463,254,153,60,34,24,10,6,0,0"
un_least_developed,1832,"5507,9168,15027,24320,38592,60469,94493,150723,250497,435678,787524,1436764,2557786,4304564,6654193,8975226,10757460,11596270,11547517,10349563,8337300,6145414,4272164,2837672,1794296,1086635,643925,381119,225886,133413,78540,46452,27734,16711,10193,6275,3847,2371,1429,855,474,256,158,62,35,25,10,6,0,0"
un_least_developed,1833,"5532,9218,15099,24447,38813,60830,95066,151622,252021,438390,792553,1446358,2575828,4336635,6707187,9050467,10852610,11701911,11652041,10444573,8415939,6206630,4318235,2870807,1816471,1100570,652336,386126,228854,135184,79573,47036,28092,16907,10311,6346,3902,2388,1447,868,484,259,161,63,35,25,11,6,0,0"
un_least_developed,1834,"5561,9262,15175,24589,39022,61166,95594,152435,253335,440628,796678,1454244,2591103,4365442,6757328,9123753,10947581,11812758,11766431,10550579,8501997,6270795,4363853,2901748,1836482,1112899,659739,390578,231522,136741,80471,47535,28369,17055,10384,6383,3916,2405,1456,875,491,262,162,64,36,26,10,6,0,0"
un_least_developed,1835,"5584,9305,15256,24699,39246,61517,96171,153346,254917,443622,802351,1464832,2610682,4399222,6811414,9199444,11042592,11919311,11874097,10651517,8587063,6336392,4412176,2935259,1858367,1126221,667500,395011,234033,138153,81227,47949,28568,17178,10452,6421,3946,2426,1473,882,498,266,166,67,37,26,12,7,0,0"
un_least_developed,1836,"5615,9353,15335,24827,39449,61871,96720,154241,256376,446182,807074,1473867,2627902,4430451,6863828,9275107,11138634,12026900,11982975,10754004,8674217,6404916,4463354,2971670,1882381,1141153,676483,400311,237148,139966,82271,48534,28908,17378,10573,6495,3999,2457,1499,900,513,271,169,70,38,26,13,7,0,0"
un_least_developed,1837,"5642,9415,15424,24991,39695,62248,97326,155164,257891,448801,811800,1482751,2644748,4461037,6916254,9352317,11239040,12139033,12094859,10856592,8761355,6473322,4514437,3007976,1906732,1156474,685675,405758,240335,141842,83366,49166,29287,17599,10707,6572,4044,2491,1514,913,519,277,171,73,40,27,13,7,0,0"
un_least_developed,1838,"5669,9455,15536,25190,40072,62917,98451,157152,261412,454916,822415,1500214,2671875,4502975,6979744,9438010,11342010,12251317,12206778,10958532,8843957,6534422,4556338,3035432,1923562,1166295,691432,409118,242287,142992,84014,49532,29509,17763,10816,6651,4105,2517,1538,923,529,282,174,75,40,27,13,7,0,0"
un_least_developed,1839,"5702,9507,15621,25334,40312,63300,99068,158119,263042,457790,827712,1510215,2690522,4536164,7035036,9516910,11441861,12364314,12321505,11064961,8932972,6604398,4609151,3073419,1949042,1182340,701170,414942,245770,145053,85226,50237,29928,18006,10962,6754,4153,2562,1560,935,537,285,174,77,40,27,13,7,0,0"
un_least_developed,1840,"5725,9558,15696,25476,40547,63699,99694,159112,264657,460581,832829,1519884,2708772,4569452,7091469,9598721,11545982,12480755,12437271,11172556,9023556,6674157,4661102,3111226,1974388,1198302,711037,421000,249486,147323,86576,51032,30402,18304,11151,6860,4226,2609,1594,959,557,293,179,85,42,28,15,8,0,0"
un_least_developed,1841,"5762,9616,15798,25643,40809,64117,100369,160169,266436,463763,838646,1530958,2729455,4606186,7152170,9685715,11657906,12607010,12561926,11283315,9111590,6738622,4706069,3141913,1994589,1211101,719146,426230,252850,149475,87915,51854,30918,18649,11366,7005,4329,2667,1635,982,570,304,183,90,43,28,15,8,0,0"
un_least_developed,1842,"5787,9681,15874,25788,41048,64516,101015,161219,268199,466892,844450,1541939,2749966,4642602,7212778,9772777,11768839,12731718,12686155,11395782,9203197,6807388,4755629,3176125,2016776,1224678,727306,431197,255905,151331,89054,52539,31347,18912,11556,7128,4411,2714,1664,998,582,309,187,94,43,28,15,8,0,0"
un_least_developed,1843,"5821,9723,15939,25871,41214,64779,101425,161873,269348,469095,848876,1551145,2768501,4677234,7272790,9861851,11885190,12867292,12829713,11523848,9288354,6854047,4787455,3205684,2040999,1242539,739982,439767,261560,155038,91459,54128,32396,19629,12043,7459,4638,2865,1763,1057,625,332,199,103,48,29,18,8,0,0"
un_least_developed,1844,"5856,9782,16037,26042,41477,65225,102118,162965,271156,472313,854802,1562437,2789938,4716281,7339465,9962056,12018665,13025565,12999274,11675529,9386175,6895444,4792791,3200149,2038853,1245856,745602,445320,266186,158566,94011,55916,33676,20537,12670,7887,4910,3040,1866,1120,658,353,208,109,53,31,20,8,0,0"
un_least_developed,1845,"5892,9835,16127,26193,41735,65648,102786,164021,272936,475397,860484,1573325,2810957,4755542,7409235,10071633,12172515,13221257,13229940,11903318,9539810,6928290,4739126,3122961,1984438,1219988,736728,443969,267746,160932,96229,57701,35023,21536,13393,8397,5258,3266,2005,1209,703,380,223,116,58,33,20,11,0,0"
un_least_developed,1846,"5926,9898,16239,26369,42033,66111,103525,165204,274894,478906,866902,1585380,2833106,4794356,7472930,10162147,12286392,13348397,13357884,12021725,9638795,7004180,4794121,3161955,2010416,1236541,746953,450082,271260,162926,97353,58328,35387,21755,13536,8480,5312,3298,2029,1222,713,388,226,116,60,35,20,12,0,0"
un_least_developed,1847,"5958,9943,16325,26525,42279,66538,104213,166305,276762,482210,872945,1596825,2854543,4832648,7536583,10253706,12403121,13479273,13487767,12140401,9738089,7080754,4850511,3202495,2037929,1254100,757888,456790,275313,165386,98810,59193,35890,22069,13722,8604,5393,3346,2058,1239,725,395,230,119,62,35,20,12,0,0"
un_least_developed,1848,"5996,10001,16439,26732,42621,67090,105124,167750,279115,486255,880027,1609594,2877366,4872117,7601303,10345163,12517594,13606224,13611809,12256165,9844992,7172497,4920398,3248406,2063842,1268262,765237,460636,277375,166471,99336,59408,35964,22072,13687,8579,5363,3327,2046,1231,729,391,231,116,62,35,20,11,0,0"
un_least_developed,1849,"6023,10044,16518,26864,42839,67429,105660,168595,280503,488670,884430,1618050,2893457,4901489,7651309,10418599,12613279,13715815,13723733,12366634,9949088,7263753,4990837,3297037,2093740,1285410,774857,465862,280167,167904,100036,59688,36041,22060,13654,8530,5339,3317,2047,1227,726,393,230,118,63,34,20,11,0,0"
un_least_developed,1850,"6041,10073,16558,26921,42955,67610,105912,168912,280934,489328,885688,1621005,2900642,4917959,7684302,10471595,12694921,13835179,13831334,12423305,10004396,7384305,5095386,3377725,2149212,1313057,779971,463917,274738,161150,93776,54614,32196,19256,11633,7119,4376,2676,1631,967,573,301,172,87,38,20,11,10,0,0"
un_least_developed,1851,"6053,10098,16609,27011,43091,67851,106328,169606,282133,491599,890021,1629670,2918191,4951561,7742954,10559502,12792676,13916734,13896209,12461894,10001651,7355431,5070776,3363325,2147982,1315901,783109,466492,276443,162254,94570,55210,32637,19567,11872,7284,4494,2758,1688,1007,597,317,181,87,43,20,11,10,0,0"
un_least_developed,1852,"6066,10115,16639,27064,43161,67956,106460,169775,282373,491956,890706,1631463,2922848,4963467,7768560,10603456,12848758,13974711,13944247,12490428,10012550,7357466,5074243,3369961,2155441,1322011,787174,469085,278033,163168,95085,55503,32827,19682,11930,7317,4511,2766,1692,1008,597,317,180,87,43,20,11,10,0,0"
un_least_developed,1853,"6068,10109,16672,27107,43230,68014,106491,169723,282105,491330,889462,1629552,2920347,4961828,7774665,10628960,12901014,14054517,14053820,12611461,10094594,7349164,5023078,3305419,2103198,1285410,766845,456350,271104,160137,93981,55212,32861,19858,12156,7541,4683,2907,1791,1074,641,344,194,96,48,22,11,10,0,0"
un_least_developed,1854,"6058,10118,16681,27123,43243,68014,106430,169487,281471,489946,886663,1624429,2911507,4949639,7763168,10623214,12908506,14085656,14105155,12673193,10148987,7383299,5037605,3311028,2104465,1284393,766605,456266,271185,160436,94314,55460,33001,19942,12198,7558,4704,2912,1798,1077,641,347,197,98,48,23,11,10,0,0"
un_least_developed,1855,"6156,10771,17948,29243,46555,72984,113561,179155,293947,505450,905363,1646132,2934540,4972109,7783502,10635435,12910517,14056076,14030923,12590368,10098403,7367061,5052850,3356884,2163167,1342595,813721,487275,288812,169802,99087,57710,33819,19982,11972,7300,4496,2762,1691,1003,594,319,180,88,46,20,11,10,0,0"
un_least_developed,1856,"6158,10777,17937,29207,46499,72889,113369,178806,293248,504076,902880,1642425,2930125,4969831,7787386,10647664,12936171,14094283,14059708,12593125,10073149,7331132,5033417,3362319,2192016,1383626,852320,517376,309894,183536,107758,62776,36820,21827,13070,7907,4802,2884,1725,1001,585,316,180,89,56,22,11,10,0,0"
un_least_developed,1857,"6150,10760,17896,29115,46359,72701,113110,178391,292529,502830,900655,1639093,2925720,4965279,7784880,10648360,12938163,14094299,14052814,12583156,10075900,7349975,5070090,3401195,2230302,1417666,878635,536136,322712,191948,113171,66146,38944,23178,13908,8414,5099,3056,1818,1055,619,336,197,99,60,32,14,10,0,0"
un_least_developed,1858,"6063,10116,16576,26878,42791,67242,105068,166975,276763,481336,871400,1599361,2871861,4893856,7692633,10530323,12787905,13940396,13931941,12535854,10156838,7551842,5354702,3668256,2420724,1520434,919151,548566,325007,188504,107481,61667,36209,21655,13091,7984,4880,2972,1803,1070,638,349,206,102,58,30,21,12,0,0"
un_least_developed,1859,"6062,10116,16549,26767,42581,66843,104390,165743,274630,477778,865739,1591128,2860971,4881949,7683535,10528672,12796588,13963661,13971455,12582695,10195928,7575409,5376992,3687661,2438286,1536485,930304,555158,328656,190728,108837,62545,36765,21975,13275,8103,4975,3050,1864,1112,668,369,217,105,61,33,21,16,0,0"
un_least_developed,1860,"6060,10117,16559,26762,42571,66814,104305,165576,274243,477051,864416,1589249,2859019,4882301,7692116,10552333,12838540,14024872,14056140,12662261,10227285,7541123,5315772,3644196,2423858,1543398,944683,569039,339417,198546,114221,65990,38871,23259,14045,8572,5259,3224,1965,1173,702,390,220,115,62,34,21,17,0,0"
un_least_developed,1861,"6085,10148,16594,26827,42631,66885,104364,165566,274081,476647,863580,1587637,2856193,4879451,7691906,10557130,12849658,14051175,14108404,12733856,10293582,7583633,5320202,3627739,2403590,1532007,944404,572860,343960,204022,119489,69775,41138,24580,14817,9031,5542,3394,2068,1237,729,401,224,115,64,31,21,15,0,0"
un_least_developed,1862,"6078,10137,16585,26811,42605,66815,104231,165288,273545,475637,861797,1585025,2853047,4877970,7697152,10575206,12883149,14094309,14153535,12786993,10341873,7617670,5330089,3625147,2393587,1524559,941431,572227,344383,205283,121044,70994,41934,25075,15138,9253,5691,3496,2130,1277,751,415,233,120,66,36,21,11,0,0"
un_least_developed,1863,"6107,10190,16673,26961,42833,67187,104763,165987,274360,476485,862709,1586998,2858432,4890774,7722468,10617424,12941787,14164896,14222031,12840970,10368196,7620632,5312580,3601277,2369941,1508905,933074,567793,341933,203946,120352,70580,41639,24857,14991,9158,5630,3456,2099,1258,743,406,227,117,61,40,15,10,0,0"
un_least_developed,1864,"6125,10218,16719,27020,42917,67304,104933,166204,274598,476736,862993,1587707,2860554,4896685,7734373,10636167,12965480,14194044,14255115,12878428,10401718,7647604,5328346,3612976,2376361,1513583,937183,570900,343923,205151,121082,71000,41857,24973,15052,9192,5645,3468,2111,1265,746,410,229,119,62,38,19,10,0,0"
un_least_developed,1865,"6099,10165,16630,26855,42670,66882,104250,165124,272951,474373,859456,1581990,2850832,4882987,7719540,10622260,12953376,14187952,14263092,12906743,10443504,7694370,5376209,3660716,2418919,1548073,961956,586951,353894,211331,124779,73124,43071,25674,15482,9434,5778,3545,2157,1294,766,420,235,121,65,36,21,12,0,0"
un_least_developed,1866,"6110,10166,16638,26887,42692,66904,104269,165100,272826,474058,858872,1581281,2850611,4885486,7727631,10636576,12968465,14206115,14289079,12942624,10475907,7721092,5396363,3683657,2438571,1562855,972038,593026,357433,213410,125911,73579,43217,25695,15449,9390,5742,3515,2139,1276,754,414,232,120,68,30,21,15,0,0"
un_least_developed,1867,"6117,10172,16655,26902,42710,66946,104317,165140,272755,473764,858287,1580885,2851273,4890277,7744645,10673869,13019140,14249613,14307426,12932612,10456644,7714406,5403139,3711619,2477878,1598563,996234,605021,362401,215000,125000,71440,41292,24421,14681,8925,5464,3354,2047,1226,728,407,230,120,62,32,21,16,0,0"
un_least_developed,1868,"6128,10187,16674,26934,42748,66991,104351,165115,272600,473356,857505,1579782,2850076,4890663,7749397,10684231,13029835,14254333,14299941,12908838,10434140,7721850,5454217,3789332,2550537,1649367,1025254,619468,368544,217116,124786,70301,40238,23723,14249,8669,5300,3254,1983,1194,712,397,225,117,61,33,21,16,0,0"
un_least_developed,1869,"6130,10193,16686,26931,42734,66906,104177,164710,271766,471657,854144,1574242,2841722,4883770,7751175,10698665,13055140,14287797,14336852,12944312,10467965,7756635,5488895,3816431,2568668,1659212,1030984,622583,370052,217836,125197,70499,40294,23706,14198,8635,5276,3239,1970,1182,704,392,226,112,60,33,21,16,0,0"
un_least_developed,1870,"6134,10230,16835,27234,43246,67782,105596,166982,275295,476858,861334,1583743,2854154,4901006,7775139,10733294,13099789,14336910,14383086,12974203,10490221,7776203,5513072,3830976,2565664,1645830,1016157,610477,361386,212049,121395,67864,38385,22315,13217,7950,4821,2940,1772,1060,625,345,194,94,47,30,11,10,0,0"
un_least_developed,1871,"6144,10227,16723,26985,42792,66956,104159,164501,271113,470110,850854,1568408,2832749,4873784,7748198,10714506,13094346,14346828,14409906,13012854,10535345,7828318,5561475,3877073,2610897,1684856,1046918,633226,377155,222595,128149,72108,41032,23979,14298,8637,5257,3204,1929,1149,676,375,214,111,55,30,21,10,0,0"
un_least_developed,1872,"6276,10419,17320,28080,44522,69628,108128,170185,278801,480073,863168,1583551,2851389,4897779,7784687,10775381,13185999,14471994,14554985,13155010,10642357,7828196,5452202,3710508,2463186,1593419,1012650,633827,388860,233895,137776,80128,46597,27559,16525,10000,6081,3689,2197,1284,743,412,238,119,70,42,21,15,0,0"
un_least_developed,1873,"6421,10582,17519,28308,44809,69976,108588,170704,279251,480273,862651,1581967,2848287,4893576,7784761,10788771,13215874,14523189,14631686,13253163,10743739,7885013,5465418,3699316,2439786,1565762,990347,620196,381804,230695,137195,80970,47617,28297,17008,10307,6273,3804,2264,1328,770,431,247,124,72,44,22,17,0,0"
un_least_developed,1874,"6557,10749,17714,28534,45053,70271,108957,171047,279363,479779,860654,1577439,2839811,4879769,7768783,10781852,13226015,14554692,14691021,13337431,10842575,7956179,5502693,3716219,2444042,1562196,984154,613740,376474,226988,134788,79489,46823,27804,16705,10112,6161,3752,2244,1329,776,430,247,124,72,40,22,17,0,0"
un_least_developed,1875,"6699,10924,17919,28759,45316,70548,109229,171247,279310,479062,858118,1570861,2824333,4855149,7737924,10750839,13204529,14560241,14743013,13432410,10956859,8043475,5562692,3753939,2465585,1573155,986605,611293,372334,223073,131823,77418,45460,26951,16128,9757,5963,3629,2168,1289,746,414,236,117,70,36,23,15,1,0"
un_least_developed,1876,"6830,11097,18115,29004,45590,70883,109624,171604,279314,478197,855379,1565207,2814256,4838558,7718360,10744446,13225377,14612402,14824256,13533480,11069734,8125438,5604485,3764774,2458283,1555326,965878,593134,358497,213480,125651,73426,43110,25515,15215,9174,5596,3413,2058,1228,722,402,231,113,57,32,23,12,1,0"
un_least_developed,1877,"6980,11302,18377,29325,46022,71442,110387,172539,280221,478785,855075,1563479,2810294,4831275,7711290,10749199,13245171,14648537,14872918,13584644,11124792,8162267,5627255,3782632,2477534,1572165,977930,600714,362865,215862,126904,74045,43398,25655,15267,9200,5598,3414,2053,1224,713,396,227,110,54,32,20,10,1,0"
un_least_developed,1878,"7143,11506,18636,29677,46476,72095,111324,173745,281597,480213,856325,1564628,2811619,4831422,7713313,10764540,13276497,14691046,14926480,13646506,11196095,8214612,5657557,3795806,2480170,1568616,970419,592400,355878,210755,123477,71808,41942,24709,14628,8773,5337,3261,1967,1180,687,382,221,102,50,33,14,10,1,0"
un_least_developed,1879,"7760,12411,19875,31346,48653,74862,114850,178253,287347,487515,865085,1573758,2818456,4831493,7704357,10751830,13256488,14663844,14903544,13652560,11245539,8290170,5739948,3871552,2539677,1609178,994164,606146,364216,215644,126204,73348,42921,25380,15121,9131,5597,3444,2104,1265,743,416,240,113,60,35,14,10,1,0"
un_least_developed,1880,"8426,13376,21228,33188,51051,77994,118935,183582,294157,496181,875917,1587149,2834668,4848277,7720656,10770839,13276596,14692428,14953821,13713907,11312286,8337393,5770877,3893420,2554385,1618024,997918,607236,364293,215224,125500,72656,42366,24971,14837,8940,5466,3365,2045,1230,715,403,232,109,60,28,14,10,1,0"
un_least_developed,1881,"8718,13774,21458,33210,50811,77375,117800,181780,291627,493186,873036,1585736,2836320,4854470,7734367,10795050,13307716,14723083,14976003,13753378,11378551,8405795,5839767,3975160,2630021,1666413,1014062,604931,357548,208722,119818,68594,39987,23789,14357,8789,5421,3343,2038,1224,716,404,233,110,55,31,15,10,1,0"
un_least_developed,1882,"8859,13950,21687,33467,51142,77827,118475,182723,292888,494905,875578,1589800,2842828,4863508,7749771,10830034,13363113,14794260,15053043,13833251,11464120,8473732,5889343,4013211,2654866,1679017,1017629,603869,355292,205957,116831,66155,38343,22789,13752,8434,5212,3228,1966,1190,693,394,229,112,51,31,15,10,2,0"
