unicef_region,time,income_mountain_50bracket_shape_for_log
eap,1858,"28731,39912,56165,83499,133169,228410,418695,822702,1696661,3481018,6848950,12810981,22776568,36365364,50804932,61898697,67217926,64065723,52570116,38708638,25581493,15379505,8940741,5157630,2868171,1600045,902067,501719,281429,162650,97030,59212,36827,23302,14759,9251,5699,3450,2060,1188,668,343,175,60,17,1,0,0,0,0"
eap,1859,"28431,39523,55629,82624,131632,225505,412843,810036,1669066,3424742,6741823,12615407,22453500,35923662,50309211,61431711,66834188,63859449,52513235,38742297,25658241,15435087,8981947,5196069,2910937,1650411,953524,544793,310865,179757,106920,64861,39293,24085,15000,9342,5743,3473,2073,1197,671,342,174,65,18,1,0,0,0,0"
eap,1860,"28148,39172,55118,81807,130172,222731,407256,798014,1642898,3371317,6640590,12431622,22147467,35506453,49840506,60999333,66498759,63716080,52527772,38841143,25809054,15569160,9078313,5248959,2929298,1644373,937740,529619,301023,174928,104944,64585,40031,24998,15666,9763,5997,3627,2174,1256,710,360,183,71,22,1,0,0,0,0"
eap,1861,"27886,38832,54628,81007,128735,219980,401655,785985,1616862,3318474,6541263,12252919,21851537,35109051,49403571,60609333,66216380,63629950,52588055,38958876,25957278,15687935,9160130,5300980,2958592,1653229,935606,524640,297577,173470,104619,65049,40956,25862,16260,10138,6227,3770,2262,1315,738,379,192,72,26,2,0,0,0,0"
eap,1862,"27732,38707,54576,81114,129231,221469,405491,793062,1627320,3330250,6536164,12208970,21756873,34907073,49149348,60349774,65931429,63386957,52441206,38931813,26017027,15751087,9201261,5318143,2957887,1645732,932106,524798,298762,174634,105515,65680,41415,26213,16511,10316,6349,3847,2307,1343,753,391,194,75,28,2,0,0,0,0"
eap,1863,"27788,38893,54909,81555,129616,221341,403639,786491,1609558,3290468,6457455,12061520,21509648,34575163,48791453,60039041,65707003,63331252,52514384,39059449,26173175,15881484,9296124,5385243,3001066,1672507,950289,536828,306176,179004,107997,67094,42235,26705,16810,10509,6457,3911,2343,1360,766,402,205,81,30,4,0,0,0,0"
eap,1864,"27576,38647,54588,81080,128836,219998,401111,780666,1595599,3259647,6392506,11936822,21297261,34275119,48461931,59747329,65484887,63252829,52557052,39163878,26305584,15987987,9376396,5444596,3043405,1700325,970119,551082,315852,185106,111706,69351,43597,27516,17294,10793,6621,4015,2412,1401,788,413,211,86,30,6,0,0,0,0"
eap,1865,"27046,37841,53325,79036,125440,214159,390508,760747,1557314,3188788,6272594,11733545,20974804,33870899,48030972,59388894,65274215,63277020,52747755,39408462,26562857,16187838,9508808,5522740,3085339,1720272,978527,553048,315179,184135,111073,69002,43436,27470,17298,10808,6643,4031,2422,1405,795,418,211,84,31,5,0,0,0,0"
eap,1866,"26811,37537,52853,78216,123898,211064,384000,746998,1528436,3132102,6172236,11559557,20690462,33507494,47642168,59069739,65090540,63302259,52917782,39609644,26755000,16319641,9588516,5569956,3114544,1738335,991962,562911,321926,188477,113770,70661,44450,28076,17668,11025,6779,4116,2466,1437,810,424,217,86,31,6,0,0,0,0"
eap,1867,"26560,37193,52321,77283,122079,207396,376226,730617,1494531,3066416,6058340,11368732,20379273,33118769,47232527,58734753,64911007,63352325,53115569,39821358,26945760,16455574,9680097,5634689,3159059,1767768,1014014,580600,335225,197613,119599,74292,46684,29404,18440,11477,7042,4271,2561,1490,843,443,227,95,33,9,0,0,0,0"
eap,1868,"26381,37010,52136,77069,121859,207253,376390,730467,1491686,3055842,6025196,11289166,20236099,32887778,46959319,58486443,64694955,63227925,53096630,39883942,27056376,16548580,9745158,5678294,3186548,1781938,1021626,585269,338346,199659,120868,75053,47169,29725,18654,11618,7131,4328,2596,1520,851,453,232,97,33,10,0,0,0,0"
eap,1869,"26215,36797,51776,76332,120253,203685,368902,714816,1459067,2984932,5876450,11013912,19769958,32325483,46508433,58265962,64719142,63480249,53466507,40232995,27369850,16780003,9895557,5766743,3233912,1803680,1031148,588611,338722,198980,120038,74362,46681,29424,18471,11521,7086,4316,2596,1521,868,457,234,99,36,12,0,0,0,0"
eap,1870,"26032,36564,51389,75602,118788,200624,362289,700793,1430111,2929659,5783111,10859104,19523300,32033702,46229392,58086460,64701660,63677527,53784207,40536057,27622675,16949994,9999690,5832597,3276927,1829524,1047450,600593,347513,205063,123951,76779,48147,30296,18994,11824,7264,4413,2655,1560,887,464,239,100,36,12,0,0,0,0"
eap,1871,"26008,36505,51324,75543,118822,200898,363208,703349,1436277,2942433,5806916,10900631,19590560,32120889,46312867,58147854,64747519,63703189,53790875,40537045,27646863,16984762,10035984,5865471,3304784,1850341,1064029,613282,356396,210844,127503,78935,49458,31085,19467,12112,7443,4523,2726,1596,912,484,246,103,38,13,0,0,0,0"
eap,1872,"26373,37100,52229,76803,120271,202079,363228,700964,1429152,2926692,5781991,10870009,19553190,32120233,46378559,58307417,65077737,63992471,53990144,40657443,27693871,16990753,10040194,5882423,3333006,1877111,1086104,632364,371032,221081,134037,82928,51825,32460,20261,12560,7712,4673,2809,1656,947,506,258,112,42,14,2,0,0,0"
eap,1873,"26207,36907,52069,76762,120444,202726,365152,705800,1439737,2947282,5817333,10932676,19670859,32303429,46660016,58683045,65526025,64252956,54069463,40654061,27642338,16925756,9994109,5866613,3342611,1894230,1103994,649175,384757,230926,140287,86608,53868,33541,20798,12828,7837,4734,2834,1665,957,509,264,114,46,13,5,0,0,0"
