g77_and_oecd_countries,time,income_mountain_50bracket_shape_for_log
g77,1810,"316339,453364,612832,825917,1119822,1557337,2239269,3334686,5142840,8156397,13068334,20924234,33121037,49716821,67124137,81631637,91329994,93914398,86761075,68804280,46323499,28223455,16514096,9580584,5585421,3294397,1976019,1213007,764170,494025,328511,222732,153330,105916,72992,49673,33262,21873,14117,8965,5619,3486,2163,1344,835,501,277,63,14,3"
g77,1811,"319399,457528,618433,833494,1130251,1572356,2261468,3368581,5195808,8240191,13196890,21124221,33432982,50168134,67698932,82266741,91937946,94374919,86987721,68799864,46231273,28151725,16471909,9558687,5574416,3288719,1973179,1211851,763751,493989,328643,222895,153480,106033,73068,49721,33291,21889,14125,8967,5620,3483,2164,1341,836,502,277,61,14,3"
g77,1812,"322545,461806,624150,841255,1140905,1587636,2283962,3402757,5249189,8324702,13326714,21325715,33741594,50606471,68251171,82910710,92621832,94958079,87318079,68852435,46171729,28103682,16447161,9549002,5571654,3288421,1973829,1212955,764836,494956,329460,223526,153966,106400,73325,49902,33408,21966,14173,8998,5639,3503,2174,1350,838,506,278,60,13,2"
g77,1813,"326031,466533,630527,849861,1152686,1604445,2308518,3439789,5306393,8414101,13462614,21535290,34064181,51062276,68809731,83557664,93316180,95570434,87692062,68978625,46196775,28116100,16457571,9557920,5578464,3293212,1977219,1215428,766638,496291,330448,224252,154495,106775,73580,50073,33522,22036,14218,9024,5656,3509,2183,1355,845,507,279,60,13,2"
g77,1814,"329977,471788,637566,859365,1165780,1623197,2336136,3481735,5371687,8516580,13619624,21780595,34446900,51605063,69476096,84301269,94054573,96153709,87985434,69007933,46142717,28078369,16438827,9550529,5576269,3293131,1977918,1216450,767654,497197,331213,224836,154939,107103,73810,50230,33618,22097,14256,9051,5672,3521,2188,1362,845,511,281,61,14,2"
g77,1815,"334899,478740,647653,874476,1189142,1660057,2395432,3574128,5516272,8721029,13869129,22069575,34800579,52078308,70082645,85005974,94745224,96675172,88237434,69031720,46094279,28043764,16421013,9542448,5572776,3291712,1977401,1216450,767810,497436,331470,225062,155139,107266,73929,50318,33684,22142,14289,9070,5683,3526,2193,1366,848,514,282,60,14,2"
g77,1816,"336529,480549,648814,873601,1183900,1646877,2368367,3528874,5444551,8635808,13822421,22134669,35063156,52546408,70762461,85874659,95653353,97462021,88765464,69283980,46207253,28105474,16452736,9556396,5577606,3292033,1976123,1214866,766305,496107,330376,224125,154396,106690,73501,50012,33463,21999,14193,9012,5654,3518,2189,1363,850,514,282,60,14,2"
g77,1817,"338785,472938,634881,853829,1159632,1619540,2340444,3505808,5438354,8670640,13925760,22330515,35381233,53000450,71306803,86537373,96416437,98158564,89255919,69512124,46370793,28263187,16550729,9607200,5600671,3299647,1975882,1212121,762929,493068,328096,222389,153119,105756,72787,49476,33066,21710,13992,8875,5554,3448,2142,1335,830,501,274,58,13,2"
g77,1818,"295442,406370,547058,742893,1023641,1456691,2150431,3291783,5215426,8468331,13801763,22415308,35897479,54111777,72934872,88422684,98119426,99119794,89360202,69014281,45828994,27937499,16405305,9563089,5603153,3317613,1994916,1228674,775167,502129,334612,226999,156372,108011,74316,50473,33689,22077,14202,8986,5618,3479,2157,1342,834,502,274,56,13,3"
g77,1819,"327097,443942,589219,788510,1071355,1504924,2199069,3341802,5267271,8516265,13827225,22406006,35908623,54313927,73481325,89241644,98965835,99786200,89860756,69359443,46030338,28050210,16481052,9609080,5628943,3328512,1998086,1227130,771668,497751,330336,223063,152993,105242,72058,48716,32370,21116,13526,8531,5314,3294,2044,1275,796,486,265,54,12,3"
g77,1820,"327412,448634,597850,801860,1092555,1538032,2255090,3437532,5427148,8756523,14119149,22610836,35753735,53613941,72727730,88965949,99360248,100719998,90933142,70270908,46794358,28647024,16892615,9872241,5783587,3411512,2038684,1243800,776585,496794,326782,218011,147295,99605,66916,44427,28987,18551,11616,7122,4263,2492,1429,798,437,239,117,41,13,3"
g77,1821,"283089,392856,528232,716009,986217,1404333,2084061,3217381,5149984,8449705,13863340,22493358,35815465,53974620,73745256,90657188,101088096,101859369,91425152,70218580,46726947,28632465,16911063,9905044,5815761,3436760,2054265,1253653,781946,499692,328059,218227,146604,98357,65452,43029,27780,17579,10869,6558,3852,2199,1223,652,334,168,79,36,12,3"
g77,1822,"240064,336756,457401,628119,878307,1273230,1929948,3044695,4971991,8292308,13771746,22544323,36116709,54606129,74700944,91791046,102104403,102589082,91921647,70530596,46919617,28723299,16939583,9903322,5803068,3419829,2036550,1237723,768222,488886,319731,211935,141896,94851,62839,41117,26425,16645,10244,6155,3605,2049,1140,608,311,156,72,35,11,3"
g77,1823,"280712,389991,522700,705788,968573,1376076,2046853,3177250,5121241,8462944,13974150,22757217,36233771,54574434,74652378,91854515,102411176,103102118,92512045,71083438,47369007,29090645,17208473,10073693,5902454,3472726,2063344,1249416,772575,489620,318958,210711,140596,93713,61887,40394,25901,16289,10014,6010,3522,2006,1117,600,309,159,77,36,11,3"
g77,1824,"236513,332666,451411,618996,864466,1252919,1906918,3026595,4976880,8352831,13932016,22798241,36371254,54867190,75425621,93118254,103737715,104090637,93291046,71597368,47580343,29117678,17180633,10035092,5869237,3445965,2043257,1234412,761026,480907,312140,205514,136651,90740,59708,38801,24791,15527,9516,5702,3339,1908,1064,578,303,155,76,36,14,3"
g77,1825,"231569,325620,440878,603021,839440,1213774,1846441,2936843,4852043,8205487,13807927,22786212,36562992,55380038,76271388,94185613,104742177,104739468,93662863,71948937,47915825,29327777,17288424,10085141,5892832,3458115,2048874,1237966,762989,482259,313066,206134,136969,90910,59818,38869,24824,15546,9514,5697,3331,1903,1061,578,300,157,76,36,14,3"
g77,1826,"302814,421494,561266,749129,1012508,1414072,2071803,3180984,5094693,8421471,13984356,22947968,36686582,55373042,76207785,94181527,104920158,105054581,94084679,72466719,48404853,29707838,17550061,10253428,5994180,3515406,2079878,1253866,771077,486120,314810,206891,137216,90932,59777,38805,24749,15478,9457,5644,3294,1871,1038,565,298,153,72,36,13,4"
g77,1827,"430256,591625,773415,1004697,1311689,1754339,2441431,3554913,5422251,8639508,14062593,22921685,36693823,55145426,75308036,93135776,104788934,105982856,95013768,73077342,48998029,30259449,17953826,10514748,6147488,3603444,2128912,1282180,787095,495560,320000,209654,138599,91504,59986,38830,24708,15419,9406,5602,3265,1850,1029,556,288,149,76,33,13,4"
g77,1828,"411376,565527,740014,962706,1257779,1682608,2341165,3410302,5212086,8353992,13751938,22732684,36968858,55949607,76184665,93846214,105563390,107067700,96175778,73938030,49373990,30331500,17940663,10487362,6116561,3572949,2101203,1258349,767495,479603,307443,199959,131151,85988,55960,35981,22765,14151,8615,5124,2991,1700,953,517,274,143,76,33,15,3"
g77,1829,"423643,580632,758542,984888,1282905,1709324,2365552,3425654,5209163,8324992,13702472,22690361,37083832,56492371,77215249,95038198,106514695,107691425,96302975,73850094,49365656,30408366,18008249,10532215,6142311,3588389,2109943,1263266,770088,481098,308186,200317,131309,86040,55990,35992,22773,14152,8602,5119,2980,1689,944,510,270,136,74,33,15,2"
g77,1830,"383285,528371,694374,908244,1191986,1602363,2238620,3274725,5031942,8125154,13498018,22535413,37177192,57207840,78701909,96882698,108122132,108625842,96437311,73585417,48990910,30131292,17871418,10480742,6137687,3605062,2131880,1283081,785235,492131,315921,205688,135126,88766,57978,37428,23780,14829,9053,5396,3150,1788,996,537,281,139,73,32,14,2"
g77,1831,"347917,475754,623771,814864,1065218,1423611,1979670,2891269,4481299,7316290,12269845,20578975,34726486,56416628,81672002,102569652,113440286,111481512,96970629,72913060,48084445,29353596,17258850,10009656,5796423,3362818,1964510,1170161,709532,442331,283802,186273,124614,83993,56578,37731,24750,15927,10027,6152,3679,2127,1203,652,336,165,80,34,13,3"
g77,1832,"245541,339598,453205,606617,814065,1122340,1620389,2470414,3992951,6743682,11531599,19477639,33091734,55521132,84302252,107331553,117547838,114159182,97361688,71863781,47071434,28664216,16817018,9743510,5636918,3273761,1916639,1147761,702141,444078,290346,194937,133642,92356,63819,43708,29484,19518,12627,7959,4871,2880,1645,891,457,218,96,39,13,3"
g77,1833,"128142,182570,256050,366255,523993,773449,1199588,1967383,3408290,6095758,10839833,18814005,32722930,56112246,86330205,109982810,119721004,115852859,98144603,71837406,46743107,28282509,16497116,9504534,5477978,3170550,1853380,1108724,678562,430143,282319,190644,131637,91715,63885,44136,30034,20049,13074,8304,5121,3043,1741,948,485,230,100,42,13,4"
g77,1834,"120366,172518,243619,351250,505944,750695,1168358,1921004,3331746,5967591,10639793,18543926,32409873,55983312,86845319,110926936,120760382,116742626,98578224,71927893,46795055,28349124,16551759,9541557,5501089,3183910,1862148,1114963,683383,434030,285262,192899,133306,92939,64777,44783,30496,20383,13305,8452,5220,3102,1777,970,495,233,106,41,13,4"
g77,1835,"125472,181204,256730,369568,530943,785036,1215566,1983639,3401938,6031705,10683198,18499084,31977110,54915026,86225359,111644386,122194818,117918885,99234732,72263780,47060432,28503942,16631047,9561608,5486444,3157713,1836563,1094959,668768,423693,277880,187701,129606,90391,63030,43617,29746,19913,13020,8289,5124,3052,1750,959,488,235,105,42,13,4"
g77,1836,"135435,193624,272600,389819,556998,818742,1259793,2041747,3478560,6129608,10790501,18604718,32099620,55042914,86336931,111878309,122712832,118530536,99530522,72257771,47066873,28585166,16697428,9602908,5513961,3178797,1854485,1109357,680385,432564,284507,192563,133158,92991,64890,44961,30686,20558,13454,8564,5298,3158,1813,992,513,243,109,44,14,4"
g77,1837,"140175,200686,283411,406165,582305,856855,1312770,2104247,3525100,6107660,10639560,18360614,31711385,54384130,86149158,112582068,123864429,119513351,100072656,72630172,47396038,28779088,16788420,9631027,5513650,3172506,1849471,1106266,679356,432510,284911,193153,133722,93492,65283,45271,30919,20721,13570,8648,5354,3197,1838,1009,520,247,110,45,15,4"
g77,1838,"139938,200203,283224,406394,583608,860178,1319134,2115078,3541557,6137289,10706255,18488877,31849647,54343191,85865832,112614322,124493313,120226516,100629120,73077316,47656029,28914437,16869717,9681690,5541831,3187670,1856740,1108892,679759,431814,283992,192229,132923,92824,64749,44874,30624,20518,13430,8553,5288,3159,1821,998,518,245,110,45,17,4"
g77,1839,"138481,198813,282261,406415,586371,868597,1337730,2147806,3589623,6201660,10801291,18605327,31772290,53851822,85327023,112961869,126166306,121440796,100831037,72839435,47682095,29118205,17026791,9770990,5587725,3212254,1868441,1114019,680997,431504,282499,190482,131158,91240,63451,43846,29847,19941,13012,8273,5109,3047,1751,964,502,240,109,45,16,5"
g77,1840,"141611,203139,288088,413944,596254,880429,1349169,2149303,3564922,6131941,10712802,18586444,31815119,53763793,84899696,112612840,126526281,121844454,101436818,73566111,48327772,29667142,17389980,9979491,5698672,3265892,1889629,1117699,675653,421993,271842,180098,121816,83342,57004,38791,26007,17126,11029,6933,4239,2513,1440,799,418,203,96,44,17,6"
g77,1841,"148302,211907,299339,429003,616736,908710,1386266,2187080,3584904,6102877,10649565,18566184,31876132,53510510,83654338,111898389,127539301,122798962,102251422,74433415,48964323,30106826,17642397,10108843,5762781,3291926,1891654,1107553,659813,404748,255420,165595,109547,73377,49105,32679,21416,13782,8681,5345,3217,1884,1078,603,325,166,87,43,17,6"
g77,1842,"137758,198387,281663,405860,586401,868546,1330928,2102769,3434654,5816187,10143218,17843456,31203325,53688109,85560412,114239683,128717126,122862079,102125938,74200816,48880175,30159287,17734521,10191667,5822311,3330435,1917314,1125929,672727,414144,262171,170387,112911,75736,50778,33866,22259,14382,9087,5612,3395,1996,1144,642,346,181,95,47,18,6"
g77,1843,"125562,182750,261303,379345,551803,824103,1274027,2031473,3347083,5708734,10017521,17723933,31176589,54025063,86595629,115807785,129979948,123031281,101668368,73789679,48640372,30117002,17802847,10291792,5919893,3411724,1978502,1169859,703241,435130,276625,180356,119815,80535,54090,36140,23785,15375,9726,6011,3624,2130,1219,679,361,190,98,48,20,7"
g77,1844,"117161,171442,247001,360393,525172,785470,1216499,1943472,3210418,5497860,9693422,17244861,30619642,53818405,87294771,117224784,131238206,123682825,102009582,74170861,48912915,30221206,17850514,10327180,5942061,3423018,1982432,1169963,701250,432773,274315,178378,118290,79414,53326,35639,23471,15181,9605,5938,3587,2106,1203,671,357,186,95,45,18,5"
g77,1845,"110247,160512,231783,339837,497268,747298,1163098,1865263,3092803,5319679,9419663,16859619,30269576,53864923,87863231,118274800,132328980,124209831,102386129,74653414,49285041,30374663,17905602,10355422,5945238,3410335,1962968,1151364,685606,420903,265562,172138,113894,76374,51274,34279,22587,14625,9260,5727,3459,2036,1165,649,343,180,91,43,18,5"
g77,1846,"106689,157228,228489,336806,495265,748303,1171335,1888548,3144215,5414056,9555114,17021504,30449484,53912527,87449275,118063979,132742700,124931871,102891875,75146367,49708634,30609299,18043836,10449237,5995445,3429797,1966598,1149106,681967,417634,263218,170597,112893,75751,50860,33986,22384,14485,9152,5645,3404,1994,1142,631,338,176,88,44,17,5"
g77,1847,"102144,152086,222185,328881,485182,735486,1154794,1867030,3118166,5386851,9532308,16991387,30395191,53732776,87426254,118762764,133660754,125806854,103367038,75456415,49912067,30678940,18068031,10465877,6007246,3437486,1973445,1154381,686380,420877,265666,172372,114204,76706,51545,34470,22724,14704,9300,5743,3464,2036,1163,643,345,181,93,45,18,7"
g77,1848,"108301,159119,229530,335257,488623,731851,1137461,1825662,3036011,5241984,9319475,16751660,30202755,53668895,87888260,120069623,135061134,126467691,103332721,75440818,49969142,30719079,18128300,10539484,6067771,3478394,1998640,1169119,695689,426575,269419,174807,115898,77884,52385,35096,23159,15004,9506,5886,3558,2091,1194,670,360,189,99,46,18,7"
g77,1849,"112986,164995,236466,343681,498839,744325,1153434,1847858,3072645,5306008,9419350,16895170,30423132,53989525,88068978,119954661,134700703,126195092,103279969,75781435,50495356,31303240,18518162,10706422,6112715,3475030,1984197,1156666,687576,421328,266399,172897,114714,77065,51843,34718,22890,14820,9377,5795,3497,2054,1174,655,351,183,94,44,18,6"
g77,1850,"122247,176134,249324,358730,516232,764188,1175705,1872375,3099048,5325649,9403079,16799835,30245883,53823548,88040295,120031058,134948293,126649562,103606530,75964404,50620986,31401647,18608253,10771129,6154386,3500800,2001330,1168193,695315,426309,269665,175004,116115,77996,52492,35171,23201,15034,9523,5885,3558,2092,1200,672,363,193,101,47,21,6"
g77,1851,"121047,174766,246763,354338,508909,751926,1155646,1842094,3056981,5284136,9380458,16776583,30090103,53249606,87176633,119578253,134923704,126820666,104107437,76709977,51200651,31722344,18769241,10858869,6210067,3538440,2026259,1184118,705458,432607,273634,177516,117765,79124,53290,35743,23615,15331,9729,6031,3655,2159,1244,700,384,205,109,53,23,6"
g77,1852,"130306,186390,261106,371869,530118,776946,1184765,1878164,3109233,5357873,9441998,16753728,29926975,52995826,87049502,119511361,134943160,126844830,103992333,76600157,51137147,31691819,18774250,10884561,6236143,3559443,2042624,1195414,712783,437049,276174,178946,118543,79565,53549,35885,23697,15371,9750,6047,3664,2165,1251,705,390,208,110,56,24,7"
g77,1853,"131141,187262,262599,374054,533505,782145,1193244,1892236,3130592,5394202,9519526,16908788,30138592,53144007,86699041,118523260,133885294,126112162,103946822,76877442,51386267,31861129,18922620,11005569,6323797,3619926,2083471,1221912,729715,447632,282676,182926,120989,81085,54499,36473,24053,15572,9853,6101,3686,2174,1249,702,382,205,111,56,25,7"
g77,1854,"133767,190242,266842,380539,543906,799432,1223031,1943570,3217917,5529100,9675030,17006550,30099700,53055433,86695032,118153117,133223900,125475086,103699123,76976457,51456431,31860776,18929742,11028023,6344199,3632367,2088756,1223543,729499,446882,281932,182330,120605,80900,54471,36549,24194,15739,10019,6237,3799,2254,1309,745,408,220,119,60,27,8"
g77,1855,"133366,189060,264911,377428,539056,791063,1208549,1918931,3175123,5465797,9611999,16949024,29921807,52584391,86422643,118084338,133049624,125318413,103773905,77041617,51488533,31893115,18966766,11074437,6389403,3669922,2117396,1243694,743708,456651,288683,187069,123982,83391,56310,37929,25204,16465,10534,6594,4035,2407,1403,796,437,233,122,59,25,6"
g77,1856,"136204,196229,277020,395020,564015,826434,1259689,1998317,3303690,5681337,9988274,17528479,30535023,52661031,85631810,116903183,132093076,124929436,103665110,77107802,51524102,31860603,18947085,11071746,6395360,3679576,2127113,1253387,752755,465055,296178,193559,129381,87706,59629,40433,27078,17855,11559,7325,4544,2747,1617,926,509,268,137,64,28,10"
g77,1857,"145394,208105,292531,416197,593828,868864,1322740,2092887,3443782,5888190,10252889,17776520,30561200,51974318,83864917,114918066,131683039,125898013,104638818,77586744,51717921,31902757,18949844,11063160,6382372,3670110,2122250,1251301,752791,466250,298003,195652,131514,89683,61391,41917,28286,18812,12283,7864,4929,3014,1789,1027,571,301,149,72,28,9"
g77,1858,"147486,211438,297452,422294,600607,874727,1324311,2086641,3425217,5858991,10257485,17895424,30836307,52197209,83356594,113860966,131073925,126134983,104914500,77605858,51659488,31883077,18967188,11092368,6411394,3693830,2140611,1264417,762426,473127,303010,199371,134281,91760,62919,43030,29094,19380,12692,8150,5117,3133,1872,1077,599,317,159,77,29,9"
g77,1859,"146541,210660,297281,423101,603713,882851,1343716,2131122,3525488,6079924,10693063,18578526,31472690,52016410,81827569,111875052,129901559,126334847,105479866,78259851,52139268,32044731,19000268,11093572,6410080,3697044,2145675,1268631,766802,476703,305951,201739,136249,93352,64193,44030,29847,19950,13113,8451,5334,3286,1964,1134,633,337,167,79,31,11"
g77,1860,"141304,203436,286639,407111,578897,845280,1287550,2057625,3435768,5980047,10534429,18246220,30925968,51669645,82568760,113367469,130561387,126965036,105691971,77541923,51432541,31566503,18730604,10964025,6350590,3678336,2151113,1287120,792157,504551,333216,226850,158174,111753,79178,55873,38969,26763,18030,11877,7620,4748,2850,1646,902,461,225,98,35,12"
g77,1861,"131968,191985,272800,390455,558606,819808,1254342,2013921,3380354,5907869,10439043,18152420,30966336,52024104,83155317,113886213,130565950,127039125,105708499,77189762,50996996,31291305,18632669,10963393,6387362,3717426,2184317,1311965,810959,518757,344218,235460,164974,117056,83262,58939,41222,28378,19160,12638,8116,5053,3037,1746,952,483,231,98,35,11"
g77,1862,"127488,187131,267574,384656,552379,813989,1251106,2017133,3396412,5945350,10492912,18199524,30946287,52066247,83687205,114794467,131183709,127117532,105388499,76640250,50509723,30981259,18490581,10915516,6382901,3728285,2198441,1324842,821683,527531,351272,241281,169754,121004,86460,61453,43163,29830,20217,13386,8622,5387,3244,1867,1020,521,249,106,37,12"
g77,1863,"119202,176481,254300,367367,528429,779672,1199903,1939854,3284932,5793393,10334000,18149045,31150757,52645076,84331869,115052420,130948870,126855991,105346876,76670348,50504329,31022017,18568659,10995298,6447916,3777020,2231911,1346589,835201,536090,356684,244788,172085,122602,87560,62206,43672,30173,20452,13538,8725,5455,3282,1893,1033,527,253,106,36,12"
g77,1864,"114208,170444,246264,355354,509270,749459,1153484,1871139,3189583,5676788,10237833,18140207,31192166,52686557,84384681,115322215,131383798,126832800,105179130,76714579,50630794,31170549,18715619,11108428,6521530,3822509,2257738,1362185,844418,542198,360693,247646,174107,124087,88683,63039,44281,30611,20761,13754,8868,5542,3331,1924,1048,534,254,108,34,11"
g77,1865,"114989,169168,243800,351471,502797,737869,1132424,1835463,3137664,5610014,10166293,18089006,31302661,53196191,84895069,115290635,131020191,126656715,105322360,76903719,50679093,31179605,18763435,11176945,6580312,3863972,2285432,1380960,857279,551105,366950,252110,177408,126504,90455,64295,45148,31194,21135,13986,9012,5622,3376,1950,1058,538,254,106,36,11"
g77,1866,"118562,173670,248893,356431,506311,738137,1126993,1822032,3116209,5584065,10150297,18125570,31449241,53313815,84525072,114708033,130863377,126976293,105799053,77298799,50897118,31308000,18862580,11251320,6630694,3896875,2305581,1392384,863452,554078,368138,252340,177179,126132,90041,63927,44845,30956,20957,13859,8924,5566,3345,1930,1050,532,253,107,36,11"
g77,1867,"129345,190063,270373,382640,536772,772656,1165157,1863338,3160966,5627284,10187209,18155159,31504900,53252551,84074742,114209008,130738238,127059858,106043336,77670854,51208878,31562899,19044708,11364480,6695482,3934402,2327293,1405311,871345,558758,370990,254009,178150,126652,90312,64044,44886,30968,20958,13847,8919,5559,3346,1931,1052,538,252,103,37,11"
g77,1868,"155563,227286,317435,439572,603980,851359,1257431,1969949,3280771,5757712,10339870,18317371,31499876,52796265,83337576,113857992,130805616,127136593,106201654,77895366,51415182,31772741,19224260,11499502,6789828,3996552,2365341,1427836,884071,566177,375153,256420,179435,127309,90609,64114,44846,30875,20853,13761,8846,5506,3308,1909,1042,531,251,104,36,11"
g77,1869,"169275,247764,343535,471311,642062,897347,1315238,2044123,3374731,5876311,10498765,18513573,31644953,52769472,83058593,113463057,130470113,126994494,106392958,78161467,51677741,32043717,19438114,11651261,6894390,4066899,2413035,1459799,905728,580941,385181,263110,183660,129830,92010,64817,45125,30931,20801,13660,8747,5425,3245,1865,1017,518,244,105,36,10"
g77,1870,"146739,216441,302521,419830,578643,819338,1218692,1925168,3228322,5694740,10279112,18302859,31615146,53053301,83478931,113751120,130514352,127335106,107044867,78523058,52002534,32405544,19642244,11729223,6913312,4065498,2407863,1454467,899452,574824,379182,257500,178516,125354,88257,61787,42769,29136,19468,12708,8080,4984,2963,1696,922,471,223,94,34,12"
g77,1871,"125419,187554,265846,374084,522724,751352,1136233,1824703,3105026,5542431,10100108,18102710,31409509,52933189,83792176,114359326,130735962,127661145,107727810,79060578,52496602,32849744,19890391,11842616,6956693,4071919,2399382,1439128,882121,557842,364013,244392,167675,116569,81292,56391,38644,26040,17195,11078,6943,4221,2476,1398,748,377,177,74,28,10"
g77,1872,"89893,138428,203009,296188,427915,636063,994614,1650947,2892526,5283226,9775080,17715415,31072788,52815211,83882050,114648799,131505904,129146651,109229575,79778197,52886757,33067557,19944474,11829023,6932850,4050397,2383811,1427675,872925,550153,357177,238373,162446,112132,77666,53537,36468,24423,16027,10265,6397,3870,2257,1275,678,344,164,73,27,10"
g77,1873,"83450,128770,190094,279954,407911,611647,964402,1612197,2838993,5208571,9669149,17545670,30755550,52424938,83884598,115311509,132630313,130421675,110282042,80278292,53061963,33108455,19926162,11795215,6907115,4031718,2369657,1417665,866067,545719,354382,236725,161523,111680,77497,53534,36560,24546,16157,10381,6487,3939,2310,1307,699,354,170,74,31,11"
g77,1874,"82814,129521,191664,282353,411560,617182,971904,1618934,2831486,5159630,9536182,17261433,30103380,51136808,82702467,115795550,134974447,133059928,111952131,80832904,53023036,32818377,19707455,11687989,6871377,4031167,2377560,1422468,868048,546379,354370,236719,161502,111694,77516,53575,36615,24603,16220,10434,6532,3977,2328,1321,706,362,172,79,32,12"
g77,1875,"76368,118802,176935,262108,383906,578584,915126,1533220,2697292,4944486,9198435,16813759,29687037,50820007,82504579,116121599,136362746,134731938,113050211,81339689,53409138,33138970,19856084,11722707,6872085,4024292,2367559,1412150,858890,538981,348635,232544,158598,109820,76344,52919,36277,24478,16200,10469,6586,4031,2375,1350,724,369,180,79,32,11"
g77,1876,"83178,126974,184971,271395,396147,595697,938554,1562659,2721456,4938891,9117713,16600178,29171881,49684308,81221260,115954619,137927647,137149364,114786005,82074385,53675554,33268844,19875001,11687676,6839034,4006464,2362083,1411735,859581,539144,348408,231988,157977,109183,75763,52467,35945,24250,16045,10380,6538,4005,2369,1354,729,377,185,84,34,12"
g77,1877,"84868,128305,186707,272823,397300,595405,934819,1550110,2685476,4859067,8975613,16402134,28855772,48972854,80162482,115298425,138695163,138776591,116674153,83806613,54629336,33576765,19892906,11605918,6736006,3910666,2282623,1350393,814879,506749,325234,215423,146097,100700,69706,48198,32996,22259,14732,9537,6014,3688,2187,1255,682,355,175,82,36,14"
g77,1878,"85763,129003,188799,275987,402024,600402,937150,1538687,2640958,4748888,8792672,16201880,28732013,48700477,79382285,114482622,139012429,139578617,117934969,85699891,55934307,34100585,20051488,11634626,6726636,3890703,2256277,1322566,787879,481670,302742,195843,129667,87326,59146,40077,26905,17805,11586,7384,4597,2796,1644,943,518,275,137,65,29,11"
