landlocked,time,income_mountain_50bracket_shape_for_log
coastline,1821,"57580,91317,150677,257500,452751,800047,1398545,2358105,4005920,6980514,12470087,22131848,37654193,59670662,85651250,109143575,126563018,131392065,120713913,99303435,74043923,51838755,34379855,21805055,13413984,8119356,4950936,3051052,1864459,1121997,672233,406508,245553,147851,89112,53348,31615,18589,10662,5920,3155,1677,858,409,196,100,54,27,10,5"
coastline,1822,"57697,91298,150438,256875,451128,797815,1398534,2369746,4040558,7051776,12597289,22356214,38025975,60196099,86281740,109784319,127149611,131814178,121034035,99557450,74436469,52346724,34888240,22179351,13641731,8252533,5029427,3100252,1895262,1140292,682800,412650,249184,149997,90408,54097,32065,18844,10809,6000,3201,1687,877,415,199,104,56,27,10,6"
coastline,1823,"57724,91157,149841,255593,448432,794018,1396397,2378959,4072156,7118456,12716786,22567167,38367819,60664232,86833974,110354040,127691258,132259590,121437340,99934191,74819619,52803334,35373351,22600032,13971366,8487191,5185632,3200187,1956904,1176623,703376,424113,255709,153677,92543,55380,32813,19300,11065,6147,3274,1725,898,426,207,112,64,35,15,10"
coastline,1824,"57829,91152,149273,254890,447177,793094,1399331,2397513,4121040,7216979,12884447,22844654,38805022,61220119,87450284,110931101,128163054,132526537,121547854,100039449,75074990,53300139,35987072,23151062,14399481,8780583,5374650,3329777,2045996,1232960,736407,442643,266644,159898,96213,57579,34165,20119,11573,6444,3443,1814,951,451,232,117,67,36,17,10"
coastline,1825,"58064,91425,149364,254795,446471,792236,1400536,2410582,4155946,7285380,13004256,23054970,39142217,61706611,88042773,111577683,128871939,133220793,122168479,100500822,75532007,53718911,36356337,23410101,14562600,8891621,5455627,3388664,2087850,1260996,754137,453405,273242,163872,98628,59064,35058,20661,11908,6635,3555,1877,978,472,233,121,71,37,17,10"
coastline,1826,"58024,91165,149519,254218,444597,789033,1396759,2414277,4174923,7329493,13090300,23223812,39411047,62107488,88533461,112091412,129416007,133791146,122763170,101096622,76184888,54371810,36957134,23859526,14868605,9059767,5522987,3395763,2069191,1240411,739825,445508,268265,161372,97369,58432,34791,20535,11849,6617,3572,1891,996,483,234,117,63,31,10,6"
coastline,1827,"58174,91181,148521,252689,441600,784549,1392257,2419731,4201209,7391006,13204371,23434593,39762407,62604327,89138986,112759194,130131672,134463721,123386087,101628334,76649987,54761294,37275299,24097319,15031011,9190671,5639967,3500613,2153849,1298845,775850,466192,280811,168440,101442,60786,36130,21303,12294,6877,3690,1936,1017,500,242,129,72,39,18,10"
coastline,1828,"58283,91209,148530,252402,440622,783389,1393005,2433334,4240548,7474070,13351548,23687674,40171646,63159837,89784725,113430879,130788195,135067053,123994786,102224537,77218831,55252810,37656873,24340364,15176875,9278928,5695352,3532168,2169805,1306775,780223,468929,282393,169393,102025,61111,36329,21422,12357,6904,3712,1949,1028,506,243,131,74,39,17,10"
coastline,1829,"58288,91098,148796,252734,440410,783075,1394755,2448875,4283707,7563475,13506095,23945994,40578961,63689900,90379116,114004673,131280378,135440440,124372207,102629160,77662530,55720843,38107277,24733670,15475280,9472614,5818775,3607488,2214774,1333263,795673,477830,287287,172041,103413,61844,36731,21629,12458,6963,3746,1955,1031,507,238,132,71,39,18,10"
coastline,1830,"58354,91057,148221,252003,439075,781373,1394418,2460522,4320408,7642933,13647482,24189191,40966240,64206991,90986010,114663401,131946108,136037399,124884502,103049006,77982909,56038345,38398104,24913319,15573976,9549512,5878376,3663029,2262913,1368081,817881,491088,295600,176995,106376,63636,37791,22256,12855,7182,3866,2023,1070,527,247,138,78,40,19,10"
coastline,1831,"58252,90741,147503,250689,436035,775831,1385842,2455022,4323219,7660303,13680888,24251514,41082787,64393858,91277509,115034710,132341723,136427456,125265347,103449681,78443476,56546054,38998956,25443020,15985846,9861573,6080737,3788253,2337889,1411196,842102,504774,303422,181485,109043,65220,38772,22870,13223,7410,4006,2107,1123,554,266,143,87,42,19,10"
coastline,1832,"58206,90516,146373,248955,432830,770325,1377544,2449216,4324617,7674210,13707340,24300117,41169394,64539422,91489276,115263515,132552226,136608626,125452064,103685969,78815377,57073075,39684886,26133771,16540040,10259542,6339534,3954540,2443522,1475124,878654,525018,314933,187954,112657,67291,39947,23537,13626,7649,4139,2171,1160,573,278,149,92,43,20,10"
coastline,1833,"58024,90151,145572,247147,428957,763212,1365751,2437016,4314651,7667767,13702241,24301613,41177771,64601625,91651524,115547144,132982407,137181619,126083443,104263037,79336852,57507503,40048700,26427265,16743442,10410076,6453246,4033645,2494747,1506736,897909,536758,322017,192167,115222,68865,40916,24124,13972,7849,4253,2235,1195,589,288,152,93,45,20,10"
coastline,1834,"57862,89804,144896,245936,426325,758218,1357633,2429696,4311665,7671354,13711464,24322794,41209579,64687263,91827692,115820478,133397934,137758532,126752118,104871763,79846552,58009481,40485986,26728915,16947322,10516185,6497797,4053860,2508621,1518026,906280,542268,325710,194522,116684,69771,41479,24460,14165,7957,4305,2260,1196,594,293,152,92,44,20,11"
coastline,1835,"57612,89412,143346,243356,422068,751305,1348075,2423250,4315489,7692733,13749292,24375312,41290871,64783089,91955869,115972303,133539135,137870599,126878044,105107100,80178693,58496665,41128822,27391870,17474084,10905398,6767718,4250962,2656301,1620953,971372,580278,348614,207925,124424,74364,44210,26085,15191,8569,4650,2438,1287,641,313,166,96,51,22,13"
coastline,1836,"57556,89291,142969,242503,420209,747942,1343622,2422809,4326487,7722966,13801257,24457228,41427866,64988778,92275790,116412095,134043844,138411708,127399467,105624443,80660509,58954683,41474315,27616891,17559269,10920887,6787242,4281158,2689913,1650028,992213,593593,357070,213138,127507,76253,45363,26774,15600,8814,4780,2506,1314,651,313,170,96,53,23,14"
coastline,1837,"57442,89026,142690,241940,418460,743979,1336470,2415403,4322698,7724797,13808250,24473500,41442201,65049919,92429637,116675627,134468788,139047523,128150795,106354632,81287908,59498046,41892684,27881519,17721669,10999984,6823583,4295219,2692399,1648957,991561,594374,358139,214260,128559,77056,45943,27179,15858,8965,4862,2553,1344,666,322,173,95,52,22,13"
coastline,1838,"57341,88797,141913,240481,415695,738855,1328693,2408690,4323927,7739799,13837004,24517420,41509887,65153268,92595557,116910726,134750768,139352493,128467699,106713911,81659890,59944902,42438481,28422140,18181238,11333288,7039544,4440680,2795154,1719635,1037022,621780,374824,224351,134538,80697,48164,28526,16701,9476,5161,2717,1432,709,338,182,106,53,23,15"
coastline,1839,"57329,88701,141737,239936,414111,735560,1323819,2405829,4330102,7761256,13874806,24574627,41606549,65301125,92824972,117211281,135117959,139830754,129062816,107357083,82305038,60484359,42815782,28686021,18307904,11410848,7110007,4490558,2821764,1731349,1042343,624894,376386,225004,134866,80798,48189,28556,16701,9474,5168,2723,1443,715,349,190,108,56,23,14"
coastline,1840,"57156,88356,140758,238191,410843,729113,1312648,2390296,4313351,7742542,13849029,24542215,41555446,65267957,92840501,117292296,135341116,140215146,129571286,107902610,82826222,61074175,43483370,29303423,18840696,11762681,7270509,4544565,2837124,1739772,1050079,630644,380946,228397,137299,82815,49690,29580,17347,9868,5393,2843,1493,745,361,194,112,58,24,15"
coastline,1841,"56829,87772,140104,237218,408779,725083,1306407,2383692,4311759,7749197,13861997,24559830,41589716,65330477,92956237,117486423,135642908,140683375,130182596,108542622,83413655,61535707,43851272,29565776,19067202,11960838,7431366,4669321,2921886,1788394,1075216,643960,387776,231924,139158,83475,49868,29622,17354,9891,5425,2862,1517,766,372,199,110,59,23,14"
coastline,1842,"57268,88364,141048,238184,409045,723715,1302913,2379230,4311846,7756250,13872932,24569922,41605150,65367261,93056188,117657296,135890199,141077437,130720866,109188314,84127334,62281905,44456438,29977206,19299529,12053256,7461197,4669197,2908188,1773203,1064013,637385,383769,229611,137948,82791,49499,29420,17241,9819,5382,2850,1508,759,371,196,109,57,22,14"
coastline,1843,"58932,90779,143950,241950,413567,728341,1308301,2388177,4333343,7796933,13933234,24643734,41706902,65499328,93246203,117900165,136167034,141402517,131069511,109577535,84510349,62671666,44854378,30383066,19612870,12284836,7622667,4786824,2995968,1834540,1102443,659182,396413,236805,141814,84991,50733,30119,17644,10052,5517,2918,1543,770,382,199,111,59,24,15"
coastline,1844,"62127,95552,149951,248868,421746,736314,1315262,2395285,4352913,7843444,14014113,24750907,41847926,65648055,93429168,118101685,136306964,141437965,131024901,109652578,84727318,63071759,45482685,31153721,20257398,12746737,7896907,4926044,3067305,1881290,1137860,683411,412475,247707,148960,90331,54558,32609,19162,10957,6010,3187,1674,838,421,219,123,72,28,19"
coastline,1845,"64871,99974,157576,261084,440090,762378,1353491,2453858,4450872,8001760,14245932,25069570,42298813,66200502,94110835,118915670,137131901,142148407,131506667,110057374,84975345,62947003,45065923,30829042,20049127,12633404,7871164,4927300,3075645,1896487,1156565,700135,424497,255748,153875,93644,56845,34152,20161,11582,6382,3407,1794,903,452,240,136,75,30,20"
coastline,1846,"66343,102242,160802,265652,445918,769506,1363571,2470123,4484430,8062941,14339572,25204607,42499627,66465155,94491827,119422635,137703656,142798781,132146085,110535300,85173622,63009230,45113124,30918087,20136815,12724450,7975363,5037400,3171580,1963321,1195942,721487,435960,261726,156903,94868,57195,34227,20164,11583,6406,3417,1813,906,463,241,140,76,28,19"
coastline,1847,"65917,101183,158969,262978,441178,760548,1348770,2448199,4462295,8045499,14328905,25204017,42531427,66530898,94574255,119483455,137791652,142901580,132327988,110891064,85672695,63551127,45720941,31592656,20726677,13209057,8321820,5274703,3327714,2055925,1244504,745573,447858,266913,158872,95152,56872,33889,19965,11501,6376,3433,1820,929,468,244,136,82,26,18"
coastline,1848,"64575,99163,155645,257882,433691,748688,1330272,2420534,4428670,8006667,14292172,25161605,42489869,66560981,94752543,119883095,138379118,143674843,133125486,111635841,86320968,64127036,46147515,31878109,20873451,13225314,8300777,5246247,3302929,2042436,1241626,747236,450407,269872,161445,97459,58689,35103,20686,11880,6592,3538,1874,959,489,252,148,88,32,20"
coastline,1849,"62418,95772,150658,250456,422737,732209,1307002,2389890,4399316,7986833,14283397,25175948,42562375,66684892,94921452,120066499,138537119,143770162,133185752,111885058,86708859,64615602,46805288,32589404,21465451,13625870,8511975,5327225,3319769,2042754,1242468,749930,453141,272246,163259,99065,60066,36139,21370,12322,6861,3683,1960,1010,511,269,155,90,35,20"
coastline,1850,"60291,92699,146458,245041,415389,721992,1293623,2372909,4385070,7977266,14272748,25156866,42515356,66589024,94816383,119953327,138461791,143782234,133379451,112313270,87261577,65215880,47384859,33096836,21862855,13944395,8760621,5519282,3458904,2131104,1291719,775500,466342,278862,166606,100467,60472,36183,21329,12279,6824,3669,1954,1019,516,266,157,90,36,19"
coastline,1851,"59004,91093,144061,241358,410215,712997,1277294,2343578,4339462,7903266,14152479,24930366,42136982,66115780,94330575,119552020,138298570,143976246,133788352,112886722,88033881,66018005,48172597,33718167,22324123,14253341,8944458,5607673,3496021,2148430,1303821,784235,471896,282591,169007,102321,61978,37254,22004,12677,7055,3790,2028,1031,535,277,162,91,39,20"
coastline,1852,"58055,89047,140123,233266,396913,690643,1241179,2287379,4265357,7814991,14040885,24776601,41904236,65826880,94047151,119335969,138172374,143912798,133730091,112914604,88282761,66470132,48833139,34470825,23007008,14793381,9287931,5788646,3580373,2177918,1308396,779668,465852,277186,164502,98710,59329,35522,21016,12183,6875,3718,1996,1028,525,268,153,86,34,16"
coastline,1853,"57460,87944,138069,228115,387068,673126,1211233,2237774,4191038,7704361,13879924,24507210,41477408,65321020,93507942,118895262,138010666,144110119,134088492,113247360,88687842,66961747,49426284,34999959,23426762,15072047,9500414,5938215,3686081,2245733,1348901,803060,478569,284091,167852,100330,60159,35964,21244,12289,6911,3737,1992,1015,525,265,152,80,36,17"
coastline,1854,"56920,87289,137265,225846,382706,665868,1200565,2222128,4172156,7678792,13825044,24391497,41247219,64971266,93076271,118444605,137611007,143810809,133915830,113257525,88873771,67288668,49953838,35599806,24007279,15593973,9916436,6255366,3926673,2413480,1452031,861600,510396,302202,177800,105538,62834,37367,22053,12789,7210,3909,2081,1059,552,283,162,87,39,20"
coastline,1855,"55533,85089,133800,221652,376889,655944,1182794,2190936,4122312,7598604,13699397,24149401,40829829,64440508,92429707,117827573,137264300,143952753,134572563,114375509,90285333,68488272,50712508,35928851,24034275,15485811,9758257,6090014,3773373,2296509,1377996,819406,488244,290252,171888,102963,61916,37105,21978,12741,7184,3897,2085,1068,560,288,164,88,41,20"
coastline,1856,"55597,84991,133298,218871,369461,641183,1155136,2142020,4042068,7471949,13515355,23853742,40355120,63869406,91767617,117152838,136681232,143580276,134386652,114293002,90265410,68703072,51275418,36845932,25032604,16397010,10505421,6669333,4206828,2600050,1576112,942421,562839,334885,197482,118712,72038,43475,25864,14990,8395,4490,2369,1211,639,336,196,110,52,28"
coastline,1857,"54207,82977,130180,215009,364049,632870,1142259,2122251,4016168,7439035,13454702,23710999,40054216,63353431,91060628,116514488,136369556,143709963,134671946,114589888,90671475,69262672,51787999,37336077,25483571,16786749,10841038,6939449,4401626,2731221,1660068,993955,594688,353968,208946,125810,76438,46182,27498,15932,8902,4775,2527,1299,684,363,212,117,56,30"
coastline,1858,"53792,82370,128813,213085,362023,628604,1131871,2099551,3972842,7364374,13340544,23517394,39729951,63011354,90734291,116313205,136422917,144034055,135141166,115102948,91355930,70048719,52393370,37782231,25743964,16869025,10810697,6846773,4293601,2632248,1580443,937362,555932,329940,194830,116038,69301,41387,24565,14334,8170,4495,2423,1253,664,332,196,98,43,23"
coastline,1859,"53498,81980,128396,211270,357055,619232,1115843,2073522,3934002,7309903,13262976,23386577,39508922,62756386,90508522,116259370,136529855,144139175,135198492,115082364,91384579,70091287,52652199,38118477,26126561,17289675,11230440,7216038,4592075,2856109,1738475,1042396,624027,371778,219728,132441,80543,48699,29040,16841,9443,5098,2715,1402,744,394,233,127,60,32"
coastline,1860,"52942,81247,127358,208849,353052,612583,1104478,2054919,3905593,7269519,13201352,23267782,39286958,62473888,90204437,116048374,136480922,144108228,134947768,114685765,91134569,70239996,53319317,39139562,27127446,18058164,11761561,7549079,4801191,2985194,1816486,1089629,652520,389280,230024,138563,84290,51019,30469,17716,9964,5383,2860,1497,779,411,242,129,64,32"
coastline,1861,"52842,81063,126864,208470,351692,608526,1095000,2036710,3876066,7233933,13162638,23204200,39162963,62336822,90088771,116108959,136893094,144989135,136040270,115669436,91916914,70698753,53481085,39054482,26913045,17834433,11556583,7394114,4689886,2910783,1769748,1061571,636990,380376,225139,135825,82649,49988,29804,17302,9679,5215,2760,1440,756,397,233,122,63,32"
coastline,1862,"54189,83021,129400,211879,357921,618192,1110356,2061974,3918589,7306436,13262972,23316286,39269066,62383434,90075362,116038207,136597373,144489745,135853026,115946099,92524904,71590053,54420207,39983072,27603528,18180781,11641609,7303860,4522594,2740953,1634869,968639,575299,341298,201601,120566,72471,43486,25865,15086,8560,4698,2534,1327,692,346,202,96,47,24"
coastline,1863,"53595,82043,127359,205339,342613,588881,1055586,1972015,3786993,7177498,13172493,23258488,39192752,62285694,89879976,115708381,136097854,143873634,135224787,115323323,92183120,71606652,55000845,40992019,28869549,19355264,12652699,8119904,5155137,3203892,1946068,1165885,697064,415376,244930,147272,89500,54144,32286,18737,10476,5609,2963,1526,808,429,246,133,70,38"
coastline,1864,"52199,80111,124747,201288,336324,578900,1038483,1943870,3740485,7115185,13082481,23108009,38924083,61919937,89477081,115411004,135993876,143950245,135337210,115440982,92438123,72039498,55748652,41950429,29806969,20082598,13142020,8434275,5356246,3334109,2029200,1217757,728364,434529,256012,153502,93125,56277,33567,19488,10910,5869,3092,1611,843,454,257,140,76,39"
coastline,1865,"53833,83652,132517,219521,376193,662266,1200882,2216428,4092027,7410598,13209390,23049907,38763197,61754200,89325204,115447668,136314041,144608388,136069727,116097320,93119890,72607577,56014209,41918346,29661161,19910907,12998275,8322565,5281539,3284556,1996137,1195175,712905,425141,250510,150291,91400,55337,33032,19174,10713,5719,2997,1546,801,433,244,140,72,40"
coastline,1866,"53194,82511,130720,215806,369128,650763,1182907,2182483,4038275,7342435,13128840,22937189,38601489,61566015,89053645,115229643,136321623,144887907,136488024,116509268,93566022,73064187,56619216,42609983,30220550,20374835,13353604,8554188,5424887,3367743,2040353,1216486,722805,428964,251811,150693,91435,55211,32870,19030,10616,5652,2961,1536,804,430,250,141,73,41"
coastline,1867,"59866,91445,141061,224024,366572,619563,1094933,2014391,3804919,7116666,12980798,22813202,38371706,61233305,88571064,114654413,135893387,144881308,136930990,117251003,94487156,74138932,57761630,43636582,30933042,20758255,13544868,8688056,5527536,3447348,2097642,1255002,747648,445092,261336,156280,94908,57359,34152,19746,10969,5812,3023,1563,813,443,258,150,81,44"
coastline,1868,"73209,109503,165115,255178,405752,666035,1143684,2063384,3837993,7154384,13036312,22881724,38425596,61291426,88620127,114593045,135608988,144427035,136332751,116638555,94250294,74291497,58312530,44504072,32028634,21746024,14296482,9191957,5854625,3656922,2227945,1332522,792284,470989,275588,163902,99163,59762,35544,20591,11446,6099,3171,1648,854,456,265,159,79,46"
coastline,1869,"88727,130027,192290,291299,453860,732435,1237098,2180767,3967714,7226722,12964990,22603408,37913131,60662614,88053488,114263040,135553319,144685517,136853222,117364134,95188961,75263415,59119770,45121935,32491834,22088723,14565676,9394927,5997151,3754050,2291337,1372297,817003,486497,285325,170069,103087,62301,37160,21598,12093,6487,3408,1783,932,503,289,169,90,51"
coastline,1870,"88278,129475,191354,290689,453559,731523,1234708,2175774,3956696,7210191,12944098,22546019,37790136,60560162,88011050,114375332,135813517,145105528,137457949,118105467,96054366,76101101,59796281,45622667,32783825,22233380,14640311,9447389,6040015,3790666,2320835,1392517,828288,493809,289592,172037,104282,63051,37610,21874,12222,6522,3401,1750,911,498,279,167,87,50"
coastline,1871,"96163,139749,204738,307610,474409,755574,1259550,2199922,3970769,7220593,12958698,22568082,37813389,60575173,88043446,114460037,136033896,145470455,137969899,118738393,96721509,76685913,60272789,46055865,33147290,22549011,14912300,9662069,6196629,3897800,2389126,1434451,853994,509529,299317,178233,108178,65490,39131,22788,12783,6850,3601,1857,967,528,294,174,96,50"
coastline,1872,"100227,145174,212499,317242,486854,773590,1284581,2230871,3999921,7223797,12893219,22409594,37539246,60196194,87627097,114115012,135896555,145335380,137934939,119099030,97529144,77598043,61518906,47345603,34293921,23426540,15535737,10076043,6457791,4055794,2484018,1491194,887688,529063,310595,184957,112297,68083,40808,23870,13473,7289,3891,2034,1079,592,326,192,102,57"
coastline,1873,"97814,141865,208236,311913,480433,764872,1270588,2216539,4001862,7281252,12979546,22473119,37582385,60220222,87750913,114457173,136482050,145864108,138422946,119693337,98299841,78278011,62139103,47891147,34786889,23817046,15802328,10244660,6558149,4119171,2532061,1527769,912716,545407,320659,190827,115929,70383,42279,24830,14103,7679,4114,2162,1163,636,358,211,109,66"
coastline,1874,"86574,127456,189995,290031,455610,739201,1246462,2200631,4008420,7328470,13037053,22508777,37595855,60197517,87769311,114593518,136753597,146004291,138486355,119813720,98640955,79012795,63049019,48829060,35767422,24700109,16508418,10682490,6820204,4264019,2608104,1566633,932064,554913,325023,192560,116572,70612,42385,24911,14156,7722,4142,2184,1167,636,354,207,109,59"
coastline,1875,"81509,120354,179828,274989,432596,702915,1185927,2100437,3878021,7203556,13021476,22620454,37816206,60437059,87916592,114720580,137007128,146247592,138783843,120315423,99346955,79896652,64055889,49794220,36572485,25284319,16858797,10881034,6918100,4311000,2628589,1576690,938086,558202,327251,194028,117232,70858,42458,24949,14222,7802,4219,2237,1218,660,367,212,112,63"
coastline,1876,"58880,91760,144726,233889,387557,659527,1159603,2099781,3908944,7260079,13043721,22593443,37781347,60391631,87941162,114993672,137681926,147171731,140081175,121917800,101006994,81166089,64759861,50070065,36524971,25070669,16628030,10698710,6788990,4223135,2571079,1540233,916135,544807,319002,189092,114326,69111,41411,24312,13839,7580,4082,2162,1160,634,359,205,109,63"
coastline,1877,"53094,82743,131803,219823,372671,642661,1138877,2056344,3816166,7103060,12840551,22380759,37611189,60294295,88018291,115446761,138555635,148066685,140956356,122852075,102019129,82102651,65514506,50595218,36868625,25288155,16780483,10844765,6898035,4292871,2615370,1568331,933945,555823,325483,192846,116498,70451,42283,24894,14237,7857,4250,2272,1230,676,384,223,122,72"
