STAFF_NAME;College Name;Department;TEACH_TIME;TOTAL_VALID_TIME;PU 2012;PU 2013;PU 2014
anonymous teacher 13491193;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;171.25;941.25;633.7;351.8;175.12
anonymous teacher 13521163;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 13544733;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";369.62;369.62;;;
anonymous teacher 13591866;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";130.02;130.02;;;
anonymous teacher 13645464;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;117;117;;;
anonymous teacher 13672423;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;132.25;132.25;;8;
anonymous teacher 13691792;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";414.78;414.78;;;
anonymous teacher 13697135;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;519.75;519.75;60;120;60
anonymous teacher 13719490;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";534.37;568.37;60;24;80
anonymous teacher 13720710;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;32.12;32.12;;;
anonymous teacher 13735877;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;261.94;261.94;;;
anonymous teacher 13743437;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;432.68;772.68;;;
anonymous teacher 13771395;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;1101.48;1301.48;;60;
anonymous teacher 13798189;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";369.62;369.62;;;
anonymous teacher 13803196;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;600.62;600.62;;;
anonymous teacher 13813332;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;1129.25;1129.25;46.8;8.2;41.4
anonymous teacher 13849358;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;598.12;666.12;19.8;;
anonymous teacher 14022022;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;93;93;;;
anonymous teacher 14025771;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;204;204;;;
anonymous teacher 14030475;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 14070414;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;644.1;1635.1;12;118;238.6
anonymous teacher 14083194;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;43.5;43.5;;;
anonymous teacher 14087397;COLLEGE OF HUMANITIES;SCHOOL OF APPLIED HUMAN SC;219.75;1884.75;88;16;176.84
anonymous teacher 14160630;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;38.58;38.58;;;
anonymous teacher 14193155;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;130.5;130.5;;;
anonymous teacher 14208595;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 14214553;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;90;90;;;
anonymous teacher 14236514;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";44;311;70.08;77.4;8
anonymous teacher 14281111;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";0;270;160;256;188
anonymous teacher 14291593;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;72.92;72.92;;;
anonymous teacher 14367817;COLLEGE OF HEALTH SCIENCES;SCHOOL OF HEALTH SCIENCES;670.03;760.03;;;15
anonymous teacher 14383814;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;952.47;1121.47;;;15
anonymous teacher 1442849;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;681.93;895.93;16;13.28;8
anonymous teacher 1444898;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;503;503;;;
anonymous teacher 14450902;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";364.5;364.5;;;
anonymous teacher 14462861;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;116.24;116.24;;;
anonymous teacher 1448359;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;1263.75;1263.75;;;
anonymous teacher 14493701;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 14509880;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;40.87;40.87;;;
anonymous teacher 1452248;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;43;43;;;
anonymous teacher 14543833;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";243.5;243.5;;;
anonymous teacher 14548146;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;342.12;342.12;;;
anonymous teacher 14548882;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;668.5;668.5;;;
anonymous teacher 14628010;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;227.5;227.5;;;60
anonymous teacher 14663748;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";1527;1617;90;120;90
anonymous teacher 14684072;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";3236.62;3236.62;;;
anonymous teacher 14709629;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";312.37;312.37;;;
anonymous teacher 14723372;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;1579.03;1681.03;;;
anonymous teacher 14785838;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";144;144;;;
anonymous teacher 14822924;COLLEGE OF HEALTH SCIENCES;SCHOOL OF HEALTH SCIENCES;771.5;771.5;;;
anonymous teacher 14878839;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 14926223;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;1016.5;1151.5;188;258;275.8
anonymous teacher 1494192;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 14949341;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1442;1442;;;
anonymous teacher 14970953;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;130.5;130.5;;;
anonymous teacher 15006686;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;739.62;783.62;;;
anonymous teacher 15018640;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;40;40;;;
anonymous teacher 15079411;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;60.88;60.88;;;
anonymous teacher 15083817;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;615.37;716.87;;;
anonymous teacher 15100991;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;52.5;52.5;;;
anonymous teacher 15142931;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;188.14;188.14;;;
anonymous teacher 15174267;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;253.52;253.52;;;
anonymous teacher 15177649;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;424.7;469.7;128.4;94.4;52.6
anonymous teacher 15185506;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;286.61;286.61;;;
anonymous teacher 15193772;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;164.5;164.5;;;
anonymous teacher 1519593;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;97.01;97.01;;;
anonymous teacher 15237155;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;675;675;;;
anonymous teacher 15247223;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;489.35;489.35;;;
anonymous teacher 15317962;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;162;162;;;
anonymous teacher 15344230;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90.98;90.98;;;
anonymous teacher 15361841;COLLEGE OF HUMANITIES;SCHOOL OF APPLIED HUMAN SC;1023.44;1271.44;19.8;35.8;32
anonymous teacher 15370221;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1533.5;1533.5;;;
anonymous teacher 15411475;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;320.37;320.37;;;
anonymous teacher 15430034;COLLEGE OF HEALTH SCIENCES;SCHOOL OF LAB MED & MEDICAL SC;77.5;77.5;;;8.4
anonymous teacher 1544311;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;586.92;832.32;207.6;112.88;178.32
anonymous teacher 15458857;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1014;1014;;;
anonymous teacher 154927;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;512.74;542.74;;;
anonymous teacher 15494187;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;845.75;845.75;;;
anonymous teacher 15550436;COLLEGE OF HUMANITIES;SCHOOL OF APPLIED HUMAN SC;83.38;581.38;;38;159
anonymous teacher 15603135;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1286;1286;;;
anonymous teacher 15610536;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";823.37;1271.87;27.8;57.8;343.4
anonymous teacher 15614793;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;30;30;;;
