country,time,bwelfr_idea
che,2013,87.15809
che,2014,87.44469
che,2015,87.44469
che,2016,87.15809
che,2017,87.44469
che,2018,87.44469
che,2019,87.28665
chl,1975,43.09308
chl,1976,45.40498
chl,1977,47.50303
chl,1978,50.60176
chl,1979,52.88872
chl,1980,53.73202
chl,1981,56.22926
chl,1982,56.78047
chl,1983,58.74854
chl,1984,58.83771
chl,1985,59.34188
chl,1986,59.40867
chl,1987,60.17807
chl,1988,60.25235
chl,1989,60.31491
chl,1990,63.06739
chl,1991,63.24573
chl,1992,65.38619
chl,1993,65.58952
chl,1994,66.18871
chl,1995,66.18871
chl,1996,68.573
chl,1997,69.23521
chl,1998,69.45075
chl,1999,69.45075
chl,2000,69.42376
chl,2001,70.00915
chl,2002,72.62664
chl,2003,72.86836
chl,2004,72.86836
chl,2005,73.09943
chl,2006,73.1984
chl,2007,73.81343
chl,2008,74.1068
chl,2009,74.1068
chl,2010,73.90244
chl,2011,73.83738
chl,2012,73.83738
chl,2013,74.10008
chl,2014,74.10008
chl,2015,77.49153
chl,2016,77.32565
chl,2017,77.32565
chl,2018,77.35885
chl,2019,77.78985
chn,1975,38.48806
chn,1976,40.54803
chn,1977,40.71348
chn,1978,41.26804
chn,1979,43.65267
chn,1980,43.71789
chn,1981,43.79495
chn,1982,44.55695
chn,1983,46.94905
chn,1984,47.14296
chn,1985,47.24877
chn,1986,47.24877
chn,1987,47.36603
chn,1988,47.36603
chn,1989,48.04808
chn,1990,48.21442
chn,1991,48.10543
chn,1992,48.24079
chn,1993,48.35014
chn,1994,48.67935
chn,1995,48.92599
chn,1996,51.2613
chn,1997,51.7567
chn,1998,52.00187
chn,1999,52.22435
chn,2000,55.20714
chn,2001,55.20714
chn,2002,55.20714
chn,2003,57.99134
chn,2004,58.30776
chn,2005,60.62959
chn,2006,60.62959
chn,2007,61.07994
chn,2008,63.36487
chn,2009,63.58377
chn,2010,65.89399
chn,2011,66.50068
chn,2012,66.50068
chn,2013,68.65871
chn,2014,69.63144
chn,2015,69.63144
chn,2016,72.02197
chn,2017,72.02197
chn,2018,73.07999
chn,2019,73.07999
civ,1975,19.70633
civ,1976,19.70633
civ,1977,19.70633
civ,1978,24.61364
civ,1979,24.62492
civ,1980,25.02498
civ,1981,25.03279
civ,1982,25.02498
civ,1983,25.01371
civ,1984,25.02498
civ,1985,28.73387
civ,1986,28.57956
civ,1987,28.52914
civ,1988,28.55867
civ,1989,28.52914
civ,1990,28.49859
civ,1991,28.53838
civ,1992,28.82792
civ,1993,27.96932
civ,1994,27.96932
civ,1995,27.96932
civ,1996,28.00621
civ,1997,28.03304
civ,1998,28.00621
civ,1999,28.00621
civ,2000,28.48423
civ,2001,27.69094
civ,2002,27.63265
civ,2003,30.34818
civ,2004,30.8942
civ,2005,30.91853
civ,2006,30.91853
civ,2007,30.91853
civ,2008,33.51716
civ,2009,33.51716
civ,2010,33.60779
civ,2011,33.74228
civ,2012,33.98293
civ,2013,35.98875
civ,2014,36.51622
civ,2015,36.90231
civ,2016,36.80513
civ,2017,37.36512
civ,2018,39.41912
civ,2019,40.05132
cmr,1975,23.85258
cmr,1976,24.87519
cmr,1977,24.87519
cmr,1978,24.99994
cmr,1979,25.09956
cmr,1980,24.99994
cmr,1981,27.67316
cmr,1982,27.83054
cmr,1983,27.83054
cmr,1984,28.60035
cmr,1985,30.88072
cmr,1986,31.00809
cmr,1987,30.74553
cmr,1988,30.98137
cmr,1989,31.11465
cmr,1990,31.29799
cmr,1991,31.30726
cmr,1992,31.56295
cmr,1993,30.80725
cmr,1994,30.95079
cmr,1995,30.95079
cmr,1996,28.48287
cmr,1997,28.72744
cmr,1998,28.72744
cmr,1999,31.37163
cmr,2000,31.55423
cmr,2001,31.66477
cmr,2002,31.91769
cmr,2003,31.91769
cmr,2004,31.91769
cmr,2005,34.98021
cmr,2006,35.19284
cmr,2007,35.19284
cmr,2008,35.28705
cmr,2009,35.36885
cmr,2010,37.66819
cmr,2011,38.20011
cmr,2012,38.27574
cmr,2013,38.45962
cmr,2014,40.63102
cmr,2015,40.77742
cmr,2016,41.34611
cmr,2017,41.37329
cmr,2018,43.91659
cmr,2019,43.60522
cod,1975,19.89079
cod,1976,19.69106
cod,1977,19.69106
cod,1978,19.68478
cod,1979,21.4429
cod,1980,21.67263
cod,1981,21.6609
cod,1982,21.6609
cod,1983,21.6609
cod,1984,21.6609
cod,1985,25.1484
cod,1986,25.31994
cod,1987,25.31994
cod,1988,25.28923
