country,time,cliberties_idea
gmb,2007,39.14855
gmb,2008,38.12181
gmb,2009,37.73808
gmb,2010,37.80241
gmb,2011,39.02412
gmb,2012,37.12398
gmb,2013,34.42638
gmb,2014,33.85586
gmb,2015,34.09157
gmb,2016,34.28616
gmb,2017,62.46996
gmb,2018,66.53018
gmb,2019,66.229
gnb,1975,31.91802
gnb,1976,31.91738
gnb,1977,31.95822
gnb,1978,31.88247
gnb,1979,32.03193
gnb,1980,32.31326
gnb,1981,31.73727
gnb,1982,31.35052
gnb,1983,30.81828
gnb,1984,30.94839
gnb,1985,30.84087
gnb,1986,32.1991
gnb,1987,31.95987
gnb,1988,31.33915
gnb,1989,31.3636
gnb,1990,36.71265
gnb,1991,37.7554
gnb,1992,38.41829
gnb,1993,43.06075
gnb,1994,45.46704
gnb,1995,46.42738
gnb,1996,45.65737
gnb,1997,46.08359
gnb,1998,42.40776
gnb,1999,45.86223
gnb,2000,48.28296
gnb,2001,48.2157
gnb,2002,48.51082
gnb,2003,52.15193
gnb,2004,54.56135
gnb,2005,53.35398
gnb,2006,52.8451
gnb,2007,51.70524
gnb,2008,53.26528
gnb,2009,53.0933
gnb,2010,53.83967
gnb,2011,54.73442
gnb,2012,50.46672
gnb,2013,56.42974
gnb,2014,56.4244
gnb,2015,56.5257
gnb,2016,57.15341
gnb,2017,54.48666
gnb,2018,54.98036
gnb,2019,55.77727
gnq,1975,2.6811
gnq,1976,2.81503
gnq,1977,2.28109
gnq,1978,3.01494
gnq,1979,13.0777
gnq,1980,30.38567
gnq,1981,31.50364
gnq,1982,30.48683
gnq,1983,31.09827
gnq,1984,30.75765
gnq,1985,29.7912
gnq,1986,29.5432
gnq,1987,29.73115
gnq,1988,29.59831
gnq,1989,30.155
gnq,1990,30.39056
gnq,1991,29.72918
gnq,1992,31.20116
gnq,1993,31.47138
gnq,1994,32.25055
gnq,1995,30.06238
gnq,1996,28.84483
gnq,1997,28.15926
gnq,1998,28.40126
gnq,1999,28.53566
gnq,2000,30.10538
gnq,2001,29.80766
gnq,2002,30.23759
gnq,2003,30.09651
gnq,2004,29.62766
gnq,2005,29.65624
gnq,2006,30.23124
gnq,2007,30.78381
gnq,2008,30.89283
gnq,2009,31.52091
gnq,2010,29.94361
gnq,2011,29.13549
gnq,2012,29.21554
gnq,2013,28.40451
gnq,2014,28.35589
gnq,2015,27.70276
gnq,2016,28.24984
gnq,2017,27.23652
gnq,2018,28.39734
gnq,2019,29.45782
grc,1975,66.1099
grc,1976,70.44119
grc,1977,72.82427
grc,1978,72.58795
grc,1979,72.33143
grc,1980,72.50379
grc,1981,75.88384
grc,1982,78.50757
grc,1983,77.55477
grc,1984,79.47575
grc,1985,79.71978
grc,1986,79.39363
grc,1987,79.38045
grc,1988,79.60251
grc,1989,78.80533
grc,1990,82.40995
grc,1991,82.40287
grc,1992,85.17571
grc,1993,85.08249
grc,1994,83.68824
grc,1995,84.78408
grc,1996,86.15344
grc,1997,84.9799
grc,1998,86.83878
grc,1999,86.09278
grc,2000,87.61864
grc,2001,86.94054
grc,2002,85.27184
grc,2003,86.36476
grc,2004,85.99087
grc,2005,85.21766
grc,2006,85.28847
grc,2007,85.73229
grc,2008,85.8544
grc,2009,86.13968
grc,2010,86.48287
grc,2011,85.82179
grc,2012,86.52093
grc,2013,80.96357
grc,2014,80.35733
grc,2015,79.91224
grc,2016,79.32043
grc,2017,77.50143
grc,2018,75.43093
grc,2019,76.48085
gtm,1975,24.50207
gtm,1976,23.38668
gtm,1977,21.22897
gtm,1978,20.11338
gtm,1979,19.47195
gtm,1980,19.59169
gtm,1981,20.21536
gtm,1982,19.27663
gtm,1983,19.92167
gtm,1984,24.91286
gtm,1985,33.53539
gtm,1986,42.24995
gtm,1987,45.01996
gtm,1988,46.05779
gtm,1989,46.43817
gtm,1990,45.93704
gtm,1991,46.04229
gtm,1992,44.22369
gtm,1993,43.03028
gtm,1994,46.95164
gtm,1995,47.85839
gtm,1996,50.7654
gtm,1997,57.52764
gtm,1998,57.43623
gtm,1999,56.34987
gtm,2000,61.39589
gtm,2001,60.12446
gtm,2002,60.1063
gtm,2003,60.58649
gtm,2004,61.99327
gtm,2005,61.98383
gtm,2006,62.23714
gtm,2007,62.01139
gtm,2008,61.18625
gtm,2009,61.77408
gtm,2010,63.75831
gtm,2011,63.24645
gtm,2012,61.31876
gtm,2013,61.07216
gtm,2014,60.13539
gtm,2015,61.04089
gtm,2016,61.6089
gtm,2017,63.71492
gtm,2018,61.51204
