country,time,pcv3_vacc
chl,2020,89
civ,2014,2
civ,2015,70
civ,2016,80
civ,2017,82
civ,2018,81
civ,2019,84
civ,2020,79
cmr,2011,23
cmr,2012,84
cmr,2013,88
cmr,2014,83
cmr,2015,77
cmr,2016,72
cmr,2017,72
cmr,2018,67
cmr,2019,67
cmr,2020,69
cod,2011,9
cod,2012,13
cod,2013,29
cod,2014,56
cod,2015,66
cod,2016,58
cod,2017,58
cod,2018,58
cod,2019,58
cod,2020,58
cog,2012,10
cog,2013,85
cog,2014,85
cog,2015,80
cog,2016,67
cog,2017,66
cog,2018,73
cog,2019,68
cog,2020,71
col,2010,22
col,2011,46
col,2012,84
col,2013,87
col,2014,89
col,2015,91
col,2016,89
col,2017,91
col,2018,94
col,2019,93
col,2020,89
cri,2009,48
cri,2010,94
cri,2011,68
cri,2012,89
cri,2013,94
cri,2014,83
cri,2015,94
cri,2016,94
cri,2017,96
cri,2018,96
cri,2019,95
cri,2020,95
cyp,2015,81
cyp,2016,81
cyp,2017,81
cyp,2018,81
cyp,2019,81
deu,2006,15
deu,2007,41
deu,2008,68
deu,2009,84
deu,2010,85
deu,2011,86
deu,2012,84
deu,2013,84
deu,2014,84
deu,2015,84
deu,2016,84
deu,2017,84
deu,2018,84
deu,2019,84
dji,2013,82
dji,2014,78
dji,2015,82
dji,2016,68
dji,2017,76
dji,2018,84
dji,2019,85
dji,2020,70
dnk,2009,86
dnk,2010,88
dnk,2011,90
dnk,2012,93
dnk,2013,90
dnk,2014,93
dnk,2015,91
dnk,2016,94
dnk,2017,97
dnk,2018,96
dnk,2019,97
dnk,2020,96
dom,2014,27
dom,2015,22
dom,2016,30
dom,2017,64
dom,2018,70
dom,2019,70
dom,2020,69
dza,2016,61
dza,2017,89
dza,2018,91
dza,2019,91
ecu,2010,17
ecu,2011,71
ecu,2012,94
ecu,2013,90
ecu,2014,86
ecu,2015,81
ecu,2016,84
ecu,2017,84
ecu,2018,85
ecu,2019,83
ecu,2020,76
eri,2016,95
eri,2017,95
eri,2018,95
eri,2019,95
eri,2020,95
esp,2017,88
esp,2018,95
esp,2019,95
esp,2020,88
eth,2011,12
eth,2012,30
eth,2013,48
eth,2014,54
eth,2015,57
eth,2016,61
eth,2017,64
eth,2018,63
eth,2019,64
eth,2020,67
fin,2010,92
fin,2011,92
fin,2012,92
fin,2013,92
fin,2014,92
fin,2015,92
fin,2016,87
fin,2017,85
fin,2018,88
fin,2019,89
fin,2020,89
fji,2013,87
fji,2014,99
fji,2015,99
fji,2016,99
fji,2017,99
fji,2018,99
fji,2019,99
fra,2010,89
fra,2011,89
fra,2012,89
fra,2013,89
fra,2014,89
fra,2015,91
fra,2016,92
fra,2017,92
fra,2018,92
fra,2019,92
fsm,2010,70
fsm,2011,63
fsm,2012,60
fsm,2013,61
fsm,2014,64
fsm,2015,67
fsm,2016,63
fsm,2017,65
fsm,2018,67
fsm,2019,73
fsm,2020,79
gbr,2010,89
gbr,2011,90
gbr,2012,92
gbr,2013,93
gbr,2014,93
gbr,2015,93
gbr,2016,92
gbr,2017,92
gbr,2018,92
gbr,2019,91
gbr,2020,91
geo,2015,16
geo,2016,75
geo,2017,80
geo,2018,81
geo,2019,84
geo,2020,82
gha,2012,43
gha,2013,89
gha,2014,99
gha,2015,88
gha,2016,93
gha,2017,99
gha,2018,96
gha,2019,97
gha,2020,95
gmb,2010,99
gmb,2011,95
gmb,2012,98
gmb,2013,96
gmb,2014,96
gmb,2015,97
gmb,2016,95
gmb,2017,90
gmb,2018,93
gmb,2019,87
gnb,2015,10
gnb,2016,83
gnb,2017,79
gnb,2018,82
gnb,2019,78
grc,2012,32
grc,2013,32
grc,2014,96
grc,2015,96
grc,2016,96
grc,2017,96
grc,2018,96
grc,2019,96
grc,2020,96
gtm,2013,24
gtm,2014,51
gtm,2015,82
gtm,2016,81
gtm,2017,84
gtm,2018,85
gtm,2019,88
gtm,2020,86
guy,2011,50
guy,2012,90
guy,2013,96
guy,2014,97
guy,2015,94
guy,2016,92
guy,2017,97
guy,2018,91
guy,2019,98
guy,2020,89
hnd,2011,78
hnd,2012,97
hnd,2013,99
hnd,2014,99
hnd,2015,99
hnd,2016,94
hnd,2017,90
hnd,2018,91
hnd,2019,88
hnd,2020,80
hti,2018,12
hti,2019,42
hti,2020,51
hun,2011,84
hun,2012,90
hun,2013,92
hun,2014,93
hun,2015,91
hun,2016,98
hun,2017,99
hun,2018,99
hun,2019,99
idn,2018,0
idn,2019,3
idn,2020,4
ind,2018,6
ind,2019,15
ind,2020,21
irl,2010,43
irl,2011,90
irl,2012,91
irl,2013,91
irl,2014,92
irl,2015,92
irl,2016,91
irl,2017,91
irl,2018,90
irl,2019,86
irl,2020,86
irq,2017,33
irq,2018,33
irq,2019,37
irq,2020,0
isl,2012,86
isl,2013,88
isl,2014,90
isl,2015,91
isl,2016,90
isl,2017,88
isl,2018,90
isl,2019,92
isr,2011,92
isr,2012,93
isr,2013,94
isr,2014,94
isr,2015,94
isr,2016,93
isr,2017,94
isr,2018,95
isr,2019,95
isr,2020,94
ita,2007,55
ita,2008,60
ita,2009,66
ita,2010,71
ita,2011,76
ita,2012,82
ita,2013,87
ita,2014,87
ita,2015,89
ita,2016,88
ita,2017,91
ita,2018,92
ita,2019,92
ita,2020,91
jpn,2011,98
jpn,2012,98
jpn,2013,98
jpn,2014,98
jpn,2015,96
jpn,2016,99
jpn,2017,99
jpn,2018,98
jpn,2019,97
jpn,2020,95
kaz,2012,37
kaz,2013,52
kaz,2014,58
kaz,2015,74
kaz,2016,97
kaz,2017,98
kaz,2018,95
kaz,2019,89
kaz,2020,89
ken,2011,85
ken,2012,82
ken,2013,75
ken,2014,81
ken,2015,75
ken,2016,78
ken,2017,82
ken,2018,92
ken,2019,91
ken,2020,90
kgz,2017,88
kgz,2018,92
kgz,2019,96
kgz,2020,90
khm,2015,68
khm,2016,87
khm,2017,82
khm,2018,84
khm,2019,89
khm,2020,90
kir,2013,40
kir,2014,57
kir,2015,74
kir,2016,79
kir,2017,91
kir,2018,94
kir,2019,97
kir,2020,91
kor,2015,97
kor,2016,98
kor,2017,97
kor,2018,97
kor,2019,98
kwt,2007,88
kwt,2008,99
kwt,2009,99
kwt,2010,98
kwt,2011,99
kwt,2012,99
kwt,2013,99
kwt,2014,94
kwt,2015,99
kwt,2016,99
kwt,2017,99
kwt,2018,91
kwt,2019,91
lao,2014,60
lao,2015,74
lao,2016,78
lao,2017,82
lao,2018,84
lao,2019,81
lao,2020,77
lbn,2017,82
lbn,2018,82
lbn,2019,82
lbn,2020,74
lbr,2014,25
lbr,2015,36
lbr,2016,73
lbr,2017,78
lbr,2018,78
lbr,2019,68
lbr,2020,65
lby,2014,39
lby,2015,71
lby,2016,96
lby,2017,94
lby,2018,72
lby,2019,73
lby,2020,73
lso,2015,29
lso,2016,87
lso,2017,87
lso,2018,87
lso,2019,87
lso,2020,87
ltu,2016,82
ltu,2017,82
ltu,2018,82
ltu,2019,82
ltu,2020,83
lux,2005,86
lux,2006,86
lux,2007,86
lux,2008,86
lux,2009,86
lux,2010,86
lux,2011,86
lux,2012,95
lux,2013,95
lux,2014,95
lux,2015,95
lux,2016,95
lux,2017,95
lux,2018,96
lux,2019,96
lux,2020,96
lva,2011,76
lva,2012,55
lva,2013,87
lva,2014,84
lva,2015,85
lva,2016,84
lva,2017,87
lva,2018,84
lva,2019,84
lva,2020,91
mar,2010,1
mar,2011,23
mar,2012,72
mar,2013,80
mar,2014,90
mar,2015,95
mar,2016,98
mar,2017,99
mar,2018,99
mar,2019,98
mda,2013,1
mda,2014,28
mda,2015,72
mda,2016,77
mda,2017,79
mda,2018,85
mda,2019,80
mda,2020,72
mdg,2013,76
mdg,2014,68
mdg,2015,62
mdg,2016,65
mdg,2017,62
mdg,2018,63
mdg,2019,67
mdg,2020,65
mex,2008,14
mex,2009,46
mex,2010,92
mex,2011,98
mex,2012,99
mex,2013,84
mex,2014,94
mex,2015,93
mex,2016,92
mex,2017,92
mex,2018,88
mex,2019,86
mex,2020,75
mhl,2009,49
mhl,2010,24
mhl,2011,35
mhl,2012,46
mhl,2013,38
mhl,2014,29
mhl,2015,75
mhl,2016,65
mhl,2017,72
mhl,2018,67
mhl,2019,63
mli,2011,56
mli,2012,58
mli,2013,59
mli,2014,57
mli,2015,67
mli,2016,76
mli,2017,74
mli,2018,74
mli,2019,74
mli,2020,66
mmr,2016,14
mmr,2017,89
mmr,2018,91
mmr,2019,90
mmr,2020,86
mng,2017,13
mng,2018,26
mng,2019,49
mng,2020,92
moz,2013,45
moz,2014,73
moz,2015,80
moz,2016,80
moz,2017,80
moz,2018,80
moz,2019,80
moz,2020,65
mrt,2013,1
mrt,2014,71
mrt,2015,71
mrt,2016,73
mrt,2017,77
mrt,2018,77
mrt,2019,77
mrt,2020,70
mus,2016,10
mus,2017,84
mus,2018,96
mus,2019,97
mus,2020,86
mwi,2012,99
mwi,2013,89
mwi,2014,87
mwi,2015,88
mwi,2016,83
mwi,2017,88
mwi,2018,92
mwi,2019,95
mwi,2020,93
nam,2015,81
nam,2016,84
nam,2017,67
nam,2018,61
nam,2019,57
ner,2014,13
ner,2015,49
ner,2016,76
ner,2017,85
ner,2018,79
ner,2019,81
ner,2020,81
nga,2015,36
nga,2016,49
nga,2017,53
nga,2018,55
nga,2019,57
nga,2020,57
nic,2011,61
nic,2012,98
nic,2013,98
nic,2014,98
nic,2015,98
nic,2016,98
nic,2017,98
nic,2018,98
nic,2019,98
nic,2020,92
nld,2009,96
nld,2010,96
nld,2011,96
nld,2012,96
nld,2013,96
nld,2014,95
nld,2015,94
nld,2016,94
nld,2017,93
nld,2018,93
nld,2019,93
nor,2008,86
nor,2009,91
nor,2010,91
nor,2011,92
nor,2012,93
nor,2013,93
nor,2014,91
nor,2015,93
nor,2016,94
nor,2017,94
nor,2018,94
nor,2019,95
nor,2020,96
npl,2015,5
npl,2016,46
npl,2017,80
npl,2018,82
npl,2019,83
npl,2020,80
nzl,2009,87
nzl,2010,89
nzl,2011,92
nzl,2012,92
nzl,2013,93
nzl,2014,93
nzl,2015,93
nzl,2016,93
nzl,2017,94
nzl,2018,96
nzl,2019,91
nzl,2020,92
omn,2009,96
omn,2010,99
omn,2011,99
omn,2012,99
omn,2013,99
omn,2014,98
omn,2015,98
omn,2016,99
omn,2017,99
omn,2018,99
omn,2019,99
pak,2013,65
pak,2014,68
pak,2015,80
pak,2016,78
pak,2017,81
pak,2018,81
pak,2019,81
pak,2020,80
pan,2010,48
pan,2011,63
pan,2012,76
pan,2013,88
pan,2014,91
pan,2015,92
pan,2016,94
pan,2017,97
pan,2018,97
pan,2019,96
pan,2020,74
per,2009,9
per,2010,83
per,2011,82
per,2012,89
per,2013,85
per,2014,86
per,2015,90
per,2016,86
per,2017,80
per,2018,82
per,2019,80
phl,2014,35
phl,2015,17
phl,2016,36
phl,2017,36
phl,2018,43
phl,2019,51
phl,2020,66
plw,2008,7
plw,2009,18
plw,2010,45
plw,2011,61
plw,2012,82
plw,2013,93
plw,2014,93
plw,2015,95
plw,2016,98
plw,2017,89
plw,2018,82
plw,2019,74
plw,2020,75
png,2015,20
png,2016,20
png,2017,36
png,2018,35
png,2019,35
png,2020,39
pol,2018,60
pol,2019,60
prt,2016,73
prt,2017,96
prt,2018,98
prt,2019,98
pry,2012,82
pry,2013,90
pry,2014,86
pry,2015,90
pry,2016,99
pry,2017,93
pry,2018,94
pry,2019,89
pry,2020,82
pse,2012,25
pse,2013,97
pse,2014,99
pse,2015,99
pse,2016,99
pse,2017,99
pse,2018,96
pse,2019,99
pse,2020,99
qat,2009,99
qat,2010,97
qat,2011,98
qat,2012,92
qat,2013,99
qat,2014,94
qat,2015,95
qat,2016,97
qat,2017,98
qat,2018,98
qat,2019,98
qat,2020,70
rou,2019,88
rou,2020,85
rus,2016,35
rus,2017,70
rus,2018,82
rus,2019,85
rus,2020,87
rwa,2010,97
rwa,2011,97
rwa,2012,98
rwa,2013,98
rwa,2014,98
rwa,2015,98
rwa,2016,98
rwa,2017,98
rwa,2018,97
rwa,2019,98
rwa,2020,91
sau,2009,98
sau,2010,98
sau,2011,98
sau,2012,98
sau,2013,98
sau,2014,98
sau,2015,98
sau,2016,98
sau,2017,98
sau,2018,98
sau,2019,96
sau,2020,95
sdn,2013,30
sdn,2014,97
sdn,2015,93
sdn,2016,93
sdn,2017,95
sdn,2018,93
sdn,2019,93
sdn,2020,90
sen,2014,81
sen,2015,89
sen,2016,93
sen,2017,92
sen,2018,92
sen,2019,96
sen,2020,92
sgp,2009,17
sgp,2010,22
sgp,2011,40
sgp,2012,52
sgp,2013,60
sgp,2014,68
sgp,2015,75
sgp,2016,78
sgp,2017,83
sgp,2018,82
sgp,2019,82
slb,2015,42
slb,2016,87
slb,2017,81
slb,2018,84
slb,2019,94
slb,2020,93
sle,2011,75
sle,2012,92
sle,2013,92
sle,2014,83
sle,2015,86
sle,2016,84
sle,2017,90
sle,2018,92
sle,2019,94
sle,2020,91
slv,2010,69
slv,2011,98
slv,2012,94
slv,2013,92
slv,2014,86
slv,2015,98
slv,2016,90
slv,2017,87
slv,2018,75
slv,2019,82
slv,2020,78
smr,2016,53
smr,2017,56
smr,2018,58
smr,2019,76
smr,2020,82
srb,2018,67
srb,2019,99
stp,2013,97
stp,2014,95
stp,2015,96
stp,2016,96
stp,2017,95
stp,2018,95
stp,2019,95
svk,2009,99
svk,2010,99
svk,2011,99
svk,2012,99
svk,2013,98
svk,2014,96
svk,2015,96
svk,2016,96
svk,2017,96
svk,2018,96
svk,2019,96
svk,2020,96
svn,2015,49
svn,2016,49
svn,2017,55
svn,2018,60
svn,2019,65
svn,2020,70
swe,2008,60
swe,2009,98
swe,2010,98
swe,2011,98
swe,2012,97
swe,2013,97
swe,2014,96
swe,2015,97
swe,2016,97
swe,2017,97
swe,2018,97
swe,2019,97
swe,2020,97
swz,2014,67
swz,2015,90
swz,2016,90
swz,2017,87
swz,2018,88
swz,2019,87
swz,2020,83
syc,2018,16
syc,2019,92
syc,2020,94
tgo,2014,25
tgo,2015,77
tgo,2016,82
tgo,2017,83
tgo,2018,81
tgo,2019,83
tgo,2020,82
tkm,2020,23
tto,2012,39
tto,2013,80
tto,2014,95
tto,2015,93
tto,2016,91
tto,2017,93
tto,2018,99
tto,2019,93
tun,2020,82
tur,2009,97
tur,2010,93
tur,2011,96
tur,2012,97
tur,2013,97
tur,2014,96
tur,2015,97
tur,2016,98
tur,2017,96
tur,2018,97
tur,2019,97
tur,2020,95
tza,2013,80
tza,2014,93
tza,2015,92
tza,2016,89
tza,2017,86
tza,2018,84
tza,2019,83
tza,2020,80
uga,2014,60
uga,2015,64
uga,2016,77
uga,2017,90
uga,2018,92
uga,2019,92
uga,2020,89
ury,2010,91
ury,2011,92
ury,2012,93
ury,2013,93
ury,2014,95
ury,2015,94
ury,2016,94
ury,2017,94
ury,2018,93
ury,2019,95
ury,2020,94
usa,2004,73
usa,2005,83
usa,2006,87
usa,2007,90
usa,2008,93
usa,2009,93
usa,2010,93
usa,2011,94
usa,2012,92
usa,2013,92
usa,2014,93
usa,2015,93
usa,2016,93
usa,2017,92
usa,2018,92
usa,2019,92
usa,2020,82
uzb,2016,99
uzb,2017,99
uzb,2018,96
uzb,2019,99
uzb,2020,93
ven,2015,24
ven,2016,7
ven,2017,0
ven,2018,0
ven,2019,0
ven,2020,0
yem,2011,41
yem,2012,67
yem,2013,73
yem,2014,73
yem,2015,69
yem,2016,71
yem,2017,68
yem,2018,64
yem,2019,72
yem,2020,72
zaf,2009,10
zaf,2010,58
zaf,2011,62
zaf,2012,75
zaf,2013,77
zaf,2014,85
zaf,2015,85
zaf,2016,82
zaf,2017,78
zaf,2018,83
zaf,2019,86
zaf,2020,83
zmb,2014,77
zmb,2015,81
zmb,2016,94
zmb,2017,94
zmb,2018,90
zmb,2019,89
zmb,2020,85
zwe,2012,21
zwe,2013,95
zwe,2014,91
zwe,2015,87
zwe,2016,90
zwe,2017,89
zwe,2018,89
zwe,2019,90
zwe,2020,86
