country,time,judicindep_idea
bel,1978,73.5736
bel,1979,73.5736
bel,1980,73.5736
bel,1981,74.00465
bel,1982,74.00465
bel,1983,74.00465
bel,1984,74.72024
bel,1985,74.72024
bel,1986,74.72024
bel,1987,74.72024
bel,1988,74.72024
bel,1989,74.72024
bel,1990,74.72024
bel,1991,74.72024
bel,1992,74.72024
bel,1993,74.72024
bel,1994,74.72024
bel,1995,74.72024
bel,1996,74.24402
bel,1997,74.24402
bel,1998,74.24402
bel,1999,74.24402
bel,2000,74.24402
bel,2001,74.24402
bel,2002,74.24402
bel,2003,74.24402
bel,2004,74.24402
bel,2005,74.24402
bel,2006,74.24402
bel,2007,74.24402
bel,2008,74.24402
bel,2009,74.24402
bel,2010,74.24402
bel,2011,74.24402
bel,2012,74.24402
bel,2013,74.24402
bel,2014,74.24402
bel,2015,74.24402
bel,2016,71.62633
bel,2017,71.62633
bel,2018,71.62633
bel,2019,76.12405
ben,1975,36.28945
ben,1976,36.28945
ben,1977,36.28945
ben,1978,36.28945
ben,1979,36.28945
ben,1980,36.28945
ben,1981,35.46335
ben,1982,35.46335
ben,1983,35.46335
ben,1984,36.87909
ben,1985,37.76573
ben,1986,37.76573
ben,1987,36.87909
ben,1988,35.46335
ben,1989,35.46335
ben,1990,45.9096
ben,1991,47.5943
ben,1992,51.18972
ben,1993,50.04908
ben,1994,50.04908
ben,1995,50.04908
ben,1996,50.04908
ben,1997,50.04908
ben,1998,50.04908
ben,1999,50.04908
ben,2000,50.04908
ben,2001,50.04908
ben,2002,50.04908
ben,2003,50.04908
ben,2004,50.04908
ben,2005,55.48443
ben,2006,53.85759
ben,2007,53.85759
ben,2008,53.85759
ben,2009,53.85759
ben,2010,54.97053
ben,2011,54.97053
ben,2012,54.97053
ben,2013,57.21268
ben,2014,56.42489
ben,2015,56.84615
ben,2016,56.97213
ben,2017,62.87431
ben,2018,57.65328
ben,2019,49.95156
bfa,1975,51.67421
bfa,1976,51.67421
bfa,1977,50.2693
bfa,1978,50.2693
bfa,1979,50.2693
bfa,1980,49.87911
bfa,1981,50.44055
bfa,1982,52.04144
bfa,1983,50.44055
bfa,1984,50.44055
bfa,1985,50.21067
bfa,1986,50.21067
bfa,1987,50.21067
bfa,1988,47.58467
bfa,1989,45.82121
bfa,1990,39.34181
bfa,1991,40.32128
bfa,1992,40.73503
bfa,1993,39.20871
bfa,1994,39.58591
bfa,1995,39.58591
bfa,1996,39.58591
bfa,1997,39.58591
bfa,1998,39.58591
bfa,1999,40.58958
bfa,2000,44.68041
bfa,2001,44.68041
bfa,2002,44.36466
bfa,2003,44.36466
bfa,2004,44.36466
bfa,2005,44.36466
bfa,2006,44.36466
bfa,2007,44.36466
bfa,2008,44.36466
bfa,2009,44.36466
bfa,2010,44.36466
bfa,2011,44.36466
bfa,2012,45.51907
bfa,2013,45.71339
bfa,2014,51.8671
bfa,2015,51.69265
bfa,2016,52.52924
bfa,2017,51.12305
bfa,2018,46.93182
bfa,2019,46.00956
bgd,1975,43.49449
bgd,1976,43.49449
bgd,1977,43.49449
bgd,1978,43.49449
bgd,1979,43.49449
bgd,1980,43.49449
bgd,1981,43.72931
bgd,1982,43.72931
bgd,1983,43.72931
bgd,1984,43.05733
bgd,1985,43.05733
bgd,1986,44.15321
bgd,1987,43.05733
bgd,1988,44.15321
bgd,1989,44.15321
bgd,1990,43.05733
bgd,1991,43.05733
bgd,1992,43.05733
bgd,1993,44.39094
bgd,1994,44.75303
bgd,1995,43.64533
bgd,1996,44.09689
bgd,1997,44.09689
bgd,1998,44.09689
bgd,1999,44.09689
bgd,2000,43.7213
bgd,2001,43.29297
bgd,2002,41.742
bgd,2003,40.4072
bgd,2004,40.4072
bgd,2005,40.66345
bgd,2006,40.66345
bgd,2007,39.81227
bgd,2008,39.81227
bgd,2009,33.6124
bgd,2010,33.6124
bgd,2011,33.6124
bgd,2012,33.6124
bgd,2013,29.97978
bgd,2014,29.97978
bgd,2015,32.06883
bgd,2016,31.26252
bgd,2017,34.00558
bgd,2018,32.88589
bgd,2019,28.9056
bgr,1975,34.19614
bgr,1976,34.19614
bgr,1977,34.19614
bgr,1978,34.19614
bgr,1979,34.19614
bgr,1980,34.19614
bgr,1981,34.79645
bgr,1982,34.79645
bgr,1983,34.79645
bgr,1984,35.32046
bgr,1985,35.32046
bgr,1986,35.32046
bgr,1987,35.32046
bgr,1988,35.32046
bgr,1989,35.32046
bgr,1990,50.97
bgr,1991,57.57751
bgr,1992,62.86815
bgr,1993,62.86815
bgr,1994,62.86815
bgr,1995,62.86815
bgr,1996,62.86815
bgr,1997,62.40105
bgr,1998,62.40105
bgr,1999,62.40105
bgr,2000,62.40105
bgr,2001,62.40105
bgr,2002,62.40105
bgr,2003,62.40105
bgr,2004,62.40105
bgr,2005,62.40105
bgr,2006,62.01045
bgr,2007,61.7299
bgr,2008,61.7299
bgr,2009,60.83968
bgr,2010,57.24083
bgr,2011,57.80812
bgr,2012,58.83863
bgr,2013,58.69209
bgr,2014,58.76188
bgr,2015,63.79034
bgr,2016,61.68082
bgr,2017,63.56067
bgr,2018,56.36481
bgr,2019,60.00997
bhr,1975,18.8001
bhr,1976,18.8001
bhr,1977,18.8001
bhr,1978,18.8001
bhr,1979,18.8001
bhr,1980,18.8001
bhr,1981,25.17563
bhr,1982,25.17563
bhr,1983,25.17563
bhr,1984,25.41508
bhr,1985,28.12322
bhr,1986,28.12322
bhr,1987,25.41508
bhr,1988,25.41508
bhr,1989,25.41508
bhr,1990,25.41508
bhr,1991,19.67791
bhr,1992,20.12886
bhr,1993,26.22668
bhr,1994,26.63794
bhr,1995,26.22668
bhr,1996,26.22668
bhr,1997,26.22668
bhr,1998,26.22668
bhr,1999,26.22668
bhr,2000,26.22668
bhr,2001,20.12886
bhr,2002,14.16237
bhr,2003,14.16237
bhr,2004,14.16237
bhr,2005,19.2543
bhr,2006,19.2543
bhr,2007,19.2543
bhr,2008,21.1352
bhr,2009,21.1352
bhr,2010,21.1352
bhr,2011,19.31687
bhr,2012,16.76024
bhr,2013,16.76024
bhr,2014,16.76024
bhr,2015,16.76024
bhr,2016,19.11369
bhr,2017,19.11369
bhr,2018,19.11369
bhr,2019,19.11369
bih,1992,28.71057
bih,1993,28.71057
bih,1994,28.71057
bih,1995,28.71057
bih,1996,39.69284
bih,1997,41.01066
bih,1998,43.10864
bih,1999,43.10864
bih,2000,42.51405
bih,2001,45.23349
bih,2002,44.21048
bih,2003,46.02519
bih,2004,46.02519
bih,2005,48.81508
bih,2006,48.81508
bih,2007,48.81508
bih,2008,47.51109
bih,2009,48.54235
bih,2010,48.54235
bih,2011,48.54235
bih,2012,48.54235
bih,2013,49.30974
bih,2014,49.30974
bih,2015,49.30974
bih,2016,48.77471
bih,2017,49.66381
bih,2018,48.8099
bih,2019,48.25593
blr,1991,53.6144
blr,1992,54.44689
blr,1993,54.19614
blr,1994,47.62152
blr,1995,45.34009
blr,1996,29.31764
blr,1997,11.92252
blr,1998,12.624
blr,1999,12.624
blr,2000,12.624
blr,2001,12.624
blr,2002,12.624
blr,2003,12.624
blr,2004,12.624
blr,2005,12.624
blr,2006,12.624
blr,2007,12.624
blr,2008,12.624
blr,2009,12.624
blr,2010,12.624
blr,2011,12.624
blr,2012,12.38981
blr,2013,12.38981
blr,2014,12.38981
blr,2015,12.38981
blr,2016,14.19272
blr,2017,13.59611
blr,2018,14.52827
blr,2019,14.52827
bol,1975,19.79893
bol,1976,19.79893
bol,1977,19.79893
bol,1978,19.79893
bol,1979,22.27611
bol,1980,19.79893
bol,1981,21.17083
bol,1982,35.02092
bol,1983,44.89463
bol,1984,44.30795
bol,1985,45.28771
bol,1986,43.7561
bol,1987,43.7561
bol,1988,44.71858
bol,1989,43.7561
bol,1990,43.7561
bol,1991,43.7561
bol,1992,43.7561
bol,1993,43.95647
bol,1994,43.17275
bol,1995,43.47416
bol,1996,43.47416
bol,1997,43.47416
bol,1998,43.47416
bol,1999,43.47416
bol,2000,43.47416
bol,2001,43.47416
bol,2002,43.47416
bol,2003,43.47416
bol,2004,42.95039
bol,2005,42.95039
bol,2006,40.56919
bol,2007,41.70627
bol,2008,40.56919
bol,2009,38.6512
bol,2010,35.87969
bol,2011,35.87969
bol,2012,35.87969
bol,2013,38.72798
bol,2014,38.72798
bol,2015,37.29864
bol,2016,37.29864
bol,2017,37.29864
bol,2018,36.996
bol,2019,31.82387
bra,1975,42.2278
bra,1976,42.2278
bra,1977,42.2278
bra,1978,42.2278
bra,1979,42.2278
bra,1980,45.5151
bra,1981,46.86939
bra,1982,46.86939
bra,1983,46.86939
bra,1984,46.72534
bra,1985,47.09771
bra,1986,52.23898
bra,1987,52.23898
bra,1988,64.69346
bra,1989,63.53202
bra,1990,63.53202
bra,1991,63.53202
bra,1992,63.53202
bra,1993,63.23248
bra,1994,61.90874
bra,1995,61.90874
bra,1996,61.90874
bra,1997,61.69258
bra,1998,61.69258
bra,1999,61.69258
bra,2000,61.69258
bra,2001,61.69258
bra,2002,61.57817
bra,2003,61.57817
bra,2004,61.69258
bra,2005,70.78963
bra,2006,70.78963
bra,2007,70.78963
bra,2008,70.33017
bra,2009,70.33017
bra,2010,70.33017
bra,2011,70.78963
bra,2012,71.8434
bra,2013,73.42966
bra,2014,72.45996
bra,2015,72.45996
bra,2016,68.88983
bra,2017,67.39592
bra,2018,61.55049
bra,2019,59.87775
brb,1975,78.91804
brb,1976,78.91804
brb,1977,78.91804
brb,1978,78.91804
brb,1979,78.91804
brb,1980,78.91804
brb,1981,79.16876
brb,1982,71.85928
brb,1983,71.85928
brb,1984,71.85928
brb,1985,71.85928
brb,1986,71.85928
brb,1987,71.85928
brb,1988,71.85928
brb,1989,71.85928
brb,1990,71.85928
brb,1991,71.85928
brb,1992,71.85928
brb,1993,71.85928
brb,1994,71.85928
brb,1995,71.85928
brb,1996,71.85928
brb,1997,71.85928
brb,1998,71.85928
brb,1999,71.85928
brb,2000,71.85928
brb,2001,71.85928
brb,2002,71.85928
brb,2003,71.85928
brb,2004,71.85928
brb,2005,71.85928
brb,2006,71.85928
brb,2007,71.85928
brb,2008,71.85928
brb,2009,71.85928
brb,2010,71.85928
brb,2011,71.85928
brb,2012,71.85928
brb,2013,71.85928
brb,2014,71.85928
brb,2015,71.85928
brb,2016,71.85928
brb,2017,80.39614
brb,2018,80.39614
brb,2019,82.72375
bwa,1975,71.69571
bwa,1976,71.69571
bwa,1977,71.69571
bwa,1978,71.69571
bwa,1979,71.69571
bwa,1980,71.69571
bwa,1981,70.54927
bwa,1982,70.54927
bwa,1983,70.54927
bwa,1984,70.54927
bwa,1985,70.8477
bwa,1986,71.17837
bwa,1987,71.17837
bwa,1988,71.17837
bwa,1989,71.17837
bwa,1990,71.17837
bwa,1991,71.17837
bwa,1992,71.17837
bwa,1993,71.17837
bwa,1994,71.17837
bwa,1995,71.17837
bwa,1996,70.783
bwa,1997,70.783
bwa,1998,70.783
bwa,1999,68.36453
bwa,2000,68.36453
bwa,2001,68.09939
bwa,2002,68.09939
bwa,2003,68.09939
bwa,2004,68.09939
bwa,2005,68.36453
bwa,2006,68.36453
bwa,2007,68.09939
bwa,2008,68.09939
bwa,2009,68.09939
bwa,2010,68.09939
bwa,2011,68.09939
bwa,2012,66.74378
bwa,2013,63.21399
bwa,2014,63.21399
bwa,2015,58.16737
bwa,2016,56.98234
bwa,2017,57.76274
bwa,2018,60.93934
bwa,2019,60.32924
caf,1975,25.09254
caf,1976,22.5234
caf,1977,19.04324
caf,1978,19.04324
caf,1979,21.09779
caf,1980,32.24216
caf,1981,33.29098
caf,1982,33.29098
caf,1983,33.29098
caf,1984,33.29098
caf,1985,34.30238
caf,1986,34.30238
caf,1987,33.29098
caf,1988,34.30238
caf,1989,34.30238
caf,1990,33.29098
caf,1991,33.29098
caf,1992,31.33049
caf,1993,35.83261
caf,1994,37.4437
caf,1995,37.4437
caf,1996,37.4437
caf,1997,37.4437
caf,1998,37.4437
caf,1999,37.4437
caf,2000,37.4437
caf,2001,37.4437
caf,2002,37.4437
caf,2003,36.40729
caf,2004,36.40729
caf,2005,34.60325
caf,2006,34.60325
caf,2007,34.60325
caf,2008,34.60325
caf,2009,34.60325
caf,2010,35.0684
caf,2011,34.60325
caf,2012,34.60325
caf,2013,33.65781
caf,2014,35.55793
caf,2015,35.55793
caf,2016,35.55793
caf,2017,37.70163
caf,2018,39.90637
caf,2019,39.98304
can,1975,80.1509
can,1976,80.1509
can,1977,80.1509
can,1978,80.1509
can,1979,80.1509
can,1980,80.1509
can,1981,80.39614
can,1982,80.39614
can,1983,80.39614
can,1984,81.02332
can,1985,81.02332
can,1986,81.02332
can,1987,81.02332
can,1988,81.02332
can,1989,73.46866
can,1990,80.3562
can,1991,80.3562
can,1992,80.3562
can,1993,80.3562
can,1994,80.3562
can,1995,80.3562
can,1996,80.3562
can,1997,80.3562
can,1998,80.3562
can,1999,80.3562
can,2000,80.3562
can,2001,80.3562
can,2002,80.3562
can,2003,80.3562
can,2004,80.3562
can,2005,80.3562
can,2006,77.96859
can,2007,77.96859
can,2008,80.3562
can,2009,79.79984
can,2010,76.03852
can,2011,76.03852
can,2012,76.03852
can,2013,77.05223
can,2014,77.05223
can,2015,74.76775
can,2016,74.76775
can,2017,73.4405
can,2018,73.11878
can,2019,76.07061
che,1975,98.40053
che,1976,98.40053
che,1977,98.40053
che,1978,98.40053
che,1979,98.40053
che,1980,98.40053
che,1981,98.53541
che,1982,98.53541
che,1983,98.53541
che,1984,100
che,1985,100
che,1986,100
che,1987,100
che,1988,100
che,1989,100
che,1990,100
che,1991,100
che,1992,100
che,1993,100
che,1994,100
che,1995,100
che,1996,100
che,1997,100
che,1998,100
che,1999,100
che,2000,100
che,2001,98.03255
che,2002,98.03255
che,2003,98.03255
che,2004,98.03255
che,2005,98.03255
che,2006,98.03255
che,2007,98.03255
che,2008,98.03255
che,2009,98.03255
che,2010,98.03255
che,2011,98.03255
che,2012,98.03255
che,2013,98.03255
che,2014,98.03255
che,2015,98.03255
che,2016,98.03255
che,2017,98.03255
che,2018,98.03255
che,2019,98.03255
chl,1975,38.90835
chl,1976,38.90835
chl,1977,38.90835
chl,1978,38.90835
chl,1979,38.90835
chl,1980,40.87989
chl,1981,41.28397
chl,1982,41.28397
chl,1983,41.28397
chl,1984,41.60256
chl,1985,41.9266
chl,1986,40.51052
chl,1987,41.9266
chl,1988,40.51052
chl,1989,37.30446
chl,1990,64.83705
chl,1991,76.9062
chl,1992,76.9062
chl,1993,76.9062
chl,1994,76.58472
chl,1995,77.37183
chl,1996,77.37183
chl,1997,77.37183
chl,1998,77.37183
chl,1999,77.37183
chl,2000,79.03504
chl,2001,79.03504
chl,2002,79.03504
chl,2003,79.03504
chl,2004,79.03504
chl,2005,79.03504
chl,2006,79.03504
chl,2007,80.5601
chl,2008,79.03504
chl,2009,78.2439
chl,2010,79.87169
chl,2011,79.87169
chl,2012,79.87169
chl,2013,91.18486
chl,2014,91.18486
chl,2015,87.46288
chl,2016,87.46288
chl,2017,87.46288
chl,2018,68.70583
chl,2019,75.27118
chn,1975,25.53796
chn,1976,25.53796
chn,1977,25.53796
chn,1978,25.53796
chn,1979,25.38052
chn,1980,25.38052
chn,1981,26.38614
chn,1982,26.38614
chn,1983,26.38614
chn,1984,26.16697
chn,1985,26.57073
chn,1986,24.39308
chn,1987,24.39308
chn,1988,23.08022
chn,1989,23.08022
chn,1990,24.39308
chn,1991,23.08022
