country,time,ajustice_idea
bdi,1999,55.49412
bdi,2000,59.25274
bdi,2001,59.38838
bdi,2002,59.21351
bdi,2003,59.29518
bdi,2004,59.26299
bdi,2005,60.47403
bdi,2006,60.50644
bdi,2007,60.27527
bdi,2008,60.50291
bdi,2009,58.19396
bdi,2010,57.81431
bdi,2011,57.84204
bdi,2012,56.18373
bdi,2013,50.56531
bdi,2014,50.51156
bdi,2015,39.60039
bdi,2016,39.33723
bdi,2017,45.70805
bdi,2018,35.44565
bdi,2019,40.12081
bel,1975,94.79253
bel,1976,94.75768
bel,1977,94.71666
bel,1978,94.58733
bel,1979,94.59078
bel,1980,94.57797
bel,1981,94.71069
bel,1982,94.62781
bel,1983,94.67173
bel,1984,94.76665
bel,1985,94.57595
bel,1986,94.73987
bel,1987,94.53708
bel,1988,94.76549
bel,1989,94.56866
bel,1990,94.46963
bel,1991,94.66624
bel,1992,94.82661
bel,1993,94.62271
bel,1994,94.89321
bel,1995,94.86484
bel,1996,95.10861
bel,1997,94.88858
bel,1998,94.85126
bel,1999,94.92994
bel,2000,94.88756
bel,2001,94.89085
bel,2002,94.86753
bel,2003,94.86041
bel,2004,94.8765
bel,2005,94.81745
bel,2006,95.0645
bel,2007,94.76625
bel,2008,94.71194
bel,2009,94.98793
bel,2010,94.83837
bel,2011,94.83476
bel,2012,94.90573
bel,2013,94.03577
bel,2014,94.10249
bel,2015,93.9105
bel,2016,94.14099
bel,2017,91.82943
bel,2018,91.75499
bel,2019,91.81867
ben,1975,45.77296
ben,1976,45.77376
ben,1977,45.90615
ben,1978,46.09736
ben,1979,45.99373
ben,1980,45.83121
ben,1981,45.76637
ben,1982,45.82407
ben,1983,45.91107
ben,1984,45.93265
ben,1985,45.74148
ben,1986,45.97742
ben,1987,45.96297
ben,1988,45.90086
ben,1989,45.82835
ben,1990,71.83808
ben,1991,71.85966
ben,1992,75.62431
ben,1993,75.66362
ben,1994,75.5757
ben,1995,75.68925
ben,1996,75.63686
ben,1997,75.60102
ben,1998,75.56439
ben,1999,75.4492
ben,2000,75.52503
ben,2001,75.5052
ben,2002,75.84026
ben,2003,75.45104
ben,2004,75.71055
ben,2005,75.57374
ben,2006,75.66046
ben,2007,75.84766
ben,2008,75.61486
ben,2009,75.59003
ben,2010,75.78079
ben,2011,75.7836
ben,2012,75.80567
ben,2013,79.69966
ben,2014,81.01746
ben,2015,81.36935
ben,2016,81.16282
ben,2017,81.64587
ben,2018,82.12572
ben,2019,68.02312
bfa,1975,47.82111
bfa,1976,47.81362
bfa,1977,47.82077
bfa,1978,47.83322
bfa,1979,48.05604
bfa,1980,49.62668
bfa,1981,50.34173
bfa,1982,48.80944
bfa,1983,51.17118
bfa,1984,50.91594
bfa,1985,48.32574
bfa,1986,48.39452
bfa,1987,48.29562
bfa,1988,46.75778
bfa,1989,46.70358
bfa,1990,47.11961
bfa,1991,54.91263
bfa,1992,58.27471
bfa,1993,58.15466
bfa,1994,58.30807
bfa,1995,57.99361
bfa,1996,58.28449
bfa,1997,58.34171
bfa,1998,58.30152
bfa,1999,64.08458
bfa,2000,64.20059
bfa,2001,64.1589
bfa,2002,64.38425
bfa,2003,64.14857
bfa,2004,64.11296
bfa,2005,64.08996
bfa,2006,64.19903
bfa,2007,64.15701
bfa,2008,64.18508
bfa,2009,64.20083
bfa,2010,65.63205
bfa,2011,65.64358
bfa,2012,65.96609
bfa,2013,66.37289
bfa,2014,67.93495
bfa,2015,68.02978
bfa,2016,64.62428
bfa,2017,65.00646
bfa,2018,59.20227
bfa,2019,49.50097
bgd,1975,46.05509
bgd,1976,46.02902
bgd,1977,47.55913
bgd,1978,47.64966
bgd,1979,52.46306
bgd,1980,52.42784
bgd,1981,52.43415
bgd,1982,52.32852
bgd,1983,52.38356
bgd,1984,52.51605
bgd,1985,52.15806
bgd,1986,52.34971
bgd,1987,52.32356
bgd,1988,52.31562
bgd,1989,52.44903
bgd,1990,52.27004
bgd,1991,52.47796
bgd,1992,52.34728
bgd,1993,52.20684
bgd,1994,52.26638
bgd,1995,52.27469
bgd,1996,52.15199
bgd,1997,52.1556
bgd,1998,52.26412
bgd,1999,52.22882
bgd,2000,57.50419
bgd,2001,56.0483
bgd,2002,46.37885
bgd,2003,46.51577
bgd,2004,47.65597
bgd,2005,47.76024
bgd,2006,48.0274
bgd,2007,44.88172
bgd,2008,44.87794
bgd,2009,47.66833
bgd,2010,47.83086
bgd,2011,47.70453
bgd,2012,47.74292
bgd,2013,45.5597
bgd,2014,45.47894
bgd,2015,46.38178
bgd,2016,46.3428
bgd,2017,44.90364
bgd,2018,45.65553
bgd,2019,42.55116
bgr,1975,39.44607
bgr,1976,39.36148
bgr,1977,39.42104
bgr,1978,39.35223
bgr,1979,39.48316
bgr,1980,39.28263
bgr,1981,39.05352
bgr,1982,39.34116
bgr,1983,39.17446
bgr,1984,39.28616
bgr,1985,39.40354
bgr,1986,39.3163
bgr,1987,39.4188
bgr,1988,39.41605
bgr,1989,39.32214
bgr,1990,73.27071
bgr,1991,73.23619
bgr,1992,72.81804
bgr,1993,72.80994
bgr,1994,72.82039
bgr,1995,72.86703
bgr,1996,72.73219
bgr,1997,72.88253
bgr,1998,72.78721
bgr,1999,72.88929
bgr,2000,72.85239
bgr,2001,72.71462
bgr,2002,72.89761
bgr,2003,72.76789
bgr,2004,72.70259
bgr,2005,72.77297
bgr,2006,75.41442
bgr,2007,75.26126
bgr,2008,75.36696
bgr,2009,70.49332
bgr,2010,70.1257
bgr,2011,70.12456
bgr,2012,71.88999
bgr,2013,66.51467
bgr,2014,66.24034
bgr,2015,66.12269
bgr,2016,65.7479
bgr,2017,65.70143
bgr,2018,67.10034
bgr,2019,67.10333
bhr,2005,49.02868
bhr,2006,48.98339
bhr,2007,48.94448
bhr,2008,48.8842
bhr,2009,48.99182
bhr,2010,47.34532
bhr,2011,34.79925
bhr,2012,34.74401
bhr,2013,34.83429
bhr,2014,34.73716
bhr,2015,34.78261
bhr,2016,34.75018
bhr,2017,34.69048
bhr,2018,34.86094
bhr,2019,41.29064
bih,1992,40.00932
bih,1993,39.99701
bih,1994,40.06129
bih,1995,41.35239
bih,1996,52.82018
bih,1997,52.89681
bih,1998,53.10009
bih,1999,53.00127
bih,2000,59.93861
bih,2001,65.70982
bih,2002,65.96144
bih,2003,65.78776
bih,2004,65.63181
bih,2005,66.43054
bih,2006,66.54318
bih,2007,66.64591
bih,2008,66.72763
bih,2009,66.43089
bih,2010,66.54664
bih,2011,66.5492
bih,2012,66.54858
bih,2013,66.17347
bih,2014,66.53574
bih,2015,66.37822
bih,2016,64.98636
bih,2017,63.851
bih,2018,57.03258
bih,2019,56.18001
blr,1991,67.676
blr,1992,74.72837
blr,1993,74.87071
blr,1994,74.92295
blr,1995,74.80154
blr,1996,65.52584
blr,1997,63.71879
blr,1998,63.89384
blr,1999,64.03314
blr,2000,64.03313
blr,2001,64.11264
blr,2002,59.02366
blr,2003,59.1354
blr,2004,59.03266
blr,2005,58.98494
blr,2006,59.22377
blr,2007,58.99565
blr,2008,59.10106
blr,2009,59.11426
blr,2010,58.95795
blr,2011,59.0871
blr,2012,59.36048
blr,2013,59.32037
blr,2014,59.30333
blr,2015,59.15325
blr,2016,59.2642
blr,2017,60.16056
blr,2018,60.43935
blr,2019,58.64978
bol,1975,36.90877
bol,1976,37.04176
bol,1977,38.421
bol,1978,38.72207
bol,1979,38.53645
bol,1980,33.6745
bol,1981,39.23157
bol,1982,45.47602
bol,1983,50.58262
bol,1984,50.70002
bol,1985,54.48448
bol,1986,54.69651
bol,1987,54.72377
bol,1988,54.3624
bol,1989,54.53418
bol,1990,54.48234
bol,1991,54.55635
bol,1992,54.73015
bol,1993,54.75095
bol,1994,54.61992
bol,1995,54.76276
bol,1996,54.55931
bol,1997,57.32173
bol,1998,57.38107
bol,1999,57.21176
bol,2000,57.21839
bol,2001,57.18923
bol,2002,57.40648
bol,2003,57.14753
bol,2004,56.35526
bol,2005,56.41725
bol,2006,52.79874
bol,2007,52.73872
bol,2008,52.81774
bol,2009,52.96195
bol,2010,52.73801
bol,2011,52.84466
bol,2012,52.001
bol,2013,50.94299
bol,2014,51.08987
bol,2015,50.9132
bol,2016,50.67829
bol,2017,51.02316
bol,2018,50.87913
bol,2019,49.43242
bra,1975,32.83912
bra,1976,32.66441
bra,1977,34.07462
bra,1978,34.04702
bra,1979,41.22128
bra,1980,41.26359
bra,1981,41.12399
bra,1982,41.18648
bra,1983,41.2127
bra,1984,41.1861
bra,1985,48.92678
bra,1986,49.58576
bra,1987,49.80731
bra,1988,55.88223
bra,1989,61.47433
bra,1990,61.60187
bra,1991,65.843
bra,1992,65.96312
bra,1993,65.93522
bra,1994,66.06236
bra,1995,65.97534
bra,1996,65.88522
bra,1997,66.05831
bra,1998,65.98413
bra,1999,65.92439
bra,2000,66.13009
bra,2001,66.19504
bra,2002,66.32605
bra,2003,66.19348
bra,2004,66.22626
bra,2005,66.26302
bra,2006,66.45657
bra,2007,66.3336
bra,2008,66.35866
bra,2009,66.46858
bra,2010,66.47044
bra,2011,66.62359
bra,2012,66.57023
bra,2013,63.3883
bra,2014,63.51731
bra,2015,63.37638
bra,2016,61.66241
bra,2017,61.6329
bra,2018,60.72029
bra,2019,63.50389
brb,1975,77.6525
brb,1976,77.52334
brb,1977,77.62773
brb,1978,77.49465
brb,1979,77.37443
brb,1980,80.35493
brb,1981,80.32448
brb,1982,80.36427
brb,1983,80.34237
brb,1984,80.35236
brb,1985,80.46939
brb,1986,80.29714
brb,1987,80.22875
brb,1988,80.5095
brb,1989,80.21933
brb,1990,81.04704
brb,1991,81.21833
brb,1992,81.05295
brb,1993,81.19006
brb,1994,80.96464
brb,1995,81.05959
brb,1996,81.10491
brb,1997,81.22976
brb,1998,81.07577
brb,1999,80.99798
brb,2000,81.26346
brb,2001,81.0964
brb,2002,81.29915
brb,2003,81.05736
brb,2004,81.38616
brb,2005,81.16898
brb,2006,81.05814
brb,2007,81.14033
brb,2008,81.07129
brb,2009,81.26524
brb,2010,81.03318
brb,2011,81.1401
brb,2012,80.83908
brb,2013,81.22376
brb,2014,81.1203
brb,2015,81.19439
brb,2016,81.10956
brb,2017,78.0649
brb,2018,79.08388
brb,2019,77.44929
bwa,1975,68.03932
bwa,1976,67.96608
bwa,1977,67.99623
bwa,1978,68.02665
bwa,1979,67.91744
bwa,1980,68.03128
bwa,1981,68.16634
bwa,1982,68.22588
bwa,1983,68.24687
bwa,1984,68.15987
bwa,1985,68.22436
bwa,1986,68.09739
bwa,1987,68.21291
bwa,1988,68.23904
bwa,1989,68.26976
bwa,1990,68.27829
bwa,1991,68.39879
bwa,1992,68.25156
bwa,1993,68.2394
bwa,1994,68.17313
bwa,1995,71.2835
bwa,1996,71.58363
bwa,1997,71.42102
bwa,1998,73.77968
bwa,1999,73.81864
bwa,2000,73.8087
bwa,2001,73.92402
bwa,2002,73.97697
bwa,2003,73.95315
bwa,2004,73.93345
bwa,2005,73.81396
bwa,2006,73.82992
bwa,2007,73.74889
bwa,2008,73.7432
bwa,2009,73.65543
bwa,2010,74.93905
bwa,2011,75.0586
bwa,2012,75.18067
bwa,2013,76.01136
bwa,2014,76.17696
bwa,2015,78.12805
bwa,2016,78.04647
bwa,2017,71.64437
bwa,2018,75.39487
bwa,2019,75.8415
caf,1975,43.75395
caf,1976,43.44726
caf,1977,39.95723
caf,1978,40.00229
caf,1979,41.07786
caf,1980,44.08654
caf,1981,44.18346
caf,1982,44.20064
caf,1983,45.72356
caf,1984,45.50646
caf,1985,45.62875
caf,1986,45.62641
caf,1987,45.61226
caf,1988,45.69009
caf,1989,45.56593
caf,1990,45.5798
caf,1991,45.65518
caf,1992,45.52428
caf,1993,45.41417
caf,1994,45.62096
caf,1995,45.58759
caf,1996,45.68528
caf,1997,45.59368
caf,1998,47.19913
caf,1999,46.9854
caf,2000,46.79824
caf,2001,45.40455
caf,2002,45.23326
caf,2003,41.54521
caf,2004,41.5614
caf,2005,41.48302
caf,2006,42.95402
caf,2007,41.80499
caf,2008,41.47655
caf,2009,41.41333
caf,2010,41.65513
caf,2011,41.49443
caf,2012,41.55906
caf,2013,30.46641
caf,2014,30.6896
caf,2015,33.91481
caf,2016,40.13836
caf,2017,37.60925
caf,2018,39.82656
caf,2019,39.94885
can,1975,84.16652
can,1976,86.77677
can,1977,86.9234
can,1978,86.89308
can,1979,87.03934
can,1980,86.79476
can,1981,86.83003
