country,time,pol3_vacc
atg,1981,47
atg,1982,86
atg,1983,99
atg,1984,93
atg,1985,99
atg,1986,96
atg,1987,99
atg,1988,99
atg,1989,99
atg,1990,99
atg,1991,97
atg,1992,99
atg,1993,99
atg,1994,99
atg,1995,99
atg,1996,99
atg,1997,99
atg,1998,99
atg,1999,99
atg,2000,96
atg,2001,99
atg,2002,93
atg,2003,99
atg,2004,97
atg,2005,98
atg,2006,99
atg,2007,98
atg,2008,99
atg,2009,98
atg,2010,99
atg,2011,99
atg,2012,97
atg,2013,98
atg,2014,96
atg,2015,86
atg,2016,87
atg,2017,94
atg,2018,94
atg,2019,95
atg,2020,95
aus,1980,17
aus,1981,43
aus,1982,68
aus,1983,94
aus,1984,94
aus,1985,94
aus,1986,95
aus,1987,95
aus,1988,95
aus,1989,95
aus,1990,72
aus,1991,75
aus,1992,78
aus,1993,80
aus,1994,83
aus,1995,86
aus,1996,86
aus,1997,77
aus,1998,83
aus,1999,88
aus,2000,90
aus,2001,91
aus,2002,92
aus,2003,92
aus,2004,92
aus,2005,92
aus,2006,92
aus,2007,92
aus,2008,92
aus,2009,92
aus,2010,92
aus,2011,92
aus,2012,92
aus,2013,91
aus,2014,92
aus,2015,93
aus,2016,94
aus,2017,95
aus,2018,95
aus,2019,95
aus,2020,95
aut,1980,90
aut,1981,90
aut,1982,90
aut,1983,90
aut,1984,90
aut,1985,90
aut,1986,90
aut,1987,90
aut,1988,90
aut,1989,90
aut,1990,90
aut,1991,90
aut,1992,90
aut,1993,90
aut,1994,90
aut,1995,90
aut,1996,95
aut,1997,95
aut,1998,87
aut,1999,79
aut,2000,71
aut,2001,83
aut,2002,82
aut,2003,84
aut,2004,83
aut,2005,86
aut,2006,83
aut,2007,85
aut,2008,83
aut,2009,83
aut,2010,86
aut,2011,89
aut,2012,92
aut,2013,95
aut,2014,98
aut,2015,93
aut,2016,87
aut,2017,90
aut,2018,85
aut,2019,85
aut,2020,85
aze,1992,63
aze,1993,69
aze,1994,68
aze,1995,71
aze,1996,72
aze,1997,73
aze,1998,74
aze,1999,76
aze,2000,75
aze,2001,77
aze,2002,80
aze,2003,79
aze,2004,78
aze,2005,79
aze,2006,80
aze,2007,81
aze,2008,85
aze,2009,84
aze,2010,85
aze,2011,91
aze,2012,92
aze,2013,96
aze,2014,97
aze,2015,98
aze,2016,98
aze,2017,97
aze,2018,96
aze,2019,96
aze,2020,85
bdi,1981,39
bdi,1982,43
bdi,1983,35
bdi,1984,21
bdi,1985,58
bdi,1986,56
bdi,1987,71
bdi,1988,51
bdi,1989,86
bdi,1990,97
bdi,1991,89
bdi,1992,81
bdi,1993,64
bdi,1994,49
bdi,1995,73
bdi,1996,72
bdi,1997,69
bdi,1998,61
bdi,1999,70
bdi,2000,71
bdi,2001,72
bdi,2002,74
bdi,2003,75
bdi,2004,76
bdi,2005,82
bdi,2006,88
bdi,2007,93
bdi,2008,89
bdi,2009,96
bdi,2010,94
bdi,2011,95
bdi,2012,96
bdi,2013,96
bdi,2014,95
bdi,2015,94
bdi,2016,94
bdi,2017,91
bdi,2018,90
bdi,2019,93
bdi,2020,93
bel,1980,99
bel,1981,99
bel,1982,90
bel,1983,90
bel,1984,95
bel,1985,97
bel,1986,99
bel,1987,97
bel,1988,95
bel,1989,95
bel,1990,95
bel,1991,93
bel,1992,94
bel,1993,94
bel,1994,93
bel,1995,92
bel,1996,94
bel,1997,94
bel,1998,95
bel,1999,95
bel,2000,96
bel,2001,96
bel,2002,96
bel,2003,96
bel,2004,96
bel,2005,97
bel,2006,99
bel,2007,99
bel,2008,99
bel,2009,98
bel,2010,98
bel,2011,98
bel,2012,99
bel,2013,99
bel,2014,99
bel,2015,99
bel,2016,98
bel,2017,98
bel,2018,98
bel,2019,98
ben,1985,16
ben,1986,17
ben,1987,25
ben,1988,30
ben,1989,48
ben,1990,74
ben,1991,68
ben,1992,73
ben,1993,75
ben,1994,82
ben,1995,68
ben,1996,67
ben,1997,66
ben,1998,70
ben,1999,74
ben,2000,78
ben,2001,77
ben,2002,76
ben,2003,75
ben,2004,74
ben,2005,73
ben,2006,76
ben,2007,82
ben,2008,77
ben,2009,80
ben,2010,77
ben,2011,77
ben,2012,80
ben,2013,73
ben,2014,71
ben,2015,72
ben,2016,75
ben,2017,75
ben,2018,75
ben,2019,75
ben,2020,73
bfa,1985,10
bfa,1986,21
bfa,1987,23
bfa,1988,34
bfa,1989,44
bfa,1990,66
bfa,1991,53
bfa,1992,41
bfa,1993,39
bfa,1994,36
bfa,1995,35
bfa,1996,37
bfa,1997,39
bfa,1998,15
bfa,1999,15
bfa,2000,45
bfa,2001,62
bfa,2002,69
bfa,2003,83
bfa,2004,83
bfa,2005,94
bfa,2006,94
bfa,2007,93
bfa,2008,92
bfa,2009,91
bfa,2010,90
bfa,2011,90
bfa,2012,90
bfa,2013,89
bfa,2014,91
bfa,2015,91
bfa,2016,91
bfa,2017,91
bfa,2018,91
bfa,2019,91
bfa,2020,91
bgd,1981,1
bgd,1982,1
bgd,1983,1
bgd,1984,1
bgd,1985,2
bgd,1986,4
bgd,1987,8
bgd,1988,16
bgd,1989,49
bgd,1990,69
bgd,1991,74
bgd,1992,67
bgd,1993,74
bgd,1994,84
bgd,1995,69
bgd,1996,77
bgd,1997,78
bgd,1998,79
bgd,1999,81
bgd,2000,83
bgd,2001,85
bgd,2002,83
bgd,2003,90
bgd,2004,88
bgd,2005,94
bgd,2006,95
bgd,2007,96
bgd,2008,96
bgd,2009,97
bgd,2010,94
bgd,2011,96
bgd,2012,94
bgd,2013,96
bgd,2014,97
bgd,2015,98
bgd,2016,98
bgd,2017,98
bgd,2018,98
bgd,2019,98
bgd,2020,98
bgr,1980,99
bgr,1981,99
bgr,1982,99
bgr,1983,98
bgr,1984,99
bgr,1985,99
bgr,1986,99
bgr,1987,99
bgr,1988,99
bgr,1989,99
bgr,1990,99
bgr,1991,81
bgr,1992,99
bgr,1993,97
bgr,1994,94
bgr,1995,97
bgr,1996,95
bgr,1997,96
bgr,1998,96
bgr,1999,97
bgr,2000,94
bgr,2001,94
bgr,2002,94
bgr,2003,96
bgr,2004,94
bgr,2005,97
bgr,2006,96
bgr,2007,95
bgr,2008,96
bgr,2009,94
bgr,2010,94
bgr,2011,95
bgr,2012,95
bgr,2013,95
bgr,2014,88
bgr,2015,91
bgr,2016,92
bgr,2017,92
bgr,2018,92
bgr,2019,93
bgr,2020,91
bhr,1980,72
bhr,1981,75
bhr,1982,79
bhr,1983,83
bhr,1984,86
bhr,1985,90
bhr,1986,92
bhr,1987,95
bhr,1988,96
bhr,1989,96
bhr,1990,94
bhr,1991,99
bhr,1992,94
bhr,1993,94
bhr,1994,96
bhr,1995,95
bhr,1996,96
bhr,1997,98
bhr,1998,98
bhr,1999,97
bhr,2000,97
bhr,2001,99
bhr,2002,98
bhr,2003,97
bhr,2004,98
bhr,2005,98
bhr,2006,98
bhr,2007,97
bhr,2008,97
bhr,2009,97
bhr,2010,99
bhr,2011,99
bhr,2012,99
bhr,2013,99
bhr,2014,98
bhr,2015,98
bhr,2016,99
bhr,2017,98
bhr,2018,99
bhr,2019,99
bhr,2020,98
bhs,1980,35
bhs,1981,40
bhs,1982,67
bhs,1983,65
bhs,1984,69
bhs,1985,84
bhs,1986,81
bhs,1987,76
bhs,1988,84
bhs,1989,82
bhs,1990,82
bhs,1991,91
bhs,1992,92
bhs,1993,91
bhs,1994,91
bhs,1995,86
bhs,1996,85
bhs,1997,86
bhs,1998,88
bhs,1999,82
bhs,2000,91
bhs,2001,98
bhs,2002,93
bhs,2003,93
bhs,2004,92
bhs,2005,93
bhs,2006,94
bhs,2007,95
bhs,2008,93
bhs,2009,97
bhs,2010,97
bhs,2011,97
bhs,2012,99
bhs,2013,97
bhs,2014,96
bhs,2015,95
bhs,2016,94
bhs,2017,94
bhs,2018,90
bhs,2019,89
bih,1992,65
bih,1993,45
bih,1994,69
bih,1995,69
bih,1996,74
bih,1997,80
bih,1998,89
bih,1999,90
bih,2000,87
bih,2001,92
bih,2002,86
bih,2003,87
bih,2004,87
bih,2005,95
bih,2006,91
bih,2007,95
bih,2008,92
bih,2009,90
bih,2010,90
bih,2011,89
bih,2012,87
bih,2013,87
bih,2014,86
bih,2015,74
bih,2016,79
bih,2017,75
bih,2018,73
bih,2019,73
blr,1992,90
blr,1993,91
blr,1994,92
blr,1995,96
blr,1996,98
blr,1997,98
blr,1998,99
blr,1999,99
blr,2000,99
blr,2001,99
blr,2002,99
blr,2003,53
blr,2004,99
blr,2005,98
blr,2006,97
blr,2007,90
blr,2008,98
blr,2009,98
blr,2010,99
blr,2011,98
blr,2012,98
blr,2013,98
blr,2014,97
blr,2015,99
blr,2016,98
blr,2017,98
blr,2018,98
blr,2019,98
blr,2020,97
blz,1980,44
blz,1981,54
blz,1982,65
blz,1983,61
blz,1984,61
blz,1985,61
blz,1986,84
blz,1987,58
blz,1988,63
blz,1989,74
blz,1990,86
blz,1991,80
blz,1992,89
blz,1993,86
blz,1994,84
blz,1995,83
blz,1996,85
blz,1997,85
blz,1998,87
blz,1999,84
blz,2000,91
blz,2001,96
blz,2002,93
blz,2003,95
blz,2004,97
blz,2005,96
blz,2006,98
blz,2007,97
blz,2008,94
blz,2009,98
blz,2010,96
blz,2011,95
blz,2012,98
blz,2013,95
blz,2014,95
blz,2015,94
blz,2016,96
blz,2017,88
blz,2018,96
blz,2019,98
blz,2020,79
bol,1980,14
bol,1981,15
bol,1982,12
bol,1983,11
bol,1984,46
bol,1985,30
bol,1986,42
bol,1987,41
bol,1988,40
bol,1989,51
bol,1990,50
bol,1991,52
bol,1992,54
bol,1993,56
bol,1994,60
bol,1995,64
bol,1996,61
bol,1997,57
bol,1998,59
bol,1999,79
bol,2000,74
bol,2001,71
bol,2002,76
bol,2003,82
bol,2004,84
bol,2005,84
bol,2006,82
bol,2007,85
bol,2008,87
bol,2009,92
bol,2010,90
bol,2011,95
bol,2012,93
bol,2013,88
bol,2014,85
bol,2015,88
bol,2016,87
bol,2017,83
bol,2018,83
bol,2019,75
bol,2020,68
bra,1980,69
bra,1981,39
bra,1982,51
bra,1983,55
bra,1984,55
bra,1985,52
bra,1986,51
bra,1987,53
bra,1988,57
bra,1989,54
bra,1990,58
bra,1991,67
bra,1992,65
bra,1993,64
bra,1994,70
bra,1995,79
bra,1996,80
bra,1997,89
bra,1998,95
bra,1999,99
bra,2000,99
bra,2001,99
bra,2002,99
bra,2003,99
bra,2004,99
bra,2005,99
bra,2006,99
bra,2007,99
bra,2008,99
bra,2009,99
bra,2010,99
bra,2011,98
bra,2012,96
bra,2013,96
bra,2014,96
bra,2015,98
bra,2016,72
bra,2017,75
bra,2018,85
bra,2019,85
bra,2020,74
brb,1980,99
brb,1981,54
brb,1982,63
brb,1983,62
brb,1984,77
brb,1985,88
brb,1986,80
brb,1987,68
brb,1988,73
brb,1989,80
brb,1990,90
brb,1991,84
brb,1992,89
brb,1993,88
brb,1994,91
brb,1995,93
brb,1996,85
brb,1997,96
brb,1998,93
brb,1999,86
brb,2000,86
brb,2001,93
brb,2002,86
brb,2003,90
brb,2004,93
brb,2005,91
brb,2006,85
brb,2007,93
brb,2008,85
brb,2009,93
brb,2010,90
brb,2011,91
brb,2012,88
brb,2013,91
brb,2014,95
brb,2015,97
brb,2016,97
brb,2017,91
brb,2018,94
brb,2019,91
brb,2020,85
brn,1980,89
brn,1981,95
brn,1982,99
brn,1983,90
brn,1984,94
brn,1985,88
brn,1986,86
brn,1987,88
brn,1988,89
brn,1989,91
brn,1990,92
brn,1991,94
brn,1992,95
brn,1993,99
brn,1994,99
brn,1995,99
brn,1996,99
brn,1997,99
brn,1998,98
brn,1999,97
brn,2000,99
brn,2001,99
brn,2002,99
brn,2003,99
brn,2004,92
brn,2005,93
brn,2006,94
brn,2007,95
brn,2008,97
brn,2009,99
brn,2010,99
brn,2011,96
brn,2012,92
brn,2013,99
brn,2014,99
brn,2015,99
brn,2016,99
brn,2017,99
brn,2018,99
brn,2019,99
brn,2020,99
btn,1980,4
btn,1981,11
btn,1982,11
btn,1983,14
btn,1984,27
btn,1985,41
btn,1986,54
btn,1987,63
btn,1988,70
btn,1989,76
btn,1990,96
btn,1991,91
btn,1992,85
btn,1993,82
btn,1994,84
btn,1995,86
btn,1996,86
btn,1997,87
btn,1998,85
btn,1999,89
btn,2000,98
btn,2001,88
btn,2002,89
btn,2003,96
btn,2004,90
btn,2005,95
btn,2006,96
btn,2007,93
btn,2008,96
btn,2009,93
btn,2010,92
btn,2011,95
btn,2012,97
btn,2013,97
btn,2014,98
btn,2015,98
btn,2016,97
btn,2017,97
btn,2018,97
btn,2019,97
btn,2020,96
bwa,1980,46
bwa,1981,71
bwa,1982,77
bwa,1983,80
bwa,1984,83
bwa,1985,85
bwa,1986,88
bwa,1987,86
bwa,1988,89
bwa,1989,89
bwa,1990,90
bwa,1991,91
bwa,1992,91
bwa,1993,92
bwa,1994,93
bwa,1995,94
bwa,1996,95
bwa,1997,95
bwa,1998,93
bwa,1999,97
bwa,2000,97
bwa,2001,97
bwa,2002,97
bwa,2003,96
bwa,2004,96
bwa,2005,96
bwa,2006,96
bwa,2007,96
bwa,2008,96
bwa,2009,96
bwa,2010,96
bwa,2011,96
bwa,2012,96
bwa,2013,96
bwa,2014,96
bwa,2015,96
bwa,2016,96
bwa,2017,96
bwa,2018,96
bwa,2019,96
bwa,2020,96
caf,1980,13
caf,1981,11
caf,1982,14
caf,1983,16
caf,1984,17
caf,1985,20
caf,1986,19
caf,1987,22
caf,1988,42
caf,1989,61
caf,1990,82
caf,1991,64
caf,1992,45
caf,1993,46
caf,1994,46
caf,1995,51
caf,1996,47
caf,1997,44
caf,1998,45
caf,1999,36
caf,2000,38
caf,2001,40
caf,2002,42
caf,2003,44
caf,2004,45
caf,2005,47
caf,2006,47
caf,2007,46
caf,2008,46
caf,2009,45
caf,2010,46
caf,2011,47
caf,2012,47
caf,2013,23
caf,2014,50
caf,2015,51
caf,2016,52
caf,2017,46
caf,2018,46
caf,2019,46
caf,2020,46
can,1987,86
can,1988,87
can,1989,87
can,1990,88
can,1991,88
can,1992,89
can,1993,89
can,1994,89
can,1995,89
can,1996,89
can,1997,88
can,1998,88
can,1999,88
can,2000,88
can,2001,88
can,2002,88
can,2003,88
can,2004,91
can,2005,93
can,2006,95
can,2007,99
can,2008,96
can,2009,93
can,2010,90
can,2011,87
can,2012,91
can,2013,91
can,2014,91
can,2015,91
can,2016,91
can,2017,91
can,2018,91
can,2019,92
can,2020,92
che,1986,98
che,1987,97
che,1988,95
che,1989,98
che,1990,98
che,1991,95
che,1992,95
che,1993,95
che,1994,95
che,1995,95
che,1996,95
che,1997,95
che,1998,92
che,1999,95
che,2000,95
che,2001,95
che,2002,95
che,2003,95
che,2004,95
che,2005,94
che,2006,94
che,2007,94
che,2008,96
che,2009,96
che,2010,96
che,2011,96
che,2012,96
che,2013,96
che,2014,96
che,2015,96
che,2016,96
che,2017,96
che,2018,96
che,2019,96
che,2020,96
chl,1980,93
chl,1981,99
chl,1982,99
chl,1983,89
chl,1984,99
chl,1985,99
chl,1986,90
chl,1987,93
chl,1988,96
chl,1989,95
chl,1990,95
chl,1991,94
chl,1992,90
chl,1993,90
chl,1994,94
chl,1995,94
chl,1996,91
chl,1997,90
chl,1998,90
chl,1999,95
chl,2000,91
chl,2001,96
chl,2002,97
chl,2003,96
chl,2004,94
chl,2005,92
chl,2006,94
chl,2007,95
chl,2008,95
chl,2009,94
chl,2010,92
chl,2011,93
chl,2012,90
chl,2013,90
chl,2014,95
chl,2015,96
chl,2016,95
chl,2017,93
chl,2018,95
chl,2019,96
chl,2020,93
chn,1982,80
chn,1983,81
chn,1984,84
chn,1985,87
chn,1986,68
chn,1987,78
chn,1988,96
chn,1989,96
chn,1990,98
chn,1991,95
chn,1992,93
chn,1993,90
chn,1994,87
chn,1995,82
chn,1996,84
chn,1997,85
chn,1998,85
chn,1999,86
chn,2000,86
chn,2001,86
chn,2002,86
chn,2003,87
chn,2004,87
chn,2005,87
chn,2006,94
chn,2007,94
chn,2008,99
chn,2009,99
chn,2010,99
chn,2011,99
chn,2012,99
chn,2013,99
chn,2014,99
chn,2015,99
chn,2016,99
chn,2017,99
chn,2018,99
chn,2019,99
chn,2020,99
civ,1984,11
civ,1985,16
civ,1986,22
civ,1987,27
civ,1988,32
civ,1989,42
civ,1990,56
civ,1991,51
civ,1992,49
civ,1993,51
civ,1994,49
civ,1995,46
civ,1996,54
civ,1997,59
civ,1998,59
civ,1999,58
civ,2000,66
civ,2001,70
civ,2002,70
civ,2003,68
civ,2004,76
civ,2005,87
civ,2006,76
civ,2007,75
civ,2008,58
civ,2009,77
civ,2010,75
civ,2011,58
civ,2012,83
civ,2013,74
civ,2014,71
civ,2015,77
civ,2016,81
civ,2017,82
civ,2018,86
civ,2019,85
civ,2020,74
cmr,1981,5
cmr,1982,15
cmr,1983,25
cmr,1984,26
cmr,1985,35
cmr,1986,42
cmr,1987,44
cmr,1988,51
cmr,1989,54
cmr,1990,54
cmr,1991,46
cmr,1992,37
cmr,1993,34
cmr,1994,42
cmr,1995,46
cmr,1996,43
cmr,1997,47
cmr,1998,53
cmr,1999,58
cmr,2000,57
cmr,2001,61
cmr,2002,66
cmr,2003,72
cmr,2004,72
cmr,2005,79
cmr,2006,78
cmr,2007,81
cmr,2008,82
cmr,2009,79
cmr,2010,83
cmr,2011,80
cmr,2012,85
cmr,2013,88
cmr,2014,84
cmr,2015,77
cmr,2016,75
cmr,2017,74
cmr,2018,68
cmr,2019,68
cmr,2020,70
cod,1980,15
cod,1981,18
cod,1982,22
cod,1983,26
cod,1984,30
cod,1985,34
cod,1986,39
cod,1987,38
cod,1988,41
cod,1989,38
cod,1990,34
cod,1991,16
cod,1992,31
cod,1993,29
cod,1994,27
cod,1995,24
cod,1996,18
cod,1997,18
cod,1998,18
cod,1999,21
cod,2000,42
cod,2001,30
cod,2002,40
cod,2003,47
cod,2004,52
cod,2005,60
cod,2006,62
cod,2007,72
cod,2008,64
cod,2009,78
cod,2010,76
cod,2011,77
cod,2012,73
cod,2013,66
cod,2014,68
cod,2015,63
cod,2016,57
cod,2017,59
cod,2018,59
cod,2019,59
cod,2020,59
cog,1980,42
cog,1981,42
cog,1982,48
cog,1983,53
cog,1984,59
cog,1985,73
cog,1986,71
cog,1987,71
cog,1988,71
cog,1989,79
cog,1990,80
cog,1991,74
cog,1992,67
cog,1993,60
cog,1994,55
cog,1995,50
cog,1996,47
cog,1997,21
cog,1998,25
cog,1999,29
cog,2000,31
cog,2001,32
cog,2002,41
cog,2003,50
cog,2004,67
cog,2005,62
cog,2006,73
cog,2007,71
cog,2008,77
cog,2009,76
cog,2010,72
cog,2011,72
cog,2012,68
cog,2013,85
cog,2014,90
cog,2015,80
cog,2016,71
cog,2017,69
cog,2018,75
cog,2019,78
cog,2020,73
col,1980,16
col,1981,22
col,1982,27
col,1983,42
col,1984,68
col,1985,62
col,1986,53
col,1987,82
col,1988,94
col,1989,90
col,1990,93
col,1991,91
col,1992,84
col,1993,92
col,1994,87
col,1995,87
col,1996,87
col,1997,85
col,1998,75
col,1999,77
col,2000,82
col,2001,83
col,2002,83
col,2003,92
col,2004,89
col,2005,93
col,2006,94
col,2007,93
col,2008,92
col,2009,92
col,2010,88
col,2011,85
col,2012,91
col,2013,91
col,2014,90
col,2015,91
col,2016,91
col,2017,92
col,2018,92
col,2019,93
col,2020,88
com,1984,32
com,1985,53
com,1986,73
com,1987,73
com,1988,44
com,1989,78
com,1990,94
com,1991,55
com,1992,46
com,1993,70
com,1994,58
com,1995,78
com,1996,60
com,1997,48
com,1998,75
com,1999,73
com,2000,70
com,2001,70
com,2002,98
com,2003,80
com,2004,73
com,2005,67
com,2006,69
com,2007,75
com,2008,81
com,2009,84
com,2010,82
com,2011,85
com,2012,85
com,2013,85
com,2014,87
com,2015,92
com,2016,92
com,2017,94
com,2018,94
com,2019,88
com,2020,81
cpv,1983,22
cpv,1984,31
cpv,1985,39
cpv,1986,60
cpv,1987,87
cpv,1988,85
cpv,1989,99
cpv,1990,87
cpv,1991,88
cpv,1992,89
cpv,1993,90
cpv,1994,89
cpv,1995,89
cpv,1996,88
cpv,1997,87
cpv,1998,88
cpv,1999,89
cpv,2000,90
cpv,2001,91
cpv,2002,92
cpv,2003,93
cpv,2004,94
cpv,2005,95
cpv,2006,97
cpv,2007,98
cpv,2008,99
cpv,2009,99
cpv,2010,99
cpv,2011,90
cpv,2012,94
cpv,2013,93
cpv,2014,95
cpv,2015,93
cpv,2016,95
cpv,2017,96
cpv,2018,98
cpv,2019,97
cpv,2020,94
cri,1980,86
cri,1981,85
cri,1982,80
cri,1983,86
cri,1984,94
cri,1985,88
cri,1986,87
cri,1987,92
cri,1988,87
cri,1989,86
cri,1990,95
cri,1991,90
cri,1992,91
cri,1993,88
cri,1994,88
cri,1995,86
cri,1996,85
cri,1997,97
cri,1998,85
cri,1999,84
cri,2000,80
cri,2001,92
cri,2002,94
cri,2003,88
cri,2004,90
cri,2005,91
cri,2006,89
cri,2007,89
cri,2008,89
cri,2009,80
cri,2010,93
cri,2011,82
cri,2012,90
cri,2013,95
cri,2014,91
cri,2015,92
cri,2016,97
cri,2017,96
cri,2018,94
cri,2019,94
cri,2020,94
cub,1980,99
cub,1981,97
cub,1982,83
cub,1983,95
cub,1984,95
cub,1985,88
cub,1986,99
cub,1987,86
cub,1988,98
cub,1989,96
cub,1990,94
cub,1991,97
cub,1992,99
cub,1993,97
cub,1994,96
cub,1995,95
cub,1996,98
cub,1997,97
cub,1998,97
cub,1999,96
cub,2000,98
cub,2001,99
cub,2002,98
cub,2003,98
cub,2004,98
cub,2005,99
cub,2006,99
cub,2007,99
cub,2008,99
cub,2009,99
cub,2010,99
cub,2011,99
cub,2012,98
cub,2013,99
cub,2014,99
cub,2015,99
cub,2016,98
cub,2017,98
cub,2018,99
cub,2019,99
cub,2020,98
cyp,1980,35
cyp,1981,44
cyp,1982,27
cyp,1983,36
cyp,1984,31
cyp,1985,61
cyp,1986,91
cyp,1987,93
cyp,1988,90
cyp,1989,93
cyp,1990,94
cyp,1991,94
cyp,1992,95
cyp,1993,95
cyp,1994,96
cyp,1995,96
cyp,1996,98
cyp,1997,98
cyp,1998,98
cyp,1999,97
cyp,2000,97
cyp,2001,97
cyp,2002,98
cyp,2003,98
cyp,2004,98
cyp,2005,98
cyp,2006,97
cyp,2007,97
cyp,2008,97
cyp,2009,99
cyp,2010,99
cyp,2011,99
cyp,2012,99
cyp,2013,99
cyp,2014,99
cyp,2015,97
cyp,2016,97
cyp,2017,97
cyp,2018,97
cyp,2019,96
cze,1993,99
cze,1994,98
cze,1995,98
cze,1996,98
cze,1997,97
cze,1998,97
cze,1999,98
cze,2000,98
cze,2001,97
cze,2002,97
cze,2003,97
cze,2004,96
cze,2005,96
cze,2006,98
cze,2007,99
cze,2008,99
cze,2009,99
cze,2010,99
cze,2011,99
cze,2012,99
cze,2013,99
cze,2014,99
cze,2015,97
cze,2016,96
cze,2017,94
cze,2018,96
cze,2019,97
deu,1980,80
deu,1981,95
deu,1982,95
deu,1983,94
deu,1984,90
deu,1985,85
deu,1986,90
deu,1987,80
deu,1988,80
deu,1989,80
deu,1990,80
deu,1991,80
deu,1992,80
deu,1993,95
deu,1994,95
deu,1995,95
deu,1996,95
deu,1997,95
deu,1998,94
deu,1999,94
deu,2000,94
deu,2001,96
deu,2002,97
deu,2003,96
deu,2004,96
deu,2005,95
deu,2006,94
deu,2007,95
deu,2008,95
deu,2009,95
deu,2010,94
deu,2011,94
deu,2012,94
deu,2013,93
deu,2014,93
deu,2015,93
deu,2016,93
deu,2017,93
deu,2018,93
deu,2019,93
dji,1982,6
dji,1983,14
dji,1984,21
dji,1985,22
dji,1986,24
dji,1987,25
dji,1988,65
dji,1989,77
dji,1990,85
