country,time,emigrant_n
grd,2005,64646
grd,2010,63930
grd,2015,69055
grd,2020,62204
gtm,1990,348189
gtm,1995,461891
gtm,2000,582796
gtm,2005,736715
gtm,2010,924898
gtm,2015,1118115
gtm,2020,1368431
guy,1990,233318
guy,1995,295292
guy,2000,362157
guy,2005,392555
guy,2010,439233
guy,2015,481258
guy,2020,438413
hkg,1990,549125
hkg,1995,617237
hkg,2000,685913
hkg,2005,752476
hkg,2010,862070
hkg,2015,957289
hkg,2020,1007788
hnd,1990,156379
hnd,1995,246575
hnd,2000,342103
hnd,2005,448882
hnd,2010,587503
hnd,2015,729855
hnd,2020,985077
hos,1990,10
hos,1995,26
hos,2000,41
hos,2005,110
hos,2010,175
hos,2015,310
hos,2020,174
hrv,1990,425544
hrv,1995,735213
hrv,2000,907031
hrv,2005,839084
hrv,2010,820407
hrv,2015,806242
hrv,2020,1039526
hti,1990,524711
hti,1995,661354
hti,2000,802218
hti,2005,967894
hti,2010,1123190
hti,2015,1467042
hti,2020,1769671
hun,1990,391583
hun,1995,404141
hun,2000,420959
hun,2005,466530
hun,2010,511199
hun,2015,600887
hun,2020,714420
idn,1990,1622259
idn,1995,1937233
idn,2000,2415077
idn,2005,2781287
idn,2010,3415963
idn,2015,4065095
idn,2020,4601369
ind,1990,6619431
ind,1995,7153439
ind,2000,7928051
ind,2005,9588533
ind,2010,13221963
ind,2015,15885657
ind,2020,17869492
irl,1990,917101
irl,1995,863541
irl,2000,820657
irl,2005,769942
irl,2010,729466
irl,2015,736639
irl,2020,734317
irn,1990,631196
irn,1995,746739
irn,2000,831205
irn,2005,889502
irn,2010,985691
irn,2015,1155617
irn,2020,1325113
irq,1990,642933
irq,1995,752604
irq,2000,828414
irq,2005,1340599
irq,2010,2554929
irq,2015,1675613
irq,2020,2077976
isl,1990,17597
isl,1995,21433
isl,2000,26173
isl,2005,28669
isl,2010,32454
isl,2015,37006
isl,2020,43251
isr,1990,279625
isr,1995,290365
isr,2000,303860
isr,2005,317009
isr,2010,333968
isr,2015,331326
isr,2020,358691
ita,1990,3350982
ita,1995,3207728
ita,2000,3067498
ita,2005,2698486
ita,2010,2559233
ita,2015,2662661
ita,2020,3258831
jam,1990,588450
jam,1995,718362
jam,2000,857865
jam,2005,905170
jam,2010,989790
jam,2015,1031596
jam,2020,1118931
jor,1990,313621
jor,1995,339026
jor,2000,368299
jor,2005,440788
jor,2010,602099
jor,2015,706832
jor,2020,814909
jpn,1990,604803
jpn,1995,653293
jpn,2000,708933
jpn,2005,718466
jpn,2010,756792
jpn,2015,764408
jpn,2020,808825
kaz,1990,2971634
kaz,1995,3295157
kaz,2000,3554484
kaz,2005,3717649
kaz,2010,3797527
kaz,2015,3885576
kaz,2020,4203899
ken,1990,250332
ken,1995,277647
ken,2000,317434
ken,2005,362031
ken,2010,442632
ken,2015,480647
ken,2020,535348
kgz,1990,522574
kgz,1995,550022
kgz,2000,566315
kgz,2005,652852
kgz,2010,726544
kgz,2015,742841
kgz,2020,774377
khm,1990,355428
khm,1995,418213
khm,2000,459621
khm,2005,674436
khm,2010,953059
khm,2015,1074572
khm,2020,1104819
kir,1990,4053
kir,1995,4246
kir,2000,3991
kir,2005,4021
kir,2010,3565
kir,2015,4127
kir,2020,5103
kna,1990,18618
kna,1995,24662
kna,2000,30867
kna,2005,33317
kna,2010,35795
kna,2015,40211
kna,2020,50285
kor,1990,1513162
kor,1995,1694236
kor,2000,1875408
kor,2005,1974513
kor,2010,2252321
kor,2015,2152532
kor,2020,2204554
kwt,1990,81583
kwt,1995,97009
kwt,2000,113415
kwt,2005,129005
kwt,2010,177816
kwt,2015,195034
kwt,2020,212271
lao,1990,483008
lao,1995,547786
lao,2000,649287
lao,2005,897002
lao,2010,1198862
lao,2015,1288179
lao,2020,1296051
lbn,1990,507722
lbn,1995,531538
lbn,2000,558891
lbn,2005,608856
lbn,2010,699704
lbn,2015,757183
lbn,2020,856814
lbr,1990,516878
lbr,1995,542295
lbr,2000,248412
lbr,2005,354792
lbr,2010,219139
lbr,2015,205741
lbr,2020,233564
lby,1990,76239
lby,1995,77398
lby,2000,80014
lby,2005,100248
lby,2010,127399
lby,2015,152544
lby,2020,185518
lca,1990,21999
lca,1995,30672
lca,2000,39556
lca,2005,46897
lca,2010,50318
lca,2015,57939
lca,2020,71227
lie,1990,3425
lie,1995,3018
lie,2000,2688
lie,2005,2935
lie,2010,3590
lie,2015,3536
lie,2020,3706
lka,1990,883684
lka,1995,923530
lka,2000,979093
lka,2005,1151553
lka,2010,1454292
lka,2015,1656253
lka,2020,1960025
lso,1990,191328
lso,1995,136593
lso,2000,120565
lso,2005,159071
lso,2010,243128
lso,2015,191457
lso,2020,202164
ltu,1990,340973
ltu,1995,342389
ltu,2000,348564
ltu,2005,412371
ltu,2010,517746
ltu,2015,556292
ltu,2020,658057
lux,1990,36108
lux,1995,37875
lux,2000,39762
lux,2005,52806
lux,2010,62048
lux,2015,69366
lux,2020,81757
lva,1990,215070
lva,1995,228958
lva,2000,238641
lva,2005,270982
lva,2010,278168
lva,2015,369238
lva,2020,380010
mar,1990,1748116
mar,1995,1883924
mar,2000,2077010
mar,2005,2470656
mar,2010,2860702
mar,2015,2971770
mar,2020,3262222
mco,1990,4475
mco,1995,4784
mco,2000,5124
mco,2005,19103
mco,2010,26954
mco,2015,29317
mco,2020,32552
mda,1990,625680
mda,1995,620030
mda,2000,602773
mda,2005,715496
mda,2010,827409
mda,2015,929759
mda,2020,1159443
mdg,1990,59415
mdg,1995,67324
mdg,2000,77089
mdg,2005,148805
mdg,2010,160819
mdg,2015,175868
mdg,2020,193526
mdv,1990,2192
mdv,1995,1687
mdv,2000,1216
mdv,2005,2212
mdv,2010,3543
mdv,2015,3606
mdv,2020,3715
mex,1990,4395355
mex,1995,6949276
mex,2000,9562878
mex,2005,10817810
mex,2010,12415222
mex,2015,11923234
mex,2020,11185737
mhl,1990,1426
mhl,1995,4154
mhl,2000,6976
mhl,2005,6654
mhl,2010,6492
mhl,2015,7625
mhl,2020,10886
mkd,1990,432070
mkd,1995,491992
mkd,2000,532132
mkd,2005,458822
mkd,2010,526151
mkd,2015,563354
mkd,2020,693896
mli,1990,647426
mli,1995,820564
mli,2000,772866
mli,2005,895360
mli,2010,994832
mli,2015,1228544
mli,2020,1303511
mlt,1990,110738
mlt,1995,109839
mlt,2000,104869
mlt,2005,100245
mlt,2010,99294
mlt,2015,93554
mlt,2020,102793
mmr,1990,685308
mmr,1995,911445
mmr,2000,1224310
mmr,2005,1736590
mmr,2010,2492274
mmr,2015,2842494
mmr,2020,3711751
mne,1990,77384
mne,1995,144640
mne,2000,183451
mne,2005,148013
mne,2010,148754
mne,2015,134028
mne,2020,132965
mng,1990,24466
mng,1995,27694
mng,2000,30648
mng,2005,42354
mng,2010,57405
mng,2015,65485
mng,2020,82098
moz,1990,2222354
moz,1995,812685
moz,2000,644421
moz,2005,662951
moz,2010,797808
moz,2015,596949
moz,2020,640160
mrt,1990,134478
mrt,1995,151710
mrt,2000,107607
mrt,2005,103107
mrt,2010,114192
mrt,2015,114630
mrt,2020,130226
mus,1990,110707
mus,1995,114073
mus,2000,119003
mus,2005,130649
mus,2010,148186
mus,2015,165869
mus,2020,182973
mwi,1990,143436
mwi,1995,150825
mwi,2000,186229
mwi,2005,222023
mwi,2010,260531
mwi,2015,297471
mwi,2020,311052
mys,1990,560353
mys,1995,861208
mys,2000,1201135
mys,2005,1379305
mys,2010,1599061
mys,2015,1781038
mys,2020,1860037
nam,1990,16077
nam,1995,28220
nam,2000,49348
nam,2005,65598
nam,2010,99599
nam,2015,50410
nam,2020,47770
ner,1990,149777
ner,1995,177067
ner,2000,205236
ner,2005,304086
ner,2010,335897
ner,2015,374993
ner,2020,399707
nga,1990,446753
nga,1995,524535
nga,2000,610130
nga,2005,817392
nga,2010,996914
nga,2015,1306526
nga,2020,1670455
nic,1990,441488
nic,1995,437711
nic,2000,501517
nic,2005,555532
nic,2010,610211
nic,2015,655577
nic,2020,718154
nld,1990,716471
nld,1995,726856
nld,2000,747631
nld,2005,790554
nld,2010,854388
nld,2015,867093
