country,time,non_net_users_prc
bgd,2001,99.87
bgd,2002,99.86
bgd,2003,99.84
bgd,2004,99.8
bgd,2005,99.76
bgd,2006,99
bgd,2007,98.2
bgd,2008,97.5
bgd,2009,96.9
bgd,2010,96.3
bgd,2011,95.5
bgd,2012,95
bgd,2013,93.37
bgd,2014,86.1
bgd,2015,85.6
bgd,2016,81.98
bgd,2017,85
bgd,2018,85
bgd,2019,87.1
bgr,1990,100
bgr,1991,100
bgr,1992,100
bgr,1993,100
bgr,1994,99.98
bgr,1995,99.88
bgr,1996,99.27
bgr,1997,98.78
bgr,1998,98.16
bgr,1999,97.09
bgr,2000,94.63
bgr,2001,92.39
bgr,2002,90.92
bgr,2003,87.96
bgr,2004,81.87
bgr,2005,80.03
bgr,2006,72.91
bgr,2007,66.36
bgr,2008,60.33
bgr,2009,55
bgr,2010,53.77
bgr,2011,52.02
bgr,2012,48.1
bgr,2013,46.94
bgr,2014,44.51
bgr,2015,43.34
bgr,2016,40.17
bgr,2017,36.59
bgr,2018,35.22
bgr,2019,32.05
bhr,1990,100
bhr,1991,100
bhr,1992,100
bhr,1993,100
bhr,1994,100
bhr,1995,99.65
bhr,1996,99.16
bhr,1997,98.35
bhr,1998,96.78
bhr,1999,95.28
bhr,2000,93.85
bhr,2001,84.96
bhr,2002,81.95
bhr,2003,78.45
bhr,2004,78.54
bhr,2005,78.7
bhr,2006,71.76
bhr,2007,67.09
bhr,2008,48.05
bhr,2009,47
bhr,2010,45
bhr,2011,23
bhr,2012,12
bhr,2013,10
bhr,2014,9.5
bhr,2015,6.52
bhr,2016,2
bhr,2017,4.12
bhr,2018,1.36
bhr,2019,0.3
bhs,1990,100
bhs,1991,100
bhs,1992,100
bhs,1993,100
bhs,1994,100
bhs,1995,99.04
bhs,1996,98.25
bhs,1997,98.64
bhs,1998,97.66
bhs,1999,96.24
bhs,2000,92
bhs,2001,88.2
bhs,2002,82
bhs,2003,80
bhs,2004,78
bhs,2005,75
bhs,2006,74
bhs,2007,73
bhs,2008,68.46
bhs,2009,66.12
bhs,2010,57
bhs,2011,35
bhs,2012,28.25
bhs,2013,28
bhs,2014,23.08
bhs,2015,22
bhs,2016,20
bhs,2017,15
bhs,2018,15
bhs,2019,15
bih,1990,100
bih,1991,100
bih,1992,100
bih,1993,100
bih,1994,100
bih,1995,100
bih,1996,99.98
bih,1997,99.94
bih,1998,99.86
bih,1999,99.81
bih,2000,98.92
bih,2001,98.8
bih,2002,97.35
bih,2003,96.03
bih,2004,84.53
bih,2005,78.67
bih,2006,74.88
bih,2007,72.08
bih,2008,65.34
bih,2009,62.26
bih,2010,57.25
bih,2011,56.11
bih,2012,54.94
bih,2013,51.48
bih,2014,50.08
bih,2015,47.4
bih,2016,39.74
bih,2017,35.11
bih,2018,29.88
bih,2019,30.05
blr,1990,100
blr,1991,100
blr,1992,100
blr,1993,100
blr,1994,100
blr,1995,100
blr,1996,99.97
blr,1997,99.95
blr,1998,99.93
blr,1999,99.51
blr,2000,98.14
blr,2001,95.7
blr,2002,91.05
blr,2003,91.05
blr,2004,91.05
blr,2005,91.05
blr,2006,83.8
blr,2007,80.3
blr,2008,77
blr,2009,72.57
blr,2010,68.2
blr,2011,60.35
blr,2012,53.09
blr,2013,45.83
blr,2014,40.98
blr,2015,37.77
blr,2016,28.89
blr,2017,25.56
blr,2018,20.87
blr,2019,17.21
blz,1990,100
blz,1991,100
blz,1992,100
blz,1993,100
blz,1994,100
blz,1995,99.95
blz,1996,99.12
blz,1997,98.71
blz,1998,97.91
blz,1999,95.92
blz,2000,94.04
blz,2001,94.04
blz,2002,94.32
blz,2003,94.32
blz,2004,90.2
blz,2005,83
blz,2006,76
blz,2007,75.4
blz,2008,73.7
blz,2009,72.8
blz,2010,71.8
blz,2011,69.3
blz,2012,69
blz,2013,66.4
blz,2014,61.3
blz,2015,58.41
blz,2016,55.42
blz,2017,52.92
blz,2018,52.92
blz,2019,52.92
bol,1990,100
bol,1991,100
bol,1992,100
bol,1993,100
bol,1994,100
bol,1995,99.93
bol,1996,99.8
bol,1997,99.55
bol,1998,99.37
bol,1999,99.02
bol,2000,98.56
bol,2001,97.88
bol,2002,96.88
bol,2003,96.49
bol,2004,95.56
bol,2005,94.77
bol,2006,93.8
bol,2007,89.5
bol,2008,87.5
bol,2009,83.2
bol,2010,77.6
bol,2011,70
bol,2012,64.66
bol,2013,63.01
bol,2014,65.4
bol,2015,64.44
bol,2016,60.3
bol,2017,56.17
bol,2018,56.17
bol,2019,56.17
bra,1990,100
bra,1991,100
bra,1992,99.99
bra,1993,99.97
bra,1994,99.96
bra,1995,99.89
bra,1996,99.55
bra,1997,99.21
bra,1998,98.52
bra,1999,97.96
bra,2000,97.13
bra,2001,95.47
bra,2002,90.85
bra,2003,86.79
bra,2004,80.93
bra,2005,78.98
bra,2006,71.82
bra,2007,69.12
bra,2008,66.17
bra,2009,60.78
bra,2010,59.35
bra,2011,54.31
bra,2012,51.44
bra,2013,48.96
bra,2014,45.45
bra,2015,41.67
bra,2016,39.13
bra,2017,32.53
bra,2018,32.53
bra,2019,32.53
brb,1990,100
brb,1991,100
brb,1992,100
brb,1993,100
brb,1994,100
brb,1995,99.99
brb,1996,99.61
brb,1997,99.22
brb,1998,98.03
brb,1999,97.62
brb,2000,96.03
brb,2001,88.06
brb,2002,72.16
brb,2003,60.31
brb,2004,50.2
brb,2005,47.5
brb,2006,44.7
brb,2007,41.8
brb,2008,38.6
brb,2009,35.3
brb,2010,34.9
brb,2011,33.5
brb,2012,28.8
brb,2013,28.2
brb,2014,24.84
brb,2015,23.89
brb,2016,20.45
brb,2017,18.24
brb,2018,18.24
brb,2019,18.24
brn,1990,100
brn,1991,100
brn,1992,100
brn,1993,100
brn,1994,100
brn,1995,98.98
brn,1996,96.7
brn,1997,95.17
brn,1998,93.72
brn,1999,92.33
brn,2000,91
brn,2001,87.08
brn,2002,84.67
brn,2003,80.41
brn,2004,70.28
brn,2005,63.53
brn,2006,57.81
brn,2007,55.32
brn,2008,54
brn,2009,51
brn,2010,47
brn,2011,44
brn,2012,39.73
brn,2013,35.5
brn,2014,31.23
brn,2015,28.8
brn,2016,10
brn,2017,5.13
brn,2018,5.4
brn,2019,5
btn,1990,100
btn,1991,100
btn,1992,100
btn,1993,100
btn,1994,100
btn,1995,100
btn,1999,99.86
btn,2000,99.6
btn,2001,99.14
btn,2002,98.32
btn,2003,97.56
btn,2004,96.84
btn,2005,96.15
btn,2006,95.48
btn,2007,94.08
btn,2008,93.45
btn,2009,92.83
btn,2010,86.4
btn,2011,85.6
btn,2012,84.4
btn,2013,77.6
btn,2014,69.7
btn,2015,60.2
btn,2016,58.23
btn,2017,51.89
btn,2018,51.89
btn,2019,51.89
bwa,1990,100
bwa,1991,100
bwa,1992,100
bwa,1993,100
bwa,1994,100
bwa,1995,99.94
bwa,1996,99.84
bwa,1997,99.69
bwa,1998,99.4
bwa,1999,98.88
bwa,2000,97.1
bwa,2001,96.57
bwa,2002,96.61
bwa,2003,96.65
bwa,2004,96.7
bwa,2005,96.74
bwa,2006,95.71
bwa,2007,94.72
bwa,2008,93.75
bwa,2009,93.85
bwa,2010,94
bwa,2011,91
bwa,2012,84
bwa,2013,70
bwa,2014,63.26
bwa,2015,62.69
bwa,2016,60.64
bwa,2017,53
bwa,2018,53
bwa,2019,53
caf,1990,100
caf,1991,100
caf,1992,100
caf,1993,100
caf,1994,100
caf,1995,100
caf,1996,99.99
caf,1997,99.99
caf,1998,99.97
caf,1999,99.96
caf,2000,99.95
caf,2001,99.92
caf,2002,99.87
caf,2003,99.85
caf,2004,99.78
caf,2005,99.73
caf,2006,99.69
caf,2007,99.62
caf,2008,99
caf,2009,98.2
caf,2010,98
caf,2011,97.8
caf,2012,97
caf,2013,96.6
caf,2014,96.4
caf,2015,96.2
caf,2016,96
caf,2017,95.66
caf,2018,95.66
caf,2019,95.66
can,1990,99.64
can,1991,99.43
can,1992,99.08
can,1993,98.82
can,1994,97.62
can,1995,95.84
can,1996,93.24
can,1997,84.93
can,1998,75.1
can,1999,63.81
can,2000,48.7
can,2001,39.8
can,2002,38.41
can,2003,35.8
can,2004,34.04
can,2005,28.34
can,2006,27.6
can,2007,26.8
can,2008,23.3
can,2009,19.7
can,2010,19.7
can,2011,17
can,2012,17
can,2013,14.2
can,2014,12.88
can,2015,10
can,2016,8.84
can,2017,9
can,2018,9
can,2019,9
che,1990,99.4
che,1991,98.82
che,1992,98.25
che,1993,97.83
che,1994,97.28
che,1995,96.45
che,1996,95.45
che,1997,84.9
che,1998,75.2
che,1999,66
che,2000,52.9
che,2001,44.9
che,2002,38.6
che,2003,34.9
che,2004,32.2
che,2005,29.9
che,2006,24.3
che,2007,22.8
che,2008,20.8
che,2009,18.7
che,2010,16.1
che,2011,14.81
che,2012,14.8
che,2013,13.66
che,2014,12.6
che,2015,12.52
che,2016,10.87
che,2017,10.31
che,2018,10.31
che,2019,6.85
chl,1990,100
chl,1991,100
chl,1992,99.96
chl,1993,99.93
chl,1994,99.86
chl,1995,99.65
chl,1996,99.32
chl,1997,98.94
chl,1998,98.34
chl,1999,95.9
chl,2000,83.4
chl,2001,80.9
chl,2002,77.9
chl,2003,74.53
chl,2004,71.82
chl,2005,68.82
chl,2006,65.5
chl,2007,64.1
chl,2008,62.7
chl,2009,58.44
chl,2010,55
chl,2011,47.75
chl,2012,44.95
chl,2013,42
chl,2014,38.89
chl,2015,23.37
chl,2016,16.44
chl,2017,17.67
chl,2018,17.67
chl,2019,17.67
chn,1990,100
chn,1991,100
chn,1992,100
chn,1993,100
chn,1994,100
chn,1995,100
chn,1996,99.99
chn,1997,99.97
chn,1998,99.83
chn,1999,99.29
chn,2000,98.22
chn,2001,97.36
chn,2002,95.4
chn,2003,93.8
chn,2004,92.7
chn,2005,91.48
chn,2006,89.48
chn,2007,84
chn,2008,77.4
chn,2009,71.1
chn,2010,65.7
chn,2011,61.7
chn,2012,57.7
chn,2013,54.2
chn,2014,52.1
chn,2015,49.7
chn,2016,46.8
chn,2017,45.7
chn,2018,45.7
chn,2019,45.7
civ,1990,100
civ,1991,100
civ,1992,100
civ,1993,100
civ,1994,100
civ,1995,100
civ,1996,99.99
civ,1997,99.98
civ,1998,99.94
civ,1999,99.88
civ,2000,99.77
civ,2001,99.6
civ,2002,99.5
civ,2003,99.24
civ,2004,99.15
civ,2005,98.96
civ,2006,98.48
civ,2007,98.2
civ,2008,98.1
civ,2009,98
civ,2010,97.3
civ,2011,97.1
civ,2012,95
civ,2013,88
civ,2014,80.73
civ,2015,61.56
civ,2016,58.79
civ,2017,56.16
civ,2018,53.18
civ,2019,63.55
cmr,1990,100
cmr,1991,100
cmr,1992,100
cmr,1993,100
cmr,1994,100
cmr,1995,100
cmr,1997,99.99
cmr,1998,99.99
cmr,1999,99.87
cmr,2000,99.75
cmr,2001,99.72
cmr,2002,99.64
cmr,2003,99.41
cmr,2004,99.02
cmr,2005,98.6
cmr,2006,97.97
cmr,2007,97.07
cmr,2008,96.6
cmr,2009,96.16
cmr,2010,95.7
cmr,2011,95
cmr,2012,92.5
cmr,2013,90
cmr,2014,83.79
cmr,2015,79.32
cmr,2016,76.8
cmr,2017,76.8
cmr,2018,76.8
cmr,2019,76.8
cod,1990,100
cod,1991,100
cod,1992,100
cod,1993,100
cod,1994,100
cod,1995,100
cod,1996,100
cod,1997,100
cod,1998,100
cod,1999,100
cod,2000,99.99
cod,2001,99.99
cod,2002,99.91
cod,2003,99.87
cod,2004,99.8
cod,2005,99.76
cod,2006,99.7
cod,2007,99.63
cod,2008,99.56
cod,2009,99.44
cod,2010,99.28
cod,2011,98.8
cod,2012,98.32
cod,2013,97.8
cod,2014,97
cod,2015,96.2
cod,2016,93.79
cod,2017,91.38
cod,2018,91.38
cod,2019,91.38
cog,1990,100
cog,1991,100
cog,1992,100
cog,1993,100
cog,1994,100
cog,1995,100
cog,1996,100
cog,1997,100
cog,1998,100
cog,1999,99.98
cog,2000,99.97
cog,2001,99.97
cog,2002,99.84
cog,2003,99.54
cog,2004,98.92
cog,2005,98.54
cog,2006,97.99
cog,2007,97.24
cog,2008,95.71
cog,2009,95.5
cog,2010,95
cog,2011,94.4
cog,2012,93.89
cog,2013,93.4
cog,2014,92.89
cog,2015,92.38
cog,2016,91.88
cog,2017,91.35
cog,2018,91.35
cog,2019,91.35
col,1990,100
col,1991,100
col,1992,100
col,1993,100
col,1994,99.89
col,1995,99.81
col,1996,99.67
col,1997,99.45
col,1998,98.87
col,1999,98.3
col,2000,97.79
col,2001,97.15
col,2002,95.4
col,2003,92.61
col,2004,90.88
col,2005,88.99
col,2006,84.66
col,2007,78.2
col,2008,74.4
col,2009,70
col,2010,63.5
col,2011,59.65
col,2012,51.02
col,2013,48.3
col,2014,47.43
col,2015,44.1
col,2016,41.86
col,2017,37.74
col,2018,37.74
col,2019,34.99
com,1990,100
com,1991,100
com,1992,100
com,1993,100
com,1994,100
com,1995,100
com,1997,100
com,1998,99.96
com,1999,99.85
com,2000,99.73
com,2001,99.56
com,2002,99.45
com,2003,99.15
com,2004,98.67
com,2005,98
com,2006,97.8
com,2007,97.5
com,2008,97
com,2009,96.5
com,2010,94.9
com,2011,94.5
com,2012,94.02
com,2013,93.5
com,2014,93.02
com,2015,92.54
com,2016,92.06
com,2017,91.52
com,2018,91.52
com,2019,91.52
cpv,1990,100
cpv,1991,100
cpv,1992,100
cpv,1993,100
cpv,1994,100
cpv,1995,100
cpv,1997,99.76
cpv,1998,99.53
cpv,1999,98.84
cpv,2000,98.18
cpv,2001,97.31
cpv,2002,96.48
cpv,2003,95.68
cpv,2004,94.68
cpv,2005,93.93
cpv,2006,93.19
cpv,2007,91.72
cpv,2008,86
cpv,2009,79
cpv,2010,70
cpv,2011,68
cpv,2012,65.26
cpv,2013,62.5
cpv,2014,59.74
cpv,2015,57.32
cpv,2016,49.68
cpv,2017,42.84
cpv,2018,41.83
cpv,2019,41.83
cri,1990,100
cri,1991,100
cri,1992,100
cri,1993,99.92
cri,1994,99.72
cri,1995,99.58
cri,1996,99.16
cri,1997,98.36
cri,1998,97.33
cri,1999,96.1
cri,2000,94.2
cri,2001,90.44
cri,2002,80.11
cri,2003,79.67
cri,2004,79.21
cri,2005,77.93
cri,2006,74.9
cri,2007,71.6
cri,2008,67.71
cri,2009,65.67
cri,2010,63.5
cri,2011,60.79
cri,2012,52.5
cri,2013,54.04
cri,2014,47
cri,2015,40.24
cri,2016,34.12
cri,2017,28.61
cri,2018,25.91
cri,2019,18.8
cub,1990,100
cub,1991,100
cub,1992,100
cub,1993,100
cub,1994,100
cub,1995,100
cub,1996,99.97
cub,1997,99.93
cub,1998,99.77
cub,1999,99.69
cub,2000,99.46
cub,2001,98.92
cub,2002,96.23
cub,2003,94.76
cub,2004,91.59
cub,2005,90.26
cub,2006,88.84
cub,2007,88.31
cub,2008,87.06
cub,2009,85.67
cub,2010,84.1
cub,2011,83.98
cub,2012,78.8
cub,2013,72.07
cub,2014,70.93
cub,2015,62.69
cub,2016,57.02
cub,2017,42.85
cub,2018,42.85
cub,2019,38.16
cyp,1990,100
cyp,1991,100
cyp,1992,99.95
cyp,1993,99.94
cyp,1994,99.89
cyp,1995,99.59
cyp,1996,99.33
cyp,1997,95.62
cyp,1998,91.11
cyp,1999,88.66
cyp,2000,84.74
cyp,2001,81.18
cyp,2002,71.68
cyp,2003,69.91
cyp,2004,66.17
cyp,2005,67.19
cyp,2006,64.17
cyp,2007,59.23
cyp,2008,57.69
cyp,2009,50.19
cyp,2010,47.01
cyp,2011,43.14
cyp,2012,39.31
cyp,2013,34.55
cyp,2014,30.67
cyp,2015,28.28
cyp,2016,24.1
cyp,2017,19.26
cyp,2018,15.57
cyp,2019,13.94
cze,1990,100
cze,1991,100
cze,1992,100
cze,1993,99.42
cze,1994,98.74
cze,1995,98.55
cze,1996,98.06
cze,1997,97.08
cze,1998,96.1
cze,1999,93.17
cze,2000,90.22
cze,2001,85.3
cze,2002,76.07
cze,2003,65.7
cze,2004,64.5
cze,2005,64.73
cze,2006,52.07
cze,2007,48.07
cze,2008,37.03
cze,2009,35.57
cze,2010,31.18
cze,2011,29.51
cze,2012,26.57
cze,2013,25.89
cze,2014,25.77
cze,2015,24.33
cze,2016,23.52
cze,2017,21.28
cze,2018,19.31
cze,2019,19.13
deu,1990,99.87
deu,1991,99.75
deu,1992,99.56
deu,1993,99.54
deu,1994,99.08
deu,1995,98.16
deu,1996,96.95
deu,1997,93.29
deu,1998,90.12
deu,1999,79.15
deu,2000,69.78
deu,2001,68.35
deu,2002,51.18
deu,2003,44.1
deu,2004,35.27
deu,2005,31.29
deu,2006,27.84
deu,2007,24.84
deu,2008,22
deu,2009,21
deu,2010,18
deu,2011,18.73
deu,2012,17.65
deu,2013,15.83
deu,2014,13.81
deu,2015,12.41
deu,2016,15.83
deu,2017,15.6
deu,2018,10.26
deu,2019,11.87
dji,1990,100
dji,1991,100
dji,1992,100
dji,1993,100
dji,1994,100
dji,1995,99.98
dji,1996,99.97
dji,1997,99.92
dji,1998,99.91
dji,1999,99.89
dji,2000,99.81
dji,2001,99.66
dji,2002,99.51
dji,2003,99.37
dji,2004,99.22
dji,2005,99.05
dji,2006,98.73
dji,2007,98.38
dji,2008,97.74
dji,2009,96
dji,2010,93.5
dji,2011,93
dji,2012,91.73
dji,2013,90.5
dji,2014,89.29
dji,2015,88.08
dji,2016,86.87
dji,2017,44.32
dji,2018,44.32
dji,2019,44.32
dma,1990,100
dma,1991,100
dma,1992,100
dma,1993,100
dma,1994,100
dma,1995,99.45
dma,1996,98.83
dma,1997,98.83
dma,1998,97.07
dma,1999,97.07
dma,2000,91.19
dma,2001,86.75
dma,2002,81.58
dma,2003,76.38
dma,2004,69.68
dma,2005,61.46
dma,2006,60.6
dma,2007,59.73
dma,2008,58.84
dma,2009,57.98
dma,2010,52.55
dma,2011,51.4
dma,2012,50.2
dma,2013,49
dma,2014,42.5
dma,2015,35
dma,2016,32.97
dma,2017,30.38
dma,2018,30.38
dma,2019,30.38
dnk,1990,99.9
dnk,1991,99.81
dnk,1992,99.61
dnk,1993,99.42
dnk,1994,98.66
dnk,1995,96.17
dnk,1996,94.29
dnk,1997,88.62
dnk,1998,77.33
dnk,1999,69.41
dnk,2000,60.83
dnk,2001,57.04
dnk,2002,35.75
dnk,2003,23.74
dnk,2004,19.07
dnk,2005,17.26
dnk,2006,13.35
dnk,2007,14.97
dnk,2008,14.98
dnk,2009,13.16
dnk,2010,11.28
dnk,2011,10.19
dnk,2012,7.74
dnk,2013,5.37
dnk,2014,4.01
dnk,2015,3.67
dnk,2016,3.03
dnk,2017,2.9
dnk,2018,2.36
dnk,2019,1.95
dom,1990,100
dom,1991,100
dom,1992,100
dom,1993,100
dom,1994,100
dom,1995,99.98
dom,1996,99.93
dom,1997,99.86
dom,1998,99.77
dom,1999,98.9
dom,2000,96.3
dom,2001,95.57
dom,2002,93.18
dom,2003,92.1
dom,2004,91.13
dom,2005,88.52
dom,2006,85.16
dom,2007,82.34
dom,2008,79.18
dom,2009,72.28
dom,2010,68.6
dom,2011,62
dom,2012,57.68
dom,2013,54.1
dom,2014,50.42
dom,2015,45.78
dom,2016,36.13
dom,2017,32.43
dom,2018,25.18
dom,2019,25.18
