country,time,emigrant_pc
bgd,1995,4.71
bgd,2000,4.26
bgd,2005,3.95
bgd,2010,4.28
bgd,2015,4.37
bgd,2020,4.49
bgr,1990,6.93
bgr,1995,7.75
bgr,2000,8.61
bgr,2005,11.81
bgr,2010,14.9
bgr,2015,16.38
bgr,2020,24.22
bhr,1990,2.58
bhr,1995,4.61
bhr,2000,7.18
bhr,2005,5.83
bhr,2010,4.21
bhr,2015,4.13
bhr,2020,3.42
bhs,1990,9.81
bhs,1995,10.56
bhs,2000,11.51
bhs,2005,10.69
bhs,2010,10.14
bhs,2015,11.48
bhs,2020,13.68
bih,1990,19.31
bih,1995,35.85
bih,2000,39.9
bih,2005,39.86
bih,2010,42.45
bih,2015,46.46
bih,2020,51.44
blr,1990,17.41
blr,1995,17.23
blr,2000,17.08
blr,2005,16.54
blr,2010,15.55
blr,2015,15.57
blr,2020,15.7
blz,1990,19.25
blz,1995,20.27
blz,2000,19.49
blz,2005,18.28
blz,2010,17.79
blz,2015,17.48
blz,2020,13.27
bol,1990,3.27
bol,1995,3.72
bol,2000,4.09
bol,2005,5.89
bol,2010,7.76
bol,2015,7.58
bol,2020,7.94
bra,1990,0.33
bra,1995,0.45
bra,2000,0.54
bra,2005,0.64
bra,2010,0.76
bra,2015,0.74
bra,2020,0.89
brb,1990,32.49
brb,1995,33.69
brb,2000,34.99
brb,2005,33.65
brb,2010,34.1
brb,2015,35.71
brb,2020,34.66
brn,1990,10.17
brn,1995,11.8
brn,2000,13.58
brn,2005,12.41
brn,2010,11.46
brn,2015,10.87
brn,2020,10.36
btn,1990,5.36
btn,1995,22.07
btn,2000,20.34
btn,2005,18.55
btn,2010,13.41
btn,2015,7.06
btn,2020,6.74
bwa,1990,2.02
bwa,1995,1.59
bwa,2000,1.62
bwa,2005,1.85
bwa,2010,2.23
bwa,2015,2.61
bwa,2020,2.7
caf,1990,1.65
caf,1995,1.53
caf,2000,1.52
caf,2005,3.25
caf,2010,5.61
caf,2015,15.27
caf,2020,16.91
can,1990,3.61
can,1995,3.65
can,2000,3.74
can,2005,3.68
can,2010,3.71
can,2015,3.51
can,2020,3.42
che,1990,4.89
che,1995,4.85
che,2000,5.19
che,2005,6.8
che,2010,8
che,2015,7.77
che,2020,8.25
chl,1990,3.71
chl,1995,3.47
chl,2000,3.34
chl,2005,3.35
chl,2010,3.35
chl,2015,3.44
chl,2020,3.37
chn,1990,0.36
chn,1995,0.41
chn,2000,0.46
chn,2005,0.55
chn,2010,0.64
chn,2015,0.73
chn,2020,0.73
civ,1990,3.07
civ,1995,3.17
civ,2000,3.28
civ,2005,3.99
civ,2010,4.58
civ,2015,4.55
civ,2020,4.36
cmr,1990,0.98
cmr,1995,1.02
cmr,2000,1.06
cmr,2005,1.25
cmr,2010,1.37
cmr,2015,1.5
cmr,2020,1.66
cod,1990,1.26
cod,1995,1.35
cod,2000,1.83
cod,2005,2.06
cod,2010,2.01
cod,2015,2.06
cod,2020,2.05
cog,1990,4.09
cog,1995,4.27
cog,2000,4.32
cog,2005,4.76
cog,2010,4.17
cog,2015,4.22
cog,2020,4.06
col,1990,3.05
col,1995,3.34
col,2000,3.62
col,2005,4.42
col,2010,5.65
col,2015,5.68
col,2020,5.94
com,1990,9.74
com,1995,10.79
com,2000,13
com,2005,15.72
com,2010,15.82
com,2015,15.66
com,2020,17.34
cpv,1990,27.03
cpv,1995,27.69
cpv,2000,29.15
cpv,2005,30.66
cpv,2010,31.03
cpv,2015,32.67
cpv,2020,33.73
cri,1990,2.22
cri,1995,2.4
cri,2000,2.66
cri,2005,2.74
cri,2010,2.89
cri,2015,2.85
cri,2020,2.95
cub,1990,7.88
cub,1995,8.58
cub,2000,9.42
cub,2005,10.3
cub,2010,11.71
cub,2015,13.3
cub,2020,15.51
cyp,1990,22.75
cyp,1995,19.09
cyp,2000,16.28
cyp,2005,14.98
cyp,2010,14.69
cyp,2015,14.35
cyp,2020,14.35
cze,1990,5.46
cze,1995,5.99
cze,2000,7.03
cze,2005,7.33
cze,2010,7.4
cze,2015,7.73
cze,2020,9.58
deu,1990,3.71
deu,1995,3.75
deu,2000,3.97
deu,2005,4.22
deu,2010,4.57
deu,2015,4.44
deu,2020,4.6
dji,1990,0.9
dji,1995,1.1
dji,2000,1.26
dji,2005,1.53
dji,2010,1.64
dji,2015,1.86
dji,2020,1.86
dma,1990,57.6
dma,1995,62.18
dma,2000,69.31
dma,2005,90.73
dma,2010,103.82
dma,2015,101.98
dma,2020,108.61
dnk,1990,3.92
dnk,1995,3.97
dnk,2000,4.08
dnk,2005,4.14
dnk,2010,4.2
dnk,2015,4.16
dnk,2020,4.44
dom,1990,6.42
dom,1995,8.53
dom,2000,10.5
dom,2005,11.15
dom,2010,12.22
dom,2015,14.15
dom,2020,14.83
dza,1990,3.58
dza,1995,3.41
dza,2000,3.34
dza,2005,4.83
dza,2010,4.6
dza,2015,4.62
dza,2020,4.61
ecu,1990,2.09
ecu,1995,2.85
ecu,2000,3.52
ecu,2005,7.14
ecu,2010,7.68
ecu,2015,6.97
ecu,2020,6.39
egy,1990,2.35
egy,1995,2.39
egy,2000,2.48
egy,2005,2.39
egy,2010,3.13
egy,2015,3.41
egy,2020,3.53
eri,1990,7.55
eri,1995,17.02
eri,2000,22.31
eri,2005,10.59
eri,2010,10.36
eri,2015,18.69
eri,2020,22.64
esp,1990,3.67
esp,1995,3.42
esp,2000,3.16
esp,2005,2.53
esp,2010,2.32
esp,2015,2.72
esp,2020,3.19
est,1990,7.27
est,1995,9.04
est,2000,10.14
est,2005,11.07
est,2010,11.53
est,2015,14.38
est,2020,15.58
eth,1990,3.53
eth,1995,1.43
eth,2000,0.67
eth,2005,0.69
eth,2010,0.78
eth,2015,0.84
eth,2020,0.82
fin,1990,5.02
fin,1995,5.64
fin,2000,6.09
fin,2005,5.72
fin,2010,5.44
fin,2015,5.15
fin,2020,5.63
fji,1990,12.37
fji,1995,13.73
fji,2000,16.26
fji,2005,19.11
fji,2010,21.35
fji,2015,24.01
fji,2020,26.09
fra,1990,2.15
fra,1995,2.34
fra,2000,2.64
fra,2005,2.82
fra,2010,3.11
fra,2015,3.29
fra,2020,3.59
fsm,1990,8.01
fsm,1995,11.29
fsm,2000,15.75
fsm,2005,17.29
fsm,2010,18.85
fsm,2015,18.95
fsm,2020,21.69
gab,1990,1.62
gab,1995,1.53
gab,2000,1.47
gab,2005,2.97
gab,2010,2.27
gab,2015,2.21
gab,2020,2.17
gbr,1990,6.63
gbr,1995,6.4
gbr,2000,6.55
gbr,2005,6.88
gbr,2010,6.99
gbr,2015,6.65
gbr,2020,6.97
geo,1990,16.99
geo,1995,19.16
geo,2000,22.17
geo,2005,21.03
geo,2010,19.65
geo,2015,20.6
geo,2020,21.59
gha,1990,2.51
gha,1995,2.52
gha,2000,2.57
gha,2005,3.05
gha,2010,3.08
gha,2015,3.2
gha,2020,3.23
gin,1990,5.55
gin,1995,5.03
gin,2000,4.58
gin,2005,4.44
gin,2010,4.47
gin,2015,4.32
gin,2020,4.19
gmb,1990,3.8
gmb,1995,3.4
gmb,2000,3.45
gmb,2005,3.96
gmb,2010,4.32
gmb,2015,4.65
gmb,2020,5.76
gnb,1990,5.68
gnb,1995,6.17
gnb,2000,6.46
gnb,2005,6.16
gnb,2010,6.01
gnb,2015,5.65
gnb,2020,5.68
gnq,1990,8.63
gnq,1995,9.34
gnq,2000,9.89
gnq,2005,9.58
gnq,2010,8.94
gnq,2015,10.01
gnq,2020,9.18
grc,1990,10
grc,1995,9.35
grc,2000,8.87
grc,2005,7.73
grc,2010,7.25
grc,2015,7.69
grc,2020,10.44
grd,1990,44.89
grd,1995,53.92
grd,2000,62.03
grd,2005,61.77
grd,2010,60.18
grd,2015,63
grd,2020,55.28
gtm,1990,3.76
gtm,1995,4.44
gtm,2000,5
gtm,2005,5.63
gtm,2010,6.32
gtm,2015,6.88
gtm,2020,7.64
guy,1990,31.39
guy,1995,38.79
guy,2000,48.5
guy,2005,52.61
guy,2010,58.61
guy,2015,62.71
guy,2020,55.74
hkg,1990,9.59
hkg,1995,10.14
hkg,2000,10.38
hkg,2005,11.12
hkg,2010,12.37
hkg,2015,13.32
hkg,2020,13.44
hnd,1990,3.16
hnd,1995,4.32
hnd,2000,5.2
hnd,2005,6.02
hnd,2010,7.06
hnd,2015,8.01
hnd,2020,9.95
hos,1990,1.31
hos,1995,3.34
hos,2000,5.19
hos,2005,13.78
hos,2010,22.35
hos,2015,39.24
hos,2020,21.51
hrv,1990,8.91
hrv,1995,15.92
hrv,2000,20.48
hrv,2005,19.17
hrv,2010,18.96
hrv,2015,19.05
hrv,2020,25.32
hti,1990,7.46
hti,1995,8.54
hti,2000,9.48
hti,2005,10.53
hti,2010,11.29
hti,2015,13.72
hti,2020,15.52
hun,1990,3.77
hun,1995,3.91
hun,2000,4.12
hun,2005,4.63
hun,2010,5.15
hun,2015,6.15
hun,2020,7.4
idn,1990,0.89
idn,1995,0.98
idn,2000,1.14
idn,2005,1.23
idn,2010,1.41
idn,2015,1.57
idn,2020,1.68
ind,1990,0.76
ind,1995,0.74
ind,2000,0.75
ind,2005,0.84
ind,2010,1.07
ind,2015,1.21
ind,2020,1.29
irl,1990,26.12
irl,1995,24.04
irl,2000,21.69
irl,2005,18.59
irl,2010,16.02
irl,2015,15.83
irl,2020,14.87
irn,1990,1.12
irn,1995,1.22
irn,2000,1.27
irn,2005,1.28
irn,2010,1.34
irn,2015,1.47
irn,2020,1.58
irq,1990,3.69
irq,1995,3.74
irq,2000,3.53
irq,2005,4.98
irq,2010,8.59
irq,2015,4.71
irq,2020,5.17
isl,1990,6.9
isl,1995,8.01
isl,2000,9.33
isl,2005,9.72
isl,2010,10.13
isl,2015,11.21
isl,2020,12.67
isr,1990,6.29
isr,1995,5.51
isr,2000,5.11
isr,2005,4.86
isr,2010,4.55
isr,2015,4.15
isr,2020,4.14
ita,1990,5.87
ita,1995,5.61
ita,2000,5.41
ita,2005,4.63
ita,2010,4.31
ita,2015,4.4
ita,2020,5.39
jam,1990,24.32
jam,1995,28.35
jam,2000,32.31
jam,2005,33.04
jam,2010,35.22
jam,2015,35.68
jam,2020,37.79
jor,1990,8.8
jor,1995,7.39
jor,2000,7.19
jor,2005,7.65
jor,2010,8.29
jor,2015,7.63
jor,2020,7.99
jpn,1990,0.49
jpn,1995,0.52
jpn,2000,0.56
jpn,2005,0.56
jpn,2010,0.59
jpn,2015,0.6
jpn,2020,0.64
kaz,1990,18.14
kaz,1995,20.8
kaz,2000,23.82
kaz,2005,24.14
kaz,2010,23.37
kaz,2015,22.11
kaz,2020,22.39
ken,1990,1.06
ken,1995,1
ken,2000,0.99
ken,2005,0.99
ken,2010,1.05
ken,2015,1
ken,2020,1
kgz,1990,11.95
kgz,1995,12.05
kgz,2000,11.51
kgz,2005,12.86
kgz,2010,13.4
kgz,2015,12.47
kgz,2020,11.87
khm,1990,3.96
khm,1995,3.92
khm,2000,3.78
khm,2005,5.08
khm,2010,6.66
khm,2015,6.92
khm,2020,6.61
kir,1990,5.6
kir,1995,5.46
kir,2000,4.73
kir,2005,4.36
kir,2010,3.46
kir,2015,3.72
kir,2020,4.27
kna,1990,46.24
kna,1995,58.61
kna,2000,70.02
kna,2005,71.11
kna,2010,73.03
kna,2015,78.53
kna,2020,94.53
kor,1990,3.53
kor,1995,3.74
kor,2000,3.96
kor,2005,4.05
kor,2010,4.55
kor,2015,4.24
kor,2020,4.3
kwt,1990,3.89
kwt,1995,6.04
kwt,2000,5.55
kwt,2005,5.68
kwt,2010,5.94
kwt,2015,5.08
kwt,2020,4.97
lao,1990,11.34
lao,1995,11.3
lao,2000,12.2
lao,2005,15.6
lao,2010,19.18
lao,2015,19.11
lao,2020,17.81
lbn,1990,18.11
lbn,1995,15.06
lbn,2000,14.54
lbn,2005,12.96
lbn,2010,14.13
lbn,2015,11.59
lbn,2020,12.55
lbr,1990,24.9
lbr,1995,26.52
lbr,2000,8.72
lbr,2005,11.02
lbr,2010,5.63
lbr,2015,4.6
lbr,2020,4.62
lby,1990,1.72
lby,1995,1.56
lby,2000,1.49
lby,2005,1.73
lby,2010,2.06
lby,2015,2.38
lby,2020,2.7
lca,1990,15.94
lca,1995,20.88
lca,2000,25.24
lca,2005,28.7
lca,2010,28.9
lca,2015,32.34
lca,2020,38.79
lie,1990,11.9
lie,1995,9.77
lie,2000,8.1
lie,2005,8.45
lie,2010,9.97
lie,2015,9.44
lie,2020,9.72
lka,1990,5.1
lka,1995,5.06
lka,2000,5.21
lka,2005,5.89
lka,2010,7.18
lka,2015,7.92
lka,2020,9.15
lso,1990,11.23
lso,1995,7.19
lso,2000,5.93
lso,2005,7.97
lso,2010,12.18
lso,2015,9.3
lso,2020,9.44
ltu,1990,9.23
ltu,1995,9.44
ltu,2000,9.95
ltu,2005,12.33
ltu,2010,16.57
ltu,2015,18.97
ltu,2020,24.17
lux,1990,9.46
lux,1995,9.28
lux,2000,9.12
lux,2005,11.53
lux,2010,12.22
lux,2015,12.24
lux,2020,13.06
lva,1990,8.07
lva,1995,9.13
lva,2000,10.01
lva,2005,12.03
lva,2010,13.13
lva,2015,18.48
lva,2020,20.15
mar,1990,7.05
mar,1995,6.98
mar,2000,7.21
mar,2005,8.11
mar,2010,8.84
mar,2015,8.57
mar,2020,8.84
mco,1990,15.2
mco,1995,15.57
mco,2000,15.94
mco,2005,56.45
mco,2010,75.69
mco,2015,77.72
mco,2020,82.95
mda,1990,14.33
mda,1995,14.28
mda,2000,14.34
mda,2005,17.2
mda,2010,20.25
mda,2015,22.84
mda,2020,28.74
mdg,1990,0.51
mdg,1995,0.5
mdg,2000,0.49
mdg,2005,0.81
mdg,2010,0.76
mdg,2015,0.73
mdg,2020,0.7
mdv,1990,0.98
mdv,1995,0.66
mdv,2000,0.44
mdv,2005,0.69
mdv,2010,0.97
mdv,2015,0.79
mdv,2020,0.69
mex,1990,5.24
mex,1995,7.58
mex,2000,9.67
mex,2005,10.2
mex,2010,10.88
mex,2015,9.78
mex,2020,8.68
mhl,1990,3.02
mhl,1995,8.23
mhl,2000,13.74
mhl,2005,12.04
mhl,2010,11.52
mhl,2015,13.27
mhl,2020,18.39
mkd,1990,21.64
mkd,1995,24.81
mkd,2000,26.15
mkd,2005,22.27
mkd,2010,25.41
mkd,2015,27.09
mkd,2020,33.31
mli,1990,7.66
mli,1995,8.56
mli,2000,7.06
mli,2005,7.01
mli,2010,6.61
mli,2015,7.04
mli,2020,6.44
mlt,1990,30.59
mlt,1995,29.14
mlt,2000,26.64
mlt,2005,24.77
mlt,2010,23.97
mlt,2015,21.58
mlt,2020,23.28
mmr,1990,1.66
mmr,1995,2.08
mmr,2000,2.62
mmr,2005,3.55
mmr,2010,4.93
mmr,2015,5.4
mmr,2020,6.82
mne,1990,12.58
mne,1995,23.31
mne,2000,29.9
mne,2005,24.01
mne,2010,23.83
mne,2015,21.38
mne,2020,21.17
mng,1990,1.12
mng,1995,1.21
mng,2000,1.28
mng,2005,1.68
mng,2010,2.11
mng,2015,2.18
mng,2020,2.5
moz,1990,17.11
moz,1995,5.25
moz,2000,3.64
moz,2005,3.23
moz,2010,3.39
moz,2015,2.21
moz,2020,2.05
mrt,1990,6.61
mrt,1995,6.56
mrt,2000,4.09
mrt,2005,3.41
mrt,2010,3.27
mrt,2015,2.83
mrt,2020,2.8
mus,1990,10.48
mus,1995,10.11
mus,2000,10.04
mus,2005,10.69
mus,2010,11.87
mus,2015,13.17
mus,2020,14.39
mwi,1990,1.53
mwi,1995,1.53
mwi,2000,1.67
mwi,2005,1.76
mwi,2010,1.79
mwi,2015,1.78
mwi,2020,1.63
mys,1990,3.11
mys,1995,4.2
mys,2000,5.18
mys,2005,5.37
mys,2010,5.67
mys,2015,5.88
mys,2020,5.75
nam,1990,1.12
nam,1995,1.73
nam,2000,2.75
nam,2005,3.38
nam,2010,4.7
nam,2015,2.18
nam,2020,1.88
ner,1990,1.87
ner,1995,1.87
ner,2000,1.81
ner,2005,2.23
ner,2010,2.04
ner,2015,1.87
ner,2020,1.65
nga,1990,0.47
nga,1995,0.49
nga,2000,0.5
nga,2005,0.59
nga,2010,0.63
nga,2015,0.72
nga,2020,0.81
nic,1990,10.58
nic,1995,9.41
nic,2000,9.89
nic,2005,10.21
nic,2010,10.48
nic,2015,10.53
nic,2020,10.84
nld,1990,4.79
nld,1995,4.7
nld,2000,4.69
nld,2005,4.83
nld,2010,5.12
nld,2015,5.12
nld,2020,5.66
nor,1990,3.26
nor,1995,3.46
nor,2000,3.64
nor,2005,3.76
nor,2010,3.68
nor,2015,3.57
nor,2020,3.53
npl,1990,3.96
npl,1995,3.97
npl,2000,4.08
npl,2005,5.01
npl,2010,6.34
npl,2015,8.4
npl,2020,8.92
nru,1990,14.93
nru,1995,14.22
nru,2000,15.41
nru,2005,18.98
nru,2010,21.28
nru,2015,21.85
nru,2020,22.65
nzl,1990,11.42
nzl,1995,11.35
nzl,2000,12.69
nzl,2005,13.43
nzl,2010,15.16
nzl,2015,15.99
nzl,2020,16.72
omn,1990,0.69
omn,1995,0.63
omn,2000,0.69
omn,2005,0.75
omn,2010,0.68
omn,2015,0.53
omn,2020,0.49
pak,1990,3.1
pak,1995,2.7
pak,2000,2.39
pak,2005,2.36
pak,2010,2.67
pak,2015,2.91
pak,2020,2.86
pan,1990,5.44
pan,1995,4.85
pan,2000,4.52
pan,2005,3.95
pan,2010,3.84
pan,2015,3.79
pan,2020,3.23
per,1990,1.42
per,1995,2.08
per,2000,2.62
per,2005,3.48
per,2010,4.48
per,2015,4.63
per,2020,4.61
phl,1990,3.25
phl,1995,3.56
phl,2000,3.93
phl,2005,4.27
phl,2010,4.99
phl,2015,5.38
phl,2020,5.56
plw,1990,19.63
plw,1995,16.58
plw,2000,20.93
plw,2005,19.12
plw,2010,14.59
plw,2015,14.49
plw,2020,14.68
png,1990,0.07
png,1995,0.08
png,2000,0.08
png,2005,0.07
png,2010,0.06
png,2015,0.06
png,2020,0.05
pol,1990,4.41
pol,1995,4.62
pol,2000,5.31
pol,2005,7.52
pol,2010,9.7
pol,2015,10.72
pol,2020,12.75
prk,1990,0.19
prk,1995,0.25
prk,2000,0.32
prk,2005,0.36
prk,2010,0.39
prk,2015,0.41
prk,2020,0.43
prt,1990,18.92
prt,1995,19.03
prt,2000,19.36
prt,2005,16.59
prt,2010,18.19
prt,2015,19.02
prt,2020,20.41
pry,1990,7.05
pry,1995,7.03
pry,2000,7.04
pry,2005,9.37
pry,2010,12.26
pry,2015,12.64
pry,2020,12.57
pse,1990,86.26
pse,1995,86.86
pse,2000,85.84
pse,2005,91.06
pse,2010,87.28
pse,2015,83.33
pse,2020,78.86
qat,1990,2.56
qat,1995,2.59
qat,2000,2.48
qat,2005,1.98
qat,2010,1.11
qat,2015,0.92
qat,2020,0.89
rou,1990,3.46
rou,1995,4.25
rou,2000,5.14
rou,2005,9.83
rou,2010,16.43
rou,2015,17.17
rou,2020,20.73
rus,1990,8.58
rus,1995,7.82
rus,2000,7.28
rus,2005,7.17
rus,2010,7.05
rus,2015,7.02
rus,2020,7.37
rwa,1990,7.51
rwa,1995,35.3
rwa,2000,4.01
rwa,2005,3.27
rwa,2010,3.33
rwa,2015,4.43
rwa,2020,3.8
sau,1990,0.66
sau,1995,0.7
sau,2000,0.74
sau,2005,0.75
sau,2010,0.79
sau,2015,0.89
sau,2020,0.86
sdn,1990,2.9
sdn,1995,3.22
sdn,2000,3.25
sdn,2005,4.13
sdn,2010,3.58
sdn,2015,4.74
sdn,2020,4.8
sen,1990,4.92
sen,1995,4.13
sen,2000,4.03
sen,2005,4.24
sen,2010,4.32
sen,2015,4.08
sen,2020,4.14
sgp,1990,5.19
sgp,1995,4.77
sgp,2000,4.79
sgp,2005,5.53
sgp,2010,5.5
sgp,2015,5.81
sgp,2020,5.96
slb,1990,0.71
slb,1995,0.71
slb,2000,0.66
slb,2005,0.64
slb,2010,0.64
slb,2015,0.64
slb,2020,0.62
sle,1990,1.43
sle,1995,10.64
sle,2000,11.1
sle,2005,2.69
sle,2010,1.98
sle,2015,1.94
sle,2020,1.91
slv,1990,23.56
slv,1995,16.58
slv,2000,16.12
slv,2005,18.49
slv,2010,21.62
slv,2015,23.92
slv,2020,24.65
smr,1990,5.86
smr,1995,9.47
smr,2000,12.72
smr,2005,9.91
smr,2010,7.26
smr,2015,11.09
smr,2020,7.09
som,1990,11.74
som,1995,12.93
som,2000,11.34
som,2005,10.16
som,2010,13.25
som,2015,14.56
som,2020,12.8
srb,1990,7.8
srb,1995,9.25
srb,2000,11.93
srb,2005,10.45
srb,2010,10.41
srb,2015,9.32
srb,2020,11.49
ssd,1990,9.38
ssd,1995,8.56
ssd,2000,5.53
ssd,2005,3.03
ssd,2010,4.23
ssd,2015,9.9
ssd,2020,23.01
stp,1990,11.71
stp,1995,14.63
stp,2000,17.67
stp,2005,18.96
stp,2010,17.15
stp,2015,17.63
stp,2020,18.07
sur,1990,43.9
sur,1995,43.35
sur,2000,44.85
sur,2005,49.81
sur,2010,48.89
sur,2015,45.54
sur,2020,46.57
svk,1990,2.51
svk,1995,3.56
svk,2000,4.66
svk,2005,5.03
svk,2010,4.82
svk,2015,6.39
svk,2020,7.69
svn,1990,4.56
svn,1995,5.45
svn,2000,5.97
svn,2005,5.98
svn,2010,6.02
svn,2015,6.59
svn,2020,7.71
swe,1990,2.4
swe,1995,2.55
swe,2000,2.89
swe,2005,2.96
swe,2010,3.11
swe,2015,3.1
swe,2020,3.24
swz,1990,4.28
swz,1995,3.27
swz,2000,3.39
swz,2005,4.35
swz,2010,6.48
swz,2015,4.19
swz,2020,4.31
syc,1990,50.49
syc,1995,36.26
syc,2000,23.76
syc,2005,26.49
syc,2010,28.41
syc,2015,28.94
syc,2020,29.75
syr,1990,4.98
syr,1995,4.61
syr,2000,4.31
syr,2005,4.43
syr,2010,4.95
syr,2015,35.83
syr,2020,48.33
tcd,1990,5.65
tcd,1995,3.18
tcd,2000,2.47
tcd,2005,2.09
tcd,2010,1.69
tcd,2015,1.36
tcd,2020,1.35
tgo,1990,5.14
tgo,1995,7.33
tgo,2000,5.43
tgo,2005,7.23
tgo,2010,6.5
tgo,2015,6.76
tgo,2020,6.59
tha,1990,0.54
tha,1995,0.69
tha,2000,0.84
tha,2005,0.97
tha,2010,1.14
tha,2015,1.34
tha,2020,1.56
tjk,1990,10.18
tjk,1995,9.63
tjk,2000,8.71
tjk,2005,8.63
tjk,2010,7.77
tjk,2015,6.92
tjk,2020,6.15
tkm,1990,7.06
tkm,1995,5.79
tkm,2000,4.97
tkm,2005,4.88
tkm,2010,4.61
tkm,2015,4.29
tkm,2020,4.02
tls,1990,1.53
tls,1995,9.36
tls,2000,16.77
tls,2005,9.54
tls,2010,3.2
tls,2015,3.12
tls,2020,3
ton,1990,34.36
ton,1995,39.81
ton,2000,47.41
ton,2005,47.9
ton,2010,49.55
ton,2015,58.74
ton,2020,70.53
tto,1990,16.17
tto,1995,20.02
tto,2000,24.29
tto,2005,24.91
tto,2010,26.39
tto,2015,26.9
tto,2020,23.62
tun,1990,5.65
tun,1995,5.23
tun,2000,5.02
tun,2005,5.73
tun,2010,5.79
tun,2015,6.93
tun,2020,7.63
tur,1990,4.66
tur,1995,4.74
tur,2000,4.5
tur,2005,3.8
tur,2010,3.75
tur,2015,3.91
tur,2020,4.04
tuv,1990,26.37
tuv,1995,29.45
tuv,2000,27.8
tuv,2005,29.18
tuv,2010,28.62
tuv,2015,28.86
tuv,2020,31.12
twn,1990,0
twn,1995,0
twn,2000,0
twn,2005,0
twn,2010,0
twn,2015,0
twn,2020,0
tza,1990,0.81
tza,1995,0.77
tza,2000,0.64
tza,2005,0.61
tza,2010,0.59
tza,2015,0.57
tza,2020,0.55
uga,1990,1.8
uga,1995,1.77
uga,2000,2.19
uga,2005,2.12
uga,2010,2.26
uga,2015,2.06
uga,2020,1.71
ukr,1990,10.78
ukr,1995,11.01
ukr,2000,11.46
ukr,2005,11.87
ukr,2010,11.86
ukr,2015,12.91
ukr,2020,14.04
ury,1990,7.64
ury,1995,7.26
ury,2000,7.1
ury,2005,9
ury,2010,10.07
ury,2015,10.35
ury,2020,10.57
usa,1990,0.68
usa,1995,0.69
usa,2000,0.7
usa,2005,0.78
usa,2010,0.86
usa,2015,0.85
usa,2020,0.91
uzb,1990,7
uzb,1995,6.65
uzb,2000,6.36
uzb,2005,6.55
uzb,2010,6.62
uzb,2015,6.39
uzb,2020,6.06
vct,1990,34.43
vct,1995,42.27
vct,2000,49.67
vct,2005,51.2
vct,2010,51.21
vct,2015,57.08
vct,2020,50.05
ven,1990,0.94
ven,1995,1.1
ven,2000,1.31
ven,2005,1.65
ven,2010,1.97
ven,2015,2.36
ven,2020,19.04
vnm,1990,2.21
vnm,1995,2.46
vnm,2000,2.7
vnm,2005,2.83
vnm,2010,2.99
vnm,2015,3.14
vnm,2020,3.48
vut,1990,3.32
vut,1995,3.34
vut,2000,3.37
vut,2005,3.47
vut,2010,3.26
vut,2015,2.49
vut,2020,2.36
wsm,1990,45.98
wsm,1995,48.19
wsm,2000,54.19
wsm,2005,55.21
wsm,2010,56.37
wsm,2015,60.39
wsm,2020,68.41
yem,1990,3.89
yem,1995,3.26
yem,2000,3.04
yem,2005,3.13
yem,2010,3.78
yem,2015,4.13
yem,2020,4.36
zaf,1990,0.84
zaf,1995,0.93
zaf,2000,1.12
zaf,2005,1.26
zaf,2010,1.45
zaf,2015,1.42
zaf,2020,1.54
zmb,1990,1.06
zmb,1995,1.55
zmb,2000,1.54
zmb,2005,1.53
zmb,2010,1.34
zmb,2015,1.16
zmb,2020,1.09
