country,time,wn_bothhouses_c
arg,2011,37.69
arg,2012,37.69
arg,2013,37.69
arg,2014,37.39
arg,2015,37.08
arg,2016,37.99
arg,2017,38.91
arg,2018,39.39
arg,2019,39.88
arg,2020,41.95
arg,2021,44.38
arm,1990,3.69
arm,1991,4.12
arm,1992,4.59
arm,1993,5.1
arm,1994,5.68
arm,1995,6.32
arm,1996,5.71
arm,1997,4.98
arm,1998,4.12
arm,1999,3.05
arm,2000,3.44
arm,2001,3.82
arm,2002,4.2
arm,2003,4.58
arm,2004,6.42
arm,2005,7.65
arm,2006,8.53
arm,2007,9.2
arm,2008,9.36
arm,2009,9.57
arm,2010,9.84
arm,2011,10.19
arm,2012,10.69
arm,2013,11.76
arm,2014,12.94
arm,2015,14.21
arm,2016,15.61
arm,2017,17.14
arm,2018,24.24
arm,2019,23.48
arm,2020,22.73
arm,2021,34.58
atg,1984,5.88
atg,1985,5.29
atg,1986,4.71
atg,1987,4.12
atg,1988,3.53
atg,1989,2.94
atg,1990,4.71
atg,1991,7.35
atg,1992,11.76
atg,1993,11.32
atg,1994,11.11
atg,1995,10.56
atg,1996,10
atg,1997,9.44
atg,1998,8.89
atg,1999,8.33
atg,2000,9.44
atg,2001,10.56
atg,2002,11.67
atg,2003,12.78
atg,2004,13.89
atg,2005,15
atg,2006,16.11
atg,2007,17.22
atg,2008,18.33
atg,2009,19.44
atg,2010,19.77
atg,2011,20.11
atg,2012,20.47
atg,2013,20.83
atg,2014,21.21
atg,2015,23.88
atg,2016,26.47
atg,2017,28.99
atg,2018,31.43
atg,2019,31.43
atg,2020,31.43
atg,2021,31.43
aus,1946,3.6
aus,1947,3.21
aus,1948,2.94
aus,1949,2.73
aus,1950,2.46
aus,1951,2.19
aus,1952,3.29
aus,1953,6.67
aus,1954,0
aus,1955,2.72
aus,1956,2.72
aus,1957,2.72
aus,1958,2.72
aus,1959,2.72
aus,1960,2.72
aus,1961,2.72
aus,1962,1.62
aus,1963,0
aus,1964,6.67
aus,1965,3.69
aus,1966,2.72
aus,1967,5
aus,1968,1.62
aus,1969,0
aus,1970,3.33
aus,1971,1.08
aus,1972,0
aus,1973,1.6
aus,1974,2.67
aus,1975,3.14
aus,1976,3.17
aus,1977,3.19
aus,1978,4.25
aus,1979,5.3
aus,1980,6.35
aus,1981,7.58
aus,1982,8.82
aus,1983,10.05
aus,1984,9.82
aus,1985,10.42
aus,1986,11.01
aus,1987,11.61
aus,1988,11.9
aus,1989,12.2
aus,1990,12.5
aus,1991,12.67
aus,1992,12.84
aus,1993,13
aus,1994,15.52
aus,1995,18.03
aus,1996,20.54
aus,1997,30.26
aus,1998,24.11
aus,1999,25.07
aus,2000,26.04
aus,2001,26.99
aus,2002,27.43
aus,2003,27.88
aus,2004,28.32
aus,2005,28.76
aus,2006,29.2
aus,2007,29.65
aus,2008,29.5
aus,2009,29.35
aus,2010,29.2
aus,2011,30.41
aus,2012,31.4
aus,2013,32.23
aus,2014,31.19
aus,2015,30.29
aus,2016,29.52
aus,2017,31.15
aus,2018,33.37
aus,2019,36.56
aus,2020,37.89
aus,2021,38.5
aut,1945,4.21
aut,1946,0
aut,1947,0
aut,1948,0
aut,1949,4.23
aut,1950,2.08
aut,1951,2.08
aut,1952,2.08
aut,1953,4.76
aut,1954,2.22
aut,1955,2.22
aut,1956,6.57
aut,1957,12.5
aut,1958,12.5
aut,1959,7.04
aut,1960,12.5
aut,1961,12.5
aut,1962,7.41
aut,1963,13.73
aut,1964,13.73
aut,1965,13.73
aut,1966,6.94
aut,1967,11.76
aut,1968,11.76
aut,1969,11.76
aut,1970,7.76
aut,1971,8.55
aut,1972,17.65
aut,1973,17.65
aut,1974,17.65
aut,1975,10.5
aut,1976,20
aut,1977,20
aut,1978,20
aut,1979,11.34
aut,1980,16.36
aut,1981,16.36
aut,1982,16.36
aut,1983,11.07
aut,1984,16.39
aut,1985,16.39
aut,1986,13.88
aut,1987,20.97
aut,1988,20.97
aut,1989,20.97
aut,1990,20.16
aut,1991,21.67
aut,1992,21.67
aut,1993,21.67
aut,1994,21.95
aut,1995,25.61
aut,1996,20.97
aut,1997,20.31
aut,1998,20.97
aut,1999,23.58
aut,2000,14.29
aut,2001,14.29
aut,2002,31.84
aut,2003,25.81
aut,2004,27.42
aut,2005,25.81
aut,2006,31.56
aut,2007,24.59
aut,2008,27.76
aut,2009,29.51
aut,2010,29.03
aut,2011,29.03
aut,2012,29.03
aut,2013,30.47
aut,2014,29.03
aut,2015,29.03
aut,2016,29.51
aut,2017,33.06
aut,2018,35.79
aut,2019,38.52
aut,2020,40.57
aut,2021,41.39
aze,2019,16.81
aze,2020,18.18
aze,2021,18.33
bdi,1961,0
bdi,1962,0
bdi,1963,0
bdi,1964,0
bdi,1965,0
bdi,1966,0.71
bdi,1967,1.39
bdi,1968,2.04
bdi,1969,2.68
bdi,1970,3.29
bdi,1971,3.88
bdi,1972,4.44
bdi,1973,4.99
bdi,1974,5.53
bdi,1975,6.04
bdi,1976,6.54
bdi,1977,7.02
bdi,1978,7.49
bdi,1979,7.95
bdi,1980,8.39
bdi,1981,8.82
bdi,1982,9.23
bdi,1983,9.58
bdi,1984,9.91
bdi,1985,10.22
bdi,1986,10.53
bdi,1987,10.82
bdi,1988,11.1
bdi,1989,11.37
bdi,1990,11.63
bdi,1991,11.87
bdi,1992,12.11
bdi,1993,12.35
bdi,1994,15.41
bdi,1995,18.01
bdi,1996,20.24
bdi,1997,22.19
bdi,1998,23.89
bdi,1999,25.4
bdi,2000,26.75
bdi,2001,27.95
bdi,2002,29.04
bdi,2003,30.02
bdi,2004,30.92
bdi,2005,31.74
bdi,2006,32.27
bdi,2007,32.83
bdi,2008,33.42
bdi,2009,34.04
bdi,2010,34.69
bdi,2011,35.37
bdi,2012,36.02
bdi,2013,36.64
bdi,2014,37.24
bdi,2015,37.8
bdi,2016,38.04
bdi,2017,38.27
bdi,2018,38.51
bdi,2019,38.75
bdi,2020,38.89
bdi,2021,38.89
bel,1946,2.17
bel,1947,2.49
bel,1948,2.8
bel,1949,3.1
bel,1950,3.62
bel,1951,3.68
bel,1952,3.75
bel,1953,3.81
bel,1954,3.88
bel,1955,3.88
bel,1956,3.88
bel,1957,3.88
bel,1958,3.88
bel,1959,3.79
bel,1960,3.7
bel,1961,3.62
bel,1962,3.29
bel,1963,2.96
bel,1964,2.63
bel,1965,2.31
bel,1966,2.22
bel,1967,2.14
bel,1968,2.05
bel,1969,2.31
bel,1970,2.56
bel,1971,2.82
bel,1972,2.82
bel,1973,2.82
bel,1974,2.82
bel,1975,4.09
bel,1976,5.36
bel,1977,6.62
bel,1978,7.89
bel,1979,8.06
bel,1980,8.23
bel,1981,8.4
bel,1982,8.7
bel,1983,9
bel,1984,9.3
bel,1985,9.6
bel,1986,8.96
bel,1987,8.33
bel,1988,8.78
bel,1989,9.22
bel,1990,9.66
bel,1991,10.1
bel,1992,10.93
bel,1993,11.99
bel,1994,13.41
bel,1995,15.38
bel,1996,19.36
bel,1997,21.53
bel,1998,22.88
bel,1999,23.82
bel,2000,24.99
bel,2001,26.69
bel,2002,29.4
bel,2003,34.39
bel,2004,34.63
bel,2005,34.85
bel,2006,35.06
bel,2007,35.25
bel,2008,36.34
bel,2009,37.55
bel,2010,38.91
bel,2011,39.86
bel,2012,40.86
bel,2013,41.9
bel,2014,43
bel,2015,43.07
bel,2016,43.14
bel,2017,43.2
bel,2018,43.27
bel,2019,43.33
bel,2020,42.86
bel,2021,43.81
ben,1979,8.33
ben,1980,7.79
ben,1981,7.14
ben,1982,6.35
ben,1983,5.36
ben,1984,4.08
ben,1985,3.84
ben,1986,3.61
ben,1987,3.38
ben,1988,3.15
ben,1989,2.93
ben,1990,3.72
ben,1991,6.25
ben,1992,6.64
ben,1993,7.03
ben,1994,7.42
ben,1995,7.81
ben,1996,7.27
ben,1997,6.8
ben,1998,6.39
ben,1999,6.02
ben,2000,6.33
ben,2001,6.63
ben,2002,6.93
ben,2003,7.23
ben,2004,8.13
ben,2005,9.04
ben,2006,9.94
ben,2007,10.84
ben,2008,10.24
ben,2009,9.64
ben,2010,9.04
ben,2011,8.43
ben,2012,8.13
ben,2013,7.83
ben,2014,7.53
ben,2015,7.23
ben,2016,7.23
ben,2017,7.23
ben,2018,7.23
ben,2019,7.23
ben,2020,8.43
ben,2021,7.41
bfa,1970,0
bfa,1971,0.22
bfa,1972,0.44
bfa,1973,0.66
bfa,1974,0.88
bfa,1975,1.1
bfa,1976,1.32
bfa,1977,1.54
bfa,1978,1.75
bfa,1979,2.24
bfa,1980,2.67
bfa,1981,3.06
bfa,1982,3.41
bfa,1983,3.72
bfa,1984,4.01
bfa,1985,4.27
bfa,1986,4.51
bfa,1987,4.73
bfa,1988,4.93
bfa,1989,5.12
bfa,1990,5.29
bfa,1991,5.46
bfa,1992,5.61
bfa,1993,6.05
bfa,1994,6.49
bfa,1995,6.93
bfa,1996,7.37
bfa,1997,7.8
bfa,1998,8.23
bfa,1999,8.65
bfa,2000,9.07
bfa,2001,9.49
bfa,2002,9.91
bfa,2003,11.71
bfa,2004,12.61
bfa,2005,13.51
bfa,2006,14.41
bfa,2007,15.32
bfa,2008,15.41
bfa,2009,15.5
bfa,2010,15.59
bfa,2011,15.67
bfa,2012,15.75
bfa,2013,13.65
bfa,2014,11.55
bfa,2015,9.45
bfa,2016,10.43
bfa,2017,11.42
bfa,2018,12.4
bfa,2019,13.39
bfa,2020,6.3
bfa,2021,6.3
bgd,2019,20.63
bgd,2020,20.86
bgd,2021,20.86
bgr,1945,5.8
bgr,1946,8.17
bgr,1947,9.58
bgr,1948,11.66
bgr,1949,15.06
bgr,1950,15.22
bgr,1951,15.37
bgr,1952,15.52
bgr,1953,15.66
bgr,1954,15.78
bgr,1955,15.9
bgr,1956,16.02
bgr,1957,16.14
bgr,1958,17.13
bgr,1959,18.02
bgr,1960,18.83
bgr,1961,19.57
bgr,1962,20.25
bgr,1963,19.29
bgr,1964,18.45
bgr,1965,17.72
bgr,1966,17.07
bgr,1967,17.39
bgr,1968,17.72
bgr,1969,18.06
bgr,1970,18.4
bgr,1971,18.75
bgr,1972,18.9
bgr,1973,19.05
bgr,1974,19.2
bgr,1975,19.35
bgr,1976,19.5
bgr,1977,19.95
bgr,1978,20.4
bgr,1979,20.85
bgr,1980,21.3
bgr,1981,21.75
bgr,1982,21.6
bgr,1983,21.45
bgr,1984,21.3
bgr,1985,21.15
bgr,1986,21
bgr,1987,17.88
bgr,1988,14.75
bgr,1989,11.63
bgr,1990,8.5
bgr,1991,12.92
bgr,1992,13.06
bgr,1993,13.19
bgr,1994,13.33
bgr,1995,12.5
bgr,1996,11.67
bgr,1997,10.83
bgr,1998,14.69
bgr,1999,18.54
bgr,2000,22.4
bgr,2001,26.25
bgr,2002,24.9
bgr,2003,23.54
bgr,2004,22.19
bgr,2005,20.83
bgr,2006,20.83
bgr,2007,20.83
bgr,2008,20.83
bgr,2009,20.83
bgr,2010,22
bgr,2011,22.78
bgr,2012,23.33
bgr,2013,23.75
bgr,2014,20
bgr,2015,21.25
bgr,2016,22.5
bgr,2017,23.75
bgr,2018,24.79
bgr,2019,25.83
bgr,2020,27.08
bgr,2021,22.5
bhr,2019,18.75
bhr,2020,18.75
bhr,2021,18.75
bhs,2019,21.82
bhs,2020,21.82
bhs,2021,20
bih,1990,4.49
bih,1991,5.31
bih,1992,6.29
bih,1993,7.47
bih,1994,8.92
bih,1995,10.76
bih,1996,13.15
bih,1997,16.4
bih,1998,21.05
bih,1999,15.15
bih,2000,7.14
bih,2001,10.1
bih,2002,12.28
bih,2003,12.68
bih,2004,13.13
bih,2005,13.66
bih,2006,14.29
bih,2007,13.33
bih,2008,15.28
bih,2009,16.16
bih,2010,16.67
bih,2011,13.33
bih,2012,18.06
bih,2013,20.2
bih,2014,21.43
bih,2015,13.33
bih,2016,18.06
bih,2017,20.2
bih,2018,21.43
bih,2019,21.05
bih,2020,24.56
bih,2021,24.56
blr,1990,3.8
blr,1991,3.85
blr,1992,3.91
blr,1993,3.99
blr,1994,4.1
blr,1995,4.27
blr,1996,4.55
blr,1997,31.15
blr,1998,23.49
blr,1999,19.79
blr,2000,17.61
blr,2001,22
blr,2002,25.23
blr,2003,27.71
blr,2004,29.67
blr,2005,30.15
blr,2006,30.75
blr,2007,31.52
blr,2008,32.53
blr,2009,31.78
blr,2010,31.02
blr,2011,30.27
blr,2012,29.52
blr,2013,30.15
blr,2014,30.63
blr,2015,31
blr,2016,31.29
blr,2017,32.13
blr,2018,33.28
blr,2019,34.94
blr,2020,34.71
blr,2021,34.71
blz,1984,10.53
blz,1985,9.95
blz,1986,9.38
blz,1987,8.81
blz,1988,8.25
blz,1989,7.69
blz,1990,8.33
blz,1991,8.97
blz,1992,9.62
blz,1993,10.26
blz,1994,10.88
blz,1995,11.52
blz,1996,12.17
blz,1997,12.83
blz,1998,13.51
blz,1999,12.57
blz,2000,11.68
blz,2001,10.84
blz,2002,10.05
blz,2003,9.3
blz,2004,11.62
blz,2005,13.48
blz,2006,15.02
blz,2007,16.3
blz,2008,17.39
blz,2009,16.67
blz,2010,15.79
blz,2011,14.71
blz,2012,13.33
blz,2013,11.94
blz,2014,10.53
blz,2015,9.09
blz,2016,9.6
blz,2017,10.11
blz,2018,10.61
blz,2019,11.11
blz,2020,19.57
blz,2021,19.57
bol,1951,0
bol,1952,0.27
bol,1953,0.54
bol,1954,0.81
bol,1955,1.08
bol,1956,1.35
bol,1957,0.77
bol,1958,0
bol,1959,0
bol,1960,0
bol,1961,0
bol,1962,1.94
bol,1963,1.94
bol,1964,1.49
bol,1965,1.1
bol,1966,0.77
bol,1967,0.94
bol,1968,1.11
bol,1969,1.27
bol,1970,1.43
bol,1971,1.59
bol,1972,1.75
bol,1973,1.9
bol,1974,2.05
bol,1975,2.2
bol,1976,2.35
bol,1977,2.49
bol,1978,2.64
bol,1979,2.78
bol,1980,1.91
bol,1981,2.29
bol,1982,2.68
bol,1983,3.06
bol,1984,3.44
bol,1985,3.82
bol,1986,4.94
bol,1987,6.05
bol,1988,7.17
bol,1989,8.28
bol,1990,8.6
bol,1991,8.92
bol,1992,9.24
bol,1993,9.55
bol,1994,8.76
bol,1995,7.96
bol,1996,7.17
bol,1997,6.37
bol,1998,8.66
bol,1999,10.96
bol,2000,13.25
bol,2001,15.54
bol,2002,17.83
bol,2003,16.77
bol,2004,15.71
bol,2005,14.65
bol,2006,17.74
bol,2007,20.74
bol,2008,23.66
bol,2009,26.51
bol,2010,31.57
bol,2011,36.63
bol,2012,41.69
bol,2013,46.75
bol,2014,51.81
bol,2015,51.81
bol,2016,51.81
bol,2017,51.81
bol,2018,51.81
bol,2019,51.81
bol,2020,48.19
bol,2021,48.19
bra,1945,0
bra,1946,0.06
bra,1947,0.11
bra,1948,0.17
bra,1949,0.22
bra,1950,0.27
bra,1951,0.27
bra,1952,0.27
bra,1953,0.26
bra,1954,0.26
bra,1955,0.39
bra,1956,0.52
bra,1957,0.64
bra,1958,0.77
bra,1959,0.67
bra,1960,0.58
bra,1961,0.5
bra,1962,0.42
bra,1963,0.58
bra,1964,0.74
bra,1965,0.89
bra,1966,1.05
bra,1967,0.89
bra,1968,0.71
bra,1969,0.5
bra,1970,0.27
bra,1971,0.26
bra,1972,0.25
bra,1973,0.24
bra,1974,0.23
bra,1975,0.45
bra,1976,0.65
bra,1977,0.85
bra,1978,1.03
bra,1979,1.1
bra,1980,1.16
bra,1981,1.22
bra,1982,1.28
bra,1983,2.13
bra,1984,2.98
bra,1985,3.83
bra,1986,4.66
bra,1987,4.78
bra,1988,4.9
bra,1989,5.02
bra,1990,5.14
bra,1991,5.63
bra,1992,6.11
bra,1993,6.59
bra,1994,7.07
bra,1995,6.78
bra,1996,6.48
bra,1997,6.19
bra,1998,5.89
bra,1999,6.69
bra,2000,7.49
bra,2001,8.29
bra,2002,9.09
bra,2003,6.24
bra,2004,7.7
bra,2005,8.91
bra,2006,9.93
bra,2007,9.85
bra,2008,9.77
bra,2009,9.69
bra,2010,9.6
bra,2011,9.81
bra,2012,10.02
bra,2013,10.23
bra,2014,10.44
bra,2015,11.57
bra,2016,12.71
bra,2017,13.85
bra,2018,14.98
bra,2019,14.98
bra,2020,14.81
bra,2021,15.15
brb,2013,28.57
brb,2014,28.15
brb,2015,27.88
brb,2016,27.69
brb,2017,27.56
brb,2018,27.45
brb,2019,29.41
brb,2020,29.41
brb,2021,29.41
brn,2016,6.45
brn,2017,9.09
brn,2018,9.09
brn,2019,9.09
brn,2020,9.09
brn,2021,9.09
btn,1953,0
btn,1954,0.04
btn,1955,0.08
btn,1956,0.12
btn,1957,0.16
btn,1958,0.2
btn,1959,0.25
btn,1960,0.29
btn,1961,0.34
btn,1962,0.39
btn,1963,0.44
btn,1964,0.5
btn,1965,0.56
btn,1966,0.61
btn,1967,0.68
btn,1968,0.74
btn,1969,0.81
btn,1970,0.88
btn,1971,0.95
btn,1972,1.03
btn,1973,1.11
btn,1974,1.2
btn,1975,1.29
btn,1976,1.38
btn,1977,1.48
btn,1978,1.59
btn,1979,1.7
btn,1980,1.82
btn,1981,1.94
btn,1982,2.08
btn,1983,2.22
btn,1984,2.38
btn,1985,2.54
btn,1986,2.72
btn,1987,2.91
btn,1988,3.11
btn,1989,3.33
btn,1990,3.57
btn,1991,3.84
btn,1992,4.13
btn,1993,4.44
btn,1994,4.8
btn,1995,5.19
btn,1996,5.62
btn,1997,6.11
btn,1998,6.67
btn,1999,7.3
btn,2000,8.03
btn,2001,8.89
btn,2002,9.9
btn,2003,11.11
btn,2004,12.59
btn,2005,14.44
btn,2006,16.83
btn,2007,20
btn,2008,13.89
btn,2009,12.5
btn,2010,11.11
btn,2011,9.72
btn,2012,8.33
btn,2013,6.94
btn,2014,8.61
btn,2015,10.28
btn,2016,11.94
btn,2017,13.61
btn,2018,15.28
btn,2019,15.28
btn,2020,15.28
btn,2021,15.71
bwa,1965,0
bwa,1966,0
bwa,1967,0
bwa,1968,0
bwa,1969,0
bwa,1970,0
bwa,1971,0
bwa,1972,0
bwa,1973,0
bwa,1974,0
bwa,1975,1.08
bwa,1976,2.16
bwa,1977,3.24
bwa,1978,4.32
bwa,1979,5.41
bwa,1980,5.35
bwa,1981,5.29
bwa,1982,5.24
bwa,1983,5.18
bwa,1984,5.13
bwa,1985,5.1
bwa,1986,5.08
bwa,1987,5.05
bwa,1988,5.03
bwa,1989,5
bwa,1990,6
bwa,1991,7
bwa,1992,8
bwa,1993,9
bwa,1994,10
bwa,1995,11.59
bwa,1996,13.08
bwa,1997,14.48
bwa,1998,15.79
bwa,1999,17.02
bwa,2000,15.54
bwa,2001,14.23
bwa,2002,13.07
bwa,2003,12.04
bwa,2004,11.11
bwa,2005,10.48
bwa,2006,9.84
bwa,2007,9.21
bwa,2008,8.57
bwa,2009,7.94
bwa,2010,8.25
bwa,2011,8.57
bwa,2012,8.89
bwa,2013,9.21
bwa,2014,9.52
bwa,2015,9.78
bwa,2016,10.03
bwa,2017,10.28
bwa,2018,10.53
bwa,2019,10.77
bwa,2020,10.77
bwa,2021,11.11
caf,2019,8.57
caf,2020,8.57
caf,2021,12.86
can,1945,0.92
can,1946,2.11
can,1947,2.33
can,1948,2.44
can,1949,0.85
can,1950,2.27
can,1951,2.3
can,1952,2.41
can,1953,2.55
can,1954,6.1
can,1955,6.59
can,1956,7.14
can,1957,1.95
can,1958,2.79
can,1959,5.26
can,1960,6.86
can,1961,7.29
can,1962,3.3
can,1963,3.29
can,1964,6.06
can,1965,2.49
can,1966,4.21
can,1967,5.32
can,1968,1.68
can,1969,5.62
can,1970,6.59
can,1971,6.74
can,1972,3.61
can,1973,7.37
can,1974,4.48
can,1975,6.59
can,1976,6.45
can,1977,6.25
can,1978,8.33
can,1979,5.45
can,1980,6.33
can,1981,9.78
can,1982,10.11
can,1983,9.78
can,1984,10.44
can,1985,11.76
can,1986,14.71
can,1987,13
can,1988,13.23
can,1989,10.58
can,1990,15.32
can,1991,14.02
can,1992,14.42
can,1993,17.29
can,1994,18.27
can,1995,18.27
can,1996,18.27
can,1997,21.23
can,1998,29
can,1999,30.77
can,2000,22.07
can,2001,35.48
can,2002,35.48
can,2003,35.48
can,2004,24.62
can,2005,35.48
can,2006,26.56
can,2007,34.41
can,2008,25.25
can,2009,35
can,2010,35
can,2011,27.49
can,2012,35.92
can,2013,37.86
can,2014,39.58
can,2015,27.91
can,2016,42.16
can,2017,43
can,2018,34.99
can,2019,33.18
can,2020,33.87
can,2021,34.42
che,1971,4.92
che,1972,5.12
che,1973,5.33
che,1974,5.53
che,1975,5.74
che,1976,6.75
che,1977,7.76
che,1978,8.76
che,1979,9.76
che,1980,9.86
che,1981,9.96
che,1982,10.06
che,1983,10.16
che,1984,10.98
che,1985,11.79
che,1986,12.6
che,1987,13.41
che,1988,14.02
che,1989,14.63
che,1990,15.24
che,1991,15.85
che,1992,16.97
che,1993,18.09
che,1994,19.21
che,1995,20.33
che,1996,20.73
che,1997,21.14
che,1998,21.54
che,1999,21.95
che,2000,22.66
che,2001,23.37
che,2002,24.09
che,2003,24.8
che,2004,25.46
che,2005,26.14
che,2006,26.83
che,2007,27.54
che,2008,27.11
che,2009,26.71
che,2010,26.34
che,2011,25.99
che,2012,26.65
che,2013,27.34
che,2014,28.08
che,2015,28.86
che,2016,31.3
che,2017,33.74
che,2018,36.18
che,2019,38.62
che,2020,39.02
che,2021,39.84
chl,2019,22.73
chl,2020,23.23
chl,2021,32.68
chn,2019,24.94
chn,2020,24.94
chn,2021,24.94
civ,1960,0
civ,1961,0.82
civ,1962,1.58
civ,1963,2.28
civ,1964,2.93
civ,1965,3.53
civ,1966,3.41
civ,1967,3.3
civ,1968,3.19
civ,1969,3.09
