country,time,mmr_who
aut,2016,5
aut,2017,5
aze,2000,47
aze,2001,44
aze,2002,43
aze,2003,44
aze,2004,39
aze,2005,42
aze,2006,35
aze,2007,34
aze,2008,32
aze,2009,32
aze,2010,31
aze,2011,30
aze,2012,29
aze,2013,28
aze,2014,28
aze,2015,27
aze,2016,26
aze,2017,26
bdi,2000,1010
bdi,2001,956
bdi,2002,925
bdi,2003,890
bdi,2004,844
bdi,2005,814
bdi,2006,785
bdi,2007,756
bdi,2008,733
bdi,2009,698
bdi,2010,665
bdi,2011,635
bdi,2012,608
bdi,2013,591
bdi,2014,576
bdi,2015,568
bdi,2016,558
bdi,2017,548
bel,2000,8
bel,2001,8
bel,2002,7
bel,2003,7
bel,2004,7
bel,2005,7
bel,2006,7
bel,2007,7
bel,2008,7
bel,2009,6
bel,2010,6
bel,2011,6
bel,2012,6
bel,2013,6
bel,2014,6
bel,2015,5
bel,2016,5
bel,2017,5
ben,2000,520
ben,2001,516
ben,2002,511
ben,2003,510
ben,2004,505
ben,2005,500
ben,2006,493
ben,2007,486
ben,2008,480
ben,2009,471
ben,2010,464
ben,2011,458
ben,2012,450
ben,2013,441
ben,2014,432
ben,2015,421
ben,2016,408
ben,2017,397
bfa,2000,516
bfa,2001,501
bfa,2002,486
bfa,2003,471
bfa,2004,454
bfa,2005,437
bfa,2006,422
bfa,2007,410
bfa,2008,401
bfa,2009,393
bfa,2010,385
bfa,2011,377
bfa,2012,369
bfa,2013,362
bfa,2014,353
bfa,2015,343
bfa,2016,331
bfa,2017,320
bgd,2000,434
bgd,2001,423
bgd,2002,410
bgd,2003,395
bgd,2004,372
bgd,2005,343
bgd,2006,315
bgd,2007,297
bgd,2008,280
bgd,2009,269
bgd,2010,258
bgd,2011,248
bgd,2012,238
bgd,2013,227
bgd,2014,214
bgd,2015,200
bgd,2016,186
bgd,2017,173
bgr,2000,19
bgr,2001,18
bgr,2002,17
bgr,2003,16
bgr,2004,16
bgr,2005,15
bgr,2006,14
bgr,2007,13
bgr,2008,13
bgr,2009,12
bgr,2010,12
bgr,2011,12
bgr,2012,11
bgr,2013,10
bgr,2014,11
bgr,2015,10
bgr,2016,10
bgr,2017,10
bhr,2000,27
bhr,2001,19
bhr,2002,25
bhr,2003,21
bhr,2004,21
bhr,2005,19
bhr,2006,24
bhr,2007,16
bhr,2008,18
bhr,2009,19
bhr,2010,18
bhr,2011,15
bhr,2012,18
bhr,2013,17
bhr,2014,15
bhr,2015,15
bhr,2016,15
bhr,2017,14
bhs,2000,75
bhs,2001,76
bhs,2002,78
bhs,2003,79
bhs,2004,78
bhs,2005,77
bhs,2006,78
bhs,2007,77
bhs,2008,77
bhs,2009,78
bhs,2010,78
bhs,2011,78
bhs,2012,78
bhs,2013,78
bhs,2014,77
bhs,2015,74
bhs,2016,72
bhs,2017,70
bih,2000,17
bih,2001,16
bih,2002,14
bih,2003,14
bih,2004,14
bih,2005,13
bih,2006,13
bih,2007,13
bih,2008,11
bih,2009,11
bih,2010,11
bih,2011,10
bih,2012,10
bih,2013,10
bih,2014,10
bih,2015,10
bih,2016,10
bih,2017,10
blr,2000,22
blr,2001,19
blr,2002,18
blr,2003,15
blr,2004,13
blr,2005,11
blr,2006,9
blr,2007,7
blr,2008,6
blr,2009,6
blr,2010,5
blr,2011,5
blr,2012,4
blr,2013,3
blr,2014,3
blr,2015,3
blr,2016,3
blr,2017,2
blz,2000,89
blz,2001,88
blz,2002,82
blz,2003,80
blz,2004,75
blz,2005,70
blz,2006,65
blz,2007,61
blz,2008,59
blz,2009,57
blz,2010,54
blz,2011,52
blz,2012,50
blz,2013,48
blz,2014,46
blz,2015,43
blz,2016,39
blz,2017,36
bol,2000,331
bol,2001,320
bol,2002,309
bol,2003,297
bol,2004,283
bol,2005,271
bol,2006,258
bol,2007,246
bol,2008,234
bol,2009,222
bol,2010,212
bol,2011,202
bol,2012,192
bol,2013,184
bol,2014,175
bol,2015,168
bol,2016,161
bol,2017,155
bra,2000,69
bra,2001,68
bra,2002,69
bra,2003,70
bra,2004,71
bra,2005,71
bra,2006,72
bra,2007,71
bra,2008,70
bra,2009,69
bra,2010,65
bra,2011,61
bra,2012,60
bra,2013,61
bra,2014,62
bra,2015,63
bra,2016,62
bra,2017,60
brb,2000,50
brb,2001,48
brb,2002,47
brb,2003,45
brb,2004,43
brb,2005,42
brb,2006,41
brb,2007,40
brb,2008,39
brb,2009,38
brb,2010,36
brb,2011,35
brb,2012,34
brb,2013,32
brb,2014,31
brb,2015,31
brb,2016,30
brb,2017,27
brn,2000,28
brn,2001,28
brn,2002,29
brn,2003,30
brn,2004,30
brn,2005,29
brn,2006,28
brn,2007,27
brn,2008,27
brn,2009,27
brn,2010,28
brn,2011,28
brn,2012,29
brn,2013,28
brn,2014,29
brn,2015,30
brn,2016,31
brn,2017,31
btn,2000,423
btn,2001,384
btn,2002,365
btn,2003,348
btn,2004,332
btn,2005,310
btn,2006,291
btn,2007,275
btn,2008,264
btn,2009,255
btn,2010,247
btn,2011,239
btn,2012,231
btn,2013,223
btn,2014,214
btn,2015,203
btn,2016,193
btn,2017,183
bwa,2000,262
bwa,2001,271
bwa,2002,278
bwa,2003,278
bwa,2004,264
bwa,2005,239
bwa,2006,221
bwa,2007,209
bwa,2008,203
bwa,2009,189
bwa,2010,179
bwa,2011,176
bwa,2012,170
bwa,2013,164
bwa,2014,160
bwa,2015,156
bwa,2016,151
bwa,2017,144
caf,2000,1280
caf,2001,1290
caf,2002,1280
caf,2003,1250
caf,2004,1230
caf,2005,1200
caf,2006,1170
caf,2007,1130
caf,2008,1090
caf,2009,1050
caf,2010,1000
caf,2011,981
caf,2012,963
caf,2013,1030
caf,2014,961
caf,2015,912
caf,2016,890
caf,2017,829
can,2000,9
can,2001,10
can,2002,10
can,2003,10
can,2004,10
can,2005,11
can,2006,11
can,2007,11
can,2008,12
can,2009,12
can,2010,11
can,2011,11
can,2012,11
can,2013,11
can,2014,11
can,2015,11
can,2016,10
can,2017,10
che,2000,7
che,2001,7
che,2002,7
che,2003,7
che,2004,7
che,2005,7
che,2006,7
che,2007,6
che,2008,6
che,2009,6
che,2010,6
che,2011,6
che,2012,6
che,2013,6
che,2014,5
che,2015,5
che,2016,5
che,2017,5
chl,2000,31
chl,2001,32
chl,2002,28
chl,2003,27
chl,2004,27
chl,2005,25
chl,2006,25
chl,2007,23
chl,2008,21
chl,2009,21
chl,2010,20
chl,2011,18
chl,2012,17
chl,2013,16
chl,2014,15
chl,2015,14
chl,2016,13
chl,2017,13
chn,2000,59
chn,2001,55
chn,2002,51
chn,2003,48
chn,2004,46
chn,2005,44
chn,2006,42
chn,2007,40
chn,2008,40
chn,2009,37
chn,2010,36
chn,2011,34
chn,2012,33
chn,2013,32
chn,2014,31
chn,2015,30
chn,2016,29
chn,2017,29
civ,2000,704
civ,2001,706
civ,2002,713
civ,2003,711
civ,2004,709
civ,2005,704
civ,2006,699
civ,2007,698
civ,2008,694
civ,2009,700
civ,2010,701
civ,2011,703
civ,2012,702
civ,2013,691
civ,2014,676
civ,2015,658
civ,2016,636
civ,2017,617
cmr,2000,886
cmr,2001,844
cmr,2002,803
cmr,2003,771
cmr,2004,732
cmr,2005,692
cmr,2006,658
cmr,2007,635
cmr,2008,618
cmr,2009,606
cmr,2010,597
cmr,2011,589
cmr,2012,580
cmr,2013,567
cmr,2014,564
cmr,2015,554
cmr,2016,538
cmr,2017,529
cod,2000,760
cod,2001,740
cod,2002,734
cod,2003,699
cod,2004,661
cod,2005,627
cod,2006,598
cod,2007,578
cod,2008,565
cod,2009,555
cod,2010,542
cod,2011,532
cod,2012,524
cod,2013,514
cod,2014,500
cod,2015,490
cod,2016,481
cod,2017,473
cog,2000,739
cog,2001,752
cog,2002,769
cog,2003,757
cog,2004,724
cog,2005,677
cog,2006,623
cog,2007,580
cog,2008,552
cog,2009,526
cog,2010,506
cog,2011,488
cog,2012,468
cog,2013,449
cog,2014,433
cog,2015,416
cog,2016,397
cog,2017,378
col,2000,94
col,2001,93
col,2002,92
col,2003,88
col,2004,85
col,2005,83
col,2006,82
col,2007,83
col,2008,84
col,2009,87
col,2010,85
col,2011,84
col,2012,85
col,2013,85
col,2014,85
col,2015,85
col,2016,84
col,2017,83
com,2000,444
com,2001,437
com,2002,429
com,2003,423
com,2004,414
com,2005,404
com,2006,393
com,2007,382
com,2008,370
com,2009,356
com,2010,341
com,2011,326
com,2012,313
com,2013,302
com,2014,293
com,2015,285
com,2016,279
com,2017,273
cpv,2000,118
cpv,2001,109
cpv,2002,101
cpv,2003,96
cpv,2004,91
cpv,2005,86
cpv,2006,82
cpv,2007,78
cpv,2008,75
cpv,2009,72
cpv,2010,70
cpv,2011,67
cpv,2012,65
cpv,2013,63
cpv,2014,62
cpv,2015,61
cpv,2016,59
cpv,2017,58
cri,2000,40
cri,2001,37
cri,2002,38
cri,2003,37
cri,2004,36
cri,2005,33
cri,2006,35
cri,2007,29
cri,2008,29
cri,2009,29
cri,2010,32
cri,2011,30
cri,2012,29
cri,2013,29
cri,2014,29
cri,2015,28
cri,2016,28
cri,2017,27
cub,2000,46
cub,2001,44
cub,2002,41
cub,2003,41
cub,2004,40
cub,2005,41
cub,2006,38
cub,2007,38
cub,2008,40
cub,2009,40
cub,2010,41
cub,2011,38
cub,2012,39
cub,2013,40
cub,2014,39
cub,2015,38
cub,2016,37
cub,2017,36
cyp,2000,14
cyp,2001,9
cyp,2002,10
cyp,2003,9
cyp,2004,9
cyp,2005,12
cyp,2006,9
cyp,2007,8
cyp,2008,9
cyp,2009,8
cyp,2010,8
cyp,2011,8
cyp,2012,7
cyp,2013,6
cyp,2014,8
cyp,2015,7
cyp,2016,6
cyp,2017,6
cze,2000,7
cze,2001,7
cze,2002,6
cze,2003,6
cze,2004,5
cze,2005,5
cze,2006,5
cze,2007,5
cze,2008,5
cze,2009,4
cze,2010,4
cze,2011,4
cze,2012,4
cze,2013,4
cze,2014,4
cze,2015,4
cze,2016,4
cze,2017,3
deu,2000,7
deu,2001,7
deu,2002,7
deu,2003,6
deu,2004,6
deu,2005,6
deu,2006,6
deu,2007,6
deu,2008,6
deu,2009,6
deu,2010,6
deu,2011,6
deu,2012,5
deu,2013,5
deu,2014,5
deu,2015,5
deu,2016,5
deu,2017,7
dji,2000,507
dji,2001,490
dji,2002,470
dji,2003,449
dji,2004,426
dji,2005,393
dji,2006,361
dji,2007,335
dji,2008,320
dji,2009,299
dji,2010,283
dji,2011,272
dji,2012,262
dji,2013,256
dji,2014,256
dji,2015,247
dji,2016,246
dji,2017,248
dnk,2000,8
dnk,2001,8
dnk,2002,8
dnk,2003,7
dnk,2004,7
dnk,2005,6
dnk,2006,6
dnk,2007,6
dnk,2008,6
dnk,2009,6
dnk,2010,5
dnk,2011,5
dnk,2012,5
dnk,2013,4
dnk,2014,4
dnk,2015,4
dnk,2016,4
dnk,2017,4
dom,2000,80
dom,2001,75
dom,2002,75
dom,2003,76
dom,2004,81
dom,2005,83
dom,2006,86
dom,2007,90
dom,2008,92
dom,2009,95
dom,2010,96
dom,2011,95
dom,2012,94
dom,2013,94
dom,2014,94
dom,2015,94
dom,2016,94
dom,2017,95
dza,2000,161
dza,2001,155
dza,2002,148
dza,2003,145
dza,2004,134
dza,2005,127
dza,2006,122
dza,2007,119
dza,2008,117
dza,2009,117
dza,2010,115
dza,2011,116
dza,2012,116
dza,2013,115
dza,2014,114
dza,2015,114
dza,2016,113
dza,2017,112
ecu,2000,122
ecu,2001,117
ecu,2002,110
ecu,2003,100
ecu,2004,94
ecu,2005,94
ecu,2006,90
ecu,2007,85
ecu,2008,82
ecu,2009,80
ecu,2010,78
ecu,2011,76
ecu,2012,71
ecu,2013,67
ecu,2014,65
ecu,2015,63
ecu,2016,61
ecu,2017,59
egy,2000,64
egy,2001,63
egy,2002,60
egy,2003,57
egy,2004,54
egy,2005,52
egy,2006,50
egy,2007,47
egy,2008,45
egy,2009,45
egy,2010,45
egy,2011,42
egy,2012,42
egy,2013,40
egy,2014,39
egy,2015,39
egy,2016,38
egy,2017,37
eri,2000,1280
eri,2001,1180
eri,2002,1130
eri,2003,1060
eri,2004,938
eri,2005,804
eri,2006,705
eri,2007,635
eri,2008,605
eri,2009,583
eri,2010,567
eri,2011,558
eri,2012,549
eri,2013,540
eri,2014,530
eri,2015,518
eri,2016,498
eri,2017,480
esp,2000,5
esp,2001,5
esp,2002,5
esp,2003,5
esp,2004,5
esp,2005,5
esp,2006,4
esp,2007,4
esp,2008,4
esp,2009,4
esp,2010,4
esp,2011,4
esp,2012,4
esp,2013,4
esp,2014,4
esp,2015,4
esp,2016,4
esp,2017,4
est,2000,29
est,2001,27
est,2002,25
est,2003,20
est,2004,18
est,2005,18
est,2006,16
est,2007,17
est,2008,14
est,2009,14
est,2010,11
est,2011,13
est,2012,12
est,2013,10
est,2014,11
est,2015,10
est,2016,11
est,2017,9
eth,2000,1030
eth,2001,988
eth,2002,985
eth,2003,972
eth,2004,929
eth,2005,865
eth,2006,795
eth,2007,731
eth,2008,681
eth,2009,638
eth,2010,597
eth,2011,558
eth,2012,527
eth,2013,498
eth,2014,472
eth,2015,446
eth,2016,422
eth,2017,401
fin,2000,6
fin,2001,5
fin,2002,5
fin,2003,5
fin,2004,5
fin,2005,5
fin,2006,4
fin,2007,4
fin,2008,4
fin,2009,4
fin,2010,4
fin,2011,4
fin,2012,4
fin,2013,4
fin,2014,3
fin,2015,3
fin,2016,3
fin,2017,3
fji,2000,51
fji,2001,49
fji,2002,48
fji,2003,48
fji,2004,47
fji,2005,46
fji,2006,44
fji,2007,43
fji,2008,42
fji,2009,40
fji,2010,39
fji,2011,38
fji,2012,38
fji,2013,37
fji,2014,36
fji,2015,35
fji,2016,34
fji,2017,34
fra,2000,10
fra,2001,10
fra,2002,10
fra,2003,9
fra,2004,9
fra,2005,9
fra,2006,9
fra,2007,9
fra,2008,9
fra,2009,9
fra,2010,9
fra,2011,9
fra,2012,9
fra,2013,9
fra,2014,8
fra,2015,8
fra,2016,8
fra,2017,8
fsm,2000,154
fsm,2001,150
fsm,2002,163
fsm,2003,141
fsm,2004,137
fsm,2005,133
fsm,2006,128
fsm,2007,123
fsm,2008,118
fsm,2009,114
fsm,2010,110
fsm,2011,106
fsm,2012,103
fsm,2013,99
fsm,2014,96
fsm,2015,95
fsm,2016,90
fsm,2017,88
gab,2000,380
gab,2001,370
gab,2002,361
gab,2003,356
gab,2004,354
gab,2005,348
gab,2006,340
gab,2007,336
gab,2008,332
gab,2009,324
gab,2010,314
gab,2011,304
gab,2012,292
gab,2013,277
gab,2014,267
gab,2015,261
gab,2016,256
gab,2017,252
gbr,2000,10
gbr,2001,11
gbr,2002,11
gbr,2003,11
gbr,2004,11
gbr,2005,11
gbr,2006,11
gbr,2007,11
gbr,2008,11
gbr,2009,10
gbr,2010,10
gbr,2011,9
gbr,2012,8
gbr,2013,8
gbr,2014,8
gbr,2015,8
gbr,2016,7
gbr,2017,7
geo,2000,31
geo,2001,33
geo,2002,42
geo,2003,37
geo,2004,38
geo,2005,39
geo,2006,33
geo,2007,36
geo,2008,39
geo,2009,43
geo,2010,32
geo,2011,32
geo,2012,30
geo,2013,30
geo,2014,29
geo,2015,27
geo,2016,26
geo,2017,25
gha,2000,484
gha,2001,445
gha,2002,415
gha,2003,398
gha,2004,384
gha,2005,371
gha,2006,359
gha,2007,349
gha,2008,342
gha,2009,339
gha,2010,339
gha,2011,339
gha,2012,336
gha,2013,331
gha,2014,325
gha,2015,320
gha,2016,314
gha,2017,308
gin,2000,1020
gin,2001,1070
gin,2002,1090
gin,2003,1080
gin,2004,1020
gin,2005,920
gin,2006,831
gin,2007,772
gin,2008,754
gin,2009,750
gin,2010,747
gin,2011,748
gin,2012,744
gin,2013,731
gin,2014,767
gin,2015,699
gin,2016,621
gin,2017,576
gmb,2000,932
gmb,2001,905
gmb,2002,876
gmb,2003,843
gmb,2004,802
gmb,2005,756
gmb,2006,716
gmb,2007,690
gmb,2008,675
gmb,2009,668
gmb,2010,661
gmb,2011,656
gmb,2012,650
gmb,2013,644
gmb,2014,637
gmb,2015,625
gmb,2016,611
gmb,2017,597
gnb,2000,1210
gnb,2001,1180
gnb,2002,1150
gnb,2003,1110
gnb,2004,1050
gnb,2005,979
gnb,2006,912
gnb,2007,860
gnb,2008,827
gnb,2009,800
gnb,2010,779
gnb,2011,762
gnb,2012,744
gnb,2013,726
gnb,2014,711
gnb,2015,694
gnb,2016,679
gnb,2017,667
gnq,2000,454
gnq,2001,421
gnq,2002,392
gnq,2003,370
gnq,2004,357
gnq,2005,344
gnq,2006,331
gnq,2007,322
gnq,2008,314
gnq,2009,310
gnq,2010,308
gnq,2011,308
gnq,2012,305
gnq,2013,300
gnq,2014,295
gnq,2015,296
gnq,2016,301
gnq,2017,301
grc,2000,3
grc,2001,3
grc,2002,3
grc,2003,3
grc,2004,3
grc,2005,3
grc,2006,3
grc,2007,3
grc,2008,3
grc,2009,3
grc,2010,3
grc,2011,3
grc,2012,3
grc,2013,3
grc,2014,3
grc,2015,3
grc,2016,3
grc,2017,3
grd,2000,38
grd,2001,36
grd,2002,34
grd,2003,34
grd,2004,38
grd,2005,33
grd,2006,31
grd,2007,31
grd,2008,30
grd,2009,30
grd,2010,29
grd,2011,28
grd,2012,28
grd,2013,27
grd,2014,26
grd,2015,25
grd,2016,25
grd,2017,25
gtm,2000,161
gtm,2001,147
gtm,2002,145
gtm,2003,137
gtm,2004,137
gtm,2005,142
gtm,2006,137
gtm,2007,132
gtm,2008,125
gtm,2009,131
gtm,2010,129
gtm,2011,122
gtm,2012,118
gtm,2013,113
gtm,2014,107
gtm,2015,103
gtm,2016,98
gtm,2017,95
guy,2000,231
guy,2001,216
guy,2002,227
guy,2003,226
guy,2004,220
guy,2005,223
guy,2006,221
guy,2007,208
guy,2008,192
guy,2009,185
guy,2010,179
guy,2011,180
guy,2012,185
guy,2013,175
guy,2014,174
guy,2015,172
guy,2016,170
guy,2017,169
hnd,2000,85
hnd,2001,83
hnd,2002,80
hnd,2003,78
hnd,2004,77
hnd,2005,77
hnd,2006,77
hnd,2007,77
hnd,2008,76
hnd,2009,75
hnd,2010,74
hnd,2011,72
hnd,2012,70
hnd,2013,69
hnd,2014,68
hnd,2015,67
hnd,2016,65
hnd,2017,65
hrv,2000,11
hrv,2001,10
hrv,2002,10
hrv,2003,10
hrv,2004,10
hrv,2005,10
hrv,2006,9
hrv,2007,9
hrv,2008,9
hrv,2009,9
hrv,2010,9
hrv,2011,9
hrv,2012,8
hrv,2013,9
hrv,2014,8
hrv,2015,8
hrv,2016,7
hrv,2017,8
hti,2000,437
hti,2001,437
hti,2002,441
hti,2003,446
hti,2004,513
hti,2005,459
hti,2006,467
hti,2007,473
hti,2008,484
hti,2009,484
hti,2010,506
hti,2011,496
hti,2012,500
hti,2013,496
hti,2014,492
hti,2015,488
hti,2016,489
hti,2017,480
hun,2000,16
hun,2001,15
hun,2002,16
hun,2003,15
hun,2004,15
hun,2005,15
hun,2006,14
hun,2007,15
hun,2008,14
hun,2009,13
hun,2010,13
hun,2011,13
hun,2012,12
hun,2013,12
hun,2014,12
hun,2015,12
hun,2016,12
hun,2017,12
idn,2000,272
idn,2001,269
idn,2002,265
idn,2003,261
idn,2004,264
idn,2005,252
idn,2006,249
idn,2007,243
idn,2008,239
idn,2009,234
idn,2010,228
idn,2011,221
idn,2012,214
idn,2013,207
idn,2014,199
idn,2015,192
idn,2016,184
idn,2017,177
ind,2000,370
ind,2001,354
ind,2002,336
ind,2003,319
ind,2004,303
ind,2005,286
ind,2006,270
ind,2007,255
ind,2008,240
ind,2009,225
ind,2010,210
ind,2011,197
ind,2012,185
ind,2013,175
ind,2014,166
ind,2015,158
ind,2016,150
ind,2017,145
irl,2000,7
irl,2001,7
irl,2002,6
irl,2003,6
irl,2004,6
irl,2005,7
irl,2006,6
irl,2007,6
irl,2008,7
irl,2009,7
irl,2010,6
irl,2011,7
irl,2012,6
irl,2013,6
irl,2014,6
irl,2015,6
irl,2016,6
irl,2017,5
irn,2000,48
irn,2001,44
irn,2002,41
irn,2003,39
irn,2004,36
irn,2005,34
irn,2006,32
irn,2007,30
irn,2008,28
irn,2009,25
irn,2010,22
irn,2011,19
irn,2012,18
irn,2013,17
irn,2014,17
irn,2015,17
irn,2016,16
irn,2017,16
irq,2000,79
irq,2001,76
irq,2002,74
irq,2003,136
irq,2004,122
irq,2005,127
irq,2006,158
irq,2007,138
irq,2008,90
irq,2009,75
irq,2010,70
irq,2011,67
irq,2012,66
irq,2013,75
irq,2014,92
irq,2015,83
irq,2016,78
irq,2017,79
isl,2000,6
isl,2001,6
isl,2002,6
isl,2003,6
isl,2004,6
isl,2005,5
isl,2006,5
isl,2007,5
isl,2008,5
isl,2009,5
isl,2010,5
isl,2011,5
isl,2012,4
isl,2013,4
isl,2014,5
isl,2015,4
isl,2016,4
isl,2017,4
isr,2000,7
isr,2001,7
isr,2002,7
isr,2003,6
isr,2004,6
isr,2005,5
isr,2006,5
isr,2007,5
isr,2008,4
isr,2009,4
isr,2010,4
isr,2011,4
isr,2012,4
isr,2013,4
isr,2014,4
isr,2015,3
isr,2016,3
isr,2017,3
ita,2000,4
ita,2001,3
ita,2002,3
ita,2003,3
ita,2004,3
ita,2005,3
ita,2006,2
ita,2007,2
ita,2008,2
ita,2009,2
ita,2010,2
ita,2011,2
ita,2012,2
ita,2013,2
ita,2014,2
ita,2015,2
ita,2016,2
ita,2017,2
jam,2000,77
jam,2001,79
jam,2002,78
jam,2003,79
jam,2004,80
jam,2005,80
jam,2006,79
jam,2007,79
jam,2008,79
jam,2009,79
jam,2010,79
jam,2011,79
jam,2012,79
jam,2013,79
jam,2014,78
jam,2015,78
jam,2016,80
jam,2017,80
jor,2000,70
jor,2001,68
jor,2002,65
jor,2003,63
jor,2004,62
jor,2005,62
jor,2006,58
jor,2007,56
jor,2008,55
jor,2009,54
jor,2010,53
jor,2011,52
jor,2012,52
jor,2013,51
jor,2014,49
jor,2015,48
jor,2016,47
jor,2017,46
jpn,2000,9
jpn,2001,8
jpn,2002,8
jpn,2003,7
jpn,2004,7
jpn,2005,7
jpn,2006,7
jpn,2007,6
jpn,2008,6
jpn,2009,6
jpn,2010,6
jpn,2011,6
jpn,2012,5
jpn,2013,5
jpn,2014,5
jpn,2015,5
jpn,2016,5
jpn,2017,5
kaz,2000,61
kaz,2001,57
kaz,2002,52
kaz,2003,49
kaz,2004,46
kaz,2005,43
kaz,2006,40
kaz,2007,36
kaz,2008,30
kaz,2009,24
kaz,2010,22
kaz,2011,19
kaz,2012,17
kaz,2013,14
kaz,2014,13
kaz,2015,12
kaz,2016,10
kaz,2017,10
ken,2000,708
ken,2001,702
ken,2002,692
ken,2003,678
ken,2004,653
ken,2005,618
ken,2006,583
ken,2007,545
ken,2008,513
ken,2009,472
ken,2010,432
ken,2011,398
ken,2012,373
ken,2013,364
ken,2014,358
ken,2015,353
ken,2016,346
ken,2017,342
kgz,2000,79
kgz,2001,76
kgz,2002,83
kgz,2003,82
kgz,2004,79
kgz,2005,82
kgz,2006,85
kgz,2007,84
kgz,2008,81
kgz,2009,80
kgz,2010,79
kgz,2011,79
kgz,2012,74
kgz,2013,70
kgz,2014,69
kgz,2015,66
kgz,2016,63
kgz,2017,60
khm,2000,488
khm,2001,456
khm,2002,430
khm,2003,404
khm,2004,378
khm,2005,351
khm,2006,326
khm,2007,303
khm,2008,284
khm,2009,265
khm,2010,248
khm,2011,232
khm,2012,215
khm,2013,202
khm,2014,189
khm,2015,178
khm,2016,168
khm,2017,160
kir,2000,136
kir,2001,131
kir,2002,127
kir,2003,124
kir,2004,121
kir,2005,119
kir,2006,117
kir,2007,115
kir,2008,115
kir,2009,113
kir,2010,112
kir,2011,110
kir,2012,107
kir,2013,104
kir,2014,100
kir,2015,97
kir,2016,94
kir,2017,92
kor,2000,17
kor,2001,15
kor,2002,15
kor,2003,16
kor,2004,15
kor,2005,15
kor,2006,14
kor,2007,15
kor,2008,15
kor,2009,16
kor,2010,15
kor,2011,14
kor,2012,13
kor,2013,13
kor,2014,12
kor,2015,12
kor,2016,11
kor,2017,11
kwt,2000,10
kwt,2001,10
kwt,2002,10
kwt,2003,10
kwt,2004,10
kwt,2005,10
kwt,2006,10
kwt,2007,10
kwt,2008,10
kwt,2009,10
kwt,2010,10
kwt,2011,10
kwt,2012,11
kwt,2013,11
kwt,2014,11
kwt,2015,11
kwt,2016,12
kwt,2017,12
lao,2000,544
lao,2001,517
lao,2002,491
lao,2003,465
lao,2004,437
lao,2005,410
lao,2006,385
lao,2007,360
lao,2008,336
lao,2009,314
lao,2010,292
lao,2011,272
lao,2012,254
lao,2013,238
lao,2014,223
lao,2015,209
lao,2016,196
lao,2017,185
lbn,2000,28
lbn,2001,27
lbn,2002,26
lbn,2003,25
lbn,2004,24
lbn,2005,24
lbn,2006,24
lbn,2007,23
lbn,2008,23
lbn,2009,23
lbn,2010,23
lbn,2011,25
lbn,2012,25
lbn,2013,27
lbn,2014,28
lbn,2015,29
lbn,2016,29
lbn,2017,29
lbr,2000,894
lbr,2001,913
lbr,2002,1010
lbr,2003,878
lbr,2004,837
lbr,2005,816
lbr,2006,782
