country,time,female_hos
alb,2007,Never had a female head of state
alb,2008,Never had a female head of state
alb,2009,Never had a female head of state
alb,2010,Never had a female head of state
alb,2011,Never had a female head of state
alb,2012,Never had a female head of state
alb,2013,Never had a female head of state
alb,2014,Never had a female head of state
alb,2015,Never had a female head of state
alb,2016,Never had a female head of state
alb,2017,Never had a female head of state
alb,2018,Never had a female head of state
alb,2019,Never had a female head of state
alb,2020,Never had a female head of state
alb,2021,Never had a female head of state
and,1953,Never had a female head of state
and,1954,Never had a female head of state
and,1955,Never had a female head of state
and,1956,Never had a female head of state
and,1957,Never had a female head of state
and,1958,Never had a female head of state
and,1959,Never had a female head of state
and,1960,Never had a female head of state
and,1961,Never had a female head of state
and,1962,Never had a female head of state
and,1963,Never had a female head of state
and,1964,Never had a female head of state
and,1965,Never had a female head of state
and,1966,Never had a female head of state
and,1967,Never had a female head of state
and,1968,Never had a female head of state
and,1969,Never had a female head of state
and,1970,Never had a female head of state
and,1971,Never had a female head of state
and,1972,Never had a female head of state
and,1973,Never had a female head of state
and,1974,Never had a female head of state
and,1975,Never had a female head of state
and,1976,Never had a female head of state
and,1977,Never had a female head of state
and,1978,Never had a female head of state
and,1979,Never had a female head of state
and,1980,Never had a female head of state
and,1981,Never had a female head of state
and,1982,Never had a female head of state
and,1983,Never had a female head of state
and,1984,Never had a female head of state
and,1985,Never had a female head of state
and,1986,Never had a female head of state
and,1987,Never had a female head of state
and,1988,Never had a female head of state
and,1989,Never had a female head of state
and,1990,Never had a female head of state
and,1991,Never had a female head of state
and,1992,Never had a female head of state
and,1993,Never had a female head of state
and,1994,Never had a female head of state
and,1995,Never had a female head of state
and,1996,Never had a female head of state
and,1997,Never had a female head of state
and,1998,Never had a female head of state
and,1999,Never had a female head of state
and,2000,Never had a female head of state
and,2001,Never had a female head of state
and,2002,Never had a female head of state
and,2003,Never had a female head of state
and,2004,Never had a female head of state
and,2005,Never had a female head of state
and,2006,Never had a female head of state
and,2007,Never had a female head of state
and,2008,Never had a female head of state
and,2009,Never had a female head of state
and,2010,Never had a female head of state
and,2011,Never had a female head of state
and,2012,Never had a female head of state
and,2013,Never had a female head of state
and,2014,Never had a female head of state
and,2015,Never had a female head of state
and,2016,Never had a female head of state
and,2017,Never had a female head of state
and,2018,Never had a female head of state
and,2019,Never had a female head of state
and,2020,Never had a female head of state
and,2021,Never had a female head of state
are,1953,Never had a female head of state
are,1954,Never had a female head of state
are,1955,Never had a female head of state
are,1956,Never had a female head of state
are,1957,Never had a female head of state
are,1958,Never had a female head of state
are,1959,Never had a female head of state
are,1960,Never had a female head of state
are,1961,Never had a female head of state
are,1962,Never had a female head of state
are,1963,Never had a female head of state
are,1964,Never had a female head of state
are,1965,Never had a female head of state
are,1966,Never had a female head of state
are,1967,Never had a female head of state
are,1968,Never had a female head of state
are,1969,Never had a female head of state
are,1970,Never had a female head of state
are,1971,Never had a female head of state
are,1972,Never had a female head of state
are,1973,Never had a female head of state
are,1974,Never had a female head of state
are,1975,Never had a female head of state
are,1976,Never had a female head of state
are,1977,Never had a female head of state
are,1978,Never had a female head of state
are,1979,Never had a female head of state
are,1980,Never had a female head of state
are,1981,Never had a female head of state
are,1982,Never had a female head of state
are,1983,Never had a female head of state
are,1984,Never had a female head of state
are,1985,Never had a female head of state
are,1986,Never had a female head of state
are,1987,Never had a female head of state
are,1988,Never had a female head of state
are,1989,Never had a female head of state
are,1990,Never had a female head of state
are,1991,Never had a female head of state
are,1992,Never had a female head of state
are,1993,Never had a female head of state
are,1994,Never had a female head of state
are,1995,Never had a female head of state
are,1996,Never had a female head of state
are,1997,Never had a female head of state
are,1998,Never had a female head of state
are,1999,Never had a female head of state
are,2000,Never had a female head of state
are,2001,Never had a female head of state
are,2002,Never had a female head of state
are,2003,Never had a female head of state
are,2004,Never had a female head of state
are,2005,Never had a female head of state
are,2006,Never had a female head of state
are,2007,Never had a female head of state
are,2008,Never had a female head of state
are,2009,Never had a female head of state
are,2010,Never had a female head of state
are,2011,Never had a female head of state
are,2012,Never had a female head of state
are,2013,Never had a female head of state
are,2014,Never had a female head of state
are,2015,Never had a female head of state
are,2016,Never had a female head of state
are,2017,Never had a female head of state
are,2018,Never had a female head of state
are,2019,Never had a female head of state
are,2020,Never had a female head of state
are,2021,Never had a female head of state
arg,1953,Never had a female head of state
arg,1954,Never had a female head of state
arg,1955,Never had a female head of state
arg,1956,Never had a female head of state
arg,1957,Never had a female head of state
arg,1958,Never had a female head of state
arg,1959,Never had a female head of state
arg,1960,Never had a female head of state
arg,1961,Never had a female head of state
arg,1962,Never had a female head of state
arg,1963,Never had a female head of state
arg,1964,Never had a female head of state
arg,1965,Never had a female head of state
arg,1966,Never had a female head of state
arg,1967,Never had a female head of state
arg,1968,Never had a female head of state
arg,1969,Never had a female head of state
arg,1970,Never had a female head of state
arg,1971,Never had a female head of state
arg,1972,Never had a female head of state
arg,1973,Never had a female head of state
arg,1974,Had a female head of state
arg,1975,Had a female head of state
arg,1976,Had a female head of state
arg,1977,Had a female head of state
arg,1978,Had a female head of state
arg,1979,Had a female head of state
arg,1980,Had a female head of state
arg,1981,Had a female head of state
arg,1982,Had a female head of state
arg,1983,Had a female head of state
arg,1984,Had a female head of state
arg,1985,Had a female head of state
arg,1986,Had a female head of state
arg,1987,Had a female head of state
arg,1988,Had a female head of state
arg,1989,Had a female head of state
arg,1990,Had a female head of state
arg,1991,Had a female head of state
arg,1992,Had a female head of state
arg,1993,Had a female head of state
arg,1994,Had a female head of state
arg,1995,Had a female head of state
arg,1996,Had a female head of state
arg,1997,Had a female head of state
arg,1998,Had a female head of state
arg,1999,Had a female head of state
arg,2000,Had a female head of state
arg,2001,Had a female head of state
arg,2002,Had a female head of state
arg,2003,Had a female head of state
arg,2004,Had a female head of state
arg,2005,Had a female head of state
arg,2006,Had a female head of state
arg,2007,Had a female head of state
arg,2008,Had a female head of state
arg,2009,Had a female head of state
arg,2010,Had a female head of state
arg,2011,Had a female head of state
arg,2012,Had a female head of state
arg,2013,Had a female head of state
arg,2014,Had a female head of state
arg,2015,Had a female head of state
arg,2016,Had a female head of state
arg,2017,Had a female head of state
arg,2018,Had a female head of state
arg,2019,Had a female head of state
arm,1953,Never had a female head of state
arm,1954,Never had a female head of state
arm,1955,Never had a female head of state
arm,1956,Never had a female head of state
arm,1957,Never had a female head of state
arm,1958,Never had a female head of state
arm,1959,Never had a female head of state
arm,1960,Never had a female head of state
arm,1961,Never had a female head of state
arm,1962,Never had a female head of state
arm,1963,Never had a female head of state
arm,1964,Never had a female head of state
arm,1965,Never had a female head of state
arm,1966,Never had a female head of state
arm,1967,Never had a female head of state
arm,1968,Never had a female head of state
arm,1969,Never had a female head of state
arm,1970,Never had a female head of state
arm,1971,Never had a female head of state
arm,1972,Never had a female head of state
arm,1973,Never had a female head of state
arm,1974,Never had a female head of state
arm,1975,Never had a female head of state
arm,1976,Never had a female head of state
arm,1977,Never had a female head of state
arm,1978,Never had a female head of state
arm,1979,Never had a female head of state
arm,1980,Never had a female head of state
arm,1981,Never had a female head of state
arm,1982,Never had a female head of state
arm,1983,Never had a female head of state
arm,1984,Never had a female head of state
arm,1985,Never had a female head of state
arm,1986,Never had a female head of state
arm,1987,Never had a female head of state
arm,1988,Never had a female head of state
arm,1989,Never had a female head of state
arm,1990,Never had a female head of state
arm,1991,Never had a female head of state
arm,1992,Never had a female head of state
arm,1993,Never had a female head of state
arm,1994,Never had a female head of state
arm,1995,Never had a female head of state
arm,1996,Never had a female head of state
arm,1997,Never had a female head of state
arm,1998,Never had a female head of state
arm,1999,Never had a female head of state
arm,2000,Never had a female head of state
arm,2001,Never had a female head of state
arm,2002,Never had a female head of state
arm,2003,Never had a female head of state
arm,2004,Never had a female head of state
arm,2005,Never had a female head of state
arm,2006,Never had a female head of state
arm,2007,Never had a female head of state
arm,2008,Never had a female head of state
arm,2009,Never had a female head of state
arm,2010,Never had a female head of state
arm,2011,Never had a female head of state
arm,2012,Never had a female head of state
arm,2013,Never had a female head of state
arm,2014,Never had a female head of state
arm,2015,Never had a female head of state
arm,2016,Never had a female head of state
arm,2017,Never had a female head of state
arm,2018,Never had a female head of state
arm,2019,Never had a female head of state
arm,2020,Never had a female head of state
arm,2021,Never had a female head of state
atg,1953,Never had a female head of state
atg,1954,Never had a female head of state
atg,1955,Never had a female head of state
atg,1956,Never had a female head of state
atg,1957,Never had a female head of state
atg,1958,Never had a female head of state
atg,1959,Never had a female head of state
atg,1960,Never had a female head of state
atg,1961,Never had a female head of state
atg,1962,Never had a female head of state
atg,1963,Never had a female head of state
atg,1964,Never had a female head of state
atg,1965,Never had a female head of state
atg,1966,Never had a female head of state
atg,1967,Never had a female head of state
atg,1968,Never had a female head of state
atg,1969,Never had a female head of state
atg,1970,Never had a female head of state
atg,1971,Never had a female head of state
atg,1972,Never had a female head of state
atg,1973,Never had a female head of state
atg,1974,Never had a female head of state
atg,1975,Never had a female head of state
atg,1976,Never had a female head of state
atg,1977,Never had a female head of state
atg,1978,Never had a female head of state
atg,1979,Never had a female head of state
atg,1980,Never had a female head of state
atg,1981,Never had a female head of state
atg,1982,Never had a female head of state
atg,1983,Never had a female head of state
atg,1984,Never had a female head of state
atg,1985,Never had a female head of state
atg,1986,Never had a female head of state
atg,1987,Never had a female head of state
atg,1988,Never had a female head of state
atg,1989,Never had a female head of state
atg,1990,Never had a female head of state
atg,1991,Never had a female head of state
atg,1992,Never had a female head of state
atg,1993,Never had a female head of state
atg,1994,Never had a female head of state
atg,1995,Never had a female head of state
atg,1996,Never had a female head of state
atg,1997,Never had a female head of state
atg,1998,Never had a female head of state
atg,1999,Never had a female head of state
atg,2000,Never had a female head of state
atg,2001,Never had a female head of state
atg,2002,Never had a female head of state
atg,2003,Never had a female head of state
atg,2004,Never had a female head of state
atg,2005,Never had a female head of state
atg,2006,Never had a female head of state
atg,2007,Never had a female head of state
atg,2008,Never had a female head of state
atg,2009,Never had a female head of state
atg,2010,Never had a female head of state
atg,2011,Never had a female head of state
atg,2012,Never had a female head of state
atg,2013,Never had a female head of state
atg,2014,Never had a female head of state
atg,2015,Never had a female head of state
atg,2016,Never had a female head of state
atg,2017,Never had a female head of state
atg,2018,Never had a female head of state
atg,2019,Never had a female head of state
atg,2020,Never had a female head of state
atg,2021,Never had a female head of state
aus,1953,Never had a female head of state
aus,1954,Never had a female head of state
aus,1955,Never had a female head of state
aus,1956,Never had a female head of state
aus,1957,Never had a female head of state
aus,1958,Never had a female head of state
aus,1959,Never had a female head of state
aus,1960,Never had a female head of state
aus,1961,Never had a female head of state
aus,1962,Never had a female head of state
aus,1963,Never had a female head of state
aus,1964,Never had a female head of state
aus,1965,Never had a female head of state
aus,1966,Never had a female head of state
aus,1967,Never had a female head of state
aus,1968,Never had a female head of state
aus,1969,Never had a female head of state
aus,1970,Never had a female head of state
aus,1971,Never had a female head of state
aus,1972,Never had a female head of state
aus,1973,Never had a female head of state
aus,1974,Never had a female head of state
aus,1975,Never had a female head of state
aus,1976,Never had a female head of state
aus,1977,Never had a female head of state
aus,1978,Never had a female head of state
aus,1979,Never had a female head of state
aus,1980,Never had a female head of state
aus,1981,Never had a female head of state
aus,1982,Never had a female head of state
aus,1983,Never had a female head of state
aus,1984,Never had a female head of state
aus,1985,Never had a female head of state
aus,1986,Never had a female head of state
aus,1987,Never had a female head of state
aus,1988,Never had a female head of state
aus,1989,Never had a female head of state
aus,1990,Never had a female head of state
aus,1991,Never had a female head of state
aus,1992,Never had a female head of state
aus,1993,Never had a female head of state
aus,1994,Never had a female head of state
aus,1995,Never had a female head of state
aus,1996,Never had a female head of state
aus,1997,Never had a female head of state
aus,1998,Never had a female head of state
aus,1999,Never had a female head of state
aus,2000,Never had a female head of state
aus,2001,Never had a female head of state
aus,2002,Never had a female head of state
aus,2003,Never had a female head of state
aus,2004,Never had a female head of state
aus,2005,Never had a female head of state
aus,2006,Never had a female head of state
aus,2007,Never had a female head of state
aus,2008,Never had a female head of state
aus,2009,Never had a female head of state
aus,2010,Had a female head of state
aus,2011,Had a female head of state
aus,2012,Had a female head of state
aus,2013,Had a female head of state
aus,2014,Had a female head of state
aus,2015,Had a female head of state
aus,2016,Had a female head of state
aus,2017,Had a female head of state
aus,2018,Had a female head of state
aus,2019,Had a female head of state
aut,1953,Never had a female head of state
aut,1954,Never had a female head of state
aut,1955,Never had a female head of state
aut,1956,Never had a female head of state
aut,1957,Never had a female head of state
aut,1958,Never had a female head of state
aut,1959,Never had a female head of state
aut,1960,Never had a female head of state
aut,1961,Never had a female head of state
aut,1962,Never had a female head of state
aut,1963,Never had a female head of state
aut,1964,Never had a female head of state
aut,1965,Never had a female head of state
aut,1966,Never had a female head of state
aut,1967,Never had a female head of state
aut,1968,Never had a female head of state
aut,1969,Never had a female head of state
aut,1970,Never had a female head of state
aut,1971,Never had a female head of state
aut,1972,Never had a female head of state
aut,1973,Never had a female head of state
aut,1974,Never had a female head of state
aut,1975,Never had a female head of state
aut,1976,Never had a female head of state
aut,1977,Never had a female head of state
aut,1978,Never had a female head of state
aut,1979,Never had a female head of state
aut,1980,Never had a female head of state
aut,1981,Never had a female head of state
aut,1982,Never had a female head of state
aut,1983,Never had a female head of state
aut,1984,Never had a female head of state
aut,1985,Never had a female head of state
aut,1986,Never had a female head of state
aut,1987,Never had a female head of state
aut,1988,Never had a female head of state
aut,1989,Never had a female head of state
aut,1990,Never had a female head of state
aut,1991,Never had a female head of state
aut,1992,Never had a female head of state
aut,1993,Never had a female head of state
aut,1994,Never had a female head of state
aut,1995,Never had a female head of state
aut,1996,Never had a female head of state
aut,1997,Never had a female head of state
aut,1998,Never had a female head of state
aut,1999,Never had a female head of state
aut,2000,Never had a female head of state
aut,2001,Never had a female head of state
aut,2002,Never had a female head of state
aut,2003,Never had a female head of state
aut,2004,Had a female head of state
aut,2005,Had a female head of state
aut,2006,Had a female head of state
aut,2007,Had a female head of state
aut,2008,Had a female head of state
aut,2009,Had a female head of state
aut,2010,Had a female head of state
aut,2011,Had a female head of state
aut,2012,Had a female head of state
aut,2013,Had a female head of state
aut,2014,Had a female head of state
aut,2015,Had a female head of state
aut,2016,Had a female head of state
aut,2017,Had a female head of state
aut,2018,Had a female head of state
aut,2019,Had a female head of state
aze,1953,Never had a female head of state
aze,1954,Never had a female head of state
aze,1955,Never had a female head of state
aze,1956,Never had a female head of state
aze,1957,Never had a female head of state
aze,1958,Never had a female head of state
aze,1959,Never had a female head of state
aze,1960,Never had a female head of state
aze,1961,Never had a female head of state
aze,1962,Never had a female head of state
aze,1963,Never had a female head of state
aze,1964,Never had a female head of state
aze,1965,Never had a female head of state
aze,1966,Never had a female head of state
aze,1967,Never had a female head of state
aze,1968,Never had a female head of state
aze,1969,Never had a female head of state
aze,1970,Never had a female head of state
aze,1971,Never had a female head of state
aze,1972,Never had a female head of state
aze,1973,Never had a female head of state
aze,1974,Never had a female head of state
aze,1975,Never had a female head of state
aze,1976,Never had a female head of state
aze,1977,Never had a female head of state
aze,1978,Never had a female head of state
aze,1979,Never had a female head of state
aze,1980,Never had a female head of state
aze,1981,Never had a female head of state
aze,1982,Never had a female head of state
aze,1983,Never had a female head of state
aze,1984,Never had a female head of state
aze,1985,Never had a female head of state
aze,1986,Never had a female head of state
aze,1987,Never had a female head of state
aze,1988,Never had a female head of state
aze,1989,Never had a female head of state
aze,1990,Never had a female head of state
aze,1991,Never had a female head of state
aze,1992,Never had a female head of state
aze,1993,Never had a female head of state
aze,1994,Never had a female head of state
aze,1995,Never had a female head of state
aze,1996,Never had a female head of state
aze,1997,Never had a female head of state
aze,1998,Never had a female head of state
aze,1999,Never had a female head of state
aze,2000,Never had a female head of state
aze,2001,Never had a female head of state
aze,2002,Never had a female head of state
aze,2003,Never had a female head of state
aze,2004,Never had a female head of state
aze,2005,Never had a female head of state
aze,2006,Never had a female head of state
aze,2007,Never had a female head of state
aze,2008,Never had a female head of state
aze,2009,Never had a female head of state
aze,2010,Never had a female head of state
aze,2011,Never had a female head of state
aze,2012,Never had a female head of state
aze,2013,Never had a female head of state
aze,2014,Never had a female head of state
aze,2015,Never had a female head of state
aze,2016,Never had a female head of state
aze,2017,Never had a female head of state
aze,2018,Never had a female head of state
aze,2019,Never had a female head of state
aze,2020,Never had a female head of state
aze,2021,Never had a female head of state
bdi,1953,Never had a female head of state
bdi,1954,Never had a female head of state
bdi,1955,Never had a female head of state
bdi,1956,Never had a female head of state
bdi,1957,Never had a female head of state
bdi,1958,Never had a female head of state
bdi,1959,Never had a female head of state
bdi,1960,Never had a female head of state
bdi,1961,Never had a female head of state
bdi,1962,Never had a female head of state
bdi,1963,Never had a female head of state
bdi,1964,Never had a female head of state
bdi,1965,Never had a female head of state
bdi,1966,Never had a female head of state
bdi,1967,Never had a female head of state
bdi,1968,Never had a female head of state
bdi,1969,Never had a female head of state
bdi,1970,Never had a female head of state
bdi,1971,Never had a female head of state
bdi,1972,Never had a female head of state
bdi,1973,Never had a female head of state
bdi,1974,Never had a female head of state
bdi,1975,Never had a female head of state
bdi,1976,Never had a female head of state
bdi,1977,Never had a female head of state
bdi,1978,Never had a female head of state
bdi,1979,Never had a female head of state
bdi,1980,Never had a female head of state
bdi,1981,Never had a female head of state
bdi,1982,Never had a female head of state
bdi,1983,Never had a female head of state
bdi,1984,Never had a female head of state
bdi,1985,Never had a female head of state
bdi,1986,Never had a female head of state
bdi,1987,Never had a female head of state
bdi,1988,Never had a female head of state
bdi,1989,Never had a female head of state
bdi,1990,Never had a female head of state
bdi,1991,Never had a female head of state
bdi,1992,Never had a female head of state
bdi,1993,Had a female head of state
bdi,1994,Had a female head of state
bdi,1995,Had a female head of state
bdi,1996,Had a female head of state
bdi,1997,Had a female head of state
bdi,1998,Had a female head of state
bdi,1999,Had a female head of state
bdi,2000,Had a female head of state
bdi,2001,Had a female head of state
bdi,2002,Had a female head of state
bdi,2003,Had a female head of state
bdi,2004,Had a female head of state
bdi,2005,Had a female head of state
bdi,2006,Had a female head of state
bdi,2007,Had a female head of state
bdi,2008,Had a female head of state
bdi,2009,Had a female head of state
bdi,2010,Had a female head of state
bdi,2011,Had a female head of state
bdi,2012,Had a female head of state
bdi,2013,Had a female head of state
bdi,2014,Had a female head of state
bdi,2015,Had a female head of state
bdi,2016,Had a female head of state
bdi,2017,Had a female head of state
bdi,2018,Had a female head of state
bdi,2019,Had a female head of state
bel,1953,Never had a female head of state
bel,1954,Never had a female head of state
bel,1955,Never had a female head of state
bel,1956,Never had a female head of state
bel,1957,Never had a female head of state
bel,1958,Never had a female head of state
bel,1959,Never had a female head of state
bel,1960,Never had a female head of state
bel,1961,Never had a female head of state
bel,1962,Never had a female head of state
bel,1963,Never had a female head of state
bel,1964,Never had a female head of state
bel,1965,Never had a female head of state
bel,1966,Never had a female head of state
bel,1967,Never had a female head of state
bel,1968,Never had a female head of state
bel,1969,Never had a female head of state
bel,1970,Never had a female head of state
bel,1971,Never had a female head of state
bel,1972,Never had a female head of state
bel,1973,Never had a female head of state
bel,1974,Never had a female head of state
bel,1975,Never had a female head of state
bel,1976,Never had a female head of state
bel,1977,Never had a female head of state
bel,1978,Never had a female head of state
bel,1979,Never had a female head of state
bel,1980,Never had a female head of state
bel,1981,Never had a female head of state
bel,1982,Never had a female head of state
bel,1983,Never had a female head of state
bel,1984,Never had a female head of state
bel,1985,Never had a female head of state
bel,1986,Never had a female head of state
bel,1987,Never had a female head of state
bel,1988,Never had a female head of state
bel,1989,Never had a female head of state
bel,1990,Never had a female head of state
bel,1991,Never had a female head of state
bel,1992,Never had a female head of state
bel,1993,Never had a female head of state
bel,1994,Never had a female head of state
bel,1995,Never had a female head of state
bel,1996,Never had a female head of state
bel,1997,Never had a female head of state
bel,1998,Never had a female head of state
bel,1999,Never had a female head of state
bel,2000,Never had a female head of state
bel,2001,Never had a female head of state
bel,2002,Never had a female head of state
bel,2003,Never had a female head of state
bel,2004,Never had a female head of state
bel,2005,Never had a female head of state
bel,2006,Never had a female head of state
bel,2007,Never had a female head of state
bel,2008,Never had a female head of state
bel,2009,Never had a female head of state
bel,2010,Never had a female head of state
bel,2011,Never had a female head of state
bel,2012,Never had a female head of state
bel,2013,Never had a female head of state
bel,2014,Never had a female head of state
bel,2015,Never had a female head of state
bel,2016,Never had a female head of state
bel,2017,Never had a female head of state
bel,2018,Never had a female head of state
bel,2019,Had a female head of state
ben,1953,Never had a female head of state
ben,1954,Never had a female head of state
ben,1955,Never had a female head of state
ben,1956,Never had a female head of state
ben,1957,Never had a female head of state
ben,1958,Never had a female head of state
ben,1959,Never had a female head of state
ben,1960,Never had a female head of state
ben,1961,Never had a female head of state
ben,1962,Never had a female head of state
ben,1963,Never had a female head of state
ben,1964,Never had a female head of state
ben,1965,Never had a female head of state
ben,1966,Never had a female head of state
ben,1967,Never had a female head of state
ben,1968,Never had a female head of state
ben,1969,Never had a female head of state
ben,1970,Never had a female head of state
ben,1971,Never had a female head of state
ben,1972,Never had a female head of state
ben,1973,Never had a female head of state
ben,1974,Never had a female head of state
ben,1975,Never had a female head of state
ben,1976,Never had a female head of state
ben,1977,Never had a female head of state
ben,1978,Never had a female head of state
ben,1979,Never had a female head of state
ben,1980,Never had a female head of state
ben,1981,Never had a female head of state
ben,1982,Never had a female head of state
ben,1983,Never had a female head of state
ben,1984,Never had a female head of state
ben,1985,Never had a female head of state
ben,1986,Never had a female head of state
ben,1987,Never had a female head of state
ben,1988,Never had a female head of state
ben,1989,Never had a female head of state
ben,1990,Never had a female head of state
ben,1991,Never had a female head of state
ben,1992,Never had a female head of state
ben,1993,Never had a female head of state
ben,1994,Never had a female head of state
ben,1995,Never had a female head of state
ben,1996,Never had a female head of state
ben,1997,Never had a female head of state
ben,1998,Never had a female head of state
ben,1999,Never had a female head of state
ben,2000,Never had a female head of state
ben,2001,Never had a female head of state
ben,2002,Never had a female head of state
ben,2003,Never had a female head of state
ben,2004,Never had a female head of state
ben,2005,Never had a female head of state
ben,2006,Never had a female head of state
ben,2007,Never had a female head of state
ben,2008,Never had a female head of state
