country,time,popcit_500k_1m
can,1955,587516
can,1960,620415
can,1965,1338817
can,1970,1115395
can,1975,2843467
can,1980,3612425
can,1985,3985637
can,1990,4369265
can,1995,4609598
can,2000,3866288
can,2005,2092303
can,2010,2197426
can,2015,2822658
can,2020,3480086
can,2025,3635120
can,2030,3802151
can,2035,3967017
che,1950,0
che,1955,514131
che,1960,535471
che,1965,614123
che,1970,710580
che,1975,713293
che,1980,706766
che,1985,836284
che,1990,0
che,1995,0
che,2000,0
che,2005,501712
che,2010,1054833
che,2015,1114071
che,2020,1172400
che,2025,1223240
che,2030,1273169
che,2035,1833153
chl,1950,0
chl,1955,0
chl,1960,0
chl,1965,0
chl,1970,531590
chl,1975,581035
chl,1980,635093
chl,1985,1185003
chl,1990,1283728
chl,1995,1370550
chl,2000,1451479
chl,2005,1543683
chl,2010,1645748
chl,2015,1754836
chl,2020,1864473
chl,2025,1454243
chl,2030,1512828
chl,2035,1558526
chn,1950,6578726
chn,1955,7393873
chn,1960,9305270
chn,1965,13042514
chn,1970,16530038
chn,1975,18511966
chn,1980,20618106
chn,1985,24169352
chn,1990,25637698
chn,1995,37430308
chn,2000,57011415
chn,2005,73149332
chn,2010,85820155
chn,2015,104489993
chn,2020,118960351
chn,2025,119110973
chn,2030,127070808
chn,2035,129243559
civ,1950,0
civ,1955,0
civ,1960,0
civ,1965,0
civ,1970,548246
civ,1975,966025
civ,1980,0
civ,1985,0
civ,1990,0
civ,1995,0
civ,2000,0
civ,2005,0
civ,2010,516863
civ,2015,542650
civ,2020,571876
civ,2025,635556
civ,2030,742763
civ,2035,873326
cmr,1950,0
cmr,1955,0
cmr,1960,0
cmr,1965,0
cmr,1970,0
cmr,1975,0
cmr,1980,570741
cmr,1985,1317718
cmr,1990,1717551
cmr,1995,0
cmr,2000,0
cmr,2005,0
cmr,2010,0
cmr,2015,0
cmr,2020,533257
cmr,2025,1888223
cmr,2030,2821431
cmr,2035,3818711
cod,1950,0
cod,1955,0
cod,1960,0
cod,1965,717018
cod,1970,0
cod,1975,0
cod,1980,0
cod,1985,1097416
cod,1990,1362215
cod,1995,1691139
cod,2000,1189806
cod,2005,1462082
cod,2010,2958669
cod,2015,1523880
cod,2020,3897839
cod,2025,5502372
cod,2030,5229967
cod,2035,4797498
cog,1950,0
cog,1955,0
cog,1960,0
cog,1965,0
cog,1970,0
cog,1975,0
cog,1980,0
cog,1985,596061
cog,1990,703509
cog,1995,830327
cog,2000,538874
cog,2005,663148
cog,2010,816128
cog,2015,0
cog,2020,0
cog,2025,0
cog,2030,0
cog,2035,0
