country,time,non_net_users_num
arm,2005,2824657
arm,2006,2791696
arm,2007,2756035
arm,2008,2727052
arm,2009,2446216
arm,2010,2157986
arm,2011,1956044
arm,2012,1802649
arm,2013,1683502
arm,2014,1321567
arm,2015,1196483
arm,2016,1046854
arm,2017,1038188
arm,2018,1040639
arm,2019,1042750
atg,1990,62533
atg,1991,63363
atg,1992,64459
atg,1993,65777
atg,1994,67201
atg,1995,67161
atg,1996,68170
atg,1997,69211
atg,1998,70238
atg,1999,70716
atg,2000,71080
atg,2001,70341
atg,2002,68511
atg,2003,65647
atg,2004,60850
atg,2005,59467
atg,2006,57901
atg,2007,55459
atg,2008,52944
atg,2009,50311
atg,2010,46656
atg,2011,42840
atg,2012,37971
atg,2013,33493
atg,2014,29823
atg,2015,28071
atg,2016,25520
atg,2017,22902
atg,2018,23108
atg,2019,23308
aus,1990,16861364
aus,1991,17000635
aus,1992,17094376
aus,1993,17255616
aus,1994,17401245
aus,1995,17496537
aus,1996,17593530
aus,1997,15377330
aus,1998,12859769
aus,1999,11125650
aus,2000,10111780
aus,2001,9081136
aus,2002,9178922
aus,2003,9284329
aus,2004,9405203
aus,2005,7466061
aus,2006,6978942
aus,2007,6389942
aus,2008,6043439
aus,2009,5600844
aus,2010,5317125
aus,2011,4623063
aus,2012,4809830
aus,2013,3847874
aus,2014,3775428
aus,2015,3695058
aus,2016,3265761
aus,2017,3307860
aus,2018,3350046
aus,2019,3391091
aut,1990,7713884
aut,1991,7752560
aut,1992,7780599
aut,1993,7831687
aut,1994,7836477
aut,1995,7839083
aut,1996,7463886
aut,1997,7267021
aut,1998,6801027
aut,1999,6195793
aut,2000,5347501
aut,2001,4924609
aut,2002,5160465
aut,2003,4684765
aut,2004,3756726
aut,2005,3466536
aut,2006,3015866
aut,2007,2546496
aut,2008,2263056
aut,2009,2222941
aut,2010,2088189
aut,2011,1797214
aut,2012,1697895
aut,2013,1658292
aut,2014,1637251
aut,2015,1393785
aut,2016,1371254
aut,2017,1064068
aut,2018,1092707
aut,2019,1096804
aze,1990,7242758
aze,1991,7357945
aze,1992,7471924
aze,1993,7581754
aze,1994,7683594
aze,1995,7775258
aze,1996,7855059
aze,1997,7923672
aze,1998,7986908
aze,1999,8046134
aze,2000,8110741
aze,2001,8172247
aze,2002,7863236
aze,2003,7943386
aze,2004,8026516
aze,2005,7852927
aze,2006,7595208
aze,2007,7455733
aze,2008,7315094
aze,2009,6479102
aze,2010,4877531
aze,2011,4573139
aze,2012,4243225
aze,2013,2534076
aze,2014,2376404
aze,2015,2213230
aze,2016,2122457
aze,2017,2067516
aze,2018,2009806
aze,2019,2029639
bdi,1990,5438959
bdi,1991,5564923
bdi,1992,5685569
bdi,1993,5798054
bdi,1994,5898964
bdi,1995,5987044
bdi,1996,6060061
bdi,1997,6121641
bdi,1998,6184584
bdi,1999,6264675
bdi,2000,6373943
bdi,2001,6518629
bdi,2002,6696192
bdi,2003,6895255
bdi,2004,7106794
bdi,2005,7324929
bdi,2006,7557821
bdi,2007,7807190
bdi,2008,8060283
bdi,2009,8322082
bdi,2010,8588850
bdi,2011,8858968
bdi,2012,9133191
bdi,2013,9419692
bdi,2014,9708450
bdi,2015,9665624
bdi,2016,9945392
bdi,2017,10538930
bdi,2018,10878030
bdi,2019,11223777
bel,1990,10006444
bel,1991,10037435
bel,1992,10068016
bel,1993,10098503
bel,1994,10085224
bel,1995,10085290
bel,1996,9905242
bel,1997,9718926
bel,1998,9429921
bel,1999,8842800
bel,2000,7255865
bel,2001,7090368
bel,2002,5562831
bel,2003,5212640
bel,2004,4835526
bel,2005,4659614
bel,2006,4277528
bel,2007,3804058
bel,2008,3664780
bel,2009,3257980
bel,2010,2734684
bel,2011,2025449
bel,2012,2137256
bel,2013,1988737
bel,2014,1683184
bel,2015,1687218
bel,2016,1530971
bel,2017,1406948
bel,2018,1302642
bel,2019,1111179
ben,1990,4978489
ben,1991,5149496
ben,1992,5331805
ben,1993,5521761
ben,1994,5714215
ben,1995,5905552
ben,1996,6094169
ben,1997,6280096
ben,1998,6467177
ben,1999,6653779
ben,2000,6850481
ben,2001,7051010
ben,2002,7244117
ben,2003,7449011
ben,2004,7658356
ben,2005,7880767
ben,2006,8090530
ben,2007,8303449
ben,2008,8536022
ben,2009,8744351
ben,2010,8911317
ben,2011,9068364
ben,2012,9291438
ben,2013,9514369
ben,2014,9669629
ben,2015,9385637
ben,2016,9568076
ben,2017,8940154
ben,2018,9188028
ben,2019,9440921
bfa,1990,8811033
bfa,1991,9050086
bfa,1992,9297110
bfa,1993,9552473
bfa,1994,9816584
bfa,1995,10089880
bfa,1996,10372634
bfa,1997,10663559
bfa,1998,10963740
bfa,1999,11275726
bfa,2000,11599004
bfa,2001,11925749
bfa,2002,12268389
bfa,2003,12607367
bfa,2004,12978415
bfa,2005,13358863
bfa,2006,13741675
bfa,2007,14145139
bfa,2008,14554580
bfa,2009,14970004
bfa,2010,15230686
bfa,2011,15599458
bfa,2012,15953968
bfa,2013,15519167
bfa,2014,15932942
bfa,2015,15575130
bfa,2016,16043320
bfa,2017,16122318
bfa,2018,16591231
bfa,2019,17069962
bgd,1990,103171957
bgd,1991,105599125
bgd,1992,107983708
bgd,1993,110350641
bgd,1994,112737684
bgd,1995,115169933
bgd,1997,120159669
bgd,1998,122678297
bgd,1999,125144373
bgd,2000,127567175
bgd,2001,129919843
bgd,2002,132292714
bgd,2003,134570704
bgd,2004,136713777
bgd,2005,138699544
bgd,2006,139511942
bgd,2007,140092494
bgd,2008,140696560
bgd,2009,141401126
bgd,2010,142115142
bgd,2011,142555843
bgd,2012,143455446
bgd,2013,142633331
bgd,2014,133039468
bgd,2015,133755382
bgd,2016,129509668
bgd,2017,135732608
bgd,2018,137170206
bgd,2019,142013217
bgr,1990,8841466
bgr,1991,8767000
bgr,1992,8676379
bgr,1993,8575841
bgr,1994,8473167
bgr,1995,8369278
bgr,1996,8231832
bgr,1997,8111636
bgr,1998,7987531
bgr,1999,7832404
bgr,2000,7568387
bgr,2001,7326991
bgr,2002,7151987
bgr,2003,6864668
bgr,2004,6340529
bgr,2005,6151877
bgr,2006,5563777
bgr,2007,5027882
bgr,2008,4539280
bgr,2009,4110430
bgr,2010,3992428
bgr,2011,3838375
bgr,2012,3527657
bgr,2013,3421860
bgr,2014,3225038
bgr,2015,3120633
bgr,2016,2873259
bgr,2017,2598780
bgr,2018,2483436
bgr,2019,2243748
bhr,1990,495927
bhr,1991,509762
bhr,1992,523082
bhr,1993,536212
bhr,1994,549590
bhr,1995,561746
bhr,1996,573781
bhr,1997,585133
bhr,1998,593947
bhr,1999,606493
bhr,2000,623712
bhr,2001,592648
bhr,2002,602442
bhr,2003,610858
bhr,2004,651772
bhr,2005,699734
bhr,2006,687726
bhr,2007,695001
bhr,2008,535587
bhr,2009,556985
bhr,2010,558389
bhr,2011,293975
bhr,2012,155993
bhr,2013,131503
bhr,2014,126886
bhr,2015,89468
bhr,2016,28516
bhr,2017,61584
bhr,2018,21291
bhr,2019,4899
bhs,1990,256227
bhs,1991,261007
bhs,1992,266028
bhs,1993,271065
bhs,1994,275849
bhs,1995,277489
bhs,1996,279019
bhs,1997,283446
bhs,1998,283813
bhs,1999,282993
bhs,2000,274201
bhs,2001,266909
bhs,2002,252279
bhs,2003,250498
bhs,2004,248737
bhs,2005,243636
bhs,2006,244964
bhs,2007,246293
bhs,2008,235283
bhs,2009,231156
bhs,2010,202314
bhs,2011,125854
bhs,2012,102718
bhs,2013,102805
bhs,2014,85540
bhs,2015,82324
bhs,2016,75585
bhs,2017,57262
bhs,2018,57845
bhs,2019,58423
bih,1990,4463422
bih,1991,4369320
bih,1992,4233673
bih,1993,4078940
bih,1994,3936527
bih,1995,3829049
bih,1996,3763850
bih,1997,3733850
bih,1998,3728973
bih,1999,3736077
bih,2000,3710552
bih,2001,3710428
bih,2002,3659830
bih,2003,3613007
bih,2004,3181911
bih,2005,2962311
bih,2006,2819458
bih,2007,2712220
bih,2008,2453034
bih,2009,2325999
bih,2010,2121386
bih,2011,2054368
bih,2012,1980409
bih,2013,1823683
bih,2014,1743919
bih,2015,1625518
bih,2016,1345819
bih,2017,1176657
bih,2018,993187
bih,2019,992072
blr,1990,10151135
blr,1991,10160785
blr,1992,10154338
blr,1993,10135133
blr,1994,10108231
blr,1995,10077312
blr,1996,10041911
blr,1997,10004486
blr,1998,9962621
blr,1999,9875326
blr,2000,9687983
blr,2001,9389448
blr,2002,8873577
blr,2003,8812850
blr,2004,8755847
blr,2005,8706184
blr,2006,7975149
blr,2007,7612853
blr,2008,7278698
blr,2009,6845643
blr,2010,6424833
blr,2011,5682247
blr,2012,4999509
blr,2013,4318791
blr,2014,3865128
blr,2015,3565233
blr,2016,2728561
blr,2017,2415820
blr,2018,1972770
blr,2019,1626835
blz,1990,187554
blz,1991,191136
blz,1992,194324
blz,1993,197625
blz,1994,201679
blz,1995,206868
blz,1996,211774
blz,1997,218720
blz,1998,225432
blz,1999,229236
blz,2000,232561
blz,2001,239856
blz,2002,247472
blz,2003,254113
blz,2004,249417
blz,2005,235552
blz,2006,221417
blz,2007,225469
blz,2008,226128
blz,2009,229069
blz,2010,231530
blz,2011,228854
blz,2012,233221
blz,2013,229549
blz,2014,216613
blz,2015,210817
blz,2016,204183
blz,2017,198850
blz,2018,202711
blz,2019,206564
bol,1990,6864839
bol,1991,7011456
bol,1992,7160917
bol,1993,7312857
bol,1994,7466792
bol,1995,7617242
bol,1996,7764014
bol,1997,7901906
bol,1998,8046036
bol,1999,8175997
bol,2000,8296815
bol,2001,8398303
bol,2002,8470292
bol,2003,8593350
bol,2004,8666386
bol,2005,8749675
bol,2006,8812868
bol,2007,8554878
bol,2008,8506275
bol,2009,8224145
bol,2010,7797711
bol,2011,7149066
bol,2012,6710206
bol,2013,6642750
bol,2014,7002062
bol,2015,7004205
bol,2016,6652464
bol,2017,6286768
bol,2018,6376798
bol,2019,6466645
bra,1990,149003225
bra,1991,151643021
bra,1992,154239411
bra,1993,156809092
bra,1994,159372654
bra,1995,161849545
bra,1996,163872617
bra,1997,165894651
bra,1998,167276048
bra,1999,168805561
bra,2000,169772650
bra,2001,169171746
bra,2002,163110863
bra,2003,157796606
bra,2004,148909635
bra,2005,146998164
bra,2006,135144804
bra,2007,131418164
bra,2008,127066491
bra,2009,117844218
bra,2010,116156044
bra,2011,107270147
bra,2012,102513383
bra,2013,98427179
bra,2014,92154094
bra,2015,85207471
bra,2016,80666450
bra,2017,67605641
bra,2018,68137647
bra,2019,68651665
brb,1990,260933
brb,1991,261912
brb,1992,262890
brb,1993,263869
brb,1994,264893
brb,1995,265934
brb,1996,266007
brb,1997,266082
brb,1998,264027
brb,1999,264028
brb,2000,260722
brb,2001,239968
brb,2002,197312
brb,2003,165450
brb,2004,138192
brb,2005,131252
brb,2006,124031
brb,2007,116497
brb,2008,108059
brb,2009,99231
brb,2010,98464
brb,2011,94801
brb,2012,81705
brb,2013,80171
brb,2014,70751
brb,2015,68165
brb,2016,58447
brb,2017,52206
brb,2018,52281
brb,2019,52350
brn,1990,258714
brn,1991,266208
brn,1992,273888
brn,1993,281684
brn,1994,289452
brn,1995,294090
brn,1996,294557
brn,1997,296891
brn,1998,299078
brn,1999,301190
brn,2000,303193
brn,2001,296112
brn,2002,293616
brn,2003,284067
brn,2004,252626
brn,2005,231969
brn,2006,214062
brn,2007,207432
brn,2008,204886
brn,2009,195790
brn,2010,182658
brn,2011,173222
brn,2012,158509
brn,2013,143567
brn,2014,127974
brn,2015,119495
brn,2016,41979
brn,2017,21790
brn,2018,23164
brn,2019,21665
btn,1990,530801
btn,1991,534637
btn,1992,534525
btn,1993,532590
btn,1994,531905
btn,1995,534629
btn,1999,577091
btn,2000,588644
btn,2001,598424
btn,2002,605702
btn,2003,612540
btn,2004,618642
btn,2005,623786
btn,2006,627700
btn,2007,625513
btn,2008,627620
btn,2009,629693
btn,2010,592274
btn,2011,593462
btn,2012,592135
btn,2013,551142
btn,2014,501180
btn,2015,438187
btn,2016,428965
btn,2017,386899
btn,2018,391483
btn,2019,395997
bwa,1990,1286756
bwa,1991,1326321
bwa,1992,1363541
bwa,1993,1399110
bwa,1994,1434061
bwa,1995,1468225
bwa,1996,1502355
bwa,1997,1535683
bwa,1998,1566334
bwa,1999,1592187
bwa,2000,1595632
bwa,2001,1617218
bwa,2002,1646919
bwa,2003,1676368
bwa,2004,1707184
bwa,2005,1740381
bwa,2006,1757152
bwa,2007,1776434
bwa,2008,1795909
bwa,2009,1833355
bwa,2010,1867880
bwa,2011,1834019
bwa,2012,1713223
bwa,2013,1443786
bwa,2014,1321162
bwa,2015,1329432
bwa,2016,1309714
bwa,2017,1168690
bwa,2018,1194656
bwa,2019,1220963
caf,1990,2806740
caf,1991,2878507
caf,1992,2959236
caf,1993,3046148
caf,1994,3135017
caf,1995,3222662
caf,1996,3308041
caf,1997,3391948
caf,1998,3474516
caf,1999,3556564
caf,2000,3638477
caf,2001,3719093
caf,2002,3797242
caf,2003,3875303
caf,2004,3951037
caf,2005,4027549
caf,2006,4105261
caf,2007,4182227
caf,2008,4230634
caf,2009,4259546
caf,2010,4299030
caf,2011,4321429
caf,2012,4303319
caf,2013,4296715
caf,2014,4303461
caf,2015,4322431
caf,2016,4356176
caf,2017,4396590
caf,2018,4463889
caf,2019,4539274
can,1990,27441899
can,1991,27729739
can,1992,27965880
can,1993,28209796
can,1994,28174227
can,1995,27949895
can,1996,27466401
can,1997,25259488
can,1998,22547361
can,1999,19337123
can,2000,14896541
can,2001,12290269
can,2002,11974541
can,2003,11272720
can,2004,10831265
can,2005,9115366
can,2006,8980210
can,2007,8825453
can,2008,7767670
can,2009,6647980
can,2010,6727071
can,2011,5871657
can,2012,5936745
can,2013,5012108
can,2014,4593567
can,2015,3602667
can,2016,3216252
can,2017,3305888
can,2018,3336710
can,2019,3366993
che,1990,6613241
che,1991,6639539
che,1992,6673914
che,1993,6720069
che,1994,6749682
che,1995,6747037
che,1996,6717821
che,1997,6001159
che,1998,5333015
che,1999,4695920
che,2000,3779051
che,2001,3223449
che,2002,2787066
che,2003,2536659
che,2004,2358240
che,2005,2208659
che,2006,1812285
che,2007,1718433
che,2008,1585548
che,2009,1442500
che,2010,1257197
che,2011,1170788
che,2012,1185185
che,2013,1107672
che,2014,1033956
che,2015,1038831
che,2016,910503
che,2017,872122
che,2018,879323
che,2019,588843
chl,1990,13274617
chl,1991,13495255
chl,1992,13714804
chl,1993,13934924
chl,1994,14146359
chl,1995,14330965
chl,1996,14487666
chl,1997,14629923
chl,1998,14728758
chl,1999,14540608
chl,2000,12795520
chl,2001,12552535
chl,2002,12218158
chl,2003,11812141
chl,2004,11502289
chl,2005,11137704
chl,2006,10712562
chl,2007,10595859
chl,2008,10476076
chl,2009,9868286
chl,2010,9384392
chl,2011,8229105
chl,2012,7821461
chl,2013,7380035
chl,2014,6906463
chl,2015,4199438
chl,2016,2993826
chl,2017,3264188
chl,2018,3309912
chl,2019,3349298
chn,1990,1176883681
chn,1991,1192897277
chn,1992,1206711243
chn,1993,1218815003
chn,1994,1230005658
chn,1995,1240859055
chn,1996,1251472443
chn,1997,1261587195
chn,1998,1269838550
chn,1999,1272439299
chn,2000,1267631747
chn,2001,1264837269
chn,2002,1247270268
chn,2003,1233754704
chn,2004,1226499460
chn,2005,1217350849
chn,2006,1197565226
chn,2007,1130634868
chn,2008,1047662778
chn,2009,967791451
chn,2010,899308567
chn,2011,849299040
chn,2012,798685713
chn,2013,754400768
chn,2014,729115516
chn,2015,699203390
chn,2016,661775097
chn,2017,649406960
chn,2018,652435040
chn,2019,655239147
civ,1990,11924873
civ,1991,12362404
civ,1992,12812428
civ,1993,13271638
civ,1994,13735438
civ,1995,14199731
civ,1996,14663892
civ,1997,15127825
civ,1998,15579901
civ,1999,16013545
civ,2000,16416574
civ,2001,16786331
civ,2002,17145738
civ,2003,17466090
civ,2004,17817873
civ,2005,18163766
civ,2006,18468920
civ,2007,18826168
civ,2008,19233062
civ,2009,19657964
civ,2010,19978555
civ,2011,20418821
civ,2012,20469829
civ,2013,19437005
civ,2014,18282514
civ,2015,14298017
civ,2016,14005905
civ,2017,13724110
civ,2018,13330887
civ,2019,16341893
cmr,1990,11780086
cmr,1991,12137912
cmr,1992,12499499
cmr,1993,12864091
cmr,1994,13230978
cmr,1995,13599984
cmr,1997,14343473
cmr,1998,14721826
cmr,1999,15093092
cmr,2000,15474830
cmr,2001,15884779
cmr,2002,16298575
cmr,2003,16702143
cmr,2004,17090858
cmr,2005,17484670
cmr,2006,17853966
cmr,2007,18181486
cmr,2008,18598083
cmr,2009,19029989
cmr,2010,19466563
cmr,2011,19861072
cmr,2012,19873872
cmr,2013,19869570
cmr,2014,19004013
cmr,2015,18480249
cmr,2016,18374872
cmr,2017,18866005
cmr,2018,19365332
cmr,2019,19872289
cod,1990,34612023
cod,1991,35908240
cod,1992,37333917
cod,1993,38815835
cod,1994,40252973
cod,1995,41576239
cod,1996,42757193
cod,1997,43827098
cod,1998,44849783
cod,1999,45919152
cod,2000,47103050
cod,2001,48422976
cod,2002,49825394
cod,2003,51356202
cod,2004,52964744
cod,2005,54655483
cod,2006,56410544
cod,2007,58237408
cod,2008,60145386
cod,2009,62098860
cod,2010,64098993
cod,2011,65954089
cod,2012,67861228
cod,2013,69788910
cod,2014,71554422
cod,2015,73347240
cod,2016,73896349
cod,2017,74382273
cod,2018,76821507
cod,2019,79309308
cog,1990,2356740
cog,1991,2422312
cog,1992,2489945
cog,1993,2559880
cog,1994,2632345
cog,1995,2707532
cog,1996,2785717
cog,1997,2867184
cog,1998,2951550
cog,1999,3037922
cog,2000,3126596
cog,2001,3216893
cog,2002,3305170
cog,2003,3391243
cog,2004,3472643
cog,2005,3569759
cog,2006,3669941
cog,2007,3769154
cog,2008,3839494
cog,2009,3958857
cog,2010,4060051
cog,2011,4148731
cog,2012,4234773
cog,2013,4317655
cog,2014,4400167
cog,2015,4486254
cog,2016,4576442
cog,2017,4668625
cog,2018,4790726
cog,2019,4915090
col,1990,33102569
col,1991,33758328
col,1992,34422568
col,1993,35091272
col,1994,35720654
col,1995,36352949
col,1996,36954028
col,1997,37516126
col,1998,37932237
col,1999,38337362
col,2000,38755122
col,2001,39106971
col,2002,38995096
col,2003,38418662
col,2004,38239177
col,2005,37953367
col,2006,36573148
col,2007,34202734
col,2008,32925699
col,2009,31325038
col,2010,28716414
col,2011,27237418
col,2012,23507833
col,2013,22457323
col,2014,22276783
col,2015,20954238
col,2016,20167761
col,2017,18458624
col,2018,18742132
col,2019,17615332
com,1990,411598
com,1991,423873
com,1992,436454
com,1993,449270
com,1994,462280
com,1995,475394
com,1997,501955
com,1998,515187
com,1999,528069
com,2000,540884
com,2001,553432
com,2002,566320
com,2003,578266
com,2004,589303
com,2005,599393
com,2006,612646
com,2007,625583
com,2008,637510
com,2009,649687
com,2010,654522
com,2011,667716
com,2012,680612
com,2013,693313
com,2014,706385
com,2015,719445
com,2016,732440
com,2017,744887
com,2018,761756
com,2019,778751
cpv,1990,337953
cpv,1991,346229
cpv,1992,355763
cpv,1993,366057
cpv,1994,376409
cpv,1995,386288
cpv,1997,403274
cpv,1998,410563
cpv,1999,415579
cpv,2000,420375
cpv,2001,424001
cpv,2002,427368
cpv,2003,430466
cpv,2004,432332
cpv,2005,434909
cpv,2006,437226
cpv,2007,435716
cpv,2008,413528
cpv,2009,384467
cpv,2010,344851
cpv,2011,339223
cpv,2012,329720
cpv,2013,319838
cpv,2014,309618
cpv,2015,300781
cpv,2016,263855
cpv,2017,230253
cpv,2018,227449
cpv,2019,230031
cri,1990,3119436
cri,1991,3202083
cri,1992,3286488
cri,1993,3369549
cri,1994,3449147
cri,1995,3530745
cri,1996,3601811
cri,1997,3657953
cri,1998,3702467
cri,1999,3733728
cri,2000,3732542
cri,2001,3648438
cri,2002,3285048
cri,2003,3317351
cri,2004,3346649
cri,2005,3339693
cri,2006,3254720
cri,2007,3153712
cri,2008,3021981
cri,2009,2968769
cri,2010,2906631
cri,2011,2816351
cri,2012,2461202
cri,2013,2562637
cri,2014,2253833
cri,2015,1950611
cri,2016,1671634
cri,2017,1416143
cri,2018,1295516
cri,2019,948810
cub,1990,10596986
cub,1991,10673534
cub,1992,10736386
cub,1993,10789312
cub,1994,10838461
cub,1995,10888236
cub,1996,10935790
cub,1997,10982233
cub,1998,11013681
cub,1999,11049791
cub,2000,11066209
cub,2001,11044125
cub,2002,10777371
cub,2003,10640633
cub,2004,10304440
cub,2005,10164926
cub,2006,10004532
cub,2007,9935861
cub,2008,9782910
cub,2009,9617923
cub,2010,9440926
cub,2011,9436860
cub,2012,8870604
cub,2013,8131458
cub,2014,8019968
cub,2015,7100058
cub,2016,6463426
cub,2017,4859052
cub,2018,4858577
cub,2019,4325277
cyp,1990,766616
cyp,1991,783121
cyp,1992,800209
cyp,1993,818288
cyp,1994,836175
cyp,1995,851883
cyp,1996,867545
cyp,1997,852171
cyp,1998,827921
cyp,1999,821013
cyp,2000,799386
cyp,2001,779562
cyp,2002,700291
cyp,2003,694599
cyp,2004,668588
cyp,2005,690483
cyp,2006,670902
cyp,2007,630034
cyp,2008,623957
cyp,2009,551131
cyp,2010,523041
cyp,2011,485256
cyp,2012,446188
cyp,2013,395151
cyp,2014,353409
cyp,2015,328375
cyp,2016,282013
cyp,2017,227170
cyp,2018,185125
cyp,2019,167038
cze,1990,10340877
cze,1991,10346458
cze,1992,10353021
cze,1993,10298477
cze,1994,10230497
cze,1995,10207625
cze,1996,10149467
cze,1997,10036911
cze,1998,9921060
cze,1999,9602188
cze,2000,9283019
cze,2001,8761467
cze,2002,7798897
cze,2003,6727109
cze,2004,6604441
cze,2005,6640110
cze,2006,5362486
cze,2007,4978867
cze,2008,3860476
cze,2009,3730637
cze,2010,3285285
cze,2011,3118178
cze,2012,2811452
cze,2013,2740810
cze,2014,2729147
cze,2015,2579445
cze,2016,2497430
cze,2017,2264497
cze,2018,2059735
cze,2019,2045178
deu,1990,78954461
deu,1991,79291886
deu,1992,79615098
deu,1993,80055662
deu,1994,80087211
deu,1995,79647536
deu,1996,78839383
deu,1997,75936473
deu,1998,73361837
deu,1999,64423389
deu,2000,56804548
deu,2001,55673003
deu,2002,41729676
deu,2003,35991938
deu,2004,28796711
deu,2005,25533497
deu,2006,22681870
deu,2007,20189414
deu,2008,17834465
deu,2009,16988992
deu,2010,14548860
deu,2011,15144259
deu,2012,14291669
deu,2013,12849903
deu,2014,11248296
deu,2015,10149981
deu,2016,13015219
deu,2017,12898431
deu,2018,8529313
deu,2019,9909715
dji,1990,590393
dji,1991,606843
dji,1992,615050
dji,1993,618504
dji,1994,622364
dji,1995,630284
dji,1996,643448
dji,1997,660310
dji,1998,679821
dji,1999,699233
dji,2000,716181
dji,2001,730501
dji,2002,743310
dji,2003,754884
dji,2004,765570
dji,2005,775779
dji,2006,784463
dji,2007,792408
dji,2008,797911
dji,2009,794707
dji,2010,785581
dji,2011,793914
dji,2012,796365
dji,2013,799383
dji,2014,802455
dji,2015,805028
dji,2016,807078
dji,2017,418412
dji,2018,424981
dji,2019,431467
dma,1990,70422
dma,1991,70377
dma,1992,70546
dma,1993,70818
dma,1994,71044
dma,1995,70715
dma,1996,70106
dma,1997,69769
dma,1998,68130
dma,1999,67781
dma,2000,63510
dma,2001,60443
dma,2002,56972
dma,2003,53544
dma,2004,49046
dma,2005,43376
dma,2006,42856
dma,2007,42284
dma,2008,41676
dma,2009,41078
dma,2010,37246
dma,2011,36449
dma,2012,35619
dma,2013,34799
dma,2014,30214
dma,2015,24911
dma,2016,23510
dma,2017,21710
dma,2018,21760
dma,2019,21815
dnk,1990,5136116
dnk,1991,5144903
dnk,1992,5151644
dnk,1993,5160725
dnk,1994,5141278
dnk,1995,5032523
dnk,1996,4954542
dnk,1997,4677004
dnk,1998,4098853
dnk,1999,3693735
dnk,2000,3248919
dnk,2001,3056371
dnk,2002,1920775
dnk,2003,1278866
dnk,2004,1030305
dnk,2005,935786
dnk,2006,726813
dnk,2007,818847
dnk,2008,823560
dnk,2009,727273
dnk,2010,626587
dnk,2011,568906
dnk,2012,434284
dnk,2013,302786
