country,time,percit_less_300k
aze,2005,26.94
aze,2010,23.62
aze,2015,24.89
aze,2020,26.23
aze,2025,27.32
aze,2030,28.37
aze,2035,29.55
bdi,1950,1.73
bdi,1955,1.89
bdi,1960,2.07
bdi,1965,2.28
bdi,1970,2.83
bdi,1975,3.5
bdi,1980,4.3
bdi,1985,5.17
bdi,1990,6.24
bdi,1995,7.18
bdi,2000,3.1
bdi,2005,3.85
bdi,2010,4.34
bdi,2015,4.73
bdi,2020,5.24
bdi,2025,5.79
bdi,2030,6.47
bdi,2035,7.28
bel,1950,50.36
bel,1955,51.19
bel,1960,52.1
bel,1965,53.29
bel,1970,54.17
bel,1975,54.75
bel,1980,55.4
bel,1985,55.77
bel,1990,56.24
bel,1995,57.01
bel,2000,56.59
bel,2005,56.72
bel,2010,57.28
bel,2015,57.6
bel,2020,57.95
bel,2025,58.01
bel,2030,58.23
bel,2035,58.47
ben,1950,4.96
ben,1955,6.8
ben,1960,9.27
ben,1965,12.52
ben,1970,16.69
ben,1975,21.9
ben,1980,18.27
ben,1985,21.17
ben,1990,24.37
ben,1995,26.98
ben,2000,28.98
ben,2005,27.32
ben,2010,29.87
ben,2015,32.08
ben,2020,28.21
ben,2025,27.17
ben,2030,28.63
ben,2035,30.09
bfa,1950,3.84
bfa,1955,4.25
bfa,1960,4.7
bfa,1965,5.2
bfa,1970,5.75
bfa,1975,6.35
bfa,1980,8.81
bfa,1985,6.85
bfa,1990,7.71
bfa,1995,8.52
bfa,2000,6.77
bfa,2005,8.23
bfa,2010,9.71
bfa,2015,11.21
bfa,2020,12.66
bfa,2025,13.96
bfa,2030,14.01
bfa,2035,14.05
bgd,1950,3.4
bgd,1955,2.95
bgd,1960,3.35
bgd,1965,3.87
bgd,1970,3.94
bgd,1975,4.72
bgd,1980,8.62
bgd,1985,9.75
bgd,1990,10.55
bgd,1995,11.11
bgd,2000,11.63
bgd,2005,13.7
bgd,2010,15.72
bgd,2015,17.96
bgd,2020,19.77
bgd,2025,21.03
bgd,2030,22.6
bgd,2035,23.77
bgr,1950,20.38
bgr,1955,24.07
bgr,1960,28.12
bgr,1965,35.96
bgr,1970,41.86
bgr,1975,46.38
bgr,1980,46.41
bgr,1985,44.29
bgr,1990,45.58
bgr,1995,46.06
bgr,2000,46.6
bgr,2005,46.83
bgr,2010,46.74
bgr,2015,46.92
bgr,2020,47.36
bgr,2025,48.03
bgr,2030,48.7
bgr,2035,49.19
bhr,1950,64.4
bhr,1955,75.53
bhr,1960,82.32
bhr,1965,82.5
bhr,1970,83.77
bhr,1975,84.98
bhr,1980,86.1
bhr,1985,87.16
bhr,1990,88.14
bhr,1995,88.39
bhr,2000,88.37
bhr,2005,88.42
bhr,2010,88.63
bhr,2015,56.86
bhr,2020,33.66
bhr,2025,31
bhr,2030,30.73
bhr,2035,30.9
bhs,1950,52.08
bhs,1955,55.93
bhs,1960,59.71
bhs,1965,63.34
bhs,1970,66.76
bhs,1975,70.01
bhs,1980,73.13
bhs,1985,76.71
bhs,1990,79.87
bhs,1995,80.95
bhs,2000,81.96
bhs,2005,83.33
bhs,2010,83.8
bhs,2015,85.54
bhs,2020,86.12
bhs,2025,11.84
bhs,2030,11.58
bhs,2035,11.58
bih,1950,13.66
bih,1955,16.17
bih,1960,19.04
bih,1965,22.82
bih,1970,27.2
bih,1975,31.29
bih,1980,28.06
bih,1985,30.12
bih,1990,31.65
bih,1995,32.07
bih,2000,33.46
bih,2005,35.08
bih,2010,36.53
bih,2015,38.66
bih,2020,41.81
bih,2025,44.2
bih,2030,46.87
bih,2035,49.74
blr,1950,26.23
blr,1955,23.72
blr,1960,25.86
blr,1965,29.96
blr,1970,33.88
blr,1975,35.24
blr,1980,35.75
blr,1985,36.03
blr,1990,38.68
blr,1995,40.21
blr,2000,38.17
blr,2005,35.34
blr,2010,35.89
blr,2015,36.18
blr,2020,35.83
blr,2025,36.13
blr,2030,36.69
blr,2035,37.3
blz,1950,55.29
blz,1955,54.68
blz,1960,54.03
blz,1965,52.48
blz,1970,50.96
blz,1975,50.17
blz,1980,49.38
blz,1985,48.42
blz,1990,47.46
blz,1995,46.43
blz,2000,45.4
blz,2005,45.23
blz,2010,45.11
blz,2015,45.2
blz,2020,46.07
blz,2025,47.38
blz,2030,49.11
blz,2035,51.34
bol,1950,23.56
bol,1955,24.39
bol,1960,25.09
bol,1965,25.77
bol,1970,26.45
bol,1975,27.15
bol,1980,24.99
bol,1985,22.09
bol,1990,23.52
bol,1995,23.72
bol,2000,23.21
bol,2005,24.38
bol,2010,25.89
bol,2015,26.88
bol,2020,24.87
bol,2025,22.94
bol,2030,23.53
bol,2035,24.16
bra,1950,22.59
bra,1955,24.63
bra,1960,27.43
bra,1965,29.65
bra,1970,30.27
bra,1975,30.97
bra,1980,30.69
bra,1985,32.44
bra,1990,34.37
bra,1995,36.3
bra,2000,37.55
bra,2005,37.73
bra,2010,37.66
bra,2015,37.12
bra,2020,36.34
bra,2025,36.37
bra,2030,36.58
bra,2035,36.83
brb,1950,36.05
brb,1955,36.4
brb,1960,36.77
brb,1965,37.13
brb,1970,37.54
brb,1975,38.84
brb,1980,40.07
brb,1985,38.68
brb,1990,37.33
brb,1995,35.43
brb,2000,33.62
brb,2005,32.57
brb,2010,31.58
brb,2015,31.13
brb,2020,31.21
brb,2025,31.77
brb,2030,32.84
brb,2035,34.47
brn,1950,26.75
brn,1955,34.64
brn,1960,43.42
brn,1965,52.64
brn,1970,61.7
brn,1975,64.21
brn,1980,64.97
brn,1985,65.72
brn,1990,66.46
brn,1995,68.66
brn,2000,71.18
brn,2005,73.17
brn,2010,74.97
brn,2015,77.15
brn,2020,79.51
brn,2025,81.93
brn,2030,84.31
brn,2035,86.64
btn,1950,2.1
btn,1955,2.75
btn,1960,3.6
btn,1965,4.7
btn,1970,6.11
btn,1975,7.91
btn,1980,10.19
btn,1985,13.02
btn,1990,16.59
btn,1995,19.78
btn,2000,24.66
btn,2005,31.34
btn,2010,36.93
btn,2015,41.84
btn,2020,45.81
btn,2025,49.43
btn,2030,52.68
btn,2035,18.7
bwa,1950,2.72
bwa,1955,2.92
bwa,1960,3.19
bwa,1965,4.09
bwa,1970,8.68
bwa,1975,13.24
bwa,1980,18.38
bwa,1985,29.71
bwa,1990,44.9
bwa,1995,52.31
bwa,2000,55.97
bwa,2005,57.71
bwa,2010,63.28
bwa,2015,69.96
bwa,2020,72.81
bwa,2025,63.1
bwa,2030,64.8
bwa,2035,66.07
caf,1950,14.42
caf,1955,17.05
caf,1960,20.12
caf,1965,23.65
caf,1970,27.76
caf,1975,32.93
caf,1980,19.35
caf,1985,20.87
caf,1990,21.94
caf,1995,22.61
caf,2000,22.93
caf,2005,22.97
caf,2010,23.11
caf,2015,22.99
caf,2020,24.58
caf,2025,20.29
caf,2030,21.82
caf,2035,23.31
can,1950,36.82
can,1955,34.27
can,1960,33.91
can,1965,33.24
can,1970,31.48
can,1975,31.2
can,1980,31.01
can,1985,27.88
can,1990,25.13
can,1995,24.28
can,2000,23.94
can,2005,22.23
can,2010,21.97
can,2015,21.35
can,2020,19.91
can,2025,19.91
can,2030,20.05
can,2035,19.49
che,1950,56.81
che,1955,58.96
che,1960,60.99
che,1965,56.3
che,1970,51.22
che,1975,52.11
che,1980,52.32
che,1985,44.37
che,1990,40.42
che,1995,36.04
che,2000,35.31
che,2005,34.52
che,2010,34.52
che,2015,34.69
che,2020,34.31
che,2025,34.37
che,2030,34.75
che,2035,35.34
chl,1950,29.79
chl,1955,32.43
chl,1960,34.7
chl,1965,37.87
chl,1970,37.57
chl,1975,38.43
chl,1980,38.09
chl,1985,38.16
chl,1990,38.62
chl,1995,39.04
chl,2000,39.29
chl,2005,35.82
chl,2010,35.99
chl,2015,33.89
chl,2020,33.01
chl,2025,34.02
chl,2030,33.2
chl,2035,31.89
chn,1950,6.92
chn,1955,8.15
chn,1960,9.24
chn,1965,10.93
chn,1970,10.56
chn,1975,10.1
chn,1980,11.45
chn,1985,13.78
chn,1990,15.51
chn,1995,16.33
chn,2000,14.29
chn,2005,16.09
chn,2010,18
chn,2015,19.41
chn,2020,19.62
chn,2025,18.89
chn,2030,19.13
chn,2035,19.52
civ,1950,9.96
civ,1955,13.23
civ,1960,17.96
civ,1965,17.72
civ,1970,18.19
civ,1975,18.15
civ,1980,20.8
civ,1985,18.63
civ,1990,19.65
civ,1995,21.34
civ,2000,22.64
civ,2005,23.72
civ,2010,25.25
civ,2015,27.34
civ,2020,28.27
civ,2025,28.93
civ,2030,29.39
civ,2035,30.01
cmr,1950,9.33
cmr,1955,11.43
cmr,1960,13.93
cmr,1965,16.89
cmr,1970,20.32
cmr,1975,21.51
cmr,1980,20.48
cmr,1985,23.07
cmr,1990,24.86
cmr,1995,25.9
cmr,2000,26.52
cmr,2005,27.06
cmr,2010,25.81
cmr,2015,19.76
cmr,2020,18.83
cmr,2025,18.1
cmr,2030,15.86
cmr,2035,15.59
cod,1950,19.1
cod,1955,20.65
cod,1960,19.4
cod,1965,19.31
cod,1970,17.64
cod,1975,16.15
cod,1980,15.89
cod,1985,11.88
cod,1990,12.54
cod,1995,13.8
cod,2000,12.62
cod,2005,12.48
cod,2010,11.81
cod,2015,12.3
cod,2020,13.06
cod,2025,13.56
cod,2030,13.72
cod,2035,13.51
cog,1950,24.93
cog,1955,28.43
cog,1960,32.19
cog,1965,36.16
cog,1970,40.25
cog,1975,23.34
cog,1980,24.43
cog,1985,10.46
cog,1990,11
cog,1995,11.43
cog,2000,10.64
cog,2005,9.26
cog,2010,8.95
cog,2015,6.43
cog,2020,4.62
cog,2025,4.61
cog,2030,4.75
cog,2035,4.93
col,1950,25.18
col,1955,25.16
col,1960,29.27
col,1965,32.63
col,1970,32.52
col,1975,32.15
col,1980,33.71
col,1985,35.09
col,1990,34.5
col,1995,35.01
col,2000,34.21
col,2005,31.44
col,2010,27.95
col,2015,26.29
col,2020,24.13
col,2025,22.58
col,2030,22.76
col,2035,22.97
com,1950,6.6
com,1955,9.15
com,1960,12.55
com,1965,16.98
com,1970,19.39
com,1975,21.24
com,1980,23.22
com,1985,25.47
com,1990,27.87
com,1995,28.3
com,2000,28.08
com,2005,27.88
com,2010,27.97
com,2015,28.47
com,2020,29.38
com,2025,30.71
com,2030,32.48
com,2035,34.47
cpv,1950,14.2
cpv,1955,15.42
cpv,1960,16.72
cpv,1965,18.15
cpv,1970,19.67
cpv,1975,21.59
cpv,1980,23.75
cpv,1985,31.84
cpv,1990,44.63
cpv,1995,49.13
cpv,2000,54.3
cpv,2005,59.13
cpv,2010,63.04
cpv,2015,65.3
cpv,2020,68.01
cpv,2025,70.9
cpv,2030,73.76
cpv,2035,76.45
cri,1950,34
cri,1955,34.17
cri,1960,34.31
cri,1965,35.72
cri,1970,19.45
cri,1975,20.41
cri,1980,21.08
cri,1985,22.41
cri,1990,25.88
cri,1995,29.37
cri,2000,32.46
cri,2005,39.11
cri,2010,44.97
cri,2015,42.75
cri,2020,38.64
cri,2025,39.48
cri,2030,40.27
cri,2035,40.93
cub,1950,37.22
cub,1955,37.74
cub,1960,38.3
cub,1965,39.21
cub,1970,39.86
cub,1975,41.37
cub,1980,45.14
cub,1985,47.26
cub,1990,49.45
cub,1995,50.79
cub,2000,52.04
cub,2005,50.49
cub,2010,51.77
cub,2015,52.58
cub,2020,52.85
cub,2025,51.01
cub,2030,52.05
cub,2035,53.18
cyp,1950,28.38
cyp,1955,32.33
cyp,1960,35.63
cyp,1965,38.19
cyp,1970,40.76
cyp,1975,47.28
cyp,1980,58.61
cyp,1985,64.68
cyp,1990,66.78
cyp,1995,68.04
cyp,2000,68.65
cyp,2005,68.27
cyp,2010,67.55
cyp,2015,66.95
cyp,2020,66.82
cyp,2025,67.33
cyp,2030,68.45
cyp,2035,46.11
cze,1950,43.68
cze,1955,46.55
cze,1960,45.86
cze,1965,48.15
cze,1970,50.05
cze,1975,55.25
cze,1980,57.11
cze,1985,56.98
cze,1990,56.59
cze,1995,56.3
cze,2000,55.85
cze,2005,55.25
cze,2010,57.97
cze,2015,57.95
cze,2020,57.81
cze,2025,58.01
cze,2030,58.46
cze,2035,59.07
deu,1950,49.61
deu,1955,50.2
deu,1960,49.86
deu,1965,50.97
deu,1970,51.5
deu,1975,52.52
deu,1980,52.91
deu,1985,53.99
deu,1990,54.13
deu,1995,55.67
deu,2000,56.66
deu,2005,57.54
deu,2010,57.95
deu,2015,57.09
deu,2020,55.79
deu,2025,56.16
deu,2030,56.86
deu,2035,57.72
dji,1950,39.81
dji,1955,45.01
dji,1960,50.33
dji,1965,56.1
dji,1970,61.78
dji,1975,67.14
dji,1980,72.1
dji,1985,74.93
dji,1990,22.24
dji,1995,17.9
dji,2000,20.29
dji,2005,20.28
dji,2010,20.29
dji,2015,20.4
dji,2020,20.69
dji,2025,21.53
dji,2030,21.95
dji,2035,22.3
dnk,1950,39.5
dnk,1955,42
dnk,1960,45.65
dnk,1965,48.2
dnk,1970,51.75
dnk,1975,59
dnk,1980,62.33
dnk,1985,63.69
dnk,1990,64.71
dnk,1995,64.94
dnk,2000,64.93
dnk,2005,65.07
dnk,2010,65.33
dnk,2015,65.19
dnk,2020,64.94
dnk,2025,65.21
dnk,2030,65.76
dnk,2035,61.37
dom,1950,23.74
dom,1955,26.84
dom,1960,19.04
dom,1965,22.09
dom,1970,25.04
dom,1975,28.06
dom,1980,30.49
dom,1985,27.73
dom,1990,29.35
dom,1995,31.13
dom,2000,33.04
dom,2005,37.07
dom,2010,42.4
dom,2015,45.72
dom,2020,47.81
dom,2025,46.53
dom,2030,47.69
dom,2035,43.59
dza,1950,16.39
dza,1955,19.92
dza,1960,20.06
dza,1965,26.67
dza,1970,28.21
dza,1975,26.72
dza,1980,30.62
dza,1985,36.21
dza,1990,39.89
dza,1995,44.21
dza,2000,48.29
dza,2005,51.53
dza,2010,55.6
dza,2015,57.68
dza,2020,59.05
dza,2025,59.08
dza,2030,58.31
dza,2035,58.62
ecu,1950,28.28
ecu,1955,22.34
ecu,1960,16.82
ecu,1965,17.95
ecu,1970,19.19
ecu,1975,20.61
ecu,1980,23.1
ecu,1985,25.86
ecu,1990,29.03
ecu,1995,31.29
ecu,2000,32.96
ecu,2005,34.02
ecu,2010,32.94
ecu,2015,31.35
ecu,2020,31.07
ecu,2025,30.11
ecu,2030,27.69
ecu,2035,26.9
egy,1950,15.07
egy,1955,16.86
egy,1960,18.92
egy,1965,18.94
egy,1970,20.18
egy,1975,21.46
egy,1980,19.74
egy,1985,18.74
egy,1990,18.13
egy,1995,15.65
egy,2000,14.88
egy,2005,14.47
egy,2010,13.37
egy,2015,12.64
egy,2020,12.06
egy,2025,11.26
egy,2030,11.58
egy,2035,12.06
eri,1950,9.86
eri,1955,11.59
eri,1960,13.59
eri,1965,15.87
eri,1970,17.52
eri,1975,18.63
eri,1980,19.8
eri,1985,21.65
eri,1990,10.2
eri,1995,14.6
eri,2000,19.78
eri,2005,23.92
eri,2010,27.59
eri,2015,31.37
eri,2020,36.18
eri,2025,40
eri,2030,35.52
eri,2035,37.98
esp,1950,36.29
esp,1955,37.04
esp,1960,36.58
esp,1965,36.74
esp,1970,38.38
esp,1975,40.35
esp,1980,42.02
esp,1985,41.87
esp,1990,41.94
esp,1995,41.98
esp,2000,42.18
esp,2005,43.2
esp,2010,44.25
esp,2015,42.23
esp,2020,41.58
esp,2025,41.82
esp,2030,42.53
esp,2035,43.34
est,1950,49.67
est,1955,53.62
est,1960,57.53
est,1965,35.58
est,1970,37.57
est,1975,38.82
est,1980,39.56
est,1985,39.84
est,1990,40.79
est,1995,40.13
est,2000,40.76
est,2005,39.44
est,2010,38.51
est,2015,36.77
est,2020,34.31
est,2025,33.78
est,2030,34.05
est,2035,34.59
eth,1950,2.44
eth,1955,3.18
eth,1960,4.09
eth,1965,5.2
eth,1970,6.02
eth,1975,6.62
eth,1980,7.1
eth,1985,7.86
eth,1990,8.93
eth,1995,10.13
eth,2000,11.22
eth,2005,12.33
eth,2010,13.76
eth,2015,14.34
eth,2020,15.66
eth,2025,16.79
eth,2030,18.02
eth,2035,18.94
fin,1950,33.88
fin,1955,39.58
fin,1960,45.18
fin,1965,49.2
fin,1970,52.71
fin,1975,55.49
fin,1980,57.65
fin,1985,61.08
fin,1990,61.93
fin,1995,62.54
fin,2000,62.54
fin,2005,62.61
fin,2010,57.04
fin,2015,56.99
fin,2020,56.41
fin,2025,56.89
fin,2030,57.8
fin,2035,58.82
fji,1950,24.35
fji,1955,26.92
fji,1960,29.67
fji,1965,32.58
fji,1970,34.76
fji,1975,36.72
fji,1980,37.77
fji,1985,38.52
fji,1990,41.61
fji,1995,45.5
fji,2000,47.92
fji,2005,49.88
fji,2010,52.18
fji,2015,56.21
fji,2020,59.07
fji,2025,60.98
fji,2030,62.24
fji,2035,63.29
fra,1950,30.08
fra,1955,31.74
fra,1960,32.92
fra,1965,36.42
fra,1970,38.37
fra,1975,40.27
fra,1980,40.26
fra,1985,39.04
fra,1990,38.81
fra,1995,39.71
fra,2000,40.67
fra,2005,41.38
fra,2010,42.02
fra,2015,43.02
fra,2020,44.32
fra,2025,45.37
fra,2030,45.91
fra,2035,45.99
fsm,1950,20
fsm,1955,21.14
fsm,1960,22.33
fsm,1965,23.54
fsm,1970,24.81
fsm,1975,25.87
fsm,1980,26.46
fsm,1985,26.16
fsm,1990,25.82
fsm,1995,25.07
fsm,2000,22.34
fsm,2005,22.34
fsm,2010,22.45
fsm,2015,21.54
fsm,2020,21.49
fsm,2025,22.01
fsm,2030,23.09
fsm,2035,24.52
gab,1950,11.4
gab,1955,14.08
gab,1960,17.34
gab,1965,23.74
gab,1970,32.04
gab,1975,43.12
gab,1980,54.89
gab,1985,62.63
gab,1990,30.83
gab,1995,34.38
gab,2000,38.7
gab,2005,42.72
gab,2010,46.45
gab,2015,48.96
gab,2020,49.6
gab,2025,51.13
gab,2030,51.56
gab,2035,51.72
gbr,1950,28.87
gbr,1955,28.72
gbr,1960,29.28
gbr,1965,31.16
gbr,1970,32.55
gbr,1975,35.01
gbr,1980,37.29
gbr,1985,37.6
gbr,1990,37.28
gbr,1995,37.37
gbr,2000,37.58
gbr,2005,37.55
gbr,2010,38.62
gbr,2015,38.28
gbr,2020,38.8
gbr,2025,39.04
gbr,2030,39.26
gbr,2035,39.45
geo,1950,19.57
geo,1955,22.32
geo,1960,25.16
geo,1965,27.17
geo,1970,28.97
geo,1975,29.98
geo,1980,30.77
geo,1985,31.6
geo,1990,32.42
geo,1995,31
geo,2000,31.77
geo,2005,31.45
geo,2010,31
geo,2015,29.62
geo,2020,31.08
geo,2025,32.37
geo,2030,33.53
geo,2035,34.7
gha,1950,15.27
gha,1955,18.92
gha,1960,17.4
gha,1965,19.52
gha,1970,17.28
gha,1975,18.22
gha,1980,18.55
gha,1985,20.64
gha,1990,23.27
gha,1995,25.88
gha,2000,28.35
gha,2005,29.33
gha,2010,30.12
gha,2015,31.63
gha,2020,30.6
gha,2025,31.62
gha,2030,32.14
gha,2035,32.64
gin,1950,6.89
gin,1955,8.63
gin,1960,10.72
gin,1965,13.24
gin,1970,6.9
gin,1975,6.51
gin,1980,8.91
gin,1985,11.37
gin,1990,12.93
gin,1995,17.62
gin,2000,18.54
gin,2005,19.51
gin,2010,20.77
gin,2015,22.18
gin,2020,23.85
gin,2025,23.48
gin,2030,18.84
gin,2035,18.17
gmb,1950,9.14
gmb,1955,10.3
gmb,1960,12.23
gmb,1965,14.37
gmb,1970,18.78
gmb,1975,23.57
gmb,1980,26.95
gmb,1985,31.98
gmb,1990,36.76
gmb,1995,40.97
gmb,2000,19.63
gmb,2005,24.8
gmb,2010,30.58
gmb,2015,36.01
gmb,2020,40.74
gmb,2025,43.91
gmb,2030,45.83
gmb,2035,47.39
gnb,1950,10.01
gnb,1955,11.67
gnb,1960,13.61
gnb,1965,14.41
gnb,1970,15.28
gnb,1975,16.21
gnb,1980,18.24
gnb,1985,24.45
gnb,1990,32
gnb,1995,35.89
gnb,2000,37.51
gnb,2005,14.19
gnb,2010,14.15
gnb,2015,14.34
gnb,2020,14.46
gnb,2025,14.91
gnb,2030,15.52
gnb,2035,16.19
gnq,1950,15.46
gnq,1955,20.31
gnq,1960,25.54
gnq,1965,26.61
gnq,1970,27.18
gnq,1975,27.83
gnq,1980,28.47
gnq,1985,30.52
gnq,1990,35.38
gnq,1995,41.15
gnq,2000,49.75
gnq,2005,58.34
gnq,2010,66.46
gnq,2015,44.28
gnq,2020,20.9
gnq,2025,20.72
gnq,2030,20.97
gnq,2035,21.36
grc,1950,34.58
grc,1955,30.46
grc,1960,29.51
grc,1965,29.57
grc,1970,29.25
grc,1975,29.69
grc,1980,31.16
grc,1985,32.74
grc,1990,34.31
grc,1995,36.19
grc,2000,37.23
grc,2005,39.47
grc,2010,43.68
grc,2015,44.89
grc,2020,46.87
grc,2025,48.51
grc,2030,49.86
grc,2035,50.98
grd,1950,28.49
grd,1955,29.38
grd,1960,30.31
grd,1965,31.26
grd,1970,32.19
grd,1975,32.54
grd,1980,32.9
grd,1985,33.16
grd,1990,33.41
grd,1995,34.46
grd,2000,35.28
grd,2005,35.31
grd,2010,35.34
grd,2015,35.08
grd,2020,35.49
grd,2025,36.37
grd,2030,37.61
grd,2035,39.26
gtm,1950,13.47
gtm,1955,15.1
gtm,1960,16.76
gtm,1965,18.23
gtm,1970,19.23
gtm,1975,20.76
gtm,1980,22.9
gtm,1985,24.7
gtm,1990,26.36
gtm,1995,27.79
gtm,2000,28.4
gtm,2005,29.34
gtm,2010,30.91
gtm,2015,33.12
gtm,2020,35.44
gtm,2025,33.89
gtm,2030,33.85
gtm,2035,34.02
guy,1950,28.02
guy,1955,28.52
guy,1960,29.01
guy,1965,29.21
guy,1970,29.43
guy,1975,29.97
guy,1980,30.49
guy,1985,30.03
guy,1990,29.58
guy,1995,29.14
guy,2000,28.95
guy,2005,28
guy,2010,26.53
guy,2015,26.48
guy,2020,26.93
guy,2025,27.67
guy,2030,28.67
guy,2035,30.07
hkg,1950,0
hkg,1955,0
hkg,1960,0
hkg,1965,0
hkg,1970,0
hkg,1975,0
hkg,1980,0
hkg,1985,0
hkg,1990,0
hkg,1995,0
hkg,2000,0
hkg,2005,0
hkg,2010,0
hkg,2015,0
hkg,2020,0
hkg,2025,0
hkg,2030,0
hkg,2035,0
hnd,1950,17.58
hnd,1955,20.04
hnd,1960,22.75
hnd,1965,25.7
hnd,1970,28.9
hnd,1975,32.11
hnd,1980,24.79
hnd,1985,26.73
hnd,1990,28.91
hnd,1995,25.02
hnd,2000,26.77
hnd,2005,28.9
hnd,2010,30.81
hnd,2015,32.3
hnd,2020,30.3
hnd,2025,31.33
hnd,2030,29.65
hnd,2035,30.68
hrv,1950,14.17
hrv,1955,16.64
hrv,1960,19.9
hrv,1965,23.63
hrv,1970,27.49
hrv,1975,30.39
hrv,1980,33.2
hrv,1985,34.96
hrv,1990,36.33
hrv,1995,37.11
hrv,2000,37.78
hrv,2005,38.55
hrv,2010,39.25
hrv,2015,39.97
hrv,2020,41.02
hrv,2025,42.33
hrv,2030,43.99
hrv,2035,45.93
hti,1950,12.17
hti,1955,13.79
hti,1960,15.59
hti,1965,9.71
hti,1970,10.07
hti,1975,9.3
hti,1980,8.29
hti,1985,9.53
hti,1990,12.64
hti,1995,14.48
hti,2000,15.95
hti,2005,19.35
hti,2010,26.23
hti,2015,29.7
hti,2020,32.61
hti,2025,32.25
hti,2030,31.19
hti,2035,32.33
hun,1950,35.7
hun,1955,37
hun,1960,37.8
hun,1965,39.56
hun,1970,41.34
hun,1975,43.19
hun,1980,45.06
hun,1985,45.83
hun,1990,46.52
hun,1995,46.92
hun,2000,47.09
hun,2005,48.96
hun,2010,51.44
hun,2015,52.69
hun,2020,53.35
hun,2025,54.19
hun,2030,55.19
hun,2035,56.23
idn,1950,8.07
idn,1955,7.12
idn,1960,6.31
idn,1965,6.89
idn,1970,7.8
idn,1975,9.26
idn,1980,10.19
idn,1985,13.36
idn,1990,16.4
idn,1995,21.78
idn,2000,26.95
idn,2005,30.58
idn,2010,33.84
idn,2015,36.32
idn,2020,38.34
idn,2025,39.98
idn,2030,41.64
idn,2035,42.97
ind,1950,12.29
ind,1955,12.13
ind,1960,11.65
ind,1965,11.65
ind,1970,11.73
ind,1975,12.26
ind,1980,12.71
ind,1985,13.04
ind,1990,12.99
