country,time,c_dirdemo_idea
bfa,1990,0
bfa,1991,0
bfa,1992,1.10969
bfa,1993,0
bfa,1994,0
bfa,1995,0
bfa,1996,0
bfa,1997,1.70721
bfa,1998,0
bfa,1999,0
bfa,2000,0
bfa,2001,0
bfa,2002,0
bfa,2003,0
bfa,2004,0
bfa,2005,0
bfa,2006,0
bfa,2007,0
bfa,2008,0
bfa,2009,0
bfa,2010,0
bfa,2011,0
bfa,2012,0
bfa,2013,0
bfa,2014,0
bfa,2015,0
bfa,2016,0
bfa,2017,0
bfa,2018,0
bfa,2019,-2.8169
bgd,1976,-1.40845
bgd,1977,0
bgd,1978,0
bgd,1979,18.18182
bgd,1980,0
bgd,1981,-18.18182
bgd,1982,0
bgd,1983,0
bgd,1984,0
bgd,1985,0
bgd,1986,27.27273
bgd,1987,0
bgd,1988,0
bgd,1989,0
bgd,1990,-1.53649
bgd,1991,1.53649
bgd,1992,0
bgd,1993,0
bgd,1994,0
bgd,1995,0
bgd,1996,-1.53649
bgd,1997,-1.53649
bgd,1998,-1.53649
bgd,1999,-1.53649
bgd,2000,-1.53649
bgd,2001,-1.53649
bgd,2002,-1.53649
bgd,2003,-1.53649
bgd,2004,-1.53649
bgd,2005,-1.53649
bgd,2006,-1.53649
bgd,2007,-10.37132
bgd,2008,4.86556
bgd,2009,-1.02433
bgd,2010,-1.02433
bgd,2011,0
bgd,2012,-2.8169
bgd,2013,0
bgd,2014,0
bgd,2015,0
bgd,2016,0
bgd,2017,0
bgd,2018,0
bgd,2019,0
bgr,1976,-0.51216
bgr,1977,-0.51216
bgr,1978,-0.51216
bgr,1979,-0.51216
bgr,1980,-0.51216
bgr,1981,-0.51216
bgr,1982,-0.51216
bgr,1983,-0.51216
bgr,1984,-0.51216
bgr,1985,-0.51216
bgr,1986,-0.51216
bgr,1987,-0.51216
bgr,1988,-0.51216
bgr,1989,-0.51216
bgr,1990,1.19505
bgr,1991,0
bgr,1992,0
bgr,1993,0
bgr,1994,0
bgr,1995,0
bgr,1996,0
bgr,1997,0
bgr,1998,0
bgr,1999,0
bgr,2000,0
bgr,2001,0
bgr,2002,0
bgr,2003,0
bgr,2004,0
bgr,2005,0
bgr,2006,0
bgr,2007,0
bgr,2008,0
bgr,2009,4.73752
bgr,2010,0
bgr,2011,0.25608
bgr,2012,0
bgr,2013,23.17542
bgr,2014,0
bgr,2015,0
bgr,2016,20.23047
bgr,2017,-0.38412
bgr,2018,-1.53649
bgr,2019,-1.02433
bhr,1976,0
bhr,1977,0
bhr,1978,0
bhr,1979,0
bhr,1980,0
bhr,1981,0
bhr,1982,0
bhr,1983,0
bhr,1984,0
bhr,1985,0
bhr,1986,0
bhr,1987,0
bhr,1988,0
bhr,1989,0
bhr,1990,0
bhr,1991,0
bhr,1992,0
bhr,1993,0
bhr,1994,0
bhr,1995,0
bhr,1996,0
bhr,1997,0
bhr,1998,0
bhr,1999,0
bhr,2000,0
bhr,2001,0
bhr,2002,0
bhr,2003,17.07213
bhr,2004,0
bhr,2005,0
bhr,2006,-1.02433
bhr,2007,-1.02433
bhr,2008,-1.02433
bhr,2009,-1.02433
bhr,2010,-1.02433
bhr,2011,-1.02433
bhr,2012,-1.02433
bhr,2013,-1.02433
bhr,2014,-1.02433
bhr,2015,-1.02433
bhr,2016,-1.02433
bhr,2017,-1.02433
bhr,2018,-1.02433
bhr,2019,-1.02433
bih,1993,0
bih,1994,0
bih,1995,0
bih,1996,0
bih,1997,0
bih,1998,0
bih,1999,0
bih,2000,0
bih,2001,0
bih,2002,0
bih,2003,0
bih,2004,0
bih,2005,0
bih,2006,0
bih,2007,0
bih,2008,0
bih,2009,0
bih,2010,0
bih,2011,0
bih,2012,0
bih,2013,0
bih,2014,0
bih,2015,0
bih,2016,0
bih,2017,0
bih,2018,0
bih,2019,0
blr,1992,0
blr,1993,0
blr,1994,0.76825
blr,1995,14.68203
blr,1996,0
blr,1997,0
blr,1998,0
blr,1999,0
blr,2000,0
blr,2001,-0.76825
blr,2002,-0.76825
blr,2003,-0.76825
blr,2004,2.30474
blr,2005,0
blr,2006,0
blr,2007,0
blr,2008,0
blr,2009,-0.76825
blr,2010,-0.76825
blr,2011,-0.76825
blr,2012,-0.76825
blr,2013,-0.76825
blr,2014,-0.76825
blr,2015,-0.76825
blr,2016,-0.76825
blr,2017,-0.76825
blr,2018,-0.76825
blr,2019,-0.76825
bol,1976,0
bol,1977,0
bol,1978,0
bol,1979,0
bol,1980,0
bol,1981,0
bol,1982,0
bol,1983,0
bol,1984,0
bol,1985,0
bol,1986,0
bol,1987,0
bol,1988,0
bol,1989,0
bol,1990,0
bol,1991,0
bol,1992,0
bol,1993,0
bol,1994,0
bol,1995,0
bol,1996,0
bol,1997,0
bol,1998,0
bol,1999,0
bol,2000,0
bol,2001,0
bol,2002,0
bol,2003,0
bol,2004,28.93726
bol,2005,0
bol,2006,25.86428
bol,2007,0
bol,2008,0
bol,2009,14.21255
bol,2010,0
bol,2011,-2.94494
bol,2012,-3.07298
bol,2013,-4.35339
bol,2014,-5.24968
bol,2015,-5.37772
bol,2016,-3.96927
bol,2017,-4.35339
bol,2018,-4.22535
bol,2019,-1.40845
bra,1976,0
bra,1977,0
bra,1978,0
bra,1979,0
bra,1980,0
bra,1981,0
bra,1982,0
bra,1983,0
bra,1984,0
bra,1985,0
bra,1986,0
bra,1987,0
bra,1988,2.56082
bra,1989,0
bra,1990,0
bra,1991,0
bra,1992,0
bra,1993,0
bra,1994,0
bra,1995,0
bra,1996,0
bra,1997,0
bra,1998,0
bra,1999,0
bra,2000,0
bra,2001,0
bra,2002,0
bra,2003,0
bra,2004,0
bra,2005,20.48656
bra,2006,0
bra,2007,0
bra,2008,0
bra,2009,0
bra,2010,-2.56082
bra,2011,-2.56082
bra,2012,-2.56082
bra,2013,-2.56082
bra,2014,-2.56082
bra,2015,-2.56082
bra,2016,-2.56082
bra,2017,-2.56082
bra,2018,0
bra,2019,0
brb,1976,0
brb,1977,0
brb,1978,0
brb,1979,0
brb,1980,0
brb,1981,0
brb,1982,0
brb,1983,0
brb,1984,0
brb,1985,0
brb,1986,0
brb,1987,0
brb,1988,0
brb,1989,0
brb,1990,0
brb,1991,0
brb,1992,0
brb,1993,0
brb,1994,0
brb,1995,0
brb,1996,0
brb,1997,0
brb,1998,0
brb,1999,0
brb,2000,0
brb,2001,0
brb,2002,0
brb,2003,0
brb,2004,0
brb,2005,0
brb,2006,0
brb,2007,0
brb,2008,0
brb,2009,0
brb,2010,0
brb,2011,0
brb,2012,0
brb,2013,0
brb,2014,0
brb,2015,0
brb,2016,0
brb,2017,0
brb,2018,0
brb,2019,0
bwa,1976,0
bwa,1977,0
bwa,1978,0
bwa,1979,0
bwa,1980,0
bwa,1981,0
bwa,1982,0
bwa,1983,0
bwa,1984,0
bwa,1985,0
bwa,1986,0
bwa,1987,15.10883
bwa,1988,0
bwa,1989,0
bwa,1990,0
bwa,1991,0
bwa,1992,-1.02433
bwa,1993,-0.89629
bwa,1994,-1.02433
bwa,1995,-1.02433
bwa,1996,-1.02433
bwa,1997,4.9936
bwa,1998,0
bwa,1999,0
bwa,2000,0
bwa,2001,0
bwa,2002,0
bwa,2003,0
bwa,2004,0
bwa,2005,0
bwa,2006,-1.02433
bwa,2007,-0.89629
bwa,2008,-1.02433
bwa,2009,-1.02433
bwa,2010,-1.02433
bwa,2011,-1.02433
bwa,2012,-1.02433
bwa,2013,-1.02433
bwa,2014,-1.02433
bwa,2015,-1.02433
bwa,2016,-0.89629
bwa,2017,-1.02433
bwa,2018,-1.02433
bwa,2019,-1.02433
caf,1976,0
caf,1977,0
caf,1978,0
caf,1979,0
caf,1980,0
caf,1981,0
caf,1982,0
caf,1983,0
caf,1984,0
caf,1985,0
caf,1986,0
caf,1987,0
caf,1988,9.09091
caf,1989,0
caf,1990,0
caf,1991,-0.51216
caf,1992,-0.51216
caf,1993,7.04225
caf,1994,12.16389
caf,1995,0
caf,1996,0
caf,1997,0
caf,1998,0
caf,1999,-1.53649
caf,2000,-1.53649
caf,2001,-1.53649
caf,2002,-1.53649
caf,2003,-21.12676
caf,2004,0
caf,2005,18.18182
caf,2006,0
caf,2007,0
caf,2008,0
caf,2009,-1.02433
caf,2010,-1.02433
caf,2011,-1.02433
caf,2012,-1.02433
caf,2013,-12.97482
caf,2014,-1.10969
caf,2015,9.64575
caf,2016,8.53606
caf,2017,0
caf,2018,0
caf,2019,0
can,1976,0
can,1977,0
can,1978,0
can,1979,0
can,1980,0
can,1981,0
can,1982,0
can,1983,0
can,1984,0
can,1985,0
can,1986,0
can,1987,0
can,1988,0
can,1989,0
can,1990,0
can,1991,0
can,1992,17.28553
can,1993,0
can,1994,0
can,1995,0
can,1996,0
can,1997,-1.92061
can,1998,-1.92061
can,1999,-1.92061
can,2000,-1.92061
can,2001,-1.92061
can,2002,-1.92061
can,2003,-1.92061
can,2004,-1.92061
can,2005,0
can,2006,0
can,2007,0
can,2008,0
can,2009,0
can,2010,0
can,2011,0
can,2012,0
can,2013,0
can,2014,0
can,2015,0
can,2016,0
can,2017,0
can,2018,0
can,2019,0
che,1976,0
che,1977,-0.25608
che,1978,0
che,1979,0
che,1980,0
che,1981,0
che,1982,3.32907
che,1983,0
che,1984,0
che,1985,0
che,1986,0
che,1987,0
che,1988,0
che,1989,0
che,1990,0
che,1991,0.12804
che,1992,0
che,1993,0
che,1994,0
che,1995,0
che,1996,0
che,1997,0.25608
che,1998,0
che,1999,-3.32907
che,2000,0
che,2001,0
che,2002,3.32907
che,2003,0
che,2004,0
che,2005,0
che,2006,0
che,2007,0
che,2008,0
che,2009,0
che,2010,0
che,2011,0
che,2012,0
che,2013,0
che,2014,0
che,2015,0
che,2016,0
che,2017,0
che,2018,0
che,2019,0
chl,1976,0
chl,1977,0
chl,1978,0
chl,1979,0
chl,1980,0
chl,1981,0
chl,1982,0
chl,1983,0
chl,1984,0
chl,1985,0
chl,1986,0
chl,1987,0
chl,1988,0
chl,1989,0
chl,1990,1.92061
chl,1991,0
chl,1992,0
chl,1993,0
chl,1994,0
chl,1995,0
chl,1996,0
chl,1997,0
chl,1998,0
chl,1999,0
chl,2000,0
chl,2001,0
chl,2002,0
chl,2003,0
chl,2004,0
chl,2005,0
chl,2006,0
chl,2007,0
chl,2008,0
chl,2009,0
chl,2010,0
chl,2011,0
chl,2012,0
chl,2013,0
chl,2014,0
chl,2015,0
chl,2016,0
chl,2017,0
chl,2018,0
chl,2019,2.56082
chn,1976,0
chn,1977,0
chn,1978,0
chn,1979,0
chn,1980,0
chn,1981,0
chn,1982,0
chn,1983,0
chn,1984,0
chn,1985,0
chn,1986,0
chn,1987,0
chn,1988,0
chn,1989,0
chn,1990,0
chn,1991,0
chn,1992,0
chn,1993,0
chn,1994,0
chn,1995,0
chn,1996,0
chn,1997,0
chn,1998,0
chn,1999,0
chn,2000,0
chn,2001,0
chn,2002,0
chn,2003,0
chn,2004,0
chn,2005,0
chn,2006,0
chn,2007,0
chn,2008,0
chn,2009,0
chn,2010,0
chn,2011,0
chn,2012,0
chn,2013,0
chn,2014,0
chn,2015,0
chn,2016,0
chn,2017,0
chn,2018,0
chn,2019,0
civ,1976,0
civ,1977,0
civ,1978,0
civ,1979,0
civ,1980,0
civ,1981,0
civ,1982,0
civ,1983,0
civ,1984,0
civ,1985,0
civ,1986,0
civ,1987,0
civ,1988,0
civ,1989,0
civ,1990,0
civ,1991,1.40845
civ,1992,0
civ,1993,0
civ,1994,0
civ,1995,0
civ,1996,0
civ,1997,0
civ,1998,0
civ,1999,0
civ,2000,15.36492
civ,2001,0
civ,2002,0
civ,2003,-18.18182
civ,2004,0
civ,2005,0
civ,2006,0
civ,2007,0
civ,2008,0
civ,2009,0
civ,2010,0
civ,2011,0
civ,2012,9.9872
civ,2013,-1.02433
civ,2014,-1.02433
civ,2015,-1.02433
civ,2016,14.93811
civ,2017,-1.02433
civ,2018,-1.02433
civ,2019,-1.02433
cmr,1976,0
cmr,1977,-0.51216
cmr,1978,-0.51216
cmr,1979,-0.51216
cmr,1980,-0.51216
cmr,1981,-0.51216
cmr,1982,-0.51216
cmr,1983,-0.51216
cmr,1984,-0.51216
cmr,1985,-0.51216
cmr,1986,-0.51216
cmr,1987,-0.51216
cmr,1988,-0.51216
cmr,1989,-0.51216
cmr,1990,-0.51216
