country,time,popcit_less_300k
bfa,2000,785791
bfa,2005,1104545
bfa,2010,1515449
bfa,2015,2030296
bfa,2020,2645456
bfa,2025,3348765
bfa,2030,3838613
bfa,2035,4370054
bgd,1950,1286879
bgd,1955,1242606
bgd,1960,1607168
bgd,1965,2144357
bgd,1970,2532058
bgd,1975,3303769
bgd,1980,6866168
bgd,1985,8847245
bgd,1990,10887761
bgd,1995,12799207
bgd,2000,14841237
bgd,2005,19047330
bgd,2010,23193489
bgd,2015,28069880
bgd,2020,32566334
bgd,2025,36256665
bgd,2030,40460315
bgd,2035,43827674
bgr,1950,1478106
bgr,1955,1819905
bgr,1960,2217469
bgr,1965,2956543
bgr,1970,3560961
bgr,1975,4052975
bgr,1980,4120601
bgr,1985,3974996
bgr,1990,4030000
bgr,1995,3859902
bgr,2000,3727384
bgr,2005,3599797
bgr,2010,3470295
bgr,2015,3378007
bgr,2020,3290438
bgr,2025,3211579
bgr,2030,3124869
bgr,2035,3020711
bhr,1950,74453
bhr,1955,100895
bhr,1960,133710
bhr,1965,154630
bhr,1970,178111
bhr,1975,226495
bhr,1980,309868
bhr,1985,365554
bhr,1990,437115
bhr,1995,498245
bhr,2000,587336
bhr,2005,786221
bhr,2010,1099822
bhr,2015,780008
bhr,2020,572745
bhr,2025,578191
bhr,2030,618806
bhr,2035,654707
bhs,1950,41192
bhs,1955,49566
bhs,1960,65401
bhs,1965,88715
bhs,1970,113068
bhs,1975,132250
bhs,1980,153998
bhs,1985,179943
bhs,1990,204654
bhs,1995,226812
bhs,2000,244291
bhs,2005,270701
bhs,2010,297422
bhs,2015,320094
bhs,2020,338674
bhs,2025,48643
bhs,2030,49430
bhs,2035,50969
bih,1950,363664
bih,1955,474882
bih,1960,614172
bih,1965,806729
bih,1970,1022891
bih,1975,1246861
bih,1980,1172940
bih,1985,1322895
bih,1990,1412806
bih,1995,1227882
bih,2000,1255113
bih,2005,1320840
bih,2010,1353686
bih,2015,1325651
bih,2020,1371721
bih,2025,1419824
bih,2030,1465550
bih,2035,1506950
blr,1950,2031825
blr,1955,1837974
blr,1960,2101226
blr,1965,2547964
blr,1970,3019493
blr,1975,3261047
blr,1980,3421421
blr,1985,3567454
blr,1990,3926170
blr,1995,4052477
blr,2000,3768060
blr,2005,3378924
blr,2010,3381300
blr,2015,3414904
blr,2020,3386138
blr,2025,3391422
blr,2030,3399006
blr,2035,3396385
blz,1950,38104
blz,1955,43673
blz,1960,49741
blz,1965,55692
blz,1970,62268
blz,1975,66858
blz,1980,71175
blz,1985,79853
blz,1990,89021
blz,1995,96084
blz,2000,112275
blz,2005,128360
blz,2010,145456
blz,2015,163139
blz,2020,183182
blz,2025,205478
blz,2030,229676
blz,2035,255936
bol,1950,726153
bol,1955,812567
bol,1960,917556
bol,1965,1040675
bol,1970,1185903
bol,1975,1357979
bol,1980,1394654
bol,1985,1364860
bol,1990,1614537
bol,1995,1808269
bol,2000,1953650
bol,2005,2250778
bol,2010,2601911
bol,2015,2921691
bol,2020,2902560
bol,2025,2859875
bol,2030,3115884
bol,2035,3375135
bra,1950,12192998
bra,1955,15400253
bra,1960,19801983
bra,1965,24721895
bra,1970,28794032
bra,1975,33203073
bra,1980,37037860
bra,1985,43886148
bra,1990,51212822
bra,1995,58813074
bra,2000,65633943
bra,2005,70229515
bra,2010,73705760
bra,2015,75893759
bra,2020,77252763
bra,2025,79665196
bra,2030,81883392
bra,2035,83682357
brb,1950,76069
brb,1955,82687
brb,1960,84932
brb,1965,87420
brb,1970,89687
brb,1975,95596
brb,1980,101136
brb,1985,99134
brb,1990,97406
brb,1995,94236
brb,2000,91281
brb,2005,89988
brb,2010,89099
brb,2015,88815
brb,2020,89695
brb,2025,91766
brb,2030,95042
brb,2035,99579
brn,1950,12843
brn,1955,21948
brn,1960,35478
brn,1965,53901
brn,1970,79920
brn,1975,103782
brn,1980,125968
brn,1985,147498
brn,1990,171931
brn,1995,204005
brn,2000,237146
brn,2005,267160
brn,2010,291344
brn,2015,320102
brn,2020,347838
brn,2025,373730
brn,2030,397083
brn,2035,417408
btn,1950,3713
btn,1955,5431
btn,1960,8029
btn,1965,11927
btn,1970,18165
btn,1975,27566
btn,1980,41458
btn,1985,60459
btn,1990,88052
btn,1995,105741
btn,2000,145753
btn,2005,203329
btn,2010,253171
btn,2015,304542
btn,2020,353445
btn,2025,400623
btn,2030,443902
btn,2035,162231
bwa,1950,11205
bwa,1955,13543
bwa,1960,16053
bwa,1965,22923
bwa,1970,54495
bwa,1975,98144
bwa,1980,164984
bwa,1985,317784
bwa,1990,577801
bwa,1995,768551
bwa,2000,919803
bwa,2005,1038238
bwa,2010,1257527
bwa,2015,1483587
bwa,2020,1712212
bwa,2025,1620171
bwa,2030,1797839
bwa,2035,1965473
caf,1950,191278
caf,1955,238917
caf,1960,302205
caf,1965,387790
caf,1970,502752
caf,1975,644978
caf,1980,425591
caf,1985,530627
caf,1990,615694
caf,1995,728556
caf,2000,834797
caf,2005,927486
caf,2010,1013807
caf,2015,1033094
caf,2020,1187303
caf,2025,1083365
caf,2030,1296373
caf,2035,1533212
can,1950,5057275
can,1955,5371647
can,1960,6051307
can,1965,6525208
can,1970,6728460
can,1975,7194090
can,1980,7571244
can,1985,7178266
can,1990,6920738
can,1995,7081283
can,2000,7323167
can,2005,7151594
can,2010,7500520
can,2015,7692319
can,2020,7515866
can,2025,7831662
can,2030,8185159
can,2035,8230750
che,1950,2651771
che,1955,2922829
che,1960,3220743
che,1965,3272616
che,1970,3150212
che,1975,3302146
che,1980,3287712
che,1985,2855368
che,1990,2688950
che,1995,2521210
che,2000,2522387
che,2005,2549705
che,2010,2695189
che,2015,2877797
che,2020,2969465
che,2025,3071804
che,2030,3192193
che,2035,3316727
chl,1950,1965770
chl,1955,2374533
chl,1960,2821797
chl,1965,3404011
chl,1970,3675281
chl,1975,4070216
chl,1980,4349580
chl,1985,4677916
chl,1990,5127152
chl,1995,5614646
chl,2000,6027305
chl,2005,5796575
chl,2010,6140056
chl,2015,6090167
chl,2020,6309416
chl,2025,6546488
chl,2030,6460170
chl,2035,6339509
chn,1950,38383374
chn,1955,49899082
chn,1960,61014931
chn,1965,79175179
chn,1970,87381476
chn,1975,93547121
chn,1980,114478476
chn,1985,148183901
chn,1990,182581910
chn,1995,202594960
chn,2000,184387121
chn,2005,214152539
chn,2010,246349981
chn,2015,273040927
chn,2020,282339359
chn,2025,275357743
chn,2030,280167891
chn,2035,285194145
civ,1950,262001
civ,1955,397478
civ,1960,629178
civ,1965,748914
civ,1970,928155
civ,1975,1163841
civ,1980,1670968
civ,1985,1847911
civ,1990,2343208
civ,1995,3030131
civ,2000,3724629
civ,2005,4353706
civ,2010,5185505
civ,2015,6349954
civ,2020,7457111
civ,2025,8648029
civ,2030,9907344
civ,2035,11337054
cmr,1950,401988
cmr,1955,537904
cmr,1960,721399
cmr,1965,975314
cmr,1970,1325110
cmr,1975,1602618
cmr,1980,1765249
cmr,1985,2323593
cmr,1990,2928390
cmr,1995,3522285
cmr,2000,4114808
cmr,2005,4799155
cmr,2010,5250014
cmr,2015,4603867
cmr,2020,4999555
cmr,2025,5436674
cmr,2030,5356989
cmr,2035,5882621
cod,1950,2327079
cod,1955,2791904
cod,1960,2957507
cod,1965,3353454
cod,1970,3529309
cod,1975,3698727
cod,1980,4187143
cod,1985,3551153
cod,1990,4341603
cod,1995,5737080
cod,2000,5942705
cod,2005,6837213
cod,2010,7623207
cod,2015,9379159
cod,2020,11696641
cod,2025,14117655
cod,2030,16471273
cod,2035,18555348
cog,1950,206199
cog,1955,258973
cog,1960,327769
cog,1965,417746
cog,1970,534042
cog,1975,358684
cog,1980,434290
cog,1985,214952
cog,1990,259172
cog,1995,309564
cog,2000,332831
cog,2005,335626
cog,2010,382579
cog,2015,312176
cog,2020,254982
cog,2025,287146
cog,2030,333489
cog,2035,387979
col,1950,3017021
col,1955,3465947
col,1960,4700591
col,1965,6110518
col,1970,6984251
col,1975,7736608
col,1980,9066937
col,1985,10511327
col,1990,11421386
col,1995,12752221
col,2000,13556058
col,2005,13406896
col,2010,12637744
col,2015,12495439
col,2020,12278485
col,2025,11741168
col,2030,12157776
col,2035,12530723
com,1950,10526
com,1955,16095
com,1960,23988
com,1965,35217
com,1970,44607
com,1975,54647
com,1980,71463
com,1985,90500
com,1990,114709
com,1995,134543
com,2000,152293
com,2005,170493
com,2010,192925
com,2015,221334
com,2020,255487
com,2025,296345
com,2030,345321
com,2035,401157
cpv,1950,25285
cpv,1955,30400
cpv,1960,33743
cpv,1965,41826
cpv,1970,52849
cpv,1975,58349
cpv,1980,67417
cpv,1985,99247
cpv,1990,150839
cpv,1995,189769
cpv,2000,232485
cpv,2005,273774
cpv,2010,310577
cpv,2015,342663
cpv,2020,378148
cpv,2025,414288
cpv,2030,449958
cpv,2035,483813
cri,1950,321509
cri,1955,379324
cri,1960,456615
cri,1965,568941
cri,1970,359344
cri,1975,427501
cri,1980,503737
cri,1985,613367
cri,1990,807435
cri,1995,1041221
cri,2000,1286008
cri,2005,1675909
cri,2010,2058672
cri,2015,2072667
cri,2020,1968407
cri,2025,2093510
cri,2030,2202215
cri,2035,2291020
cub,1950,2203473
cub,1955,2468207
cub,1960,2734971
cub,1965,3120161
cub,1970,3472767
cub,1975,3907904
cub,1980,4445987
cub,1985,4772528
cub,1990,5240491
cub,1995,5529667
cub,2000,5790632
cub,2005,5685551
cub,2010,5812000
cub,2015,5954697
cub,2020,5985800
cub,2025,5742134
cub,2030,5799512
cub,2035,5839546
cyp,1950,140220
cyp,1955,171363
cyp,1960,204124
cyp,1965,221858
cyp,1970,250120
cyp,1975,307187
cyp,1980,401746
cyp,1985,455131
cyp,1990,511911
cyp,1995,581986
cyp,2000,647550
cyp,2005,701562
cyp,2010,751576
cyp,2015,777234
cyp,2020,806754
cyp,2025,838047
cyp,2030,872761
cyp,2035,599969
cze,1950,3888679
cze,1955,4358127
cze,1960,4397597
cze,1965,4724042
cze,1970,4913456
cze,1975,5564139
cze,1980,5910102
cze,1985,5886308
cze,1990,5852316
cze,1995,5831661
cze,2000,5746623
cze,2005,5667198
cze,2010,6107569
cze,2015,6144026
cze,2020,6191046
cze,2025,6240248
cze,2030,6280893
cze,2035,6313695
deu,1950,34709155
deu,1955,35910135
deu,1960,36604717
deu,1965,38870143
deu,1970,40464838
deu,1975,41411714
deu,1980,41422451
deu,1985,41947295
deu,1990,42791789
deu,1995,45166230
deu,2000,46125244
deu,2005,46953910
deu,2010,46842492
deu,2015,46693992
deu,2020,46742999
deu,2025,46904903
deu,2030,47273361
deu,2035,47709061
dji,1950,24682
dji,1955,31323
dji,1960,42090
dji,1965,64504
dji,1970,98633
dji,1975,150521
dji,1980,258795
dji,1985,318890
dji,1990,131295
dji,1995,112830
dji,2000,145599
dji,2005,158850
dji,2010,170451
dji,2015,186473
dji,2020,204381
dji,2025,227325
dji,2030,245069
dji,2035,260964
dnk,1950,1685790
dnk,1955,1865031
dnk,1960,2091250
dnk,1965,2294756
dnk,1970,2552024
dnk,1975,2987157
dnk,1980,3193791
dnk,1985,3257412
dnk,1990,3326611
dnk,1995,3398342
dnk,2000,3468225
dnk,2005,3527814
dnk,2010,3628948
dnk,2015,3708241
dnk,2020,3761418
dnk,2025,3847630
dnk,2030,3946691
dnk,2035,3733398
dom,1950,561399
dom,1955,746422
dom,1960,627190
dom,1965,856490
dom,1970,1126900
dom,1975,1443594
dom,1980,1769770
dom,1985,1792353
dom,1990,2093640
dom,1995,2433767
dom,2000,2799194
dom,2005,3372712
dom,2010,4110416
dom,2015,4700698
dom,2020,5186517
dom,2025,5279445
dom,2030,5612848
dom,2035,5285806
dza,1950,1454360
dza,1955,1947471
dza,1960,2217666
dza,1965,3347031
dza,1970,4080887
dza,1975,4437818
dza,1980,5886232
dza,1985,8123188
dza,1990,10274886
dza,1995,12713469
dza,2000,14989182
dza,2005,17080854
dza,2010,20001687
dza,2015,22916072
dza,2020,25892951
dza,2025,27998248
dza,2030,29362991
dza,2035,31079561
ecu,1950,981353
ecu,1955,883850
ecu,1960,764336
ecu,1965,941268
ecu,1970,1164727
ecu,1975,1441579
ecu,1980,1845739
ecu,1985,2344746
ecu,1990,2969880
ecu,1995,3584076
ecu,2000,4180332
ecu,2005,4703737
ecu,2010,4945333
ecu,2015,5082266
ecu,2020,5481817
ecu,2025,5642543
ecu,2030,5488025
ecu,2035,5603184
egy,1950,3082407
egy,1955,3916534
egy,1960,5037882
egy,1965,5763393
egy,1970,6964376
egy,1975,8273444
egy,1980,8548197
egy,1985,9228914
egy,1990,10175174
egy,1995,9755532
egy,2000,10239748
egy,2005,10926838
egy,2010,11061738
egy,2015,11680933
egy,2020,12338217
egy,2025,12575519
egy,2030,13987300
egy,2035,15723252
eri,1950,81093
eri,1955,104318
eri,1960,136944
eri,1965,182223
eri,1970,229718
eri,1975,280493
eri,1980,343289
eri,1985,433816
eri,1990,230476
eri,1995,321713
eri,2000,453412
eri,2005,676005
eri,2010,874807
eri,2015,1048601
eri,2020,1283053
eri,2025,1546576
eri,2030,1506132
eri,2035,1771323
esp,1950,10185509
esp,1955,10760389
esp,1960,11120517
esp,1965,11810424
esp,1970,13004607
esp,1975,14477662
esp,1980,15838986
esp,1985,16217032
esp,1990,16439857
esp,1995,16702951
esp,2000,17218646
esp,2005,19014108
esp,2010,20764689
esp,2015,19707371
esp,2020,19438396
esp,2025,19480060
esp,2030,19661533
esp,2035,19842785
est,1950,546864
est,1955,621619
est,1960,700072
est,1965,459176
est,1970,511063
est,1975,552090
est,1980,583229
est,1985,606590
est,1990,638519
est,1995,575097
est,2000,570317
est,2005,534635
est,2010,512950
est,2015,483655
est,2020,455106
est,2025,441445
est,2030,435777
est,2035,432129
eth,1950,441890
eth,1955,634876
eth,1960,905919
eth,1965,1300384
eth,1970,1710935
eth,1975,2154978
eth,1980,2495989
eth,1985,3196693
eth,1990,4278188
eth,1995,5780191
eth,2000,7430588
eth,2005,9412223
eth,2010,12062671
eth,2015,14455397
eth,2020,17997580
eth,2025,21791045
eth,2030,26118484
eth,2035,30341994
fin,1950,1358109
fin,1955,1677601
fin,1960,2003703
fin,1965,2247700
fin,1970,2430953
fin,1975,2618655
fin,1980,2760595
fin,1985,2999702
fin,1990,3094081
fin,1995,3201591
fin,2000,3244397
fin,2005,3292829
fin,2010,3060669
fin,2015,3123473
fin,2020,3125546
fin,2025,3168326
fin,2030,3225523
fin,2035,3279109
fji,1950,70375
fji,1955,90219
fji,1960,116759
fji,1965,151142
fji,1970,180926
fji,1975,211729
fji,1980,239930
fji,1985,274154
fji,1990,303191
fji,1995,352818
fji,2000,388640
fji,2005,409850
fji,2010,448644
fji,2015,488237
fji,2020,529489
fji,2025,567088
fji,2030,601227
fji,2035,631830
fra,1950,12582094
fra,1955,13776918
fra,1960,15033995
fra,1965,17754642
fra,1970,19479227
fra,1975,21215570
fra,1980,21688977
fra,1985,21572603
fra,1990,21989815
fra,1995,22955345
fra,2000,23999119
fra,2005,25288614
fra,2010,26423996
fra,2015,27729079
fra,2020,28927228
fra,2025,29968508
fra,2030,30622545
fra,2035,30922137
fsm,1950,6400
fsm,1955,8008
fsm,1960,9937
fsm,1965,12296
fsm,1970,15240
fsm,1975,16327
fsm,1980,19296
fsm,1985,22406
fsm,1990,24870
fsm,1995,26962
fsm,2000,23990
fsm,2005,23714
fsm,2010,23105
fsm,2015,23452
fsm,2020,24716
fsm,2025,26661
fsm,2030,29253
fsm,2035,32173
gab,1950,53956
gab,1955,68209
gab,1960,86847
gab,1965,126602
gab,1970,188838
gab,1975,279190
gab,1980,398719
gab,1985,517989
gab,1990,292691
gab,1995,372970
gab,2000,475418
gab,2005,594048
gab,2010,754355
gab,2015,953575
gab,2020,1103935
gab,2025,1271977
gab,2030,1415069
gab,2035,1552474
gbr,1950,14613775
gbr,1955,14667951
gbr,1960,15334463
gbr,1965,16900109
gbr,1970,18088702
gbr,1975,19659064
gbr,1980,20961255
gbr,1985,21213200
gbr,1990,21301573
gbr,1995,21648186
gbr,2000,22145718
gbr,2005,22639711
gbr,2010,24510551
gbr,2015,25212850
gbr,2020,26337744
gbr,2025,27043980
gbr,2030,27669956
gbr,2035,28227344
geo,1950,690159
geo,1955,828769
geo,1960,1008331
geo,1965,1187614
geo,1970,1365449
geo,1975,1461103
geo,1980,1543985
geo,1985,1646920
geo,1990,1753932
geo,1995,1542661
geo,2000,1385812
geo,2005,1324245
geo,2010,1270606
geo,2015,1191962
geo,2020,1239945
geo,2025,1271886
geo,2030,1291889
geo,2035,1308633
gha,1950,769242
gha,1955,1084305
gha,1960,1154209
gha,1965,1510977
gha,1970,1509540
gha,1975,1819235
gha,1980,2051423
gha,1985,2638117
gha,1990,3437970
gha,1995,4403546
gha,2000,5464665
gha,2005,6397459
gha,2010,7462785
gha,2015,8807925
gha,2020,9508369
gha,2025,10881201
gha,2030,12161383
gha,2035,13491457
gin,1950,207613
gin,1955,278619
gin,1960,374618
gin,1965,503254
gin,1970,286626
gin,1975,292534
gin,1980,434111
gin,1985,621871
gin,1990,821058
gin,1995,1280873
gin,2000,1527602
gin,2005,1777451
gin,2010,2117007
gin,2015,2535273
gin,2020,3132384
gin,2025,3522902
gin,2030,3206152
gin,2035,3479504
gmb,1950,27856
gmb,1955,33939
gmb,1960,44628
gmb,1965,58255
gmb,1970,87204
gmb,1975,127275
gmb,1980,171726
gmb,1985,241730
gmb,1990,351250
gmb,1995,462336
gmb,2000,258690
gmb,2005,382896
gmb,2010,548417
gmb,2015,751041
gmb,2020,984619
gmb,2025,1220792
gmb,2030,1453126
gmb,2035,1697401
gnb,1950,53616
gnb,1955,67249
gnb,1960,83832
gnb,1965,93635
gnb,1970,107712
gnb,1975,124163
gnb,1980,142580
gnb,1985,213223
gnb,1990,312082
gnb,1995,390837
gnb,2000,450585
gnb,2005,190856
gnb,2010,215499
gnb,2015,249130
gnb,2020,284518
gnb,2025,329382
gnb,2030,381983
gnb,2035,441021
gnq,1950,34875
gnq,1955,48725
gnq,1960,65202
gnq,1965,73516
gnq,1970,82618
gnq,1975,71198
gnq,1980,71164
gnq,1985,107455
gnq,1990,148306
gnq,1995,204444
gnq,2000,301586
gnq,2005,437275
gnq,2010,627157
gnq,2015,517434
gnq,2020,293218
gnq,2025,339252
gnq,2030,392938
gnq,2035,449864
grc,1950,2651970
grc,1955,2439835
grc,1960,2441314
grc,1965,2499561
grc,1970,2534336
grc,1975,2676572
grc,1980,2999752
grc,1985,3263207
grc,1990,3508756
grc,1995,3888687
grc,2000,4125670
grc,2005,4430948
grc,2010,4755867
grc,2015,4784859
grc,2020,4884888
grc,2025,4926347
grc,2030,4944279
grc,2035,4951073
grd,1950,21850
grd,1955,23825
grd,1960,27259
grd,1965,29579
grd,1970,30416
grd,1975,30102
grd,1980,29293
grd,1985,33146
grd,1990,32184
grd,1995,34558
grd,2000,36276
grd,2005,36954
grd,2010,37543
grd,2015,38453
grd,2020,39938
grd,2025,41685
grd,2030,43545
grd,2035,45674
gtm,1950,419479
gtm,1955,547384
gtm,1960,705619
gtm,1965,887520
gtm,1970,1081153
gtm,1975,1335523
gtm,1980,1668044
gtm,1985,2035214
gtm,1990,2441880
gtm,1995,2892806
gtm,2000,3308526
gtm,2005,3841851
gtm,2010,4521571
gtm,2015,5383198
gtm,2020,6349452
gtm,2025,6635936
gtm,2030,7180369
gtm,2035,7749937
guy,1950,113930
guy,1955,137627
guy,1960,165880
guy,1965,190403
guy,1970,207428
guy,1975,223507
guy,1980,237849
guy,1985,231388
guy,1990,219893
guy,1995,221814
guy,2000,216152
guy,2005,208931
guy,2010,198836
guy,2015,203204
guy,2020,211821
guy,2025,222762
guy,2030,235547
guy,2035,250134
hkg,1950,0
hkg,1955,0
hkg,1960,0
hkg,1965,0
hkg,1970,0
hkg,1975,0
hkg,1980,0
hkg,1985,0
hkg,1990,0
hkg,1995,0
hkg,2000,0
hkg,2005,0
hkg,2010,0
hkg,2015,0
hkg,2020,0
hkg,2025,0
hkg,2030,0
hkg,2035,0
hnd,1950,271884
hnd,1955,354938
hnd,1960,463736
hnd,1965,603016
hnd,1970,785165
hnd,1975,1012497
hnd,1980,911863
hnd,1985,1144430
hnd,1990,1432554
hnd,1995,1428398
hnd,2000,1759987
hnd,2005,2155840
hnd,2010,2562623
hnd,2015,2943071
hnd,2020,3001404
hnd,2025,3349708
hnd,2030,3394286
hnd,2035,3727487
hrv,1950,545677
hrv,1955,670592
hrv,1960,834531
hrv,1965,1022924
hrv,1970,1215682
hrv,1975,1367753
hrv,1980,1526703
hrv,1985,1648563
hrv,1990,1735062
hrv,1995,1713245
hrv,2000,1672997
hrv,2005,1687747
hrv,2010,1698749
hrv,2015,1692074
hrv,2020,1683955
hrv,2025,1690525
hrv,2030,1705709
hrv,2035,1725126
hti,1950,391991
hti,1955,484645
hti,1960,602843
hti,1965,413654
hti,1970,471018
hti,1975,474035
hti,1980,467937
hti,1985,604173
hti,1990,889874
hti,1995,1121224
hti,2000,1350047
hti,2005,1779092
hti,2010,2610044
hti,2015,3176917
hti,2020,3717972
hti,2025,3898105
hti,2030,3971723
hti,2035,4313213
hun,1950,3333323
hun,1955,3636524
hun,1960,3780580
hun,1965,4022920
hun,1970,4285493
hun,1975,4546383
hun,1980,4846334
hun,1985,4842635
hun,1990,4827223
hun,1995,4855935
hun,2000,4812984
hun,2005,4937877
hun,2010,5106947
hun,2015,5151773
hun,2020,5153694
hun,2025,5155575
hun,2030,5154021
hun,2035,5135235
idn,1950,5610371
idn,1955,5499511
idn,1960,5541106
idn,1965,6908435
idn,1970,8958673
idn,1975,12107190
idn,1980,15032171
idn,1985,22047684
idn,1990,29759104
idn,1995,42891661
idn,2000,56999799
idn,2005,69200192
idn,2010,81843102
idn,2015,93847756
idn,2020,104867233
idn,2025,114788372
idn,2030,124575498
idn,2035,133116111
ind,1950,46257127
ind,1955,49738675
ind,1960,52467302
ind,1965,58148063
ind,1970,65128487
ind,1975,76414187
ind,1980,88860284
ind,1985,102243899
ind,1990,113447781
ind,1995,126737344
ind,2000,136676812
ind,2005,154963689
ind,2010,173231173
ind,2015,184911924
ind,2020,198304448
ind,2025,214166478
ind,2030,231674948
ind,2035,250977989
irl,1950,541673
irl,1955,620418
irl,1960,613944
irl,1965,599093
irl,1970,741546
irl,1975,874735
irl,1980,997187
irl,1985,1086133
irl,1990,1115560
irl,1995,1169580
irl,2000,1288199
irl,2005,1510623
irl,2010,1747276
irl,2015,1776552
irl,2020,1883157
irl,2025,1995721
irl,2030,2110377
irl,2035,2235819
irn,1950,3674777
irn,1955,4498641
irn,1960,4884375
irn,1965,5577109
irn,1970,6689697
irn,1975,8172915
irn,1980,10103403
irn,1985,13421732
irn,1990,15899036
irn,1995,18424447
irn,2000,21520797
irn,2005,23555997
irn,2010,25998488
irn,2015,28801968
irn,2020,31081928
irn,2025,32204195
irn,2030,32822813
irn,2035,33203519
irq,1950,1429524
irq,1955,1728288
irq,1960,2108419
irq,1965,2324408
irq,1970,2848469
irq,1975,3805020
irq,1980,4621200
irq,1985,5000343
