country,time,immigrant_pc
btn,2020,6.95
bwa,1990,2.14
bwa,1995,2.73
bwa,2000,4.56
bwa,2005,4.71
bwa,2010,4.77
bwa,2015,4.86
bwa,2020,4.69
caf,1990,2.4
caf,1995,3.09
caf,2000,3.39
caf,2005,2.39
caf,2010,2.16
caf,2015,1.82
caf,2020,1.83
can,1990,15.73
can,1995,16.68
can,2000,18.02
can,2005,18.9
can,2010,19.8
can,2015,20.62
can,2020,21.33
che,1990,20.93
che,1995,21.14
che,2000,21.99
che,2005,24.44
che,2010,26.58
che,2015,27.22
che,2020,28.79
chl,1990,0.81
chl,1995,0.99
chl,2000,1.16
chl,2005,1.71
chl,2010,2.2
chl,2015,3.56
chl,2020,8.61
chn,1990,0.03
chn,1995,0.04
chn,2000,0.04
chn,2005,0.05
chn,2010,0.06
chn,2015,0.07
chn,2020,0.07
civ,1990,15.23
civ,1995,14.62
civ,2000,13.15
civ,2005,12.34
civ,2010,11.53
civ,2015,10.64
civ,2020,9.72
cmr,1990,2.26
cmr,1995,1.8
cmr,2000,1.46
cmr,2005,1.5
cmr,2010,1.43
cmr,2015,2.18
cmr,2020,2.18
cod,1990,2.18
cod,1995,4.37
cod,2000,1.58
cod,2005,1.14
cod,2010,0.91
cod,2015,1.06
cod,2020,1.06
cog,1990,5.49
cog,1995,7.08
cog,2000,9.78
cog,2005,8.8
cog,2010,9.95
cog,2015,8.03
cog,2020,7.02
col,1990,0.32
col,1995,0.29
col,2000,0.28
col,2005,0.25
col,2010,0.29
col,2015,0.34
col,2020,3.74
com,1990,3.42
com,1995,2.93
com,2000,2.54
com,2005,2.16
com,2010,1.83
com,2015,1.61
com,2020,1.44
cpv,1990,2.64
cpv,1995,2.58
cpv,2000,2.58
cpv,2005,2.74
cpv,2010,2.92
cpv,2015,2.84
cpv,2020,2.84
cri,1990,13.39
cri,1995,10.27
cri,2000,7.85
cri,2005,8.36
cri,2010,8.86
cri,2015,8.49
cri,2020,10.22
cub,1990,0.33
cub,1995,0.24
cub,2000,0.17
cub,2005,0.1
cub,2010,0.07
cub,2015,0.04
cub,2020,0.03
cyp,1990,5.71
cyp,1995,7.24
cyp,2000,8.49
cyp,2005,11.95
cyp,2010,16.94
cyp,2015,15.22
cyp,2020,15.77
cze,1990,1.07
cze,1995,1.6
cze,2000,2.15
cze,2005,3.14
cze,2010,3.78
cze,2015,3.93
cze,2020,5.05
deu,1990,7.51
deu,1995,9.2
deu,2000,11.05
deu,2005,11.52
deu,2010,12.14
deu,2015,12.5
deu,2020,18.81
dji,1990,20.7
dji,1995,15.83
dji,2000,14.01
dji,2005,11.76
dji,2010,12.18
dji,2015,12.29
dji,2020,12.12
dma,1990,3.58
dma,1995,4.39
dma,2000,5.35
dma,2005,6.72
dma,2010,11.44
dma,2015,11.37
dma,2020,11.51
dnk,1990,4.57
dnk,1995,5.79
dnk,2000,6.95
dnk,2005,8.12
dnk,2010,9.02
dnk,2015,10.47
dnk,2020,12.39
dom,1990,4.08
dom,1995,4.14
dom,2000,4.2
dom,2005,4.13
dom,2010,4.08
dom,2015,5.34
dom,2020,5.57
dza,1990,1.06
dza,1995,0.91
dza,2000,0.81
dza,2005,0.6
dza,2010,0.6
dza,2015,0.6
dza,2020,0.57
ecu,1990,0.77
ecu,1995,1
ecu,2000,1.19
ecu,2005,1.37
ecu,2010,2.5
ecu,2015,2.39
ecu,2020,4.45
egy,1990,0.31
egy,1995,0.27
egy,2000,0.27
egy,2005,0.38
egy,2010,0.37
egy,2015,0.38
egy,2020,0.53
eri,1990,0.52
eri,1995,0.56
eri,2000,0.56
eri,2005,0.56
eri,2010,0.5
eri,2015,0.48
eri,2020,0.39
esp,1990,2.1
esp,1995,2.56
esp,2000,4.06
esp,2005,9.33
esp,2010,13.38
esp,2015,12.62
esp,2020,14.63
est,1990,24.4
est,1995,22.03
est,2000,17.83
est,2005,17.24
est,2010,16.36
est,2015,14.8
est,2020,15.02
eth,1990,2.41
eth,1995,1.41
eth,2000,0.92
eth,2005,0.67
eth,2010,0.65
eth,2015,1.15
eth,2020,0.94
fin,1990,1.27
fin,1995,1.95
fin,2000,2.63
fin,2005,3.65
fin,2010,4.26
fin,2015,5.74
fin,2020,6.97
fji,1990,1.82
fji,1995,1.68
fji,2000,1.57
fji,2005,1.51
fji,2010,1.55
fji,2015,1.58
fji,2020,1.57
fra,1990,10.41
fra,1995,10.53
fra,2000,10.64
fra,2005,11.02
fra,2010,11.63
fra,2015,12.22
fra,2020,13.06
fsm,1990,3.83
fsm,1995,3.11
fsm,2000,2.9
fsm,2005,2.74
fsm,2010,2.73
fsm,2015,2.53
fsm,2020,2.46
gab,1990,13.5
gab,1995,15.8
gab,2000,17.46
gab,2005,16.82
gab,2010,16.68
gab,2015,19.44
gab,2020,18.72
gbr,1990,6.39
gbr,1995,7.17
gbr,2000,8.03
gbr,2005,9.83
gbr,2010,11.22
gbr,2015,12.76
gbr,2020,13.79
geo,1990,5.63
geo,1995,3.06
geo,2000,1.74
geo,2005,1.69
geo,2010,1.78
geo,2015,1.91
geo,2020,1.99
gha,1990,1.12
gha,1995,1.49
gha,2000,0.99
gha,2005,1.42
gha,2010,1.36
gha,2015,1.49
gha,2020,1.53
gin,1990,6.35
gin,1995,10.65
gin,2000,6.8
gin,2005,2.56
gin,2010,1.75
gin,2015,1.11
gin,2020,0.92
gmb,1990,12.36
gmb,1995,13.37
gmb,2000,13.85
gmb,2005,11.78
gmb,2010,10.36
gmb,2015,9.23
gmb,2020,8.92
gnb,1990,1.58
gnb,1995,2.57
gnb,2000,1.7
gnb,2005,1.55
gnb,2010,1.4
gnb,2015,1.29
gnb,2020,0.91
gnq,1990,0.65
gnq,1995,0.73
gnq,2000,0.75
gnq,2005,0.88
gnq,2010,0.92
gnq,2015,17.94
gnq,2020,16.44
grc,1990,6.04
grc,1995,7.98
grc,2000,10.03
grc,2005,10.61
grc,2010,12.13
grc,2015,11.66
grc,2020,12.86
grd,1990,4.43
grd,1995,5.53
grd,2000,6.64
grd,2005,6.59
grd,2010,6.57
grd,2015,6.44
grd,2020,6.41
gtm,1990,2.85
gtm,1995,1.5
gtm,2000,0.41
gtm,2005,0.44
gtm,2010,0.45
gtm,2015,0.46
gtm,2020,0.47
guy,1990,0.55
guy,1995,0.83
guy,2000,1.15
guy,2005,1.46
guy,2010,1.09
guy,2015,1.13
guy,2020,3.96
hkg,1990,38.73
hkg,1995,40.17
hkg,2000,40.4
hkg,2005,40.2
hkg,2010,39.91
hkg,2015,39.54
hkg,2020,39.52
hnd,1990,5.46
hnd,1995,2.62
hnd,2000,0.43
hnd,2005,0.37
hnd,2010,0.33
hnd,2015,0.42
hnd,2020,0.4
hos,1990,100
hos,1995,100
hos,2000,100
hos,2005,100
hos,2010,100
hos,2015,100
hos,2020,100
hrv,1990,9.95
hrv,1995,14.6
hrv,2000,13.22
hrv,2005,13.23
hrv,2010,13.24
hrv,2015,13.26
hrv,2020,12.86
hti,1990,0.27
hti,1995,0.23
hti,2000,0.2
hti,2005,0.18
hti,2010,0.17
hti,2015,0.17
hti,2020,0.17
hun,1990,3.35
hun,1995,3.11
hun,2000,2.91
hun,2005,3.64
hun,2010,4.4
hun,2015,4.86
hun,2020,6.05
idn,1990,0.26
idn,1995,0.19
idn,2000,0.14
idn,2005,0.13
idn,2010,0.13
idn,2015,0.13
idn,2020,0.13
ind,1990,0.87
ind,1995,0.72
ind,2000,0.61
ind,2005,0.52
ind,2010,0.45
ind,2015,0.4
ind,2020,0.35
irl,1990,6.49
irl,1995,6.32
irl,2000,9.27
irl,2005,14.22
irl,2010,16.04
irl,2015,16.32
irl,2020,17.64
irn,1990,7.61
irn,1995,4.78
irn,2000,3.77
irn,2005,3.66
irn,2010,3.69
irn,2015,3.48
irn,2020,3.33
irq,1990,0.48
irq,1995,0.99
irq,2000,0.9
irq,2005,0.5
irq,2010,0.41
irq,2015,1.01
irq,2020,0.91
isl,1990,3.76
isl,1995,4.76
isl,2000,5.67
isl,2005,8.64
isl,2010,10.95
isl,2015,11.83
isl,2020,19.17
isr,1990,36.7
isr,1995,34
isr,2000,31.14
isr,2005,28.94
isr,2010,26.63
isr,2015,25.21
isr,2020,22.57
ita,1990,2.5
ita,1995,3.1
ita,2000,3.74
ita,2005,6.79
ita,2010,9.76
ita,2015,9.58
ita,2020,10.56
jam,1990,0.85
jam,1995,0.9
jam,2000,0.94
jam,2005,0.89
jam,2010,0.84
jam,2015,0.8
jam,2020,0.8
jor,1990,32.15
jor,1995,33.5
jor,2000,37.63
jor,2005,38.14
jor,2010,38.38
jor,2015,34.18
jor,2020,33.89
jpn,1990,0.86
jpn,1995,1.08
jpn,2000,1.32
jpn,2005,1.57
jpn,2010,1.66
jpn,2015,1.74
jpn,2020,2.19
kaz,1990,22.09
kaz,1995,20.53
kaz,2000,19.26
kaz,2005,20.15
kaz,2010,20.52
kaz,2015,20.18
kaz,2020,19.88
ken,1990,1.26
ken,1995,2.23
ken,2000,2.21
ken,2005,2.11
ken,2010,2.27
ken,2015,2.35
ken,2020,1.95
kgz,1990,14.25
kgz,1995,11.35
kgz,2000,7.92
kgz,2005,6.1
kgz,2010,4.28
kgz,2015,3.43
kgz,2020,3.05
khm,1990,0.43
khm,1995,0.87
khm,2000,1.2
khm,2005,0.86
khm,2010,0.57
khm,2015,0.48
khm,2020,0.47
kir,1990,2.99
kir,1995,2.86
kir,2000,2.7
kir,2005,2.69
kir,2010,2.79
kir,2015,2.63
kir,2020,2.62
kna,1990,7.97
kna,1995,10.1
kna,2000,13.32
kna,2005,14.26
kna,2010,14.78
kna,2015,14.54
kna,2020,14.52
kor,1990,0.1
kor,1995,0.27
kor,2000,0.52
kor,2005,1
kor,2010,1.86
kor,2015,2.7
kor,2020,3.37
kwt,1990,51.28
kwt,1995,57.41
kwt,2000,55.14
kwt,2005,58.74
kwt,2010,62.66
kwt,2015,74.72
kwt,2020,72.83
lao,1990,0.54
lao,1995,0.49
lao,2000,0.41
lao,2005,0.35
lao,2010,0.53
lao,2015,0.68
lao,2020,0.67
lbn,1990,18.68
lbn,1995,17.24
lbn,2000,18.03
lbn,2005,15.8
lbn,2010,16.01
lbn,2015,29.33
lbn,2020,25.09
lbr,1990,4.57
lbr,1995,10.2
lbr,2000,5.33
lbr,2005,2.71
lbr,2010,2.55
lbr,2015,2.51
lbr,2020,1.74
lby,1990,10.3
lby,1995,10.27
lby,2000,10.59
lby,2005,10.79
lby,2010,11.09
lby,2015,12.01
lby,2020,12.03
lca,1990,3.84
lca,1995,4.87
lca,2000,6.3
lca,2005,6.02
lca,2010,5.2
lca,2015,4.84
lca,2020,4.54
lie,1990,37.88
lie,1995,43.1
lie,2000,46.66
lie,2005,54.43
lie,2010,62.07
lie,2015,63.52
lie,2020,67.85
lka,1990,0.24
lka,1995,0.22
lka,2000,0.21
lka,2005,0.2
lka,2010,0.19
lka,2015,0.19
lka,2020,0.19
lso,1990,0.48
lso,1995,0.38
lso,2000,0.3
lso,2005,0.32
lso,2010,0.32
lso,2015,0.44
lso,2020,0.56
ltu,1990,9.45
ltu,1995,7.54
ltu,2000,6.12
ltu,2005,6.02
ltu,2010,5.15
ltu,2015,4.64
ltu,2020,5.33
lux,1990,29.81
lux,1995,30.9
lux,2000,32.04
lux,2005,32.9
lux,2010,32.12
lux,2015,43.92
lux,2020,47.62
lva,1990,24.25
lva,1995,21.45
lva,2000,18.04
lva,2005,16.73
lva,2010,14.81
lva,2015,13.29
lva,2020,12.69
mar,1990,0.22
mar,1995,0.19
mar,2000,0.18
mar,2005,0.18
mar,2010,0.22
mar,2015,0.27
mar,2020,0.28
mco,1990,69.17
mco,1995,68.53
mco,2000,67.77
mco,2005,62.98
mco,2010,59.34
mco,2015,68.88
mco,2020,67.78
mda,1990,12.46
mda,1995,8.46
mda,2000,5.9
mda,2005,4.11
mda,2010,3.17
mda,2015,2.61
mda,2020,2.59
mdg,1990,0.21
mdg,1995,0.16
mdg,2000,0.15
mdg,2005,0.14
mdg,2010,0.14
mdg,2015,0.13
mdg,2020,0.13
mdv,1990,3.89
mdv,1995,7.28
mdv,2000,9.7
mdv,2005,14.09
mdv,2010,14.95
mdv,2015,14.13
mdv,2020,12.96
mex,1990,0.83
mex,1995,0.5
mex,2000,0.54
mex,2005,0.67
mex,2010,0.85
mex,2015,0.83
mex,2020,0.93
mhl,1990,2.45
mhl,1995,2.93
mhl,2000,3.73
mhl,2005,4.37
mhl,2010,5.48
mhl,2015,5.72
mhl,2020,5.57
mkd,1990,4.77
mkd,1995,5.51
mkd,2000,6.18
mkd,2005,6.2
mkd,2010,6.26
mkd,2015,6.29
mkd,2020,6.3
mli,1990,1.9
mli,1995,1.84
mli,2000,1.73
mli,2005,2.02
mli,2010,2.27
mli,2015,2.41
mli,2020,2.4
mlt,1990,4.16
mlt,1995,4.71
mlt,2000,5.47
mlt,2005,6.07
mlt,2010,7.97
mlt,2015,12.14
mlt,2020,25.99
mmr,1990,0.32
mmr,1995,0.26
mmr,2000,0.21
mmr,2005,0.17
mmr,2010,0.15
mmr,2015,0.14
mmr,2020,0.14
mne,1990,0
mne,1995,0
mne,2000,0
mne,2005,0
mne,2010,12.58
mne,2015,11.44
mne,2020,11.3
mng,1990,0.31
mng,1995,0.32
mng,2000,0.34
mng,2005,0.45
mng,2010,0.59
mng,2015,0.66
mng,2020,0.65
moz,1990,0.94
moz,1995,1.09
moz,2000,1.1
moz,2005,1.31
moz,2010,1.3
moz,2015,1.19
moz,2020,1.08
mrt,1990,5.49
mrt,1995,3.87
mrt,2000,2.18
mrt,2005,1.92
mrt,2010,2.43
mrt,2015,4.12
mrt,2020,3.92
mus,1990,0.34
mus,1995,0.66
mus,2000,1.31
mus,2005,1.61
mus,2010,1.99
mus,2015,2.27
mus,2020,2.27
mwi,1990,11.99
mwi,1995,2.45
mwi,2000,2.09
mwi,2005,1.76
mwi,2010,1.5
mwi,2015,1.18
mwi,2020,1
mys,1990,3.86
mys,1995,4.58
mys,2000,6.31
mys,2005,7.47
mys,2010,8.57
mys,2015,10.84
mys,2020,10.74
nam,1990,8.42
nam,1995,7.09
nam,2000,7.55
nam,2005,5.54
nam,2010,4.9
nam,2015,4.39
nam,2020,4.31
ner,1990,1.44
ner,1995,1.54
ner,2000,1.08
ner,2005,0.91
ner,2010,0.77
ner,2015,1.26
ner,2020,1.44
nga,1990,0.48
nga,1995,0.43
nga,2000,0.4
nga,2005,0.7
nga,2010,0.62
nga,2015,0.66
nga,2020,0.63
nic,1990,0.99
nic,1995,0.57
nic,2000,0.6
nic,2005,0.64
nic,2010,0.64
nic,2015,0.65
nic,2020,0.64
nld,1990,7.9
nld,1995,8.7
nld,2000,9.77
nld,2005,10.61
nld,2010,10.98
nld,2015,11.79
nld,2020,13.76
nor,1990,4.53
nor,1995,5.34
nor,2000,6.5
nor,2005,7.8
nor,2010,10.74
nor,2015,14.35
nor,2020,15.72
npl,1990,2.27
npl,1995,3.2
npl,2000,3
npl,2005,2.64
npl,2010,2.15
npl,2015,1.89
npl,2020,1.67
nru,1990,29.61
nru,1995,24.52
nru,2000,23.16
nru,2005,22.88
nru,2010,9.05
nru,2015,17.67
nru,2020,20.32
nzl,1990,15.24
nzl,1995,16.02
nzl,2000,17.59
nzl,2005,20.31
nzl,2010,21.68
nzl,2015,22.53
nzl,2020,28.65
omn,1990,16.78
omn,1995,24.48
omn,2000,27.5
omn,2005,26.53
omn,2010,26.84
omn,2015,43.5
omn,2020,46.47
pak,1990,5.77
pak,1995,2.96
pak,2000,2.94
pak,2005,1.98
pak,2010,2.2
pak,2015,1.76
pak,2020,1.48
pan,1990,2.54
pan,1995,2.59
pan,2000,2.75
pan,2005,3.29
pan,2010,4.33
pan,2015,4.65
pan,2020,7.26
per,1990,0.26
per,1995,0.23
per,2000,0.25
per,2005,0.28
per,2010,0.36
per,2015,0.51
per,2020,3.71
phl,1990,0.25
phl,1995,0.3
phl,2000,0.41
phl,2005,0.3
phl,2010,0.22
phl,2015,0.21
phl,2020,0.21
plw,1990,18.6
plw,1995,27.68
plw,2000,33.03
plw,2005,30.54
plw,2010,30.58
plw,2015,27.95
plw,2020,28.12
png,1990,0.73
png,1995,0.65
png,2000,0.45
png,2005,0.46
png,2010,0.42
png,2015,0.38
png,2020,0.35
pol,1990,2.97
pol,1995,2.51
pol,2000,2.14
pol,2005,1.88
pol,2010,1.68
pol,2015,1.61
pol,2020,2.16
prk,1990,0.17
prk,1995,0.16
prk,2000,0.16
prk,2005,0.17
prk,2010,0.18
prk,2015,0.19
prk,2020,0.19
prt,1990,4.4
prt,1995,5.28
prt,2000,6.33
prt,2005,7.34
prt,2010,7.2
prt,2015,8.34
prt,2020,9.83
pry,1990,4.64
pry,1995,3.91
pry,2000,3.32
pry,2005,2.89
pry,2010,2.57
pry,2015,2.34
pry,2020,2.38
pse,1990,13.72
pse,1995,10.76
pse,2000,8.54
pse,2005,7.67
pse,2010,6.75
pse,2015,6.03
pse,2020,5.35
qat,1990,65.04
qat,1995,70.44
qat,2000,60.71
qat,2005,74.65
qat,2010,78.46
qat,2015,65.78
qat,2020,77.27
rou,1990,0.58
rou,1995,0.59
rou,2000,0.61
rou,2005,0.68
rou,2010,0.87
rou,2015,1.41
rou,2020,3.67
rus,1990,7.81
rus,1995,8.05
rus,2000,8.13
rus,2005,8.12
rus,2010,7.8
rus,2015,8.03
rus,2020,7.97
rwa,1990,2.2
rwa,1995,3.7
rwa,2000,4.37
rwa,2005,4.79
rwa,2010,4.25
rwa,2015,4.53
rwa,2020,3.97
sau,1990,30.79
sau,1995,27.48
sau,2000,25.47
sau,2005,27.3
sau,2010,30.74
sau,2015,33.96
sau,2020,38.65
sdn,1990,6.96
sdn,1995,4.37
sdn,2000,2.95
sdn,2005,1.77
sdn,2010,1.79
sdn,2015,1.6
sdn,2020,3.15
sen,1990,3.59
sen,1995,3.31
sen,2000,2.37
sen,2005,2.15
sen,2010,2.02
sen,2015,1.83
sen,2020,1.64
sgp,1990,24.14
sgp,1995,28.12
sgp,2000,33.55
sgp,2005,40.1
sgp,2010,42.19
sgp,2015,44.41
sgp,2020,43.14
slb,1990,1.36
slb,1995,1.16
slb,2000,0.96
slb,2005,0.7
slb,2010,0.52
slb,2015,0.43
slb,2020,0.37
sle,1990,5.14
sle,1995,2.29
sle,2000,2.14
sle,2005,2.59
sle,2010,1.24
sle,2015,0.82
sle,2020,0.67
slv,1990,0.9
slv,1995,0.7
slv,2000,0.54
slv,2005,0.6
slv,2010,0.65
slv,2015,0.66
slv,2020,0.66
smr,1990,13.72
smr,1995,14.11
smr,2000,14.73
smr,2005,14.38
smr,2010,15.63
smr,2015,15.61
smr,2020,16.33
som,1990,6.62
som,1995,0.26
som,2000,0.23
som,2005,0.2
som,2010,0.4
som,2015,0.3
som,2020,0.37
srb,1990,1.04
srb,1995,8.81
srb,2000,10.31
srb,2005,9.3
srb,2010,9.19
srb,2015,9.1
srb,2020,9.42
ssd,1990,0
ssd,1995,0
ssd,2000,0
ssd,2005,0
ssd,2010,2.43
ssd,2015,7.88
ssd,2020,7.88
stp,1990,4.68
stp,1995,3.75
stp,2000,3.07
stp,2005,2.18
stp,2010,1.5
stp,2015,1.2
stp,2020,0.98
sur,1990,4.46
sur,1995,5.05
sur,2000,5.84
sur,2005,6.74
sur,2010,7.51
sur,2015,7.71
sur,2020,8.15
svk,1990,0.78
svk,1995,1.29
svk,2000,2.16
svk,2005,2.42
svk,2010,2.71
svk,2015,3.27
svk,2020,3.61
svn,1990,8.88
svn,1995,8.76
svn,2000,10.79
svn,2005,10.89
svn,2010,12.42
svn,2015,11.47
svn,2020,13.37
swe,1990,9.21
swe,1995,10.59
swe,2000,11.3
swe,2005,12.46
swe,2010,14.24
swe,2015,16.41
swe,2020,19.84
swz,1990,9.12
swz,1995,3.79
swz,2000,3.39
swz,2005,3.24
swz,2010,3.06
swz,2015,2.93
swz,2020,2.83
syc,1990,5.27
syc,1995,6.72
syc,2000,8.12
syc,2005,10.15
syc,2010,12.51
syc,2015,13.47
syc,2020,13.27
syr,1990,5.74
syr,1995,5.79
syr,2000,5.09
syr,2005,4.81
syr,2010,8.35
syr,2015,4.64
syr,2020,4.96
tcd,1990,1.25
tcd,1995,1.28
tcd,2000,1.25
tcd,2005,3.49
tcd,2010,3.49
tcd,2015,3.31
tcd,2020,3.33
tgo,1990,2.25
tgo,1995,2.4
tgo,2000,2.8
tgo,2005,3.64
tgo,2010,3.98
tgo,2015,3.79
tgo,2020,3.38
tha,1990,0.93
tha,1995,1.36
tha,2000,2
tha,2005,3.36
tha,2010,4.81
tha,2015,5.05
tha,2020,5.2
tjk,1990,8.12
tjk,1995,6.04
tjk,2000,4.82
tjk,2005,4.13
tjk,2010,3.72
tjk,2015,3.25
tjk,2020,2.89
tkm,1990,8.32
tkm,1995,6.5
tkm,2000,4.85
tkm,2005,4.48
tkm,2010,3.89
tkm,2015,3.53
tkm,2020,3.23
tls,1990,1.21
tls,1995,1.15
tls,2000,1.2
tls,2005,1.13
tls,2010,1.06
tls,2015,0.71
tls,2020,0.64
ton,1990,3.06
ton,1995,3.41
ton,2000,3.76
ton,2005,4.26
ton,2010,4.43
ton,2015,3.92
ton,2020,3.54
tto,1990,4.15
tto,1995,3.67
tto,2000,3.3
tto,2005,3.46
tto,2010,3.63
tto,2015,3.65
tto,2020,5.63
tun,1990,0.46
tun,1995,0.41
tun,2000,0.38
tun,2005,0.35
tun,2010,0.41
tun,2015,0.51
tun,2020,0.51
tur,1990,2.16
tur,1995,2.08
tur,2000,2.03
tur,2005,1.95
tur,2010,1.9
tur,2015,5.53
tur,2020,7.18
tuv,1990,3.57
tuv,1995,2.83
tuv,2000,2.32
tuv,2005,2.09
tuv,2010,2.09
tuv,2015,2.07
tuv,2020,2.03
twn,1990,0
twn,1995,0
twn,2000,0
twn,2005,0
twn,2010,0
twn,2015,0
twn,2020,0
tza,1990,2.28
tza,1995,3.73
tza,2000,2.83
tza,2005,2.01
tza,2010,0.7
tza,2015,0.75
tza,2020,0.71
uga,1990,3.14
uga,1995,2.97
uga,2000,2.47
uga,2005,2.14
uga,2010,1.52
uga,2015,2.23
uga,2020,3.76
ukr,1990,13.39
ukr,1995,12.13
ukr,2000,11.32
ukr,2005,10.77
ukr,2010,10.52
ukr,2015,10.94
ukr,2020,11.43
ury,1990,3.16
ury,1995,2.9
ury,2000,2.68
ury,2005,2.48
ury,2010,2.27
ury,2015,2.31
ury,2020,3.12
usa,1990,9.22
usa,1995,10.73
usa,2000,12.36
usa,2005,13.31
usa,2010,14.3
usa,2015,15.01
usa,2020,15.3
uzb,1990,8.1
uzb,1995,6.64
uzb,2000,5.68
uzb,2005,5.03
uzb,2010,4.28
uzb,2015,3.79
uzb,2020,3.47
vct,1990,3.69
vct,1995,3.83
vct,2000,4
vct,2005,4.08
vct,2010,4.22
vct,2015,4.25
vct,2020,4.27
ven,1990,5.22
ven,1995,4.65
ven,2000,4.19
ven,2005,4.07
ven,2010,4.74
ven,2015,4.67
ven,2020,4.66
vnm,1990,0.04
vnm,1995,0.07
vnm,2000,0.07
vnm,2005,0.06
vnm,2010,0.07
vnm,2015,0.08
vnm,2020,0.08
vut,1990,1.57
vut,1995,1.46
vut,2000,1.42
vut,2005,1.34
vut,2010,1.27
vut,2015,1.18
vut,2020,1.06
wsm,1990,2.06
wsm,1995,2.76
wsm,2000,3.44
wsm,2005,3.2
wsm,2010,2.75
wsm,2015,2.2
wsm,2020,2.03
yem,1990,1.02
yem,1995,0.92
yem,2000,0.83
yem,2005,0.85
yem,2010,1.25
yem,2015,1.43
yem,2020,1.3
zaf,1990,3.16
zaf,1995,2.42
zaf,2000,2.26
zaf,2005,2.82
zaf,2010,4.13
zaf,2015,5.83
zaf,2020,4.82
zmb,1990,3.48
zmb,1995,2.69
zmb,2000,3.3
zmb,2005,2.13
zmb,2010,1.1
zmb,2015,0.83
zmb,2020,1.02
zwe,1990,6.08
zwe,1995,3.78
