country,time,refas_prc_undesa
gbr,2005,5.33
gbr,2010,3.55
gbr,2015,2.01
gbr,2020,2.08
geo,1995,2.1
geo,2000,8.41
geo,2005,3.51
geo,2010,0.93
geo,2015,3.54
geo,2020,3.13
gha,1990,2.49
gha,1995,32.9
gha,2000,6.78
gha,2005,19.05
gha,2010,4.32
gha,2015,4.65
gha,2020,2.83
gin,1990,80.52
gin,1995,86.8
gin,2000,76.28
gin,2005,28.85
gin,2010,8.32
gin,2015,7.14
gin,2020,5.73
gmb,1990,0.03
gmb,1995,4.37
gmb,2000,6.58
gmb,2005,4.36
gmb,2010,4.55
gmb,2015,4.08
gmb,2020,2.09
gnb,1990,19.55
gnb,1995,54.9
gnb,2000,37.1
gnb,2005,37.23
gnb,2010,37.44
gnb,2015,39.43
gnb,2020,10.52
grc,1990,1.37
grc,1995,0.52
grc,2000,0.81
grc,2005,0.95
grc,2010,4.33
grc,2015,4.1
grc,2020,13.89
gtm,1990,84.48
gtm,1995,71.7
gtm,2000,1.51
gtm,2005,0.69
gtm,2010,0.21
gtm,2015,0.47
gtm,2020,1.24
guy,2010,0.09
guy,2015,0.14
guy,2020,70.84
hkg,1990,0.45
hkg,1995,0.23
hkg,2000,0.04
hkg,2005,0.11
hkg,2010,0.02
hkg,2015,0.09
hkg,2020,0
hnd,1990,87.69
hnd,1995,79.35
hnd,2000,0.04
hnd,2005,0.26
hnd,2010,0.05
hnd,2015,0.1
hnd,2020,0.47
hrv,1995,29.47
hrv,2000,3.83
hrv,2005,0.51
hrv,2010,0.18
hrv,2015,0.1
hrv,2020,0.26
hti,2015,0.08
hti,2020,0.06
hun,1990,12.98
hun,1995,3.54
hun,2000,2.26
hun,2005,2.38
hun,2010,1.32
hun,2015,8.64
hun,2020,1.03
idn,1990,0.46
idn,1995,0.05
idn,2000,48.77
idn,2005,0.05
idn,2010,0.94
idn,2015,4.01
idn,2020,3.84
ind,1990,2.8
ind,1995,3.27
ind,2000,2.67
ind,2005,2.35
ind,2010,3.38
ind,2015,3.99
ind,2020,4.25
irl,1990,0.16
irl,1995,0.18
irl,2000,4.17
irl,2005,1.62
irl,2010,1.95
irl,2015,1.47
irl,2020,1.8
irn,1990,81.84
irn,1995,70.53
irn,2000,74.78
irn,2005,38.18
irn,2010,39.49
irn,2015,35.88
irn,2020,35.02
irq,1990,1.08
irq,1995,58.52
irq,2000,60.7
irq,2005,38.65
irq,2010,31.32
irq,2015,79.34
irq,2020,78.45
isl,1990,0.45
isl,1995,1.15
isl,2000,1.57
isl,2005,1.26
isl,2010,0.35
isl,2015,0.87
isl,2020,2.02
isr,1995,0.06
isr,2000,0.11
isr,2005,0.08
isr,2010,1.59
isr,2015,2.22
isr,2020,2.8
ita,1990,0.87
ita,1995,0.53
ita,2000,0.3
ita,2005,0.52
ita,2010,1.04
ita,2015,3.07
ita,2020,3.99
jam,1995,0.08
jam,2000,0.15
jam,2010,0.09
jam,2015,0.07
jam,2020,0.53
jor,1990,81.08
jor,1995,81.35
jor,2000,81.5
jor,2005,83.93
jor,2010,87.44
jor,2015,88.62
jor,2020,87.27
jpn,1990,0.62
jpn,1995,0.39
jpn,2000,0.22
jpn,2005,0.12
jpn,2010,0.26
jpn,2015,0.73
jpn,2020,1.1
kaz,1995,0.48
kaz,2000,0.72
kaz,2005,0.24
kaz,2010,0.14
kaz,2015,0.02
kaz,2020,0.02
ken,1990,4.78
ken,1995,37.93
ken,2000,30.35
ken,2005,34.62
ken,2010,45.12
ken,2015,52.7
ken,2020,46.64
kgz,1995,2.59
kgz,2000,2.82
kgz,2005,1
kgz,2010,1.3
kgz,2015,0.25
kgz,2020,0.26
khm,1995,0.02
khm,2000,0.02
khm,2005,0.17
khm,2010,0.22
khm,2015,0.14
khm,2020,0.03
kor,1990,0.53
kor,1995,0
kor,2000,0.02
kor,2005,0.12
kor,2010,0.12
kor,2015,0.5
kor,2020,1.67
kwt,1990,2.79
kwt,1995,0.36
kwt,2000,0.25
kwt,2005,0.13
kwt,2010,0.18
kwt,2015,0.06
kwt,2020,0.06
lbn,1990,58.34
lbn,1995,56.34
lbn,2000,54.83
lbn,2005,54.79
lbn,2010,54.86
lbn,2015,80.14
lbn,2020,81.99
lbr,1990,0.13
lbr,1995,57.57
lbr,2000,45.64
lbr,2005,11.69
lbr,2010,24.98
lbr,2015,32.57
lbr,2020,9.39
lby,1995,0.78
lby,2000,2.03
lby,2005,1.98
lby,2010,1.62
lby,2015,4.77
lby,2020,5.5
lca,2010,0.07
lie,2000,0.45
lie,2005,1.11
lie,2010,0.61
lie,2015,1.04
lie,2020,0.63
lka,1990,0.04
lka,1995,0.04
lka,2000,0.1
lka,2005,0.57
lka,2010,0.93
lka,2015,3.51
lka,2020,3.49
lso,1990,27.08
lso,1995,15.49
lso,2015,0.38
lso,2020,1.87
ltu,2000,0.03
ltu,2005,0.29
ltu,2010,0.54
ltu,2015,0.86
ltu,2020,1.55
lux,1990,0.3
lux,1995,0.56
lux,2000,0.54
lux,2005,1.21
lux,2010,2.42
lux,2015,1.5
lux,2020,1.46
lva,2000,0
lva,2005,0.01
lva,2010,0.04
lva,2015,0.15
lva,2020,0.3
mar,1990,0.56
mar,1995,0.11
mar,2000,3.97
mar,2005,3.67
mar,2010,1.51
mar,2015,5.92
mar,2020,9.53
mco,2015,0.12
mco,2020,0.08
mda,2000,0.11
mda,2005,0.14
mda,2010,0.18
mda,2015,0.52
mda,2020,0.51
mdg,2000,0.21
mdg,2015,0.07
mdg,2020,0.7
mex,1990,51.24
mex,1995,8.44
mex,2000,3.43
mex,2005,0.48
mex,2010,0.16
mex,2015,0.42
mex,2020,12.61
mkd,1995,8.27
mkd,2000,7.2
mkd,2005,1.56
mkd,2010,1.2
mkd,2015,0.55
mkd,2020,0.33
mli,1990,8.34
mli,1995,10.17
mli,2000,4.44
mli,2005,5.05
mli,2010,4.47
mli,2015,3.87
mli,2020,5.7
mlt,1995,2.34
mlt,2000,0.88
mlt,2005,8.5
mlt,2010,22.51
mlt,2015,14.56
mlt,2020,10.98
mne,2010,20.85
mne,2015,2.5
mne,2020,1.62
mng,2010,0.08
mng,2015,0.08
mng,2020,0.05
moz,1990,0.34
moz,1995,0.08
moz,2000,0.11
moz,2005,2.22
moz,2010,3.26
moz,2015,6.35
moz,2020,7.58
mrt,1990,53.74
mrt,1995,38.4
mrt,2000,0.61
mrt,2005,1.24
mrt,2010,31.75
mrt,2015,46.77
mrt,2020,47.43
mus,2020,0.09
mwi,1990,77.56
mwi,1995,0.42
mwi,2000,1.68
mwi,2005,4.32
mwi,2010,6.94
mwi,2015,11.9
mwi,2020,23.19
mys,1990,2.14
mys,1995,2.49
mys,2000,3.45
mys,2005,2.32
mys,2010,3.84
mys,2015,4.71
mys,2020,5.17
nam,1995,1.46
nam,2000,20.96
nam,2005,5.94
nam,2010,8.36
nam,2015,2.8
nam,2020,4.66
ner,1990,0.69
ner,1995,18.92
ner,2000,0.05
ner,2005,0.28
ner,2010,0.26
ner,2015,49.34
ner,2020,62.61
nga,1990,0.78
nga,1995,1.75
nga,2000,1.49
nga,2005,0.97
nga,2010,1.07
nga,2015,0.15
nga,2020,4.22
nic,1990,37.67
nic,1995,2.17
nic,2000,1.09
nic,2005,0.65
nic,2010,0.2
nic,2015,1.15
nic,2020,1.09
nld,1990,1.45
nld,1995,5.94
nld,2000,9.39
nld,2005,7.65
nld,2010,4.8
nld,2015,5.84
nld,2020,4.67
nor,1990,10.17
nor,1995,20.41
nor,2000,16.31
nor,2005,11.92
nor,2010,10.05
nor,2015,10.14
nor,2020,6.5
npl,1990,4.03
npl,1995,18.07
npl,2000,18
npl,2005,18.76
npl,2010,15.6
npl,2015,6.42
npl,2020,4.03
nru,2015,44.08
nru,2020,53.57
nzl,1990,0.9
nzl,1995,0.64
nzl,2000,0.73
nzl,2005,0.68
nzl,2010,0.27
nzl,2015,0.14
nzl,2020,0.24
omn,2005,0
omn,2010,0.01
omn,2015,0.02
omn,2020,0.02
pak,1990,52.61
pak,1995,32.77
pak,2000,47.86
pak,2005,34.28
pak,2010,48.25
pak,2015,44.71
pak,2020,43.59
pan,1990,2.15
pan,1995,1.22
pan,2000,1.57
pan,2005,1.98
pan,2010,11.12
pan,2015,10.97
pan,2020,43.43
per,1990,1.28
per,1995,1.08
per,2000,1.05
per,2005,1.52
per,2010,1.35
per,2015,1.21
per,2020,70.87
phl,1990,12.89
phl,1995,0.38
phl,2000,0.06
phl,2005,0.05
phl,2010,0.15
phl,2015,0.23
phl,2020,0.45
png,1990,24
png,1995,28.64
png,2000,26.86
png,2005,33.38
png,2010,31.88
png,2015,32.18
png,2020,31.67
pol,1995,0.06
pol,2000,0.12
pol,2005,0.86
pol,2010,2.75
pol,2015,2.84
pol,2020,2.14
prt,1990,0.2
prt,1995,0.05
prt,2000,0.07
prt,2005,0.05
prt,2010,0.06
prt,2015,0.17
prt,2020,0.35
pry,1990,0.03
pry,1995,0.03
pry,2000,0.01
pry,2005,0.03
pry,2010,0.07
pry,2015,0.13
pry,2020,3.12
qat,2000,0.01
qat,2005,0.01
qat,2010,0
qat,2015,0.01
qat,2020,0.01
rou,1990,0.48
rou,1995,0.14
rou,2000,1.26
rou,2005,1.6
rou,2010,0.8
rou,2015,1.08
rou,2020,0.68
rus,2000,0.23
rus,2005,0.02
rus,2010,0.06
rus,2015,2.72
rus,2020,0.38
rwa,1990,14.75
rwa,1995,3.61
rwa,2000,8.68
rwa,2005,11.7
rwa,2010,13.04
rwa,2015,28.2
rwa,2020,28.32
sau,1990,0.67
sau,1995,0.26
sau,2000,0.1
sau,2005,3.71
sau,2010,0.01
sau,2015,0
sau,2020,0.02
sdn,1990,73.49
sdn,1995,63.99
sdn,2000,51.94
sdn,2005,27.76
sdn,2010,29.8
sdn,2015,51.93
sdn,2020,77.66
sen,1990,21.49
sen,1995,23.21
sen,2000,9.8
sen,2005,9.79
sen,2010,8.92
sen,2015,6.57
sen,2020,5.92
sgp,1990,0.02
sgp,1995,0.01
sgp,2010,0
sle,1990,56.64
sle,1995,4.75
sle,2000,6.68
sle,2005,41.13
sle,2010,10.82
sle,2015,1.32
sle,2020,0.82
slv,1990,43.32
slv,1995,26
slv,2000,0.13
slv,2005,0.14
slv,2010,0.14
slv,2015,0.12
slv,2020,0.2
som,1990,96.18
som,1995,3.21
som,2000,2.83
som,2005,2.85
som,2010,54.15
som,2015,44.4
som,2020,60.88
srb,1990,0.94
srb,1995,74.71
srb,2000,49.54
srb,2005,17.34
srb,2010,8.93
srb,2015,4.39
srb,2020,3.25
ssd,2015,31.26
ssd,2020,34.23
sur,1990,0.29
sur,1995,0.22
sur,2010,0.02
sur,2015,0.01
sur,2020,3.1
svk,1995,3.37
svk,2000,0.73
svk,2005,2.36
svk,2010,0.5
svk,2015,0.56
svk,2020,0.5
svn,1995,12.79
svn,2000,5.43
svn,2005,0.2
svn,2010,0.17
svn,2015,0.17
svn,2020,0.39
swe,1990,13.9
swe,1995,21.28
swe,2000,16.74
swe,2005,8.05
swe,2010,7.57
swe,2015,20.38
swe,2020,14.07
swz,1990,56.11
swz,1995,2.03
swz,2000,2.02
swz,2005,3.04
swz,2010,2.33
swz,2015,2.98
swz,2020,5.85
syr,1990,39.6
syr,1995,43.78
syr,2000,46.81
syr,2005,52.13
syr,2010,82.98
syr,2015,66.41
syr,2020,67.99
tcd,1995,0.11
tcd,2000,16.88
tcd,2005,78.23
tcd,2010,83.46
tcd,2015,79.76
tcd,2020,81.54
tgo,1990,4.1
tgo,1995,10.71
tgo,2000,8.86
tgo,2005,4.75
tgo,2010,5.56
tgo,2015,8.19
tgo,2020,4.52
tha,1990,18.88
tha,1995,13.16
tha,2000,8.34
tha,2005,6.8
tha,2010,3.31
tha,2015,3.36
tha,2020,2.71
tjk,1990,0.7
tjk,1995,0.18
tjk,2000,5.21
tjk,2005,0.37
tjk,2010,1.71
tjk,2015,0.82
tjk,2020,1.89
tkm,1995,8.53
tkm,2000,6.74
tkm,2005,5.62
tkm,2010,0.03
tkm,2015,0.01
tkm,2020,0.01
tls,2005,0.12
tls,2010,0.04
tto,2010,0.27
tto,2015,0.39
tto,2020,34.69
tun,1990,0.08
tun,1995,0.53
tun,2000,1.22
tun,2005,0.32
tun,2010,0.26
tun,2015,1.34
tun,2020,5.44
tur,1990,2.62
tur,1995,1.06
tur,2000,0.24
tur,2005,0.55
tur,2010,1.22
tur,2015,63.36
tur,2020,64.56
tza,1990,46.2
tza,1995,75.01
tza,2000,73.96
tza,2005,71.21
tza,2010,35.67
tza,2015,55.65
tza,2020,63.78
uga,1990,26.77
uga,1995,37.78
uga,2000,40.92
uga,2005,43.66
uga,2010,31.77
uga,2015,60.27
uga,2020,80.28
ukr,1995,0.08
ukr,2000,0.05
ukr,2005,0.08
ukr,2010,0.12
ukr,2015,0.2
ukr,2020,0.09
ury,1990,0.09
ury,1995,0.14
ury,2000,0.09
ury,2005,0.16
ury,2010,0.3
ury,2015,0.48
ury,2020,26.44
usa,1990,2
usa,1995,2.19
usa,2000,2.57
usa,2005,1.4
usa,2010,0.61
usa,2015,1.16
usa,2020,2.35
uzb,1995,0.17
uzb,2000,2.82
uzb,2005,3.35
uzb,2010,0.03
uzb,2015,0.01
uzb,2020,0
vct,2020,0.8
ven,1990,0.17
ven,1995,0.16
ven,2000,0.02
ven,2005,0.59
ven,2010,16.14
ven,2015,12.39
ven,2020,5.12
vnm,1990,75.22
vnm,1995,67.11
vnm,2000,28.09
vnm,2005,4.55
vnm,2010,3.12
yem,1990,34.94
yem,1995,39.16
yem,2000,42.75
yem,2005,48.14
yem,2010,66.8
yem,2015,72.93
yem,2020,72.12
zaf,1990,7.73
zaf,1995,10.1
zaf,2000,2.97
zaf,2005,12.57
zaf,2010,10.86
zaf,2015,37.68
zaf,2020,9.7
zmb,1990,49.4
zmb,1995,53.19
zmb,2000,73.09
zmb,2005,61.63
zmb,2010,32.13
zmb,2015,21.84
zmb,2020,33.3
zwe,1990,30.09
zwe,1995,0.12
zwe,2000,1.02
zwe,2005,3.47
zwe,2010,1.22
zwe,2015,1.8
zwe,2020,4.92
