world_4region,time,wn_bothhouses_c
americas,1969,5.58
americas,1970,5.99
americas,1971,6.38
americas,1972,6.48
americas,1973,7.19
americas,1974,7.18
americas,1975,7.71
americas,1976,7.95
americas,1977,7.98
americas,1978,8.13
americas,1979,7.88
americas,1980,8.12
americas,1981,8.53
americas,1982,8.93
americas,1983,9.33
americas,1984,9.78
americas,1985,10.17
americas,1986,11.19
americas,1987,10.82
americas,1988,11.08
americas,1989,10.72
americas,1990,10.6
americas,1991,10.57
americas,1992,11.45
americas,1993,12
americas,1994,12.64
americas,1995,13.39
americas,1996,13.92
americas,1997,15.02
americas,1998,15.2
americas,1999,15.83
americas,2000,17.4
americas,2001,18.17
americas,2002,19.32
americas,2003,20.09
americas,2004,21
americas,2005,21.75
americas,2006,22.53
americas,2007,22.98
americas,2008,24.21
americas,2009,26.19
americas,2010,26.83
americas,2011,27.58
americas,2012,29.23
americas,2013,30.12
americas,2014,30.06
americas,2015,29.54
americas,2016,30.48
americas,2017,31.26
americas,2018,32.07
americas,2019,32.14
americas,2020,33.44
americas,2021,34.73
asia,1945,0
asia,1946,3.76
asia,1947,2.35
asia,1948,1.67
asia,1949,1.99
asia,1950,2.49
asia,1951,4.17
asia,1952,4.57
asia,1953,4.64
asia,1954,4.3
asia,1955,3.79
asia,1956,3.74
asia,1957,3.57
asia,1958,3.86
asia,1959,4.12
asia,1960,4.2
asia,1961,4.77
asia,1962,5.02
asia,1963,4.75
asia,1964,5.14
asia,1965,5.42
asia,1966,5.31
asia,1967,5.14
asia,1968,5.67
asia,1969,5.24
asia,1970,5.82
asia,1971,5.99
asia,1972,6.04
asia,1973,6.82
asia,1974,7.1
asia,1975,7.1
asia,1976,6.93
asia,1977,6.79
asia,1978,6.89
asia,1979,6.7
asia,1980,6.79
asia,1981,7.06
asia,1982,7.18
asia,1983,7.45
asia,1984,7.8
asia,1985,8.04
asia,1986,7.94
asia,1987,8.27
asia,1988,7.98
asia,1989,7.53
asia,1990,6.72
asia,1991,7.35
asia,1992,7.7
asia,1993,7.4
asia,1994,8.2
asia,1995,8.78
asia,1996,8.55
asia,1997,8.84
asia,1998,9.61
asia,1999,9.76
asia,2000,10.25
asia,2001,11.57
asia,2002,12.25
asia,2003,12.01
asia,2004,12.66
asia,2005,12.72
asia,2006,13.8
asia,2007,14.83
asia,2008,17.85
asia,2009,17.48
asia,2010,17.59
asia,2011,17.04
asia,2012,16.77
asia,2013,17.06
asia,2014,16.69
asia,2015,17.34
asia,2016,17.37
asia,2017,17.1
asia,2018,17.01
asia,2019,19.24
asia,2020,19.72
asia,2021,19.93
europe,1945,4.32
europe,1946,4.23
europe,1947,4.22
europe,1948,4.84
europe,1949,5.36
europe,1950,5.71
europe,1951,6.01
europe,1952,6.47
europe,1953,6.07
europe,1954,6.08
europe,1955,6.05
europe,1956,6.03
europe,1957,5.58
europe,1958,5.74
europe,1959,6.36
europe,1960,6.49
europe,1961,6.42
europe,1962,6.54
europe,1963,6.93
europe,1964,7.32
europe,1965,6.83
europe,1966,7.15
europe,1967,7.44
europe,1968,7.44
europe,1969,7.38
europe,1970,7.9
europe,1971,8.17
europe,1972,8.68
europe,1973,8.93
europe,1974,9.61
europe,1975,10.25
europe,1976,10.67
europe,1977,11.07
europe,1978,12.09
europe,1979,13.2
europe,1980,13.77
europe,1981,13.78
europe,1982,13.77
europe,1983,13.82
europe,1984,13.98
europe,1985,14.04
europe,1986,13.55
europe,1987,13.34
europe,1988,13.1
europe,1989,12.44
europe,1990,10.85
europe,1991,11.08
europe,1992,11.9
europe,1993,12.55
europe,1994,13.36
europe,1995,13.4
europe,1996,13.7
europe,1997,13.98
europe,1998,15.87
europe,1999,15.8
europe,2000,16.98
europe,2001,17.72
europe,2002,18.08
europe,2003,18.31
europe,2004,19.34
europe,2005,19.87
europe,2006,20.73
europe,2007,20.53
europe,2008,21.53
europe,2009,22.34
europe,2010,23.2
europe,2011,23.65
europe,2012,25.35
europe,2013,25.91
europe,2014,25.96
europe,2015,26.53
europe,2016,25.77
europe,2017,28.09
europe,2018,29.12
europe,2019,29.62
europe,2020,30.42
europe,2021,31.14
