country,time,u5stunted_prc
mli,2011,34.32242
mli,2012,38.13067
mli,2013,35.60359
mli,2014,33.24399
mli,2015,31.04077
mne,2005,7.98141
mne,2006,8.14565
mne,2007,8.31328
mne,2008,8.48435
mne,2009,8.65894
mne,2010,8.83713
mne,2011,9.01898
mne,2012,9.20458
mne,2013,9.39399
mng,2005,27.47821
mng,2006,24.43934
mng,2007,21.73654
mng,2008,19.33265
mng,2009,17.19461
mng,2010,15.29302
mng,2011,13.62304
mng,2012,12.13542
mng,2013,10.81024
moz,2003,47.04119
moz,2004,46.35334
moz,2005,45.67555
moz,2006,45.00767
moz,2007,44.34955
moz,2008,43.70106
moz,2009,43.46044
moz,2010,43.22115
moz,2011,42.98317
mwi,2000,54.41096
mwi,2001,53.83907
mwi,2002,53.27319
mwi,2003,52.71326
mwi,2004,52.15921
mwi,2005,52.60746
mwi,2006,53.05957
mwi,2007,51.57638
mwi,2008,50.13466
mwi,2009,48.73323
mwi,2010,47.37098
mwi,2011,45.6673
mwi,2012,44.0249
mwi,2013,42.44156
mwi,2014,39.88401
mwi,2015,37.48058
nam,2000,28.9984
nam,2001,28.99191
nam,2002,28.98543
nam,2003,28.97894
nam,2004,28.97246
nam,2005,28.96598
nam,2006,28.9595
nam,2007,27.97511
nam,2008,27.02419
nam,2009,26.10559
nam,2010,25.21821
nam,2011,24.361
nam,2012,23.53293
nam,2013,22.733
nga,2003,42.36424
nga,2004,42.46884
nga,2005,42.5737
nga,2006,42.67882
nga,2007,42.7842
nga,2008,40.63606
nga,2009,39.03678
nga,2010,37.50045
nga,2011,36.02458
nga,2012,36.27748
nga,2013,36.53216
nga,2014,38.803
nga,2015,41.21499
nga,2016,43.77691
npl,2001,57.24019
npl,2002,55.55057
npl,2003,53.91083
npl,2004,52.31948
npl,2005,50.77511
npl,2006,49.27633
npl,2007,47.38396
npl,2008,45.56427
npl,2009,43.81446
npl,2010,42.13185
npl,2011,40.51385
npl,2012,39.47961
npl,2013,38.47178
npl,2014,37.48967
npl,2015,36.57666
npl,2016,35.68588
per,1996,31.57455
per,1997,31.46372
per,1998,31.35327
per,1999,31.24321
per,2000,31.13354
per,2001,30.75317
per,2002,30.37745
per,2003,30.00632
per,2004,29.63973
per,2005,29.27761
per,2006,28.91039
per,2007,28.54777
per,2008,27.50954
per,2009,23.8164
per,2010,23.31755
per,2011,19.5396
per,2012,18.36296
per,2013,17.6847
per,2014,14.82588
per,2015,14.70145
per,2016,13.12984
per,2017,12.83533
per,2018,12.17302
rwa,2000,48.34622
rwa,2001,48.82476
rwa,2002,49.30805
rwa,2003,49.79611
rwa,2004,50.28901
rwa,2005,50.78678
rwa,2006,49.42357
rwa,2007,48.09696
rwa,2008,46.80595
rwa,2009,45.5496
rwa,2010,44.32697
rwa,2011,42.72951
rwa,2012,41.18962
rwa,2013,39.70522
rwa,2014,38.27432
sen,2005,19.2881
sen,2006,20.86888
sen,2007,22.57921
sen,2008,24.42972
sen,2009,26.43188
sen,2010,28.59814
sen,2011,23.31705
sen,2012,19.01119
sen,2013,19.01591
sen,2014,19.02063
sen,2015,20.68534
sen,2016,17.30487
sen,2017,16.71247
sle,2005,46.95837
sle,2006,43.13057
sle,2007,39.6148
sle,2008,36.38561
sle,2009,40.40265
sle,2010,44.86317
sle,2011,42.45781
sle,2012,40.18142
sle,2013,38.02708
sle,2014,36.13983
sle,2015,34.34625
sle,2016,32.64168
sle,2017,31.0217
slv,1993,29.20642
slv,1994,29.79397
slv,1995,30.39334
slv,1996,31.00477
slv,1997,31.6285
slv,1998,32.26478
slv,1999,30.14606
slv,2000,28.16646
slv,2001,26.31686
slv,2002,24.58872
slv,2003,23.47761
slv,2004,22.4167
slv,2005,21.40373
slv,2006,20.43654
slv,2007,19.51306
slv,2008,18.6313
slv,2009,17.68939
slv,2010,16.79509
slv,2011,15.94601
slv,2012,15.13986
slv,2013,14.37446
slv,2014,13.64775
srb,2005,8.15179
srb,2006,7.81064
srb,2007,7.48376
srb,2008,7.17056
srb,2009,6.87047
srb,2010,6.58294
srb,2011,6.42663
srb,2012,6.27403
srb,2013,6.12505
srb,2014,5.97961
tcd,1996,44.60755
tcd,1997,44.62026
