country,time,pirats_bo
gin,2017,2
gin,2018,3
gin,2019,2
gin,2020,5
gnq,2019,2
gnq,2020,3
guy,2010,2
guy,2011,1
guy,2012,0
guy,2013,2
guy,2014,1
guy,2015,0
guy,2016,2
guy,2017,1
guy,2018,2
hti,2010,5
hti,2011,2
hti,2012,2
hti,2013,0
hti,2014,0
hti,2015,2
hti,2016,4
hti,2017,1
hti,2018,3
hti,2019,2
hti,2020,5
idn,2010,40
idn,2011,46
idn,2012,81
idn,2013,106
idn,2014,100
idn,2015,108
idn,2016,49
idn,2017,43
idn,2018,36
idn,2019,25
idn,2020,26
ind,2010,5
ind,2011,6
ind,2012,8
ind,2013,14
ind,2014,13
ind,2015,13
ind,2016,14
ind,2017,4
ind,2018,6
ind,2019,4
ind,2020,6
irq,2010,2
irq,2011,0
irq,2012,0
irq,2013,0
irq,2014,0
irq,2015,0
irq,2016,0
irq,2017,0
irq,2018,0
irq,2019,0
irq,2020,1
ken,2011,1
ken,2012,1
ken,2013,1
ken,2014,0
ken,2015,2
ken,2016,2
ken,2017,1
ken,2018,0
ken,2019,1
lbr,2010,1
lbr,2011,0
lbr,2012,0
lbr,2013,0
lbr,2014,1
lbr,2015,2
lbr,2016,0
lbr,2017,0
lbr,2018,0
lbr,2019,2
lbr,2020,2
mar,2013,1
mar,2014,1
mar,2015,0
mar,2016,1
mar,2017,0
mar,2018,0
mar,2019,2
mex,2016,1
mex,2017,0
mex,2018,0
mex,2019,1
mex,2020,4
mmr,2011,1
moz,2012,2
moz,2013,2
moz,2014,1
moz,2015,1
moz,2016,1
moz,2017,2
moz,2018,2
moz,2019,3
moz,2020,4
mrt,2013,1
mys,2010,18
mys,2011,16
mys,2012,12
mys,2013,9
mys,2014,24
mys,2015,13
mys,2016,7
mys,2017,7
mys,2018,11
mys,2019,11
mys,2020,4
nga,2010,19
nga,2011,10
nga,2012,27
nga,2013,31
nga,2014,18
nga,2015,14
nga,2016,36
nga,2017,33
nga,2018,48
nga,2019,35
nga,2020,35
omn,2011,1
omn,2012,0
omn,2013,0
omn,2014,2
omn,2015,0
omn,2016,0
omn,2017,1
pan,2019,1
per,2010,10
per,2011,2
per,2012,3
per,2013,4
per,2014,0
per,2015,0
per,2016,11
per,2017,2
per,2018,4
per,2019,10
per,2020,8
phl,2010,5
phl,2011,5
phl,2012,3
phl,2013,3
phl,2014,6
phl,2015,11
phl,2016,10
phl,2017,22
phl,2018,10
phl,2019,5
phl,2020,8
png,2015,1
sen,2017,1
sle,2011,1
sle,2012,1
sle,2013,2
sle,2014,1
sle,2015,0
sle,2016,0
sle,2017,4
sle,2018,0
sle,2019,1
som,2010,139
som,2011,160
som,2012,49
som,2013,7
som,2014,3
som,2015,0
som,2016,1
som,2017,5
som,2018,2
stp,2014,1
stp,2015,0
stp,2016,0
stp,2017,1
stp,2018,0
stp,2019,1
stp,2020,2
tgo,2011,6
tgo,2012,15
tgo,2013,7
tgo,2014,2
tgo,2015,0
tgo,2016,1
tgo,2017,0
tgo,2018,1
tgo,2019,3
tgo,2020,3
tha,2010,2
tha,2011,0
tha,2012,0
tha,2013,0
tha,2014,2
tha,2015,1
tha,2016,0
tha,2017,0
tha,2018,0
tha,2019,0
tha,2020,1
tza,2010,1
tza,2011,0
tza,2012,2
tza,2013,1
tza,2014,1
ven,2010,7
ven,2011,4
ven,2012,0
ven,2013,0
ven,2014,1
ven,2015,1
ven,2016,5
ven,2017,12
ven,2018,11
ven,2019,6
vnm,2010,12
vnm,2011,8
vnm,2012,4
vnm,2013,9
vnm,2014,7
vnm,2015,27
vnm,2016,9
vnm,2017,2
vnm,2018,4
vnm,2019,2
vnm,2020,4
yem,2016,1
yem,2017,3
